-0.0024775+0.00096234i,-0.0021573+0.00049384i,-0.0007616+0.0014518i,0.00035426+0.0024709i,0.00028328+0.001448i,0.00034244-0.00015495i,-0.00032062-0.00068485i,-0.00088375-0.0012702i,-0.00084934-0.0016144i,-0.0010046-0.0010542i,-0.0005881-0.00029372i,0.00037279+0.00011974i,0.00031422-2.7003e-05i,7.2742e-06-5.6041e-05i,0.00068264+0.00016832i,0.0012703+0.00015332i,0.00057785+0.00010283i,8.2181e-06+0.00023481i,0.00029048-0.00025431i,0.00042342-0.00091425i,-0.00012612-0.0013173i,-0.00088041-0.00068459i,-0.00092632-0.00049911i
-0.00066205+0.00022432i,-0.0011079+0.00050848i,-0.0013783+2.5912e-05i,-0.00073341-0.00033309i,-0.00049501+0.00010763i,-0.00042893+0.00047121i,0.00018356-5.9889e-05i,-4.5581e-05-0.0008163i,-0.00070231-0.00045694i,-0.00074735+0.00026599i,0.00040793+5.057e-05i,0.00070632-0.00055173i,0.00044724-0.00072216i,0.00015294-0.0010419i,-0.00026603-0.0020244i,-0.00038624-0.0016875i,-0.00041385-0.0001706i,0.00011328+9.745e-05i,0.00015958-0.00011232i,-0.00039862-0.00071744i,-0.00049209-0.00061404i,-0.00017183-0.00020028i,0.00012531+7.0329e-05i
0.0012309+0.00041818i,0.0010647-0.00016578i,0.0014194-0.0017136i,0.00085212-0.0025475i,-9.9544e-05-0.0020109i,-0.00090331-0.0017264i,-0.00081043-0.00074616i,-0.00033429-0.00031333i,4.9812e-05-0.00075003i,0.00010777-0.00088897i,-0.00076232-0.00052427i,-0.0012447-0.00051687i,-0.00092433-0.0002214i,-0.00064605+0.00040894i,-0.0004776+0.00039759i,-2.0474e-06-0.00016559i,2.5e-05-0.00044072i,-4.391e-05+4.2372e-05i,0.00034113+0.00065483i,0.0003399+0.00034585i,9.6954e-05-4.3089e-05i,0.00066895+9.5477e-05i,0.0011595+0.00038375i
-0.0014235+0.0017379i,-0.001017+0.0017344i,3.652e-06+0.0023335i,0.00068046+0.0026087i,0.0009221+0.0014953i,0.00024246-0.0002584i,-0.00061163-0.000922i,-0.0013106-0.00067909i,-0.00093181-0.0006454i,-0.00028634-0.0003429i,-0.00014215+6.1197e-05i,0.00022319-4.9093e-05i,-0.00010787-0.00053286i,-0.00094365-0.00070748i,-0.00071247-0.00064615i,-0.00048582-0.00051514i,-0.00044423-9.3149e-05i,-0.00028449+0.00018976i,-0.00037471+0.00023728i,-0.00044729+0.00025316i,-0.00067517-0.00012472i,-0.001483-0.0001798i,-0.000768-0.00093434i
-0.00051676+0.00069329i,-0.00063522+9.3436e-05i,-0.00072386-6.0478e-05i,-0.0009167-0.00044882i,-0.0010186-0.00084767i,-0.00019865-0.00031437i,0.00053859-0.00013381i,0.00015033-0.00081785i,-0.00086954-0.0010243i,-0.0010411-0.00054328i,-0.00098379+0.00023548i,-0.00092449+0.00036451i,3.698e-05+0.00022455i,-0.00016673-0.00038867i,-0.0005813-0.00092118i,-0.00023676-0.00047533i,0.00026819-0.00037223i,0.00055141-0.00062134i,0.00013103-0.00070918i,0.00012487+0.00058814i,-0.00038831+0.0011544i,-0.0010068+0.00020146i,-0.00052946-0.00046791i
-0.0011417+0.00060166i,-0.0013261+0.00070397i,-0.00067553+0.00097111i,0.0002612+0.0011527i,0.0007787+0.00073266i,0.00089847-5.2929e-05i,1.3306e-05+0.00012847i,-0.00082819+0.0004377i,-0.0012521-0.00017464i,-0.0013732-0.00058197i,-0.0010014-0.00047269i,-0.00047404+0.00020772i,-0.00089631+0.00018675i,-0.00031856-0.00068402i,0.00042224-0.00055813i,-0.00013291-0.00060773i,-0.00020229-0.0011671i,-0.00019808-0.00031412i,-0.00033317-5.7145e-05i,-0.0003728-0.00028624i,-1.1744e-05-0.0004863i,0.00025318-0.00091122i,-1.8593e-05-0.0010979i
0.00031062-4.9158e-05i,0.00047674+0.0011531i,-0.00036222+0.0013066i,-0.00050539+0.00024754i,-0.00046163-0.00069615i,-0.00024807-0.00051048i,-8.085e-05+0.0001451i,-0.00085507-0.00033077i,-0.0010463-0.0014033i,-0.00077788-0.0011756i,-0.00038772-0.00087234i,0.00028971-0.00046141i,-0.00013798+7.8701e-06i,-9.2295e-05+0.00035698i,0.00011712+0.00051054i,-0.0004891+0.0002714i,-0.00040778+0.00047803i,-0.00066358+3.4993e-05i,-0.00050612-0.00041929i,0.00023082-0.00056358i,0.00073471-0.00055013i,0.00036229+5.7375e-05i,-0.00019594+0.00045162i
-0.00038513-0.00036585i,-0.0018538-0.00086711i,-0.0029859-0.0016586i,-0.0020343-0.0012673i,-0.00090294-0.00026593i,-0.00035825-0.00031378i,-0.00033968-0.00041477i,-0.0011795-0.00072248i,-0.0014016-0.00092067i,-9.5474e-05-0.00055738i,6.0959e-05+5.8006e-05i,0.00026761-0.00013715i,0.00082509-0.00078156i,0.00060551-0.00026966i,0.0001918+0.00019851i,0.00037968+0.00047534i,0.00048974+0.0010007i,0.00046524+0.00032631i,0.00010652-0.00093271i,0.00010753-0.0013515i,0.00016697-0.00021524i,-5.086e-05+0.00012373i,-0.00014303+0.00010028i
-0.00017281+0.00019403i,8.4649e-05+0.0013132i,-0.00032356+0.0021699i,-0.00028771+0.0020396i,0.00045341+0.00073606i,0.00094357-0.00053295i,0.00084768-0.00088805i,0.00040982-0.00096362i,-5.0922e-05-0.0010511i,-0.00015897-0.00065301i,0.00031981-0.00028145i,0.00054701-0.00050711i,-3.768e-05-0.00043955i,-0.0002803-0.0011017i,-0.00013652-0.0012639i,-0.00028998-0.00035291i,-1.0544e-05+0.00035902i,0.00045236-1.0742e-05i,0.00043589-0.00070948i,0.00054864-0.00029469i,0.0004564+0.00027704i,0.00092958+0.00015488i,0.0010773+0.00038226i
-0.0001127+0.0005956i,-0.0006669+0.00032309i,-8.1901e-05-0.00091661i,0.00027179-0.0014561i,-1.7061e-05-0.0009645i,-0.00089854-0.00074178i,-0.002308-0.00026319i,-0.0021028-9.2236e-05i,-0.0011353-0.00023433i,-0.00066334-0.00059376i,-0.00044429-0.00062986i,-0.00026998+0.00025533i,-0.00037675+0.00083812i,0.00025441+0.00023786i,0.00039881+0.00032615i,0.00064793+0.0005517i,0.0015363+0.00012397i,0.0012655-0.00012672i,0.00089114-7.7761e-05i,0.00074698-0.00018625i,0.00089925-0.00019351i,0.00077007-0.00015957i,0.00044765+6.3981e-05i
