-0.0048945+0.0020003i,-0.0027583+0.0018778i,-0.0014268+0.0039481i,0.00011148+0.0043337i,0.0011706+0.0031273i,0.0021052+0.00087887i,0.0018245+0.00080131i,0.0012546+0.0018564i,0.0012635+0.0016962i,0.0011356+0.00068689i,0.00052124-0.00047937i,0.00043545-0.0012727i,0.000791-0.00114i,0.00021724-0.0012491i,0.0002872-0.00080125i,0.00054767+3.0158e-05i,0.000808+0.00092357i,0.0008621+0.00095886i,0.00038581+0.00099775i,0.00019424+0.00057827i,0.00038805-0.00060265i,0.00017156-0.00087048i,-4.5411e-05+2.5385e-05i
-0.001348+0.00015329i,-0.0020686+0.0011144i,-0.0020371+0.0017077i,-0.00085682+0.0013575i,0.0016064+0.00045622i,0.0020725-0.0011215i,0.0010839-0.00096357i,8.8624e-05+0.00031363i,-6.8886e-05+0.0006847i,3.9755e-06+0.00044884i,0.00019439+0.00066243i,-0.00018583+0.0011186i,-0.00087366+0.00013423i,-0.00019581-0.0010494i,9.293e-05-0.00064188i,-0.00055347-0.00027849i,-0.00055956-0.00036688i,2.4588e-05-0.00022427i,0.00050289+0.00032216i,-0.00012895+0.00035547i,0.00030599+8.3772e-05i,0.0014948-0.00040226i,0.00095637-0.00025671i
0.0002949+0.0011679i,0.0009598+0.00069031i,0.0016183+0.0011094i,0.0023011+0.00095424i,0.0023141-0.00063317i,0.0014859-0.0013717i,0.00078057-0.00080364i,0.00039462-0.0011914i,0.00020931-0.0012023i,0.00057296-0.00055968i,0.00026795-0.00061132i,-0.000437-0.00073264i,-0.00023301-0.00028866i,0.00060583-8.7217e-05i,0.0010391-0.00087863i,0.00051569-0.00069429i,0.00025001+0.00045976i,0.00057564+0.00066252i,0.00024869-4.3656e-05i,0.00039161-9.021e-05i,0.00053419-0.00013512i,-2.9434e-05-0.00016647i,-0.00044145-0.0004608i
-0.001055+0.00023825i,-0.00092069-0.00088116i,0.0016122-0.0016707i,0.0023157-0.0018117i,0.00075278-0.0024672i,0.00021444-0.0020779i,0.00047952-0.0009492i,0.00043533-0.00066905i,0.00076985-0.00055506i,0.0008602-0.00017131i,0.00026273-0.00022619i,-4.184e-05-0.00027035i,0.00016816-0.00018328i,0.00016181-0.00036853i,-0.00059068-0.00062619i,-0.00054249-0.00026947i,0.00067781-0.00030381i,0.0015532-0.00068323i,0.0014795+6.4998e-05i,0.0012416+0.0010456i,0.0010709+0.00050769i,0.0008305-0.0003141i,0.00088245+9.3015e-05i
-0.0010218-0.00036107i,-0.0018441-0.00052745i,-0.0022495+6.0274e-05i,-0.0011331-1.3043e-05i,-6.5471e-05+0.00041386i,0.0011332+0.00082989i,0.0013237+0.00073446i,0.00078639+0.00058561i,0.00058084-2.148e-05i,0.00043267-0.00088278i,-2.1153e-05-0.0012002i,0.00015864-0.00068009i,0.00041055-0.00017982i,0.00042244+5.5047e-05i,-5.2741e-05+0.00010939i,-0.00036108-4.2787e-05i,-0.00012544+0.00040197i,-0.00024659+0.00079296i,-0.00048647+0.00098534i,-0.00012162+0.00095073i,-0.00013626+0.00027462i,-0.00038418-0.0006209i,-0.0002824-0.0011295i
-0.00062133-0.0018962i,-7.4251e-05-0.00056474i,7.6625e-05+0.00047149i,0.00054509-0.00058553i,7.0177e-05-0.00098388i,0.0001547-0.00018725i,0.0016612-0.00053787i,0.0013341-0.00078394i,9.0932e-05-0.00058397i,6.6279e-05-0.00058674i,-0.00010545-0.00034028i,-0.00051236+6.1652e-05i,-3.9873e-05-7.5049e-05i,0.00069614+2.9057e-05i,0.0003836+7.0361e-05i,-0.00042078-0.0001648i,-0.00040639-0.00013758i,-0.00062228+0.00011027i,-0.00021781-0.00022232i,0.00061061-0.0011088i,3.4085e-05-0.00071347i,-9.3186e-05-0.00025758i,0.00018468+5.0323e-05i
0.0011223+0.0016599i,0.002409+0.00097318i,0.0027075-0.00015853i,0.0019312-0.0020141i,0.0011726-0.0034128i,0.0016968-0.0030512i,0.0021623-0.0017815i,0.0012275-0.00091964i,0.0010353-0.00043053i,0.0012294+0.00017992i,0.0009134-0.00032648i,0.00057189-0.0012304i,0.00023182-0.00040891i,-0.00032181+0.00032845i,-0.00040065+0.00019064i,3.9311e-05-5.8907e-05i,0.0003941-0.00020528i,0.00017279-0.00049397i,2.3126e-08+0.00022235i,-0.00045618+0.00060496i,-0.00067752-0.0002035i,-0.00029132+0.00016117i,-6.3212e-05+5.0206e-05i
0.00040347-0.00027577i,-0.00021603-0.00095187i,0.0006133-0.0020306i,0.00097781-0.0020451i,-6.0494e-05-0.0013977i,-0.00072674-0.00083979i,0.00011709-0.0002658i,0.00018287+8.0802e-05i,-0.00025563-8.873e-05i,0.00022411-0.00060595i,0.00065682-0.0015557i,0.00049651-0.0020027i,0.0005954-0.00090794i,0.00092832+0.00033229i,0.0010008+0.00040823i,-0.00010128+0.00042496i,-0.0006141+4.2738e-05i,-0.00024483+4.3587e-05i,-0.00011233+2.8733e-05i,0.000129-0.00023886i,-0.00014872-9.6283e-06i,9.2452e-05+0.00012223i,-0.00016202+0.00045788i
0.0023395+0.0010062i,0.0019999+0.00010952i,0.0014874-0.0014117i,0.0013163-0.0016786i,0.00042495-0.00088172i,0.00015041-0.00043182i,0.0010642-0.00071135i,0.0009372-0.00048823i,-3.1386e-05+0.00021711i,-0.0011059-0.00015316i,-0.001092-0.0011949i,-0.00024593-0.0011i,-0.00065964-0.00066047i,-0.00063479-0.00047065i,1.9237e-05-0.00036521i,0.00033807+1.9058e-05i,0.00014959+0.00057045i,0.00034181+0.00012682i,0.00088368-0.00029066i,0.00040624-2.4485e-05i,0.00014798-0.0002838i,-6.0384e-05-0.00026024i,-0.00020232+0.00019603i
-0.00044112+0.0029143i,0.00092906+0.0021767i,0.0022491+0.0013402i,0.0015703+0.0001799i,0.0009882-0.00074908i,0.0010686-0.00091804i,0.0012495-0.00035642i,0.0011737-0.00072929i,0.00037539-0.0013749i,-0.00050985-0.0010636i,-0.0005758-0.00023619i,-3.5792e-06-0.00015491i,3.2516e-05-6.5556e-05i,-0.00061661-0.00040349i,-0.00024221-0.00087587i,2.8953e-05-0.00058246i,4.5249e-05-0.00042947i,0.00038006-0.00071129i,0.00044283-0.00013519i,0.00027584+0.0002463i,-0.00046443-8.0448e-05i,-0.00014023-0.00023285i,0.00049858-0.00034983i
-0.0010471-8.6808e-05i,-0.0013607-0.00063233i,-0.0016808-0.00023611i,-0.00078694+0.00031233i,1.8768e-05+0.0006463i,0.00063627+0.00038925i,0.0016232-0.00059194i,0.0011804-0.0011516i,0.00014464-0.0013794i,0.00025335-0.0015008i,0.00028414-0.0011462i,0.00011979-0.00060804i,-0.00030951-0.0006391i,-5.053e-05-0.00066114i,0.00075357-0.00057481i,0.0011252-0.00021038i,0.00068092-0.00063465i,0.00068277-0.0013857i,0.00087098-0.00093217i,0.00012955-0.00025778i,0.00014458+3.9108e-05i,-0.00015753+0.00049595i,-0.00017129+0.00012501i
0.00022691-0.0019966i,0.00057712-0.00092497i,-0.00069882-0.00083193i,-0.0012814-0.0015952i,-0.00031526-0.0012399i,0.00046247-0.00010691i,0.00074138+0.00018262i,0.00065582+2.3348e-05i,0.00031746+6.2444e-05i,0.00017305+0.00028062i,-0.00047613-0.00010727i,-0.00073758-0.00058918i,-3.2328e-05-0.00022327i,3.0499e-05-0.00014217i,1.9671e-05-0.00053064i,-4.2039e-05-0.00071458i,-0.00043568-0.00067052i,-0.0001284-0.00074049i,0.00079866-0.00072658i,0.0012103-0.00036414i,0.00029991+0.00044271i,0.00017261+0.00039719i,0.00096912+0.00010355i
-0.00076354+0.0012074i,0.00023332+0.0016723i,0.00038134+0.00095988i,-7.1913e-05-0.00042402i,0.00011151-0.0011157i,0.00046906-0.00058736i,0.0013513-0.00033673i,0.0020053-0.00069039i,0.0010599-0.00084886i,0.00037744-0.00059028i,0.00059852+1.2837e-06i,0.00050073+0.00024357i,0.00027885+0.00010961i,0.00024217-0.00020653i,0.00030314-0.00060687i,0.00023383-0.00049824i,-0.00021964-0.00019611i,-0.00096284+0.0003582i,-9.658e-06+0.0010845i,0.00086155+0.00083598i,0.00058839-0.00038817i,0.00066962-0.0007379i,0.00076552+6.5984e-05i
0.00074211-0.00022945i,0.0026045+0.0010722i,0.0033929+0.0003014i,0.0017299+0.00040849i,0.00069101+0.00040205i,0.00060103-0.00063203i,0.00061647-0.00065297i,0.00050866-0.00030267i,0.00068949-0.00022844i,0.00083267-0.0001758i,-0.00025115+0.00030436i,-0.00075811-0.00032669i,-0.00026001-0.0010404i,0.00045819-0.00021425i,0.00019802+0.00024848i,-0.00057306+0.00021653i,-0.0010261+0.00035281i,-0.00036876+0.00012588i,0.00017093+5.8188e-05i,0.00032856+0.00070514i,0.0007183+0.0011125i,0.0007663+0.0010774i,0.00042058+0.0011422i
0.0010593-0.0010153i,0.00074607-0.00066289i,-0.00034638-0.001543i,-0.00015683-0.0019219i,0.0011478-0.0019094i,0.0015744-0.001711i,0.001196-0.0012318i,0.0002653-0.00050548i,-0.00035225-0.00063921i,-0.00043247-0.0011472i,-0.0002493-0.0007018i,1.0356e-06-0.00030496i,-5.1182e-05-6.9102e-05i,0.00039827-0.00024718i,0.00020331-0.00053791i,-0.00046815-0.00079383i,4.6714e-05-0.0010434i,0.00015233-0.0010774i,-0.00010887-0.00095939i,-0.00034184-0.00044804i,-8.2319e-05+1.2136e-05i,0.00014634+0.00035008i,-2.5453e-05+2.0779e-05i
0.00011469+0.0022832i,0.0010353+0.0042335i,0.0013985+0.0045863i,0.0013885+0.0016977i,0.0015437-0.0011324i,0.0012813-0.00092256i,0.0007351-0.00066073i,0.0005693-0.00077481i,0.00049929-0.00097412i,0.00027775-0.0013381i,0.00035714-0.0012779i,0.00010638-0.00031829i,0.00014189+0.00029938i,0.00025839-0.00043356i,0.0004697-0.00091282i,0.0010747-0.00052148i,0.00083449+0.00025905i,1.3069e-05+0.00089961i,-0.00020268+8.9315e-05i,7.6184e-05-0.00030337i,0.00020054+0.00033169i,0.00018734+0.00066349i,0.00037226-7.633e-05i
-0.00017744-0.00057826i,-0.0010298-0.0016183i,-0.00053881-0.0023288i,-0.00020621-0.0010417i,6.6057e-05-0.00051502i,0.0011389-0.0014479i,0.0014967-0.001514i,0.00092781-0.0013568i,0.00095561-0.00068664i,0.0014495-9.1778e-05i,0.0005407-4.5585e-05i,-0.00015257+2.4503e-05i,-0.00025992-0.00024057i,-0.00041009-0.00050925i,0.00058059+2.6283e-05i,0.0013457-0.00013384i,0.0010829-0.00065717i,0.00029515-0.00080384i,-0.00054669-0.00084285i,0.00026172-0.0004293i,0.00072497+0.00019749i,0.00033405-0.00021194i,0.00010411-0.00037481i
-0.00091572-0.00076496i,-0.00095853-0.00029737i,-0.0011658-0.00018223i,-0.00086372-7.5792e-05i,0.00013894-0.0004571i,0.0012388-0.00054242i,0.001256-0.00070276i,0.00086475-0.00064046i,0.00034676-1.0798e-05i,0.00052749+0.00011741i,0.00098172+7.0445e-06i,0.00059038+6.3455e-05i,0.00030295+0.00038718i,-0.00068047+0.00039765i,-0.0012946-9.0964e-05i,-0.0011733-0.00039632i,-0.00083097-0.00062278i,-0.00020554-0.00073039i,5.0136e-05-9.9534e-05i,-0.00056757-0.00028376i,-0.00036977-0.00065369i,-0.00042086-0.00039177i,-0.00064571-0.00025802i
-0.00037864-0.0015534i,-0.0002174-0.00093031i,-0.0010695+0.0013743i,-0.0011799+0.002096i,0.00019485+0.0019248i,0.0011588+0.0013506i,0.0011315+0.00011406i,0.00083748-0.00030594i,0.00083119-0.00028784i,0.0001438-0.00088264i,-4.2542e-05-0.00059265i,0.00077197+0.00047943i,0.00071479+0.00039282i,0.00029535-0.00047564i,0.00092645-0.00046884i,0.0011631-0.00020616i,0.00018224-0.00040283i,-0.00054892-0.00011792i,-0.00031887-0.00042157i,2.1415e-06-0.0002464i,0.00046931+0.00073658i,0.00013395+0.00033689i,-0.00087514-0.00056282i
0.002225-0.00095368i,0.0018594-0.0013422i,0.0022739-0.0026646i,0.0011477-0.0029552i,-0.00021865-0.0022042i,-7.9336e-05-0.0018121i,0.00051098-0.0013057i,0.00073641-0.00021836i,0.00034224+0.00023243i,0.00021697-0.00068484i,0.00011194-0.00076938i,0.00037201-0.00020645i,0.00062493-0.00024378i,0.00033693-0.00039536i,-0.00029497-0.00034627i,-0.00047827-0.0010181i,-0.00072718-0.0014182i,-0.0012323-0.00051213i,-0.00096179+8.3364e-05i,-0.00054587+0.00015954i,-0.00015085+0.00068625i,0.00022863+0.00085259i,-0.00013758+0.00095064i
0.00019947+0.0018699i,0.00058152+0.0022618i,0.00053433+0.0016556i,0.00092412+2.496e-05i,0.0014258-0.0012801i,0.0014113-0.0014958i,0.0010595-0.00093499i,0.00040687-0.00070956i,-0.00017927-0.00061957i,-9.4872e-05-0.00060537i,0.00025887-0.0010753i,0.00054803-0.0012101i,0.00059021-0.00067145i,-0.00015889+0.00032467i,-0.00063837+0.00052916i,-2.8467e-06-3.8217e-05i,0.00030669-0.00029379i,0.0002794+9.2223e-05i,0.00017268+0.0006322i,-0.00047599+0.00097771i,-0.0006563+0.0013473i,-0.00017433+0.001368i,9.4885e-05+0.00059462i
0.00072888+8.8665e-05i,-0.00013627-0.00064102i,-0.00038465+0.00020257i,-0.00027602+2.6865e-05i,0.00027772-0.00074052i,0.0012687-0.00074006i,0.0014406-0.00076275i,0.00050247-0.0012782i,0.00036628-0.0016326i,0.0013008-0.00083199i,0.001396+0.00039773i,0.00060519-8.5395e-06i,0.0003736-0.00045648i,0.00058027+0.00016147i,0.00066254+3.3832e-06i,0.00028051-0.00064408i,4.4148e-05-0.0011067i,-0.00023928-0.00062264i,-0.00053827+0.00018185i,0.00023925+0.00010627i,0.00079312+0.00022508i,0.00034573+0.00080401i,4.7337e-05+0.00049388i
-0.00018374+0.0026654i,0.00022268+0.0025136i,0.001337+0.0022919i,0.0015118+0.0013332i,0.00086842+0.00019197i,0.0011755-0.00038371i,0.0018114-0.00087871i,0.00079201-0.00038326i,-0.00040747-0.0002933i,-4.6261e-05-0.00014793i,0.00055336+0.00023434i,0.00038628+0.00021102i,-3.2856e-05+0.00013616i,0.00020364-0.00018387i,0.00040942+2.4319e-06i,0.00060816-0.0001317i,0.00041991-0.00043006i,0.00050824-0.00081872i,0.0011453-0.00090076i,0.00080798-0.00020011i,0.00030904-0.00013966i,0.00019228-0.00062451i,9.8798e-05-0.000579i
-0.00057354+0.0010009i,-0.0001415-0.00050826i,0.0013235-0.00071769i,0.0021116-0.0001823i,0.0022527-0.00070137i,0.0018503-0.00099104i,0.00075373-0.0010235i,4.2665e-05-0.0010637i,0.00050242-0.00063584i,0.00023045-0.00029603i,-0.00027349-0.0001561i,-0.00010971-0.00023812i,0.00018617-0.00061208i,0.00016772-0.00031753i,0.00016633-0.00041532i,0.00082256-0.0007523i,0.00077027-0.00012953i,0.00019812+0.00035889i,0.0003193+0.00016752i,0.00047095+0.00026211i,0.000726+0.00015055i,0.0012432-0.00018666i,0.001044-0.00032217i
0.001041+0.00084101i,0.0017349+0.00077344i,0.0020793-0.00037758i,0.0010819-0.0020984i,0.00011691-0.0021862i,0.00023216-0.00017783i,0.0011941+0.0007798i,0.00098165+0.00080255i,0.00096222+0.00060806i,0.0010462-0.00034295i,0.0004338-0.0012947i,0.00037393-0.0012664i,-0.00021525-0.0011538i,-0.00046599-0.00066971i,0.00048771-0.00025243i,0.0010954-0.00045852i,0.00048462-0.00052312i,-0.00055767+9.1443e-05i,-0.0010193-0.00012002i,-0.00047752-7.8672e-05i,0.00064201+0.00059432i,0.00041217+0.00059399i,-0.00021709-0.00053081i
-0.00041289+0.001382i,-0.00018003+0.00077778i,0.00036901-0.00041762i,0.00086282-0.0010293i,0.00065973-0.0016707i,-2.3741e-05-0.0016457i,7.8136e-05-0.0010979i,5.2015e-05-0.00097954i,-0.00021682-0.00024882i,0.00043176+2.9061e-05i,0.00057882-0.00055523i,0.00035127-0.00055927i,-0.00016037+0.00020851i,-0.00091712+0.00045524i,-0.00013114+0.00025485i,0.00075773+0.00032044i,0.0006716+0.00026434i,-8.0697e-06+0.00016401i,-0.00016979+0.00031832i,2.5341e-05-0.00011129i,-0.00026523-0.00062418i,-0.00041952-0.00089558i,-0.00024779-0.0012746i
-0.0014637-0.00063172i,-0.000782-0.00056648i,8.8073e-05-0.00088614i,-0.00020541-0.000689i,-1.5623e-05-0.00061422i,0.00071934-0.0010855i,0.0011842-0.0010816i,0.00076711-0.00059582i,2.4293e-07+0.00028103i,0.00035988+0.00046263i,0.00091582+0.00018805i,0.00065593+0.00027996i,0.00061038-0.00015803i,0.00016635-0.00071887i,-0.00032607-0.00072005i,0.00020179-0.00069449i,0.000456-0.00031447i,-0.00015007-7.452e-05i,-0.00028455-1.5054e-05i,-0.00011345+0.00037017i,0.00028345+0.00063675i,0.00050688+0.00072571i,-0.00019533-3.6673e-05i
0.00022476+0.00053047i,-6.4693e-05+0.00053851i,0.00095049+0.0010992i,0.00070083+0.00092148i,0.00087764-0.00035216i,0.0012697-0.00093864i,0.00060126-0.00047129i,0.00053609-0.00049578i,0.0011557-0.0006735i,0.0011975-0.00055159i,0.00065289-0.00055771i,-2.9321e-05-0.00084781i,-0.00018699-0.00040408i,-0.00057256+4.8546e-05i,-0.0016337-3.235e-05i,-0.0016095+0.00033463i,-0.00061336+0.00011601i,0.00057269-0.00032237i,0.00056964+0.00031065i,6.7127e-06+0.00052793i,0.00045432+0.00038889i,0.00043203-2.4569e-05i,-0.00018448-1.6365e-05i
0.00032148-0.00078678i,0.00033986-0.00017838i,0.0015789+0.001068i,0.0010772+0.0011027i,0.00022233+0.0001932i,7.8942e-05-0.00035998i,0.00074742-0.0014335i,0.0010379-0.0012045i,0.00070459-0.00071449i,0.00047747-0.0012298i,0.00011821-0.0010944i,0.00024568-0.00080226i,0.0011872-0.00049625i,0.00069993-0.00033944i,-0.0006051-0.00033977i,-0.00056355+0.00045762i,-2.3161e-05+0.00077458i,7.423e-05+0.00067899i,-0.00019345+0.00079068i,-0.00016014+0.00012585i,7.651e-05-0.00025633i,-6.9546e-05+0.00041948i,0.00011612-4.7631e-05i
-0.0010828-0.0015517i,-0.0024381-0.002038i,-0.001955-0.0011982i,-0.00093415-0.00015002i,-0.00013004+0.00025814i,0.00099988+0.00080319i,0.0013147+0.0011638i,0.00045737+0.00057214i,8.7419e-05+0.00065143i,8.9001e-05+0.0010331i,2.3257e-05+0.00058011i,0.00011304+0.0002618i,0.00035956+0.00011746i,-0.00010061+5.0251e-05i,0.00025302+0.00079563i,0.00049652+0.0014336i,-0.00010556+0.00088522i,0.00030525+0.00037912i,0.00055479+0.0012374i,0.00042583+0.0014433i,0.00047767+0.0010833i,0.00049183+0.00054223i,0.00026668-0.00068058i
9.1686e-05+0.00046263i,0.00028695+0.0014347i,0.0006166+0.0017368i,0.00025827+0.00073689i,-0.0004244+0.0001905i,-3.087e-05+0.00034531i,0.00091862-0.00080995i,0.00067496-0.00091363i,-0.00021142-0.00011465i,-0.00014551-0.00027752i,0.00034056-0.00067276i,0.000594-0.00072922i,0.00024274-0.00042856i,0.00056815-0.00011648i,0.0008609-0.00033042i,0.00029641-0.0014463i,8.1387e-05-0.0013873i,0.00052515-0.00057034i,0.00071893-8.669e-05i,1.8932e-05+0.00010079i,-0.000145-6.3269e-05i,-0.00019171+0.00021921i,-0.0002207-0.00015916i
-0.00080856-0.0019768i,-0.00095517-0.0019555i,-0.0010047-0.0010632i,-0.00081569-9.6437e-05i,-0.00046206+0.00032396i,-0.00036663+0.00048013i,-0.00037345-0.00031703i,-0.00013237-0.0011408i,-0.00033719-0.0012977i,-0.00080997-0.0010122i,-0.00056582-0.001212i,-0.0002328-0.00082889i,-0.00058767+0.00010671i,-0.00026402+0.00059249i,-1.5347e-05+0.00075293i,-0.00021328+0.00027614i,-0.0002108+0.00013572i,7.3808e-06+0.0003947i,5.5721e-05+5.7446e-05i,-0.00013055-0.00023938i,-0.00024438-3.278e-05i,0.00055374+0.0001651i,0.0010399+0.00062535i
