0.076398-0.023413i,0.044318+0.016396i,0.021212+0.035805i,0.01505+0.021939i,0.0091953+0.0029534i,0.0030752-0.0014796i,-0.00058227+0.00038742i,-0.0024832+0.00075431i,-0.0034164+0.00092965i,-0.0038676+0.0013705i,-0.0023617+0.0012709i,-0.00042377+0.00012688i,0.0011451-0.00096088i,0.001773-0.00204i,0.00031672-0.0032288i,-0.0023147-0.002919i,-0.002889-0.001372i,-0.0011992+0.0008582i,0.00042904+0.0016691i,0.0012591+0.00092593i,0.0021526+0.00079045i,0.001275+0.00041296i,0.00037098+0.00010697i
0.016897-0.084572i,0.039768-0.040617i,0.047409-0.012216i,0.029373-0.010644i,0.0062282-0.011644i,-0.0025636-0.0056493i,-0.002193+0.00068985i,-0.00038324+0.0022917i,0.00039124+0.0021251i,-0.00037363+0.002331i,-0.00039612+0.0017821i,-0.00018836-0.00023358i,-7.3499e-05-0.0017386i,-0.0004901-0.0019044i,-0.0015542-0.0011267i,-0.0015331+0.00046903i,-0.00057373+0.0013815i,0.00053826+0.00058727i,0.0004307-0.00071346i,-4.8829e-05-0.0013928i,0.00014081-0.0021248i,-4.9821e-05-0.0018055i,-0.0010957-0.00056241i
-0.071586-0.055367i,-0.024511-0.056588i,0.0042869-0.051267i,-0.00081404-0.035271i,-0.011166-0.014824i,-0.010598-0.0030149i,-0.003196+0.00026875i,0.0025943+0.00084507i,0.0035533+0.00084632i,0.002176+0.0011038i,0.00086554+0.001202i,-0.0014331+0.0012595i,-0.0034741+0.001192i,-0.0033604+0.001542i,-0.0025898+0.002706i,-0.0015856+0.0040805i,3.5006e-05+0.00302i,0.00063776+0.00028469i,-0.00029025-0.0019831i,-0.0011348-0.0028624i,-0.00094808-0.0019599i,-0.0012553-0.0008826i,-0.0013946-8.9407e-05i
-0.084905+0.042476i,-0.068152+0.00021272i,-0.052743-0.025231i,-0.039354-0.016232i,-0.02444+0.00033574i,-0.012705+0.0059406i,-0.0043718+0.0043035i,2.5464e-05+0.00027167i,0.000954-0.002088i,0.0013085-0.0012514i,0.00056304+0.0002323i,-0.0004806+0.001992i,-0.0010473+0.0031194i,-0.00047828+0.0026534i,0.00035821+0.0020371i,0.00055753+0.0009481i,0.0014275-0.00061269i,0.00096417-0.00050069i,-0.0011709+0.00015809i,-0.0018588-0.00019i,-0.0016406+0.00026252i,-0.0013036+3.2385e-05i,-0.00027547-0.00036092i
0.00093353+0.099131i,-0.029758+0.066636i,-0.046507+0.039981i,-0.031756+0.029008i,-0.010575+0.02188i,-0.0016779+0.014534i,0.00041825+0.0069675i,-0.00011587+0.00088594i,-0.0014639-0.0019125i,-0.0010546-0.0020033i,-0.0003088-0.001343i,0.0005509+0.00067135i,0.00020434+0.0020846i,0.00027962+0.0010948i,0.001114-0.0001541i,0.0011547-0.0013823i,0.0001226-0.0026016i,-0.00064444-0.0024507i,-0.0009579-0.00045063i,-0.00077407+0.0010635i,-0.00034679+0.0021395i,-0.00014687+0.0017989i,0.00033941+0.00050318i
0.098238+0.043367i,0.055583+0.056612i,0.023459+0.060171i,0.017709+0.042484i,0.016575+0.018267i,0.011503+0.0056402i,0.005291+0.0021236i,0.0003126+0.0012963i,-0.0016909+0.00016268i,-0.0021155-0.0017415i,-0.0012386-0.0022709i,0.00018731-0.0011936i,0.00097863-0.00082411i,0.0018747-0.0013741i,0.0020332-0.0015355i,0.00035249-0.0020257i,-0.0011105-0.0023133i,-0.0013-0.0011871i,0.00011484+0.0002881i,0.0014991+0.0013075i,0.0015776+0.0016778i,0.00098961+0.0013743i,-0.00028444+0.0010368i
0.083826-0.069863i,0.078069-0.028665i,0.066897+0.00094385i,0.048243-0.0014807i,0.024249-0.010673i,0.0077897-0.010688i,0.0012389-0.0051053i,0.00030129+2.8856e-05i,0.00011413+0.0014988i,-0.0012113+0.00094785i,-0.0015111+9.3506e-05i,-0.00082984-0.0011204i,0.00011357-0.0018728i,-2.2652e-05-0.0013425i,-0.00162-0.0010241i,-0.002719-0.00073511i,-0.003187+0.0004284i,-0.0024903+0.0012231i,-0.00043797+0.00052056i,0.00075072-0.00095965i,0.0018334-0.0012934i,0.0018037-0.00016263i,-0.00079529+0.000725i
-0.031838-0.10918i,0.00053124-0.087099i,0.023409-0.06527i,0.016558-0.048862i,-0.00050623-0.030234i,-0.0083613-0.014765i,-0.0060044-0.0049433i,-0.00074692-2.5737e-06i,0.00051117+0.00085055i,-0.0010056+0.0017539i,-0.002551+0.0014538i,-0.0039798+8.376e-05i,-0.0041963-0.0008851i,-0.004353-0.0015405i,-0.0046077-0.0009732i,-0.0037403+0.00074896i,-0.0020315+0.0020419i,-0.00088144+0.00098206i,-0.00089762-0.00051725i,-0.00080811-0.0012416i,-0.00027526-0.0020671i,-0.00022271-0.0015561i,6.0688e-05+0.00042088i
-0.11582-0.019118i,-0.083527-0.039127i,-0.050859-0.048932i,-0.038394-0.034208i,-0.030561-0.012375i,-0.019108-6.9687e-05i,-0.007804+0.0027628i,-0.00014958+0.001007i,0.0015164-0.00031648i,0.0018438+0.00062932i,0.0020785+0.0022327i,-0.00036456+0.00338i,-0.002586+0.002467i,-0.0022492+0.00033794i,-0.0013916-0.00065141i,6.8221e-05+6.6141e-05i,0.0016714-0.00020092i,0.0019239-0.0012136i,0.0017668-0.0014857i,0.00069081-0.0016681i,-0.00081249-0.0012575i,-0.0011604-4.3844e-05i,0.00024057+0.00041089i
-0.064781+0.10172i,-0.069404+0.067039i,-0.066745+0.032981i,-0.050313+0.023898i,-0.027217+0.022585i,-0.011723+0.017506i,-0.0032108+0.0087887i,0.00074219+0.00047554i,0.0018025-0.0019691i,0.0033479-0.0012505i,0.0038397+0.00031854i,0.002977+0.0030482i,0.0013427+0.0045237i,-0.00010019+0.0036464i,0.00072592+0.0024784i,0.0017514+0.0016544i,0.0011567+9.1664e-05i,0.00052131-0.00052591i,-6.5402e-05+0.00071847i,-0.00071299+0.0011546i,-0.00040392+2.8792e-05i,-0.00020162-0.00094191i,0.00042865-0.0009817i
