-0.0022583+0.00041115i,-0.0023767-0.00061959i,-0.0034377-0.00035255i,-0.0035523+0.00052432i,-0.0018879+0.0022384i,-0.00069413+0.0032375i,-0.00023367+0.002616i,0.00034565+0.0019349i,0.00022049+0.001558i,0.00019396+0.0014545i,0.00025567+0.00080282i,0.00028148+0.00030546i,7.2804e-05+0.0005722i,-0.00015038+5.88e-05i,0.00038182-0.00030734i,0.00048222-0.00076207i,0.00019926-0.0013755i,0.00028765-0.00086034i,0.0011096+3.4866e-05i,0.0013355+4.3828e-05i,0.00072064-0.00036533i,0.00057124-0.00050042i,0.0002338+0.00016666i
0.0012156+0.0014249i,0.0006818+0.00075241i,0.00045546+4.453e-05i,0.00014702-0.00039052i,0.00055982-0.00016754i,0.0008494+0.00042271i,0.00051692+0.00081164i,0.00061661+0.00062865i,0.0010744+0.00046353i,0.00099078+0.0004955i,0.000126-0.00030324i,-0.00033795-0.00055404i,-0.00023761+4.9699e-05i,-0.00021581-7.8071e-05i,-0.00013885-0.00062973i,-1.1237e-05-0.0003667i,-0.00028361-0.0001433i,-3.5585e-05+0.00039437i,-2.2566e-05+0.0010257i,-0.00030923+0.00048599i,-0.00071977-0.00040051i,-0.00051332-0.00072425i,-0.0002025-0.00050098i
-0.00018782+0.0029151i,-0.00026572+0.0025577i,-0.00052844+0.0018127i,-0.00034289+0.00097157i,-8.5711e-05+0.00010547i,0.00035059+0.00017571i,0.00074663+0.00077621i,0.00047256+0.0006135i,1.9659e-05+9.7648e-05i,6.4119e-05-0.00028614i,-2.2955e-05-0.0006392i,-0.0007111-0.00076333i,-0.0015412-5.1852e-05i,-0.0011144+0.00084762i,-0.00044357+0.0008453i,0.00021231-3.9946e-05i,0.00099938-0.000756i,0.00095957-0.00070628i,0.00010865-0.00050865i,-0.00022662-0.0004975i,-7.8388e-05-0.00057706i,-0.00015293+0.00025473i,0.00031578+0.00071002i
-3.7203e-05+0.0019904i,0.00058064+0.0015966i,0.0010673+0.0008385i,0.00074313+0.00064125i,9.108e-06+0.00066126i,0.00029709+0.00036782i,0.0016214+0.00065333i,0.00086797+0.0015175i,-0.00018826+0.0011582i,-0.00050451+0.00013285i,-0.00015545-0.00013483i,0.00020303+0.00012528i,-3.4325e-05+0.00076615i,7.5402e-05+0.00050477i,0.00036718-0.000349i,0.00072619-5.904e-05i,0.00071075+0.00035026i,0.00089821+0.0004853i,0.0010291+0.0010433i,0.00072717+0.0006034i,0.00086849-8.8066e-05i,0.001041-0.00020566i,0.0010791+0.00016692i
0.00025717-0.0012735i,-2.3722e-05-0.0006918i,-0.0011619-0.0011434i,-0.0012439-0.0011926i,-0.00016213-7.8258e-06i,0.00068612+0.00095682i,0.00092682+0.0011751i,0.00091768+0.0010083i,0.0002184+0.00072819i,-0.00064408+0.00014793i,-0.00070668+0.00032541i,-0.0010513+0.00093996i,-0.00033382+0.001319i,0.00060878+0.0012422i,0.00058947+0.00086907i,4.2431e-06+0.00096488i,0.00010446+0.00060998i,0.00078522-0.00017472i,0.00065158+9.5613e-05i,-0.0002895+0.00041383i,-0.00060198+0.00029576i,8.1529e-05+0.00058837i,-1.003e-05+0.00073193i
0.0027868+0.0017121i,0.0025242+0.00095638i,0.0026649-0.0011986i,0.0011685-0.0026125i,-0.0013383-0.002682i,-0.002061-0.00095405i,-0.00088263+0.00072913i,-2.4728e-05+0.0012509i,0.00073551+0.0011119i,0.00086769+0.00029389i,-0.00049427-0.0003966i,-0.00095124-0.00044073i,-0.00036411+0.0006733i,0.00047282+0.001033i,0.00073749+0.0003521i,0.00047458+4.6639e-05i,-3.8743e-05+0.00044049i,0.00039836+0.00032177i,0.00093278-3.936e-05i,0.00015254+7.4993e-05i,-0.00018243+0.00011926i,0.00054015-0.00027216i,0.0011393-0.0010467i
0.00054325-0.00048542i,-0.00036353-6.6723e-05i,-0.0007234-0.00067272i,0.00051311-0.00057893i,0.00025819-0.00038169i,0.00057578-0.00025646i,0.0013028-0.00017091i,0.0013519-0.00040179i,0.00082009-0.00039242i,0.00026785-0.00031506i,-0.00014727+0.00014687i,-0.0006605+0.00011731i,-0.0005463-8.9646e-05i,4.6709e-05+0.00070862i,0.00023139+0.0012568i,0.00084491+0.00075221i,0.0012932+0.00047795i,0.0013188+0.00077335i,0.0010711+0.00047959i,0.00062381+0.00012349i,3.7194e-05+8.9739e-05i,8.7257e-05-0.00056405i,0.00030604-0.00052919i
-0.00086717+0.0011488i,-0.0013755+0.0022086i,-0.0013596+0.0014699i,-0.00038702+0.00064833i,-0.00020189+0.00029191i,-0.00027385-0.00022214i,-0.00063139-0.00033888i,-0.00072191-0.00031969i,-0.00019566+0.00053243i,0.00064288+0.0010273i,0.00070034+0.0003624i,0.0004164+0.00012653i,-8.3635e-05+0.00087218i,-0.00041765+0.00099569i,-0.00011588+0.00034922i,0.00057077+1.8226e-05i,0.00088373+0.00038824i,0.00042998+0.00069425i,0.00069359+0.00051583i,0.00097476-0.00031931i,0.00033225-0.0004145i,-0.00039517+0.00021038i,-0.00042697+0.0010062i
0.0003322+0.00056779i,0.00029244+0.0012625i,0.0011544+0.0007797i,0.00071241+0.00021898i,0.00014604-0.00015172i,0.00052073-3.858e-05i,0.00056535-0.00034512i,0.00050909-0.0003035i,0.0003437+0.00026781i,-0.00066239+0.00021454i,-0.00105-0.00039095i,-0.00085834-0.00031349i,-0.00044644-0.00021303i,0.00046678-0.00032708i,0.00063214+0.00035454i,0.00087766+0.00013957i,0.00073233-5.4196e-05i,0.00079479+0.00027107i,0.00094675-0.00018741i,-3.3692e-05-0.0007032i,-0.00063207-0.00049903i,-0.00079632+0.00030064i,-0.00080592+0.00060387i
-0.0011573+0.00051671i,-0.0011439+0.0012723i,-0.00052282+0.0014973i,0.0001926+0.0012273i,0.00028262+0.0011643i,-6.4971e-05+0.00038757i,0.00041026-0.00021182i,0.0009+0.0011105i,0.00037779+0.0015012i,-0.00019122+0.00032378i,-0.00018687+0.00048209i,0.00015635+0.00069871i,0.00027465+0.00036121i,0.00081753-3.4644e-05i,0.00070657-0.0004696i,4.0283e-05-0.00074936i,-0.00022808-0.00087985i,-0.00016993-0.00061735i,0.00024613+0.00019459i,0.0004834+0.00063557i,9.0839e-05+0.00012792i,-0.00043034-0.00026514i,-0.00047475-6.6885e-05i
0.00061725-0.00012907i,-0.00063641-0.00076611i,-0.00050588-0.0014063i,-0.00068468-0.00048353i,-0.00062592+0.00029509i,0.00020334+0.00029465i,0.00086869-7.4597e-06i,0.0012169-0.00022608i,0.0010432+0.00020846i,-0.00010889+0.00046103i,-0.00048309+0.00016772i,-0.00025953+0.0008014i,-0.00046956+0.0011562i,-0.00055955+0.00026337i,-0.00037697-4.0026e-06i,-0.00011903-1.1117e-05i,0.00014459+5.0768e-05i,0.00065991+0.0005476i,-4.9536e-05+0.00081835i,-0.00075542+0.00035487i,0.00019495-0.00018589i,0.0006024-3.5577e-06i,0.00067075+0.00066883i
0.00015065-0.0010047i,-4.7453e-05-0.0010426i,-0.0010195-0.001432i,-0.0008794-0.00044471i,1.2782e-05+0.0012958i,0.00098606+0.00169i,0.0012195+0.00121i,0.00055295+0.00094948i,-0.00014716+0.00037799i,-0.00069578+0.00041141i,-0.00028823+0.00057714i,-0.0001174+0.00071759i,-0.0007729+0.0010475i,-0.00079117+0.0006674i,-0.00017468+0.00043845i,0.00023153+0.0008373i,0.0008573+0.0011361i,0.0010171+0.00098197i,0.0005467+6.7157e-05i,2.1823e-05-0.00019378i,-0.00010418+0.00031409i,0.00065638+0.00038509i,0.00036965+0.00031982i
0.0017007+0.0013674i,0.001866+0.0012458i,0.0014447+0.00069115i,0.0010388+2.5356e-05i,0.00082046-0.00067084i,0.00038605-0.00064141i,0.00093615-0.00016065i,0.0010717+0.00038892i,0.00051004+0.00084953i,-0.00036077+0.00078827i,-0.0011016+0.00035234i,-0.00091224-4.0846e-05i,-0.00036659+0.00035619i,-0.00028656+0.00068377i,1.446e-05+0.00076566i,0.00021505+0.00058393i,0.00038518+8.2006e-06i,0.00028434-6.9802e-07i,0.00013208-0.00019786i,-0.00012751+7.8753e-05i,-0.00061419-0.00022835i,-0.00047024-0.00087362i,-0.00058531-0.00029334i
-0.00059129+0.0024235i,-0.0005327+0.0012853i,-7.1972e-05+0.002381i,0.00010362+0.0019997i,-0.00060131+0.00092824i,-0.00083469+0.00067833i,6.0275e-05+0.0004902i,0.0007726+1.3233e-05i,0.00064673-0.00011069i,0.00022607-6.1413e-05i,-9.9533e-05-0.00018614i,-0.00046717-0.00026376i,-0.00056995+0.00011101i,-0.00082581+0.00051786i,-0.0011473+7.9556e-05i,-0.00071408+0.00012075i,0.00014602+0.00062709i,0.00019646-3.3702e-05i,0.00032662-0.0010383i,0.00037855-0.00072838i,0.00038711+0.00016751i,0.00041247+0.00043212i,0.00035962+0.00015819i
-0.0020511-3.5982e-05i,-0.0032584-0.0014532i,-0.0024505-0.00039623i,-0.0012356+0.00075764i,-0.00064558+0.00073366i,0.00028016+0.00049237i,0.0007703+0.00013718i,0.00047969-0.00033968i,-0.00016059-7.0138e-05i,-0.00059851-5.3567e-06i,-0.00072721-0.00023254i,-0.00054412-4.0563e-05i,0.00019143+8.9658e-08i,0.0014729-8.7407e-05i,0.0022667-0.00012088i,0.0017724-0.00010347i,0.0012529+0.00024945i,0.0004093+0.00027997i,0.00030204-0.00055322i,0.0010185-0.0006988i,0.0011835+6.3065e-05i,0.00062844+0.0004149i,0.00017147+0.00044945i
0.0012421-0.0014i,0.0013934-0.0010129i,0.0012271-0.0015779i,0.00036841-0.0021148i,0.00012582-0.0015966i,0.00016391-0.0013792i,0.00035951-0.00081311i,0.0006449-0.00021678i,0.00071226-5.3049e-05i,-0.00021685+0.00048914i,-0.00039596+0.00069622i,-0.00033222+0.00070294i,-0.00057931+0.00038363i,0.00067188+7.1829e-05i,0.0013099+0.0002233i,0.00066412-0.00013442i,0.0009474-0.00033257i,0.0012328+2.1055e-05i,0.00037746+0.00010049i,-0.00024316+1.9087e-05i,-8.1959e-05+7.9709e-05i,0.00016708+8.1437e-05i,0.00027643-7.4112e-05i
0.0030945+0.00071675i,0.0023577+0.00040309i,0.0021264-0.00099558i,0.00064416-0.0024901i,-0.00089977-0.0020403i,-0.0010804-0.00062057i,-0.00053304+0.00048861i,0.00018227+0.00082912i,0.00061451+0.00054434i,-0.00025839-0.00012856i,-0.001181-0.0010745i,-0.0011439-0.00099183i,-0.00040312+0.00021332i,-3.131e-05+0.0010137i,-0.00026765+0.00072034i,-0.00040852+0.00031374i,0.00038122+0.00073648i,0.00097677+0.00080691i,0.000159-3.9147e-05i,-0.00035445-0.00043182i,-0.00022283-0.00044527i,-0.00043707-0.00090805i,-0.00060053-0.00064509i
-0.00019627+0.00055367i,-0.00032603+2.1963e-05i,-0.00029784-0.00057258i,-0.00053211-0.00045785i,-0.00026265-0.00057505i,0.00037042-0.0009696i,0.00077372-0.001077i,0.00033151-0.00045647i,-0.00019999-9.9273e-05i,-0.00045445-0.00059442i,-0.00079029-0.0006651i,-0.00075609-0.00020582i,-0.00029343-0.0001232i,0.00023326-0.0006016i,0.00060326-0.00058177i,1.9134e-05+0.00014904i,-0.00040161+5.9666e-05i,0.00063124-0.00099603i,0.0014249-0.0017292i,0.00085692-0.0016042i,5.8918e-06-0.0012533i,2.956e-05-0.00059549i,0.00073586-0.00036761i
0.0011803+0.0014054i,0.00031945+0.0003703i,4.0293e-05-0.00044106i,0.0005948-0.00029696i,0.00082008-6.8507e-05i,0.00086774+0.00020014i,0.00038596+0.00029725i,-0.00044738+0.00039268i,-0.0004738+0.00086499i,0.00021136+0.0012069i,6.9051e-05+0.00042464i,1.9229e-05-0.00058185i,0.00070426-0.0007803i,0.0012245-0.00044403i,0.00084373+0.00014287i,0.00073647+0.00076289i,0.00095093+0.0012605i,0.00068878+0.001121i,0.00099954+0.00011887i,0.00045767-0.00013053i,0.00033637-1.2947e-05i,0.0016239+0.00014801i,0.0013406-1.0006e-05i
0.0012979-0.0004569i,0.0019403-0.00097387i,0.00178-0.0011099i,0.00027159-0.0011445i,-0.00055766-0.00078205i,0.00026897-5.5724e-05i,0.00051992+0.00099932i,-0.00028989+0.0010805i,-0.00049614+0.00047264i,7.8287e-05+0.00066053i,5.7279e-05+0.00060081i,-0.00092457+0.00058185i,-0.00084762+0.00018845i,0.00010717+0.00050158i,0.00046684+0.0012893i,0.00040187+0.0014426i,0.00019285+0.001542i,-0.00027659+0.00075256i,1.9704e-05-0.00034629i,8.0013e-05-0.00066376i,0.00037527-0.00088657i,0.00080067-0.0012949i,0.00047895-0.001162i
-0.00059086+0.00056014i,-0.0006369-0.00017089i,0.0003195-0.00033504i,0.0011355+0.00027841i,0.0010789+0.00045989i,0.00036669+0.00013715i,-0.00047495+2.491e-05i,6.6652e-05+0.00066199i,0.00039676+0.00099241i,0.0001649+0.00047916i,0.00019845+0.00033659i,-0.00062466+0.00066872i,-0.00098446+0.001195i,4.3332e-05+0.0008696i,-5.6743e-05+0.00053402i,-0.00046191+0.00011944i,0.000728-0.00030308i,0.00156-0.00015345i,0.0012376-0.00016047i,0.00061167+0.00053178i,0.00030704+0.00056156i,0.00033478-0.00023633i,0.00058422-0.00024584i
-0.0019185-0.0017258i,-0.00054309-0.0020133i,-0.0010835-0.0015575i,-0.0025192-0.00053743i,-0.0027199+0.00083032i,-0.0016493+0.0014376i,-0.00066681+0.0010768i,-3.1148e-05+0.00045232i,0.00025179+4.249e-05i,-0.00078067+0.00010585i,-0.0011277+0.00034025i,-0.00088093+0.00031676i,-0.00033692+0.00062032i,0.00041891+0.00069336i,0.0011008+0.00067378i,0.0013928+0.00064186i,0.00065151+0.00037229i,-5.5418e-05-2.7608e-06i,-0.0001714-2.095e-05i,-0.00040417+0.00019083i,0.00017306+0.00024752i,0.00055114+2.0582e-05i,-0.00030272+2.0697e-05i
-0.00058844-0.0011997i,-0.0010674-0.0011751i,-0.0019851-0.0012176i,-0.001854-0.00092858i,-0.0010803-0.00033567i,-0.00011232+0.00073813i,0.00091385+0.0010435i,0.00047766+0.00079112i,-0.00094684+0.00048205i,-0.0011612-0.00023271i,-0.0010546-9.6448e-05i,-0.0015563+0.00036101i,-0.0010562+0.00079159i,-0.00025773+0.00062035i,-6.127e-05+0.00010723i,-4.3203e-05-0.00027293i,-0.00018394-0.00080338i,9.0432e-05-0.00018021i,0.00045208+0.00054567i,0.00022123+0.00014725i,0.0003429-0.00036423i,0.00013083-0.00051477i,-0.00035279-0.0003851i
0.0015703+0.00031387i,0.0020438+0.00060825i,0.0016654+2.9203e-05i,0.00046302-0.0004561i,-0.00058764-0.001172i,-0.00038494-0.00092535i,0.00017477+8.5509e-05i,0.00038411-9.7947e-05i,0.00082417-0.00048696i,0.00024014-0.00046481i,-0.00021278-0.00020307i,0.00030843-5.7767e-05i,0.00044637-0.00020778i,0.00053876+2.5081e-05i,0.00036782+0.0001835i,0.00010659-4.8679e-05i,-0.000238-0.00038322i,0.000259-0.00019075i,0.00096798+0.00035503i,5.3871e-05+0.00040767i,-0.00020932+0.00015247i,-9.2744e-05-0.00019388i,-0.00038819-0.00098785i
-0.0015705-0.00035568i,-0.00090716+6.0814e-05i,-0.0012665+0.0010441i,-0.0013395+0.00078463i,-0.0008834+0.0003487i,0.00063805+0.00075912i,0.0010878+0.00070308i,0.00072709+0.00045104i,0.00071382+0.00019843i,7.6398e-05-0.00031172i,-0.00048524-0.00030747i,-0.00070893+0.00051983i,-0.00035122+0.00093234i,-0.00014641+0.00094891i,-1.6854e-05+0.00070692i,0.00057087+0.00073715i,7.138e-05+0.00086791i,-0.00023065+0.00026092i,0.00025689-3.2628e-05i,3.4329e-05+0.00055776i,-0.00014459+0.00088522i,0.00015485+0.00077349i,0.0002811+0.00060743i
-0.0021092+0.0014662i,-0.0021402+0.002124i,-0.0018872+0.0027098i,-0.00070663+0.0026203i,-0.00032411+0.001657i,0.00041483+0.00098664i,0.0009596+0.00056704i,0.00066823+0.00067122i,-3.2039e-05+0.00068159i,-0.00046951+0.0010271i,-0.00011851+0.0017719i,0.00038648+0.0010688i,0.00062745-0.00024726i,0.0011426-0.00083151i,0.00079544-0.00065839i,0.00018436-0.00060283i,0.00057217+2.3951e-05i,0.0013948+0.0011247i,0.0012412+0.00049539i,0.00046298-0.00076197i,0.00030572-0.00067549i,0.00034491-0.00067774i,0.00014569-0.00094262i
9.2808e-05-0.0014679i,-0.00041906-0.0014756i,-0.0017105-0.0014639i,-0.001941-0.0012857i,-0.0014674-0.00079877i,-0.0010877+0.00014463i,-0.00029324+0.00037052i,-0.00031583+0.00066397i,-0.0009309+0.00070973i,-0.00076121+0.00018482i,-0.00032394-0.00026789i,0.00037682-0.00035919i,0.0013242-0.00010513i,0.00056795+0.000439i,-0.00023673+1.0865e-05i,0.00032968+0.00047752i,0.00094698+0.0011123i,0.0011915+0.00065452i,0.00093347-0.00016214i,0.0010455-0.00041163i,0.00060246+2.4552e-05i,0.00012601+0.00029725i,-7.1816e-05+0.00071728i
0.001731-0.0014737i,0.0017339-0.0016053i,3.8457e-07-0.0023011i,-0.0010906-0.002263i,-0.001258-0.0015552i,-0.0008347-0.00048404i,-4.7113e-05-8.052e-05i,0.00016998-0.00032931i,0.00030968+0.00027901i,0.00044417+0.00018058i,-7.5209e-05+0.0001302i,-0.00035869+0.0011771i,-0.00025379+0.00078527i,-0.00062218+7.0606e-05i,-0.00086509+0.00014314i,4.523e-05+0.00027448i,0.00097178+0.00050921i,0.0014349+8.5861e-05i,0.0013988-0.0010526i,0.00078708-0.0013911i,-8.5872e-05-0.0010074i,-0.00014636-0.00087245i,0.00035692-0.0002801i
-0.00023258-0.00050963i,-0.00089545-0.00029864i,-0.0010028+0.00052162i,-0.0008892+0.00027657i,-0.00010872-0.00016169i,0.00096113+0.00033165i,0.0012208+0.0011152i,0.00032342+0.0012773i,-0.00018926+0.0017456i,-0.00048206+0.0015707i,-0.00015637+0.00047068i,0.00070292+0.00027194i,0.00057296+0.00072288i,0.00012539+0.00062112i,0.00075716+0.00016148i,0.00091074+0.00073653i,0.00070385+0.00080357i,0.0002712+0.00026304i,-0.00037739-0.00013709i,-0.00019051-6.3397e-05i,9.7363e-05+0.00015012i,0.0001022+0.00047969i,0.00013799+0.00039381i
0.0014612+0.00079777i,0.00028382+0.0018905i,0.0011799+0.0017996i,0.0018129+0.00069544i,0.00090043-4.0875e-05i,0.00050136+0.00043844i,0.00054889+0.0016014i,0.00049999+0.00095509i,0.00023742-9.215e-05i,7.8946e-05-0.00014587i,0.00036875+0.00028556i,-0.00012068+0.00051878i,-0.00033626-4.3429e-05i,-0.00037876+0.00013975i,-0.0011079+0.00029874i,-0.0014122+0.00054988i,-0.00060471+0.001064i,0.00027265+0.00057929i,-0.00010169+0.00025615i,-0.00062542-2.0427e-05i,-0.00053264-0.00047959i,-0.0006761-0.00028405i,-0.0002789-0.00016996i
1.7676e-06+0.00034816i,-0.00054614-7.1617e-06i,-0.0015374-1.3973e-05i,-0.0017585-0.00063212i,-0.0010475-0.00052387i,-0.00023012-8.1147e-06i,3.1567e-05-0.00029996i,9.6507e-05-0.00038994i,-0.000382-0.00019466i,-0.00040781+0.00024356i,6.7403e-05+0.00034777i,0.000275+0.00027007i,0.00039471+0.0011985i,0.00073373+0.0011391i,0.00048201+0.00043659i,8.6664e-05+0.00012947i,0.00086885-0.00032673i,0.00079157-0.00022139i,-0.00038396-0.00019857i,-0.00050212-0.00052038i,-0.00068044-0.0005508i,-0.00062025-0.00035812i,0.00030114-0.00015245i
0.0012223+0.0016052i,0.0015661+0.0015859i,0.0021348+0.00037972i,0.0027845-0.00090454i,0.0026367-0.0002072i,0.0014444+0.00067974i,0.00089538+0.00081168i,0.0015252+0.00069524i,0.0011758+0.0010246i,0.0008552+0.00073907i,0.00043666+4.155e-05i,2.0835e-05+0.00014201i,0.00034582+0.00031492i,0.00037142+0.00080259i,1.8989e-05+0.00077997i,-0.00025927+0.00073676i,-0.00035966+0.00071312i,6.1705e-05+0.00025345i,-0.00014867-0.00025872i,-6.8297e-05-0.00021464i,3.8514e-05-7.0339e-05i,-0.0007078-0.00041354i,-0.0010623+1.8834e-05i
-0.00081519+7.8524e-05i,-0.00068695+0.0012128i,-0.0004256+0.001962i,-0.00045414+0.001492i,-0.00066301+0.00054165i,-0.00041178+0.0012833i,-0.00019138+0.001155i,0.0008875+0.0005129i,0.00065186+0.00033434i,-2.6243e-05+0.00021099i,-2.2303e-06-0.00016912i,-0.00052349+0.00015443i,-0.00050437+0.0007806i,0.0006728+0.0012005i,0.00094743+0.0012073i,0.00029072+0.00069728i,9.1745e-05-0.00051487i,0.00031508-0.00051436i,7.0117e-05+7.7697e-05i,-0.00015955-0.00023712i,-0.00012461-0.00021591i,0.00015557-8.0022e-05i,0.0001044-9.7671e-05i
