-0.0006175+0.0015214i,-0.00047425+0.0018746i,-0.00085476+0.0020259i,-0.0015342+0.0017718i,-0.0032+0.0011882i,-0.0038297+0.0019022i,-0.0025355+0.002584i,-0.00068132+0.0027315i,0.00048286+0.002172i,0.00098705+0.0011411i,0.001184+0.00062298i,0.0010354+0.00034463i,0.00092808-0.00012599i,0.00097491-0.00018208i,0.00031927-3.8602e-05i,-0.00034944-0.00046998i,-3.3005e-05-0.00069903i,0.00011355-4.9267e-05i,0.00034959+0.00042347i,3.4566e-07+0.00015639i,-0.00023546+0.00010808i,-0.00015163-0.00022687i,-0.00036471-0.00089567i
-0.0015071-0.0007374i,-0.0006117-0.00049574i,-0.0015331-0.00050566i,-0.002826-3.4766e-06i,-0.0029803+0.0012227i,-0.0018947+0.0022876i,-0.00035145+0.0017117i,-3.0016e-05+0.0010411i,0.00027056+0.00099646i,0.0010134+0.00073461i,0.0010578+0.00020431i,0.00042707+0.00055868i,8.9665e-05+0.0014184i,0.00029784+0.0013458i,0.00022472+0.00089418i,6.8362e-05+0.0010318i,0.00046873+0.0012432i,0.0007652+0.00068044i,0.00020935+0.0001949i,-0.00030739+0.00053151i,-3.1335e-05+0.00055675i,0.000591+0.00060961i,0.00054603+0.00063758i
-0.00056571+0.0011125i,-9.234e-05+0.0018201i,-0.00075633+0.00122i,-0.0013796+0.00020693i,-0.0017511+0.00035197i,-0.001953+0.0010225i,-0.0013765+0.0013367i,-0.00033979+0.0012318i,0.0015762+0.00095505i,0.0020486+0.00050048i,0.0011361+0.00046603i,0.00042167+0.00075263i,-0.00025825+0.00060569i,-0.00041816+0.00037668i,9.2505e-05+0.00091255i,-4.805e-05+0.00065641i,9.1253e-05+2.0207e-05i,0.00060069-0.00037043i,0.00042654-0.00070328i,0.00011501-0.00062i,-0.0005224-0.00051954i,-0.0003342-0.00032063i,0.0005249+0.00029094i
-0.00027918-0.00020814i,-0.0013771-0.00044936i,-0.0012551-0.00071863i,-0.0024268-0.00011058i,-0.0034533+0.00069161i,-0.0033548+0.0016691i,-0.0021923+0.0019952i,-0.00014789+0.0016774i,0.00099651+0.00084239i,0.0006735+6.3464e-05i,0.00034034-0.00032657i,0.00090249-0.00084003i,0.0010269-0.0010836i,0.00016162-6.8104e-05i,-0.00038455+0.00074323i,0.00050534+0.00052995i,0.00076847+0.00028746i,2.2374e-05+0.00030071i,0.0005715-1.6323e-05i,0.000789-0.00044593i,0.00017708-0.00048047i,-0.00039464-7.6484e-05i,-0.00094088-0.00054146i
0.0023812+0.0022929i,0.0025302+0.0012617i,0.0023792+0.00012193i,0.0015118-0.0005525i,0.00068551-0.00054626i,-0.00022295+0.00072719i,-0.0006786+0.0012549i,3.9736e-05+0.0010688i,0.00060653+0.001145i,0.00084985+0.0005299i,0.0012543+0.0004137i,0.00035073+0.00015764i,-0.00036846+2.3638e-06i,-5.5269e-05+8.96e-05i,-0.00077231-0.00021615i,-0.00073409-0.00025123i,-0.0004289+0.00034844i,-0.00046055+0.00038114i,-0.00062504+0.00037283i,-0.00026102+0.00073892i,0.00045895+0.00069353i,0.00024233+0.00030842i,-9.2694e-05+0.00012892i
-0.00016917+0.0006576i,0.0015898+0.00084158i,0.0025766+0.00026532i,0.0013896+1.5615e-06i,0.00019149+8.2017e-05i,-0.00047469+0.0004759i,-0.00085223+0.00078248i,0.00027957+0.0010585i,0.0011514+0.0011285i,0.0014167+0.00052844i,0.0018535+0.00039609i,0.001862+0.00058318i,0.0014341-0.00017365i,0.0012378-0.0008331i,0.00051809-0.00078643i,2.1456e-05-0.00041215i,0.00056992+0.00042649i,0.00096337+0.00038953i,0.00043215-0.00032629i,-3.761e-05-0.0010487i,7.6291e-05-0.0012043i,0.00049537-0.00070693i,0.00045808-3.6439e-05i
-0.00062333+0.00012919i,-0.00033155+0.0010059i,3.2566e-05+0.0008218i,-0.0010248+6.2638e-05i,-0.0028348+0.0004668i,-0.0023389+0.0010827i,-0.0011486+0.0011357i,-0.00059639+0.0008875i,0.00061158+0.0007122i,0.00087621+0.0008269i,0.00036757+0.0010947i,0.00059797+0.0010333i,0.00083741+0.00038694i,0.00047028+0.00051905i,-9.6177e-05+0.0010986i,-0.00056819+0.00084718i,-0.0001739+6.3645e-05i,0.00052953+0.00016675i,0.00024207-0.00010156i,4.7201e-05-0.00012253i,0.00050443+0.00024289i,0.00024481+0.00046727i,-0.00021895+0.00039047i
-0.00056673+0.00016939i,-0.00017369+0.00082868i,-0.0013454+0.0017306i,-0.0019598+0.0020222i,-0.0018476+0.0016829i,-0.0021278+0.0012139i,-0.0014471+0.00092159i,-0.00022934+0.00089874i,0.00063337+0.0012606i,0.00055373+0.00091985i,0.00086527+0.00052509i,0.0010964+0.00033783i,0.0008311+0.00022356i,0.0014028+0.0004593i,0.0013333+0.00096932i,0.00055525+0.00077026i,0.00073701+0.00041832i,0.0013267+0.00019191i,0.0012803-0.00028291i,0.00089949-0.00087254i,7.1033e-05-0.00025375i,-0.00035732-1.2119e-05i,-0.00014759-0.00030554i
0.00093864+0.0022731i,2.5792e-05+0.0014284i,0.00077171+0.00136i,0.00059671+0.0002088i,-0.0014536-0.00092332i,-0.0024837-0.00087159i,-0.0018221+0.000207i,-0.00011015+0.0011642i,0.0010517+0.0014013i,0.0014446+0.0010859i,0.0011498+0.00093884i,0.00035418+0.00029588i,0.00032096-0.00021156i,0.00052598+0.00051716i,0.00036684+0.00071475i,-0.000129-0.00015661i,0.00014763-0.00056806i,0.00026526-0.00028643i,0.00045055-0.00025389i,0.00016623+7.1954e-05i,-0.0004643+0.00028237i,0.00022585+0.00042105i,0.00026178+0.00084994i
0.00070287+0.00092697i,0.00067147+0.0012701i,0.00035081+0.0010203i,-0.00091576+0.00079034i,-0.0025331+0.0010292i,-0.0029604+0.0019599i,-0.0020452+0.0022174i,-0.0010794+0.0016353i,1.8075e-05+0.00072478i,0.0016945+2.0632e-05i,0.0016435-0.00036653i,0.00058663-0.0002415i,3.9515e-05+0.00016067i,0.00026102-0.00014403i,0.00052581-0.00049657i,0.000486-0.00033927i,0.0005529-0.00041731i,0.00056508-0.00095673i,4.9304e-05-0.00071614i,-0.00019721+8.338e-05i,-0.00017403+0.00042576i,-0.00019953+0.00018769i,-0.0003883+0.00026659i
0.00015808+0.00061412i,0.00086387+0.0014338i,0.0010766+0.0020032i,5.6578e-05+0.0022868i,-0.0011808+0.0013883i,-0.0012393+0.00041172i,-0.00083774+0.0010118i,2.3801e-05+0.0018657i,0.0011044+0.0017101i,0.0014937+0.00097315i,0.0008025+0.00024798i,0.00083226+8.4727e-05i,0.001115+0.00047939i,0.00034087+0.00061847i,-0.00016077+0.00048092i,-0.00027271+0.00034693i,-0.00030957+0.00032196i,-5.2159e-05+0.00018343i,0.0001417-0.00054682i,0.00030031-0.0010268i,0.00031033-0.00093005i,0.00098007-0.00048574i,0.0013025-6.6272e-05i
0.0020732+0.0005716i,0.001124+9.8374e-07i,-0.00038866-0.00069724i,-0.00093328-0.00045456i,-0.0020555+0.00016391i,-0.0033595+0.00021086i,-0.0024533+0.0010352i,-0.00091545+0.0017812i,0.00034805+0.0012116i,0.00084339+0.00020631i,0.00074363+5.1641e-05i,0.00060825+0.00023421i,0.00051438+0.00019319i,0.00018892+0.00025549i,-0.00025702+0.00019202i,-0.00056458+0.00026483i,-0.0010143+0.00016609i,-0.0011243-3.3015e-05i,-0.0005763-0.00021328i,-6.2782e-05-0.00046664i,0.00020883-0.00058082i,-6.1162e-05-2.3228e-05i,-0.00076869+0.00047027i
0.0016861-0.00082488i,0.0018883-0.00039143i,0.0021063-0.001621i,-5.0191e-05-0.0019031i,-0.001646-0.00072152i,-0.0019678+0.00073221i,-0.001716+0.0015935i,-0.00077774+0.0015788i,0.00011109+0.00091089i,0.00065437+0.00016862i,0.00091319-0.00026635i,0.00077184+0.00026291i,-0.00015687+0.00032929i,-0.00074181-0.00022343i,-9.1695e-06+0.00012074i,0.0003806+0.00059133i,0.0002947+0.00043905i,0.00043459+0.00047627i,0.00087559-0.00011317i,0.00082527-0.00092676i,0.00067311-0.00060739i,0.0011728+0.0001148i,0.0011299+0.00018938i
0.00073501+0.00056511i,0.00052741+0.0016105i,0.00055908+0.00087103i,-0.00043315+0.0002729i,-0.0025214+0.00019697i,-0.0028081+0.00069948i,-0.0013991+0.0012922i,0.00014578+0.0014406i,0.001309+0.00096616i,0.0016357-0.00012723i,0.0021256-0.00013028i,0.0015229+0.00099465i,0.00013186+0.00076934i,-9.8167e-05-0.00021491i,0.00017299-0.00070878i,-2.2289e-05-0.00047106i,7.3518e-05+0.00018672i,0.0010539+0.00055346i,0.0015919+0.00078599i,0.00092157+0.00078594i,0.00067262+0.00062899i,0.00090637-0.0001291i,0.0011712-0.00062543i
0.0037169+0.0016948i,0.0029765+0.0015428i,0.0026344+0.0007572i,0.0015427-0.00021749i,-0.00025402-0.00014467i,-0.0016657+0.00051253i,-0.0015367+0.00042581i,-0.00012557+0.00051576i,0.0013813+0.0010959i,0.0014233+0.00047336i,0.0013036-0.00051346i,0.00095952-0.00049413i,0.00022753-7.7437e-05i,7.469e-06-8.4021e-05i,0.00033096+0.00016297i,9.2198e-05+0.00010311i,-0.00012985-0.00015853i,0.00066829-1.2311e-05i,0.00089235+0.00033811i,0.00022446+0.0006946i,-0.00054035+0.00020769i,-7.801e-05-0.00039237i,0.00099113-0.00017032i
0.00015595+0.0020243i,0.0013819+0.00050936i,0.0019951-6.116e-05i,1.0814e-05-0.00018928i,-0.0023164-0.00014514i,-0.0031028-0.00028552i,-0.002268+0.00026973i,-0.0004263+0.00097198i,0.00062067+0.00087982i,5.0837e-05-7.2549e-05i,0.00017666-0.00074994i,-0.00041133-0.00052898i,-0.00076236-0.00077503i,8.8919e-05+5.1792e-05i,0.000372-0.00012678i,0.00048985-0.000941i,0.00063419-0.00031731i,0.0003583+0.00023993i,-0.00016595+0.00016874i,0.00012772-4.9034e-06i,0.00049333-7.0231e-05i,0.00011913-7.8983e-05i,0.00023256+7.2828e-05i
0.0019164+0.00024476i,0.0008784+0.00033192i,-0.0010259+0.00060434i,-0.0011396+0.00036302i,-0.0013566+0.0011632i,-0.0023588+0.0014335i,-0.0021129+0.0012498i,-0.00080629+0.0006852i,1.3789e-05+0.00092241i,0.00054153+0.0016276i,0.0011359+0.0011207i,0.00090661-0.00045795i,-0.00013017-0.0010253i,-0.00035575-0.00014482i,-2.2547e-05-0.00018669i,-0.00036896-0.00078206i,-0.00025555-0.00024683i,0.00081357+0.00047753i,0.0012903+0.00079806i,0.00064217+0.00029643i,0.00011285-0.00065814i,0.00022317-0.0010202i,0.00021711-0.0011624i
-0.0012596+0.0021154i,-0.00043404+0.0029174i,0.00056839+0.0028757i,0.00033995+0.0021758i,-0.00032869+0.0010805i,-0.0016222+0.00039454i,-0.0017453+0.00092336i,-5.5236e-05+0.0013602i,0.0013379+0.00094363i,0.00038312+0.00056427i,0.00022591+0.00013553i,0.00082754+0.00012611i,0.00039501+0.00051114i,-0.00017105+0.00085432i,0.00033413+0.00053244i,0.00096373-0.0004253i,0.0004474-0.00077341i,8.6109e-05-0.00067783i,-0.00014821-0.00037941i,0.00017486-0.00010382i,0.00030265+6.6848e-06i,0.00010989+0.00012257i,0.00036908+0.00015062i
0.0005512+0.00018174i,0.00054385+0.00061468i,-0.0002878+0.00089547i,-0.0012531+0.00086964i,-0.0023848+0.00045071i,-0.0027435+0.0010284i,-0.00192+0.0016692i,1.3172e-05+0.00093265i,0.0018613+0.00043373i,0.0019194+0.00019595i,0.0013425+0.00015315i,0.00074667-3.6406e-05i,5.0078e-05+0.00034464i,0.00021962+0.00053396i,0.00075165+0.00064933i,0.00042665+0.00058504i,0.00022352-0.00034021i,0.00022981-0.00029077i,0.00075464+0.0004697i,0.00068099+0.00035906i,-0.00038224-0.00050606i,0.00036902-0.00037172i,0.00025327+0.00010824i
0.00071346+0.0011074i,0.00099986+0.00038511i,0.00056427-0.00017205i,-0.00054619-0.00042896i,-0.0010158-0.00022969i,-0.0014899+0.00066941i,-0.0013796+0.0011985i,4.2839e-05+0.0011034i,0.00073868+0.00096596i,0.00097529+0.00071809i,0.00099951+0.00047069i,1.4284e-05+4.2067e-06i,-0.00056431-0.00050495i,-0.00011898-0.0013486i,6.1356e-05-0.0010577i,0.00048966-0.00022361i,0.0010969-0.00057359i,0.0010788-0.00077957i,0.0004182-0.0002508i,-0.00046198+0.00050244i,-0.0011806+0.0011468i,-0.00091533+0.00065205i,-0.00015362+2.5347e-05i
0.00018297+0.0023675i,0.0006636+0.002279i,0.0011299+0.0019414i,0.00042242+0.0011328i,-0.0011424+0.00097712i,-0.0018062+0.00063727i,-0.00069831+0.00077238i,6.4211e-05+0.00097216i,0.00062358+0.00065337i,0.0014236+0.00049569i,0.0014808+0.00086018i,0.0014503+0.00011234i,0.00090987-0.0011145i,0.00031146-0.00090763i,0.00012594-0.00020154i,-0.00037329+0.00028274i,-0.00036984-2.2813e-05i,-0.00013251-0.00031193i,0.00025405-0.00019046i,0.00055169-0.00027386i,0.00035809+0.00020911i,0.00011064-0.00037034i,0.00022003-0.00024404i
0.00068774+0.0016187i,0.00088087+0.0022837i,0.0012254+0.0023653i,-0.00069992+0.001315i,-0.0020787+0.0010718i,-0.001524+0.0012605i,-0.001193+0.0012219i,-0.0004549+0.0015068i,0.00069409+0.0015217i,0.0005096+0.0003865i,0.00069676+0.00015687i,0.0010657+0.00013838i,0.00032642-0.00019432i,-0.00042528+0.00041295i,-0.00072486+0.00092757i,-0.00041933+0.00042171i,0.00016551-0.00038688i,0.00031015-0.00062778i,0.00066626-0.00014168i,0.00023362+0.00085258i,-0.00071062+0.00099155i,-0.00086181+0.00026138i,-0.00055363-0.00058667i
0.00026045-1.0875e-05i,-5.2939e-05+0.00058473i,-0.00080088+0.0007773i,-0.0013326+0.00073521i,-0.0019118+0.0013139i,-0.0015223+0.0022955i,-0.00076306+0.0024255i,-0.00046683+0.0023246i,0.00013735+0.002014i,0.00091161+0.00098528i,0.0010056+0.00036592i,0.0014625-8.073e-05i,0.0014135-0.00023752i,0.0012438-0.00029819i,0.0013408-0.00022516i,0.00046477-3.9727e-05i,-0.00025314+0.00027945i,9.327e-05+0.00053535i,0.00049127+0.00049437i,0.0006143+0.00023721i,0.00083005+0.00045337i,0.00044795+0.00020257i,0.00029622-0.00038244i
0.001716+0.00090978i,0.0027647+0.00097724i,0.002046-0.00014232i,0.00066325-0.00017357i,-0.0012696+0.00079363i,-0.0018762+0.0013066i,-0.00058779+0.00114i,0.00063739+0.0012385i,0.00093627+0.0011207i,0.0021687+0.00060408i,0.0024846+0.00015171i,0.0017097+0.00019529i,0.00090369+0.00058627i,-0.00045856+7.0647e-05i,-0.00063617-0.00036824i,-9.9355e-06+9.0878e-05i,0.00022561+0.00029539i,0.00019313-0.00010059i,0.00013749-0.0007147i,0.00074819-0.00093765i,0.0012189-0.00061101i,0.00088215-3.3673e-05i,0.00049108+0.00079813i
0.001212+0.00045785i,0.00062557+0.00064392i,-0.00034995+0.00048209i,-0.0017162-5.5428e-05i,-0.0017079+0.0001474i,-0.0016262+0.00047933i,-0.0016662+0.0007327i,-7.8304e-05+0.0012907i,0.0012599+0.0012792i,0.0010842+0.00099588i,0.00034158+0.0012434i,-0.00038696+0.00030227i,-0.00021958-0.00048525i,-0.00036829+0.00011912i,-0.00047861-0.00020593i,-0.00090458-0.00048192i,-0.00065577-7.8105e-05i,0.00026797+0.00066705i,0.00010656+0.00037169i,-0.00021377-5.63e-05i,-0.00036611+0.00052214i,-3.1277e-05-0.00040948i,0.00061001-0.00074493i
-0.00038296+0.00025832i,-0.00096655+0.0010509i,-0.0025391+0.00095008i,-0.003444+0.00099434i,-0.0031615+0.0014343i,-0.0023685+0.001544i,-0.0020831+0.001273i,-0.00055779+0.0011338i,0.001254+0.001328i,0.0011299+0.00074002i,0.000894+0.00018603i,0.00084985-5.9681e-05i,0.00027138-0.00014218i,0.00061823-0.00013124i,0.00023023+6.4308e-05i,-0.0006139+0.00047663i,-0.00028963+0.00095287i,0.00017663+0.00036523i,0.00051523-0.0001598i,5.3567e-05+0.00082472i,-0.00016503+0.001415i,-0.00027511+0.00081878i,-0.0005146+0.00048131i
0.00093264+0.0001214i,0.001073+0.0001007i,0.0014761+0.00021786i,0.00036761+0.00017405i,-0.0011368+0.00024933i,-0.0018722+0.00048228i,-0.0013608+0.00027174i,-0.00055141+0.0010183i,-0.0001664+0.0009955i,0.00023088+0.00012129i,0.00074561+0.00028306i,0.0011168+0.00056221i,0.0007266+0.00089791i,-0.00040961+0.0010233i,-0.00087803+0.00030157i,0.00023439-8.4708e-05i,0.00077975-0.00019942i,0.00041528-0.00024948i,5.721e-05-0.00055235i,-0.00029433-0.00092495i,0.00017476-0.00069258i,0.00075586-2.6001e-05i,0.00054414+0.00033615i
0.0024141+0.00082269i,0.0028804+0.0017229i,0.0022395+0.00073615i,0.00053388-0.00025323i,-0.0020575+0.0001978i,-0.0029632+0.0005866i,-0.0021874+0.0010897i,-0.0012018+0.001847i,-0.00019837+0.0011855i,0.00048162+0.00025342i,0.00076556-0.00013141i,0.0015357-0.00066283i,0.0012701-0.00053831i,0.00038673-0.00022103i,0.00052421+7.823e-05i,0.00083693-0.00013674i,0.00069413+4.4085e-05i,0.00070314+0.00031145i,0.00074052-3.8041e-06i,0.00031353-0.00024941i,-0.00013825-0.00026229i,-0.00042469+0.00023162i,-0.00074585+0.00015837i
-0.00016632+0.0010069i,-0.00057802+0.0010905i,6.5589e-05+0.0012396i,-0.0010344+0.0010471i,-0.0017752+0.00061198i,-0.0010014+0.00028098i,-0.00073009+0.00063676i,-0.00047256+0.0010805i,0.00112+0.00094301i,0.0015847+0.00026501i,0.00091084-0.00010165i,0.0012164+0.00039292i,0.0014007+0.00031054i,0.00027818+4.2974e-05i,-0.00019781+0.00031224i,-9.1322e-05+0.00066933i,-0.00037358+0.00072748i,0.00033649+0.0001771i,0.00073478+0.00020508i,-6.4897e-05+0.00021914i,-0.00020004-0.00018929i,-0.00012489+0.00025397i,-7.2432e-05+0.00096631i
0.00019897+0.00051976i,0.00093118+0.00072303i,0.00081582-0.0004657i,-0.00020106-0.00082251i,-0.001087-0.00010754i,-0.0015681+6.6758e-05i,-0.0013974+0.00037697i,-0.00015203+0.00058612i,0.0011917+0.000333i,0.0019473+0.00043962i,0.0017097+0.00051679i,0.0012405+0.00083712i,0.0005643+0.00076071i,-0.00017342+0.00050075i,0.00024896+0.00032873i,0.00071007-0.00034898i,0.00055937-0.00039122i,0.00073828-0.00040962i,0.00054148-0.00054335i,5.249e-05-4.4476e-05i,0.00012544-0.0005253i,0.00039168-0.00075489i,0.00043138-0.00035304i
-0.0012294+0.0013432i,-1.7261e-05+0.0020593i,-0.00021146+0.0027686i,-0.0017385+0.0023493i,-0.0025914+0.001932i,-0.0017913+0.0014069i,-0.00083464+0.0015927i,-0.00080827+0.0017105i,-0.0003317+0.0010506i,0.00023087+0.0010977i,-0.00010627+0.0010477i,0.00044427+0.00039795i,0.00062554+9.709e-06i,0.00048077-0.0002197i,0.00072879-0.00047631i,0.00021169-0.00044642i,0.00015272-0.00045143i,0.00060401-5.4257e-05i,0.00041724-2.8146e-05i,0.00019112+7.8628e-05i,-6.3914e-05+0.00028385i,0.00038081-0.00020454i,0.00078618-0.00042876i
0.0015851+0.00050415i,0.00037275-1.8912e-05i,-0.00027632-0.0015745i,2.5733e-05-0.0014728i,-0.0014391-0.00023625i,-0.0021719+0.00098945i,-0.0008774+0.0018522i,0.0003875+0.0017178i,0.0010498+0.00085916i,0.0016431-0.00031959i,0.0017532+7.0826e-05i,0.00049357+0.00098488i,-0.00049443-0.00018526i,-0.00029505-0.0012016i,9.0778e-05-0.00043579i,0.00050538+0.00043532i,0.00051206+0.00031435i,0.00010612-8.0895e-05i,-0.0002528-0.00046855i,-0.00081192-0.0004535i,-0.00049779+0.0001596i,0.0003923+0.00050631i,5.7981e-05+0.00031506i
0.00098996-0.0004065i,0.00077163+1.1741e-05i,0.00093234-0.00063127i,0.00021561-0.0011245i,-0.0011662-0.00037555i,-0.0021058+0.0010862i,-0.0017354+0.0017675i,-0.00097491+0.0014292i,-0.00012515+0.00089649i,0.00060944+0.00081918i,0.0011161+0.000498i,0.00056121+0.00030307i,-0.0002475+0.00064091i,-5.6593e-05+0.00051496i,1.0615e-05+0.00013996i,0.00061421+0.00011353i,0.0012477+0.00010854i,0.0011088+0.00020167i,0.0012598-5.9856e-05i,0.0010527-0.00013575i,-9.0918e-05+4.8654e-05i,-0.00057642-0.00032931i,-0.00017936-0.00025913i
