-0.00097623+0.00010842i,0.0004634-0.0011907i,0.00017743-0.0017488i,-0.0012563-0.001166i,-0.002016+0.00024901i,-0.0020633+0.0014919i,-0.0013777+0.001622i,-8.9612e-05+0.0011354i,0.00084137+0.0005444i,0.0013493-0.00025014i,0.0010204-0.00056667i,-0.00010621-0.00014212i,-0.00057606-6.6352e-05i,-0.00068854+7.1803e-06i,-0.00063495+0.00051206i,-0.00075777+0.00012086i,-0.00043742-0.00012644i,-3.6581e-05+0.00051538i,2.1607e-05+0.00053236i,-0.00051086-0.00016057i,-0.00083814-0.00045699i,-0.00014204-0.00054771i,0.00053372-0.00040053i
-5.8231e-05-0.00021908i,-0.00044111-0.00055794i,-0.0012332-0.00041251i,-0.00085337-0.00076927i,-0.0004988-0.00039889i,-0.0011477-0.0001688i,-0.00011872-0.00042488i,0.0007192+0.00040489i,0.00070394+0.0005412i,-8.0959e-06-0.00042689i,-0.0010546-0.00028846i,-0.0010098+0.00050382i,-0.0005495+0.00093548i,0.00015603+0.00070744i,0.00069736+0.00079834i,0.00065214+0.0010558i,0.0001435+0.0016138i,-0.00089192+0.0014302i,-0.0015452-9.4691e-06i,-0.00071667-0.00076282i,-1.1108e-05-0.00014052i,-2.8174e-05+0.00025135i,0.00035703-0.00018757i
-0.0018775-0.0010146i,-0.0024047-0.0023414i,-0.0026294-0.002529i,-0.0016441-0.00046602i,0.00037178+0.00066606i,0.0012815+9.6741e-05i,0.0013902+0.000179i,0.001018+0.00019781i,0.00013304+0.00051906i,-0.00060708+0.00042935i,-0.00055563-0.0004148i,-0.00056483-0.00083647i,-0.00069728-0.00097853i,-0.00072215-0.0013556i,-0.00056944-0.00099233i,-0.00030774-9.9609e-05i,-2.8872e-05+0.00023469i,-0.00045409+0.00016319i,-0.00023655-0.00031723i,-0.00020662-0.0004288i,-0.00060813-0.00040391i,5.0939e-05-0.00030513i,0.00042997+0.00035509i
0.0012769+1.8253e-05i,0.0013473-0.00033956i,0.00015792+0.00034568i,0.0002805+6.8061e-05i,0.00071556+0.00012751i,0.00031592+0.00086221i,-0.00021457+0.00014924i,-7.3179e-05-0.00034496i,-6.2814e-05+8.9226e-05i,5.427e-05-0.00035601i,0.0002748-0.0005267i,-0.00032856-7.0433e-05i,-0.00054168+6.6821e-05i,-0.00019797-0.00048011i,0.00013014-0.00049195i,-0.00021795-0.0002967i,-0.00058783-0.00049092i,-0.00075022-0.00033422i,-0.0009715-0.00024903i,-0.00098546-0.00026231i,-0.00046767-4.5525e-05i,-0.00034466-3.4769e-05i,-0.00039458-0.00025862i
0.00052249-0.00045762i,0.00074924+0.00052662i,7.3452e-05+0.00031746i,-0.00048328-6.3509e-05i,-0.00073375-0.0001319i,1.1054e-05+4.1327e-05i,0.00088837+0.00054363i,0.00072693+0.00036572i,0.00012265-0.00011309i,-0.00066954+0.00035687i,-0.00089874+0.0008572i,-0.00031659+0.00067325i,0.00055258+0.00084063i,0.0011366+0.0016077i,0.0011123+0.0013425i,0.00044507+2.8041e-05i,-0.00017597-0.00050992i,0.00017977-0.00047652i,0.00079262-0.00071467i,0.0006923-0.00045176i,0.00057151+0.00036293i,8.8092e-05+0.0009898i,-0.00059759+0.0008568i
0.00053715-0.001653i,-0.0010437-0.0017008i,-0.0022451-0.001412i,-0.0030134-0.00068664i,-0.0025743-0.00047824i,-0.0013906-0.000466i,-0.00048295-3.8927e-05i,-7.9934e-05+0.0002755i,-7.3808e-06+1.8844e-05i,-0.00016789-0.00010269i,-0.00029234+0.0003405i,-0.00077094-6.2695e-05i,-0.00071447+0.00018629i,-0.00025862+0.00088086i,-0.00029744+0.00031277i,-0.00061748-7.097e-05i,-0.00077524-0.00026575i,-0.00022631-9.9208e-05i,0.00074199+0.00026841i,0.00083072-0.00014285i,0.00077463-7.2547e-05i,0.00041401+0.00065578i,-5.1549e-05+0.00096218i
-0.00044358+0.00050504i,0.0007944+0.00014862i,0.00060661+0.00029521i,0.00037556+0.00076837i,0.0013309+0.0012176i,0.0018195+0.00062575i,0.0014125-0.00086352i,3.3168e-05-0.0014468i,-0.00027023-0.00060591i,6.7777e-06+0.00019823i,-0.0006634-0.00017061i,-0.0009973-0.00018312i,-0.00069312+0.0002617i,-0.00080974+5.1774e-05i,-0.00033958-0.00012077i,-0.00077298-0.00045656i,-0.0015353-0.00037608i,-0.00051703+0.00027937i,0.0002636+0.00028527i,-0.00028899-0.00082812i,-0.00090502-0.00096279i,-0.0011662-0.00044614i,-0.00098135-0.0014506i
0.00088942+0.00032146i,-0.00044282-0.00018637i,-0.00042107-0.00020341i,0.00017202-9.4445e-05i,-0.00076412+0.00011014i,-0.0011472-0.00051923i,-0.00026668-0.0014265i,0.00064926-0.0010056i,0.00083323-0.00046249i,0.00076382-0.00048452i,-0.00010022-0.00022214i,-0.0010642-6.3858e-05i,-0.00067406-0.00017303i,0.00012989-0.00061745i,0.00011555-0.00059228i,-0.00021051-0.00014026i,-0.00032307+0.00034612i,-0.00030412+0.00067537i,-0.00027555+0.00016285i,-0.000553-8.0906e-05i,-0.00025854+8.5781e-05i,-0.00023143+0.00012805i,-0.00036942+0.00022245i
-0.00093186+0.00050876i,-0.00072273-0.00013933i,-0.00092906-0.00071523i,-0.00041319-0.0006615i,-2.8979e-05+6.7482e-05i,-0.00025807+0.00085292i,0.00010585+0.00042418i,0.00087859-1.0684e-05i,0.00096932+0.00060604i,0.00022429+0.0013244i,-0.00022843+0.00073368i,-0.00023538-4.3665e-05i,-0.00072942-0.00027289i,-0.00072469-1.215e-05i,0.00033959-0.00020153i,0.00034325-0.00050787i,0.00021534-0.0001841i,-0.00015557+0.0002033i,-0.00021414+0.00037863i,0.00019059+0.00026654i,2.8454e-05+0.00021134i,0.00034441+1.6513e-05i,0.0012132-0.00018213i
-0.00021279-0.00025256i,4.1481e-05-0.00095653i,0.00060153-0.00075854i,0.00062323+0.00010212i,0.00013424+0.0003531i,-0.00029082+0.00018481i,-0.00087043-0.0002827i,-0.00032861-0.00033565i,0.00057284-0.00018703i,0.00021661-0.0004622i,-0.00061062-0.00074722i,-0.00016248-0.00082071i,0.00046579-0.00084151i,0.00026317-0.00084479i,-6.7253e-07-0.000884i,-0.00041907-0.00054825i,-0.00078446-0.00033226i,-0.00019135-0.00017225i,-1.9476e-05+0.00040061i,-0.00079519+0.00011558i,-0.00053033-0.00041314i,-0.00019936-0.00077689i,-0.00026394-0.00061502i
0.00073869+0.00010786i,0.0016803-0.00059651i,0.0012531-0.001141i,0.00069409-0.0005356i,-0.00030905-8.7738e-05i,-0.00065857-0.00038919i,-0.00030882-0.00064359i,2.9236e-05-0.00030262i,0.00013406+0.00037454i,-0.00034867+0.00047752i,-0.00074643+0.00051364i,-0.00096004+0.00067008i,-0.0010078+0.00087205i,-0.00086439+0.0008006i,-0.00070824+0.00031218i,-0.0003733-0.00052294i,-0.00043749-0.0012199i,-0.00091104-0.00070843i,-0.00064876+0.00079668i,6.2216e-05+0.0008466i,-0.00015915-0.00016708i,-0.0006901-0.00023558i,-0.00060868+4.8766e-05i
-0.00065031+0.00060125i,8.3864e-05+0.0011906i,0.00019628+0.0010385i,0.00075235+0.00024354i,0.0017348+0.00032175i,0.0014046-0.00013364i,0.0011984-0.00073238i,0.0014687-0.00061438i,0.0014904-0.00070304i,0.00070753-0.00018898i,-0.00026199+0.0002836i,-0.0004052-0.00010493i,0.00022709-0.00016764i,-0.00018443+0.00016023i,-0.0010408+0.00023531i,-0.00052841-0.00029506i,-0.00016035-0.00029734i,8.6147e-05+0.00025155i,-2.6964e-05+0.00046462i,-0.00048297+0.00033871i,-0.00014522+0.00019898i,-0.00028469-0.00013425i,-0.001168+0.00030262i
-0.0016743-0.00081617i,-0.0025032-0.0008179i,-0.0024322+8.1961e-05i,-0.0016704+0.00052531i,-0.00066738+0.00063347i,-4.8667e-05+0.00091327i,0.00019965+0.00079051i,0.00034464-0.00018207i,0.00049594-0.00023352i,0.00058025+0.00083036i,0.00078391+0.0011653i,0.0008342+0.00064065i,0.0005098+0.00080895i,0.00032685+0.00073045i,-9.066e-05-0.00014229i,-0.00014913-0.000809i,-0.00044553-0.00021025i,-0.00063273+0.00018123i,-0.000202-0.00030196i,7.3514e-05-0.00038658i,0.00016447-5.9586e-05i,4.1134e-05+0.00010852i,0.00039582+6.9957e-05i
0.0012891+0.00074129i,0.00096324-0.00057012i,0.001246-0.00096981i,0.0011157-0.0009556i,0.0003233-0.00096349i,-0.00048216-0.00054924i,-0.00078994+0.00021075i,-0.00020015-0.00020224i,0.00093411-0.001332i,0.0011632-0.0016599i,1.4411e-05-0.0013877i,-0.0010772-0.00073885i,-0.00054086+1.1162e-05i,0.00030355-0.00028262i,-0.00045847-0.00055949i,-0.0012941+0.00027192i,-0.00090975+0.00024908i,-0.00027175-0.00076067i,-0.00012979-0.00070944i,-0.00014987-2.4511e-05i,-0.00041026-0.00017502i,-1.5896e-05-0.00038202i,0.00013333-0.00092208i
0.00054976-0.00016319i,-0.00069992-0.00070311i,-0.00058739-0.00031928i,-0.0011942+0.00052841i,-0.0016288+0.0005492i,-0.00084165+0.00118i,0.00011609+0.0011796i,0.00074987+0.00054759i,0.00057207-6.9753e-05i,0.00015716-0.0011016i,-0.00027215-0.001286i,-0.00035918-0.00050891i,-0.00048649-7.2013e-05i,-0.00076209+0.00042019i,-0.00021471+0.00096935i,9.6457e-06+0.00012832i,-0.00022408-0.00097474i,0.00047512-0.00073276i,0.00033849-0.00038968i,3.3408e-05-0.00061483i,0.00028505-0.00015043i,-0.00058683+0.00065127i,-0.00094578+0.00024459i
0.0012505+0.00079655i,0.00039185+0.00069708i,0.00033591-0.00019763i,0.00099819-0.00059675i,0.001009-0.00086633i,0.00033317-0.00043185i,0.00029709+0.00045711i,0.00069619+0.00043866i,0.00049745-0.00065834i,0.00039706-0.00050145i,5.3414e-05+0.0003033i,-0.00012401+0.00054378i,-8.3342e-05+3.5675e-05i,-0.0001437-0.00070416i,-3.3188e-05-0.00040513i,-0.00087624-4.4184e-05i,-0.00073284-0.00024045i,0.00043165-0.00020214i,-0.00030242-0.00052596i,-0.00080712-0.00055663i,0.00013276+1.9569e-05i,0.0010222+0.00023843i,0.0010096+0.00030455i
0.00082783-0.0011766i,0.0012642-0.0019309i,0.00067494-0.0017025i,0.00037932-0.0015575i,-1.9352e-05-0.00082227i,-0.00055687-0.0001246i,-3.1559e-05+0.00035527i,0.00053138+0.00028761i,0.00050172-0.00076601i,0.00022105-0.0010581i,-0.00067288+0.00021442i,-0.00083763+0.00084505i,5.7142e-05+0.00018428i,0.00091196-0.00045395i,0.0008192-0.00035991i,8.9502e-05-0.00031018i,-0.00038153-0.00051906i,-0.00043414-0.00058356i,-0.00011252-0.0004375i,-0.00050227-0.00053161i,-0.00047855-0.0003863i,-0.00026949-0.0003706i,-0.00033108-0.00061184i
0.0015621-0.0021576i,0.00058207-0.0021548i,-0.0014889-0.0014123i,-0.0023586-0.0015258i,-0.0017275-0.0020654i,-0.0010559-0.0013678i,-0.0007964-0.00053279i,-0.00043416-0.00024796i,-0.00044963-0.00046195i,-0.00055437-0.0002645i,-0.00018501+0.00054467i,-0.00027862+0.0008065i,-0.00090258+0.00075655i,-0.0013792+0.00086627i,-0.001163+0.00057028i,-0.00045885-8.9514e-05i,-0.00076071-0.00029835i,-0.001227-0.00011868i,-0.00038606-0.00053198i,0.00041709-0.00095012i,0.00060054-0.00062312i,0.00072414-0.00053792i,0.00058108-0.00015131i
-0.0010074-0.00057371i,-0.0003478+3.8045e-05i,0.00083684+0.00010689i,0.0010599+5.9351e-05i,0.00080731+0.00092595i,0.00015543+0.0015047i,-0.00086475+0.00093294i,-0.00013876+0.00019509i,0.0010422+9.3407e-05i,0.00066386+0.00048381i,0.00012553+0.00036396i,0.00025353+0.00010976i,0.00024116-0.00065479i,-0.00099319-0.00090529i,-0.0012412+4.9548e-05i,-0.00075173+0.00029755i,-0.00060481-0.00024545i,-0.00031134-0.00081554i,0.0001477-0.00081213i,0.00026843-0.00020986i,-0.00011923-4.885e-05i,-4.8485e-05-0.00045466i,0.00033279-0.00094576i
0.00019606-0.0011636i,-0.0014013-0.0013681i,-0.0019689-0.0012614i,-0.00091082-0.00039759i,0.00034957+0.00013263i,0.00087329+0.00043984i,0.00039341+0.00077877i,-0.00034586+0.00085595i,-0.0010126+0.0009617i,-0.00092765+0.00078313i,-0.00028212+0.00015035i,6.5332e-05+0.00041811i,0.0001241+0.0011964i,0.00022372+0.00044235i,0.0001826-0.00076314i,0.00039619-0.00099582i,0.0002553-0.00025872i,0.00018538+0.00078876i,7.9339e-05+0.00032959i,1.4118e-05-0.00037814i,-0.00010436-0.00041496i,-0.00053353-0.00091548i,9.9692e-05-0.001282i
-3.9272e-05-0.00098464i,0.00060113-0.0018866i,0.00038189-0.0014692i,-0.0003261-0.00087755i,-0.00022737+3.4632e-06i,7.8999e-05+0.00011045i,-4.8267e-05-0.0005612i,-0.00024144-0.00066641i,-9.1464e-05-0.00045053i,6.5381e-05+0.00014709i,0.00016108+0.00049025i,-8.2087e-05+0.00057356i,-0.00039396+0.00056345i,-0.0006212+0.00026822i,-0.00025528-5.4272e-05i,0.00071298-0.00049444i,0.00086804-0.0008138i,0.00034901-7.0353e-05i,0.00030124+0.00038887i,0.00076195+9.7503e-05i,0.0001565-0.00075745i,-0.0004311-0.00072653i,-4.4865e-05-0.00032286i
2.6602e-05+0.0014179i,3.8255e-05+0.00026608i,-0.00017174-0.00093441i,0.00082825-0.00028662i,0.0011771+0.00058084i,0.00033341-0.00017451i,-0.00048185-0.0006255i,-0.00071256-9.5676e-05i,-0.00034038+0.00055974i,-0.00046104+0.00059514i,-0.00074799+0.00039536i,-0.0004936+1.6951e-05i,-0.00012559+0.00026381i,1.6133e-05+0.0007406i,-8.184e-05+0.0002652i,-0.00032283-0.00022721i,-0.0005654+0.00027729i,-0.000296+0.00051707i,-0.000292+0.00031206i,-0.00020042+0.00056887i,0.00017506+0.0012944i,0.00037233+0.00063401i,0.00064741-0.0006427i
-0.00050969+7.1058e-05i,-0.0004077-0.00042307i,0.00053006-0.00070742i,0.00076094-0.00061008i,-1.6083e-06-0.0009259i,-0.00068447-0.00094623i,-0.0014489+0.00013101i,-0.0013795+0.00038338i,-1.4969e-05+0.00023639i,0.00051786+0.00092592i,0.0003697+0.0008195i,-9.801e-05-0.00021855i,9.6094e-05-0.00028979i,0.00076619-0.00074935i,0.00039621-0.00095521i,-1.3243e-05-0.00096809i,0.00046415-0.0022401i,0.00035509-0.0018036i,-9.7546e-05-0.00012886i,0.00035732+0.0006238i,0.00038905+0.00040349i,9.2129e-05-8.884e-05i,0.00031289-0.00053874i
-0.00024534-0.00061034i,0.00019772+0.00024171i,0.00013245+0.0002908i,-0.0003247+0.00015839i,-0.00045461-9.1038e-05i,-0.00050125-0.00026537i,-0.00021705+0.00049051i,1.9005e-05+0.0011078i,-0.0002055+0.0011893i,-0.00062878+0.00079799i,-0.0009456+0.00023989i,-0.00062663-0.00026365i,-0.00010207+0.00017358i,2.9492e-05+0.00075284i,-0.0002562-0.00035351i,-0.0005788-0.0010215i,-5.0768e-05-0.0007749i,0.00011191-0.0010122i,0.00018805-0.0010819i,7.8285e-05-0.0004847i,2.4138e-05-7.5687e-05i,-0.00062042-0.00024027i,-0.0012159-0.00037419i
0.0020859+0.00099752i,0.0019278+0.00045499i,0.0013853+0.00021462i,0.0012454-0.00034989i,0.00052943-0.00019469i,0.00016389+0.00034794i,0.00020249+0.00017946i,0.00041173-0.00028171i,0.00094662-0.00068509i,0.00070851-0.00051316i,-0.00026164-0.0005867i,-0.00054292-0.00013277i,-0.0011452+0.00052191i,-0.0020188-3.512e-08i,-0.0017239-0.00063638i,-0.0010081-0.00079721i,-0.00058579-0.00041016i,-0.00023445+0.0005091i,-0.00033492+0.00042203i,-0.00084858-0.00044443i,-0.0010184-0.00063007i,-0.0005542-0.00064607i,-1.0852e-05-0.00046498i
-0.0021586+0.0013196i,-0.0012019+0.00011735i,5.0258e-05-0.0010206i,0.00075481-0.00067132i,0.0015012+0.00035091i,0.00082627+0.00046938i,-5.2259e-05+0.00046256i,-0.00048593+0.00065629i,-0.00093389+0.00035289i,-0.00017353-6.6382e-05i,0.00018843+0.00019823i,-0.00043118+0.0002429i,-0.00069751-0.00078469i,-0.00094886-0.00083036i,-0.0012438+5.5485e-05i,-0.00089261+2.3095e-05i,-0.00028598-0.00034169i,-0.00071272-0.0001538i,-0.00068559+0.00061109i,0.00032322+0.00033361i,0.00072912-7.0174e-05i,-4.462e-05+0.00019303i,-0.00039591-0.00018346i
0.0020032-0.0011502i,0.001545-0.0010508i,3.1383e-05-0.00075194i,-0.00099346-0.00074102i,-0.00094448-0.0011951i,-0.00053816-0.00087964i,-0.00017805-0.00038961i,0.0010072-0.00075362i,0.001058-0.00082435i,-0.0005713-0.00063381i,-0.0011716-0.00030136i,-0.0011633-0.00044723i,-0.00087786-0.00010667i,-7.4387e-05+0.00083462i,-6.8798e-05+0.0015404i,-0.00081804+0.0010775i,-0.00022699-0.00014917i,0.00075563-0.0007404i,0.00040699-0.00064974i,-0.00027728-0.0006638i,-0.00014631+0.00036763i,6.7273e-05+0.0003068i,0.00013971-6.3919e-06i
-0.00051886+0.00086082i,0.00082248+0.00010354i,0.0017913+4.7107e-05i,0.001929+6.7446e-05i,0.0016185+0.00028199i,0.00050899+1.3556e-05i,-0.00046915-0.00022231i,-0.00073793+0.00072901i,-6.2261e-05+0.0005918i,0.00052347-0.00042374i,0.0002066-0.00082914i,-0.00039716-0.00081366i,-0.0010599-0.00016735i,-0.00078551+0.00072411i,-0.00038678+0.00061817i,-0.000754-0.00022673i,-0.0014542-0.00084241i,-0.00129-0.001308i,-0.00038751-0.00080476i,-0.0001189+0.00029265i,-9.7689e-05+0.00041168i,0.00069464-0.00029168i,0.00054152-0.00025531i
-0.00032513-8.0918e-05i,-0.00093723-0.00032217i,-0.0014872-0.00061136i,-0.0012518-0.00021652i,-0.00027019+0.00011603i,-2.3879e-05+0.0006188i,-0.00050685+0.00074355i,-0.00023934+0.00062969i,2.371e-05+0.00027327i,0.00031074-0.0002123i,0.00045277-6.7984e-05i,-0.00012489+1.5525e-06i,-0.0006915+0.00038206i,-0.00091174-0.00026688i,-0.00089657-0.00097679i,-0.0010689-0.0011653i,-0.00096537-0.00073595i,-0.00069058-4.4921e-05i,0.00043381+0.00016764i,0.00055989-0.00038146i,-0.00019655-0.00079032i,-0.00057865-0.00017773i,-0.000885+0.00093189i
-0.0022591-0.00027891i,-0.0019511-0.00079807i,-0.0013923-0.00036945i,-0.00039956-8.5975e-05i,0.00038932-0.00038864i,-0.00011099-0.00043285i,-0.00033519-0.00095265i,0.00043459-0.00096454i,0.00048681+4.4322e-05i,-0.00042178+0.00084901i,-0.00095197+0.00035007i,-0.0012548-1.7075e-05i,-0.0014302-4.9325e-05i,-0.00058162-0.00016783i,0.00030102-0.0011692i,0.00022795-0.0011379i,-0.00039611-0.00017476i,-0.00029875-0.00044253i,-5.1424e-05-0.00069135i,0.0007313-0.00018986i,0.00059711+0.00055433i,-0.00035049+0.0010404i,-0.00030945+0.00033343i
0.00020196+0.0010164i,-6.239e-05+0.001525i,0.00069284+0.0018689i,0.0010911+0.0019418i,0.0011185+0.0010775i,0.00067705+0.00011941i,-0.00026358-0.00046659i,-1.3171e-05-0.00055481i,-4.3361e-05-0.0002127i,-0.00031033+0.00016095i,-7.0638e-05+0.00026876i,-0.00021945+0.00010973i,-0.0003539-0.00012142i,-0.00081864-6.2736e-05i,-0.0010289+0.00046547i,-0.00082166+0.00011238i,-0.00054771-0.00049809i,-2.0497e-05-0.00031133i,0.0006574-0.00017388i,0.00088652-0.00034052i,0.00065178+0.00015298i,0.0005544+0.00080727i,0.00058359+0.00038838i
-0.00088851-0.002162i,-0.0010701-0.0026589i,-0.0017193-0.0017516i,-0.0025116-0.00096056i,-0.0016389-0.00020195i,-0.00049433+0.0006916i,0.00032101+0.00048072i,0.00036512+1.5996e-05i,0.0002147-0.00066062i,-0.00027956-0.00069464i,-0.00086239+0.00025411i,-0.0011135+0.00086853i,-0.0008278+0.00023436i,-0.00044546-0.00024268i,-9.115e-07-4.3035e-05i,0.00046426+0.00032742i,0.00043708+0.00043205i,-0.00024817+0.00054474i,-0.00031276+0.0008787i,0.00053292+0.00033005i,0.00052306-0.00048941i,-0.00022832-0.00054339i,0.00018207-0.0002243i
