-0.0028233-0.00038215i,-0.0019677-0.0010202i,-0.0029241-2.048e-05i,-0.0019558+0.00051945i,3.5949e-05+0.00087681i,0.00062437+0.0015316i,0.00075245+0.001375i,0.0005152+0.00099491i,5.6488e-05-8.8893e-05i,0.00022933-0.00035267i,0.00041573+4.8538e-06i,0.00051738+0.00031758i,0.0011095+0.00037592i,0.0010598-0.00028015i,0.00050909-0.0006696i,0.0001933-0.00083283i,9.9438e-05-0.00030608i,0.00020003+0.00046671i,7.5569e-05+0.00035762i,1.9014e-05+6.2338e-05i,-0.00043888+3.831e-05i,-0.00054287+0.00010784i,-3.2459e-05+0.00063419i
-0.0027317+0.00028586i,-0.0018466+0.00081854i,-0.0011554+0.0015038i,-0.0005318+0.00085556i,0.00055588+5.1895e-06i,0.0007709+5.0395e-05i,-0.00011438+0.00035087i,-0.00087124-0.00049052i,-0.0010252-0.00068116i,-0.00041532+6.337e-05i,0.00045839+0.00036953i,0.00079914+0.00019709i,0.00070621-0.00051453i,0.00032375-0.001101i,-0.00028181-0.0011194i,-0.00043992-0.00050009i,0.00011911+0.00051284i,0.000537+2.5232e-05i,0.00043705-0.0014811i,0.00047961-0.0012645i,0.00037941-0.00015573i,0.00037592-0.00025645i,0.00098679-0.00039192i
0.00075647-0.0014392i,0.00047834-0.0014458i,0.00034393-0.0018026i,8.0193e-05-0.0011853i,6.6783e-05-0.00035002i,-0.00014618+0.00023625i,0.00011779+0.00047578i,0.00017275-5.8966e-05i,-0.0005012-0.00055373i,-0.00075021-0.0005022i,-0.00053734+0.00011593i,-0.00088649+0.00044222i,-0.0014063+0.00019497i,-0.00070978-0.00012588i,0.0004356-0.0001417i,0.00071747+0.00034306i,0.00028273+0.00099842i,-0.00028582+0.0010475i,0.00016959+0.00042015i,0.00047079-0.00027608i,-1.6329e-05-0.00076223i,0.00035472-0.0011704i,0.00015152-0.00086249i
-0.00015275-0.00087054i,0.00020438-0.0016538i,-0.00010085-0.0018264i,-0.0005293-0.0017224i,2.5649e-05-0.00064017i,-2.478e-05+0.00024415i,-0.00059162+0.00073606i,-0.0004073+0.00033222i,-0.00020103-0.00096515i,-0.00029586-0.0013436i,-6.3553e-05-0.00078645i,9.8045e-05+1.997e-05i,0.00015412+0.00074986i,0.00032254+0.00053735i,-4.2611e-05-0.00041763i,5.7475e-05-0.00041929i,0.00026472+0.00037779i,-0.00032824+0.00060617i,0.00026966+0.0011133i,0.00075507+0.000668i,0.0002954-0.00031153i,0.00023835-2.877e-05i,0.00044712-3.0819e-05i
0.0012905+0.001137i,0.0017606+0.000805i,0.0024482-0.00050418i,0.0024884-0.0010515i,0.0023259-0.00077325i,0.00053828+7.0947e-05i,-0.00035544-7.1513e-05i,0.00020871-0.00082766i,8.8015e-05-0.0010503i,-4.0624e-05-0.0010887i,-0.00034105-0.0018584i,-0.00046573-0.00134i,-0.00021372-0.00049746i,3.0789e-05-0.00045644i,-0.00010635-0.00068246i,0.00036795-0.0014283i,0.0010943-0.0013611i,0.00071622-0.00060618i,0.0007923-1.071e-05i,0.0013071+0.00024086i,0.00076939-0.00035005i,-3.0301e-05-0.00092706i,-0.00014905-0.00065081i
0.00021626-0.0021113i,0.00030733-0.0013222i,0.00066897-0.001092i,0.0008906-0.00085703i,0.00063155-0.00023773i,0.00073499-0.00068424i,0.00034092-0.00085361i,-6.1541e-05-0.00032537i,-0.00024801+5.2921e-05i,-0.00094555-9.4378e-05i,-0.00099068-0.00053208i,-0.0006099-0.00033903i,-6.5767e-05-5.3524e-05i,-4.6481e-05-0.00020189i,-0.00029079-0.00011246i,-0.00035398-0.00030826i,-0.00039792-0.0004923i,3.217e-05-9.0663e-05i,0.00024269+0.00020023i,0.00043184+0.00031127i,0.00050452+0.00049705i,9.0942e-06+0.00010115i,-0.0010575-0.00051733i
0.0010884+0.00011107i,8.8207e-05-0.00025805i,-8.9419e-05-0.00062696i,-0.00015034-0.0011867i,-0.0011448-0.001125i,-0.0013369-0.00027676i,-0.0011717+0.00028537i,-0.00089199+0.000755i,-0.00043817+0.00065867i,-0.00010734+0.00023086i,-0.00046416+0.00059656i,-0.00054896+0.0011855i,-0.00049078+0.001014i,0.0001033+0.00024164i,0.0001365-0.00034534i,-0.00053879-0.0011392i,-0.00026838-0.00078793i,0.00050339+0.00014822i,0.00047731+0.00016071i,2.4255e-05-0.00065837i,0.00014993-0.0007285i,0.00070324+0.00032424i,0.00062461+0.0003721i
-0.00096606+0.0014395i,-5.459e-05+0.0010143i,0.0012362+0.0018175i,0.0013957+0.0023865i,0.0014356+0.0016799i,0.0010656+0.00074419i,0.0009195-5.886e-05i,0.00096249-0.00068602i,5.9292e-05-0.00070365i,3.2122e-05-0.00023794i,0.00082964-0.00036398i,0.00062458-0.0012618i,1.0932e-05-0.00072836i,-0.00024673-1.6207e-05i,5.7898e-05-0.00028899i,0.00045548-0.0002442i,-0.00021978-0.00022393i,4.92e-05-9.2196e-05i,0.00068694-0.00015494i,0.00036226-0.00089562i,0.00038766-0.0013704i,8.1585e-05-0.00049084i,-0.00017906+0.0006134i
-0.0017368+0.00013399i,-0.001096-0.0001933i,-0.00058334-7.5227e-06i,0.00043811+0.00051256i,4.1163e-05+0.00089319i,-0.00067647+0.0003813i,4.1828e-05-0.0007947i,-0.00010107-0.00091497i,-0.0007597-0.00071829i,0.0001036-0.00049555i,0.00071425+0.0001178i,0.00061045+0.00060448i,0.00044347-0.00026094i,0.0003208-0.0010131i,0.00055867-0.00017086i,0.0009169-9.283e-06i,0.00077213-0.0004605i,0.0003348-8.144e-05i,0.00030286-0.00050696i,0.00034287-0.00088785i,-0.00042782-0.00020728i,-0.0005183+0.00050166i,0.00072914+0.00019713i
0.0016827-9.4085e-05i,0.0013714-7.5911e-05i,0.0010584-0.00054087i,0.00076042-0.00060734i,0.00022909-0.00061648i,-0.00027396+0.00029647i,-0.0008251+0.00058381i,-0.001636-0.00040831i,-0.0015891-0.0012861i,-0.00038626-0.0012063i,0.00030778-0.00022475i,0.00036281+0.00022146i,3.9732e-05+7.8662e-05i,-0.0006359+0.0002794i,-0.00031525+0.00070235i,0.00013503+0.00091353i,0.00037731+0.0012153i,5.0002e-05+0.00086434i,-0.00053296+0.00022337i,-8.4595e-05+7.6729e-05i,0.00043291+1.4112e-05i,0.00045806-0.00036402i,-0.00056255-0.00063664i
0.0012174+0.00049876i,0.0005423+3.7604e-05i,-0.00066415-6.1178e-05i,-0.00060774-0.00079186i,-4.549e-05-0.0016528i,-0.00062639-0.0014567i,-0.0010807-0.00078905i,-0.001083-0.0001286i,-0.00046013+7.7722e-05i,0.00016805-0.0001372i,-8.9441e-05-0.00020825i,-0.00032498-0.00041853i,-0.00055911-0.00058743i,-0.001324-0.00021404i,-0.0013637-0.00010385i,-0.00044532-0.00021877i,-1.7883e-05-6.5179e-05i,-0.00053521+0.0002783i,-0.00076595+0.00021486i,-0.00041199-0.00034859i,-0.00036512-0.00035414i,-0.00078689-0.00040533i,-0.0010022-0.00066691i
0.0011753+0.00019343i,0.0013863-0.00046418i,0.0014764+1.2292e-05i,0.001719+3.2024e-06i,0.0019504-0.00032666i,0.001116+3.4179e-05i,0.00010367+0.00067136i,0.0004002+0.00028708i,0.00090999-0.00031621i,0.00050245-0.0003607i,0.00020718-0.00022413i,-0.00010782+0.00012124i,-0.00011814+0.00024646i,0.00010118-0.00045868i,-0.00019232-0.0010643i,-0.00030892-0.00091604i,0.00014398-0.00034002i,0.00021734+0.00039205i,0.00025576+0.00095674i,0.00057794+0.00092937i,0.00057762+0.00071546i,2.7422e-05+0.00071025i,-0.000853-0.00022829i
0.0015155+0.0014968i,0.0022299+0.0018423i,0.0028765+0.0023098i,0.0025176+0.0014911i,0.0014549-0.00018307i,-0.00049208-0.0013769i,-0.0013852-0.0010869i,-0.00048521-0.0010232i,0.00024041-0.0013058i,0.0004288-0.00058502i,0.00064175+0.00028018i,0.00067538+0.0001894i,0.00015807-0.00084738i,-0.0001062-0.0015397i,-0.00049543-0.00067487i,-0.0006356-0.00013006i,-0.00033536-6.8452e-05i,0.00014146-0.00031393i,0.00038186-0.00010308i,0.00042097+0.00012048i,-0.00020047-0.00060876i,-0.00044523-0.00074938i,2.1847e-05-0.00022321i
0.00042237+0.00062988i,0.0011288-0.00034961i,0.0012284-0.00064315i,0.0012745-0.00062841i,0.0010424-0.00061267i,0.00018335+0.00019886i,-0.0001824+0.0011937i,-5.2195e-06+0.0010596i,0.00041838+0.00057586i,0.00019248-7.6252e-05i,-0.00020423+1.6817e-05i,0.00014794+0.00010583i,0.0001879+0.00018664i,-0.00038631-0.00019406i,-0.0003856-0.00037921i,0.00050487-3.8267e-05i,0.0005867+0.00014811i,0.00020685-5.0382e-05i,0.00039864-0.00047321i,-0.00011998-0.0005505i,-0.00082589-0.00010541i,-0.00060268-4.2723e-05i,-8.4584e-05-0.00041922i
0.001856+0.00048944i,0.0013536+0.00069283i,0.0017438+0.00083553i,0.0023511+6.7236e-05i,0.0015354-0.0010822i,0.00085014-0.0011345i,0.00065173-0.00072731i,0.00042488-0.00091778i,-1.5342e-05-0.00085878i,-0.00051868-0.0006586i,-0.00062861-0.00052037i,-0.00094105-0.00026355i,-0.0012845-4.2395e-05i,-0.00091104-8.6353e-06i,-0.00047815-0.00042103i,0.00089059-0.00060879i,0.00049251+0.00026603i,-0.0003576+0.00093179i,-3.3055e-05+0.00087927i,-0.00057258+0.00069749i,-0.0015809-0.00011066i,-0.0010622-0.00063313i,-0.00017502-4.5228e-05i
0.00081459+0.00099313i,0.00076179+0.0011661i,0.0020227+0.00055713i,0.0014726-0.00060268i,0.0001795-0.0018934i,-0.00025996-0.0014301i,-0.00034991-0.00030466i,-0.00034346-0.0011182i,0.00020825-0.0015817i,0.00011273-0.0010325i,-0.00039064-0.0012898i,4.4905e-05-0.00073643i,0.00045417-0.00038923i,-0.0002683-0.00030754i,-0.00028263+0.00015117i,0.0001935+0.00038197i,-0.00019251-0.0002464i,-0.00075314-0.0010299i,-0.00042829-0.00086992i,7.3182e-05-0.00025017i,0.00033548+0.00017671i,0.00049617+0.00030427i,0.00037372+0.0003137i
0.0010999-0.00020964i,0.00015185-0.00093154i,0.00021361-0.00068208i,-0.00010338-0.0007751i,2.7051e-07-0.00094608i,0.00020951+0.00049406i,-3.2e-05+0.00079251i,-0.00027613+0.00023686i,-0.00047267+2.677e-05i,-0.0002494-0.00022959i,-0.00028259-0.00026139i,-0.00012642-0.00057991i,-0.00026433-0.00040257i,-0.00047307+0.00012351i,-0.00040955+0.00012325i,-0.00055621-0.00018103i,-0.00011523+0.00014249i,0.00038272-4.3203e-05i,0.00013334-0.00073368i,-0.00028952-0.00078663i,-0.0006789-0.00058603i,-0.00056019+7.9486e-05i,0.00025076+0.00019608i
-0.00046782-6.166e-05i,-0.0009482+9.6739e-05i,-0.0011269+0.00032431i,-0.0005868+0.00018183i,0.000235+0.00025821i,0.00054039+0.00062955i,0.0004544+0.00064308i,0.0010922-0.00042609i,0.00070586-0.0011889i,-2.5242e-05+3.0858e-05i,4.1535e-05+0.0010624i,0.00017793+0.00059574i,0.00033248-0.00019237i,5.5075e-05-7.6181e-05i,-0.00032742+0.00014754i,-0.00011189-0.00027386i,0.00019511-0.00020151i,0.00023151+7.1196e-05i,0.00075938-0.00011265i,0.00053456-3.4956e-05i,-0.00032279+0.00012273i,-0.00051532-0.00044786i,-0.0005582-0.00086762i
0.0005602-0.0015107i,-0.00023855-0.0018217i,-0.00040348-0.0016278i,0.00062171-0.00096434i,0.00078611-0.00046951i,0.00042612-0.00010277i,0.00011124-0.00035367i,0.00046289-0.00056581i,-0.00026461-0.00063624i,-0.0011928-0.00013751i,-0.00064346-0.00054262i,9.7838e-05-0.0014488i,0.00047672-0.0013314i,0.00032416-0.00050703i,-0.00018293-0.00029478i,-0.00066728-0.00054284i,4.7479e-06-0.00029982i,0.00038825+0.00013162i,0.00054124+0.00030123i,0.00058793-0.00038435i,0.00016261-0.0006074i,-0.00019404-5.2572e-05i,-3.7421e-05-0.00020057i
0.0006833+0.001433i,0.0014812+0.00069877i,0.0027744+0.00056256i,0.0020417-0.00047497i,0.001418-0.0014828i,0.00056797+5.4474e-05i,-0.00023311+0.00053764i,-0.00023663-0.00044605i,-0.00022313-5.7263e-05i,-0.00021014-0.00058502i,0.00026276-0.0012132i,0.0012374-0.00058817i,0.00073669-0.00045949i,-0.00049643-0.00083064i,-0.00054111-0.0013459i,-0.00078604-0.00083649i,-0.00073506-4.5023e-05i,-0.00030419-0.00021164i,2.0842e-06-0.00016104i,0.00028434+0.00019711i,0.00033759+0.00019196i,0.00015451-0.00040633i,-0.00038586-0.00048212i
0.0011539+0.00027614i,0.0011067-0.00049151i,0.0012326-0.00073074i,0.0016326-0.00058993i,0.00058463-0.00036004i,-0.00044005-0.00053656i,-0.00046423-0.0007125i,-9.7191e-05-0.00023677i,-6.7827e-05-2.3119e-06i,-0.00048048-0.00041585i,-0.00076572-0.00030719i,-0.0010219+0.00020372i,-0.00056991+6.6956e-05i,0.00021647-0.0001576i,0.000166-0.00054932i,-0.00042623-0.001002i,-0.0010358-0.00098221i,-0.00037249-0.0006511i,0.00039659-0.00014461i,0.00061479+0.00023862i,0.00019801-0.0006959i,-0.00024256-0.0014246i,-5.1526e-05-0.00092889i
-0.00098006-0.0012775i,-0.00064262-0.0012788i,-0.00014508-0.0012269i,0.00012656-0.0006894i,2.2667e-05-0.00034497i,-0.00056928-8.9004e-05i,-0.0012167-0.00027299i,-0.0015162-0.0010472i,-0.00069407-0.0014548i,-0.00058955-0.0011329i,-0.00081819+0.00046279i,-0.00023939+0.0015604i,0.00011518+0.0008142i,-0.00048743+0.00024112i,-0.0006951+0.00047949i,-0.00015917-6.0791e-05i,0.0002331-0.00044423i,0.0002584-0.00014337i,0.00037724-0.00025017i,0.0002913-0.00050901i,0.0001349-4.8905e-05i,2.9303e-05+0.00039069i,-0.00080741+3.9614e-06i
-0.0013642-0.00027977i,-0.0011634-0.00064685i,-0.0009622+0.00028698i,-0.0002128+2.1588e-05i,0.00078143-0.00047853i,0.00017987-0.00016765i,-3.8983e-07-0.00039473i,0.00062578-0.00022663i,0.00045382+0.00026539i,0.00076917-0.00026398i,0.00085711-0.00032831i,0.00071392-0.00015636i,0.00064664+0.00021542i,0.00014739+0.00038989i,0.00011973-0.00041797i,6.2862e-06-0.001225i,-0.00048493-0.0003755i,-0.00053476+0.00039814i,-5.5898e-05+0.00051488i,0.00021638+0.00056901i,-0.00029342+0.00089026i,-0.00013471+0.00055514i,-9.8045e-05-0.0004329i
0.00048572-0.0018583i,0.00015539-0.00094974i,-0.0004141-0.00047607i,-9.3428e-05-2.7197e-05i,0.00038141+0.0011455i,0.0011868+0.0015731i,0.00066505+0.001454i,-0.00011467+0.0010647i,0.00020362-9.7319e-05i,0.00087077-0.00030717i,0.00081049+0.00017902i,0.00033056+0.00035337i,4.825e-05+0.0001977i,0.00023723-0.00054147i,0.00027275-0.0010415i,-0.00019831-0.0010476i,-0.00014063-0.00047906i,0.0005136-0.00067138i,0.00091668-0.00067787i,0.00071001-0.00013013i,0.00017053-0.000589i,-8.7532e-05-0.00050688i,-0.00019675-0.00026058i
0.0022855+0.0018084i,0.0011476+0.0022079i,0.00066322+0.00087214i,0.0010165-0.0010971i,0.0010634-0.0012156i,5.301e-05+0.00028138i,-0.0001685+0.00081645i,-0.00014637-0.00026884i,-0.00040108-0.00035452i,-0.0008944-0.00067795i,-0.00035988-0.00086231i,0.00034261-0.00060235i,0.00021678-5.0648e-05i,0.0001315+0.000254i,0.00068235+0.00025133i,0.00084927+0.00044588i,0.00063717+0.00040415i,0.00035664+0.00010229i,0.00039285-0.00047321i,0.00052549-0.00069059i,0.00031556-0.00011798i,-0.00039633+0.00018398i,-0.00056618-0.00024976i
0.0012802+0.001359i,0.0018044+0.00058366i,0.0025558-4.3057e-05i,0.002785-0.000719i,0.0022448-0.0011109i,0.00059716-0.00091154i,-0.00041271-0.000893i,-0.00023627-0.0009103i,0.00071611-0.00059129i,0.00056064-0.00093756i,-0.00063117-0.001879i,-0.00049231-0.0018815i,0.00012308-0.00063872i,-0.00014761-0.00055232i,0.00028465-0.0011934i,0.0012033-0.001026i,0.00083609-0.00044335i,0.00018625-0.00064283i,0.0002111-0.00094311i,-5.5482e-05-0.00063118i,-0.00091868-3.9407e-05i,-0.0014423+0.00058581i,-0.001305+0.00033746i
0.00080258-0.0012154i,0.00073285-0.0023032i,-1.6262e-05-0.002695i,-0.00082936-0.0026062i,-0.0011357-0.002068i,-0.0011145+3.2541e-05i,-0.00056189+0.00074007i,-0.00036656-0.0005377i,-0.00041301-0.0009803i,-0.00045149-0.00055658i,-0.00096278-0.0004172i,-0.0013347-0.00042667i,-0.00077371+5.0406e-06i,-0.00017861+1.7956e-05i,-0.00010189-0.00027339i,-0.00013926-0.00066414i,2.2406e-05-0.0010995i,0.00051907-0.00084833i,0.00012713-0.00071969i,0.00044992-0.00096027i,0.001134-0.00071899i,0.00015731-0.00015941i,-0.00065422+0.00026079i
0.00048857+0.0027864i,0.00076118+0.0022374i,0.0021587+0.001415i,0.0022569+0.00053352i,0.0011398-0.00020342i,0.0005042+2.5645e-05i,0.00027972-0.00024422i,-0.00037094-0.0010156i,-0.0008643-0.001126i,-0.00033295-0.00085419i,-7.1105e-05-0.00059927i,-0.00049007-0.00053192i,-0.00022667-0.0004547i,0.0001397+0.00019294i,4.019e-05+0.00046214i,0.00051439+0.00035583i,0.00054714+5.4121e-05i,0.00028938+0.0001834i,2.8898e-05+0.0010561i,-0.00052046+0.0010713i,-0.00046258-0.00013002i,-3.9179e-05-0.00093732i,-0.00012436-0.0004029i
4.4105e-05+0.0013772i,0.0015193+0.0012363i,0.0018209+0.0018255i,0.001339+0.00078301i,0.00074138-0.00091396i,-4.784e-05-0.00091799i,-0.00087739-0.00012648i,-0.0011194+0.00021383i,-0.00073867+0.00048909i,-0.00050896+0.00087265i,-0.000379+0.00058417i,0.00028143+9.9861e-06i,0.00065459-0.00040844i,0.00032489-0.00064591i,0.0010047-0.00059478i,0.0011096-0.00080623i,0.00071463-0.00050585i,0.00081264-0.00053278i,0.00085705-0.00082475i,-5.2835e-05-0.00025696i,-9.8229e-05+0.00064031i,0.00051779+0.0010566i,0.00049809+0.00054839i
-0.0010164+0.00074511i,-8.3957e-05+0.0012568i,0.0010849+0.00162i,0.0013331+0.00067334i,0.0012981+1.4584e-05i,0.00059593-0.00027886i,0.00041793-0.00015522i,0.00081802+0.00027582i,0.0003775+0.00025066i,0.00043553-0.00038078i,0.00021694-0.00042389i,9.6118e-05+1.9857e-05i,0.00048054+0.00040478i,0.00066533+0.00042167i,0.0002655-0.0003552i,-0.00023585-0.0015748i,-4.9742e-05-0.0018825i,5.543e-05-0.00069332i,3.6284e-06+0.00048054i,-0.00018718+0.00044189i,-0.00041757+0.00026015i,-0.00025795+0.00049859i,-0.00031788+0.00038068i
0.00039928+0.0022536i,0.00025804+0.0030276i,0.0011569+0.0023427i,0.0019838+0.0010893i,0.0013748+0.00010181i,0.0009761-0.00016698i,0.001027-0.00037106i,0.0012529-0.00059882i,0.0009124-0.00076587i,0.00038061-0.00033323i,0.00010998-0.00026251i,6.8966e-05-0.00069663i,-0.000156-0.00076266i,-0.00027795-0.00064609i,-0.00063087-4.0955e-06i,-0.00050798+0.00044476i,0.0002235+0.00013943i,0.00029312-0.00022505i,2.6673e-05-0.00015071i,0.00015365-0.00016847i,0.00035363-4.5327e-05i,0.00012668-0.0001228i,-0.00040592-0.0005536i
0.00012605-0.000605i,-0.00051172-0.00036862i,-0.00098796+0.00014396i,-0.00020518+3.2611e-05i,0.0012107-0.00071289i,0.0010343-0.00073151i,-1.4358e-05-0.0001423i,-0.00023042+2.5602e-05i,-1.3381e-05-0.00080627i,0.00055871-0.00033155i,8.5535e-05+0.00057679i,-0.00021913-9.9558e-05i,0.0002954-0.0002665i,9.1186e-05-3.7095e-06i,-0.00039082-0.00013235i,-0.00016124+0.00026332i,0.00022665+0.00028957i,-7.5908e-05-0.00041896i,-0.00017342-0.00038325i,0.00019416-0.00023804i,0.0006264+0.00011972i,0.00066177+5.7312e-05i,0.00023792-0.00094747i
