-0.001999+0.00099645i,-0.00049474-0.00075586i,-0.00051182-0.0017579i,-0.00065311-0.0013787i,-0.00095441+0.00019511i,-0.0010394+0.0021882i,0.0001511+0.0025503i,0.0016075+0.0012238i,0.0019941+0.00030994i,0.002066+0.00016115i,0.0011387-0.00042109i,-9.3879e-05-0.00072108i,-0.00077803-0.0002252i,-0.0010779-0.00045873i,-0.00052473-0.00037991i,0.00013461-0.00010108i,-2e-05-0.00016542i,3.5491e-05-0.00034943i,-5.5995e-05-5.5916e-05i,1.8656e-05+0.00058354i,0.00056817+0.0004337i,0.00036678+0.00027782i,-0.00022119-0.00034702i
-0.00077002-0.0011709i,0.00037218+4.5101e-05i,0.0016456-0.00080656i,0.0015455-0.001189i,0.00047684-2.8206e-05i,0.00036776+0.0010138i,0.0013862+0.0014138i,0.0017129+0.0015902i,0.0011097+0.0015992i,0.00030749+0.00092305i,-0.00019608-8.2241e-05i,0.00047646-0.00093256i,0.00080841-9.0447e-05i,0.00023848+0.00018192i,0.00038971+5.7357e-05i,0.00039959+0.00052392i,-1.0409e-05+0.00027449i,0.00020986-5.9398e-05i,0.00023332+0.00013692i,9.8688e-05+0.00040905i,0.00053081+0.00018449i,0.0004783+0.00019307i,-0.00055442-0.00052953i
-0.0012252+0.0023458i,-0.00079622+0.0023635i,0.00047668+0.0017051i,0.0016602+0.0008167i,0.001657+0.00012888i,0.0014381+0.00010091i,0.00079506+0.00072341i,0.00019224+0.0006961i,0.00032447+0.00038634i,0.00042219+0.00038554i,0.00020652-0.00036112i,-0.00063237-0.00031628i,-0.00087839-0.00040626i,-0.00057626-0.00081379i,-0.0010841-0.00067608i,-0.00058227-7.0605e-05i,0.00014158-8.1748e-05i,-0.00033996-0.00078149i,0.00022705-0.0010992i,0.0014393-0.00059868i,0.0018347-0.0002334i,0.00067775+0.0001692i,-0.00019685+0.00026345i
0.0013107+0.00059404i,0.00064799-0.00046523i,0.00087841-0.0012637i,0.0011867-0.0013077i,0.00088147-0.0010303i,0.00078249-0.0013262i,0.00029564-0.001405i,0.00024846-0.0011044i,0.00098228-0.00063595i,0.0011973-0.00045556i,0.0012511-0.00058563i,0.00077023-0.00015269i,0.00077124+0.00012587i,0.0011141+1.483e-05i,0.00081695-0.00038762i,0.00029335-0.0003895i,-2.4389e-06-0.00076009i,-0.00024398-0.0012641i,-0.00013058-0.000689i,0.00010014-0.00010346i,0.00024246-0.00024612i,0.00065887-0.00019805i,0.00047698-0.0005151i
2.7795e-05-0.00031342i,-0.00010387-0.0011156i,0.00076465-0.0023598i,0.00076918-0.0025367i,-0.00058965-0.0015643i,-0.00066599+0.00061879i,-0.00011211+0.0017853i,7.1033e-05+0.0012246i,0.00027413+0.00058727i,0.00061743+0.00040467i,0.00055202-0.00021234i,0.00050956-0.00074677i,0.00070273-0.00079803i,0.00085607-0.00076515i,0.00028718-0.00017397i,-0.00046406+0.0003695i,-0.00052865+0.00039519i,-0.00044539+1.1141e-05i,-0.00034625-7.4114e-05i,0.00013716-0.00028842i,0.00078703-1.4502e-05i,0.00058644+0.00024725i,-0.00031054-0.00012656i
-0.0010466-0.00015887i,0.00016352-0.001155i,0.00043896-0.00084006i,0.00015543-0.00045579i,0.00016101+0.00027032i,0.00070932+0.0010658i,0.0014069+0.0012343i,0.0013155+0.0002158i,0.00080514-0.00048138i,0.00036104-0.00017067i,9.3973e-05+0.00040165i,1.9213e-05+0.00059398i,3.6643e-05-9.6363e-05i,-0.00021006-0.00022376i,-0.00092831+0.00054247i,-0.0010096+0.00080916i,-0.00062431-0.00023307i,0.00049-0.00076877i,0.0010732-0.0011759i,0.00058197-0.0010197i,0.00017819-0.00042329i,0.00063718-0.00047918i,0.00083077+0.00052028i
0.0020033-0.0012826i,0.00083444-0.0024067i,0.00064681-0.0028448i,0.00035602-0.0025976i,-0.00089362-0.0015911i,-0.0010114-0.0005568i,0.00015604-8.5948e-06i,0.00034426+0.00010841i,0.00018388-0.00011357i,0.0010615-0.00038868i,0.00090358-0.00044849i,0.00030116+0.00026864i,0.00028066+0.00094393i,-0.00037276+0.00017531i,-0.00030864+6.4434e-05i,0.0005756-0.00026417i,0.00049211-0.0010488i,-8.9724e-06-0.00044459i,-0.00027725+0.00062789i,-0.00042976+0.00083998i,-0.0001698+0.00045659i,0.00025647-0.00010874i,0.00050952-0.00056256i
-0.0002482+0.00026486i,-0.00069782-0.00033154i,-0.0015182-0.0010679i,-0.00092829-0.0019967i,-0.00044559-0.0017151i,-0.0003202-0.00031417i,0.00050948+0.00040797i,0.00055649-5.5679e-05i,0.00021733-0.00027479i,0.00041274+0.00030426i,0.00040988+5.4167e-05i,-8.6553e-05-0.00041885i,-0.00014533-4.7298e-05i,7.9357e-05-0.00014591i,0.00034819+0.00015781i,0.0002126+0.00081329i,-0.00030005+0.00071621i,-0.00010895+0.00049045i,6.7113e-05+0.00064889i,-0.00018177+0.00019443i,-6.8452e-05-0.00050902i,-0.0001234-0.00024328i,1.8575e-05+0.00042427i
-0.0013837+0.00035033i,-0.00069277+0.00032275i,-0.00064685-0.00035054i,-0.00086263-6.9768e-05i,-0.00062118+0.00058189i,0.00030834+0.00067321i,0.00081893+0.00052688i,0.0011416-0.00018167i,0.0011938-0.00064782i,0.00062481-0.00070139i,-2.9755e-05-0.00063123i,-0.00043061-0.00090533i,-0.00055473-0.00085183i,-0.00059335-0.00022297i,-0.0011933-0.00014129i,-0.0014393+0.00012153i,-0.00079465+0.00029561i,0.00014834+9.9186e-05i,0.00034256+0.00019107i,9.1077e-05+0.00012667i,0.00019706+0.00020781i,-4.9103e-05+0.0001702i,-0.0004993-0.00013074i
-0.00044456+0.00020715i,0.00018017-0.00037527i,0.00061219-0.001215i,-0.00011284-0.0017577i,-0.00033695-0.0017797i,-0.00038105-0.00052914i,0.00021642+0.00073535i,0.00084117+0.00046199i,0.00071272-0.00059567i,0.0003661-0.00079552i,-9.3751e-05-0.00028977i,-0.00055544+0.00036936i,-0.00069562+0.00067307i,-0.00059042+0.00018441i,5.498e-05+6.7476e-06i,8.5105e-05+0.00025582i,-0.000554+0.00032627i,-0.00079819+0.00084428i,-0.00032606+0.0011622i,0.00027658+0.0011861i,-0.00010764+0.0011712i,-0.00041044+0.0012426i,-0.001019+0.0017918i
-0.00042775-0.0028328i,-0.0012277-0.0026453i,-0.0020556-0.0025263i,-0.002028-0.0029659i,-0.0017649-0.0022928i,-0.0011224-0.00030601i,8.1613e-05+0.00045799i,0.00070707+1.3145e-05i,0.00096307+0.00022997i,0.00075466+0.00021807i,-0.00046702+7.6393e-05i,-0.00090521+0.00024563i,4.556e-05+0.00015624i,0.00039619+0.00049089i,-0.00018345+0.00078601i,-0.00069111+0.00098457i,-0.00044459+0.00096865i,-0.00047117+0.0003328i,-0.00084714-0.00052125i,-0.00051885-0.00077235i,0.00022737-0.0004926i,0.0011747+0.00060315i,0.00075261+0.00072723i
0.00056568+0.0014092i,0.001347+0.00095777i,0.0016338+0.001081i,0.0022468+0.00086822i,0.0023158+0.00098609i,0.0014436+0.0011761i,0.00076434+0.00045855i,0.00035988-4.6971e-05i,0.00010969+0.0006803i,0.00020163+0.00098296i,0.00013845+0.00095975i,-0.00071157+0.00079539i,-0.0010407+0.00053328i,-0.00094635+0.00023159i,-0.00084406-0.00025911i,-0.0006985-0.00027339i,-0.00030934-0.00033161i,-0.000246-0.00065439i,0.00010038-0.00092583i,-0.00020959-0.0012091i,-0.0014135-0.0010575i,-0.0015393-0.00087318i,-0.0010632-0.0005424i
0.00084221+0.00085411i,0.0013378+9.1795e-05i,0.0016223-0.0021956i,0.0019942-0.0036666i,0.00086946-0.0036803i,-0.00026164-0.0019276i,0.00073782+0.00049066i,0.0013735+0.00096692i,0.001122-0.00013774i,0.00027345-0.00024423i,6.8592e-06+0.00010296i,0.00072757+0.00028165i,0.0004403-0.00019015i,-0.00058802-0.00024255i,-0.00042696+3.2198e-05i,0.00011106+0.00019564i,-0.00014301+1.3882e-05i,-0.00025768-0.00044715i,-0.00035595-0.00075721i,0.00026511-0.00046323i,0.00058766-9.9554e-05i,9.0628e-05+0.00046344i,-0.00059622+0.00051419i
-0.0012238+0.0020055i,-0.00078606+0.00089158i,0.00058343-0.0010501i,0.0012189-0.0021164i,0.00044005-0.0016661i,-5.3521e-05-0.00045218i,3.7994e-05+0.00047628i,0.00039132+0.00091052i,0.00024603+0.00042024i,0.00015228-0.00036463i,-3.1041e-06-0.00088337i,-0.00033485-0.00027963i,-0.0010054+0.00076368i,-0.0013437+0.00087028i,-0.00045933+0.00029088i,-1.8796e-05-0.00011954i,-0.00051456-0.00024299i,3.371e-06+0.00019424i,0.00076561+0.00098066i,-0.00028475+0.0013375i,-4.0081e-05+0.00078181i,0.00089814+0.00016882i,0.00023875-4.4657e-05i
0.00047149-0.00059512i,0.0013611-0.00071968i,0.0018948-0.0012021i,0.0018676-0.0016947i,0.00087322-0.0012768i,0.00040676-0.00028713i,0.0010853+0.0005801i,0.0013902+0.00050375i,0.00084927+0.00040556i,0.00010573+0.00029651i,5.5468e-05-0.00025041i,-8.4117e-05-0.00031285i,0.00014754-0.00076563i,0.00072741-0.00029652i,0.00053047+0.00063611i,-0.00014978+0.00030288i,-0.00051804-0.00017296i,-0.00099937-0.00033429i,-0.0011207-0.00069497i,-0.00042531-0.00046241i,6.2833e-05+1.0862e-05i,-0.00021041+1.9157e-06i,-0.00039225-8.7127e-05i
0.00015536-0.0015594i,0.00018464-0.0018022i,0.00065949-0.0019152i,0.00074845-0.0021314i,0.00087648-0.0012226i,0.00058842+0.00010831i,0.00026103+0.0008763i,0.00046259+0.00065684i,0.00043364+3.6034e-05i,-0.00034401-0.00054994i,-0.00054908-0.00045513i,0.00016602-0.0003552i,0.00035513-0.00025657i,7.4769e-05+0.00048962i,-0.00049463+0.00044879i,-0.00062699-0.00032199i,-0.00036557-9.492e-05i,-0.00051354+0.00027972i,-0.00015588+0.00050782i,0.00010027+0.00040192i,-0.00034415+0.00011552i,-0.00032036-0.00034031i,0.00037004-0.00083252i
-0.002273+0.0011432i,-0.001479+0.0017301i,-0.0014383+0.0020858i,-0.00077046+0.0012441i,4.845e-05+0.0012316i,0.0007522+0.00087176i,0.00070429+0.00091501i,-0.0001269+0.00063226i,-0.00036457+0.00026606i,-1.4753e-05+0.00018087i,-3.621e-05-2.9227e-05i,-0.00015598+0.00040059i,-0.0001297+0.00080179i,-0.00040821+0.00013271i,-0.00072606-0.00051354i,-0.00037191-0.00058395i,0.00032682-0.00020507i,0.0002452-1.3955e-06i,0.00066398-7.2561e-05i,0.00099526+0.00036479i,0.0012934+0.00025655i,0.00083241+1.3933e-05i,0.00025681-0.00024547i
0.00091749+0.0017794i,0.0012414+0.0015414i,0.0021581+0.0015684i,0.0029798+0.00063561i,0.0030225-0.00051337i,0.0018905-0.00058777i,0.0013882-0.00041797i,0.00088691+1.5514e-05i,0.0007331-0.00042926i,0.00075058-0.00094618i,0.00025888-0.0003598i,-0.00055461-0.00020785i,-0.0008931-0.00074889i,-0.00074302-0.00069865i,-0.00079661+9.9215e-05i,-0.00044108-0.00039248i,0.00026848-0.0012454i,2.9999e-05-0.0010017i,-1.6738e-05-0.00068706i,0.00030521-0.00037372i,0.00021499+5.5235e-05i,-0.00031901-0.00024943i,-0.00074863-0.0003654i
0.00098217-0.0019016i,0.00059879-0.0028186i,0.00085567-0.0036531i,0.00099294-0.0034774i,0.00052844-0.001638i,-0.00044126+0.00067638i,-0.00036773+0.00090112i,0.0003973-0.00015119i,0.00021567-0.00015965i,-6.9175e-05+0.00049082i,4.2292e-05+0.00092147i,-0.00031807+0.0011781i,-0.00045146+0.00088342i,-0.00045402+0.00018401i,-0.00073302+0.00015244i,-0.00069575-7.2927e-05i,-0.00059856-0.0002162i,-0.00092635-5.0922e-05i,-0.00037843-0.00033512i,0.00045313-0.00066839i,0.0010812-0.00038827i,0.0010867-0.00012811i,0.00042661-0.0002423i
0.00028721+0.0018097i,0.0009241+0.0017716i,0.001568+0.0012725i,0.001152+0.00082524i,0.00032815+0.00054185i,1.0826e-05+0.00041942i,0.00064512+0.00031218i,0.00093881+0.00037596i,0.0011465+0.0001366i,0.0014244-0.00013873i,0.00085391+0.00042577i,0.00015338+0.00034094i,-7.036e-05+0.00044914i,-0.00052899+0.00059303i,-0.00099367-0.00044812i,-0.001025-0.00084638i,-0.00099669-6.2526e-05i,-0.0010567+0.00044049i,-0.00072752+0.00048262i,-0.00023009+0.00080663i,-0.0001521+0.00036392i,-8.867e-05-0.00021525i,7.4362e-05-0.00012134i
-0.00042078+0.0011723i,0.0010001+0.00073567i,0.0025429-0.00017481i,0.0024056-0.0015605i,0.0020727-0.0020001i,0.0016286-0.00044654i,0.0011113+0.00095908i,0.0008884+0.00031877i,0.001151-0.00016308i,0.00081513-0.00028514i,-0.0003837-0.00047136i,-0.0010479-0.00018997i,-0.00036388-0.00021966i,0.00054331-0.00042841i,0.00065437-0.00047795i,0.0005346-0.00056686i,0.00033451-9.102e-05i,5.0021e-05+0.0005172i,0.00054254+0.00054181i,0.0004236+4.1017e-07i,3.7785e-06-0.00056163i,0.0001061-0.00050144i,0.00023508+0.00012303i
0.0011138+0.0013508i,0.0011579-5.7615e-05i,0.00092806-0.0010695i,0.00075931-0.0012021i,0.00093241-0.0013905i,0.0017065-0.0016212i,0.0013006-0.0010535i,0.00042192-0.00048368i,0.00067234-0.00079063i,0.0010398-0.00051802i,0.0007769-0.00048017i,1.7883e-05-0.00075399i,0.00011807-0.00056538i,-1.8845e-05-0.00044101i,-0.00048124-0.00067657i,-0.00054207-0.00072884i,-0.00013876-0.00055268i,0.00012328+0.00044309i,-0.00049288+0.00035978i,-0.00071129-0.00013371i,-0.00049312+0.00026531i,-0.00066518+0.00056593i,-0.0004454-6.5835e-05i
-0.00045274-0.00069163i,5.5418e-05-0.00085667i,-0.00031281-0.0010346i,-0.0011191-0.0015963i,-0.00057486-0.0016554i,0.00011118-0.00019339i,0.00031669+0.00047407i,0.00032722+0.00016135i,-5.607e-05+6.2043e-05i,-0.00066853-0.00022815i,-0.0011088-0.00029423i,-0.0010198+0.00015884i,-0.00057216-0.00019308i,-0.00015666-0.0014128i,0.0007115-0.0015418i,0.00069983-0.00088148i,-0.00041274-7.3941e-05i,-0.00048448+0.00052847i,0.00036396+0.00063139i,0.0010633+0.00080763i,0.0016101+0.00070957i,0.0010805+0.00074937i,0.00012464+0.00018228i
0.0010058-0.00018697i,0.0007927+0.0008737i,0.00098998-0.0001118i,0.0002422-0.0017539i,-0.00032268-0.0013849i,-0.00020483+0.00047994i,0.00051495+0.0020729i,0.00048911+0.0026669i,0.00063736+0.0013671i,0.0013001+0.00014706i,0.00090514-0.00014655i,0.00023139-0.0003784i,0.00029923-0.00044598i,0.00011599+0.00010589i,0.00025772+0.00027025i,0.00014439-0.00045146i,0.00040701-0.00047635i,0.00059808-4.8143e-05i,0.00062282-7.9496e-05i,0.00040883-8.3502e-05i,0.00020177+0.00024045i,0.00032025+0.00043903i,0.00033838-0.00011392i
-0.00026993-0.0015635i,-7.4893e-05-0.0012411i,0.0001725-0.0018418i,0.00015333-0.0012382i,-0.0011951+0.00038261i,-0.00061017+0.0015453i,0.00078496+0.0011335i,0.0013275-0.00024191i,0.00096905-0.00087793i,0.00038361-0.00083422i,0.0006074-0.0007758i,0.00085676-0.00071682i,0.00060819-0.00056017i,0.00036256-0.00015942i,0.00010125+0.00052273i,0.00016989+0.00040026i,0.00018309-0.00023711i,0.0004745-0.00046805i,0.00086099-2.9849e-05i,0.0010152+0.00018113i,0.00060732-6.2915e-05i,-0.00027232-0.00020496i,-0.00035202-0.00026032i
-0.00044941+0.00076713i,0.00059957+0.00084764i,0.0013691+0.00036671i,0.0010771-0.00038408i,0.0013579-0.00077419i,0.0018686-0.00021214i,0.0014666-8.6075e-05i,0.00085798-0.00036757i,0.0007584-0.00020512i,0.00073589-0.00030055i,0.00055461-0.00059363i,-5.1267e-05-0.0010698i,-0.0001564-0.0013953i,-0.00045096-0.0010963i,-0.00065004-0.00069477i,-0.00049483-6.4751e-05i,-0.00095013+0.00042314i,-0.0012566+0.00054482i,-0.00041609+4.6974e-05i,0.0003111-0.00067504i,0.00052343-0.0007688i,0.00017621-0.0011958i,-0.00092155-0.0010266i
-0.0007431-3.4343e-06i,0.00032039-0.00075667i,0.0016244+1.659e-05i,0.0014154+0.0003755i,0.00052577+0.00067969i,-0.00027153+0.0014067i,0.00012701+0.0011711i,0.00045172+0.0003205i,-0.00036963+0.0003009i,-0.00014886+0.00039926i,0.00040515-0.00022848i,-0.00023236-0.00068775i,-0.0010627-0.00082042i,-7.0323e-05-6.3257e-05i,2.3893e-05+0.00095584i,-0.00014045+0.0010748i,0.00065989+0.00083599i,0.00095468+0.0011347i,0.00023365+0.00088267i,-0.00013702+0.00010241i,0.00018006-0.00011365i,-7.5398e-05+0.00015284i,-0.00033647+0.00043775i
0.00054309-0.00085098i,4.861e-05-0.0012005i,-0.00056873-0.00030176i,-0.00083683-0.00032898i,-0.00067457-0.00072447i,7.0568e-05+0.00067274i,0.0010405+0.00166i,0.0011393+0.00088652i,0.00066697-0.00035403i,0.00038811-0.0007051i,6.1781e-05-0.00086895i,-0.0005884-0.0003422i,-0.00046984+0.00054535i,0.0005452+0.00065844i,0.0011956+0.00012549i,0.00072136-2.9541e-05i,0.00036588+0.00065857i,-0.00036393+0.0012124i,-0.00058017+0.00097116i,0.00019989+5.9702e-05i,7.6336e-05-0.00069728i,-0.00038001-0.00087853i,0.00013372-0.00061916i
-0.0011498-0.00018992i,-0.00035414+5.454e-05i,0.00031916+0.00056781i,0.00013514+0.00084181i,0.00053325+0.0003513i,0.0010752+0.00023911i,0.0011071+0.00057017i,0.00042536+0.00028412i,6.1211e-06-0.00029384i,-2.2417e-05-0.00031771i,-0.00097597+9.9038e-05i,-0.0012596+0.00054503i,-0.00023594-0.00016731i,0.00053783-0.00029857i,0.00015446-0.00021317i,-0.00028683-6.1535e-05i,0.00011983+0.00020068i,4.5112e-05+0.00018848i,2.0656e-05+0.00013306i,0.00063111+0.00034778i,-0.00038367+2.9206e-05i,-0.0013811-0.00055116i,-0.00037613-6.5098e-05i
-0.00082551-0.0013716i,-0.0009187-0.0025057i,-0.0006789-0.0028749i,-0.00070377-0.0020085i,-0.00031017-0.0007419i,0.00042698+0.0010103i,0.0011494+0.001428i,0.0015006+0.0010745i,0.00097207+0.00083509i,0.00028828+0.00021786i,-5.021e-05-0.00027152i,-0.0004285-0.00045571i,0.00061006+0.00012095i,0.0011651+0.00064069i,0.00047909+0.0003584i,1.6869e-05-0.00022386i,-0.00063748-0.00040751i,-0.0013616-0.00014032i,-0.0010945+0.00020378i,-0.0004567+0.0002601i,-0.00034833-0.00012881i,-6.9956e-05-0.00029201i,0.0001678-0.00014323i
-0.0014743+0.00094549i,-0.0018863+0.0014422i,-0.0010848+0.00067712i,0.00042919-0.00083181i,0.0010408-0.00045542i,0.0013347+0.00082872i,0.00089708+0.0011732i,0.00089734+0.00050122i,0.001729+0.00058276i,0.0010938+0.00052937i,0.00023947-0.00079405i,9.5614e-05-0.00078378i,0.00015734-0.00033765i,-2.6979e-05-0.00058925i,0.00033116-0.00034972i,0.00031853-0.00010848i,-6.3518e-05-0.00018364i,-5.2447e-05+0.00083173i,0.00017712+0.0014757i,0.000282+0.00049475i,6.0581e-05+0.00054182i,0.00060754+0.00080239i,0.0013305+0.00035934i
-0.00020465-0.001396i,-0.001486-0.0023182i,-0.00099052-0.0031879i,-0.00019178-0.0026997i,-0.00020793-0.0015529i,4.8592e-05+9.0986e-05i,0.0004015+0.00020717i,0.00072015+0.00045988i,0.00063467+0.00081912i,2.1431e-05+0.0005113i,-0.00044257-0.00025534i,6.0501e-05-0.00053555i,7.5547e-05+0.00013535i,7.478e-05+0.00089162i,0.00081916+0.00071i,0.0010339-0.00028215i,0.0004271-0.00078106i,0.00045496-0.00040552i,0.00040726+6.742e-05i,-1.7744e-05+7.7341e-05i,-0.00048861+0.00040655i,-0.00072074+0.00030425i,0.00014584+0.00015908i
0.0023217-6.1766e-06i,0.0027823-0.0017152i,0.0026942-0.0041276i,0.0018908-0.004576i,-0.00035039-0.0029306i,-0.0012969-0.00075875i,-0.00027245+0.0010388i,0.00092162+0.0012927i,0.0014089+0.00082197i,0.00057565+3.1222e-05i,-0.00036509-0.00068927i,-0.00063628-0.00032078i,-0.00070645+0.00067498i,-0.00032521+0.0011104i,-0.00029593+0.00033744i,-0.00051503-0.00058359i,-2.0202e-05-0.00038586i,0.00040855+0.00024911i,0.00048309-4.8872e-06i,0.0002155+5.4008e-05i,-0.00054549+0.00017318i,-0.00081273-7.4249e-06i,-0.00030784-0.00040164i
