0.001245+0.00067153i,0.0012904-0.0011018i,0.001263-0.0021942i,0.00011189-0.0023152i,-0.00056803-0.0014632i,-0.00084995-0.00017692i,-0.0010945+0.00068369i,-0.00050641+0.0015315i,-9.5383e-05+0.0010435i,0.00060648-0.00035142i,0.00046283-0.00074733i,-0.00074805-0.00055937i,-0.00095626-0.00043896i,-0.0006264-0.00067305i,-0.00083645+0.00012271i,-0.0009189+0.0010851i,-0.00049768+0.00049595i,-0.00065853+3.1062e-05i,-0.00046286-0.00038311i,8.3389e-05-0.00062539i,0.00099559+8.5303e-05i,0.0017367+2.6768e-05i,0.0012308-5.291e-05i
0.0010109+0.0010915i,0.0014431+0.00095018i,0.0011883+0.00094744i,-2.765e-05+0.00032834i,-0.00055764-0.00077436i,3.0268e-05-0.00093667i,0.0010467-0.00027391i,0.0010178+9.6059e-05i,0.00013765+0.00063731i,-0.00026683+0.0010658i,-0.00017555+0.00097895i,-0.00014503+0.0003475i,0.0002532-0.00014469i,0.00055502-9.4095e-05i,0.00022418-0.00030716i,-5.851e-05-0.0010022i,0.00022546-0.00057375i,0.00038548+0.00022288i,0.00057968+0.00060364i,0.00065057+0.00068103i,5.6619e-06+0.0002667i,0.00013187-0.00066866i,0.00057945-0.0013205i
0.00050054+0.00025278i,-0.00040423+0.0002961i,-0.00055874+0.00026319i,-0.00073477+0.000969i,-0.00071585+0.00086588i,-0.0011661+0.00058326i,-0.0011933+0.00065312i,-0.00073936-0.00022992i,-0.00018209-0.00012756i,0.00039956+0.00077259i,0.00087039+0.00032389i,0.00046238-0.00010153i,0.00044073-2.9117e-05i,0.00045889+0.00041535i,-6.334e-05+0.000721i,0.00044376+0.00021698i,0.00052202+0.00024192i,-0.00026134+0.00047556i,-0.00016471+0.0003504i,0.0008663-1.2129e-05i,0.00062041-0.00025852i,-0.00010122-0.00037281i,0.00026492+0.00014793i
-0.0015563-0.000268i,-0.00083552-0.0013803i,-0.0001135-0.0017189i,-0.00045499-0.0014799i,-0.00097995-0.00071154i,-0.00026864+0.00069881i,0.00021363+0.0010596i,-7.0636e-05+0.0005892i,-0.0005913+0.00072782i,-0.0003738+0.00049624i,0.00029384+0.00022372i,0.00071975+0.00077261i,0.00056601+0.00058877i,-0.00035082+1.1013e-05i,-9.5364e-05-0.00026514i,0.00058056+0.00052319i,-0.00019393+0.00089155i,-0.00067145+0.00040844i,-0.00082601+0.00011734i,-0.00074715+0.00021263i,-0.00062293+0.00034984i,-0.00040204+0.00022907i,-6.1145e-05+0.00041072i
-0.0012076+0.001252i,-0.00021543+0.00070591i,-0.00019322+0.00090967i,0.00020878+0.00040461i,0.0013363-0.0004347i,0.0018429-0.0012372i,0.0012812-0.0011918i,0.00029617-0.00037645i,0.00028798+0.00037779i,0.00041315+0.00043454i,0.00071481-0.00010977i,0.00032449+0.00019188i,-0.0010327+0.00064965i,-0.0015624+0.00031917i,-0.00095683-0.0001356i,-0.0001451-0.00013995i,0.00057613-0.00010875i,-9.9238e-05-0.00047419i,-0.00072881-0.00051442i,-0.00046003+0.00016584i,-0.00036097+0.00077046i,0.00010218+0.00048685i,0.00081546+0.00075751i
-0.00075295+0.00083361i,-0.00046188+0.00043414i,-0.00018157+0.00040677i,-0.0010691+0.00029649i,-0.0016517-0.0005023i,-0.0014493-0.001301i,-0.0013707-0.0013077i,-0.00067447-0.00032482i,-0.00033931+0.00041921i,-0.00049948+0.00050243i,-0.00016935+0.0008452i,0.00029885+0.0010384i,0.00041551+0.00076496i,-0.00014079+0.00031724i,-0.00049746-0.00017423i,-0.00017962-0.00061296i,-0.00049503-0.00050447i,-0.0012816-0.00076362i,-0.0011991-0.00042561i,-0.00074851+0.00079263i,-0.00036703+0.0012164i,-0.00086438+0.00040508i,-0.00070622-0.00042926i
-6.6177e-05-0.00063655i,-0.00039328-0.0005543i,-0.0003988-0.00026957i,-0.00052001+0.0010476i,9.4702e-05+0.0024483i,0.0010782+0.0016314i,0.00073988+0.00058056i,-0.00027919+0.00028901i,-0.0003256+0.00044036i,0.00073845+0.0007028i,0.00040235+0.00039203i,-9.1904e-05-0.00034942i,0.00021243-0.00081514i,-6.9137e-05-0.00036149i,-0.00072414-0.00028976i,-0.00050004-0.0010307i,-0.00015793-0.0013378i,-0.00051435-0.00040696i,-0.00012763+0.00047948i,0.00023963+0.00091164i,0.00028542+0.00040052i,0.00025897-0.0001763i,5.7596e-05+0.00049317i
0.0013881+0.00064661i,0.00077917+0.00011158i,0.0020001-0.0014785i,0.0025811-0.002636i,0.00059734-0.0028885i,-0.0011466-0.001761i,-0.0011207-0.00044947i,0.00019251+0.00030479i,0.0011807+0.0002854i,0.00056896+0.00018141i,-0.0005319+0.00049945i,-0.00017463+0.00041039i,0.00036746-0.0005348i,0.00041768-0.00091519i,-1.689e-05-0.00097996i,-0.00034906-0.00051385i,0.00042681+0.00022181i,0.00052854+0.00061454i,-0.00031553+0.0002308i,-0.00029263-0.00073413i,-1.5128e-05-6.9597e-05i,-0.00037656+0.00046201i,-0.00023909+0.00031234i
0.00021908-0.00027473i,-0.0010084+0.0003981i,-0.0023725-6.4851e-05i,-0.0032527-0.00032112i,-0.0028461+0.00041952i,-0.0016704+0.00096902i,-0.00082066+0.00075916i,-0.00046015+0.00055284i,0.00067396+0.00067633i,0.0011308+0.00091648i,0.00045919+0.00084307i,-0.00014581+0.0003296i,0.00016445+1.9145e-05i,0.00038042-9.4373e-05i,2.8218e-05-0.00081128i,-0.00037282-0.0012487i,-0.00011081-0.00073984i,-0.00011508-0.00023007i,-0.00068247-0.00014309i,-0.00050337+0.0002762i,-3.7793e-05+0.00072163i,-0.00027303+0.00082681i,0.00014224+0.00010521i
-0.00039792-0.00019672i,-0.00010214-0.00032037i,0.00069967+0.00052169i,0.00048032+0.00081539i,-0.00017297+0.00022419i,-5.9086e-05+0.00016414i,-0.00022921-0.00037075i,-0.0010136-0.00050887i,-0.00088943+0.00012125i,-0.00017823+0.00014839i,0.00056098+0.00015941i,0.00061463+0.00055645i,-0.0004418+0.00063227i,-0.00068008-1.1255e-06i,-0.00013401-0.00054074i,0.00026422-0.00078712i,0.00030754-0.00066094i,0.00046689+9.3043e-05i,0.00074037+0.0001751i,0.00010368+9.8681e-05i,-0.00066083+0.00044i,-0.00097897+0.00064239i,-0.00055486+0.00013919i
0.00024029+0.00029291i,0.00032015+0.00046299i,0.00039079-8.6382e-05i,0.0003303-0.00089796i,-0.00031839-0.0012674i,-0.00064233-0.00070345i,-0.00017134-0.00033853i,0.00047802-0.0010327i,0.0010918-0.00094946i,0.00038711+9.5585e-05i,-0.00039386+0.0008165i,0.00021964+0.0011566i,0.00048872+0.0008011i,5.4856e-05+0.00039194i,-0.00016236+0.00037079i,8.3232e-05+0.00021506i,-0.00023465-0.00035032i,-0.00046553-0.00091077i,-0.00046467-0.00077659i,-0.00053353-0.00030776i,-0.00035332-0.0005671i,0.00023251-0.00023219i,0.00017827+0.00021131i
-0.0014767+0.00073613i,-0.0019169+0.00034893i,-0.001796+0.00018698i,-0.0010291+0.00014358i,-0.00014268-1.7982e-05i,-0.00025931-0.00017925i,-0.00059907-0.00047377i,-8.696e-05-0.00068476i,5.9694e-05-0.00031822i,-2.2628e-05+0.00033415i,0.00044894+0.00046665i,0.00017309+0.00076079i,-0.00012413+0.00094209i,-0.00085737+0.00081818i,-0.0012116+0.00082186i,-0.00088197+0.00058784i,-0.00056432+7.6925e-05i,-5.4068e-05+1.8673e-05i,-0.00038084-0.00011092i,-0.00036956-4.9687e-05i,0.00048802+7.4325e-05i,0.00030493-0.00021072i,0.00082349+0.00012829i
-0.0001025-0.00029885i,0.00054816-0.00078949i,0.00076422-0.00076816i,0.00046509-0.00085441i,0.00016983-0.00014257i,0.00035907-0.000196i,0.00031824-0.00071441i,0.00042427-0.00059132i,0.00067492+0.00030613i,0.00055217-0.0001769i,0.00048812-0.00050954i,0.00073176-0.0003082i,0.0018252+4.6784e-05i,0.0016637+0.00051288i,0.00092379+0.00039288i,0.00086391-0.00032491i,0.00056038-0.00073703i,0.00037389-0.00044852i,-0.00024888+0.00015158i,-0.00065569+0.00021941i,-0.00018338-5.165e-05i,7.7484e-05-0.00035805i,0.00041399-0.00031095i
-0.00097118-0.00016053i,-0.00052011+0.0008256i,-0.00018813+0.001751i,0.00030432+0.001827i,0.0008968+0.00058685i,0.0011126-0.00018678i,0.0011088-0.00075396i,0.00065544-0.0002132i,0.00052735+0.00077577i,0.00058111+0.0010254i,-0.00013883+0.0006531i,-0.00051503-4.681e-05i,-0.00048024-0.00053911i,-0.00029427-0.0010067i,-0.00023601-0.00062013i,0.00038465-0.0002524i,0.0012024-0.00025338i,0.0011504-0.00025577i,0.00041584-0.00018709i,0.00073557-0.0002262i,0.0010119-8.0826e-05i,0.0013607+4.7557e-05i,0.0013957+0.00013698i
-0.0012765-0.00013453i,-0.001349-0.0013986i,-0.00098802-0.0022973i,-0.0010822-0.0025943i,-0.000905-0.0020536i,0.00054795-0.00082385i,0.00069546-0.00058751i,0.00011647-0.00039189i,-0.0006144+0.00014419i,-0.00043706+4.762e-05i,0.00078468-4.1718e-05i,0.00058166-0.00018894i,-0.00055416-0.00063517i,-0.0010078-0.00038245i,-0.00059453+0.00010306i,-0.00022903+0.00028368i,-8.6393e-05+0.00026754i,0.0003187+0.00023704i,0.00081723-0.0001453i,0.00019234-0.00075107i,0.00016526-0.00071259i,0.00059164-0.00097172i,0.00061521-0.0011253i
0.00020444-0.0013149i,0.001287-0.00083289i,0.0022135+0.00076119i,0.0022322+0.0012588i,0.0019222+0.00085934i,0.0015282-0.00045472i,0.00075697-0.00047142i,0.00032442+5.2685e-05i,-2.0836e-05+0.00023359i,-0.00071688+0.00055693i,-0.00095316+0.00047027i,-0.00033066-1.3953e-05i,0.00018488-0.00048338i,0.00048487+5.7322e-05i,0.00039327+0.0004594i,-0.00040332+5.3081e-05i,-0.00070785+0.00028376i,8.8774e-05+0.00024219i,0.00036743+0.00013423i,0.00035873-1.312e-05i,-8.4927e-05+0.00039602i,-0.00041923+0.00090969i,-0.00063775+0.00074625i
-0.0010291-0.00023757i,-0.00072196-1.3789e-05i,-0.00027133+0.001029i,5.0703e-05+0.00141i,2.3184e-05+0.00052503i,0.00062142+0.00051992i,0.00024659+0.00020446i,0.00011016-0.00016564i,0.00048482+0.00013961i,-3.5971e-05-0.00033208i,0.00032722-0.00086156i,0.00061299-0.00037604i,0.00059518+0.00049258i,0.00029128+0.00023781i,-0.00027749-0.00079193i,-0.00056644-0.001034i,-0.00095895-0.00041626i,-0.00077626+8.4705e-05i,0.00055416-0.00017702i,0.00063908-5.2358e-05i,-0.00022325-0.00018746i,-0.00021105-0.00021563i,0.00029699-0.0003659i
0.0012845-0.00045864i,0.0004171-0.0013306i,-0.0018633-0.0024449i,-0.0032726-0.0019138i,-0.0021098-0.00028985i,0.00016915+0.00028386i,0.0011389-0.00010471i,0.00054846-0.001047i,0.00066579-0.00067301i,0.00051893+0.00039632i,0.00024668+0.00087874i,0.00019422+0.0011368i,0.00022752+0.0015647i,-0.00057864+0.0010765i,-0.00056778-6.2679e-05i,-4.3252e-05+4.2176e-05i,0.00011704+0.00048117i,0.00042916+0.00049681i,-0.00063198-0.00019964i,-0.00098767-0.0013116i,-9.469e-05-0.00068558i,0.00035045+1.2597e-05i,0.0008094+0.00014419i
-0.00016651-0.001631i,0.00012885-0.0015239i,2.4557e-05-0.00010289i,7.2724e-05+0.00026645i,-0.00073141-0.00055659i,-0.00046083-0.0007704i,-5.5396e-05-0.00024263i,-0.00020239+0.00023753i,-0.00074428+0.00033776i,-0.00061726+0.00050071i,-0.00049532+0.00046568i,-0.001289-0.00044517i,-0.0010466-0.0010777i,0.00014164-0.0013048i,0.00012919-0.0012833i,0.00012902-0.00099445i,0.0004865-0.00042568i,-0.00028354+0.00020925i,-0.00056888+7.8319e-05i,-5.5748e-05-0.00052574i,-0.00017548+4.5626e-05i,-0.000451+0.00076409i,-0.0011092+0.00073566i
0.00018932+0.00027222i,-0.00051107+0.00053823i,-0.00038414+0.00084235i,-0.00012036+0.0006144i,0.00031647+0.00052675i,-0.00029085+0.00039975i,-0.00057065+0.00018032i,0.000683+0.00024829i,0.0011041+0.00028664i,0.00052352+0.00035546i,-8.5591e-05+0.00093634i,9.2778e-06+0.00098615i,0.00053217+0.001154i,0.00071504+0.00085002i,0.00079481-0.00026623i,-0.00031476-0.00033789i,-0.00063702-4.9471e-05i,2.743e-05+3.2543e-05i,0.00036996-0.00029562i,0.00035519-0.00029608i,4.0639e-06+4.8734e-05i,0.0001876+0.00026877i,0.00046889+0.00029423i
0.0016866-0.00094322i,0.0027324-0.0013335i,0.0010428-0.0016029i,-0.0008681-0.0016714i,-0.001784-0.00104i,-0.0017993-0.00032312i,-0.00035793+5.2296e-05i,0.00074506-0.00021242i,0.00055788-5.0843e-06i,-0.00033063-0.00010345i,-0.00069742-0.00050719i,-0.00065223-3.2108e-05i,-9.6565e-05+0.00024311i,0.00062508+0.00037458i,0.00050197+0.0005592i,0.00025257+0.00031256i,0.00045092+0.00037737i,0.00049587+0.00053835i,0.00020583+0.00055624i,-8.4879e-05-0.00044712i,-0.00028564-0.00085943i,-0.00054155-0.00047704i,-0.00067924-9.1545e-05i
0.0003199+0.00073596i,0.00071208+0.0012045i,0.0013524+0.0010726i,0.0003003-6.4941e-05i,-0.00064302-0.0013764i,-0.00098622-0.0012843i,-0.000749-9.4975e-05i,-0.00022064+0.00096008i,0.00013082+0.001319i,-9.1626e-05+0.0010633i,-0.00036681+0.00040285i,1.3506e-05+9.516e-05i,0.00050063-7.7605e-05i,0.00050788-0.000272i,-6.6512e-05-0.00034475i,-0.00051825-0.00014984i,7.9741e-05-0.0001183i,0.00028748-0.00026359i,0.0001055+2.7611e-05i,0.00023717-0.00018459i,-0.0002382-0.00052521i,-0.00043769-0.00081959i,-0.00035156-0.0010183i
0.00020602+0.00041945i,0.0012068+0.0001415i,0.00067722+0.00077615i,0.00031436+0.0012102i,8.3219e-05+0.00067604i,-0.00019712+0.00012215i,0.00016194-1.0268e-05i,0.00022408+1.1415e-05i,-0.00043805-0.00027898i,-0.00081312-0.00012004i,-0.00037777+0.00027997i,0.00043238-0.0008578i,0.00078262-0.0014664i,3.6344e-05-0.00091774i,-0.00053676+0.00017223i,0.00029659+0.00042554i,0.0009003+0.0001744i,0.0008202-0.00049428i,0.0011677-0.00045692i,0.0012198-8.4787e-05i,0.00095847-0.00025515i,0.00036314-5.9358e-05i,-0.00032447+1.664e-05i
-0.00013886-0.00083988i,-0.00036637-0.00068593i,-0.001435-0.0014185i,-0.0021418-0.0026099i,-0.0022571-0.0018162i,-0.0016189-0.00081368i,-0.0001946-0.00053615i,0.00070547-0.00070594i,0.00016205-0.00070241i,0.00018345-0.00016784i,0.00064906+0.00020197i,-0.00010628-0.00010369i,-0.0013785-0.00030236i,-0.0013301-0.00035171i,-0.00040878+0.0002702i,0.00041829+0.0008891i,0.00038897+0.0006258i,8.4728e-05+0.00041737i,0.00050543+4.5686e-05i,0.00072532-0.00024622i,0.00089477-0.000521i,0.000307-8.1535e-05i,0.00013214+0.00048226i
-0.00098335-0.00057078i,0.00028675-0.0010146i,0.0017618+0.0005155i,0.0023089+0.0013447i,0.0022433+0.0010682i,0.0024005+1.9661e-05i,0.0014244-0.00090355i,-2.0377e-05-0.00073902i,-0.00048178-0.00014449i,-0.00028868+3.1246e-06i,-0.00010617+8.2388e-05i,1.4617e-05+0.00022778i,-0.00027219-0.0002529i,-0.0004483-0.00085725i,-6.5791e-05-0.00063422i,-0.00016613+0.000258i,-0.00035895+0.00041125i,6.002e-05-0.00018873i,0.0003423-0.0010118i,-0.00021947-0.0011789i,-0.00018388-0.00070829i,5.9666e-05-0.00020723i,0.0001128-0.00015653i
0.00042419+0.00021085i,0.00037977+0.0018353i,2.7216e-05+0.0010468i,-0.00012573+0.00063907i,-0.00085352+0.0011097i,-0.00096678+0.00012662i,-0.00036993-0.00074765i,-0.00016714-0.00071514i,-8.606e-05-0.00060069i,-0.00055995+0.00019631i,-0.00022852+0.00068952i,0.00025066+0.00023711i,0.00015214-0.00015946i,0.00043474-0.00035555i,0.00071785+0.00027869i,0.00059023+0.0008295i,0.00046306+0.00024414i,0.00016249-3.1914e-05i,-0.00012965+0.00058816i,0.00011543+0.00081495i,-0.00029279+0.00014301i,-0.00053849-0.00018136i,0.00058619-4.8266e-05i
-0.00078436+0.00010779i,-0.0005896+0.00054726i,0.00018144+0.00062375i,0.00019206-0.00058903i,-0.00014476-0.00081912i,-0.00067822+0.00017319i,0.00021202+0.00091069i,0.0014019+0.00063274i,0.0016674-0.00060521i,0.00077976-0.0011997i,-5.9907e-05-0.00065206i,-0.00033067+4.041e-05i,-0.00093448+0.00038536i,-0.00059149+0.00010889i,0.00054045+0.00035776i,0.00087299+0.00040607i,0.00018401+0.00052802i,-0.00073592+0.00047275i,-0.00084714-6.6535e-05i,-0.00057917+0.00024329i,-0.00019102-0.00021749i,0.00033303-0.00046128i,0.00082901+0.00022424i
-0.0016594-0.00031727i,-0.001301-0.00036669i,-0.0014753+0.00023258i,-0.00065986-0.00034814i,-0.00036367-0.00049612i,2.7116e-05-0.00013169i,0.00027152-0.00023768i,0.0007394-0.0004464i,0.00059378-0.00061019i,1.5788e-06-0.00035867i,2.0842e-05-0.00018982i,-0.00012191-1.495e-05i,-0.00024403-0.00017074i,8.7373e-05-0.00069749i,0.00033111-0.00056628i,0.00070259-0.00097521i,0.0010297-0.00075728i,0.00064459+8.2105e-05i,0.00019193+0.00026032i,-0.00032206-0.0001271i,-0.00018045-0.0004315i,7.901e-05-0.00062249i,0.00027495+0.00024563i
0.00075019+0.00066376i,0.00023346+0.00095414i,-0.00014096+0.00068825i,-0.0010979+0.00040416i,-0.0020395+0.00036188i,-0.0020146+0.00013146i,-0.0013034+0.00033877i,-0.0010287+0.00016284i,-0.001488-0.00024131i,-0.0011992-0.00058791i,-3.6662e-05-0.0002881i,0.00036601+0.00018411i,-0.00037274-0.00056719i,0.00011834-0.0014278i,0.00069126-0.0007057i,-0.00054294+0.00067834i,-0.0012568+0.00078482i,-0.00063292+0.00066118i,-0.00025824-4.2257e-05i,-0.00021051-0.0006162i,7.0724e-05-0.0003454i,0.00012379+0.00026819i,-0.00017948+0.00064325i
0.00043879+0.0011585i,-5.7066e-05+0.00021689i,-0.00050456+0.00019127i,-0.00086767+0.0008852i,-0.00063695+0.0011299i,-0.00033051+0.00033977i,0.00061766-0.00058708i,0.0013675-0.00040078i,0.00018034+0.00027718i,-0.00088829-8.6366e-05i,-0.00080312-0.00025917i,-8.7283e-05+0.00036397i,0.00059719+0.00080755i,-0.00022958+0.00072254i,-0.00083661+0.00072383i,-0.00053531+0.00027703i,-0.00082301+0.00038719i,-0.00052282+0.00087666i,0.00034079+0.00016721i,0.00051263-0.00044997i,0.00072298+0.00016149i,0.00086838+0.00058795i,0.00065369+0.00042961i
0.00060452-0.0012216i,0.00075958-0.0010555i,0.00025884-0.0018444i,-0.00080961-0.002237i,-0.0014957-0.0018159i,-0.001856-0.00057816i,-0.0010431-0.00012954i,-9.1052e-05-0.0010851i,0.00062987-0.0011063i,0.00082743-0.0003922i,0.00038404+0.00020394i,-0.00027655+0.00053107i,-0.00041074+0.00047636i,0.00024557+0.00055488i,0.00026325+0.00060406i,-0.00054679-0.00013518i,-0.0012174-0.00011871i,-0.001302+0.00028019i,-0.00014185+0.00014658i,0.0002329+0.0002121i,6.4596e-05-0.00045427i,5.3344e-05-0.00076677i,-0.00044176-7.92e-05i
-0.00056674-0.0010102i,0.00048935-0.0002645i,0.00060722+0.00097541i,0.00073951+0.00024978i,0.00076728-0.0005344i,0.00032064-0.00040795i,0.00041362-0.00090189i,0.00016979-0.00063162i,-0.00075483+0.0003532i,-0.00078807+0.00086068i,-0.00029815+0.00080636i,0.00024799+0.0004968i,0.00055258-0.00029165i,0.00055687-0.00058597i,-0.00016112-0.00031053i,-0.00053919-0.00014576i,0.00015978+2.1193e-05i,0.00020906+0.00064959i,0.00019605+0.00071604i,0.00039255+0.00020277i,0.00041006-0.00032535i,0.00029923-1.7226e-05i,-0.00027785+0.00063669i
