-0.0020299+0.00058223i,-0.0017275+0.0010562i,-0.0022847+0.0017687i,-0.0024113+0.0020423i,-0.0014882+0.0026808i,0.00081742+0.0021974i,0.0019499+0.0010259i,0.0014062+0.00067893i,0.00087405+0.00066693i,0.0013771+0.00015682i,0.0011606-0.00060255i,0.00057934-0.0011324i,-0.00019485-0.0010018i,-0.00086201-0.00074528i,-0.00099224+0.0001153i,-0.0012832+0.00047787i,-0.0017683-5.0304e-05i,-0.0011009-0.00029216i,2.0292e-05-0.00029383i,0.00029979+3.0264e-05i,0.00069397+6.7339e-05i,0.00070603-0.00031099i,-0.00041148-0.00030714i
0.0009617-0.00089303i,0.00044453-0.0021532i,-0.00027773-0.0026693i,-0.00062552-0.0019751i,0.00033736-0.0012776i,0.00079095-0.00065987i,0.00039832+1.04e-05i,3.2634e-05-0.00026411i,0.00032843-0.00057563i,7.516e-05-9.3656e-05i,-0.00020905+0.0005295i,-0.00022254+0.00036407i,-0.00030334+0.00058398i,-9.1106e-05+0.00085342i,0.00041682+0.00045834i,0.000262-0.00057587i,-0.00016724-0.00024719i,-0.00030586+0.00031141i,0.00012441+0.00040003i,0.0003112+0.00017948i,0.00015907+2.8466e-05i,0.00044375+0.00011129i,0.0004442-0.00024344i
0.0013558-8.0083e-05i,0.00081542+0.00041048i,0.00076746+0.0006858i,0.00022676-0.00031644i,-0.00038601-0.00067778i,-0.00067984+6.9356e-05i,-0.0004816+8.3478e-05i,0.00029451-0.00010223i,0.00026204+0.00049846i,-3.6462e-05+0.0005247i,-0.00056768-2.8125e-05i,-8.202e-05+0.00034406i,0.00077099+0.0011124i,0.00085332+0.0016197i,0.001053+0.0013074i,0.00070199+0.00026523i,0.00045467-4.3637e-05i,0.00026728+0.0003248i,-7.7495e-05+0.0002657i,-0.00015965-6.5186e-05i,0.00032136+0.000217i,0.00042627+0.0011543i,0.00023481+0.0013617i
-0.00016798-0.0004271i,-0.00073001-0.0015702i,-0.00034313-0.002158i,-0.00086944-0.0013055i,-0.0018121-0.0007075i,-0.00088716-0.00015965i,0.00090767-0.00031287i,0.0012814-0.00026541i,0.00082582+0.00027484i,0.00020778+0.00043552i,0.00022113+0.00030363i,0.00024923+0.00067025i,-0.00066636+0.00084482i,-0.00041745+0.00034071i,0.00031097+0.00029931i,0.0002632+0.00014135i,0.0004406-0.00028054i,7.5331e-05-6.9873e-05i,-0.0007046+3.3903e-05i,-0.0011378-9.292e-05i,-0.0013017+0.00042783i,-0.00096332+0.00052039i,-0.0010071+0.00022616i
0.00096821+0.0012273i,0.0022621+0.0017563i,0.0033521+0.0020824i,0.0028665+0.0012065i,0.0018131-0.00032242i,0.0016969-0.00084442i,0.0012075-0.00042737i,0.00065012-0.00011818i,0.00048488+0.00038491i,-0.00016425+0.00077774i,0.00029388+0.00084521i,0.00042176+0.00028977i,-0.00065566-0.00048844i,-0.00062136-7.1529e-05i,-0.00084527+0.0012871i,-0.0010986+0.0014795i,-0.0012499+0.00080341i,-0.0010787+0.00043981i,-0.00054858-3.0603e-06i,-0.00047563+9.3342e-05i,-7.9399e-05+0.00010395i,0.00049742-0.00044287i,0.00015789-0.00088617i
0.00085109+0.00066323i,-0.00030993+0.0020424i,-0.001334+0.0018108i,-0.00093679+0.00039246i,0.00077961-0.00085033i,0.0016939-0.00046524i,0.001548-0.00010407i,0.00078237-0.00023088i,-0.00041485+0.00042412i,-0.00077588+0.0007547i,-0.00015632+0.0012374i,0.00011755+0.0015975i,-0.00014833+0.0011385i,-0.00028677+0.00029325i,-0.00028414+0.00024269i,-0.00030367+0.00054809i,-0.00067903+0.00052575i,-0.0012602+0.00011076i,-0.0012517-0.0004969i,-0.00047894-0.0011084i,0.00023775-0.0011073i,0.00048478-0.00053927i,0.00028828-0.00045015i
0.0025596-0.00087072i,0.0012604-0.0015538i,-0.00010828-0.0023387i,-0.0010089-0.0027001i,-0.0018073-0.0021252i,-0.0022798-0.00066513i,-0.00099339+0.00045057i,-0.00041759+0.000424i,-0.00048159-0.00011783i,-0.00039644+0.00011944i,6.5644e-05+0.0010255i,0.00058009+0.00097984i,0.0002774+0.00053522i,-0.00052488+0.00068381i,-0.0011465+0.00089137i,-0.0012758+0.00070878i,-0.00092332+0.00059991i,-0.00033595+0.00013327i,-0.00017189+5.25e-05i,-0.0005153+9.7319e-06i,-0.00082434-0.0005694i,-0.00043601-0.0010149i,0.00034802-0.00068642i
0.0013252-0.0030325i,0.000407-0.0022757i,-0.0018724-0.0018518i,-0.0029929-0.0014328i,-0.0021544-0.00071544i,-0.00043271-0.00013953i,0.00037461+0.00028581i,0.00059096-1.0366e-05i,0.00041795-8.3241e-05i,-9.4284e-05+0.00028484i,-0.00063542+0.00050214i,-0.00046626+0.00047731i,-0.00034831+0.00046639i,0.00041994-0.0001805i,0.0003785-0.00014877i,-0.00093412+3.6934e-06i,-0.0005894-0.00061369i,6.9591e-05-0.00053193i,-0.00041544+7.0056e-05i,-0.00042972+0.00081431i,-0.00026904+0.0011807i,-0.00042645+0.00083974i,-0.00053949+0.00036613i
0.0010458-0.00094668i,0.00069298-0.0010817i,-0.00052026-0.00084482i,-0.0010394+0.00011513i,0.00084601+0.0001023i,0.0023247-0.00067763i,0.0013183-0.001056i,0.00017755-0.0011492i,0.00056689-0.00078961i,0.00094854-0.00046365i,0.00065348-0.00058562i,0.00070142+9.1674e-06i,0.00045336+0.00071207i,1.1576e-05+0.0005522i,4.494e-08-0.00017571i,9.4407e-05+0.00011749i,0.00010595-0.00013597i,9.0179e-05-0.00047039i,0.000504+0.00039442i,6.4434e-05+0.00047882i,-0.00095696-0.00072572i,-0.00077767-0.0011186i,-0.00057357-0.00090631i
0.0013929-0.0020528i,0.0010878-0.0011799i,-0.00084437-0.00089739i,-0.0020981-0.0016166i,-0.0010549-0.0016104i,0.00074777-0.00072688i,0.0013153-0.00027673i,0.00082447-0.00029947i,5.646e-05-0.00014282i,-0.00031916+0.00029261i,-0.00038632+0.00051706i,-4.5618e-05+0.00036933i,0.00029725+3.9041e-05i,0.0003186-0.00023619i,0.00064939+0.0005465i,0.00043131+0.00070894i,-7.0553e-05-2.4611e-05i,-0.00037426+0.00014642i,-0.00086078+0.00042826i,-0.00066342+0.00020694i,-0.00039835-0.00030871i,-0.00021395-0.00065267i,-0.00026793-0.00018752i
0.00070192+0.00092483i,0.00054912+0.00078859i,0.00049349+0.00063302i,0.00095172+0.00061783i,0.00047965+0.001311i,-9.7097e-05+0.00073962i,-0.00011243-0.00031402i,-0.00015665+0.00035995i,0.00012883+0.00064313i,0.00076981+0.00079544i,0.00050434+0.00060212i,-0.00025543-0.00044522i,-0.00094361-0.00085295i,-0.0009935-0.0003585i,-0.00027468-0.00029608i,0.00034597-0.00030686i,0.00019682-9.7967e-05i,-0.00010451-0.00031915i,0.00038153-0.00037201i,0.00034747+7.3392e-05i,0.0001594+0.00029771i,0.00056751-0.00011359i,0.0010207-0.00065847i
-0.00027803-0.0011101i,-0.0012769-0.0011982i,-0.0019598-0.0016358i,-0.0016472-0.00094386i,-0.00058429+0.00036029i,-9.6842e-05+0.00072705i,-2.8707e-05+0.00018575i,0.00021051-0.00018252i,0.00037354-0.00036371i,0.00047589-0.00029633i,0.00030788+7.9133e-06i,0.00051339+0.00014445i,0.00098331+0.00016434i,0.0009638-0.00023626i,0.00041334-0.00052452i,4.584e-05-0.00048289i,-0.0005895-0.0007967i,-0.00070379-0.001136i,-0.00018351-0.00054362i,-6.3597e-05+0.00017456i,8.4991e-05-0.00017797i,4.7203e-05-0.00064987i,0.00019305-0.00098368i
0.00077791+0.00055224i,0.0007196-0.0009488i,0.0012213-0.0017402i,0.00031777-0.00054611i,0.00042345+0.00032656i,0.0010506+0.0004758i,0.0010988+0.0001074i,0.00085277-0.00023716i,0.00064699-0.00010008i,0.0002219+0.00033474i,-0.00031476+0.0004361i,-0.00068648+0.00025801i,-0.00063981+5.8252e-05i,-0.00039182-1.5858e-05i,-0.00023568+0.00014489i,-0.00060663+0.00022748i,-0.00086356+0.0003271i,-0.00076189+0.00078512i,-0.00063904+0.0010641i,-0.00012393+0.0006998i,0.00035013-0.00012414i,0.00035073-0.00033293i,-0.00013408+6.4621e-06i
7.8844e-05+0.0010577i,-0.00085532+0.00089019i,-0.0011064+0.0010229i,-0.00015474+0.00043409i,0.00090965-0.00048095i,0.00074132-0.00088993i,0.0004142-0.00050288i,0.00032379+0.0004745i,-4.1942e-05+0.00025625i,3.2664e-05-0.0003032i,0.000542-0.00033852i,0.0011421-9.2013e-06i,0.00051387+8.4658e-05i,-0.00039866+0.0007124i,-0.0003326+0.00070645i,2.453e-05+2.7598e-05i,1.4526e-05+0.00016875i,-0.00015093+0.00090059i,-0.00061888+0.0015358i,-0.0011258+0.00056293i,-0.0011941-8.4353e-05i,-0.00029297+0.00022326i,0.00030018-6.589e-05i
0.00093491-0.00052042i,-0.00047402-0.0016534i,0.00018008-0.0028546i,0.0013465-0.0024478i,0.0006127-0.00078622i,0.00055216+0.00013512i,0.0010301-0.00042549i,0.00063973-0.0008218i,4.4761e-05+0.00039874i,-0.00036477+0.001435i,-0.00051352+0.0006292i,-0.00061393-4.9165e-05i,-0.00043742-0.00043161i,-0.00040201-0.00046516i,-0.0007786+0.00017773i,-0.00027204+0.00029198i,-0.000231+0.00021755i,-0.00083471+0.00037612i,-0.00046896+0.0002061i,0.00035631+7.0485e-05i,0.00023983-2.0587e-06i,-7.2076e-06-7.5869e-05i,-0.00010312-0.00045773i
-0.00083503+0.0015912i,-0.00042112+0.0014712i,-0.00099048+0.0009723i,-0.00022636+0.0013401i,0.00097018+0.0011633i,0.0012012-0.0003074i,0.00078807-0.001123i,0.00070781-0.00063788i,0.0010653+0.00024337i,0.00059479+2.5643e-05i,0.00040549-0.00021668i,0.00069199-0.00047072i,0.00038131-0.00077253i,0.00054778-0.000565i,0.000145-8.8013e-05i,-0.00030944+0.00044236i,-1.2478e-05+0.00024697i,-0.00012063-0.00032873i,-0.00043747-0.00072004i,0.00021919-0.00069872i,0.00015848-6.1654e-05i,-6.6561e-05+0.00047199i,0.00027436+0.00011949i
0.0012637+0.00014146i,0.0011131-3.0584e-05i,0.0013527-0.00060036i,0.00097064-0.0012038i,0.00057305-0.00098978i,0.0010932-0.00019696i,0.00083455+9.3909e-05i,1.955e-05-0.00053842i,-0.00026003-0.00054257i,-8.668e-05+0.00017038i,0.00026191+0.00042745i,0.00016896+0.00048698i,-0.00053578+0.00093597i,0.00021151+0.0012806i,0.0012934+0.00095138i,0.0015887+7.2826e-05i,0.00074744-0.00011675i,-0.00042938+4.6635e-05i,-0.00076398+0.00045607i,-0.00048903+0.0010647i,-0.00014283+0.00097695i,-0.00011697+0.00037606i,0.00015229-6.7357e-05i
-0.00065101-0.0016724i,-0.00089067-0.0016171i,-0.0019749+3.0513e-06i,-0.001829+0.00049716i,-0.00040931+0.00022172i,0.0009603-9.8956e-05i,0.0014704+1.0471e-05i,0.00075264-0.00041924i,-0.00058116-0.00058506i,-0.0010541+0.00054484i,-0.00063594+0.00078151i,-0.00016938+0.00024052i,7.7574e-05-0.0006032i,-3.2056e-06-0.00092599i,-1.3218e-05-0.00082267i,0.00031064-0.00060121i,0.00018034-0.00067068i,-0.000237-0.00061296i,0.00020695+0.00024302i,5.9956e-05+0.00075347i,-0.00076417+0.00083417i,-0.00076559+0.0011925i,-2.0243e-05+0.0013317i
-0.0012599+0.0016416i,0.00037786+0.0013375i,0.0015641+0.0011i,0.001167+0.0018533i,0.00086293+0.0018365i,0.0015469+0.00078187i,0.001099-0.00044112i,0.00088121-0.00030073i,0.00044296+0.0011957i,-0.00056985+0.0010532i,-0.00043588+0.00013839i,9.0977e-05+0.00029262i,0.00018044+0.00061375i,-0.00029473+0.00054617i,-0.00067318+0.00041346i,-0.00042679+0.00027477i,-0.00046329-0.00021417i,-0.00034951-0.00021473i,-0.00025754-0.00024727i,6.6569e-05-0.00050957i,0.00041428-0.00015155i,8.6536e-06+0.00026235i,-5.4571e-05+0.00018735i
-0.0011088+0.00040463i,-0.0016016+0.0012933i,-0.0014661+0.0013446i,-0.00039617+0.00046964i,0.00028236+0.00027243i,0.00077257+0.0002986i,0.00020014+0.00028903i,-0.00060789+0.0004622i,-0.00015751+0.00078352i,0.00027866+0.00046154i,7.7183e-05-0.00019429i,0.0001143-0.00010991i,-6.1354e-05+0.00029364i,0.00018656-9.0662e-05i,0.00073356-0.00027604i,0.00094961-0.00011753i,0.0011926+0.00010358i,0.00094068+0.00042764i,0.00027936+0.00028976i,-0.00060924+0.00047029i,-0.00088344+0.00073287i,-0.00027102+0.00073711i,0.00044844+0.00047126i
0.00027764+0.001048i,-7.0251e-06+0.0002108i,-0.00092541+0.00011324i,-0.00061926+0.00061394i,0.00016483+0.00016397i,0.00086214-0.00015078i,0.00086001+0.00031054i,0.0010292-0.0004097i,0.0013479-0.00064549i,0.00054241+6.4045e-05i,0.00023182+0.00051118i,0.00020951+0.0006606i,-0.00040008+4.6706e-05i,-0.00076814-0.00030556i,-0.00074828-0.0002096i,-0.00055437-0.00011977i,-0.00054716+0.00021093i,-4.102e-05-0.00015685i,0.00057693-0.00035705i,9.7118e-05-6.6879e-05i,-0.00048729-7.7114e-05i,-0.00074632-8.0152e-05i,-0.00050373-0.00045156i
-0.0010598+0.001253i,0.00023712+0.0012241i,0.00087521+0.0016173i,0.00038956+0.00084308i,-3.0004e-05+0.00040993i,-3.4203e-06+0.00063197i,-5.4434e-06+0.00031167i,-0.0002482+0.00016487i,-0.00064322+0.00060623i,-0.00022916+0.00019589i,0.0010032-0.00055156i,0.00076899-0.00049274i,-0.00065299-0.00018171i,-0.00047069+0.00017095i,0.00058207+0.00018598i,0.00025167-0.00038171i,-7.9169e-05-0.00063087i,0.0001978-8.955e-05i,0.00044114-1.1018e-05i,0.0001257+8.9405e-05i,-0.00010201+0.00061295i,-2.2983e-05+0.00071501i,-9.9618e-05+0.0011864i
0.00059631-0.0013692i,0.00013549-0.0018567i,-0.00060831-0.00076105i,-0.0010366-0.00047928i,7.5011e-05-0.00068488i,0.00064922-0.00013888i,0.00029732+8.2914e-05i,-0.00012236+0.00021779i,0.00028645+0.00061825i,0.00035004+0.0011389i,-0.00040465+0.001238i,-0.0008123+0.00084568i,-0.00019228+0.00072251i,-3.7033e-05+0.0010366i,-0.00052904+0.00083473i,-0.00039239-3.4082e-05i,5.3376e-06+0.00025809i,0.00012322+0.0010665i,0.00035636+0.00052658i,0.00014127-0.00045803i,-0.00030174-0.00071444i,-0.00027038-0.00039644i,0.00012987+0.00014041i
0.00095601-0.00042786i,0.00055878-0.001345i,-0.00029478-0.0016634i,-0.00090215-0.0013013i,-0.00093879-0.0010543i,-0.00086823-0.00071921i,-0.00043207-6.6218e-05i,-6.43e-05+0.00025176i,-0.00063562-0.00013932i,-0.00057449-4.434e-05i,-0.00070713+0.00029067i,-0.00053776-0.00046069i,0.00016203+2.0259e-05i,0.00057177+0.0012282i,0.00034987+0.00081662i,0.00033013-0.000194i,0.00023467-0.00033373i,-0.00017709-0.00016414i,-5.4523e-05+0.00061302i,-0.00036546+0.0009032i,-0.00059573+0.00096087i,-0.0004642+0.00098987i,-0.00019727+0.00013937i
-0.00038947-0.00093725i,-0.001465+0.00022395i,-0.0029428+0.0010983i,-0.0024854+0.00189i,-0.0012583+0.0013699i,1.9786e-05+0.00039152i,0.00072499-0.00081598i,0.00079702-0.001172i,0.00056504-0.00065827i,-8.6937e-05+6.8728e-06i,0.00043735+0.00094137i,0.00093202+0.0014723i,0.00026772+0.0012682i,-0.00041201+0.00039181i,1.7565e-06-0.00075648i,0.0011577-0.00050886i,0.00058975+0.00053853i,-0.00046037+0.00075745i,-0.00076044-5.5357e-05i,-0.00048986-0.00040155i,-0.00015332+0.00029145i,-7.5884e-05+0.00046958i,0.00042767-9.1168e-05i
0.0016003+0.0002907i,0.0022232-0.00055416i,0.0022385-0.0013646i,0.001908-0.0013002i,0.00090164-0.0014696i,5.4145e-05-0.0021545i,-0.00021994-0.00076809i,-0.00033628+0.00010785i,-0.00016326+0.00035091i,0.00022396+0.00085318i,0.00062412+0.00041509i,0.00091115+3.9531e-06i,-0.00014541+0.00028853i,-0.00070701+0.00021359i,-0.00018816+0.00023593i,-0.00013173+0.000627i,0.00044917+0.00073894i,0.00060313+0.00013564i,0.0003339+0.0003529i,-0.0001105+0.00094751i,-0.00040694+0.0003781i,-0.00051456-0.00029774i,-3.4592e-05-0.000747i
-0.0025644+0.0016223i,-0.0018432+0.002005i,-0.00043953+0.0021627i,0.0011832+0.0018743i,0.0016358+0.0015018i,0.0011827+0.00010961i,0.0011622-8.8428e-05i,0.0008065+0.00035161i,0.00034976+0.00082156i,0.00014714+0.0010248i,0.00030194+0.00054573i,-0.00013038-6.8062e-05i,-0.00089644-0.00085767i,-0.0012031-0.00051199i,-0.00026854+0.00017307i,0.00041712-0.00039268i,0.0001212-0.00048717i,-9.2126e-05-0.0010465i,0.00011393-0.0010146i,-0.00016614-0.00050272i,-0.00036114-0.00047374i,-0.00047128-0.00019929i,-0.00083998+0.00024416i
0.0010558+0.0013277i,0.001341+0.0012229i,0.0018496-8.1044e-05i,0.0014652-0.0019023i,0.0010204-0.0021676i,0.00054783-0.0017042i,0.00022622-0.0018494i,0.00042831-0.0014795i,0.00042041-0.00019558i,0.0002405+0.00081433i,9.1107e-07+0.0007005i,-0.0002556+0.00020809i,-0.00025136+7.0503e-05i,-0.00028064+0.00092675i,-0.00080298+0.0016259i,-0.00079819+0.00087242i,-0.00042988+0.00055755i,-0.0003623-0.00041932i,-0.00033567-0.0020485i,0.00050919-0.001857i,0.00085865-0.00080961i,0.00061772-0.00012258i,0.00013142+0.00025189i
-0.00083169-0.00072136i,-0.001246-0.00058002i,-0.0010525-0.0013124i,-0.00078364-0.0012449i,-0.00033699-0.00087698i,-0.0001587-0.00089846i,-1.0603e-05-0.00083572i,0.00054178-0.00030634i,0.00046491+0.00057869i,-0.00013604+0.00088455i,-0.00053619+1.8834e-06i,-0.00052115+0.00016983i,-0.00025052+0.0010691i,-0.00010287+0.0011289i,-0.00011557+0.00053274i,-0.00014102+0.00028437i,-3.5783e-05+0.00063049i,0.00019597+0.0011854i,0.00037104+0.0004061i,-0.00014975-0.00031252i,-0.00038373+0.00035824i,-0.00032662+0.00038078i,-0.00047787-0.00026769i
-0.00089442+0.00054051i,-0.00034938+0.00030163i,-3.7995e-05+0.00070469i,0.00052117+0.0011882i,0.0011771+0.00075594i,0.00097534-0.00013982i,0.00092073-0.00039412i,0.00042417-0.00014517i,-0.00047774+0.00059321i,-0.00052935+0.00085021i,-0.00052695+0.00077598i,-0.00047682+0.00039898i,-0.00071673-8.0467e-05i,-0.00052599-0.00042047i,0.00033261-0.00071827i,-2.6057e-05-0.00036647i,-0.00076707+0.00014953i,-0.0006054+0.00020408i,-0.00016665-9.4331e-05i,-0.00031448-0.00088604i,-8.5117e-05-0.00071342i,0.00077974+0.00062739i,0.00086542+0.00094035i
-0.001947+0.00031989i,-0.00082066+0.0010529i,-0.001129+0.0011319i,-0.00067955+0.00057979i,0.00031361+0.00048604i,0.0012954-0.00040602i,0.001603-0.0013238i,0.00074005-0.00075369i,0.00036803+0.00026317i,7.9679e-05+0.00073606i,9.8668e-05+0.00046408i,0.00070658+0.00042336i,0.001066-0.00063225i,0.00090538-0.0014211i,0.00045264-0.00057783i,-0.00022307+6.3893e-05i,-0.00050371+9.0251e-05i,0.00038075+0.00024576i,0.00050913+0.00054645i,0.00026673+0.00039855i,0.00032141+0.00013766i,0.00021289-0.00043932i,-8.5773e-05-0.00029802i
2.5995e-06-0.0015535i,0.00026088-0.0016473i,-0.00069159-0.0021395i,-0.0012436-0.00049773i,-0.00018846+0.00094132i,0.00098866+0.00055072i,0.00072337-9.4888e-05i,-0.00023004+0.00020371i,-0.00064239+0.00064935i,-5.2573e-05+0.00046786i,0.00043829+0.00051399i,0.00019252+0.00064122i,3.3681e-05+0.00053013i,-0.00028843+0.00032987i,-0.00075636-0.00022845i,-0.00091438-0.00027738i,-0.0011605+0.0006298i,-0.0011414+0.00058429i,-0.0010295-4.9263e-05i,7.1817e-05-0.00083612i,0.0010223-0.00096219i,0.00091864-0.00044026i,0.00069077-5.5367e-05i
