6.8443e-05-0.001173i,-0.00057295-0.0013426i,-0.00065225-0.0016615i,-0.0020042-0.001377i,-0.0047148-0.0010147i,-0.005844+0.00047569i,-0.0045328+0.0019005i,-0.001875+0.0027113i,-0.00025697+0.0031044i,0.0001739+0.0025175i,0.00033822+0.00071474i,0.00043557-1.7367e-05i,0.00023014-0.00012674i,-0.0004758-0.00022555i,-0.00056683+0.00031113i,-0.00057305+0.00048021i,-0.0012166+2.6993e-06i,-0.00094618-0.00076579i,-7.9812e-05-0.00070536i,-0.00020558-0.00028042i,-0.00015163-0.0003492i,0.00080178+0.00026728i,0.00078146+0.0010912i
7.9826e-05+0.0015258i,-0.00021646+0.0016033i,-0.00071869+0.0021633i,-4.2687e-05+0.0021009i,-0.00055647+0.00043021i,-0.0020949-9.3221e-05i,-0.002139+0.00089294i,-0.0018545+0.0012348i,-0.0015479+0.00084177i,-0.00058632+0.00088527i,2.8678e-05+0.0013504i,6.0756e-05+0.00078673i,-4.2229e-05+4.6297e-05i,0.00021904+6.2023e-05i,0.00023188+0.0005267i,-0.00030227+0.00067522i,8.507e-05-0.00010932i,0.0003037-0.0002724i,-0.00036325+0.00041146i,-0.00055621+0.00029679i,5.4052e-05-4.1949e-05i,0.00079748+5.6204e-05i,0.0012726+0.00056809i
6.2345e-05+0.00050323i,0.00079287-0.00090474i,0.0011414-0.00099883i,0.0006643-0.00054067i,-0.0010711-0.00019185i,-0.0024256+0.00089798i,-0.0022642+0.0018257i,-0.0014029+0.0016791i,-0.00093838+0.0015095i,-0.0011635+0.001084i,-0.00090049+0.00037969i,0.00023277-2.1819e-05i,0.00082306-0.00016476i,-0.00010678-0.00031298i,-0.00068087-0.00035126i,-8.953e-05-0.0004136i,0.00056244-0.00051576i,0.00014667-0.00059012i,-0.00058753-0.00068136i,-0.00046256-0.0006009i,-0.00017703-4.1201e-05i,-0.00018533+3.7384e-05i,-0.00038455-0.00031458i
0.0012363+0.0013731i,0.00060332+0.0006986i,0.0010791+0.00040995i,-6.1531e-05-0.00011174i,-0.0009293-0.00093317i,-0.001343-0.00053413i,-0.0014411+0.00065022i,-0.0005292+0.0017337i,-0.00017165+0.0019551i,-0.00020035+0.0016177i,-0.00064194+0.00064844i,-0.00057615-0.0004918i,0.00026041+0.000347i,0.00035322+0.00068558i,0.00011797+9.4265e-05i,0.00017687+0.00051466i,-2.0928e-05+0.00054894i,-0.00080887-0.0006198i,-0.00031103-0.00044339i,0.0008249-0.0005236i,0.00082085-0.00096169i,0.00027675-0.00076337i,0.00025272-0.00090832i
-0.0018571-0.00093649i,-0.0028642-0.0013702i,-0.002585-0.00037378i,-0.0020264+0.00098457i,-0.0023463+0.001606i,-0.0018782+0.0017303i,-0.00084401+0.0021475i,-0.00050505+0.0017759i,-0.00046005+0.0012248i,-0.00024337+0.00079693i,7.7843e-05+0.00035384i,0.00053264+0.00033622i,0.00081211+3.6731e-05i,0.00083395-0.00032271i,3.1132e-05+0.00031139i,-0.00062874+0.00064493i,-0.00035213+0.00026339i,-0.00042533-0.00066223i,-0.00018937-0.00072231i,0.00036048+4.5583e-05i,-7.5856e-05+0.0004643i,-0.00043783+0.00023088i,0.00045695-0.00024653i
0.0018405-0.0011776i,0.0015869-0.0013434i,0.0014773-0.0010345i,0.0006614-0.0012474i,-0.001995-0.0019429i,-0.0037208-0.0015403i,-0.0025429+0.0003872i,-0.0015156+0.0019939i,-0.00074273+0.001732i,-0.00025714+0.00089589i,-0.00050003+0.00055834i,-0.00086897+0.00053489i,-0.0006339+0.0002453i,-0.00030419-3.2264e-05i,-3.361e-05+0.00013918i,0.00011271+0.00032591i,-0.00013714+0.00036514i,0.00019401-4.9595e-05i,0.00044994-0.00021464i,-0.00043867+7.6088e-05i,-0.000403+0.00036455i,-6.4097e-05+0.00059202i,-3.4798e-05+0.00035185i
2.6051e-05+0.00013972i,0.0017746-0.00036347i,0.0019107-0.00082916i,0.00057672-0.0004702i,-0.0011908+0.00037927i,-0.0012734+0.0013917i,-0.0010335+0.0015227i,-0.00092748+0.0016563i,-0.00062888+0.0019123i,-1.3198e-05+0.0022399i,0.00029198+0.0014636i,5.3398e-05+0.0002448i,0.00041422+2.3771e-05i,4.4009e-05-0.00083121i,-0.00083522-0.0012984i,-0.00074609-0.00075964i,-0.00088983+0.00020273i,-0.00096446-0.00018324i,-0.00073123-0.0003691i,-0.0014987+0.00011723i,-0.00098004+5.0404e-05i,-1.0012e-05+0.00047034i,-0.00025627+0.00064305i
0.0010036-0.00014369i,-0.00012638+0.00049174i,-0.0011934+0.0017474i,-0.0022312+0.0019915i,-0.0021899+0.0011436i,-0.0015223+0.00084864i,-0.0012117+0.0018435i,-8.5532e-05+0.0016047i,0.00071913+0.00045363i,0.0012292+0.00042073i,0.0016902+0.00017713i,0.0011908-0.00046678i,0.00062919-0.00025301i,0.00041665-0.00075932i,2.305e-05-0.001529i,6.8422e-05-0.00060511i,-0.00016838+5.0428e-05i,-0.0010162-0.00018766i,-0.0010563-0.00044316i,-0.00085916-0.00028151i,-0.00034926+0.00031949i,0.00012846+0.00020128i,-0.00038183+4.3672e-05i
-0.0018887+0.0010974i,-0.00081438+0.00076876i,-0.0003347+0.00073377i,4.5116e-05+0.00049707i,-0.00095777+0.00090313i,-0.0020986+0.0015509i,-0.0015315+0.0027772i,-0.00097902+0.0030737i,-0.001235+0.0025462i,-0.00097684+0.0021177i,-0.00019209+0.00070105i,0.00024994-0.00088626i,0.00053829-0.00092065i,-0.00017529+9.0616e-06i,-0.0010712-9.7853e-05i,-0.00075133-0.0005882i,-0.00082381-0.00017813i,-0.0010048-0.00045635i,-0.00075797-0.00043652i,-0.00010029+0.00012398i,-5.8122e-05-0.00033696i,-0.00019453-4.1551e-05i,3.6073e-06+0.00094105i
0.0014767-0.00093491i,0.00092735-0.00047253i,-0.00018102+0.00020199i,-0.0018697+0.0012594i,-0.0032069+0.0015903i,-0.003408+0.0016384i,-0.0027036+0.0017942i,-0.0012998+0.0017375i,-6.6118e-05+0.0014387i,3.077e-05+0.0013793i,-0.00017504+0.00095372i,-0.00052971+0.00031383i,-0.00047274+8.3426e-05i,-0.00046924+0.00014376i,-0.00067055-0.0002763i,-0.00047551-0.00071412i,-0.00030708-0.00045754i,-0.0001796+0.00033854i,-0.00016766+0.00049057i,0.00044803+0.0010503i,2.3067e-05+0.0012554i,-0.00018056+6.969e-05i,0.00018707-0.00026012i
-0.0017867+0.00089803i,-0.0012641+0.0003376i,-0.00046477-0.00048601i,0.00027288+0.00019852i,-0.00038936+0.00099088i,-0.00089339+0.0012171i,-0.0010966+0.0017966i,-0.00080061+0.0024809i,-0.00087762+0.0021017i,-0.0010549+0.0014144i,-0.00046889+0.0014526i,-0.00050926+9.4772e-05i,-0.00068758-0.0010119i,-0.00017545-0.00090813i,0.00029762-0.00088236i,-0.00062963-0.00066713i,-0.00090056-0.00050322i,-0.0006486-0.0004234i,-0.0010903-0.00055601i,-0.0011511-0.00074841i,-0.0010509-0.00054463i,-0.00068239+3.8843e-05i,-0.00063289+0.00049789i
0.0015111-0.00022002i,0.0012949-0.00043012i,0.0011179-0.00035696i,7.4514e-05-0.00018668i,-0.0025814-0.00026484i,-0.0046909+0.00061469i,-0.0040525+0.0017123i,-0.0016721+0.0014484i,3.9853e-05+0.00083641i,0.0007025+0.00088947i,0.00024998+0.0012987i,-0.00089213+0.0011301i,-0.00079481+0.00032312i,-0.00079803-0.00069145i,-0.00073886-0.00043942i,-0.00072924-0.00011447i,-0.0014225-0.0006165i,-0.0014056-0.00036307i,-0.00075934-0.00020197i,-0.00018487-0.00025512i,8.0167e-05-0.00010116i,-0.00021782-6.5513e-06i,-0.00041526+0.00022068i
-0.0011732-0.0014258i,-0.00069533-0.00073308i,-0.0016078-0.00024291i,-0.001829-0.00062945i,-0.0019417+7.0134e-05i,-0.0026027+0.001653i,-0.0018498+0.001627i,-0.0011327+0.00082578i,-0.00078307+0.00035249i,-0.00042294+0.00076674i,-0.00037678+0.0010731i,-0.0004873+0.00027596i,-0.00017803-0.00026832i,-5.9585e-05-0.00098357i,-0.00030792-0.0015149i,-0.00037975-0.0011124i,-0.00040946-0.001089i,-0.00038883-0.0013265i,-0.00046843-0.0007369i,-0.00034298+2.1925e-05i,1.1225e-05+0.0003762i,0.00050645+0.0011798i,0.00048+0.0012285i
-0.00028824-0.0020945i,-0.00039527+0.00018885i,-0.00095498+0.00088653i,-0.0024746-2.5992e-05i,-0.0037906+5.5509e-05i,-0.0032899+0.00065866i,-0.0017835+0.0013368i,-0.0009833+0.0013215i,-0.00086282+0.001228i,-0.0013131+0.0013116i,-0.0014528+0.00025131i,-0.00066107-0.00017302i,-0.00013963+0.00021624i,7.993e-05+8.4021e-05i,0.0004189+0.00010419i,0.00086654-0.00010426i,0.0005224+0.00050119i,-0.00022446+0.00016304i,5.0032e-05-0.0010556i,0.0001209-0.0011242i,-6.5115e-05-0.00063683i,-0.00062528+0.00015044i,-0.00056048+0.00054071i
0.0015826+0.00063372i,-9.6848e-05+0.00021218i,-0.00023554+3.1257e-05i,-0.00094958+0.00075811i,-0.0027771+0.00033907i,-0.0039685-8.156e-05i,-0.0035391+0.0011491i,-0.0018269+0.0029376i,-0.00089172+0.0027835i,-0.00025965+0.0011306i,4.6687e-05+0.00021389i,-0.00065561+0.0004921i,-0.0012854+0.0003254i,-0.00090393+0.00051135i,-0.00031391+0.00094557i,0.00047606+0.00041646i,-2.0793e-06-0.00018541i,-0.00061461-0.00053483i,-1.487e-05+0.00025547i,-0.00032143+0.00084298i,-0.0010002+0.00082882i,-0.00074178+0.00038459i,-0.00047148-4.7166e-05i
-4.4675e-05-0.0015467i,-0.00060515-0.0014142i,-0.00074987-0.0022881i,-0.0013679-0.0021165i,-0.0032587-0.0014178i,-0.0039965-7.5463e-05i,-0.0023586+0.0010284i,-0.00065606+0.0011433i,-0.00039087+0.00079817i,-0.00044434+0.0004457i,-0.00039527+0.00048784i,-0.00042095+0.00027731i,-0.00063322+0.00021031i,-0.00027525+0.0007123i,-0.00025464+0.00052123i,3.8884e-05-0.00044279i,0.00015299-0.00069222i,-0.00048332-0.00074449i,-0.00054506-0.00092344i,3.55e-05+7.6427e-05i,-1.6293e-05+0.0011057i,-8.3026e-05+0.0007939i,0.00029098-0.00018716i
0.00046118-0.00015932i,-0.00088938+0.00040685i,-0.0015638-0.00018876i,-0.0014986-0.00066493i,-0.0015206-0.00043457i,-0.002799+0.00086227i,-0.0024165+0.0018549i,-0.00044486+0.0013795i,0.00083667+0.00065302i,0.0006051+0.00046955i,0.00026587-0.00042097i,0.00024453-0.00058073i,8.7581e-05+0.00037486i,0.00053009+0.00015829i,0.00095858-0.00091997i,0.0001746-0.00092378i,-0.00063439-0.00041912i,-0.00057964-0.00067231i,0.00022202-0.00041402i,0.00067244+0.00013783i,0.00010337+0.00021677i,-2.7799e-05-0.00024514i,0.00018309-0.00063854i
