6.6541e-05+3.996e-05i,-0.00037521-0.0012116i,-0.0016988-0.0017802i,-0.0019756-0.00084996i,-0.0014551-0.00026861i,-0.0010365+0.00054858i,-0.00081289+0.0011288i,0.00013385+0.0014234i,0.00068635+0.0014276i,0.00061934+0.00042911i,0.00039548-0.000401i,0.00034837-0.00056324i,-0.0003941-0.00044166i,-0.0011407-0.0007477i,-0.00076608-0.00049747i,-0.00024042-0.0001818i,7.5875e-05+8.0982e-05i,-3.077e-05+0.00038847i,0.00038084+0.00020741i,0.00067362-0.00011411i,0.00015315-0.000799i,0.00035037-0.00072345i,0.00049893-0.00046775i
-0.0011286+0.0026693i,-0.0007681+0.0016792i,0.000194+0.0014092i,0.00025547+0.0013271i,-0.0002768-0.00012853i,0.00022378-0.001404i,-0.0005612-0.00090336i,-0.0011419-0.00050915i,0.00012151-5.0147e-05i,0.00094198+0.00051521i,0.00089189+0.00023233i,0.00070862-0.00050659i,0.00018758-0.00028464i,-0.00029961+5.8218e-05i,-0.00019979+0.00038112i,0.00051535+0.00098515i,0.00050517+0.00096284i,0.00032742+0.00060861i,0.00093464-0.00052674i,0.00047674-0.00068815i,-8.625e-05+0.00052076i,-0.00040577+0.00099882i,-0.00037611+0.00064674i
0.00081035-0.00087356i,-1.8441e-05-0.00088943i,-0.00024055-0.00056537i,-0.00014485+0.000467i,-0.00056022+0.0009033i,-0.00037693+0.00071586i,-9.34e-05-0.00024189i,0.00048301-0.00094289i,0.000855-0.00035071i,0.0004776-0.000547i,5.7612e-05-0.00072348i,0.00034909-0.00045561i,-0.00020773-0.00037884i,-0.00051983+5.478e-05i,-0.00041307+0.00012026i,-0.00019754+7.5684e-05i,0.00020142+0.00032087i,-0.00071535+0.00060013i,-0.0017264+0.00036145i,-0.0015415-0.00022112i,-0.00039015-0.00051241i,8.4774e-05-0.00026798i,-0.00067905-0.0007591i
-0.0029389+0.0005415i,-0.0018901+0.00070219i,-0.00040636+0.0010585i,0.00056882+0.0010495i,0.0014293+0.00097587i,0.0014007+9.1049e-06i,0.00017041-0.00047769i,-0.00041477-0.00029816i,-7.354e-06-0.00052787i,0.00021999-0.00028179i,-0.00015862+3.0647e-05i,-0.00036927-0.0008053i,-0.00012024-0.0015547i,0.00051022-0.00088497i,8.5951e-05-0.00056091i,-0.00019014-0.00087027i,0.00015017-0.00030586i,-4.5189e-05+0.00076431i,-5.5575e-05+0.0013336i,0.00029252+0.001424i,-0.00014817+0.00036625i,-0.0010769-0.000459i,-0.00071548-0.00025122i
0.00069853-0.0017142i,0.00057871-0.0024119i,0.00028652-0.0023046i,-0.00075492-0.0023572i,-0.001278-0.0023373i,-0.00064637-0.00056789i,-0.00074821+0.0002472i,-0.00029365+0.00020525i,0.0010181-6.067e-05i,0.0014398-0.00052101i,0.0010769-0.00089207i,0.00038152-0.00091681i,-0.00041286-0.00015812i,-0.00020186+0.00024107i,2.4471e-05+0.00042876i,-0.00057192-0.00013607i,-0.00014392-0.00084484i,0.00050515-0.00048615i,0.00029194-0.00054996i,-2.7113e-05-0.00022052i,-6.4459e-05+0.00028801i,0.00013907-7.1197e-05i,0.00056478-0.0003763i
0.0014523-0.00048297i,0.0013584-2.3691e-05i,0.00036426-0.00084577i,-0.00092303-0.0013028i,-0.0013793-0.00023238i,-0.00079207+0.00063383i,-0.00030624+0.00046213i,2.4186e-05-0.0002848i,0.00060441-0.00113i,0.00054005-0.0013169i,-0.00016836-0.00044067i,-0.00065208+4.8683e-05i,-0.00066337-0.00034703i,-0.00068433-8.8256e-05i,-0.00063263+0.00044837i,-0.00023177+0.00025518i,0.00046202+0.00023899i,0.00019381-1.5492e-05i,-0.0003132-0.00012838i,0.00016557+0.00048333i,0.00010035+0.00097839i,-0.00019845+0.00013116i,0.0004503-0.00044094i
-0.0005252-0.0022163i,-0.000288-0.0024739i,-0.00097832-0.0025615i,-0.0020857-0.0014685i,-0.0013117-0.00080115i,-0.00071222-0.00034571i,-0.0013986-0.00061463i,-0.001156-0.0013104i,-0.00010447-0.001292i,0.00048341-0.0012135i,-0.00012498-0.0009881i,-0.0007032-4.591e-05i,-0.00057706+0.00040957i,-0.00028118-0.00026136i,3.4565e-05-0.0012159i,-0.00019674-0.0011588i,-0.00081139-0.00073447i,-0.00048421-0.00070382i,-0.00028848-0.000658i,-0.00048487-0.00086543i,7.1363e-06-0.00034065i,-0.00023979-4.4087e-07i,-0.00057797-8.8751e-05i
-0.0008405-0.00066999i,-0.00040549+8.9352e-05i,-0.00062775+2.1092e-05i,-0.0018533-0.00064943i,-0.00099957-0.00033157i,0.00049274-0.00014667i,0.00072857-0.00025472i,0.00090635-0.00023895i,0.00091459-0.00053i,0.0010043-0.00031785i,0.00060591-0.00013072i,-0.00011131-0.00026537i,0.00022294-0.00048695i,-0.00050298-0.00082883i,-0.0013133-0.0011613i,-0.00099491-0.000741i,0.00022669-2.7004e-05i,0.0007611-0.00041135i,0.00032798-0.00052129i,0.00035012-0.00037894i,0.00041621-0.0011691i,-0.00017026-0.00069761i,-0.00051636+0.00032129i
0.0016278-4.834e-05i,0.00071907-0.00057663i,-0.00018383-0.00046944i,8.9436e-06-0.0010185i,0.00016845-0.0019301i,8.1415e-05-0.0015972i,-0.00048523-0.00087371i,-7.9494e-05-0.00032789i,0.00059494-0.00045464i,0.0006391-0.00052881i,0.00036788+0.00032611i,1.4222e-05+0.00048201i,-9.0079e-05+0.00023515i,-7.972e-05-2.9702e-05i,-5.3926e-05-0.00063381i,0.0001565-0.00058871i,0.00032335-0.00015833i,0.00062037+8.0086e-05i,0.00090176-2.7707e-05i,0.00061013+6.1623e-05i,-8.4456e-05+2.7117e-05i,-0.00048651-0.0005502i,-0.00075932-0.00032646i
5.3984e-05+0.00035047i,-0.00021724-0.00030263i,-0.0010392-0.0011768i,-0.00051288-0.00031812i,0.00012886+0.0016334i,-3.9496e-06+0.0016195i,-0.00068605-0.00012051i,-0.0002989-0.00069188i,0.0001939-0.00014244i,0.00026346+4.7983e-05i,0.00081855+0.00021436i,0.00026069+0.00011938i,0.00023153-0.00071851i,-0.00024471-0.00031026i,-0.0010511+0.00017885i,-0.0012522-0.00014482i,-0.0006612+0.00026193i,-0.00043168+0.00048621i,-0.00050336-4.469e-05i,0.00014188-0.00019506i,0.00059628-0.00069405i,0.00043008-0.00081306i,0.00025075+0.00014501i
0.00023209+3.8972e-05i,-0.0016076-0.00021538i,-0.0023436-0.0005717i,-0.0019839-0.00011692i,-0.0010208+0.00029611i,-0.00063745-0.00080268i,-0.00041368-0.0014781i,-1.0105e-06-0.0011968i,0.00059003-0.0011818i,0.00076098-0.0009493i,-1.3959e-05-0.0005522i,-0.00036635-0.00026092i,0.00036588+0.00012016i,0.0011094+6.2319e-05i,0.00015733-0.00037775i,-0.00076239-0.0011296i,-0.00049633-0.00071632i,0.00011305-4.4605e-05i,0.0002503+0.00018708i,-0.00075342+4.3236e-05i,-0.0014273+0.0002819i,-0.0012558+0.00055898i,-5.5766e-05+0.00069658i
0.0018783-3.3139e-05i,0.00091464-0.00086101i,0.00053251-0.0011904i,0.00023292-0.0010331i,-0.00013626-0.00059628i,6.7761e-05-0.0012978i,-0.00034986-0.0011825i,-0.00051863-0.0002185i,0.00038053-0.00023968i,0.0010111-0.00052578i,0.00043671-0.00051024i,3.3929e-05-0.00061787i,0.00068106-0.00044391i,0.00020969-0.00047747i,-0.00030791-0.00011401i,-0.00039759+0.00037766i,-0.00026839-0.00023111i,0.00037337-0.00051051i,0.00025608-3.0019e-05i,-0.00023299+0.00033721i,3.9944e-05+0.00050048i,-6.5292e-05-3.8138e-06i,-0.00054014-0.00043443i
-0.00059256-0.00057842i,-0.00047931+0.00019691i,-0.00066696-0.00012825i,-0.00053759+3.7213e-05i,-0.00051579+0.00035334i,-0.0006902-0.00033589i,-0.0004857-0.00072776i,-0.00044116-0.00053369i,-0.00045356-0.00030309i,0.00010222-0.00034991i,0.00020437-3.9774e-05i,-0.00030264+0.00043486i,-0.00056783-0.00015879i,-0.00017796-0.00074197i,0.00025894-0.00027947i,0.00020289-0.00011821i,0.00013309-0.00031595i,6.5013e-05-0.00010872i,-0.00028462-0.00024793i,-1.1614e-05+0.00011578i,-3.7367e-05+0.0011783i,-0.00013634+0.0012847i,0.00018856+0.00066175i
0.00013725+0.00061501i,0.00090916+0.00026144i,-0.00030065+0.00027988i,-0.00033459+9.4532e-05i,0.0010107-0.00012754i,0.00071051-0.00073205i,-0.00015843-0.0013479i,-0.00028404-0.0012743i,-0.00016665-7.4791e-05i,-0.00020515+0.00090916i,-0.00016589+0.00058957i,-9.7994e-05+0.00019461i,0.0003464-0.00052311i,-7.7953e-05-0.00075054i,-0.00061744-0.00064141i,-0.00010876-0.0010306i,0.00039914-0.00094015i,0.00036682-0.00017309i,0.00030144+0.0004562i,-0.0001257+0.00097848i,-0.0014848+0.00012704i,-0.0012212-0.00037385i,0.00063113+0.000704i
-0.00043841-0.00057731i,-0.001425-0.00030783i,-0.0020683+0.00027031i,-0.0016326+0.00050976i,-0.00071652+0.00010662i,8.9169e-06-8.8377e-05i,0.00026761+0.00036082i,0.00037729+1.4025e-05i,0.00061002-0.00079963i,0.00036772-0.00086338i,0.00045165-0.00064383i,0.00028485-0.00091728i,5.1877e-05-0.0011053i,-1.3494e-05-0.00073808i,0.00010033-7.7055e-05i,0.00053171+0.00023907i,0.0010265+3.8761e-05i,0.00067212+0.00040725i,-0.00011098+0.00089459i,4.0763e-05+0.00021712i,0.000237+8.4976e-06i,-7.3646e-05-0.00024912i,-0.0010276-0.00047819i
0.00087426+0.00033334i,0.00093942+0.00067809i,0.0013766+0.00093769i,0.0012987+0.00055985i,0.00066444+0.00015084i,-0.00059337-0.00039887i,-0.00070875-0.0014648i,-0.00095724-0.0012216i,-0.0010044-0.00076206i,-1.4481e-05-0.00076359i,9.1952e-05-0.00057993i,-0.0004004-0.00025655i,-0.0013527+0.0001769i,-0.0014987+4.9808e-06i,-0.00077117-0.00094675i,0.00020319-0.0014685i,0.0002725-0.0001699i,-0.00040339+0.00047065i,-0.00070247-0.00022372i,-0.00042769-0.00040988i,0.00026609-0.00046569i,0.00035752-0.00040197i,0.00049737-0.00034446i
0.00033252+9.3976e-05i,-0.00021445-0.0011494i,-0.00059106-0.001619i,-0.00070015-0.0015976i,-0.00069243-0.001028i,-0.0006667-0.00040497i,-0.0012029-0.00062146i,-0.0007874-0.0006014i,0.00017876-0.00012507i,-0.00011257+0.00035365i,0.00019888-1.495e-05i,0.0011264-0.00029862i,0.0006334+5.5732e-05i,-0.00015857+0.00015025i,-0.00036216+0.00036126i,-0.00029128-0.00022817i,-0.00044261-0.00079787i,-0.00075816-0.00038827i,-0.000581+0.00029622i,-0.00086079+0.00071296i,-0.00079138+0.00058589i,0.00030583+0.00014142i,0.0007923+1.1543e-06i
