-0.00068778+0.00036722i,-0.00065564+0.00063596i,-0.0012813-7.4086e-05i,-0.0015594-0.00065991i,-0.0017341-0.00068802i,-0.0015033+0.0010716i,-0.0010138+0.0025077i,-0.00027499+0.0019745i,0.00048095+0.00079343i,0.00020333+0.00032571i,-0.0002202+0.00071278i,0.00020978+0.00072855i,0.00074232-0.00028197i,-0.00026756-0.0011889i,-0.00043233-0.0015683i,0.00030733-0.001385i,-1.3696e-05-0.00088609i,-8.1699e-05-0.00034509i,0.00085052+7.408e-05i,0.0007496-0.00027242i,6.4226e-05+0.00030827i,-2.839e-05+0.00058469i,9.88e-05+0.00049162i
0.00037948-0.00072739i,-3.9824e-05-0.0012945i,-0.00022591-0.002729i,-0.00034326-0.001346i,-0.0012571+0.0010548i,-0.0012324+0.0017903i,8.9811e-05+0.0014814i,0.00041726+0.0012078i,-0.00012246+0.00052352i,-0.00057982-0.00013402i,-0.0011237-0.00036997i,-0.00057687-3.9499e-05i,0.00021312+0.00046109i,-0.0003573-7.656e-05i,0.00027557-0.00022914i,0.0013249+0.00026974i,0.00097523+0.0007415i,0.00074658+0.00093641i,-9.644e-07+0.00056288i,-0.00029398+0.00017475i,0.00012655-7.6432e-05i,0.0007797+0.00019219i,0.00012603-0.00034893i
-0.001542-0.00060143i,-0.0012265+3.1955e-05i,-0.001084+0.00042551i,-0.00060267+0.0015701i,-0.00081381+0.0028339i,-0.00069806+0.0022367i,0.00023201+0.0016956i,0.0005361+0.0020122i,0.00020565+0.0014204i,0.00032137+0.0010143i,-0.00054208+0.00039489i,-0.00087459-6.8673e-05i,-0.00057908+0.00012669i,-0.00038267+0.00061347i,0.00012742+0.00080083i,0.00055118+8.6962e-05i,0.0011059-0.00020843i,0.00093079-0.00066504i,0.00032646-0.00039582i,-0.00027979+0.0003603i,-0.000175-0.00014605i,0.00031075-8.9722e-05i,-5.585e-05+0.00035298i
-0.001023+0.0011093i,-0.0021573+0.00043296i,-0.0020203+0.00062873i,-0.0020722+0.0014972i,-0.0015594+0.0017495i,-0.00085497+0.0022774i,-0.0010876+0.0023306i,-0.00087328+0.0015134i,-0.00030321+0.00020227i,-0.00030362+1.9373e-05i,-0.00039871+0.00044224i,-0.00034814+0.00050474i,1.5031e-05+0.00037993i,0.00055692+0.00012306i,0.00061327+0.00045399i,1.451e-05+0.0005342i,-0.00019641+0.00019487i,-2.4685e-05+0.00024373i,-0.00034763+0.00021336i,-0.00044684+0.00038025i,0.00026784+0.00090186i,0.00031025+0.00037988i,0.00029106-0.00063876i
0.0012522-0.00014913i,0.0014128-0.00046418i,0.0022246+4.755e-05i,0.002284+0.00075743i,0.0022368+0.0011073i,0.0014253+0.00091267i,0.00018126+0.00044558i,-3.3892e-05+0.00033115i,0.00097262+0.00026585i,0.00072009-0.00031423i,0.00047568-0.00023521i,0.00023997+0.0003469i,0.00023827+0.00067831i,0.00071948+0.00093112i,0.0005911+0.00057443i,0.0012772-6.5117e-05i,0.0018317+0.00062273i,0.00018498+0.0013089i,-0.0010473+0.00065969i,-0.00080636+0.00012389i,-9.3968e-05-0.00078365i,0.00067701-0.00068119i,0.00071261+0.00018095i
0.0005438+0.00023987i,-0.00047188+0.00073603i,-0.00050137-0.00023303i,-0.00034931+0.0002855i,-0.0007829+0.0012571i,-0.00019867+0.0014133i,0.0006962+0.0013392i,0.00058981+0.00029026i,2.8063e-05-0.00055676i,-0.0001503-9.3539e-05i,1.984e-05+0.00016739i,-0.00021753-8.4993e-05i,-0.00058124-0.00011347i,-0.00040688-0.0002314i,-3.9878e-05-0.00075037i,-0.0002662-0.00023336i,0.00043984+0.0012747i,0.0005442+0.001355i,0.0004317+0.00028409i,0.00086096-0.0005244i,0.00086584-0.00050829i,0.00086783+0.00010372i,0.00070019-0.0001068i
0.000236+0.00077151i,-0.00028803-0.0002895i,-0.00082509-0.00066833i,-0.0010234+0.00045988i,-0.0013705+0.0017289i,-0.0021309+0.0020876i,-0.0016052+0.0022108i,-0.0010213+0.0013042i,-0.0010563+0.00091103i,-0.00076997+0.00095918i,-0.00021177+0.00031483i,-0.00023814+3.9019e-05i,0.00013805+0.00026806i,0.00031438+0.00060148i,0.00023497+0.00025244i,0.00045576-0.00039028i,0.00059088-0.00028132i,0.0008545+0.00054988i,0.00089542+0.00019626i,0.00036887-0.00082929i,-0.00024019-0.00058565i,-0.00011938-0.00028623i,0.00027837-8.5668e-05i
0.00071859+0.00020216i,0.00043999+0.00045867i,0.0001699+0.00010373i,0.00018644+0.00066208i,-0.00025542+0.0010393i,-0.00049809+0.0010421i,-0.00031024+0.00099119i,-0.00022451+0.00013145i,-5.9012e-05-0.0005898i,-0.00021334-0.00039161i,-0.0012721-0.00049668i,-0.0010977-0.00055152i,-0.00010963+5.7524e-05i,0.00033663+0.00028491i,0.00044328+0.00033478i,0.0006387-2.9779e-05i,0.00059732+0.0004217i,-0.0001012+0.00073794i,0.00017504+0.0006118i,0.00086582+0.00068416i,0.0004219+0.0005839i,-0.00065918+0.0004453i,-0.00045147+0.00024i
-0.0014457-0.00055047i,-0.0024986+0.00023316i,-0.0025972+0.0016213i,-0.0020295+0.0017398i,-0.0016284+0.00076604i,-0.0014337+0.00072794i,-0.00039432+0.0016249i,0.0011758+0.0019995i,0.0013429+0.0013611i,-1.2052e-05-5.1709e-05i,-0.00052755-0.00057326i,-0.00018244+0.0001064i,0.00022747+0.00024372i,0.00037006+0.00024452i,0.00015292+0.00027736i,-0.00082873+0.00039535i,-0.0011057+0.00055057i,7.6633e-05+0.00066674i,0.0008735+0.00055569i,-0.0001084+9.6736e-05i,-0.00049202-9.7725e-05i,5.5967e-05-0.00045728i,0.00014969+0.00021036i
0.00029931-0.00054326i,-0.00095893-0.00094352i,-0.0016911-0.00099812i,-0.0010563+0.00046987i,-0.00081581+0.0020931i,-4.1555e-05+0.0026713i,0.00058289+0.0014616i,0.00047545+0.0004805i,-0.00011424+0.00029366i,-0.001289+0.00012779i,-0.0018765+0.00022069i,-0.0014106+0.00046603i,-0.0014817+0.00025558i,-0.001283-0.00023896i,-0.00055573-0.00054607i,6.8669e-05+8.8054e-05i,-0.00011787+0.00070448i,-0.00075358+0.00025386i,-0.001418+0.00048011i,-0.0010883+0.0007366i,0.00026477+0.00056814i,0.00079004+0.00078231i,0.0001619+0.00014191i
0.0011975-0.0015057i,0.00060174-0.0011755i,-9.1073e-05-0.001742i,-0.00065875-0.0010155i,-0.0016975+0.00023239i,-0.0019052+0.00064816i,-0.0011692+0.0010375i,-0.0006122+0.0010164i,-0.00060129+0.001i,-0.00051747+0.00075476i,-0.00076678+0.00035984i,-0.00059353+0.00034872i,-0.00027742+0.00044496i,0.00034954+7.6364e-05i,0.00043397-0.0004445i,0.00033694-0.00043412i,0.00062084+0.00030117i,0.00029029+0.0009543i,-0.00028062+0.00077636i,-0.00029369+6.4052e-05i,3.7118e-05-3.9781e-05i,2.8161e-05-4.5503e-05i,-0.00062227-0.00044325i
-0.001732-0.00088335i,-0.0014772-0.00028381i,-0.0011737+0.00059152i,-0.0012188+0.001357i,-0.0018904+0.0021029i,-0.0011449+0.0025267i,6.9866e-05+0.0014245i,-0.00014673+0.00025633i,-0.0012439+5.9788e-05i,-0.0013977+0.00019924i,-0.00054519+7.2994e-05i,0.00021319-2.4225e-05i,0.00030033-8.2003e-05i,-1.758e-07-0.00026806i,-0.00028749-0.00039627i,-0.00044893-0.0005251i,-0.00042992+9.1543e-05i,-0.00070561+0.00072188i,-0.00055375+0.00011054i,-6.6915e-05-0.00056833i,-0.00027316-0.00051364i,-0.00093216-0.00034604i,-0.0011603-0.00028209i
0.00034009+0.00092034i,0.00040561+0.0017761i,0.00023974+0.0021514i,0.0008776+0.0013834i,0.0015791+0.0010776i,0.00095603+0.00045226i,-0.00010399+0.00051584i,-0.00059835+0.0018347i,-0.00055064+0.0018781i,-0.00080666+0.00076735i,-0.00070007-8.6951e-05i,-0.00069734-0.00018903i,-0.00038505-0.00053743i,0.00023266+4.1099e-05i,0.0004587+0.00055936i,0.00060101-3.3323e-05i,0.00053537-6.4311e-05i,0.00091258+0.00055408i,0.00058782+2.7457e-05i,-0.00026677-0.00091783i,-3.7568e-05-0.00094402i,0.00049633-0.00064427i,0.00040787+0.00034198i
3.3725e-05+0.0013368i,0.00076493+0.0018337i,6.7261e-05+0.002264i,0.00025481+0.0016897i,0.00062082+0.0010212i,-0.00012619+0.00090873i,-0.00063929+0.00078657i,-0.00047447+0.0012612i,-0.0001737+0.0014057i,7.4825e-05+0.00042752i,0.0003331-0.00023217i,0.00019482+2.7708e-05i,-0.00033374+4.7385e-05i,-0.0009221+9.9134e-05i,-0.00078189+0.0004245i,-0.00019363+0.00028576i,0.00021672-0.0001418i,0.0007401-0.00019973i,0.00036268+2.0506e-05i,0.00059767-0.00019443i,0.00091561-0.00010111i,6.9694e-05+0.00024922i,-7.9121e-05+0.00015398i
0.0018835-0.00035784i,0.0016744-0.0014554i,0.0015666-0.0022817i,0.00059091-0.0021289i,-0.00016845-0.00069178i,-0.00085593+0.00065154i,-0.0011682+0.0011593i,-0.00067434+0.00088749i,0.00021877+0.00088856i,-0.00014142+0.00055636i,-0.0005712+8.0007e-05i,-3.1785e-05+0.00056043i,-0.00019451+0.00073882i,-0.00014286+5.9403e-05i,-4.8023e-05-9.7635e-05i,0.00015563-2.2201e-05i,0.00040879-9.7613e-05i,3.8184e-05+6.401e-05i,6.567e-05+0.00048975i,-6.9576e-05+0.00039633i,0.00040215-5.3346e-05i,0.00074674+0.00032839i,8.1235e-05+0.00058209i
-0.0001015+0.00042901i,0.00018961+0.0012006i,0.00044003+0.00036189i,0.00075461-0.00022685i,0.00036207+0.0011542i,0.00039253+0.002203i,0.00071523+0.001916i,0.00051341+0.0012261i,2.2774e-05+0.00092891i,-0.00040776+0.0004956i,-0.00042228-0.0003759i,0.00033093-0.00058021i,0.00069305-0.000301i,0.00079631-0.00041266i,0.00081939-5.0425e-05i,0.00021561+0.00011509i,-0.00018271-0.00014496i,-3.6203e-05+0.00020263i,0.00021522+0.00012962i,0.00017529-0.00063845i,0.00019973-0.00080782i,0.00059652+0.00013373i,0.0011435+0.00033081i
0.00056213-1.28e-05i,0.00078586+0.00040733i,0.0013231+0.00048819i,0.0012186-6.693e-06i,5.1722e-06+0.00029645i,-0.0012837+0.0011812i,-0.00087508+0.0010875i,-0.00029314+0.0016291i,-9.162e-05+0.0016968i,-0.00041277+0.00062553i,7.4353e-05-0.00019344i,0.00028745-4.2297e-05i,-0.00028509+3.5189e-05i,-0.0002685-9.8108e-05i,-0.00046107-0.00078872i,-0.00043574-0.0010149i,7.0027e-06-1.6223e-05i,-0.00033211+0.00063593i,-0.0010112+0.00046932i,-0.00027318-6.4266e-05i,0.00045793-0.00010205i,6.6832e-05+0.00043181i,-0.0002755+0.00047312i
-0.00055832+0.0012352i,-0.00076051+0.00098937i,-8.3304e-05+0.00057979i,0.0003829+0.0010139i,0.00023429+0.0018556i,-9.4429e-05+0.0015903i,-0.00052419+0.0011595i,-0.0012287+0.00098482i,-0.0012827-9.2775e-05i,-0.00073514-0.00048444i,-0.0004211+0.00020569i,-0.0002574+0.00073511i,-0.00026034+0.00038143i,-0.00043367-0.0001037i,-0.0010299+0.00034583i,-0.00087479+0.00036858i,0.00037293+0.00021222i,0.0016983+0.00075575i,0.0016699+0.00089126i,0.00078955+0.00031985i,-0.00022995-0.00016991i,-0.00027574-0.000517i,0.00084818-0.00021922i
0.0010538+0.00080543i,6.1969e-05+0.0001466i,-8.6318e-05-0.00082336i,0.00022703-0.001279i,0.00035724-0.00028551i,-3.2805e-05+0.00069638i,-0.00028364+0.0011334i,-0.00013457+0.001197i,-0.00018167+0.0012865i,-0.0001799+0.00045928i,-0.00069037-8.7442e-06i,-0.0015622+0.00026994i,-0.0010741+0.00019138i,-0.00055597-5.5288e-05i,-0.0008375+0.00029844i,-0.00081453+0.0011782i,-3.4361e-07+0.0014595i,0.00062132+0.00060037i,7.2142e-05-0.00066894i,0.0003859-0.00072473i,0.0012249-0.00036055i,0.0004378-0.00021971i,4.552e-05-0.00056536i
0.00077239+0.00082249i,0.0014578+0.00027927i,0.00059163+0.00062333i,0.00080603+0.00089588i,0.0017086+0.0014412i,0.00093283+0.0018704i,-0.00041671+0.0015542i,-0.00038734+0.00087432i,0.00017613+0.00049962i,0.00043314+0.00037577i,0.00031867+0.00036766i,-0.00050942+0.00064212i,-0.00080761+0.0011576i,-0.00048808+0.00093469i,-0.00046081+8.3373e-05i,-0.00090162-0.00032624i,-0.00060892+0.00014501i,-4.0508e-05+0.00073772i,-0.00067488+0.001315i,-0.00070544+0.00070809i,-0.00026203-0.00077923i,3.8946e-05-0.001258i,-0.0001834+8.7948e-05i
0.00090481-0.00017759i,0.0012707-0.00022415i,0.0010569-0.00034477i,0.0001089-0.00046853i,-0.00031528+0.00029251i,-0.00086321+0.001576i,-0.00099349+0.0012561i,0.00013156+0.00033115i,0.00060718-0.00016891i,-0.00024433-0.00023299i,-0.00067393+0.00036253i,-0.0002155+0.00040767i,1.6813e-05-0.00088083i,-6.9685e-05-0.00066537i,-2.1878e-05+0.00033267i,0.00034884-0.0002168i,0.00037046-0.00089995i,2.8809e-05-0.00038734i,-0.0003477+0.00036796i,-0.00027261+0.00019472i,0.00026031-0.00015133i,-0.00027093+0.00034256i,-0.0003413+0.00025072i
-0.0015534-0.00018129i,-0.0011254+0.00026588i,-0.0012507+0.0020624i,-0.00086109+0.0027538i,0.00016937+0.0025298i,0.00054321+0.0026906i,0.00027205+0.0026389i,0.00045517+0.0018867i,-6.0438e-05+0.0011622i,-0.001006-3.2725e-05i,-0.00071615-0.00088749i,-0.00029759-0.00066775i,9.5206e-05-0.00077508i,0.00021471-0.00029241i,0.00016177+0.0001057i,0.00019017+3.6198e-05i,0.00013893-9.0288e-06i,0.00033318+0.00017084i,0.00034355-9.3734e-06i,0.00023618-0.00068302i,0.00048744-0.00059103i,0.00069575+0.00025104i,0.00074781+0.00039175i
0.00022809+0.0008476i,0.00044129+0.00088431i,0.0001325+0.0012131i,-4.1311e-05+0.00254i,0.00011962+0.0033932i,9.9542e-06+0.0028408i,-4.2342e-05+0.0021905i,-0.00019882+0.0013639i,-0.0004036+0.0012832i,-0.00090869+0.00090669i,-0.00090957+3.5488e-06i,0.0003544+0.00019853i,0.00074827+0.00047067i,-0.0002544+0.00019683i,-0.00092497-0.00018457i,-0.00087932-2.7907e-05i,-0.00085253-0.00011461i,-0.0002435-0.0006157i,0.00031581-0.00028447i,0.00019906-0.00028133i,0.0001532-0.00032645i,-8.723e-05-0.00011432i,-7.084e-05-3.0942e-05i
-0.00090107+0.0011691i,-0.0010849+0.0014589i,-0.00081766+0.0017585i,0.00092247+0.0017434i,0.0014569+0.0012874i,0.0014101+0.00049837i,0.0010782+0.00087813i,-0.00027321+0.0014319i,-0.00092666+0.0011141i,-0.0004151+0.00061004i,4.648e-06+0.00036572i,-0.00013297-0.00033622i,-0.00044543-0.00056853i,-0.00045635-0.00064982i,-0.00028533-0.00028907i,0.00067324+0.00014159i,0.00093014+0.00038615i,0.00048229+0.00021614i,-2.6882e-05+0.00031592i,0.00030492+0.00062161i,0.00065674+0.00045478i,0.00041809+0.00046423i,0.00047966-0.00027188i
-0.00022409+3.416e-05i,-0.00046302-0.00077846i,-0.00053373+3.547e-05i,-0.00023161+0.0018396i,-2.7949e-05+0.0030355i,1.7798e-05+0.0026888i,1.174e-06+0.0013658i,-0.00017613+0.00077427i,0.00015473+0.00019403i,-0.00015804-0.00041741i,-0.00061424-0.0010823i,0.00035074-0.0013125i,-0.00020636-0.00092313i,-0.0012833-0.0006466i,-0.00070597-0.00065985i,0.00028198-0.00070537i,0.00051274-0.0012485i,0.00010219-0.0008377i,7.684e-05+2.8957e-05i,0.00050284-0.0003675i,0.00053907-0.00033882i,0.00070832+0.00021313i,0.0012197+0.00022863i
-0.00082463+0.00047953i,-7.5857e-05+0.00081324i,0.00019761+0.0007408i,-0.00057676+0.0012902i,-0.00054295+0.0022244i,0.0003585+0.0025867i,0.0015186+0.0028261i,0.00046777+0.0023734i,-0.0010167+0.00094102i,-0.00035053+7.0026e-05i,0.00056716-0.00027782i,7.4195e-05-0.000109i,-0.00023253-0.00013297i,-0.00034261-0.00032197i,-0.00031418-0.00048139i,8.4886e-05-0.00025968i,-0.00016737+0.00059721i,-2.6108e-05+0.0009426i,0.00056255+0.00059798i,0.00070377+0.00035061i,0.00048833-0.00028838i,0.00039913-0.00019683i,0.00061495+0.00072859i
-0.0017822-0.00036837i,-0.0015779-0.00032699i,-0.0017481+0.00042331i,-0.0016459+0.0020609i,-0.0013449+0.0036051i,-0.00076269+0.0033103i,-0.0001387+0.0024942i,-0.00028049+0.0014921i,-0.00069799+0.00022i,-0.00087807-0.00057887i,-0.0010058-0.00071729i,-0.00036926-0.00069279i,0.00086429-0.00033992i,0.00075556-4.5215e-05i,0.00020971-5.2754e-05i,0.00082842+0.00043785i,0.00097738+0.00063759i,0.00071463+0.0002391i,0.00044049+0.00053026i,-5.8831e-05+0.0013092i,0.00023685+0.00082856i,0.0006675+0.00016601i,0.00054045+0.00087847i
-0.0002674-0.0018303i,-0.0012893-0.00070849i,-0.0022781-6.7267e-05i,-0.0031488+0.00044138i,-0.0028667+0.0012999i,-0.0013869+0.0025118i,-0.00087257+0.0021516i,-0.00032448+0.00061034i,-7.196e-05-9.3896e-05i,-0.00061522-0.00017998i,-0.0007504-0.00023398i,-0.00033821-0.00052195i,-0.00056421-0.00024026i,-0.00052371-3.0417e-05i,0.00027598-0.0001053i,0.00093708+0.00019913i,0.00055323+0.00048265i,2.2631e-05+1.2609e-05i,-0.00019224-0.00029828i,-0.00033299+0.00010961i,-0.00036944+0.00055446i,-0.00027866+0.00037107i,-6.3796e-05-0.0001084i
0.00012984-0.00072176i,0.00047509-0.00013607i,-7.2687e-05+0.00090841i,-0.00062536+0.0019953i,-6.791e-06+0.0022295i,6.3485e-06+0.0019139i,0.00011083+0.0014407i,0.00042124+0.0010879i,0.00030397+0.00012491i,0.00023686-0.00031901i,6.9844e-05+0.00037317i,0.00042434+0.00074604i,0.00015645+0.00066296i,-0.00015598-0.00048992i,0.00036212-0.0010066i,0.00093707+0.00035241i,0.00016877+0.0011743i,-0.00086325+0.001195i,-0.0012362+0.00071292i,-0.0010521-0.00017348i,-0.00029808-0.00043038i,8.9402e-05-0.00011011i,-0.00018025-8.1747e-05i
-0.00062949+0.0006749i,-7.8289e-06+0.00092162i,0.00083085+0.0014815i,5.4705e-05+0.0013852i,-0.00015631+0.0011606i,0.00020542+0.0011179i,-0.00056477+0.0011805i,-0.00090085+0.00086979i,-0.00043257+0.00010855i,-0.00045195-0.00018835i,-0.00048535-7.4244e-05i,-0.00038055-0.0003282i,-0.00043135-0.00023696i,-0.00077013+0.00057391i,-0.0006176+0.00071533i,6.0984e-05+9.8064e-05i,0.00082121+7.6638e-05i,0.00077872+0.00016831i,0.00027741+0.00040371i,0.00034255+0.00061117i,0.00072479+0.00058258i,0.00043399+0.00082827i,0.00052513+0.00076744i
-0.00073637+3.6045e-05i,0.00017418+0.00081154i,0.00016686+0.0014064i,0.00014776+0.00062817i,0.0013509+0.00085093i,0.0016934+0.0013126i,0.00078571+0.00093975i,-0.00011724+0.0010329i,-0.00072565+0.0013918i,-0.0011224+0.00076213i,-0.0010263-0.00024172i,-0.00077144-0.00074667i,-0.00062579-0.0012678i,-0.00011256-0.00060797i,-0.00037442+0.00038842i,-0.00084624+0.00083823i,-0.00020489+0.00089595i,-8.1743e-05+0.00060148i,0.00024489+0.00019258i,0.00051243+0.00028891i,0.0002804-0.00029002i,-0.00027243-0.00069381i,-0.00088665-0.00054422i
0.00011466+0.00036552i,-0.00063368+0.00072194i,-0.00064014+0.0019989i,-0.00070304+0.0018749i,-0.00070017+0.0018029i,-6.0282e-05+0.0023645i,-0.00049072+0.002484i,-0.00062913+0.0015116i,-0.00048317-7.6725e-05i,-0.00034536-0.00066228i,0.00039863-0.00016866i,0.00079424+0.00047183i,0.00042353+0.0002516i,-0.00019218-0.00042935i,3.7339e-05-0.0001711i,-0.00022756+0.00057119i,-0.00017562+0.00041437i,0.00046884+0.00056468i,0.00028925+0.00090771i,-0.0002438+0.00029922i,8.2551e-05+0.0001951i,0.0007144+0.00060023i,5.9213e-05+4.6906e-05i
