-0.0023193+0.0011328i,-0.0014502-1.4128e-05i,-0.0013349-0.00062885i,-0.0017503-0.0010339i,-0.0019906-9.4185e-05i,-0.0017492+0.00077523i,-0.0009242+0.00098115i,-0.00044636+0.0009588i,0.0004632+0.0011443i,0.0014501+0.0014062i,0.0016813+0.00041884i,0.00071435-0.00024942i,-0.00035478-9.2177e-05i,0.00038593+0.00041124i,0.0011869+0.00053204i,0.00086161+0.00020286i,0.00049167-0.00014408i,0.00047227-0.00026743i,0.00023745+0.00036678i,0.0002522+0.0004888i,0.00064137+0.00011889i,0.00021333+0.00019394i,-0.00034085+0.00013262i
0.00063779+0.00065304i,0.0012912+0.00052584i,0.0013372+0.00065399i,-0.00021311+0.00093923i,-0.00072922-0.00015239i,-6.9602e-05-0.0012785i,-0.00023857-0.0014839i,-0.00035016-0.00083128i,3.6769e-05+5.3152e-05i,0.00024698+0.00045944i,-0.00025356+0.00077751i,-0.00069972+0.00039718i,-0.00076319-0.00014084i,-0.00027807-6.4506e-05i,-0.00029719-0.00022153i,-0.00061942-0.0010231i,-0.00019857-0.0014291i,0.00052854-0.00070196i,0.00074765-8.95e-05i,0.00037277-0.00019127i,-4.505e-05+5.8372e-05i,0.00045191+7.8785e-05i,0.00085393+0.00050438i
-0.0038927-0.0030668i,-0.0051793-0.001786i,-0.0062683-2.8612e-05i,-0.0047231+0.0015648i,-0.0023876+0.0027254i,-0.00063582+0.0027068i,-0.00030917+0.0012798i,-0.0011574-0.00043511i,-0.00085569+3.2222e-05i,0.00033961+0.001965i,0.00063048+0.0023951i,0.00058711+0.0015507i,0.00038664+0.00094076i,4.7659e-05+9.6028e-05i,0.0005288-0.0011408i,0.0011646-0.00055409i,0.0010006-3.1269e-05i,0.00065279+4.5809e-05i,0.00027144+0.00063788i,-1.3532e-05+0.0010337i,0.00056908+0.0014462i,0.0010531+0.0016168i,0.0010789+0.0010394i
0.00098095-0.00087364i,0.0018532-0.00065247i,0.00085569-0.0012043i,-0.00039135-0.0015208i,-0.00021729-0.0011291i,0.00030467-0.00059882i,0.00062097-0.00010327i,0.00031383-0.00012034i,-5.5759e-05-0.00063936i,-0.00021201-0.00064067i,6.5962e-05-0.00078672i,0.00024492-0.00051416i,-0.00027922+0.00072224i,-0.00023584+0.00081094i,-5.5893e-05+0.00046781i,-0.00019435+0.00035252i,0.00043782-0.00024889i,0.00087247-0.00043649i,0.00034284+0.00019219i,-0.00013772+0.00019828i,0.00027111+0.00015155i,-0.00032196+0.00029154i,-0.00030116-1.4307e-05i
-0.0002207-0.0002254i,-0.00055773+0.00013437i,-0.00015371-0.00047665i,-0.00037882-0.00061033i,0.00012172+2.8231e-05i,0.001226-0.00014458i,0.0013077+0.00038168i,0.00030899+0.00041308i,2.5594e-05-0.00089372i,-7.6822e-05-0.00041656i,-0.0001334+8.6697e-05i,-0.00011576+0.00063762i,-3.4652e-05+0.0010562i,0.00017115+0.00063727i,0.00073318+0.0010984i,0.0011124+0.00089774i,0.00058934+8.8925e-06i,-0.00018153-0.00050609i,-0.00081828-0.00047313i,-0.0010102+0.00073572i,-0.00057999+0.0012328i,-0.00064623+0.00029298i,-0.00010805-2.5335e-05i
-0.0016749+0.00041442i,-0.001109+0.0011427i,-0.00042874+0.0015096i,-8.5408e-05+0.001767i,-0.00018943+0.00091368i,-0.00042757-0.00014605i,-0.00059143-0.0002061i,-0.00033583+0.00019697i,-0.00034517+0.00070674i,-0.00029859+0.00092594i,-1.3987e-05+0.00051383i,0.00029754+0.0003246i,0.00031187+0.00012735i,0.00053792+0.00042899i,0.00093926+0.00072018i,0.00043795-0.00052658i,7.437e-05-0.00080488i,7.3489e-05+0.00046189i,0.00027098+0.0010574i,-0.00019357+0.00076921i,-0.00034849+0.00029883i,0.00050818+0.00023205i,0.00069893+0.00051177i
0.00018185-0.0009583i,-7.5925e-05-0.0013042i,-0.0011929-0.00099981i,-0.0014593-0.0010371i,-0.00054595-0.00055467i,0.00014373-0.00032425i,-0.00039061-0.0005736i,-0.00051341+0.00014061i,-0.00055843+0.00037758i,-0.00041869-0.00015827i,-6.0259e-05-0.00014212i,-3.629e-05+0.00022068i,0.0001535+0.00024664i,-0.00012896+0.00058472i,-0.00041982+0.00040886i,-9.5144e-05-8.0622e-05i,0.00051458-0.00056524i,0.0006091-0.0006i,0.00024313-0.00056315i,-0.00022844-0.00076755i,-0.00027452-0.00028296i,0.0003591+9.6198e-05i,0.0010089+0.0005307i
-0.00073413+0.00038541i,-0.00076824-3.3505e-05i,-4.177e-05+0.00031392i,0.00093077+0.00055329i,0.0011139+0.00043529i,0.00025405+0.00037919i,-0.00013324-0.00025664i,5.7336e-05-0.00029093i,8.6421e-05+0.00028184i,0.00018709+0.00084223i,0.00025301+0.00071511i,0.00064074+0.00018126i,0.00068799-0.00048032i,0.00057135-0.00047521i,-0.00033613-0.00013547i,-0.00017342+0.00017682i,0.00024365+0.0005088i,-1.4991e-05+0.0005868i,-0.0006717+0.00023171i,-0.0010991-0.00012532i,-0.00078046-0.0009145i,-0.00084337-0.0013173i,-0.00065807-0.00066857i
0.0026207+0.00031452i,0.0016553+0.0019675i,0.0019178+0.0019205i,0.0015408+0.00026567i,0.00050979-0.00087828i,5.1021e-05-0.00085971i,0.00013614-3.6991e-05i,0.00063252+0.0011967i,0.0002663+0.0013485i,-0.00029075-9.1075e-05i,-0.00042217-0.0010444i,-0.00071261-0.00065944i,-0.001087-0.00025505i,-0.0013543-0.00039868i,-0.00024547-0.00056076i,0.00043529+1.415e-05i,-0.00014606+0.00061346i,0.0004129+0.00026232i,0.00074383-0.00075726i,4.0837e-05-0.0011117i,-4.7554e-06-0.001029i,-0.00019334-0.00088356i,-0.00020368-0.00093441i
0.0020458-0.0012406i,0.0011972-0.0016193i,0.00049237-0.0015401i,2.4347e-05-0.0011948i,0.00012444-0.00081367i,0.00028623-0.00032319i,0.00026134-0.00025216i,0.00052606+0.00031554i,-4.7174e-06+0.00034304i,-0.00038542+0.00056037i,-0.00032384+0.00085705i,-0.0001757+0.00052087i,0.00023929+0.00070578i,0.0007012+0.00084546i,0.00057978+0.00051745i,0.00051917-0.00024358i,0.00032551-0.00027572i,-7.5363e-05-0.00039566i,-0.00045256-0.00096367i,-0.00042909-0.00017115i,-8.7555e-05+0.00074926i,8.5482e-05+0.00036237i,0.0003419-0.00014861i
-0.0014711-0.00064753i,-0.0017225+6.4402e-05i,-0.0014481+0.0010395i,-0.001411+0.0016529i,-0.00076011+0.0014265i,0.00040992+0.00061473i,0.001014+3.2705e-05i,0.00093839-9.1509e-05i,0.00042462-0.00013088i,-4.807e-05+0.00038817i,0.00020142+0.00053572i,0.00045367+0.00052416i,0.00015197+0.00020151i,6.7906e-05+0.00019875i,0.00041869+0.00097432i,0.00080607+0.00049857i,0.00035265+0.00011166i,-0.00011094+0.00010954i,0.00027265+0.00012796i,0.0008236-0.00015551i,-0.0001898-0.0001921i,-0.00098126+0.00029639i,-0.00012183+0.00036852i
