-0.0023193+0.0011328i,-0.0014502-1.4128e-05i,-0.0013349-0.00062885i,-0.0017503-0.0010339i,-0.0019906-9.4185e-05i,-0.0017492+0.00077523i,-0.0009242+0.00098115i,-0.00044636+0.0009588i,0.0004632+0.0011443i,0.0014501+0.0014062i,0.0016813+0.00041884i,0.00071435-0.00024942i,-0.00035478-9.2177e-05i,0.00038593+0.00041124i,0.0011869+0.00053204i,0.00086161+0.00020286i,0.00049167-0.00014408i,0.00047227-0.00026743i,0.00023745+0.00036678i,0.0002522+0.0004888i,0.00064137+0.00011889i,0.00021333+0.00019394i,-0.00034085+0.00013262i
-7.4446e-05-0.00029265i,0.0058342+0.0059435i,0.020793+0.010519i,0.022336-0.012622i,-0.0063187-0.064841i,-0.017114-0.099298i,0.0049897-0.11969i,0.018042-0.13054i,0.0093565-0.097685i,-0.0010769-0.048004i,-0.0079547-0.019825i,-0.009959-0.014699i,0.00070485-0.01901i,0.019632-0.018923i,0.037777-0.021527i,0.050712-0.032976i,0.053718-0.041809i,0.044798-0.038785i,0.026715-0.026681i,0.0083432-0.016554i,-0.0037687-0.014862i,-0.014105-0.013524i,-0.019153-0.0053095i
0.0048867+0.010587i,0.012141+0.023946i,0.020495+0.039529i,0.027619+0.044663i,0.021784+0.044266i,-0.032288+0.048153i,-0.11066+0.056137i,-0.14481+0.051319i,-0.11507+0.032319i,-0.059805+0.010888i,-0.022424-0.0056691i,-0.0093175-0.0043452i,-0.0021528+0.010514i,0.0023633+0.017566i,-0.0018326+0.010763i,-0.019774-0.004068i,-0.049059-0.015244i,-0.066226-0.012548i,-0.053117+0.0025183i,-0.029042+0.017291i,-0.019574+0.024254i,-0.016504+0.031743i,-0.0069814+0.038769i
-0.0022019+0.0042098i,-0.0099943+0.011259i,0.0023907+0.027102i,0.051461+0.037298i,0.097087+0.046313i,0.099538+0.085257i,0.08736+0.14128i,0.086052+0.16299i,0.085438+0.14025i,0.082787+0.097588i,0.071775+0.049309i,0.047005+0.0090953i,0.017867-0.0098624i,-0.0051068-0.0099902i,-0.015352+9.4369e-05i,-0.01045+0.016155i,0.0053319+0.033981i,0.025207+0.041805i,0.036306+0.028328i,0.029656+0.0052054i,0.013242-0.0028458i,0.0034045+0.0014517i,0.002473+0.0001068i
-0.0047461-0.011565i,-0.010265-0.021971i,-0.014478-0.037344i,0.008206-0.037559i,0.053427-0.03312i,0.078286-0.063859i,0.097205-0.11005i,0.12061-0.11851i,0.11381-0.095636i,0.076984-0.063838i,0.039858-0.03693i,0.018533-0.021949i,0.012698-0.014854i,0.01108-0.011864i,0.014114-0.0078985i,0.030877-0.0093299i,0.052038-0.026326i,0.060058-0.04873i,0.043518-0.052217i,0.015939-0.035877i,-0.0014005-0.026476i,-0.013085-0.025919i,-0.023488-0.017637i
-0.0058303-0.0035884i,-0.0049149-0.015369i,-0.00080135-0.024992i,-0.0088526-0.022278i,-0.048448-0.018046i,-0.10542-0.033808i,-0.1537-0.05302i,-0.16261-0.059213i,-0.13709-0.066596i,-0.11311-0.069504i,-0.090595-0.042284i,-0.053574+0.0025888i,-0.016174+0.03167i,0.001328+0.037141i,0.0039497+0.031512i,-0.0011851+0.020505i,-0.019302+0.0043585i,-0.041661-0.0050337i,-0.042752-0.00047994i,-0.021984+0.0086378i,-0.0019394+0.011962i,0.011027+0.0059063i,0.015542-0.0030681i
0.010414+0.00070983i,0.017971+0.0018362i,0.0053765+0.018625i,-0.043663+0.060811i,-0.084987+0.1072i,-0.068295+0.14524i,-0.027926+0.18391i,-0.010991+0.19845i,-0.017698+0.17227i,-0.03317+0.13588i,-0.029306+0.10521i,-0.017594+0.069476i,-0.025595+0.038852i,-0.032064+0.022578i,-0.023212+0.013562i,-0.01008+0.014805i,0.0095875+0.029769i,0.027176+0.04293i,0.023948+0.031565i,0.0086073+0.0072383i,0.0031428-0.0029996i,0.0053435-0.0058634i,-0.0015763-0.014505i
0.0019246+0.011125i,0.00058131+0.031188i,-0.01348+0.063831i,-0.046341+0.093257i,-0.042381+0.096192i,0.052556+0.0574i,0.15452-0.0062932i,0.16504-0.043509i,0.1258-0.012607i,0.10086+0.039606i,0.07518+0.04464i,0.031202+0.011876i,-0.0090451-0.013628i,-0.025112-0.021166i,-0.024639-0.019428i,-0.018397-0.016738i,-0.0055269-0.023097i,0.0030211-0.032221i,-0.0032611-0.027569i,-0.011603-0.015745i,-0.011259-0.012336i,-0.0094542-0.0094623i,-0.0068634+0.0020796i
-0.0049131+0.00024324i,-0.014011+0.0045193i,-0.033035+0.0075236i,-0.047319-0.0084214i,-0.04811-0.050146i,-0.05832-0.099859i,-0.097219-0.14816i,-0.12826-0.1578i,-0.10324-0.13004i,-0.043862-0.11327i,-0.013186-0.095512i,-0.0093301-0.055677i,0.0013012-0.021998i,0.011144-0.0060102i,0.0079819+0.0067022i,-0.0048084+0.021111i,-0.028849+0.039918i,-0.048256+0.055141i,-0.034692+0.051691i,-0.0069944+0.034475i,0.0073579+0.0202i,0.016337+0.015177i,0.029222+0.0083144i
-0.0013811-0.0022745i,-0.0080483-0.013726i,-0.0091086-0.065221i,-0.0030253-0.14694i,-0.019873-0.16761i,-0.092692-0.077245i,-0.14894+0.046806i,-0.1299+0.10458i,-0.090719+0.079977i,-0.070163+0.02497i,-0.048195-0.0096188i,-0.019837-0.018443i,-0.0037326-0.02032i,0.0027992-0.017295i,0.014615-0.0047733i,0.032292+0.0081174i,0.053584+0.023499i,0.070146+0.038012i,0.067437+0.033158i,0.044472+0.013105i,0.014755+0.0060477i,-0.0019866+0.014789i,-0.0031178+0.01603i
-0.0034176-0.0031944i,-0.0090331-0.028484i,0.0017765-0.083953i,0.035727-0.1559i,0.06017-0.17497i,0.072421-0.094539i,0.11183-0.0015241i,0.1415+0.018847i,0.10462+0.017534i,0.052351+0.043703i,0.034581+0.045698i,0.027351+0.0050596i,0.015016-0.029307i,0.0020688-0.03327i,-0.014128-0.025523i,-0.030008-0.027543i,-0.034711-0.047791i,-0.027231-0.07452i,-0.019974-0.07142i,-0.016051-0.035076i,-0.0087664-0.0068113i,-0.0052647+0.0010831i,-0.0051004+0.0084592i
0.0025047-0.010484i,0.013289-0.024154i,0.040143-0.04037i,0.069326-0.035175i,0.088489-0.034139i,0.10142-0.090141i,0.089122-0.14845i,0.037846-0.14626i,-0.0019292-0.10303i,-0.0017746-0.059361i,0.0065303-0.027462i,0.014287-0.00086597i,0.032795+0.012337i,0.035869+0.0045997i,0.0067659-0.0044454i,-0.032714+0.0071714i,-0.065848+0.033457i,-0.081854+0.047532i,-0.065959+0.038676i,-0.028791+0.021203i,-0.0031301+0.0062104i,0.0026141-0.0060144i,-0.0020752-0.012866i
0.0085315-0.0030442i,0.033937+0.015186i,0.07059+0.089152i,0.094787+0.19361i,0.074027+0.21421i,0.012447+0.12578i,-0.064258+0.058928i,-0.087915+0.075556i,-0.04995+0.079851i,-0.030276+0.039292i,-0.031122+0.023244i,-0.01224+0.036001i,0.0080444+0.037583i,0.014778+0.021797i,0.023547-0.0026974i,0.038997-0.021517i,0.054784-0.02452i,0.062906-0.010334i,0.051165+0.0025296i,0.022564-0.00041843i,0.0012653-0.0015574i,-0.0049303+0.0050314i,-0.0083697+0.011963i
0.0029629+0.0091709i,0.011535+0.055528i,0.0075194+0.13732i,0.0048158+0.22998i,0.025047+0.27847i,0.034334+0.25683i,0.021627+0.20561i,0.033277+0.14948i,0.0562+0.093403i,0.045462+0.062258i,0.02256+0.049543i,0.00089751+0.034754i,-0.019913+0.032976i,-0.021926+0.036696i,-0.012192+0.020287i,-0.012842-0.020763i,-0.028509-0.07497i,-0.04586-0.10962i,-0.050544-0.08979i,-0.036334-0.037843i,-0.013325-0.0062544i,0.0009893+0.0010766i,0.0065559+0.00037197i
-0.016374+0.014991i,-0.051437+0.022534i,-0.09256+0.021899i,-0.10466-0.0030569i,-0.053603-0.022954i,0.033019-0.010226i,0.075219-0.023158i,0.040857-0.074485i,-0.0090534-0.09324i,-0.013043-0.07368i,-0.0056159-0.050413i,-0.013373-0.020532i,-0.012024+0.010667i,0.00069879+0.025558i,0.0075353+0.027157i,0.001606+0.030756i,-0.012782+0.049373i,-0.023363+0.068851i,-0.019227+0.056073i,-0.011447+0.017554i,-0.01516-0.0076996i,-0.023401-0.0098244i,-0.02872-0.01024i
-0.003399-0.014762i,-0.025159-0.056484i,-0.080539-0.14574i,-0.15701-0.24547i,-0.18284-0.28218i,-0.12541-0.24613i,-0.043421-0.19896i,-0.019245-0.14255i,-0.045335-0.08058i,-0.064547-0.046218i,-0.060735-0.022348i,-0.040633-0.00050743i,-0.02289+0.001564i,-0.0089911-0.0065139i,0.023127-0.010006i,0.071321-0.012938i,0.11922-0.0107i,0.14538-0.0045326i,0.12041-0.0063962i,0.058469-0.013519i,0.0081887-0.014168i,-0.0089809-0.0047067i,-0.0043454+0.0069533i
0.0057229-0.0076795i,0.0065121-0.030434i,-0.0063839-0.088631i,-0.053824-0.15173i,-0.12164-0.14549i,-0.1443-0.07552i,-0.094174-0.025651i,-0.030882-0.0082136i,-0.00070018+0.030252i,0.017845+0.068999i,0.029144+0.053235i,0.0127+0.0043944i,-0.020742-0.020395i,-0.035674-0.0066815i,-0.025507+0.018233i,-0.0088003+0.019215i,-0.0028204-0.019276i,-0.015273-0.061828i,-0.023343-0.056841i,-0.0035397-0.01622i,0.024512+0.0068926i,0.036182+0.00024881i,0.036786-0.012344i
-0.0099521-0.0097737i,-0.0032415-0.013979i,0.026519-0.0092048i,0.084025+0.042621i,0.11697+0.13079i,0.10874+0.19175i,0.082755+0.19014i,0.044381+0.13591i,0.034047+0.067121i,0.061059+0.012591i,0.070938-0.02745i,0.047606-0.043438i,0.021539-0.033791i,-0.0028608-0.0096235i,-0.027442+0.030239i,-0.038+0.078538i,-0.034846+0.11971i,-0.02613+0.13335i,-0.011338+0.10102i,0.0027849+0.049918i,0.0065146+0.022468i,0.0015646+0.018043i,-0.0076007+0.017168i
0.007699-0.020423i,0.048299-0.02029i,0.13691+0.022239i,0.23694+0.10333i,0.27598+0.14199i,0.24014+0.10609i,0.17266+0.075079i,0.12057+0.059685i,0.071441+0.012993i,0.008942-0.033535i,-0.024168-0.030784i,-0.0068012-0.0078232i,0.015449-0.010735i,0.0075109-0.02878i,-0.010039-0.034769i,-0.011132-0.02275i,0.0095301+0.001017i,0.042635+0.017315i,0.051695+0.0099844i,0.026096-0.004639i,0.0026062-0.0094186i,-0.0031232-0.0084173i,-0.00088451+0.00014984i
0.026038+0.020279i,0.070705+0.068524i,0.11047+0.14535i,0.11457+0.15429i,0.064596+0.038574i,-0.036482-0.086405i,-0.11246-0.11639i,-0.10193-0.073555i,-0.062834-0.017323i,-0.049488+0.032127i,-0.035258+0.055594i,-0.011252+0.041419i,0.0032006+0.016241i,0.0054422-0.0068846i,-0.0063271-0.030611i,-0.037458-0.045031i,-0.083356-0.050933i,-0.11451-0.046143i,-0.095175-0.021416i,-0.04098+0.0029791i,0.0015351+0.0038042i,0.013859-0.011807i,0.0081271-0.028889i
-0.031075+0.035018i,-0.09449+0.086544i,-0.19192+0.10661i,-0.26714+0.050747i,-0.29033-0.025218i,-0.29464-0.042437i,-0.28581-0.005829i,-0.22891+0.02436i,-0.13165+0.034969i,-0.03674+0.027779i,0.011772+0.0049857i,0.0095826-0.00094865i,0.0062148+0.011464i,0.020291+0.0087048i,0.022113-0.0050114i,0.0072675-0.0013226i,-0.006139+0.022192i,-0.012419+0.045242i,-0.016497+0.046074i,-0.02556+0.029576i,-0.034612+0.028364i,-0.029373+0.043935i,-0.017623+0.047526i
-0.046966-0.031448i,-0.12639-0.10631i,-0.23615-0.18178i,-0.3048-0.1778i,-0.25294-0.087385i,-0.09093+0.012674i,0.056678+0.044399i,0.10563+0.011223i,0.079338-0.031824i,0.03053-0.05279i,-0.0078623-0.04307i,-0.018791-0.016293i,-0.011738-0.0025024i,0.00069907-0.0074179i,0.014284-0.026098i,0.024367-0.055429i,0.037783-0.084406i,0.047232-0.10038i,0.029628-0.090987i,-0.0053733-0.05686i,-0.025352-0.022298i,-0.02226-0.0023998i,-0.0084549+0.011681i
0.050757-0.035592i,0.10866-0.091387i,0.13465-0.16043i,0.094251-0.16263i,0.093689-0.077517i,0.19118-0.035267i,0.26347-0.090985i,0.20654-0.124i,0.09717-0.082473i,0.025492-0.019095i,-0.0037574+0.023007i,-0.011851+0.031149i,-0.011965+0.027827i,-0.0019959+0.027571i,0.011219+0.018793i,0.0062319-0.0045018i,-0.027228-0.031733i,-0.062541-0.040836i,-0.059348-0.023749i,-0.01942-0.0089586i,0.0097647-0.019264i,0.0059746-0.035896i,-0.0086672-0.04338i
0.017876+0.042965i,0.048457+0.099481i,0.12203+0.12438i,0.21546+0.080048i,0.23271+0.020016i,0.14184-0.0082012i,0.029791-0.00050095i,-0.029852+0.035939i,-0.033816+0.064959i,-0.0029016+0.061985i,0.026024+0.039027i,0.027489+0.019116i,0.016747+0.01986i,0.017238+0.041102i,0.030584+0.064669i,0.052917+0.078497i,0.074724+0.081553i,0.078611+0.073414i,0.05565+0.049957i,0.020711+0.021729i,0.001584+0.0098802i,0.0057123+0.0087408i,0.01314+0.0027846i
-0.042892-0.025804i,-0.068944-0.040648i,-0.027568-0.036379i,0.07097-0.0019005i,0.0744+0.025467i,-0.043264+0.072307i,-0.10476+0.15457i,-0.041145+0.17197i,0.025463+0.10896i,0.024586+0.05241i,0.01636+0.023851i,0.024279+0.0021746i,0.016517-0.0093626i,-0.0072127+0.0050418i,-0.01489+0.035804i,0.0079637+0.045831i,0.043035+0.021388i,0.06275-0.020908i,0.047691-0.048115i,0.019061-0.03993i,0.011988-0.021038i,0.016555-0.013739i,0.014608-0.0024974i
0.053505-0.037804i,0.12619-0.053876i,0.16972-0.017806i,0.098502+0.039267i,-0.029905+0.054289i,-0.085431+0.051392i,-0.059533+0.044142i,-0.021089+0.009742i,-0.010903-0.0088451i,-0.0026297+0.016893i,0.017156+0.032384i,0.027915+0.014529i,0.01818-0.0083917i,-0.0090481-0.020661i,-0.039433-0.021523i,-0.058879-0.00777i,-0.063028+0.020759i,-0.043499+0.047732i,0.00074075+0.049868i,0.038515+0.025022i,0.038997+0.004915i,0.019349+0.010106i,0.0075206+0.017124i
0.015773+0.091489i,-0.0024229+0.21491i,-0.089983+0.30612i,-0.17922+0.25312i,-0.15584+0.096193i,-0.06183-0.051755i,-0.037276-0.13527i,-0.10311-0.11125i,-0.11767-0.033161i,-0.0555-0.010412i,-0.022258-0.01832i,-0.023045-0.00093927i,-0.016174+0.010804i,-0.0083587-0.0087857i,-0.0087148-0.034623i,-0.0098831-0.036582i,0.00074605-0.0087967i,0.025916+0.022847i,0.041562+0.028694i,0.025855+0.019309i,0.0014553+0.025835i,4.8194e-05+0.033289i,0.011696+0.014972i
-0.11616-0.015744i,-0.30314-0.063258i,-0.46571-0.13466i,-0.43181-0.14869i,-0.22333-0.10906i,-0.054458-0.12269i,-0.03815-0.14256i,-0.063604-0.080274i,-0.051594-0.019326i,-0.058507-0.027786i,-0.088373-0.033624i,-0.088904-0.010318i,-0.065508+0.010053i,-0.030856+0.017551i,0.0069298+0.0086029i,0.023098-0.014322i,0.0090695-0.042473i,-0.027037-0.064022i,-0.059334-0.062053i,-0.058583-0.036791i,-0.032687-0.020255i,-0.017132-0.023191i,-0.016028-0.019106i
0.049903-0.12967i,0.12308-0.33613i,0.16766-0.5157i,0.1189-0.47644i,0.052121-0.24363i,0.035277-0.010987i,0.039233+0.087101i,0.049903+0.074609i,0.038475+0.032901i,0.010455+0.018252i,0.0056745+0.017877i,0.0052362+0.0051258i,-0.0017079-0.0028559i,0.0032475-0.0035743i,0.0080619-0.0090167i,-0.0020529-0.0079591i,-0.021144-0.0026612i,-0.03725+0.0063109i,-0.03468+0.018768i,-0.02018+0.014783i,-0.018939+0.0040341i,-0.023614+0.012529i,-0.017136+0.030064i
0.1304+0.081267i,0.31992+0.18114i,0.50232+0.18304i,0.48163+0.043601i,0.26678-0.012413i,0.11463+0.11524i,0.13978+0.20226i,0.15835+0.12277i,0.10154+0.022002i,0.063602-0.0053081i,0.052106-0.0083752i,0.03003-0.0098062i,0.0078476-0.0069892i,-0.0092056-0.003458i,-0.02802+0.0085649i,-0.036505+0.022567i,-0.024199+0.030463i,0.0014913+0.030972i,0.011024+0.026068i,-0.0059493+0.028527i,-0.017504+0.035646i,-0.011457+0.032103i,-0.0032283+0.018644i
-0.11462+0.076179i,-0.21722+0.19847i,-0.17708+0.32214i,0.034095+0.30348i,0.13036+0.12329i,0.050821-0.05006i,0.011418-0.1128i,0.028323-0.12966i,0.0058617-0.11622i,-0.039707-0.064015i,-0.063553-0.024525i,-0.056542-0.014508i,-0.04383-0.0091477i,-0.042535+0.023799i,-0.028762+0.069813i,0.00097543+0.081802i,0.015608+0.063345i,-0.003156+0.043486i,-0.027081+0.031812i,-0.013931+0.020007i,0.016803-0.0066464i,0.018655-0.03336i,-0.0022518-0.029801i
-0.0073107-0.13449i,-0.021747-0.24635i,-0.038303-0.20975i,-0.02265-0.0039238i,0.0060845+0.067114i,-0.055179-0.07359i,-0.18218-0.15522i,-0.22287-0.091724i,-0.16655-0.0094777i,-0.091206+0.030612i,-0.024646+0.034713i,0.019261+0.016661i,0.036444-0.003404i,0.031465-0.023585i,0.016745-0.034587i,0.016142-0.031875i,0.028988-0.033353i,0.045373-0.034266i,0.060216-0.027223i,0.058293-0.026875i,0.035549-0.028055i,0.013818-0.015518i,0.0078062-0.0006594i
0.12415+0.067561i,0.22705+0.14869i,0.19624+0.20287i,0.013791+0.18361i,-0.082035+0.16348i,-0.040256+0.18338i,-0.026346+0.20469i,-0.031516+0.21242i,0.0051425+0.17322i,0.053519+0.10072i,0.083439+0.053478i,0.09343+0.02977i,0.089701+1.3383e-05i,0.067387-0.044912i,0.015721-0.083377i,-0.042678-0.078084i,-0.059936-0.035669i,-0.024622-0.0085038i,0.014938-0.015844i,0.011488-0.019801i,-0.010492+0.0019053i,-0.013786+0.019731i,-0.011351+0.012406i
-0.13326+0.098197i,-0.3089+0.17286i,-0.4499+0.14822i,-0.40738+0.019856i,-0.20927-0.046016i,0.016237+0.010445i,0.17553+0.050665i,0.19924+0.015214i,0.13719-0.0051132i,0.07122+0.004399i,0.01765+0.010681i,-0.012741+0.019107i,-0.018847+0.027769i,-0.013342+0.030285i,-0.0038253+0.026498i,-0.001555+0.025425i,-0.013297+0.044112i,-0.029301+0.066391i,-0.036231+0.056164i,-0.030971+0.024256i,-0.018197+0.0056326i,-0.010284-0.0035715i,-0.012466-0.010306i
-0.029267-0.173i,-0.06034-0.38346i,-0.05965-0.516i,-0.032054-0.41217i,-0.00050215-0.23163i,0.041813-0.20723i,0.054718-0.25516i,0.019524-0.21905i,-0.010702-0.1305i,-0.008207-0.074721i,-0.010628-0.052941i,-0.033678-0.020733i,-0.043451+0.020163i,-0.019883+0.025796i,0.018044-0.0085079i,0.042272-0.060632i,0.035821-0.12231i,0.0043215-0.15874i,-0.022635-0.12815i,-0.020396-0.060695i,-0.00063338-0.013414i,0.018087-0.0015638i,0.032501-0.010798i
0.17587+0.045492i,0.39982+0.10317i,0.54664+0.16532i,0.44559+0.19071i,0.19564+0.18351i,-0.014826+0.15004i,-0.11537+0.087338i,-0.10321+0.042096i,-0.043239-0.0031049i,-0.010276-0.038796i,0.0089048-0.035545i,0.024915-0.027703i,0.024288-0.025331i,0.024463-0.019083i,0.024759-0.020427i,0.0077912-0.025787i,-0.010957-0.027131i,-0.019868-0.03013i,-0.028076-0.025101i,-0.032519-0.0054571i,-0.024864+0.0096752i,-0.0028657+0.0093639i,0.013041+0.0015626i
-0.10202+0.13346i,-0.21552+0.32233i,-0.23895+0.4541i,-0.11857+0.39328i,-0.032309+0.24823i,-0.092899+0.21588i,-0.15068+0.24589i,-0.12856+0.18696i,-0.10163+0.10462i,-0.089532+0.086824i,-0.064167+0.081605i,-0.045067+0.04106i,-0.050035+0.013927i,-0.045604+0.050167i,-0.01015+0.10895i,0.03579+0.13624i,0.071157+0.14962i,0.088138+0.16094i,0.073705+0.12574i,0.028881+0.049078i,-0.0083511-0.0036783i,-0.019786-0.0090502i,-0.019+0.0063974i
-0.079403-0.14926i,-0.19082-0.28797i,-0.2871-0.30543i,-0.24011-0.1829i,-0.06097-0.13693i,0.095132-0.19082i,0.10432-0.15036i,0.027687-0.022643i,-0.023205+0.067873i,-0.01675+0.081623i,-0.0088555+0.04167i,-0.034957+0.013652i,-0.053506+0.022001i,-0.042586+0.032571i,-0.0099532+0.024784i,0.027776-0.010811i,0.030996-0.067336i,-6.0128e-06-0.099892i,-0.013227-0.074265i,0.011947-0.022961i,0.031989+0.0011698i,0.018104+0.0044803i,0.0030336+0.011928i
0.11122+0.021584i,0.18885+0.019315i,0.07855-0.010913i,-0.16908-0.017469i,-0.20557+0.010848i,0.022024-0.018128i,0.209-0.095713i,0.23924-0.10048i,0.2069-0.074951i,0.13427-0.082683i,0.064874-0.060667i,0.066297-0.021118i,0.091856-0.021708i,0.07537-0.055236i,0.026973-0.078566i,-0.010406-0.054859i,-0.01979-0.0061484i,-0.014763+0.022465i,0.00076869+0.027264i,0.014333+0.026051i,0.014277+0.025583i,0.013135+0.018774i,0.012142+0.0084603i
-0.12104+0.052755i,-0.25687+0.022775i,-0.3869-0.13903i,-0.46619-0.2561i,-0.47256-0.070692i,-0.36359+0.1758i,-0.20169+0.14543i,-0.1129-0.0023006i,-0.096549-0.042007i,-0.09169+0.00092743i,-0.061659+0.058784i,0.0015382+0.079223i,0.042119+0.046961i,0.035216+0.022658i,0.011204+0.038171i,0.0011179+0.077526i,0.029352+0.11661i,0.079768+0.11382i,0.086706+0.048984i,0.029917-0.017359i,-0.018874-0.025111i,-0.017384-0.0014522i,-0.0029244+0.005209i
0.063044-0.15906i,0.2266-0.37926i,0.47137-0.61193i,0.5355-0.69937i,0.26771-0.57326i,-0.073772-0.29991i,-0.23178-0.069303i,-0.25005+0.01651i,-0.22244+0.055128i,-0.14368+0.098581i,-0.067524+0.094746i,-0.063734+0.078918i,-0.083903+0.090769i,-0.074423+0.09663i,-0.057366+0.082652i,-0.070077+0.043301i,-0.12254-0.02373i,-0.179-0.071063i,-0.17232-0.058738i,-0.087974-0.019497i,-0.0066669+0.0017337i,0.013291+0.01061i,0.0039379+0.018942i
0.13846+0.15729i,0.36184+0.45083i,0.63018+0.73934i,0.74753+0.65703i,0.59197+0.22298i,0.32491-0.055504i,0.18769-0.021623i,0.16789+0.013403i,0.13928-0.037602i,0.079758-0.063832i,0.026369-0.055069i,-0.0047976-0.037816i,-0.022116-0.019192i,-0.043305-0.016713i,-0.066594-0.032895i,-0.078011-0.038989i,-0.065808-0.02313i,-0.03836-0.0027166i,-0.013862+0.018702i,-0.0005796+0.039634i,0.0067553+0.049524i,0.024488+0.047913i,0.043218+0.035349i
-0.23672+0.062232i,-0.60902+0.21334i,-0.95192+0.4799i,-0.8589+0.72267i,-0.38745+0.73319i,0.0089019+0.50394i,0.13652+0.23914i,0.091586+0.10573i,0.022623+0.076034i,0.011744+0.047566i,0.010874+0.012743i,-0.012293-0.0044204i,-0.034485-0.027306i,-0.03805-0.051709i,-0.0092457-0.063657i,0.046398-0.07202i,0.12165-0.071292i,0.19519-0.071986i,0.18484-0.093087i,0.066926-0.10028i,-0.052153-0.063268i,-0.085743-0.017389i,-0.060601-0.0089942i
0.050049-0.24719i,0.043447-0.64778i,-0.10268-1.0323i,-0.30088-0.97045i,-0.26413-0.54666i,-0.076256-0.25795i,-0.048273-0.17004i,-0.11501-0.054808i,-0.11239+0.04732i,-0.063576+0.040231i,-0.035327-0.0078588i,-0.052236-0.037898i,-0.071479-0.020164i,-0.017777+0.031736i,0.092118+0.054446i,0.14456+0.017977i,0.086204-0.020713i,-0.0059453-0.0062871i,-0.035456+0.020142i,-0.0026276+0.00099326i,0.013866-0.045306i,-0.019959-0.052527i,-0.042363-0.014143i
0.17371+0.13518i,0.51276+0.26311i,0.86366+0.17005i,0.83358-0.2474i,0.38033-0.61662i,-0.051603-0.60777i,-0.17542-0.38455i,-0.069798-0.23066i,0.05454-0.2009i,0.045762-0.15024i,0.016017-0.05092i,0.073387-0.010375i,0.11893-0.016933i,0.088882+0.0081249i,0.024138+0.066229i,-0.0084228+0.12214i,-0.0029252+0.13159i,-0.0024161+0.094255i,0.0014568+0.069609i,0.037177+0.070282i,0.08349+0.054179i,0.094695+0.011527i,0.065372-0.0079617i
-0.22631+0.074558i,-0.49246+0.29261i,-0.63021+0.59829i,-0.47992+0.72575i,-0.33901+0.61757i,-0.35261+0.48985i,-0.27644+0.37003i,-0.14638+0.20181i,-0.083353+0.11102i,-0.011741+0.090087i,0.036018+0.042704i,0.027181+0.024165i,0.011801+0.021579i,-0.047905-0.01094i,-0.14538-0.016479i,-0.17514+0.014918i,-0.10876+0.00097002i,-0.036478-0.078059i,-0.02938-0.12614i,-0.05305-0.068328i,-0.039905+0.033147i,0.0012957+0.071866i,0.014252+0.043649i
0.022336-0.20716i,-0.078688-0.51303i,-0.31419-0.67647i,-0.44995-0.37572i,-0.22239+0.1328i,0.14501+0.33518i,0.24079+0.22867i,0.094233+0.13096i,-0.051308+0.14305i,-0.084305+0.13084i,-0.083003+0.066945i,-0.12534+0.05115i,-0.15044+0.076776i,-0.11288+0.052525i,-0.06027-0.022101i,-0.046608-0.069961i,-0.049848-0.036112i,-0.028398+0.044006i,-0.013036+0.080311i,-0.042888+0.049276i,-0.089011+0.01326i,-0.10045+0.015676i,-0.072628+0.028192i
0.17462+0.07795i,0.46346+0.065275i,0.74847-0.16371i,0.74241-0.52469i,0.55895-0.73065i,0.46592-0.69668i,0.37321-0.54094i,0.24156-0.35252i,0.14095-0.2298i,0.011745-0.14908i,-0.078014-0.059483i,-0.074488-0.041711i,-0.049764-0.076037i,-0.0036885-0.074551i,0.052668-0.057519i,0.076085-0.047494i,0.077315-0.022209i,0.079012+0.011804i,0.076799+0.015089i,0.055518-0.015503i,0.019711-0.038729i,-0.0071391-0.028878i,-0.0044679-0.0056377i
-0.099065+0.050518i,-0.13632+0.24249i,-0.031644+0.45446i,0.10433+0.40002i,-0.055659+0.11874i,-0.38947-0.028927i,-0.44262-0.0046055i,-0.28354-0.021007i,-0.16251-0.066659i,-0.053145-0.042768i,0.042368+0.0057949i,0.090165+0.01589i,0.099325-0.0060154i,0.074656-0.010346i,0.057495+0.021592i,0.063323+0.032952i,0.04055-0.0085059i,-0.017825-0.049985i,-0.043003-0.053777i,-0.0057122-0.044898i,0.03639-0.057731i,0.029727-0.079519i,-0.0023014-0.07296i
0.023372-0.03449i,-0.020497-0.054501i,-0.11842+0.028035i,-0.14929+0.21612i,-0.10961+0.37803i,-0.11379+0.41054i,-0.13149+0.31091i,-0.12685+0.166i,-0.093528+0.085573i,0.010921+0.036138i,0.094605-0.047801i,0.11542-0.08578i,0.12813-0.055299i,0.10224-0.0097211i,0.047556+0.031253i,0.024679+0.048279i,0.03495+0.051847i,0.05996+0.051801i,0.068337+0.040302i,0.038216+0.034777i,-0.0023091+0.046733i,-0.015459+0.054612i,-0.00059023+0.042616i
-0.055125+0.043589i,-0.10921+0.079024i,-0.13695+0.052671i,-0.0077545-0.059371i,0.2979-0.24726i,0.48406-0.43094i,0.35332-0.44966i,0.19034-0.33405i,0.18346-0.2342i,0.14129-0.12102i,0.068821+0.050898i,0.081616+0.16478i,0.090843+0.11994i,0.018947-0.021751i,-0.086787-0.11666i,-0.13455-0.11335i,-0.08616-0.086627i,-0.015387-0.092851i,-0.0042956-0.10386i,-0.041084-0.077335i,-0.05733-0.022631i,-0.025437+0.0097648i,0.011141+0.011803i
