-0.0031375-0.00068439i,-0.002394-0.00064482i,-0.0024283-0.00088351i,-0.0023189-0.00095438i,-0.0014923+7.5299e-05i,-0.0011366+0.0014852i,-0.0011184+0.0028791i,-0.00029709+0.0035793i,0.0003817+0.0027232i,0.00056941+0.0012849i,0.00019783+0.00027712i,-0.00083807+0.000815i,-0.0013756+0.0010988i,3.2021e-05+0.00068466i,0.00053495+0.0001197i,0.00042612-0.00029905i,0.00031643-0.00014001i,-8.3016e-05+3.8417e-05i,-8.8494e-05+0.00050328i,-4.3868e-05+0.00071766i,0.00019547+0.00049407i,-0.00021554+0.0002774i,-0.00057805-0.00071877i
-0.00056962+0.0012085i,-0.00012409+0.0010392i,0.00063991+0.00011252i,0.0010535-0.0005591i,0.0014963-0.0010329i,0.0012212-0.0013701i,0.00057687-0.0010286i,0.00014196-6.2797e-05i,-0.00069062+0.00064817i,-0.00023946+0.00087224i,0.00092682+0.00081041i,0.0013276+0.00086823i,0.00071334+0.00051879i,0.0001794-0.0008101i,0.00026978-0.001257i,-0.00023475-0.00058506i,-0.00077342-0.00032072i,-0.00059073-0.00043636i,-0.00038514-0.00047051i,0.00010001-0.00045084i,0.00097313-0.00064075i,0.0011322-0.00073015i,0.00034011-0.00047531i
-0.00053321-0.0015704i,6.2967e-05-0.0019623i,-0.00056206-0.0014981i,-0.0010521-0.001446i,-0.0010999-0.0019318i,-0.00099656-0.0014552i,-0.001069-0.00094008i,-0.00089108-0.00032154i,-0.00066863+0.00053028i,-0.00076179+0.00075562i,-0.0011352+0.00078584i,-0.00088516+0.00014918i,-0.00031715-0.00050606i,-0.00067577-2.8524e-05i,-0.00098576+0.00080095i,-0.00095985+0.00050329i,-0.00087954-0.00031285i,-0.00065981-0.00054974i,-0.00019744-0.00034873i,4.4121e-05-0.00021785i,-0.00030509-0.00015506i,-0.00051527-0.00042082i,-1.454e-05-0.00024442i
-0.00019489+0.00045897i,-0.00049166+0.0008414i,-0.00061083+0.0010783i,-0.00045422+0.00035461i,0.00011249-0.00035769i,0.00098075-0.00018421i,0.00099353+0.00039782i,0.00043278+0.00044329i,0.00032104-0.00035879i,-0.00024786-0.00081658i,-0.00046748-0.00023261i,-0.00025417+0.00058147i,-0.00018375+0.00053614i,-0.00036964+9.6828e-05i,-0.00093835-0.00098708i,-0.0011999-0.0012065i,-0.00063403-0.00046119i,9.7674e-05+0.00034549i,-0.00021054+0.00081785i,-0.00066304+0.00054536i,-0.00073249-0.00020535i,-0.00040999-0.00021553i,0.00028839-0.00045337i
-0.0002704+0.00078249i,-0.00081256+0.0018283i,4.6445e-05+0.0017197i,0.00065787-0.00010371i,0.00071318-0.001367i,9.6107e-06-0.0010661i,-0.00038485+0.00012709i,-0.00036846+0.00099638i,-0.0015046+0.0012662i,-0.0015645+0.0011201i,-0.00069386+0.00092118i,7.5199e-05+0.00051886i,0.00015746-6.2922e-05i,-3.5166e-05-0.00060836i,-0.0002708-0.00071835i,-0.00087906-0.00046736i,-0.00071805-0.0004659i,-1.5388e-05+0.00036838i,0.00026235+0.00082489i,0.00011669-0.00033493i,0.00020148-0.0010195i,-0.00074875-0.0001498i,-0.0012782+9.9149e-05i
6.054e-05-0.00088681i,0.00056468-0.00059557i,0.0009098+0.00049167i,0.00083061-0.00061765i,0.00062102-0.0014929i,0.00031795-0.00079588i,0.00014891-0.00033129i,-0.00061965-0.0008388i,-0.0011576-0.0010081i,-0.00088645+0.0004795i,-2.3368e-05+0.0010939i,0.00024209+0.00040546i,0.00017903+3.7511e-05i,0.00040611+0.00011368i,0.0004891+0.00011545i,0.00020651+0.00021136i,-4.5934e-05-0.00023752i,-0.00084996-0.00012755i,-0.0012351+0.00052169i,-0.00043448+0.00050876i,-0.00015257+0.00080513i,-0.00026299+0.00059253i,-0.0002095-0.00033256i
0.00071267+0.00046161i,0.0008372+0.00067195i,0.00016816-0.00025623i,-5.9254e-05-0.0020309i,-2.7468e-05-0.0025457i,4.1059e-05-0.0021958i,-2.2307e-05-0.0011691i,-0.0010612-0.00027705i,-0.0019509-0.00012713i,-0.0011708-0.00012066i,0.00052511+0.00032044i,0.00030799+0.0010433i,-3.4601e-05+0.0015567i,2.9909e-05+0.00085747i,0.00035656+0.00015576i,0.00023654+0.00050743i,-0.00056532+0.00065154i,-0.00016878+0.00049904i,4.6125e-05+2.6003e-05i,0.00048992-0.00039463i,0.00019659+9.8436e-05i,-0.00099444+5.4063e-05i,-0.00059706+0.0001312i
-0.001049-0.001325i,-0.0013028-0.00081913i,-0.00062075+0.00073368i,-1.6843e-06+0.0013352i,-0.00026439+0.0010236i,0.00048722+0.00064642i,0.0014374+0.0004205i,0.0012166+1.2846e-05i,4.9936e-05-0.00017737i,-0.00087352+0.00046597i,-0.0016048+0.00089618i,-0.0013525+0.00073248i,-0.00038537+2.6325e-05i,0.00019859-0.00046277i,-0.00030433-3.3427e-05i,-0.0010811-9.6278e-05i,-0.0013145-0.00067122i,-0.0008507-0.00033621i,-0.00051163+0.0004181i,-0.00023315+0.00053922i,-3.2362e-05+0.0003429i,-0.00026211+0.00027918i,-0.0001209+0.00026062i
0.00071957-0.0028892i,0.00098397-0.0020728i,-0.00030922-0.001899i,-0.0017099-0.0011732i,-0.0017392-0.00065583i,-0.00031887-0.00050916i,0.00073373+0.00031733i,0.00032188+0.0009614i,-0.00040552+0.0013672i,-0.0012384+0.001548i,-0.0015309+0.0012946i,-0.0011158+0.0002448i,-0.00019772-0.00025809i,-0.00021802-0.00019148i,-0.0010841-0.00024523i,-0.0013628+0.00014584i,-0.0012105-0.00012611i,-0.000873-0.0004052i,-0.00025023+7.2446e-05i,0.00045198+0.00010793i,0.00027823-0.00028575i,-3.2772e-05+4.193e-05i,-0.00018508+3.8789e-05i
-0.0012987+9.2211e-05i,-0.00078226+0.00067248i,0.00012123+0.00060983i,-3.6222e-05+0.00033986i,-0.00062135-0.00014475i,-0.00046266-0.00095977i,-6.4511e-05-0.0015307i,-0.0001137-0.00092918i,-0.00053294-0.00051772i,-0.00091164+0.00035134i,-0.00023264+0.00062469i,9.1588e-06+0.00077447i,-0.00060466+0.00085788i,-0.00027126-0.00023984i,-3.1171e-05-0.00089416i,-0.00026188-0.00068297i,0.00010593-0.00056789i,0.00038332-0.00029158i,0.00074152+0.00070544i,0.00039838+0.00058699i,8.6911e-05-2.1733e-05i,0.00010697-0.00023379i,0.00013138-0.00011833i
-0.0012042-0.0008907i,-0.00074946-0.0012901i,-0.00047278-0.00024746i,-0.00020024-7.105e-06i,0.00075965-0.0008149i,0.00069944-0.00091883i,0.00016611-0.00066379i,-0.00072012-0.00025068i,-0.0019957+0.00034421i,-0.0010619+0.00046727i,0.00054709+0.00078295i,0.00017864+0.0008424i,-0.0001797-1.3782e-05i,3.988e-05-0.0007398i,0.00019542-0.00052052i,-0.00028484+0.0001677i,-0.0010296+0.00023237i,-0.0010994-0.00038615i,-0.00057178-0.00065199i,0.00036026-0.00097046i,0.0008517-0.0010437i,0.00069084-0.00029465i,0.00035951+0.0003247i
-0.00039963+0.0012403i,0.00018705+0.00027016i,0.00067244-0.00020288i,0.00095957+0.0005003i,0.00089633+0.00079411i,0.00083903+0.00047731i,0.0003877-5.0787e-05i,-0.00030545+0.00017459i,-0.00067156+0.00060615i,-0.0008405+0.00081258i,-0.0011-0.00010015i,-0.0010547-0.00077866i,-0.00077203-0.00037692i,-0.00089793-0.00077668i,-0.000787-0.0012274i,-0.00054424-0.00098774i,-0.00082386-0.00072768i,-0.0011386-0.00042857i,-0.0012942-3.8036e-05i,-0.00040777+0.00056909i,1.7486e-05+5.2147e-05i,-0.00033326-0.00028014i,-0.00035916+0.00015954i
-0.0015202+0.00023872i,-0.0015767+0.00079785i,-0.0022578+0.0013111i,-0.0010017+0.0014751i,5.1505e-05+0.00095408i,0.00031665-0.00021764i,0.00060645-0.00058713i,-0.00020892-0.00035073i,-0.0010541+0.00024282i,-0.00072189+0.00090864i,8.2011e-05+0.00084132i,0.00018179+0.0007343i,0.00025868+0.00038002i,0.00037404+8.2206e-05i,-0.00022366-5.4141e-05i,-2.9736e-05-0.00039155i,0.00038772+6.6769e-05i,-8.0835e-05-2.9163e-05i,-0.00019664-0.00010152i,-8.3083e-05+0.00034867i,-0.00018039+9.2074e-05i,-0.00064116-0.00052095i,-0.00087634-0.00055389i
-0.0019886-0.00083268i,-0.0022364-0.00036985i,-0.0027109+0.0004975i,-0.0021453+0.00030562i,-0.00045753-0.00028438i,0.00080818-0.00083964i,-0.00031139-0.00042567i,-0.0012698+0.00017006i,-0.00048859+0.00047055i,6.7051e-05+0.00089929i,-0.00041666+0.001408i,-0.00065362+0.0012639i,-0.00029379+0.00068924i,-0.00026177+0.00012984i,-0.00074365-0.00056911i,-0.00096762-0.00023114i,-0.00030121+6.2905e-05i,1.9377e-05-0.00031244i,8.9458e-05+0.00037581i,-1.9043e-05+0.0012217i,-0.00067599-0.00019343i,-0.00097448-0.0012729i,-0.00076711-0.00067987i
0.0027165-0.00044973i,0.0023532-0.00056605i,0.00093354-0.0012181i,0.00063788-0.0023118i,0.0013383-0.0024182i,0.0010792-0.0010278i,3.1395e-05+3.9182e-05i,-0.00023827+0.00017021i,-0.00099107+0.00010486i,-0.0015406+0.00012654i,-0.0013943+0.00015796i,-0.00041494+0.00025268i,0.00033471+0.00061439i,0.00014233+0.00013096i,-0.00065673-0.00075793i,-0.00094135-0.0010349i,-0.0010254-0.00076761i,-0.00086196-0.00016691i,-0.00078835-0.00018614i,-0.0010429-0.00029825i,-0.001016-0.00013335i,-0.000575-0.00072721i,0.00032384-0.001079i
0.00074282+0.0012777i,0.00074141+0.0010503i,0.0010096+0.0018764i,0.00086126+0.0014479i,0.00064981+3.1156e-05i,0.00022324-0.00061894i,-3.2132e-05-0.00035782i,-0.00060938+0.00057806i,-0.0016487+0.00094975i,-0.0018599+0.00092674i,-0.00073172+0.00092063i,0.00057881+0.0009149i,0.00071494+0.00070024i,0.00049423-0.00017668i,-0.00018405-0.00065478i,-0.00093325-0.00052446i,-0.0010468-0.00014187i,-0.00045144+3.4733e-05i,0.0006462-5.3089e-05i,0.0011974-9.1597e-06i,0.00041338+6.1694e-05i,1.7267e-05-0.00025676i,0.00041182-0.00069286i
-0.0013991+0.00012836i,-0.00070669+0.00046133i,0.00032703+5.7727e-05i,0.00022083-0.00068451i,2.8825e-05-0.00098691i,0.00037529-0.0011622i,0.00067777+4.42e-05i,-2.4492e-05+0.00079898i,-0.0010568-0.00017403i,-0.0012505-0.00065286i,6.9896e-05-0.00031339i,0.00026128-8.381e-05i,-0.00036992-0.00033043i,-0.00026689-0.0008687i,-0.00046919-0.0007738i,-0.00036657-0.00074305i,-0.00019394-2.9877e-05i,-0.00071638+0.00058015i,-0.00020353-1.7792e-05i,0.00078881-0.00031274i,0.00088904+4.3919e-05i,0.0002448+0.00019375i,0.00017036-0.00048086i
-0.00010895-0.00083701i,0.00028759-0.00099613i,0.00053902-0.00056791i,0.00078988-0.00022999i,0.00083854-0.00091087i,0.00041724-0.001902i,0.00052363-0.0016223i,-4.5681e-05-0.00025682i,-0.00064099+0.0004798i,-0.00066829+0.00077174i,-0.00083892+0.00017037i,-0.00078483-0.0005411i,-0.00038134+0.00024774i,-2.4766e-05+0.00052121i,-9.2078e-05-0.00024142i,-0.00021079-0.00031864i,-0.001172+0.0003009i,-0.0018236+0.00015362i,-0.0014116+3.0267e-05i,-0.0010107+0.00040412i,-0.00094464+0.00046931i,-0.00058283-0.00014008i,0.00014906-0.00023924i
0.00077413+0.00083067i,0.0010057+0.0011722i,0.0017158+0.0023371i,0.0023348+0.0018208i,0.0026082-0.0002137i,0.0014695-0.00092664i,5.9879e-05-0.00057288i,-0.00038431-0.00048471i,-0.00076157+0.00026733i,-0.00043571+0.00075443i,0.00021024+0.0010281i,0.00019174+0.00070592i,0.000721-0.00067403i,0.0015661-0.0013713i,0.00080421-0.0012955i,-0.00031958+7.368e-06i,-0.00067469+0.00063999i,-0.0010652+0.0001908i,-0.00070827-0.00037144i,-1.3569e-05-2.4201e-05i,-0.00046964+0.0007972i,-0.00066978+0.0017131i,-5.4254e-05+0.0014016i
-0.00090528+0.00048051i,-0.0009623+0.001191i,-0.000297+0.00037557i,-0.00068668-0.0002104i,-0.00067283-0.0011835i,0.00040808-0.00066499i,0.0008686-0.00033644i,0.001245-0.00047221i,0.00059443+0.00012739i,-0.00093242+0.00049075i,-0.00076885+0.00074948i,1.9425e-05+0.00064342i,8.9645e-05+3.5026e-05i,-0.0003082-0.00023898i,-0.00064941-7.9603e-06i,-0.00056797+0.00032516i,-0.00055475+0.00049651i,1.6392e-05+0.00075326i,0.00033256+0.00026354i,0.00081359-0.00044423i,0.00054855-0.00095264i,-0.00012776-0.0011482i,-0.00011143-0.00055125i
-0.00078449+0.00086473i,-0.00082035+0.0012449i,-0.00048736+0.0014796i,0.00096785+0.00096464i,0.0018883-0.00019536i,0.0012852-0.0019334i,-8.5585e-06-0.0017917i,-0.001087-0.00098058i,-0.00093628-0.000537i,-0.00053174+0.00019767i,-0.00021165+0.0014643i,-0.00047172+0.0014495i,-0.00073058+0.00086305i,-0.00050856+0.00084959i,0.00032907+0.00062856i,0.00029026+0.00010671i,-0.00061422-0.0005431i,-0.0005952-0.00020815i,-0.00017274+0.00066943i,7.6517e-05+0.00063905i,-0.00028776-7.6069e-05i,-0.00095408-0.00064538i,-0.00098505-0.0003496i
-7.0066e-05-0.00048889i,0.00073409-0.001289i,0.00053328-0.0014218i,0.00040952-0.0011331i,0.00085724-0.0013064i,0.0011012-0.0016092i,0.00070195+0.00032624i,0.00018926+0.0014423i,-0.00011015+0.00095654i,-0.00038492+0.0014292i,0.00022696+0.0010793i,0.00080292-0.00015059i,0.0010984-0.00062184i,0.0010236-0.00031708i,2.8969e-06-0.00038841i,-0.000478-0.00054717i,-0.00069423-8.2431e-05i,-0.00092019+0.0001848i,-0.0010549-8.0926e-05i,-0.00016358+0.00050298i,-7.0435e-05+0.00091305i,-0.00033662+1.4043e-05i,0.00011112-0.00038784i
0.0014874-0.00088339i,0.001922-0.00020109i,0.001539-0.00066343i,0.00089741-0.0010373i,0.00016626-0.00098351i,-0.00017552-0.00040773i,-0.00023753+0.0011587i,3.7503e-05+0.0012508i,-0.00033651+0.00011849i,-0.00080129-0.00059987i,-0.0011356+0.00014795i,-0.00055163+0.000622i,0.00017119+2.9208e-05i,-0.00026821+1.1647e-05i,-0.00063537+0.00030503i,-0.00033563+0.00013202i,0.00025443-5.3166e-05i,0.00040637+7.6664e-05i,-0.00014594+1.4021e-06i,-0.00050539-0.00027571i,-0.00055608+0.00019688i,0.00030645+0.00040531i,0.00026462-0.00014877i
-0.0017006+0.00050892i,-0.003198+0.00083931i,-0.003522+0.0010746i,-0.0016795+0.001063i,0.00051082+0.0008819i,0.00091085+0.00031394i,0.00026185+8.7522e-05i,-0.00020893-4.1858e-05i,-0.00061119-0.00010925i,-0.0013626+0.0005819i,-0.00066171+0.0011818i,0.00034496+0.0011564i,0.00048041+0.00070186i,0.00018695+0.00027633i,-0.00017228+4.5932e-05i,-1.6047e-05+5.203e-05i,-4.1174e-05+1.5188e-05i,-7.0651e-05+7.8364e-05i,0.00010449+0.00044346i,0.00031274+0.00015138i,-0.00014763-0.00025837i,-0.00030268-0.00021006i,0.00016151-0.00022426i
0.0013666+0.0015398i,0.001013+0.00044275i,0.0018886+0.00042735i,0.0029435-0.00081761i,0.0025952-0.0023513i,0.0011242-0.0019795i,-0.00033974-0.00083946i,-0.00069318-2.9981e-05i,-0.0005941+7.025e-06i,-0.0003456-0.00020181i,0.00028371+5.3378e-05i,0.00060179+0.0004976i,0.00093997+0.00079962i,0.00096039+0.00086848i,0.00023047+0.00028932i,-4.4268e-05-0.00035771i,-3.0714e-05-0.00053454i,-0.0002394-0.00032675i,-0.00049962+0.00035052i,-0.00016838-0.00011233i,0.0003962-0.00069548i,0.0003385-0.00037073i,8.4002e-05-0.00048936i
-0.00069968-0.0012612i,-0.00015169-0.0015622i,-0.0005952-0.0015787i,-0.00062131-0.0010484i,0.00043778-0.00037897i,0.00089777-0.00071359i,1.2967e-06-0.001253i,-0.00096233-0.00079034i,-0.0016424-0.00011394i,-0.0013739+0.00048118i,-0.00035732+0.00058952i,0.00042785+0.00047558i,0.00076555+0.00012422i,0.00011093-0.00016673i,-0.00058473-0.00019062i,-0.00038538-0.00041604i,-1.1426e-08-0.00049352i,-0.00012173-0.00058994i,-0.00019178-0.00046804i,0.00040773+4.7923e-05i,0.00068033+0.00031056i,0.00054225+0.00036816i,0.00083442+0.00041085i
0.00068049-0.00011637i,0.00035145+0.00061038i,0.00023588-0.00012897i,0.00091821-0.00088259i,0.00070027-0.0010599i,7.0978e-05-0.0009712i,0.00016341+0.00021911i,-0.00014342+0.0011449i,-0.00044483+0.00020527i,-0.00039444-0.00014333i,-0.00069936+0.00056702i,-0.00097392+0.0001452i,-0.00012789-0.00011971i,0.00014236-0.00040453i,-0.00019646-0.0002944i,-0.00061888-0.0002582i,-0.0010104-0.00032662i,-0.0011164-0.0002427i,-0.00067178-0.00022897i,-0.00040808-0.00033217i,-9.2448e-05-0.00080743i,8.593e-05-0.0010652i,-0.0001209-0.00055502i
-0.00022504+0.0014886i,-0.00038827+0.0016203i,0.00069983+0.0015289i,0.0020227+0.00071054i,0.0017548-0.00020108i,0.0009518-0.0007621i,-9.4349e-05-8.316e-05i,-0.00058913+0.00032613i,-0.00058544+0.00019828i,-0.00075749+0.00042023i,-0.00032027-6.3581e-05i,0.00026137-5.4895e-05i,0.00018346-3.4926e-05i,0.00014115-0.0011513i,0.00063023-0.0016144i,0.00091122-0.00084088i,0.00073028-0.00034539i,0.00055027-0.00055641i,0.00034318-0.00082988i,-2.92e-05-0.001335i,-0.0002861-0.00093831i,0.0004923+4.0556e-06i,0.0011121-0.00013152i
7.2491e-05+0.0013458i,-0.00038788+0.001057i,-0.00039244+0.0014781i,0.00029291+0.0015834i,0.0011482+3.4939e-05i,0.0012102-0.0016702i,0.00039823-0.0019646i,1.2246e-05-0.00078526i,1.5978e-05+0.00089995i,0.00033057+0.0010968i,0.00057792+0.00010274i,1.9725e-06-0.00029031i,-0.00035918-3.1326e-05i,5.0807e-05+0.00033881i,0.00060846+0.00040802i,0.00073521+7.1105e-05i,-0.00030442-0.00012434i,-0.00091047+0.00076108i,-0.0006042+0.001728i,-5.6069e-05+0.0016013i,7.3078e-05+0.00096412i,0.00010048-6.8719e-05i,0.00041561-0.00020831i
-0.00073735+0.00019918i,-0.00086557+0.00036593i,-0.00024816+0.00061538i,0.00069937+0.00057271i,0.0011721-0.00053712i,0.0014701-0.0011636i,0.00060735-0.00098815i,-0.00020644-0.0005521i,-0.00081425+0.00013023i,-0.001153+0.00040521i,-0.00077435+0.00076702i,-0.00017377+0.0011006i,9.1533e-05+0.0012355i,-0.00037205+0.00048263i,-0.0010591-2.7349e-05i,-0.0011524-0.00017393i,-0.0011032-0.00069413i,-0.00081148-0.00048624i,-0.00049667-2.5055e-05i,-5.0527e-05-0.00068534i,-2.4081e-06-0.00049102i,-5.987e-05+0.00030073i,0.00016881-0.00015744i
0.00070497+0.00095125i,0.0013909+0.00037891i,0.00076868-0.00044124i,0.00037978-0.0010712i,-0.00037043-0.0019176i,-0.00068242-0.0010941i,-0.00071832+0.00016319i,-0.00019108+0.00041306i,0.00012274+0.0009975i,5.072e-05+0.00076985i,-0.0002395+0.00061876i,-0.00068939+0.00042204i,-0.00046805-0.00037089i,-0.00046072-0.00073868i,-0.00061706-0.00061446i,-0.0004413-0.00024602i,-0.00074413-0.00015425i,-0.00081967-7.8657e-05i,-0.00086146+0.00041221i,-0.00062195+0.0005338i,0.00016468+0.00018942i,0.0002416+0.00043443i,-0.00014458+0.00084994i
