-0.0014143+0.0014839i,-0.0015728+0.00031942i,-0.0035227-0.00042989i,-0.0041706+5.1685e-07i,-0.0028495+0.0020787i,-0.00099134+0.0026862i,-0.00030935+0.0011167i,0.00034714+0.00064226i,0.0015138+0.00075953i,0.0020829-0.00028273i,0.00062205-0.00057276i,-0.00052978-0.00019614i,0.00031234-0.00033654i,0.00078737-0.00077779i,0.00042295-0.001034i,-0.00068335-0.00046986i,-0.00090781-4.9719e-05i,-0.00020082-0.00017245i,0.00015985-0.00042908i,0.00054666-0.00040751i,0.00097046-0.00048212i,0.00065297-0.00066245i,-0.00037297-0.00070487i
0.00081208-0.0032399i,-0.0004671-0.0021699i,-0.0015932-0.0022914i,-0.0025511-0.0013616i,-0.0018964-0.0007558i,-0.00054665-0.0010683i,0.00045392-0.00099667i,0.00024874-0.0010215i,3.0742e-05-0.0010556i,-0.00012099-0.0013655i,-0.00058109-0.0013754i,-0.00016055-0.00012886i,8.1399e-05+0.00039189i,-1.0795e-05-0.00010054i,-6.9916e-05-0.00017809i,-0.00030671-0.0006336i,-0.00045236-0.0012131i,-0.00025756-0.00053798i,0.00022699-0.00045602i,0.00053333-0.00058122i,0.00079399-8.6162e-05i,0.00035432+4.4327e-05i,-0.00054017+0.00038372i
-0.00078173-0.00070843i,-0.0010453-0.0025977i,-0.00072288-0.0037598i,1.8502e-05-0.0043105i,5.848e-05-0.0029357i,-0.00095105-0.00055581i,-0.0015445+0.000313i,-0.001673+0.0002634i,-0.0010954-0.00087944i,-0.00013639-0.00076906i,-8.5217e-05+0.00017925i,-0.00016629-0.00043885i,0.00019834-0.00013959i,0.0010344+0.00058246i,0.0010938+0.00023349i,0.00018862-0.00030832i,-0.00030192-0.00040561i,-0.00022442-0.00039391i,0.0006087-0.0012362i,0.0014464-0.0010561i,0.00099881-0.0003342i,0.00048389-0.00061222i,0.00077965-0.00051319i
-0.0022016-0.00038646i,-0.0017125-0.00021302i,-0.0026375-0.00086146i,-0.0031346-0.00093933i,-0.0033581+0.00036787i,-0.0030238+0.0014274i,-0.0018261+0.00092904i,-0.0011949+0.00024051i,-0.00052444-0.00035861i,-0.00015076-0.00054995i,-0.00033902+0.00011255i,-0.00025975+0.00038749i,-0.00069408+0.00023864i,-0.001359+0.00053087i,-0.0014231+0.00082357i,-0.0010124+0.00136i,-0.00062449+0.001031i,-2.0066e-05+0.00025796i,0.00029316-0.00013551i,0.00036512-0.00015156i,2.599e-05-0.00021307i,-0.00017498-0.00079208i,-0.00017284-0.00054709i
-0.00093466+0.00073038i,-0.0024071+0.00089926i,-0.0036751+0.00051i,-0.0032392-0.00069715i,-0.0020966-0.00058003i,-0.00087992+0.00098979i,0.0001168+0.0010646i,0.00085055+4.3277e-05i,0.0013411-0.00011961i,0.00089032+0.00056118i,-0.00041395+0.00092263i,-0.00033193+7.7375e-05i,0.00055277-0.00056532i,0.0012389-0.00050408i,0.0019367-0.00074559i,0.00139-0.00023715i,0.00036265+0.0004587i,0.00016028+0.00026707i,-1.2076e-05+0.00023001i,-0.00054831-0.00021585i,-0.00089427-0.00084749i,0.00030478-0.00099731i,0.0017914-0.00029992i
0.00036936-0.00082598i,0.0012343-0.0011764i,0.0013274-0.00094538i,0.00045628-0.00020038i,-0.00025422+0.00070514i,0.00022254+0.00080657i,0.00094339-0.00050601i,0.00066303-0.0012042i,3.4808e-05-0.0010162i,0.00049198-0.0010547i,0.00072175-0.0012985i,-0.00019145-0.0009224i,-0.00023903+6.4409e-05i,0.00031063+0.00047466i,0.0005653-0.00045112i,0.00031537-0.00029518i,-0.00012503+0.00030701i,0.00037149-5.0594e-05i,0.0005505+0.00032022i,-0.00033739+0.00075754i,-0.00018557+5.3176e-05i,-0.00030819+0.00024588i,-0.0009212+2.3715e-05i
-0.00017256+0.00051207i,-0.00038266-0.00081089i,-0.00035554-0.002002i,-0.00073342-0.0021955i,-0.00030949-0.0010351i,0.00022033+0.00038486i,-0.00013207+1.509e-05i,-0.0001704-0.0010362i,-0.0008481-0.0018947i,-0.0011569-0.0013516i,-0.00065841-0.00041425i,0.0002088-0.00029173i,0.00027457+0.00072502i,-0.00017689+0.0007645i,-4.296e-05+3.5436e-05i,-9.3227e-05+0.0004007i,-0.00049357+0.00044669i,-0.00054735-0.00013624i,6.7675e-05-0.00047332i,0.00014719-0.00067462i,-0.00036501-0.00012669i,-0.00038151+0.00029582i,0.00011222+2.7365e-05i
0.00016702-0.00099278i,-0.00023538-0.0014578i,-0.0011239-0.0020446i,-0.0022878-0.0022904i,-0.0029656-0.001628i,-0.0022363-0.0012704i,-0.0007268-0.00089547i,-0.00010649-0.001075i,-0.00013927-0.0012532i,0.00025463-0.00075335i,2.2016e-05-3.6088e-06i,-0.00038055+0.00024495i,-0.00035607-0.00024727i,-0.00010542-0.00041873i,0.0002988-0.00037346i,-7.4156e-05-0.00019052i,-0.0010086+0.00031972i,-0.0012339+0.00049808i,-0.00039578+0.0007537i,-6.0647e-05+0.00079907i,0.00023344+0.00022645i,0.00062109-0.00022987i,0.00028982-0.00033172i
0.00031945+0.00018598i,0.00089929-0.00070613i,0.00021199-0.0023079i,-0.0017073-0.0022721i,-0.0029539-0.00059817i,-0.0022196+0.00084404i,-0.00067404+0.00095538i,0.00010705+0.001076i,4.5011e-05+0.0012401i,-0.00041631+0.0009205i,-0.00048175+0.00068315i,0.00013076+0.00014671i,0.00016059-2.5775e-06i,0.00032545+0.00013224i,-3.6803e-05+0.0003563i,-0.0010835+0.00016407i,-0.0013941+0.00019029i,-0.00061075+0.0001648i,-0.00011511+5.5844e-05i,0.00014765-0.00016095i,0.00043794-0.00062905i,0.00034514-0.00056495i,0.00031935-0.00021706i
9.4872e-05+0.0016225i,-0.00046938+0.00057594i,-0.00054376+0.00043654i,-0.0011874+0.0013302i,-0.00090294+0.0015333i,0.00050956+0.0011957i,0.0022641+0.0010443i,0.0028993+0.00049707i,0.0023275-3.8897e-05i,0.0017642+0.0001601i,0.0014369+0.0008995i,0.00043334+0.0010013i,-0.00080881-4.2661e-05i,-0.0010231-0.0004807i,-0.00039352-0.00017185i,8.7714e-05+0.00030389i,4.5679e-05+0.00022535i,0.00054048+0.00016033i,0.0007948+0.00092735i,0.00056194+0.00079478i,0.00055021-0.00013541i,0.00025891-0.00053225i,0.00049611-0.00047369i
-0.00017901-0.0020071i,0.00012315-0.0030627i,0.00051094-0.0033287i,0.0006347-0.0025113i,0.00081328-0.0014545i,0.0011395-0.0015057i,0.0010509-0.001788i,0.001137-0.0017259i,0.0011399-0.00094014i,0.00033244-0.00038498i,-0.00023186-0.00063054i,-0.00075513-0.00051398i,-0.00082354-0.0011031i,0.00012041-0.0013531i,0.00056166-0.00053589i,0.00069685-0.00026055i,-4.4577e-05-0.00040764i,-0.00036327+0.00019394i,0.00051471+0.0012337i,0.0013236+0.0010391i,0.001172+0.00029134i,0.0001507+5.1661e-05i,-1.2553e-05-0.00030335i
-8.6241e-05+0.0014557i,6.2415e-05+0.00091198i,0.00034013-0.00052098i,0.00019294-0.0012323i,-3.5291e-05-0.0013867i,-0.000351-0.0022369i,-0.00082921-0.0022664i,-0.0007897-0.0010853i,-0.00047086-0.00037144i,0.00024331-0.00035645i,0.00068927-0.00067624i,-0.00011909-0.00042401i,-0.0008546+0.00030507i,-0.0010933+0.00023704i,-0.0011765+0.00050087i,-0.0010581+0.0012121i,-0.0008541+0.0008814i,-0.00051626+0.00075759i,0.00060581+0.00034523i,0.0011004-2.745e-05i,0.00017267+0.00028592i,-0.00061459+4.5988e-05i,-0.00057449-0.00046635i
0.00033587-0.0023805i,-0.001561-0.0025652i,-0.0038827-0.0033661i,-0.0051033-0.0030427i,-0.0043561-0.001064i,-0.0033021+0.00085098i,-0.0019408+0.0012103i,-0.00073711+0.00053641i,-7.3529e-05-0.00028815i,0.00035515-0.00090908i,-3.923e-05-0.00072683i,-4.6685e-05-8.0815e-05i,0.00037026+0.0010343i,-0.00020582+0.00095619i,-0.00068092+0.00080586i,-0.00024859+0.00057505i,6.4252e-05-9.7978e-05i,0.00028511-0.00031588i,0.00028912+0.00067378i,9.0192e-05+0.00087168i,-0.00036306+0.00028036i,-0.00043407+0.0003246i,7.5094e-07-8.9751e-05i
-0.00044894-0.0011234i,-0.0025732-0.0013892i,-0.0045753-0.0010428i,-0.0049228+2.1826e-05i,-0.0031614+0.0008879i,-0.0014689+0.0016869i,-0.00014546+0.0012251i,0.0005588+0.00072827i,0.00056321+0.0001383i,0.00045175-0.00046001i,-0.00060702-0.00044339i,-0.00082179-6.7569e-07i,-0.00024163+0.00052528i,-0.00029798+0.001001i,-0.00021336+0.00099432i,3.5156e-05+0.0010264i,0.00041091+0.0010896i,0.00055234+0.00015127i,-8.0091e-05-0.00043134i,-0.00046523-0.00017467i,-9.8712e-05-0.00030441i,0.00012415-0.00027677i,-0.00042433-6.1463e-05i
-0.0023028+0.00061759i,-0.0010687+0.0011074i,-0.00065372-4.3111e-05i,-0.00015313-0.0001138i,0.00049922+0.00094732i,0.0010525+0.0012368i,0.0014026-7.0884e-05i,0.0016034-0.00048738i,0.00096753-0.00018054i,-6.2489e-05-0.00021685i,-0.00050898+0.00024415i,-0.00048377+0.0012445i,-0.00022394+0.0010242i,0.00030842-0.00032547i,0.0007563-0.00041624i,0.00059061+0.00037991i,0.00052992+0.00049544i,0.0010153+7.2516e-05i,0.0010132-3.6599e-05i,0.00098669+0.00033459i,0.00076324+0.00022968i,0.00024425+0.00018153i,0.00024464+0.00040486i
-0.0011767-0.0015015i,-0.00078187-0.0025121i,-0.00038468-0.0032002i,-0.0011338-0.0020888i,-0.0016284-0.00088201i,-0.00086925-0.00084366i,-0.00046737-0.0014983i,-0.00039583-0.0015767i,-0.00068385-0.00092626i,-0.0005188-0.00049638i,-0.00039759-0.00022655i,-0.00015882+0.00022268i,0.00014343+0.00064619i,0.00067855+0.00039241i,0.00057572+0.00041833i,0.0002265+0.00045733i,3.5462e-05-0.00013377i,0.00015385-4.5393e-05i,-0.0002729+1.5487e-05i,-0.00048556+0.00034456i,-0.00035221+0.00081041i,-0.00056562+2.3672e-05i,-0.00085729-0.00040661i
0.00019469-0.00010978i,-0.0018086-0.00044107i,-0.0032634-0.0013702i,-0.0025682-0.0019957i,-0.0015203-0.0010859i,-0.0019812-0.00095599i,-0.0026733-0.0013871i,-0.0019011-0.00069774i,-0.00065981-0.00055206i,-0.00013995-0.00031086i,-0.00040423+0.00028902i,-0.00051894+0.00039363i,-0.00042883+2.0182e-05i,-7.4634e-05-0.00013569i,0.00040734+3.8882e-05i,0.00030503+0.00052645i,6.8907e-05+0.00099094i,-0.00027875+0.00038102i,-0.00057008-0.00038659i,-0.00028432+5.4131e-05i,0.00037117+0.00018198i,0.00058369-6.4676e-05i,0.00054727+5.9844e-05i
-0.0012405+0.0013805i,-0.00060028+0.00068308i,-0.00078408-0.00058934i,-0.0014332-0.0010208i,-0.0016261+0.00018486i,-0.0013695+0.0014136i,-0.00078506+0.0013923i,-0.00022814+0.0016385i,1.6685e-05+0.0017071i,0.00042743+0.0010288i,0.00024182+0.00027875i,-0.0005407-0.00042194i,-0.00040525-0.00017988i,-0.0005406+9.4923e-05i,-0.00095612-0.00036473i,-0.0010047+0.00015947i,-0.00072978-2.7745e-05i,-0.0006076-0.00035351i,-0.00051481-0.00016638i,-6.9144e-05+0.00028572i,-0.00055465+0.00035354i,-0.00032985-0.00032691i,0.00071371-0.00027888i
0.0022764+0.00055013i,0.00027608+0.0001474i,-0.0020605-0.00067775i,-0.0031129-0.00049437i,-0.0023524+0.00040223i,-0.00039682+0.00096184i,0.0013294+0.0013668i,0.0017509+0.0011517i,0.0013893+0.00029636i,0.000685-0.00022221i,0.00013589-0.00012747i,-0.00040365+0.00011377i,-0.00065956+0.00032137i,-1.6114e-05+0.00063832i,-0.00010296+0.00027076i,-0.00024555+3.5523e-05i,0.00033267+0.00040465i,0.00030521+0.00051842i,8.5843e-05+0.00034014i,0.00010792-5.4205e-05i,0.00033178-0.00032669i,0.00039399-0.00027324i,0.00028708-0.00043467i
0.00070525-0.00017999i,0.0011019-0.0017279i,0.0013999-0.0017657i,0.00016505-0.0016981i,-0.00025516-0.0018483i,0.0010229-0.0019188i,0.001739-0.0020775i,0.00064089-0.0017833i,0.00048813-0.0012627i,0.0011663-0.0013256i,0.00085221-0.001146i,-1.1754e-05-0.00089868i,-0.00021188-0.0002472i,1.5365e-05-3.1323e-05i,7.1654e-05-0.00085297i,-0.00060957-0.00080153i,-0.0013369-0.00048015i,-0.00078055+0.0001649i,0.00038045+0.00035678i,2.744e-05+9.4537e-05i,-0.00018779+0.0001539i,0.00075592+0.00036992i,0.00069882-0.00011206i
-0.00016022-0.00027391i,4.1047e-05-0.0011936i,1.8998e-06-0.0019399i,0.00039514-0.0023023i,0.00023561-0.0016472i,-0.00084001-0.0012797i,-0.00079964-0.0011072i,-0.00029993-0.0010935i,-6.5475e-05-0.0015298i,-0.00017943-0.00015299i,0.00019091+0.00038782i,0.00042087-5.6726e-05i,-0.00026812+0.000334i,-0.00048002+0.00019905i,-0.0001933-0.00020327i,-9.9083e-05-0.00024197i,-0.00032555-0.00034334i,-0.00033413-0.00027132i,-0.00031221+0.00043807i,-0.00018699-0.0002422i,-0.0010247-0.001031i,-0.0014966-0.00038286i,-0.00067359+0.0003306i
-0.001429-0.0030594i,-0.0029747-0.0025604i,-0.0036705-0.0023953i,-0.0041321-0.0021519i,-0.0041322-0.00094666i,-0.003671+0.0013103i,-0.0025309+0.0020668i,-0.0012618+0.0017481i,-0.00061693+0.0014039i,-0.0010159+0.0010473i,-0.00069026+0.00063215i,0.00019622+0.00018744i,0.00041479+0.00023498i,-0.00021754+0.00038613i,-0.0012147+0.00023105i,-0.00060195+0.0002259i,0.00052056+0.00017848i,0.00028394+4.4171e-05i,-0.00020282+0.00024303i,-0.00023147+0.00054373i,-0.00069905+5.2711e-05i,-0.00085549-5.3587e-05i,-9.231e-05+0.00047505i
0.00070974-3.5815e-05i,0.00022278+0.00036157i,-0.00047741+0.00063455i,-0.0015542+0.0004409i,-0.0019019+0.00088601i,-0.00068053+0.0020832i,7.3682e-05+0.0024357i,-0.00019403+0.0013785i,0.00037712+0.00027075i,0.0007477-0.00033554i,-0.00023365-0.00033273i,-0.00044509+5.1429e-05i,-0.00045829+0.0003867i,0.00040399+0.00088049i,0.0005244+0.00041482i,-0.00030856-0.00019484i,-0.00078271+0.00057176i,-0.00060467+0.00038596i,-0.00027739+0.00018838i,-0.00086216+0.00050814i,-0.00085699+0.00056486i,6.9838e-05+0.00033024i,0.00070332-2.0545e-05i
-0.0010121+0.00085637i,-0.0017921+0.00095714i,-0.0025566+0.000993i,-0.0017237+0.00015087i,0.00047012+0.00018566i,0.002767+0.00081034i,0.0037873+0.00044473i,0.0025835+0.00025264i,0.001008+0.00033081i,0.0006882+0.00030041i,0.00018677+0.00059424i,-0.00066724+0.00019238i,-0.00069507-0.00091083i,-0.00017035-0.00074247i,-0.00016379+0.00028424i,-0.00040322+0.00046047i,-0.00061783+2.8075e-05i,-0.00016012-0.0004999i,0.00077312-0.0007993i,0.00069916-0.0003895i,0.00030076+0.00026242i,-0.00011391+0.00032876i,-0.0003403-8.8913e-06i
0.0020099+0.001792i,0.0019983-0.00044076i,0.0011609-0.002076i,0.00048559-0.0028556i,0.00095618-0.0025635i,0.0015531-0.0027313i,0.00075154-0.0021111i,7.4862e-05-0.0014067i,8.8103e-05-0.0011728i,0.00031699-0.00060457i,0.00056654+0.00015537i,0.00042167+0.0011426i,0.00011394+0.00087818i,-2.743e-05+0.00058327i,-4.1048e-05+0.00043124i,0.00022666-0.00015456i,0.00059279+2.6362e-05i,0.00081688+0.00042916i,0.00070521+0.0008061i,0.000396+0.00047551i,0.00023234+0.00024693i,0.00083352+0.00030921i,0.00082045+0.00034873i
0.001028-0.00032911i,7.315e-05-0.0019067i,-0.0015867-0.0027659i,-0.0020252-0.0020565i,-0.0017826-0.001996i,-0.0023038-0.0022868i,-0.0019238-0.0017561i,-0.00070339-0.0010878i,-0.0001768-0.00037815i,1.7056e-05+6.5919e-05i,-0.0003425+4.622e-06i,-0.0010973+0.00030488i,-0.00097678+0.00034297i,-0.00048888+0.00023345i,-0.00021671+0.00036831i,0.00016353-0.00053944i,0.00061936-0.0012223i,0.00075382+0.00012664i,0.00023663+0.00091283i,-0.00059378+0.00068038i,-0.00065855+0.00014621i,-7.6121e-05-0.00034162i,9.9179e-06-0.00037426i
-0.0014283-4.5951e-05i,-0.0011445-6.9949e-05i,-0.0013574-0.00039667i,-0.0021673+3.7391e-05i,-0.0020822+0.00039281i,-0.00051629+0.00070928i,-1.6859e-05+0.001517i,-0.00016523+0.0010151i,0.00043495+0.00057973i,0.00081712+0.00083795i,0.0010066+0.00095308i,0.0010413+0.00029744i,0.00074942-0.00022352i,1.6324e-07-0.00012541i,-0.00047572+6.8846e-05i,-0.00057506-0.00026309i,-0.00022911-0.00051644i,8.7561e-05+0.00010602i,-1.5084e-05+0.00065284i,0.00014449+0.00036474i,0.00031067+0.00040076i,0.00066969+0.00038973i,0.00055764-7.0762e-05i
-0.0015033-0.00021441i,-0.0013293+0.00032322i,-0.0011564+5.1563e-05i,-0.00094092-0.00019459i,-0.00050793+0.00088831i,0.0014626+0.0013046i,0.0032604+0.00074942i,0.0024653+0.00011937i,0.0014764-0.00062572i,0.00038545-0.0005634i,-0.00018033-0.00036717i,0.0006342-0.0010531i,0.00020689-0.0011956i,-0.00089052-0.00053591i,-0.00055442+0.00024243i,0.00022222+0.0013344i,0.00032938+0.0010924i,-3.8613e-05+7.1817e-05i,-7.8534e-05-0.00044131i,0.0001064-0.00087321i,0.00068938-0.00094162i,0.00048449-0.00041942i,4.5616e-05-0.00023506i
0.002629+0.0016815i,0.0016644+0.00041242i,-6.0948e-05-0.0017133i,-0.0011375-0.0020309i,-0.00067375-0.0012883i,0.00029561-0.0015527i,0.0010323-0.0015059i,0.0012389-0.0013738i,0.00066224-0.0016295i,-0.0004929-0.0013171i,-0.0010491-0.0004214i,-0.00067245+0.00013544i,-0.00040588-7.1113e-05i,-0.00018423-0.00014516i,0.00017586-0.00015154i,-7.1594e-05-3.3816e-05i,-0.00033044-0.00012719i,0.00017502-0.00029718i,0.00047603+0.00024178i,0.00019076+0.00026721i,0.00033607+0.00018584i,0.00012034-0.00024522i,-0.00052277-0.00025646i
-0.00017559-0.0028383i,-0.0017527-0.0036529i,-0.0029995-0.0039599i,-0.003169-0.0028087i,-0.0031238-0.0017214i,-0.0031236-0.0017269i,-0.0018157-0.0021814i,-0.00069007-0.0025253i,-0.00010248-0.0021409i,6.6567e-05-0.00099047i,0.00019908-0.00011756i,0.0005148+0.00069421i,0.00053048+0.00089184i,0.0006936+0.00018017i,0.00062608-0.00011366i,-0.00077282+1.7843e-05i,-0.0014843+0.00011942i,-0.0001849-0.00010525i,0.00027069-0.00067249i,9.179e-05-0.00047724i,0.00038801+0.00053351i,-0.00020016+5.3018e-05i,-0.00057151-0.0010488i
0.0017609-0.0012139i,-0.00026587-0.0018134i,-0.0018699-0.0018707i,-0.0015371-0.0021685i,-0.0015804-0.001654i,-0.0021527-0.00033264i,-0.001915+0.00072976i,-0.001363+0.00049944i,-6.927e-05-0.00013808i,0.00079972-0.00068522i,0.001283-0.0003371i,0.00076217-0.0001871i,1.0245e-06-0.00023161i,9.0205e-05+0.0005906i,9.6982e-05+0.00095754i,-8.3288e-05+0.00072416i,-0.00057783+0.00057466i,-0.00086499+0.00052505i,-0.00032532+0.00055073i,-6.6056e-05+0.00014399i,-0.00031511+9.5826e-06i,-0.00019078+0.00076423i,-0.00028553+0.00053236i
-4.2102e-05-0.0026453i,-0.001023-0.0018465i,-0.0024194-0.002341i,-0.0032879-0.0010564i,-0.0036096+0.0021865i,-0.0022018+0.0031956i,0.00017745+0.0023521i,0.001134+0.00078893i,0.0010162-0.00045066i,0.00091147-0.00032236i,0.0002699-0.00035341i,-0.00011355-0.00082747i,0.00021858-0.00087497i,0.00051241-0.00055233i,0.00067458-0.00049055i,0.00029641-0.00080504i,-9.7111e-06-0.00044312i,0.00037052+0.00018002i,0.00064481+0.00025067i,0.00069567+0.00013927i,-0.00021754-0.00032394i,-0.00043178-0.00059902i,1.2876e-05-0.00071009i
