-0.0023213-0.0001816i,-0.0019121-0.0023235i,-0.0012736-0.001195i,-0.00031484+0.00087287i,-0.00012766+0.0019605i,0.00046586+0.0012471i,0.00069286+0.00046808i,0.0013146+0.0014126i,0.0021022+0.0021529i,0.0015076+0.0015165i,0.00092436-2.3536e-05i,0.00069527-0.0006827i,-0.00066595-0.00084919i,-0.00077795-0.0011913i,-0.00047336-0.0011256i,-0.00029058-0.00017289i,-2.6062e-06+0.00043621i,-7.5663e-05-0.00019285i,0.00020357-0.0008652i,0.00017127-0.00079029i,0.00018289-0.00030165i,0.00097821-0.00027051i,0.00047933-7.4386e-05i
0.00082693-0.00014791i,0.0011511+0.00010672i,0.0017509-0.00042972i,0.0017391-0.0016834i,0.0011723-0.0020658i,-0.00015749-0.00086676i,-0.0010033+0.0012031i,0.00021004+0.0020939i,0.0011778+0.0011812i,0.0015845-0.00040009i,0.0014316-0.00081182i,0.00077932-5.8689e-05i,-4.061e-05-8.2848e-05i,5.994e-05-0.00074084i,0.00060897-0.00071521i,0.00034063-0.00032612i,-0.00044704-6.0701e-05i,-0.0011735-7.4606e-05i,-0.00078523+0.00031368i,4.7921e-05-0.00010048i,6.4893e-05-0.0014359i,0.00018297-0.0015335i,0.00055363-0.00092582i
-0.00051584+0.00067495i,-0.000154+0.0013942i,0.00029668+0.00051811i,0.00059013-0.00053519i,0.00083196-0.001525i,0.00053805-0.0018661i,0.00018519-0.00019115i,0.00075755+0.0013612i,0.0017501+0.0014393i,0.0014736+0.00063516i,0.00064669-0.00039982i,-0.00023385-0.00046067i,-0.00079296-0.00070296i,-0.00056736-0.00085297i,-1.3454e-05-0.00057466i,-0.00050696-0.00038077i,-0.0010081+0.0001177i,-0.00064006+6.1515e-05i,-4.312e-05+0.00013779i,0.00014248+0.00068368i,0.0003925+0.0003704i,0.00068533-0.00028383i,0.00012448-1.9001e-05i
-4.7723e-05+0.00089595i,0.00027771+0.0010375i,0.00037115+0.0009306i,0.0017548+0.00052934i,0.0027192+0.00041006i,0.0016914+3.7401e-05i,0.00033134+0.00067299i,0.00044867+0.0015646i,0.0012909+0.001504i,0.0015618+0.0013893i,0.0011854+0.00093306i,0.00077244-0.00016287i,0.00038817-0.00040146i,-0.00030669-0.00035658i,-0.00048997-0.00046763i,-3.313e-05-0.00056978i,-3.9934e-06-0.00082888i,-0.00023478-0.00095435i,-9.5026e-06-0.0011151i,0.00018001-0.00089837i,4.9067e-05-0.000293i,0.00025669-0.00049779i,0.00067437-0.00056849i
0.00046337-4.4183e-05i,-0.0005391+0.00035351i,-0.0013804+0.00025582i,-0.00043403-0.00061843i,0.00056308-0.0017767i,-0.00066804-0.0021764i,-0.00056046-0.00098726i,0.00059448+0.00030031i,0.0011662+0.00089166i,0.00086575+0.00027799i,0.00034-0.00053408i,0.0008658-0.00068034i,0.00099833-0.00074988i,0.00051039-0.00016635i,-2.2393e-05+0.00018259i,-0.0007149+1.7571e-05i,-0.001084-0.00010574i,-0.001418-9.9806e-05i,-0.0011253+0.00021388i,-0.00052096-0.00019589i,-0.00025674-0.00095109i,7.4304e-05-0.0010088i,-0.00016247-0.00057558i
0.00038072-4.7552e-06i,0.00045115-3.249e-05i,0.001157+0.00038383i,0.0021493+0.00049015i,0.002022+0.00052709i,0.0010733+0.0010164i,0.00031159+0.0018058i,0.00044327+0.0018855i,0.00089578+0.00080655i,0.0011053-0.00026171i,0.0011732-0.00051336i,0.00044025-0.00035163i,-0.00032327-0.00055707i,-0.00092746-0.0009298i,-0.0010748-7.5622e-05i,-0.00055505+0.0004483i,0.00067401-0.00021765i,0.0007847-0.00079997i,0.00010486-0.00084876i,0.00032974-0.00065973i,0.00010157-0.00076259i,0.00018527-0.00075578i,0.00020682-0.00058967i
0.0011828-0.0006314i,0.0008243-9.2667e-05i,0.0010852+5.4793e-06i,0.001434-0.00047211i,0.00026984-0.0018i,-0.0010107-0.0019544i,-0.00072906-0.0002015i,0.00040508+0.0017699i,0.001826+0.0019459i,0.0020718+0.00078002i,0.00097267-0.00020403i,9.3606e-05-0.00071085i,-0.00059601-0.0011783i,-0.00069193-0.00055603i,-0.00017677+0.00026209i,-0.00028536+0.00020551i,-0.00020048+0.00039774i,0.00025732+2.3501e-05i,0.00042004-0.00035073i,0.00011377-6.2886e-05i,-0.00026446-0.00055721i,0.00012515-0.00012069i,-0.000302+0.00054132i
-0.00050151+2.948e-05i,-0.0013173+0.00091884i,-0.001509+0.00097354i,-0.0006367+0.00043155i,0.00028401-1.2692e-05i,0.00093119-0.00014516i,0.00086693+0.00057889i,0.00070887+0.00143i,0.0014158+0.0017762i,0.0013725+0.0011839i,0.00061045+2.1896e-05i,-1.7612e-05-0.0010342i,-0.00012911-0.001512i,0.00025309-0.00090653i,-0.0004165-0.0010321i,-0.001223-0.00095503i,-0.00024912-0.00038788i,0.00083449+0.00059788i,0.00016373+0.00083399i,0.00013579+0.00023425i,0.00026697-0.00014371i,5.2887e-05-0.0008209i,0.0001894-0.00084221i
0.00067201-0.00095394i,0.0013688-0.00092535i,0.0015945-0.00015095i,0.0009089-0.00023722i,0.00067379-0.0010606i,0.00032331-0.00089581i,0.00010739+0.00056617i,0.0010183+0.0017783i,0.0018892+0.0016026i,0.0011748+0.00042493i,0.00056025-0.0003033i,0.0010018-0.00012987i,0.00085504+0.00053513i,0.00048499+0.00011112i,1.1933e-05-0.0010637i,-0.00026357-0.0014719i,-0.00016637-0.001388i,0.000602-0.0018351i,0.00078885-0.0012169i,0.00022349+6.7414e-05i,-0.00020918+0.00011081i,-0.00032249-0.00017227i,-0.0003016-0.00040566i
0.00062239+0.00033924i,0.0019861+0.00029361i,0.0016782+0.00035493i,0.0012244+0.00018954i,0.0015711-0.0011265i,0.00082756-0.0015755i,-0.00022481-0.00064135i,0.00015097+0.00025729i,0.00063574+0.0004808i,0.00029507+9.6878e-05i,0.00037431+0.00044943i,0.00059149+0.00072533i,0.0003858+0.00020332i,4.7617e-05-0.0010292i,0.0001904-0.0012781i,-0.0002108-0.00076944i,-6.6122e-05-0.0006976i,2.3747e-05-0.00020655i,-0.0003175-4.4421e-05i,-0.00036559-0.00060334i,-0.00058006-0.00094663i,-0.00064333-6.0318e-05i,-0.00072226+0.00030944i
0.0001486-0.00032934i,-0.00097485+0.00034801i,-0.0017264+0.00012454i,-0.00025458-0.00068979i,0.00067259-0.0011694i,0.00034515-0.0004105i,0.00042147+0.0010991i,0.00060061+0.0018001i,0.0011819+0.0011521i,0.0017592+0.00029086i,0.00138+3.0835e-05i,0.00033202+8.7239e-05i,0.00019475+0.00042223i,0.00066229+0.0003288i,0.00063516-0.00091437i,0.0004937-0.0015429i,0.00010383-0.00079433i,-7.5479e-05-0.00054698i,0.00042625-0.0004619i,0.00018642+0.0002129i,-0.00048835-0.00038431i,-0.0007987-0.0011358i,-0.0006762-0.00074623i
-0.00048362+0.00019855i,-0.00075107-0.0010145i,-4.9044e-05-0.0011463i,0.00047487-0.00056614i,0.00055175-0.0011842i,-0.00010162-0.0015212i,-0.00054354-0.0005336i,5.5371e-05+0.00064593i,0.0011403+0.00078527i,0.0011054+0.00070862i,0.00033001+0.00077156i,-0.00017308+0.00075306i,-0.00011822+6.0207e-05i,3.1885e-07-0.00078669i,-8.7948e-07-0.00074747i,1.0254e-05-0.00069003i,-0.00021688-0.00042127i,-0.00051406+0.00040894i,-0.00026401+0.00069857i,0.00060203+0.00053858i,0.00095296+0.0003337i,0.00017982-3.4374e-06i,-0.00069061+0.00011087i
0.0002553+0.0020186i,0.0016192+0.0015081i,0.0028516+0.0023279i,0.0030836+0.0020089i,0.0028752-0.00076246i,0.0014432-0.0020789i,9.766e-05-0.00015639i,0.00025791+0.0018021i,0.0012372+0.0021015i,0.0020672+0.0014237i,0.0016903-2.3166e-06i,0.00047648-0.0010076i,-0.00032743-0.00044537i,-0.00045676+2.0684e-05i,-0.00051155-0.0005803i,-0.00084752-0.00080096i,-0.00057327+7.9343e-05i,0.00016956+0.00047537i,0.00022359+0.00013958i,2.7815e-05-0.0001424i,2.4501e-05-0.00098266i,0.00068027-0.0017202i,0.00079632-0.001549i
-0.00094795-0.00086527i,-0.00017871-0.0010035i,-0.0001524-0.00097461i,0.0011406-0.0011548i,0.0019252-0.00075081i,0.0013751-0.0009838i,0.0012153-0.00021665i,0.0013859+0.0014388i,0.001367+0.0020832i,0.0015479+0.0013229i,0.0018794+3.1567e-05i,0.0012136-0.00032628i,0.00037659-0.00064783i,0.00040583-0.0016674i,-0.00017151-0.0013468i,-0.0008386-0.0012701i,-0.0004513-0.00087839i,-0.00033441+0.00025569i,9.2711e-05+0.00093556i,0.00052129+0.00066176i,0.0010836+5.045e-05i,0.0015122-0.00018488i,0.00092646+0.00019671i
0.00041623+0.00042226i,0.00049827+0.001277i,0.0010005+0.0029516i,0.00057187+0.0028726i,0.00024721-0.00044209i,-0.00086033-0.0013641i,-0.0012968+0.00032079i,0.00038997+0.0016076i,0.0020124+0.001226i,0.0023799+0.00071557i,0.0013624+0.00038829i,0.00097734-0.00038554i,0.00035396-0.00075i,-0.00055822-0.00083352i,-0.0005177-0.001171i,0.00015367-0.00078657i,0.00029586-0.00016044i,-0.00034881-0.00025416i,-0.00015781+0.00025092i,-8.3409e-05+0.00058323i,-0.00043704-0.00010988i,-9.3625e-05-0.0003701i,-6.0519e-05+8.977e-05i
-0.00023362-0.00014549i,-2.5947e-05-7.8475e-05i,-0.00054454-0.00078082i,-0.00089408-0.0013899i,0.00076646-0.0014365i,0.0016315-0.00070977i,0.00095931+0.00060849i,0.0011996+0.0017715i,0.0020911+0.0021032i,0.0021146+0.00094891i,0.0015879+4.8318e-05i,0.00066693-0.00040107i,-5.6973e-05-0.0002908i,0.00016397+5.0846e-05i,0.00073019+4.6913e-05i,0.00045496+0.00028326i,-4.217e-05+0.0002258i,0.00011387+0.00043541i,9.3365e-05+9.4062e-06i,0.00028076-0.00086128i,0.00056362-0.00051711i,0.00025588-0.00030404i,-0.00048634-0.00039522i
0.0012923+0.0013003i,0.001354+0.00096504i,0.001382+0.0011278i,0.0020044+0.001089i,0.0018462-0.00045072i,0.00022449-0.00097883i,-0.00013843+0.00019041i,0.000768+0.0011621i,0.0016455+0.00072307i,0.001878+0.0002858i,0.00076594+6.3371e-05i,-0.00016592-0.00045533i,8.3789e-05-0.00068889i,0.00064316-0.00084686i,0.00064274-0.00073542i,0.000476-0.00058515i,0.00033228-0.00057979i,0.00029371-0.00054033i,0.00037068-0.0005376i,0.00027774-0.00030489i,-0.00013548-0.00099082i,-0.00028724-0.0016832i,-7.9955e-05-0.00050792i
-0.00073845+0.00016295i,-0.00055275+0.00045132i,0.00061336-0.00016897i,0.00092703-0.00085586i,0.00090907-0.0019042i,0.00045638-0.0016152i,0.00020379+0.00015904i,0.00045104+0.001773i,0.00036852+0.0013149i,0.00049439+3.2866e-05i,0.00066181-0.00011324i,0.00073504-1.188e-07i,0.00060269-0.00015111i,0.0004266-1.229e-05i,0.00021317+0.0001405i,-0.00018794+0.00011293i,-0.00092472-0.00012057i,-0.00096822-0.00027727i,-0.00048172-0.00035042i,0.00036117-4.0254e-05i,0.001157-4.6982e-05i,0.00079891-0.00082105i,0.00042086-0.0011164i
-9.3984e-05-0.00042854i,0.00045261+0.00012654i,0.00026725+0.00031449i,0.00091738-4.8045e-05i,0.0010908+0.00034469i,-1.5977e-05+0.00027201i,-0.0005603-9.1685e-05i,0.00032225+0.00056001i,0.00178+0.00092679i,0.0024258+0.00025026i,0.0017427+0.00061676i,0.00079576+0.00075924i,0.00020216+0.0006016i,-0.00010942+0.00028263i,0.00034197-0.00074051i,8.8157e-05-0.00080854i,-0.00014288-0.0010155i,0.00022129-0.0015005i,0.00044184-0.0014588i,0.0013541-0.0011712i,0.0014569-0.0010916i,0.00069453-0.00051819i,0.00047294-0.00064818i
0.0011688+0.00064995i,-0.00023718-0.00064145i,-0.00018488-0.00074683i,0.00086579-0.00048216i,0.0020329-0.0015216i,0.0014391-0.0015893i,-0.00016045+0.00061549i,4.5408e-05+0.0018154i,0.0010325+0.0015799i,0.00089251+0.00055446i,-3.3094e-05-0.00014312i,-0.00074306-0.00070617i,5.9834e-05-0.00077227i,0.00086658-0.0002939i,0.00025354-0.00040495i,-0.000191+2.5009e-05i,-0.00024911+8.6709e-05i,0.00027368-0.00043914i,0.00098099-0.00029093i,0.00091367+6.9361e-05i,0.00049417+0.00023401i,0.00049275-4.8103e-05i,0.00069001-0.00032014i
-0.0012968+0.00015403i,2.7888e-05-5.0011e-05i,-0.00015625+0.00091991i,-0.00043474+0.00015001i,-0.00025104-0.0006539i,-0.00048195+0.00076044i,0.00015502+0.0016184i,0.00044931+0.0015188i,0.00095292+0.0013514i,0.0010879+0.00035859i,0.00039747-0.00030117i,0.00057164-0.00029116i,0.00057358+7.6392e-05i,0.00031242-0.0005826i,0.00015044-0.0012828i,-0.00012709-0.0010357i,1.0715e-05-0.00080988i,-9.7362e-06+7.6842e-05i,-0.00041028+0.00052274i,-0.00017927-0.0002334i,0.00022595-0.00032105i,0.00063121+0.00021786i,0.0004653-0.00020374i
0.00081595+0.00057321i,8.6657e-05+0.0011573i,0.00029001+0.00099967i,0.00065072+0.00093726i,0.0010975+0.001035i,0.0009086+0.00040819i,4.5119e-05+0.00049549i,-0.00039311+0.001619i,0.00046372+0.0020151i,0.0013838+0.0006721i,0.0019485-0.00063196i,0.0015019-0.00050949i,0.00030255-0.00032891i,-0.00019131-0.0010386i,4.4507e-05-0.0013811i,-0.00022584-0.00077603i,-0.00073684-0.00023779i,-0.00066465+0.00022867i,0.00020273-9.1964e-05i,0.00086473-0.00073662i,0.00052595-0.00071158i,-2.3291e-05-0.00055789i,-6.0035e-05-0.00068231i
0.00024728-0.00013048i,0.00069217-0.00016701i,0.0015184-0.00047655i,0.0030321-0.0014229i,0.0029329-0.0015989i,0.0015537-0.00113i,-0.00061858-0.00029043i,-0.00097155+0.00055914i,0.00037315+0.00090117i,0.00084031+0.00081167i,0.00043535+0.00077497i,7.5963e-05+0.00026719i,0.00017632-0.00037475i,-0.00022866-0.00060455i,-0.00051969-1.4396e-05i,-0.00053866+0.00078603i,-0.00059408+0.00091631i,-0.00048255-4.9068e-05i,-0.00013864-0.00092361i,0.00014439-0.0009683i,0.00026723-0.00078066i,4.36e-05-0.00034078i,-0.00061077-0.00022114i
-0.00028158-1.7229e-05i,0.00031272+9.9479e-05i,-0.00077539+0.0015825i,-0.0016432+0.0011381i,-0.0010606-0.00056042i,-0.00013813-0.00070822i,-2.9863e-05-1.3749e-06i,7.1707e-05+0.0011437i,0.00083391+0.0011652i,0.0010442+0.00016126i,0.00097361-0.00030877i,0.00070957-0.00044201i,-0.00015416-0.00068326i,-0.00042794-0.00091356i,2.2015e-05-0.00093481i,-0.00048125-0.00084479i,-0.00073996-0.00095853i,-0.00060909-0.0012302i,-0.00037071-0.00075808i,0.00038378-0.00012671i,0.00095329-0.0001114i,0.00063356-7.6712e-05i,3.1569e-05-0.00039392i
-0.00080879-0.00036644i,0.00011526+0.001257i,0.00093914+0.00205i,0.0017926+0.001639i,0.0014875+0.00082249i,0.00041759+0.00044485i,0.00012285+0.0009224i,0.00085877+0.0015096i,0.0018342+0.0024654i,0.0014495+0.0023187i,0.00045068+0.0009441i,0.0001147-0.00027344i,0.00019747-0.0015853i,-0.00011104-0.001748i,-0.00093825-0.0013566i,-0.0011151-0.0013343i,-0.00058218-0.00078929i,-0.00079226-0.00015148i,-0.0008768-0.00018109i,-0.00032669-0.00084624i,0.00049835-0.00091925i,0.00039679-0.00070273i,0.00031107-0.00089915i
-0.00056226-0.00062877i,-0.0011714-0.0013125i,-0.0016143-0.0012836i,-0.00072999-0.001128i,0.00023885-0.00090333i,-0.00017635-0.00088346i,0.00017454-0.0004059i,0.0012541+0.0010578i,0.0016794+0.0017242i,0.0010964+0.001425i,0.00013159+0.00060806i,-0.00019814+6.3959e-06i,0.00022886-0.00017945i,0.0005155-0.00052272i,0.00071216-0.0008628i,0.00016636-0.0010914i,-0.00093337-0.00060595i,-0.00048258+0.00077094i,0.00033419+0.00086979i,0.00026159+0.00014755i,0.00017697+1.5366e-05i,0.00066397-0.00038699i,-0.00013736-0.00046091i
0.0017853+0.00051631i,0.0030472+0.0001538i,0.0030084+0.00043758i,0.0021227+0.00083189i,0.0013953+0.00045231i,0.00074217+0.00012865i,0.00017358+0.00095395i,0.00018266+0.002093i,0.00079658+0.0016875i,0.00098939+0.0010024i,0.00045609+0.00045676i,0.00037003+0.00016075i,0.00039901+0.00032117i,0.00025891-0.00024556i,3.0163e-05-0.0011265i,0.0001621-0.00096413i,0.00056752-0.00056177i,0.00062947-0.00024609i,0.0008417+0.00027625i,0.00076902+0.000845i,0.0003861+6.8444e-05i,-0.00044721-0.00093745i,-0.0014682-0.00045218i
-0.00027596+0.0007905i,-0.00069307+0.00088116i,0.0001594+0.0007154i,5.5344e-05+0.00076914i,-0.001008-0.00054734i,-0.0020482-0.0013715i,-0.0013935+0.00038345i,0.00015802+0.0016624i,0.0011913+0.0010005i,0.0016823+0.00041053i,0.00042004+6.7036e-05i,-0.00028645-0.00070857i,-0.00061392-0.00036831i,-0.001104+0.00056949i,-0.00092375+0.00079552i,-0.00036085+0.00099544i,0.00042655+0.00075285i,0.0010532+7.5006e-06i,0.00081565-0.00029623i,1.2492e-05-0.00076404i,0.00026886-0.0007817i,-2.5698e-05-3.6564e-05i,-0.00040398+0.00024166i
0.001075-0.00034063i,0.00048009-0.00077397i,0.0011713-0.0013527i,0.0014286+5.6958e-05i,0.00046148+0.00053691i,0.00023023+3.1093e-05i,-9.3153e-05+0.00043397i,0.00036489+0.0010392i,0.00097039+0.0013584i,0.0011041+0.00031352i,0.00059045-0.00012573i,0.00029737+0.0002301i,0.00025208+0.00051503i,-0.00018254+0.00018932i,-0.00029286-0.0007008i,0.00014923-0.00093391i,0.00052117-0.00083514i,0.00070027-0.00060138i,0.00047306-3.456e-05i,0.00034098+0.00014431i,-0.00021523+0.00013449i,-0.00046632-0.00015463i,-0.0001061-0.00047891i
