-0.00074399+0.00058248i,0.00076796+0.0016513i,-1.7059e-05+0.0028896i,-0.0023948+0.002874i,-0.002448+0.0013292i,-0.0016873-9.6219e-05i,-0.00099972-0.00036023i,0.00023871-0.00067394i,0.00030669-0.0010891i,-0.0005502-0.00063818i,-0.00048553+0.00031287i,0.00013812+0.00025974i,0.00022036-0.00018854i,-6.4378e-05-0.00029233i,-0.00032624-0.0004284i,-0.00040724-0.000311i,0.00010734-7.9256e-05i,0.00080447-4.5651e-05i,0.00070766+0.00014912i,-0.0001873-9.6659e-05i,-0.00051176+0.00017342i,-7.9813e-05+0.0007005i,0.00012436+0.00067206i
-0.00015968-0.0011096i,-0.00018437-0.0012389i,-0.00032979-0.00043662i,-0.00040601+0.00026188i,-0.00050188+0.00010253i,-0.00077918-5.7071e-05i,-0.00036215+8.2581e-05i,-0.00014467-0.00028463i,-0.00014212-0.00069138i,0.00034008+0.00034221i,-7.5391e-05+0.00088134i,-0.00010851-0.00013394i,0.00014998-0.0011384i,-0.00012366-0.0014717i,-0.00060237-0.0011639i,-0.00056002-0.00068922i,-0.00045662-0.00044118i,-0.00014876+1.2863e-05i,0.00045409-1.6856e-05i,0.00030763+0.00019613i,-0.00022051+0.00065318i,-0.00033427+2.0647e-05i,-4.1289e-05-0.00043505i
-0.00082129+0.00023061i,-0.00012249+0.00097455i,0.00028653+0.0030287i,0.00036977+0.0029139i,-0.00014508+0.0015754i,-0.0014509+0.000841i,-0.0015137+0.001071i,-0.00075289+0.00050825i,-0.00014842-0.00045551i,0.0001016-0.00077365i,-8.4273e-05-0.00072058i,-0.00024954-7.9974e-05i,-0.00030243+0.00098648i,-0.00091902+0.0011161i,-0.00079375+0.00018089i,-0.0001784+6.536e-06i,-0.00020315+0.00032559i,0.00018642+9.0022e-05i,0.00031302+3.5421e-05i,7.8772e-05+0.0010686i,-0.00030496+0.0015984i,-0.00080711+0.00088447i,-0.00084216+0.0001375i
0.00099458+3.2124e-06i,-0.00041555-0.00070088i,-0.00022668-0.00051887i,-0.00022796+0.00012594i,-0.00068476-0.00030459i,-0.0010065-0.00043023i,-0.0009967+0.0002132i,-0.00040303+5.112e-05i,-0.00027666+4.8498e-06i,-0.00011031+0.00031858i,0.00060481+0.00043243i,0.00061348+0.00058885i,0.00036461+0.0003033i,0.00050347+0.00041072i,0.00058904+0.00063054i,0.00032987+0.00060926i,-0.00036889+0.00070613i,-0.00061355+0.00078511i,-0.00017581+9.7593e-05i,0.00033701-0.00039004i,0.00023388+7.4655e-05i,-0.00024593+0.00060439i,-0.00060001+0.00030969i
-0.0013251+0.0018638i,-0.00077393+0.0027284i,0.0002427+0.0041124i,-0.00092891+0.0047207i,-0.0015262+0.0029892i,-0.0012194+0.00053238i,-0.0008727-0.00052336i,-0.00030032-0.00094761i,-0.00020562-0.00041721i,0.00013109+0.00015681i,0.00039496+0.00036449i,0.00010763+0.00014726i,-5.7436e-05-0.00016025i,-0.00035216+1.7657e-05i,-0.00036956+0.00026719i,-0.00038476+0.00034564i,-0.00017517+8.7731e-05i,0.00019084-0.00010665i,-0.00023397+4.2393e-05i,-0.00045267+0.00020976i,-0.00031472-0.00012807i,-0.00015723-0.0001987i,-0.00054237-6.1435e-05i
-0.00047006-0.00039896i,-0.00026915+0.00010768i,-0.00097701+0.0014105i,-0.0018639+0.0016817i,-0.0022071+0.00051483i,-0.0017652+0.0001303i,-0.00093176+0.00086945i,-0.00047643+5.0308e-05i,-0.00037638-0.000883i,-0.00048728+0.00024158i,0.0001921+8.939e-05i,0.0010829-0.00041309i,0.00075865-0.00013203i,0.00041911-0.00060306i,-4.9994e-05-0.00086249i,-0.00035968-0.00068829i,0.0002518-0.00018923i,0.0004711+0.00044449i,0.00065621+7.5443e-05i,0.0016774-0.00055962i,0.0018409-0.00038308i,0.0010549+2.9798e-06i,0.00087032+0.00013044i
0.0003657+0.0013805i,0.00041039+0.001387i,0.001287+0.0016228i,0.0021432+0.00085764i,0.0017167+0.00034821i,-0.00024159+3.4817e-05i,-0.0013349+0.00032301i,-0.0011936+0.00054941i,-0.0013994+0.0007643i,-0.0012694+0.00088248i,0.00015286+0.00020023i,0.00049956-0.00066449i,-0.00053854-0.00092831i,-0.0013314-0.00088544i,-0.0007609-0.0001578i,0.00021215-7.6242e-05i,0.0001416-0.00055928i,0.00024925-0.00040635i,0.00022375-0.00033254i,-0.00012658-0.0004523i,-0.00035506-0.00036304i,-0.00019494-0.00012755i,0.00024259-0.00022476i
0.001515-0.0011283i,0.0010805-0.00050707i,-9.2604e-06-0.00027552i,-0.00056946+0.00026628i,-0.0015654-0.00023332i,-0.0024602-0.0011344i,-0.0013423-0.001523i,0.00056362-0.0011435i,0.00038404-0.00011393i,-8.3063e-05+0.00049453i,0.00070282+0.00030338i,0.000623+8.7314e-05i,6.4939e-05+5.9268e-05i,-9.3166e-05-0.0002003i,0.00030484-0.00016222i,0.00024204-9.5111e-05i,0.00017712-0.00072463i,0.00057116-0.00056081i,0.00074174+0.00019036i,8.6682e-05+0.00054044i,6.1339e-05-6.2432e-05i,0.00052604+0.00012366i,7.85e-05+0.0012566i
0.00079561-0.0007662i,0.002538+0.00035746i,0.0018679+0.001969i,0.00074991+0.0031232i,8.1633e-06+0.00161i,-0.0010025+0.00032877i,-0.0012613-0.00024301i,-0.00067284-0.00046206i,-0.0004182+8.4097e-05i,-0.00041392+0.00018362i,0.00017566+0.00043464i,0.00062581+0.00054564i,-0.00055935+0.00036011i,-0.0014817-0.00081622i,-0.00071308-0.0016701i,-7.6597e-05-0.001317i,-0.00055846-0.0010691i,4.7482e-06-0.00054853i,0.0006615+0.00042658i,0.00049083+0.00064899i,0.00065581+0.00010588i,0.00083009-0.00020662i,0.00055307+0.00023545i
-0.0022108+0.00070345i,-0.0023329+0.0018189i,-0.0023012+0.0025554i,-0.001637+0.0019727i,-0.0012544+0.00094307i,-0.001025-0.00046502i,-0.00057772-0.0014281i,-0.00045173-0.0013238i,-0.00027523-0.0012294i,-0.00033172-0.0006144i,0.00048005+0.00040303i,0.0013663+0.00043827i,0.001286+0.0002745i,0.00056206+0.00048124i,-0.0004388+0.0002437i,-0.0003564-0.00018739i,-0.00045177-0.00034724i,-0.00031998-0.00021343i,0.00027474-0.00021046i,0.00075371-0.00033063i,0.0011195-0.00011361i,0.00063758+0.00042905i,0.00021193+0.00069613i
