-0.00096847+0.00039198i,0.00042337-0.00062614i,0.00065498-4.9004e-05i,0.00050988+0.00077971i,0.00028425+0.00037719i,-0.00025528+0.00030054i,-0.0015187+0.00083606i,-0.0010566+0.0014909i,0.00010775+0.0011982i,0.00012121+0.00035032i,0.00075476-0.00012591i,0.00051486+0.00035359i,-0.00035009+0.00081751i,-0.00013246+0.00013997i,0.00032623-0.00089891i,0.00037073-0.00055638i,0.0003017+0.00074051i,0.00031672+0.00068486i,0.00041351+0.00027616i,0.00047521+0.0004286i,-6.1926e-05+0.00084964i,-0.0010029+0.00069923i,-0.001126-0.00062765i
0.00050562-0.0018552i,0.00086439-0.0010296i,0.0012116+0.0001305i,0.001199+0.0007627i,0.00056192+0.0011583i,0.00079548+0.00047982i,0.00021245+0.00070199i,-0.00070783+0.0012967i,-0.00064355+0.00067932i,-0.00016799+0.00033288i,7.2901e-05+0.0002704i,-0.00029356-0.00012339i,-0.00054068-0.00036801i,-0.00018162-0.00014744i,0.00042162-8.9632e-05i,-0.00030762-0.00043137i,-0.00040869-0.00087868i,0.00012649-0.0011744i,4.6449e-05-0.00038714i,-0.00028351+0.00024344i,0.00021156-0.00028207i,0.00057157+9.2928e-05i,-0.00042326+0.00068677i
-0.0014139-2.1937e-05i,-0.0018474+0.00014173i,-0.0013112-8.9526e-05i,0.00030184+0.0011174i,0.0014828+0.0016699i,0.0010627+0.00031742i,-0.00035459-0.00043059i,-0.00097286-0.00034341i,-0.00031548-0.00011243i,0.00031582+0.00036615i,-2.5274e-05+0.00063121i,0.00016601+0.00038384i,0.00016502+0.00056684i,0.00012745-0.00015879i,-0.00022871-0.00068305i,-0.00023169-0.00012647i,0.00016856+0.00012212i,-0.0004472+0.00010692i,-0.00082319-0.00016258i,-0.00036154+0.00014912i,-0.00096223+0.0011618i,-0.0015537+0.00048391i,-2.0943e-05-0.00017402i
0.00064668+0.0011578i,-0.00026191-0.00043048i,0.00091511+0.00014159i,0.0024247+0.0014197i,0.0032993+0.00046168i,0.0014681-0.002087i,-0.0011544-0.0021759i,-0.0014441-0.00053472i,-0.00080749+0.00075981i,0.00046674+0.0008472i,0.00047854-3.4837e-05i,0.00017327+0.0002407i,0.00024766+0.00066916i,-1.9077e-05+0.00053708i,-0.00064081+0.0005838i,-0.00083615+0.00019849i,-0.00054969-0.00011314i,-0.00028228-5.2876e-05i,-0.00021674-0.00062245i,-0.00067161-0.00067279i,-0.00056105-7.6698e-05i,0.00018902+0.00053825i,-0.00010604+0.00039774i
0.00043332+0.00081085i,0.00026989+0.0020852i,0.0001965+0.0023842i,0.00074265+0.0013717i,0.00038493+0.00075823i,-0.00068347+0.00068652i,-0.00037717+0.0006431i,-0.00062395+0.00084005i,-0.00028823+0.0010359i,0.00046858+0.00097998i,0.00027147+0.00040515i,0.00063619-0.00012748i,0.00011247+4.2543e-05i,-0.0010844+9.049e-05i,-0.00084615+0.00058343i,-1.2255e-05+0.00058533i,0.00077748+0.00029862i,0.00048162+0.00059923i,-7.0325e-05+0.00012463i,-6.4508e-05-0.00073316i,-0.00025398-0.00029333i,0.00043081-1.0884e-05i,0.0009944-0.00013068i
-0.001613+0.00079457i,-0.0019428-0.00041285i,-0.001169-0.00093018i,3.7603e-06-0.00070436i,0.00084988-0.00040019i,0.0016446-0.00052718i,0.00079354+0.00034058i,-0.0012591+0.00076057i,-0.0018733+0.00065163i,-0.00095859+0.00075703i,0.00019953+0.00096774i,0.00098023+0.00073223i,0.00083985+0.00044889i,0.00020634+0.00031804i,-0.00046408-0.00020777i,-0.00073117-0.00053579i,-0.00050138-0.00040603i,-0.00020409-0.00020582i,-2.2835e-05+0.00016594i,-0.0002749+0.00089758i,-0.00080999+0.001655i,-0.00018649+0.00079951i,0.00043552-0.00018017i
0.0003572-0.00088903i,0.00084224-0.0011718i,0.0016074+0.00073456i,0.0009774+0.0014806i,0.00049398+2.3227e-05i,-0.00057052-0.0013489i,-0.0019339-0.00085438i,-0.0022576+0.00038818i,-0.0014667+0.00047982i,-0.00018179-8.0707e-05i,0.00033-0.00010264i,-0.00079299-8.1516e-05i,-0.00067265-0.00032419i,-0.00023267-7.6175e-05i,3.0644e-05+0.00079909i,0.00068591+0.00076337i,0.000611-0.00025956i,0.00025523-0.0002146i,0.00024755-0.00053402i,0.00040109-0.00076618i,0.00046887-0.00014085i,-3.3117e-07-6.1882e-05i,-0.00046109+2.5721e-05i
0.00014676-0.00042491i,7.1096e-05+0.00092938i,0.00055715+0.0014045i,0.00084512+0.0013786i,0.00052476+0.0013337i,0.00048097+0.00057805i,-0.00014409-0.00023853i,-0.00094826-0.00017358i,-0.00081182+9.8436e-05i,-0.0005423+0.000409i,-0.00027644+0.00048387i,-0.00059664+0.00061352i,-0.00052517+0.00074583i,-0.00017113+0.00078176i,0.00014367+0.0007854i,0.00021374+0.00015701i,-0.00023284+0.00010876i,0.00021013+0.00074624i,0.00051857+0.00056191i,-0.00026005+0.00021024i,-0.00088483+0.0010561i,-0.00077031+0.0015458i,-0.00024703-2.3299e-05i
8.9038e-05+0.00094592i,-0.00018248+0.0018096i,-0.00020463+0.0026896i,0.0005228+0.002318i,0.0014135+0.001123i,0.0012456+0.00016468i,2.4309e-05-0.00023263i,-0.00029285+0.0002774i,5.717e-05+0.001052i,-0.00038565+0.0013187i,-0.000528+0.00084135i,-0.00059867+0.00016939i,-0.00070006+0.00041066i,-0.00054175+0.00022032i,-0.00032356-0.0004997i,-0.00067922-0.00052904i,-0.00059416+5.2799e-05i,-0.0005332+0.00023083i,-0.00029385-5.5897e-05i,1.3182e-05+0.00011634i,3.013e-05-0.00021124i,0.00022735-0.00049869i,0.00042797+0.00014486i
-0.00095373-0.00078684i,-0.0010711-0.0014558i,-0.00096594-0.00072282i,0.00025871+0.00059313i,0.0010089+0.00030479i,0.0010396-0.00069988i,-0.00042198-0.00093914i,-0.0018278-0.00016811i,-0.0014886+0.0004499i,-0.00016377-0.00010702i,0.00067847-0.0004543i,5.9832e-05-0.00023649i,-0.00019057-0.00072664i,-0.00042606-0.00051623i,-0.00031427-2.3816e-05i,-0.00035937+0.00034166i,-0.00072573+0.00022001i,-0.00028358+0.0001611i,-0.00020668+0.00057949i,-0.00051757+0.00059569i,-0.00048798+0.00079968i,-0.00043057+0.00019338i,-5.7974e-05-0.00019545i
0.001033-0.00025764i,-0.00017464+0.00054784i,-0.00042711+0.0012095i,-0.00030102+0.0015565i,-0.00028998+0.0016435i,-0.00043479+0.00068409i,-0.00090676-0.00012979i,-0.00088958-0.00029894i,-0.00032147+0.00035124i,8.1353e-05+0.00090445i,4.6716e-05+0.00060523i,-0.00029976-0.00011241i,-0.00036313-6.8192e-05i,-0.00077843+0.00059478i,-0.0012838+0.0013707i,-0.00034767+0.0019777i,-0.00027807+0.0015843i,-0.00068859+7.1281e-05i,0.00048301-0.00063616i,0.00027478-0.0005189i,-0.0006827-0.0011061i,-0.00074902-0.00066561i,0.00013545-0.00013472i
-0.0005868-0.00072006i,0.0008638-0.00038029i,0.0015417+0.00067778i,0.0017067+0.0015197i,0.0014126+0.0010514i,0.00074429-0.00024233i,-0.00035795-0.00044462i,-0.00086989-0.00029749i,-5.8338e-05-0.00010256i,0.00044139+3.6965e-05i,-0.00011519-0.00034379i,-0.00039787-0.0002116i,-7.0397e-05+0.00088607i,6.0495e-05+0.0010918i,-0.00017866+0.00057828i,-0.00014337+0.00027224i,0.00037032-0.00020393i,0.00079957+2.9639e-05i,0.00052817+0.00061779i,0.00010393+0.00015128i,0.00042483-0.00023873i,0.0010876+0.00022459i,0.00078322+0.00067836i
-0.00026007-3.745e-05i,0.00020318-0.00052869i,0.00051912+0.00016068i,0.0012384+0.00043567i,0.0015149-0.00017546i,0.00074706-0.00070628i,-0.00091039-0.00037738i,-0.0019187+0.00017822i,-0.0016582+0.00040503i,-0.00056743+0.00056653i,0.00044204+0.0007289i,0.00054268+0.00042269i,0.0002044-0.0003637i,-0.00034689+3.2405e-05i,-0.00072168+0.00061696i,-0.00030867+0.00046624i,0.00053625-2.9311e-05i,0.00044989+0.00016578i,0.00011248+0.00051861i,0.00050011-0.00010809i,0.00032512-0.00037494i,0.00049512+0.00022596i,0.00045235+0.00029673i
-0.00035272+0.00014429i,-0.00040572+2.2952e-05i,-0.00015222+0.00034739i,0.00038101-6.9035e-05i,0.00077346-0.00048618i,0.00047497-0.0010577i,-0.00015148-0.0011853i,-0.00026843-0.00030052i,0.00010871+0.00057377i,0.00024021+0.00029916i,-5.2665e-05+0.00056614i,-0.00023264+0.00071831i,-0.00086294+0.00041423i,-0.0010818-3.253e-05i,-0.00017953-0.00060713i,0.0008931-0.00036965i,0.0005054+0.00034427i,-0.00023262+0.00089804i,0.00021959+0.00080859i,0.00034802+0.00047884i,0.00028371+0.00015544i,-0.00038228-0.00020812i,-0.00013071+0.00023099i
-0.0010622+0.0012658i,-0.001186+0.0014146i,-0.00095338+0.0017096i,-0.00056958+0.0024419i,0.00029473+0.0020664i,0.00011877+0.00071098i,-0.00032284-0.00072686i,-0.00058953-0.00089576i,-0.00049447-0.00060435i,-0.00034894+8.1472e-05i,-0.00065081+0.0004349i,-0.00018785+0.00014078i,0.00053486+0.00028267i,-9.0999e-07+0.00013487i,-0.00054146-0.00035583i,-0.00063723-0.00056642i,-0.00080708-0.00043796i,-0.00030075-0.00028927i,0.00050649-0.00019133i,0.00034148-0.00019419i,-0.00036133-0.00025743i,-0.00041761-0.0008948i,0.0001225-0.00080953i
-0.00037761-0.00013926i,-9.4667e-06-0.0005707i,0.00031774+0.00041864i,0.0012598+0.0008557i,0.0020549+0.00083243i,-0.00036839+0.00043068i,-0.0026041+0.00028122i,-0.0023974+0.00053292i,-0.0010616+0.00072885i,-0.00032627+2.186e-05i,-0.00050729-0.00031515i,-0.00046331-7.0083e-06i,-0.00051865-0.00066167i,9.6122e-05-0.00050051i,0.0003107+0.00035942i,-0.00011783+0.00089563i,-0.000237+0.0007014i,-0.00053721+0.00048373i,-0.00088816+0.0010732i,-0.0009956+0.00049556i,-0.0011401+0.00015137i,-0.00059893+0.00047997i,-0.0001402+0.00075593i
-3.5142e-05-0.00048575i,0.00093475+0.00046756i,0.00069555+0.0016844i,0.0010201+0.0019788i,0.00074009+0.0016572i,0.00058982+0.00087647i,-0.00026814+0.00025488i,-0.00092296-0.00026065i,-0.0010891-0.00018964i,-0.00094143-0.00012449i,-0.00030896-0.00098155i,-8.8885e-05-0.00084276i,0.00021058+0.00055291i,0.00021934+0.0010362i,-0.00028321-0.00027359i,5.3341e-05-0.0013871i,0.00041429-0.00090628i,0.00014477-0.00016396i,-0.00056147-2.0969e-06i,-0.00078541+3.6894e-05i,-0.0003026+0.0005541i,2.1489e-05+0.00067772i,0.00021249-0.00010645i
-0.00066537+0.00050633i,-3.4382e-05+3.8466e-05i,0.00098186+0.00035666i,0.00098563+0.00055505i,0.00013617+0.0010512i,-0.00039998+0.00077828i,-0.00052573+0.00033664i,-0.00024438+0.00041204i,0.0006079+0.00028061i,0.0010662+0.00013371i,0.00098884+0.00023762i,0.00040134+0.00032295i,2.9772e-05+0.00043568i,-3.1782e-05+0.00064622i,-6.492e-05+0.0006577i,-0.000119+0.0011393i,0.00060999+0.0010368i,0.00076421+0.00057088i,-0.00025085+0.0011467i,-0.00056547+0.00061742i,-0.00036336-0.00013726i,-0.00033925-0.00037249i,-0.00011081-0.00020567i
-0.00073217+0.00087268i,-0.0014819+0.00040925i,-0.0010089+0.001211i,0.0013468+0.0023215i,0.0029752+0.0016918i,0.0018731-0.00037606i,4.9833e-05-0.00095726i,-0.0010534-0.00018627i,-0.0006233+0.00033155i,0.00030384+0.00010383i,-4.9774e-05+0.00014661i,-0.00053695+0.00057459i,-0.00045224+0.000169i,-0.00051313-0.00014569i,-0.00071026-0.00041159i,-0.00033101-0.00022287i,0.0005949+5.9424e-05i,0.0009638+0.00086199i,0.00078242+0.0011299i,0.00077206+0.00063014i,0.00065379+0.00041922i,0.00038821+0.00049003i,0.00044593-6.1896e-05i
0.00059056+0.00021314i,0.0013698+0.00034707i,0.002002+0.00087687i,0.0028897+0.0012595i,0.0035333+0.00028186i,0.0027567-0.00065671i,0.00039789-0.00078928i,-0.0014275-0.0010619i,-0.0010511-0.0011727i,0.00048616-0.00078946i,0.0011097-0.00060672i,-0.0001446-0.00011492i,-0.0007871+0.00065297i,-0.00019678+0.00069697i,-0.00057709+0.00057042i,-0.00069873+0.00062201i,0.00018907+0.00016517i,0.00088013-0.00032545i,0.00077562-9.9269e-05i,-0.00023577+4.1936e-05i,-0.00023419+0.00044154i,0.00047618+0.00049158i,0.00083946+0.00034376i
-0.0003518+0.00053894i,-0.0010047+0.00058307i,0.00018893+0.00082992i,0.0011148+0.0005455i,0.00104-0.0004591i,0.00085596-0.0011535i,-0.00027691-0.0010408i,-0.0013898+0.00012938i,-0.00094074+0.00137i,-0.00023199+0.0011983i,-2.8534e-05+0.00080802i,-0.0008844+0.0010529i,-0.001228+0.0010327i,-0.0002871+0.00075136i,0.00033338+0.00055211i,0.0010602+0.0001422i,0.0012107+5.8486e-05i,0.00090091+0.00013369i,2.2962e-05+0.0003896i,7.6722e-06-0.00013654i,0.00045148-0.00010022i,0.00031735+0.00031089i,0.000616+0.00018069i
-2.7236e-05+0.00013372i,-0.00033576+0.00045558i,7.1244e-06+0.0013574i,0.00036267+0.0019165i,0.00041275+0.0016486i,-0.00015203+0.0010169i,-0.00093534+0.00038822i,-0.00075615+0.00093131i,-3.3547e-05+0.00077841i,-0.00025772-3.0764e-05i,-0.0010489-0.0005375i,-0.0010513-0.00064419i,-0.00087826+0.00052176i,-0.00056282+0.0014852i,-0.00060719+0.00086532i,-0.00089528+0.00045151i,4.2582e-05+9.7005e-06i,0.0012559-0.00044211i,0.00087093-0.00042322i,-5.7625e-05-0.00019424i,-0.00055732-3.974e-05i,0.00050777-0.00028956i,0.00094494+0.00012747i
0.00039446+0.00064715i,-6.7158e-05+0.0011285i,0.00042244+0.0022161i,0.00066552+0.0018423i,0.0013306+0.00013374i,0.00065776-0.0014776i,-0.00070047-0.0016388i,-0.00098981-0.00050054i,-0.001318+0.00056495i,-0.00023973+0.0012865i,0.00088166+0.0016162i,0.00067007+0.00058531i,-6.1168e-05-0.00018766i,-0.00090784-0.0002387i,-0.00080121+0.00046481i,0.00016176+0.00035376i,0.00057226-0.00030756i,-0.00026881+7.1027e-05i,-0.00080458+0.00041685i,-0.00052597+0.00062863i,-0.00051019+0.00053688i,-0.00022294-0.0003902i,-0.00023642-0.00055551i
-0.00060548+0.00017541i,-0.0010319+0.00054266i,-0.00097862+0.00035109i,-1.6975e-05-0.00062596i,0.00064145-0.00090644i,-0.00013366-0.0010959i,-0.00068476-0.00074935i,-0.00074247-0.00024102i,-0.00067768-0.00016209i,-0.00037877+0.000159i,-0.00080904+0.00025276i,-0.00055587+0.00056018i,-0.00031753+0.00073393i,-0.0011048+0.0001069i,-0.00092471-0.00018205i,-0.00014584-7.6943e-05i,9.7108e-05-2.0144e-05i,-0.00045904-0.0001377i,-0.00063789-0.00053644i,-0.00011493-0.00040733i,0.00020966+2.0243e-05i,0.00026774+0.00062322i,-0.00038026+0.00052336i
0.00048053+0.00063706i,0.0014062+0.00036128i,0.0018745+0.0003608i,0.0016388+0.00095668i,0.0010077+0.00043411i,-8.2731e-05-0.00045894i,-0.0015796-0.00049375i,-0.0018596-0.00069954i,-0.0010783+6.701e-05i,-0.00078086+0.00086575i,-0.00062411+0.00077549i,-0.00038166+6.4877e-05i,-0.00014118-0.00081892i,1.6442e-05-0.00084972i,0.00019998-1.6585e-05i,-7.8043e-05+0.00016391i,-0.0003264-8.0107e-05i,0.00024893-0.00024532i,0.0008438-4.435e-06i,0.00037699-0.00053839i,-0.00038479-0.00068197i,-0.00056597+1.5795e-05i,-0.00053204+0.00024924i
0.00038508+0.0011361i,-0.00022714+0.0019473i,0.00096478+0.0019094i,0.0011174+0.0014437i,-0.00024702+0.00085847i,-0.00042052+4.6209e-05i,-0.00050881-9.3481e-05i,-0.00117+0.00072336i,-0.00068598+0.00065579i,0.00046686-9.7237e-05i,0.00046852-0.00024598i,-0.00014864+0.00017733i,-0.00020088+0.00028241i,0.00018321+0.00027802i,-0.00016782-4.2506e-05i,-0.00053141-0.00069505i,-0.00052828-0.00022292i,-0.00013078+0.00067074i,0.00040171+0.00081592i,-5.0394e-05+0.00018277i,-0.00036297+0.00041732i,-0.00037161+0.001277i,-7.782e-06+0.00081914i
-0.0019026-0.00032644i,-0.0019894-7.1143e-05i,-0.0018972+0.00064705i,-0.00017466+0.0018267i,0.0016059+0.002205i,0.0016839+0.00087763i,0.00016092-0.0007583i,-0.0012713-0.0010485i,-0.00077592-3.1201e-05i,0.00032535+0.00076337i,0.0003287+0.00060507i,0.00037262-8.785e-06i,0.00043451-0.00034567i,-8.7338e-06+0.00041771i,-0.00026786+0.0010258i,-0.00076083+0.00054976i,-0.00034185-0.00013489i,0.00075463-0.00024252i,0.00057913+0.00049832i,-0.00010771+0.00031267i,-0.00035756-0.00042773i,-0.00056401-0.00032821i,-0.00064434-4.311e-05i
0.00057426+0.00025383i,0.00058648-0.0002605i,0.001151+0.00041774i,0.0016232+0.00054805i,0.00086129-0.00035828i,-0.00022132-0.0010132i,-0.0010671-0.00074854i,-0.0010345-0.00019319i,-0.00034551-4.1844e-06i,0.00045299+0.00039163i,0.00035978+0.0011083i,-0.00061325+0.00053662i,-0.00068186-0.00062488i,-0.0003139-0.00070544i,0.00015456+0.00019434i,0.00052905+0.00042216i,0.00084146+0.00016147i,0.0010778+0.00062937i,0.00044714+0.00095539i,-5.4554e-05+0.00018213i,0.00013838-0.00048539i,0.00043192-0.00045998i,-0.00014426-0.0005083i
0.00083789+0.0012442i,0.00037706+0.0015645i,-0.00017908+0.00093005i,0.00045368+0.0012995i,0.0014425+0.0014319i,0.00053795+0.00024353i,-0.00054922-0.00086357i,-0.00023541-0.00056629i,6.5606e-05+0.00043909i,0.00025508+0.00010219i,0.0002655-0.00052684i,-3.6735e-05-0.00040332i,-0.00013847-0.00044515i,-0.00050648-0.0010087i,-0.00017048-0.00067409i,0.00028927-2.7312e-05i,0.00061677-7.8991e-05i,0.00099528+0.00030387i,0.0002118-0.00031167i,-3.2398e-06-0.00083722i,0.00071759+2.1675e-05i,0.00086973+0.00040388i,-5.8491e-05+0.00038165i
-0.0011096-0.00094948i,-0.00063851-0.0010359i,-0.00069069-0.00096195i,-0.00019705-0.00050031i,0.00031943+0.000422i,-0.00014068+0.00036836i,-0.00099238-0.00028481i,-0.0015341+0.000205i,-0.00037042+0.00063499i,0.00071994+0.00067988i,0.00056191+0.0006678i,0.00030186+0.00076321i,0.00011911+0.00081698i,0.00086195+7.508e-05i,0.001515-0.00034184i,0.00027151-0.00065366i,-1.9016e-05-0.00052109i,0.00038011+5.1887e-06i,0.00031264+0.00017398i,0.00034451+0.00033885i,0.0005367+0.00068188i,0.00048366+0.00033241i,0.00058875-0.00051873i
0.00074255-0.0016874i,0.00098023-0.0017743i,0.00066056-0.0015612i,0.00045015-0.00063282i,0.00073336+0.00020274i,0.00036609-0.00012008i,-0.0003233-0.00097152i,-0.00046514-0.00082685i,-8.653e-05+0.00049148i,-1.6139e-06+0.0010307i,-0.00030314-2.602e-05i,-0.00074443-0.00066518i,-0.00050948-7.3487e-05i,-0.00025394+8.0693e-06i,-0.00049453-0.00015639i,-0.00052033+0.00011062i,-0.00047857+0.0001453i,-0.00082018-0.00035401i,-0.00055904-0.00028247i,-0.00069023-0.00053365i,-0.00065777-0.00051742i,-0.00027813-4.0602e-05i,-0.00031218-1.1696e-05i
0.00078494+0.00061684i,0.00065593+0.0016625i,0.00047381+0.0017923i,0.0012861+0.0016416i,0.00168+0.0017498i,0.0002821+0.00070139i,-0.0011305-0.00036604i,-0.00084753+0.00022024i,-0.00019878+0.00023025i,0.00030295+8.3725e-05i,0.00026847+0.00027878i,-0.00026839+1.3974e-05i,-0.00034713-7.2825e-05i,-0.00011632+0.0002613i,-0.00025162+0.0003422i,-0.00050426-0.00038153i,-0.00045204-0.00047568i,-0.00060358-0.00010717i,-0.00047761-0.00060599i,6.3866e-06-0.00060589i,-0.00031314-0.00029187i,-0.0006412-0.00020157i,5.6922e-06-4.9165e-05i
