-0.0028514-0.0012952i,-0.0016985-0.0020478i,-0.0019276-0.00031754i,-0.002207+0.0012293i,-0.00097492+0.0018395i,0.00057942+0.0010333i,0.00057836+0.00017502i,-0.00027334+0.00012973i,-0.00017188+2.8682e-05i,0.001051-0.00010033i,0.0017204-0.00017755i,0.0014514-0.00017668i,0.00083093+0.00062802i,0.00039422+0.00054549i,0.00092299-0.00068088i,0.0011928-0.0008569i,0.00034436+6.4533e-05i,0.00058727+0.00052227i,0.00062532-0.00046344i,-0.000312-0.00066016i,-0.00098841+8.1354e-05i,-0.00082222+0.00026351i,0.00028454+1.0478e-05i
-0.0014364-0.00068533i,-0.002022-0.0011738i,-0.0020014-0.0010838i,-0.0011696-0.00047448i,-0.0012055-0.00044401i,-0.0011324-0.00026798i,-0.0006279-0.00027568i,-9.8513e-05-0.00068062i,-2.2807e-05-0.00060183i,-0.00081475-5.4106e-05i,-0.0015743-0.0001145i,-0.0008485-5.6549e-05i,0.00032812+0.00065456i,0.00042904+0.00048204i,0.00046013-0.00037827i,0.000119+0.00014486i,0.0001827+0.00047664i,0.00046486+0.00021455i,-0.00056018+0.0002698i,-0.001165+0.00063941i,-0.00083081+0.00052364i,-0.00093147+0.00027745i,-0.00043739+0.00014245i
0.00068283-0.00094686i,0.00025587-0.0012604i,-0.00051559-0.00025864i,9.3644e-05+0.00019182i,0.0012404+0.00041956i,0.0021586+0.00059533i,0.0019984+0.00024784i,0.0011828-0.0002073i,5.2545e-05-0.00038931i,-0.00037941-0.00092612i,-0.00032693-0.00080796i,-0.00034054-0.00012723i,0.00068743+1.9469e-05i,0.001144+0.00056039i,0.00093649+0.0010065i,0.00099751+0.0014917i,0.00036233+0.0011086i,0.000137+0.00011843i,0.00079109-0.0001693i,0.0010683+0.00013585i,0.00036361+0.00010093i,-0.00018255+0.00067847i,-0.00021859+0.00072323i
-0.0010076-0.0013082i,7.5781e-05-0.0012844i,-6.3779e-05-2.7347e-05i,-0.0007474+0.00083258i,0.00017202-0.0009465i,0.0011278-0.0026012i,0.00038724-0.0020755i,-0.00018601-0.0016049i,0.00046601-0.0010339i,0.00017572-0.0008574i,-0.00042687-0.00063155i,6.1487e-05-2.2779e-05i,3.3015e-05+0.00012298i,-0.0002953-0.00012648i,0.00020173-0.00029989i,0.0011308+0.00019772i,0.00056164+0.00056018i,-0.000873+0.0009671i,-0.0012592+0.00081785i,-0.00026346-5.4267e-05i,0.00048776-0.00033583i,0.00094369+0.00010636i,0.00076999+0.00046574i
-0.00086853+0.00025101i,-0.0013537+0.00012906i,-0.0021205+0.00057001i,-0.0019054+0.0011756i,-0.0007868+0.00094737i,-0.00056335-0.00075714i,-0.0003347-0.0017363i,7.2305e-05-0.0013924i,3.0415e-05-0.00042145i,0.00038058+0.00054563i,0.0002102+0.00047934i,5.6626e-05+3.2212e-05i,0.0002538+0.00083253i,0.00011294+0.00090385i,-0.00020349+0.00079997i,-0.00040368+0.00073049i,-0.00049897+0.00039158i,-3.0817e-05+4.8189e-05i,-0.00022953-0.00064314i,-0.00067957-0.0010924i,-0.00064635-0.00017584i,-0.00089145+0.00041135i,-0.00066627-0.00037535i
-0.0013227+0.00079361i,4.1308e-05+0.00099532i,0.0018953+0.0005896i,0.0021623-4.1233e-05i,0.002082-0.0018278i,0.0019-0.0032205i,0.00065446-0.0023301i,-7.8851e-05-0.00066931i,8.7587e-05-5.7207e-05i,0.00012097-0.00011124i,0.00035334+0.00068877i,8.2322e-05+0.00073211i,-0.00070622-0.00017799i,-0.00095756-0.00085685i,-0.0012226-0.00092924i,-0.00015234-0.00054952i,0.00089558+0.00030236i,0.00057137+0.00062915i,0.00053639+0.00045257i,0.00038442+0.00049696i,-3.6514e-05+5.2874e-05i,-0.00047583-0.00021795i,-0.00077307-5.9978e-05i
0.00075038+0.00080858i,0.0007773-0.0005103i,0.0015259-0.0019421i,0.0019919-0.0021987i,0.00096452-0.0019581i,0.00076873-0.0024653i,0.0015751-0.0024078i,0.001552-0.0015157i,0.0011268-7.75e-06i,-2.9334e-05-0.00021992i,-0.00082084-0.00065061i,-0.00054569+0.0004638i,-0.00046069+0.00032889i,-0.00092728+0.00022269i,-0.00091177+0.00058858i,-5.5384e-06+0.00059324i,4.3349e-05+0.00022005i,0.00013719-0.00016528i,0.00018141-0.00037038i,6.8041e-05-0.00048131i,-0.00016897-0.0006426i,-0.00054694-0.00054003i,-0.00070873-0.00023372i
-0.00099724+0.0010283i,-0.0004996+0.0016655i,-0.00060624+0.0016815i,0.00038324+0.00070768i,0.0019935+3.885e-05i,0.0016508-0.00065646i,0.00041644-0.0019088i,5.3489e-05-0.0015306i,-8.2888e-05-0.00023633i,-0.00028722-0.00017674i,0.00022339-0.00024829i,0.00061079+0.00067973i,0.00024636+0.00094375i,-7.5255e-05+0.00024556i,-0.00030214+0.0004035i,-0.00023522+0.00071338i,0.00021805+0.00088205i,0.00056918+0.0010494i,0.00056118+0.00072209i,0.0003253-5.2989e-05i,-0.00010271+0.00023267i,-0.00075139+0.0001084i,-0.00097332-0.0003192i
0.00044529+0.00081091i,2.9568e-05+0.001018i,0.0010947+0.0014834i,0.0019944+0.0012099i,0.00090858+0.00047895i,0.00046079-0.00073121i,0.0009126-0.0013468i,0.00035446-0.00063505i,0.00025802-4.9499e-05i,0.00087013-0.00069044i,0.0001875-0.00051298i,0.00022906+0.00061082i,-0.00010338+0.0010691i,-0.0011395+0.00047477i,-0.0011302+0.00028056i,-0.00046769+0.0007616i,-7.1358e-05+0.00076265i,-0.00025824+0.00051115i,5.0461e-05+0.0001301i,8.7207e-05-0.0001549i,0.00038019+9.5843e-05i,0.00054095+0.00013671i,-0.00031206+4.8613e-06i
-0.0010118-0.00085338i,-0.0005325-0.0012256i,-0.00015282-0.0011499i,-0.00022557-0.00091016i,0.00052455-0.0013328i,0.0012973-0.001403i,0.00071302-0.0013329i,0.00011388-6.9339e-05i,-9.8886e-05+0.00098667i,-9.4217e-05+0.00037517i,-0.00096176-7.9989e-05i,-0.0014663+6.4703e-05i,-0.00086617+0.00033726i,-0.00047052+0.00012096i,-0.00011307+1.6836e-05i,0.00051891+0.00047389i,0.00059353+0.0007937i,0.00061845+0.00086948i,0.00057412+0.00029373i,0.00045627+1.5435e-05i,-9.2455e-05+0.00059276i,-0.0005565+0.00036964i,-2.6135e-05+2.3786e-06i
-0.00079515+0.00023699i,-0.00028219+0.00037994i,0.00033035+0.00086502i,0.0017773+0.00072329i,0.0023103+3.0131e-06i,0.0020943-0.0010203i,0.0016214-0.00064718i,0.00042471-0.00027006i,-0.00038352+0.00027553i,-0.00038985+0.0011645i,-0.00017035+0.00093776i,-9.0046e-05+1.2897e-05i,-0.00028736-1.6338e-06i,-0.00034317+0.00084757i,-0.00014769+0.0013031i,-0.0003814+0.0014255i,-0.0013312+0.0012645i,-0.0014298+0.00089006i,-0.00066438-0.00026794i,-0.00018768-0.0015078i,-0.00019053-0.00064148i,6.587e-05+0.00062847i,0.00019484-0.00033066i
-0.0012842+0.00046551i,-0.0017238-5.9914e-05i,-0.0012325+0.00096282i,0.00012652+0.0011174i,0.0016308-0.00030779i,0.0019085-0.0019787i,0.0011564-0.0017675i,0.00027691-0.00075243i,-0.0003499-0.0005114i,-0.00046978-0.0010262i,-5.9853e-05-0.00096163i,0.00036556-0.00020152i,0.00051489+0.0002435i,0.00013771+2.1679e-05i,-0.00028709-0.00039128i,-0.00029599-0.00012482i,-0.00018312+9.4139e-05i,5.2456e-05-2.3649e-05i,-1.7602e-05+9.0795e-05i,0.0001525+0.00030447i,0.00023057+0.00053286i,-0.00060412+0.00022365i,-0.00022303-0.00011217i
-3.2422e-05-0.00017981i,-0.00085552-0.00033189i,-0.00059043+0.00030023i,0.00022104+0.00086527i,0.0010007-0.00023792i,0.00066045-0.0013414i,0.00018561-0.0014247i,-7.4776e-05-0.0012718i,-0.00037905-0.0011018i,-0.00080982+0.00026461i,-0.00076583+0.0012232i,-0.00047719+0.00059232i,-0.0002866+0.00012626i,2.3138e-05+0.00043427i,-0.00026293-5.8198e-05i,-0.00034808-0.0006721i,0.00038789-0.00050542i,0.00045346-0.00013408i,3.7284e-05+6.6725e-05i,0.0007467+0.00040224i,0.0010925+2.7e-05i,0.0010148-0.00037141i,0.0009306+9.5671e-05i
0.00010878+0.00043806i,0.00013362+0.00057632i,0.00097442+0.0012044i,0.0016483+0.00059554i,0.0015513-0.00064353i,0.0018149-0.0017415i,0.0014039-0.0017706i,0.00041248-0.0013402i,0.00026866-0.00055817i,0.00060146+0.00031146i,0.00014235+0.00018219i,0.00020579+3.3352e-05i,0.00031008-0.00038837i,-6.4242e-05-0.00071803i,0.00012391-0.00024648i,1.5259e-05+0.00065126i,-0.000443+0.0013555i,-0.00034973+0.00086403i,-0.00016+0.00022601i,-0.00055025-6.6339e-05i,-0.00045512+0.00026182i,-0.00016139+0.00059661i,-0.00021772+0.00066805i
0.00093452-0.00081284i,0.0010671-0.00046841i,0.0013642-0.00087134i,0.0011458-0.0011911i,-0.00093776-0.0011611i,-0.0014634-0.00082569i,0.00023274-0.00061176i,0.001168-0.00077982i,0.0014206-0.00082645i,0.0010989-0.0003926i,0.00028041+0.00015172i,0.00027356+0.00081224i,-4.8013e-05+0.0011946i,-0.00058496+0.00021875i,-0.00089307+0.00013322i,-0.00063314+0.00041651i,0.00053359-6.0718e-05i,0.0010301+4.7363e-05i,0.00081026+4.8931e-06i,0.00030813-0.00040493i,-0.00047306-0.00025127i,-0.00068106+0.00019531i,-0.00022071+0.00039181i
-0.00018351-0.0020508i,-0.0016758-0.0017592i,-0.0018852-0.0012252i,-0.00069958-0.0015316i,0.00036092-0.0014342i,0.00040326-0.0013645i,-0.00012161-0.0014061i,-0.00025181-0.00062409i,0.00029074-0.00026661i,0.00037619-0.00039648i,-4.3897e-05-0.00062426i,0.0001581-0.00065885i,0.00023982-0.00045364i,-0.00029482+0.00035378i,-0.0007216+0.001269i,-0.0006634+0.00078678i,-0.00031097-1.9644e-05i,-0.00028781-0.00054481i,-0.0010317-0.0010845i,-0.0011728-0.00071691i,-0.00031028+0.00058206i,-6.5072e-05+0.00035632i,-5.705e-05-0.00046791i
-5.0618e-05-0.0002502i,0.00081984-0.00072851i,0.00065049+0.00010463i,-0.0004075+0.00069372i,-0.00037957+9.5508e-05i,0.00028729-0.0012876i,-0.0001246-0.0015968i,-0.00089753-0.00093167i,-0.00036738-0.00057369i,-0.00017127+6.8249e-05i,-0.00060507+0.00086749i,-0.00067621+0.00093836i,-0.00049363+8.0517e-05i,-0.00090306-0.00034011i,-0.00041709+8.1626e-05i,-0.00027201+0.00041679i,-0.0001464+0.00042176i,0.00024044+0.00080506i,-0.00055156+0.00062553i,-0.00071879-0.00045727i,-0.0002846-0.00044049i,-7.3482e-05-0.00018767i,-0.00031577-0.00022708i
9.8624e-05-0.00053728i,-0.00034421+6.9831e-05i,-0.00076251+0.0003791i,-0.00095349-0.00040148i,0.00019876-0.0013553i,0.0011359-0.0017123i,0.00085255-0.0016853i,2.8871e-06-0.00096106i,3.9984e-05-0.00059263i,0.000407-0.0008755i,-0.00055552-0.00096137i,-0.001015-0.0001646i,-0.00025281+0.00073111i,-0.00037117+0.00089985i,-0.00041032+2.9874e-06i,4.5654e-05-0.0005278i,-0.00035367-0.00012041i,-0.00097939+0.00031126i,-0.0011469+0.00013882i,-0.00043616-0.00012865i,0.00046298-0.00014359i,0.00045212-0.00039892i,-0.00047443-0.00058406i
0.00013325+0.0006776i,-0.0010265+0.00044353i,-0.0015494+0.00089859i,-0.0010218+0.0015574i,-0.0003668+0.00026316i,0.00039766-0.00091249i,0.00098789-0.0011554i,0.00069771-0.00071672i,0.00013336-0.00016131i,0.00032426+7.9552e-05i,0.0009011+0.0003602i,0.001459+0.00079474i,0.0013326+0.0011798i,0.00051193+0.0019233i,8.965e-05+0.0016558i,1.4752e-05+0.00070573i,5.8579e-05+0.00066436i,-8.0151e-05+0.00094049i,0.00017687+0.00055812i,6.5599e-05+0.00018889i,-0.00032289-0.00037641i,-7.4517e-05-0.00045216i,-0.00021376-4.7292e-05i
-0.0016174-0.00083389i,-0.0014357-0.00078948i,0.00011234-0.00022199i,0.0011304+0.00062089i,0.0017633+0.00010448i,0.0019064-0.0013287i,0.00023681-0.0015371i,-0.0006615-0.00088731i,-0.00049046-0.00052865i,-0.00032799-0.00023056i,-6.3782e-05-0.00011138i,0.00036881-0.00041315i,0.00019611-6.2097e-05i,-8.5175e-05+0.0002503i,-0.00080179+0.00028068i,-0.00092794+0.00053013i,0.00018434+2.6565e-05i,0.00046999+0.00019954i,0.00013542+0.00028917i,-0.00044591-4.5548e-06i,-0.00071049-0.00035578i,-0.00025056-0.00033449i,-0.00030656+0.00061847i
-6.024e-05-0.0017904i,-0.0014239-0.0019367i,-0.0020445-0.0014435i,-0.0018915-0.00089075i,-0.0012547-0.0010435i,6.1425e-05-0.0013551i,0.00099181-0.002065i,0.0007321-0.0012843i,-3.293e-05+0.00022934i,-0.00025539+0.00045388i,-6.7536e-05+0.0001289i,0.00043596-0.00083328i,0.00057296-0.00054575i,-0.00024594+0.00063031i,-0.00067708+0.00075906i,-0.00071937+0.00049305i,-0.00076331-0.00037093i,-6.5398e-05-0.00072403i,0.00041939-0.00031423i,0.00011268-0.00034403i,-0.00057885-0.0002714i,-0.00079378+1.8579e-05i,-0.00051846+0.00047223i
-0.00095029-0.0004061i,-0.0012404-0.00035931i,-0.00075965-0.00050782i,-0.00033294-0.0014654i,-0.00033808-0.002542i,8.414e-05-0.0025149i,0.00065213-0.0021228i,0.00064693-0.0018805i,-6.7167e-06-0.00093032i,-0.00033362-0.00080574i,-7.4883e-05-0.0010724i,-6.978e-05-0.00054798i,-0.00047038-0.00023254i,4.4933e-05+0.00012249i,0.00067675+0.00034325i,0.0008581-0.00036572i,0.00092556-3.4278e-05i,0.0003965+0.00086689i,5.5212e-05+0.00056676i,-0.00066632-5.7559e-05i,-0.00061966-0.00010073i,-0.00027374+0.00014004i,-0.00054848-8.3089e-06i
0.0024444+0.00014078i,0.0019586-0.0011574i,0.00070653-0.0022801i,-0.0001109-0.0016055i,0.00018768-0.0015211i,0.00050271-0.0022103i,-9.5866e-05-0.0013741i,-0.0006817-6.2934e-05i,0.0002617-0.00029739i,-8.137e-05-0.0012072i,-0.0012996-0.001003i,-0.0011374-0.00037136i,-0.00065552+0.00013829i,-0.00074508+0.00015911i,-0.0010043+0.00020774i,-0.0005003+0.00024398i,0.00042746+6.8936e-05i,0.0010651+0.00059389i,0.00062227+0.00036392i,0.0006149-0.00038279i,0.00057475-0.00028316i,-0.00020079-0.00045922i,-0.00044147-0.00055215i
0.00013168-0.00027592i,-0.00085819-0.0015425i,-0.00053532-0.0013216i,0.00012014-0.0013679i,-2.492e-07-0.0020297i,-0.00039516-0.0024022i,0.00037569-0.0024063i,0.00089901-0.0018838i,0.001273-0.0011405i,0.00090578-0.00058891i,0.00015718-0.00013962i,0.00021139-0.00016i,-0.00035282+0.0004238i,-0.0015153+0.00081634i,-0.0016751+0.00030332i,-0.0011568-0.00022284i,-0.00016101-0.00022227i,0.00034805+8.0941e-05i,0.00092104+0.00030755i,0.0012552-2.6066e-05i,0.00048849-0.00037456i,0.00022704-3.5314e-05i,-1.5054e-05+0.00013254i
0.0036768-0.0011098i,0.0011291-0.00096287i,-0.00019445-0.00098626i,-0.00044887-0.00010889i,-0.00056426+0.00029857i,-0.00041941-8.4414e-05i,-0.00025057-0.00057129i,-0.00034117-0.00061906i,-0.00098458-0.00074945i,-0.00096919-0.00060063i,-0.0010098+0.00056361i,-0.0009337+0.001195i,-0.00020989+0.0012128i,-4.296e-05+0.0013524i,-0.0004268+0.0013978i,-0.000226+0.00056368i,0.00034497-0.00031237i,0.00084328-0.00021081i,0.00042804-0.00015938i,-0.00033974-0.00031296i,-0.00023073-0.00065596i,0.00079002-0.00047093i,0.00099382+0.00037306i
-0.0020598-0.0021833i,-0.0014181-0.0015555i,-0.00041088-0.0011729i,-0.00027102-0.0010962i,-5.1096e-05-0.0012527i,0.00045884-0.0012667i,-0.00043256-0.0019395i,-0.0011916-0.0021714i,-0.00097297-0.00086402i,-0.0011872+0.00056476i,-0.00097913+0.00087288i,-0.0002348+0.00089314i,0.00026805+0.0014433i,0.0009221+0.0016429i,0.00093284+0.0017304i,-0.00010407+0.0016002i,-0.00037336+0.0010409i,9.2856e-06+0.00044669i,0.00029459-0.000251i,0.00051953-0.00075933i,-8.9911e-06-0.00062297i,-0.00058838-0.00053456i,-0.0011961-0.00031868i
0.0013672-0.0020058i,0.00025937-0.0011433i,-0.0011555-0.00086913i,-0.00078035-0.001571i,-0.00061617-0.0013958i,-0.00077931-0.0015089i,-0.00019346-0.0018817i,0.00058923-0.0010662i,0.00049891-0.00015772i,-0.00085368-0.00016083i,-0.0013258+0.00023698i,-0.0011436+0.0007341i,-0.00090546+0.00039633i,-0.0007031+0.0005481i,-0.00063411+0.00098417i,-0.00040096+0.00033514i,-0.00048228-0.00010641i,-0.00065647-0.00041216i,-0.00026806-0.00079615i,0.00070681-0.00024802i,0.0005849+0.00055971i,-7.8881e-05+0.00073744i,-0.00062525+0.00033962i
-0.0015669-0.00082668i,-0.0026916+0.00014753i,-0.0029301+0.0011066i,-0.00056327+0.0004924i,0.0014411-0.00068711i,0.0017126-0.0016122i,0.0011849-0.0017141i,0.00027808-0.0015333i,-0.00031049-0.0008952i,-0.00069368-0.00030599i,-0.00020176-1.415e-05i,0.00040754+0.0006615i,0.00065464+3.8505e-05i,0.00069371-0.00061684i,-0.00044459-0.00025013i,-0.00022198-1.5407e-05i,0.00058528-0.00016523i,0.00055312-0.00043507i,-7.0154e-05-0.00020584i,-0.00079629+0.00028088i,-0.00021929+0.00036111i,-0.00032659+0.00045802i,-0.00021919+0.00075323i
-0.00017776-0.0014934i,-0.00081808-0.001215i,-0.00028027-0.0013643i,0.00044078-0.00093073i,0.00013344+0.00015242i,0.00025649-0.0002278i,0.00063009-0.0011815i,-8.6344e-05-0.0010932i,-0.00043037-0.00024752i,-0.00011706+2.7405e-05i,-0.00043848-7.0727e-05i,-0.0004776+0.00026447i,-0.00028989+7.6279e-05i,6.6215e-05-0.0008392i,0.00012082-0.00049967i,0.00057941+0.00027664i,0.0002717+0.0002636i,-0.00032311+0.00053384i,-7.1763e-05+0.00069275i,-5.8459e-05+0.00039915i,-3.7773e-05-0.00024898i,0.00030222-0.0011033i,-0.00010955-0.00057232i
-0.0016235-0.0015492i,-0.0019479-0.0011581i,-0.0021856-0.00037201i,-0.0019669+0.00022568i,-0.0013779-0.0001593i,-0.00085579-0.00098232i,-0.00049536-0.0015489i,-0.00013146-0.0017518i,0.00099257-0.0011713i,4.1859e-05-2.4195e-05i,-0.0015124+0.00072317i,-0.0010021+0.0010954i,0.00012059+0.0014529i,0.00037387+0.0013933i,0.00023164+0.00034558i,-0.00050068-0.00026022i,-0.00069499-3.6685e-05i,-0.0001382+0.00013021i,0.00053594-1.7568e-05i,0.00047162-0.00044277i,-0.00023695-0.00071366i,0.00059808-0.00054929i,0.00080594-0.00075779i
0.0018632+0.0007374i,0.0021717+0.00031637i,0.0013712-0.00072598i,0.00059314-0.0015176i,0.00053618-0.0020853i,0.00027505-0.0012877i,0.00011187-0.00057664i,0.00056622-0.00053267i,0.00081187+9.8523e-05i,0.00054481+0.00011365i,-0.00042934+1.8491e-05i,-0.001409+0.00035611i,-0.00094919+0.00017739i,-0.00069809+0.00068936i,-0.0009647+0.0015249i,-0.00047407+0.0017294i,0.00016309+0.0012298i,-0.00022371+0.00049167i,-0.00075633-0.00027688i,-0.000579-3.6202e-05i,0.00013375+0.00048885i,0.00039768+0.00046273i,-6.9623e-05+8.6205e-05i
-0.0016186-0.0012845i,-0.0020066-0.0029683i,-0.0015961-0.0016281i,-0.0010788-0.00017414i,-0.00029201-0.00023327i,0.00048468-0.0010775i,0.00089928-0.0012811i,0.00039217-0.00083196i,-0.0007264-7.2313e-06i,-0.00061045-9.7671e-05i,0.00014321-0.00078349i,0.00011563-0.00086087i,-0.00026871-0.0006446i,-0.00040505-0.00065982i,-0.00021964-0.00055403i,-0.00054253-0.00086065i,-0.00056468-0.00099192i,0.00019503-0.0007225i,0.00044602-0.00068773i,0.00026451-0.0003749i,-1.3399e-05-5.2725e-06i,0.00022887-0.00011336i,0.0003794-0.00014017i
-0.00058778+0.00088212i,-0.00010973+0.0010718i,0.00080374+0.00080568i,0.0014171-9.9705e-06i,0.0015232-0.00030454i,0.0017725-0.00081403i,0.001105-0.0021206i,0.00051258-0.001436i,0.0001856+0.00041785i,-7.8156e-07+4.5912e-05i,3.7508e-05-0.00026713i,-8.6982e-06+0.00027244i,-0.00051174+0.00050832i,-0.0014599+0.00076294i,-0.0015926+0.00054648i,-0.00066856+0.00033576i,-0.00015478+0.00017199i,-0.00011383-0.00030381i,0.00021878+0.00022008i,0.00059056+0.00026776i,0.00028319+8.1682e-05i,0.00030711+0.00021647i,0.00043999-0.00030256i
0.0002006+0.0010421i,-0.00010792+0.00044655i,-0.00056795-7.5854e-05i,0.00021229-0.00017076i,0.0017866-0.00097618i,0.0020469-0.0023522i,0.00046183-0.0031851i,-0.00091823-0.0018599i,-0.00078358-0.00029996i,8.2722e-05-0.00068769i,0.00031425-0.0010643i,-3.1112e-05-0.00063147i,-0.00017485-0.00030654i,-0.00045343-2.7359e-05i,-0.00084401-9.5915e-05i,-0.00069044+6.0787e-05i,0.00028811+0.00059767i,0.00065273+0.00010989i,0.00020824-0.00017875i,0.0003014-0.00012898i,0.0010381+0.00020495i,0.00089818+0.00048481i,0.00025115-0.00038939i
-0.00012619+0.00085445i,-0.0014475+0.0012887i,-0.0019095+0.0012822i,-0.0011168+0.0013546i,-0.00034837+0.00091451i,0.001269-0.00087725i,0.0016127-0.0023975i,0.00042311-0.0020856i,8.0839e-06-0.00077208i,0.00038165-0.00031128i,0.00037721+0.0003467i,0.00038895+0.00090139i,0.00034789+0.00097858i,-0.00043388+0.0011308i,-0.00053839+0.00052443i,-0.00037129-0.00031274i,-0.00056946-0.00048145i,-0.00060896-0.00053098i,-0.00084365-0.00059758i,-0.00031574-0.00091192i,-2.0876e-05-0.00061241i,-0.00061933+0.00026358i,-0.00090905+0.00082592i
-0.00048492-0.0012701i,0.00053433-0.0010744i,0.00062542-0.0003154i,0.00071918+0.00038698i,0.0015454-5.0045e-05i,0.0018527-0.0012105i,0.0010575-0.0011294i,0.00075134-0.00078259i,0.00058888-0.0010258i,0.00024021-0.00087115i,-0.0001108-0.00023528i,1.2703e-05+0.00041251i,0.00025514+0.00041994i,4.3824e-06+0.00023478i,-0.0002696-1.1014e-05i,1.9448e-05+7.7173e-05i,0.00099675+0.00052843i,0.0011692+0.00098606i,0.00082479+0.00070245i,0.00052759+0.00042763i,-0.00033305+0.00061567i,-0.0011759+0.00036841i,-0.0011462+0.00015441i
-0.0012819-0.00023836i,-0.001806-0.00045875i,-0.0010488-0.00046108i,0.00024888-0.00094179i,0.00046197-0.0012757i,0.0001448-0.0018441i,-0.00025963-0.0022783i,-0.00023735-0.00086223i,4.4252e-06+7.8611e-05i,-0.00039697-0.00022319i,-0.00082354-0.00010005i,-0.00030086-0.00034677i,0.00028131-0.00064798i,-0.00034346-0.0006608i,-0.0005528-0.00044293i,-0.00014033-0.00010533i,0.00055623+0.00025038i,0.00024811+0.0012211i,-0.00016243+0.0015051i,0.00035481+0.001107i,0.00058425+0.00047526i,0.00023231+9.7966e-05i,-0.00093277+0.00029358i
-0.0015259-0.0012635i,-0.0015904-0.00083796i,-0.0014531+3.0266e-06i,-0.001187+0.00063981i,-0.00033021+0.00044777i,0.00078645-0.00073219i,0.0010497-0.0014113i,0.00090836-0.00075694i,0.00039617-0.00020289i,-0.00048181+0.0006645i,-0.00078518+0.00070341i,0.00015414+0.00035473i,0.00072946+0.00022982i,0.00033564+0.00011381i,-0.00014382+0.00078295i,-0.0001108+0.0014697i,1.9173e-05+0.0011348i,0.00046814-3.1286e-05i,0.00065532-0.00080782i,0.00038565-0.00039077i,0.0001901-0.00016407i,0.00024896-0.00057236i,2.5393e-05-0.0010696i
-0.00012382-0.00035002i,-0.0014732-0.0012246i,-0.00064875-0.00054323i,0.0001975+2.9579e-05i,-0.00036156-0.00010486i,0.00042467-0.00035952i,0.0011847-0.0010555i,0.00075002-0.0016186i,0.0004398-0.0011916i,-0.00016499-0.0002854i,-0.00089179+4.5894e-05i,-0.00055585+0.00031652i,-0.00022566-6.4903e-05i,-0.00019276-0.0003382i,-0.00026845+0.00015013i,-0.00023663+0.00021786i,3.8673e-05+5.7825e-05i,2.779e-05+0.00044835i,-0.00019374+0.00030443i,0.00046338-0.00026142i,0.00067633-8.719e-05i,0.00030791-0.00018735i,-0.00021303-0.00025613i
-0.0012079+0.00088006i,-0.00035097+0.00019973i,-0.00010905+0.00052727i,-0.00025362+0.00083456i,0.00078937+3.802e-05i,0.0010055-0.0018728i,0.0010352-0.0024518i,0.00037439-0.0016574i,-0.00046981-0.00087564i,-0.00037165-0.00046984i,-4.8508e-05-0.00048968i,0.00010166-0.00019639i,-0.00013974+0.00012138i,-0.00025727+0.00012653i,-0.0003582+0.00017833i,-0.00035133+0.00017973i,5.2671e-05+0.00014267i,7.8202e-05+0.00040992i,-0.00042697+0.00091488i,-0.00018243+0.0002405i,-0.00021693-0.00033742i,-5.0437e-05-0.00044824i,0.00069789-0.00024493i
-0.0022785-0.00050861i,-0.0027287-0.00021234i,-0.0024776+0.0010221i,-0.00033212+0.0016943i,0.0014606+0.0014441i,0.0021339+0.00065761i,0.0010682-0.00040883i,-0.0010699-0.0013973i,-0.001142-0.0017696i,-4.147e-05-0.00089413i,0.00021047+0.0002522i,0.00019696+0.00079705i,-9.7186e-05+0.000397i,5.627e-05-0.00045708i,0.0011824-0.00064595i,0.0016183-0.00025959i,0.0009386+0.0008873i,0.00023903+0.001332i,-0.00081918+0.00045645i,-0.0007612+0.00022058i,0.00021184+0.00059956i,0.00013558+7.789e-05i,-0.00029151+6.6604e-05i
0.0011411-0.00064232i,0.0010076-0.0012059i,0.00019915-0.002123i,1.8141e-05-0.0022831i,0.00034151-0.0012037i,0.00039654-0.0002491i,-0.00065177-0.00059529i,-0.0011838-0.00037374i,-0.00038551+0.00044015i,-0.00033228+0.00057903i,-0.0004706+0.00054237i,-0.00022437+0.00058335i,-0.00042714+0.00097176i,-0.0011006+0.0016134i,-0.0010258+0.0019717i,-0.00054782+0.0017076i,-0.00016411+0.00072007i,0.00037038+0.0004048i,0.00011412+8.3511e-05i,-0.00022074+0.00028587i,-0.00015689+0.00039798i,0.00051484-0.00024067i,0.00023681-0.00057166i
-0.00046045-0.0019615i,-0.0014396-0.0015451i,-0.0010834-0.00023901i,-0.00056848-0.00037137i,4.9365e-05-0.0011986i,0.00031898-0.0021297i,-0.00053696-0.002439i,-0.00042405-0.0011191i,-0.00017423-0.00026355i,-0.00096488-0.00080234i,-0.0013931-0.00055007i,-0.00074814+0.00060377i,-0.00021218+0.00043861i,-0.00086492+0.00081685i,-0.0013733+0.0014332i,-0.00069212+0.0006233i,2.0419e-05+7.1593e-05i,-6.6203e-05-0.00028755i,0.00012239-0.0001632i,2.8943e-05-0.00033029i,-0.00049787-0.00064937i,-9.7841e-05-0.00031376i,1.9014e-05-0.00012456i
