0.0013368+5.1005e-05i,0.0025055-0.0019643i,0.0019819-0.0034385i,4.844e-05-0.0028223i,-0.0020376-0.00063539i,-0.0022483+0.0014353i,-0.00068538+0.0021568i,0.00063422+0.0018604i,0.0012188+0.0010294i,0.00046534-0.00044638i,-0.00050332-0.0013996i,-0.00077454-0.0015006i,-0.00095789+5.743e-05i,-0.0012801+0.0011179i,-0.0012765+0.0010348i,-0.00047302+0.00056719i,-0.00010851+0.00012274i,-7.087e-06+0.00018462i,0.00032633+5.3296e-05i,0.0001762+3.9374e-05i,0.0003756-1.0066e-05i,0.00036309-0.00064006i,-0.00067127-7.8521e-05i
-0.00085303+5.2862e-06i,-0.00024199+0.000431i,0.00061575+0.0012486i,0.00090898+0.0014728i,0.0010197+0.0012286i,0.0010835+0.00125i,0.00050234+0.00050585i,-0.00015125-0.00043455i,-0.00077673-0.00081092i,-0.00067772-0.0010658i,-0.00020432-0.00049109i,-5.3324e-06+0.00071531i,0.0003824+0.00079408i,0.00083937-0.00039682i,0.00024266-0.00072187i,-0.00020756-0.0004305i,0.00043149-0.00065991i,0.0005346-0.00048931i,-0.00028321-5.7632e-05i,-0.00076888-0.00057042i,-6.3548e-05-0.00034639i,2.0487e-05+0.00038801i,-0.00067242+0.00034124i
7.9053e-05+0.00031052i,0.00090951+0.00073146i,0.00085566+0.00047839i,0.00056047-0.00028488i,0.00032427-0.00035944i,0.00054193+0.00062751i,0.00054338-9.6647e-05i,-0.00049146-0.00083252i,-0.00063368-0.00052997i,-0.00025228-0.0003444i,-0.0010661-0.00063406i,-0.0018499-0.00079992i,-0.00096966-0.00075424i,-4.7982e-05-0.00077505i,0.00039811-0.00015964i,0.00035078+0.00075276i,-0.0002337+0.00030262i,-0.00037074-5.0558e-05i,-0.00027831+0.00014029i,-0.00040282-0.00064858i,-0.00060018-0.00072846i,-0.00057837-0.00031576i,-0.00032871-0.00096925i
-0.0018034+0.0015826i,0.00021003+0.0019662i,0.0016634+0.0017582i,0.0020949+0.0014833i,0.002129+0.001049i,0.0022633+0.00086469i,0.0011523-0.00036667i,0.00043381-0.0011658i,0.00014214-0.00017874i,-0.00056921+0.00025373i,-0.00078795-0.00030406i,1.0704e-05-0.0009026i,0.00070116-0.00053372i,0.0011531-7.4491e-05i,0.00097022+0.00023407i,0.00048551+0.0002269i,0.00018688+0.00053917i,8.1596e-05+0.00033594i,0.0002017+8.457e-05i,0.00041997-0.00055072i,-0.00012327-0.0009734i,-9.7694e-05-0.00053667i,0.00037709+0.00023747i
-0.0010052-0.0015547i,-0.00069086-0.00071472i,0.00010571+0.00044862i,0.00054411+0.0016703i,0.0004724+0.0021464i,0.00088259+0.001613i,0.0016163-0.00039113i,0.0010453-0.0014722i,-0.00025198-0.00047884i,-3.5749e-05-0.00028916i,-0.00014679-7.8695e-05i,-4.3118e-05+0.00028754i,0.00083134+0.0005205i,0.00062903+0.0011648i,0.00028263+0.00095234i,0.00069281-1.0745e-05i,0.00029302-0.00040837i,-4.1548e-06+0.00019778i,-0.00012006+0.0010481i,-0.00039475+0.00034388i,-5.5918e-05+0.00015981i,-1.2047e-06+5.3815e-05i,0.00067565-0.0007118i
0.00091227+0.0016322i,0.0010798+0.0016587i,0.00084735-0.00034234i,-4.195e-05-0.0012269i,-0.00058119-0.00011531i,-0.00085208-5.3304e-05i,-0.00028666-0.00057071i,0.00039562+0.00063686i,0.00027959+0.00098448i,2.094e-05-0.00054856i,0.00062307-0.00048733i,0.00075251+0.00028083i,-1.8067e-05+0.00055732i,-0.00069925+0.0004408i,-0.00070544+8.4544e-05i,0.00028006-0.00021542i,0.00063379+0.00020775i,0.00042912+0.00039689i,-0.00031265-0.00061957i,-0.0010121-0.00031956i,-0.00052544+0.00073608i,-0.00027756+0.0002275i,-0.00076272-0.00095987i
-0.00066274+0.0006951i,-0.00023809+0.0011605i,0.0011973+0.0016891i,0.0017401+0.001111i,0.0016282+0.00072654i,0.0023159+0.00073893i,0.0027835-0.00033275i,0.0010619-0.00094767i,-0.00035232-0.00049077i,4.4398e-05+2.2702e-05i,0.00050931+0.00030481i,0.00084233+9.0511e-05i,0.00068583-0.00021473i,0.0003392+0.00021592i,0.0001161-0.00046896i,-1.3212e-05-0.0012689i,-0.00046442-0.00047773i,-0.00022462-7.8764e-05i,8.2226e-05+0.0004207i,-0.00057056+0.0006898i,-0.00094696+0.00020195i,-0.0011271+9.7383e-05i,-0.00042875+0.00093963i
-0.0019291-0.0013906i,-0.0018251-0.00067126i,-0.0022013+0.00027622i,-0.0025854+0.0002093i,-0.0014737+0.00033665i,-9.5607e-06+0.00058387i,0.00043764-0.00038242i,0.00045717-0.00089053i,-8.2785e-05-0.00048035i,-0.00059429-5.1631e-06i,-0.00012906-9.0883e-06i,-3.3404e-05-0.0001004i,0.00077524+5.9169e-05i,0.0010834+0.00031513i,-0.00021688+6.3746e-05i,-0.00012204+0.00018687i,0.00028204+0.00049965i,0.00036134+0.00041769i,0.00019261+0.00041136i,-0.00034348+0.00038803i,-0.00044841+0.00041655i,-0.00044187+0.00082658i,-0.00045146+0.00043831i
-0.0010876+0.001769i,7.23e-05+0.0010945i,0.0010827+0.00076766i,0.0014933-0.00016717i,0.00088642-0.00084516i,0.00035563-0.00028507i,0.00026912-0.00030732i,-0.0004025-0.00061284i,-0.00031793+0.00033207i,-8.9946e-05+0.00089103i,-0.00060943+0.00038887i,-0.00055036+4.3568e-05i,-4.0189e-05-7.6695e-05i,-3.1561e-05-0.00040309i,-0.00012589-0.0011071i,-0.00011331-0.00080375i,0.00038357+0.00093521i,0.00026371+0.0014673i,-0.00011264+0.0004244i,-3.5434e-05-0.00037014i,4.4712e-05-0.0010242i,-8.236e-05-0.00055212i,-0.00066226-0.0001314i
-0.0011524+0.00011724i,0.00012777-0.00037204i,0.0014767+0.0003464i,0.0015153+0.0015405i,0.001716+0.0016084i,0.0017162+0.00054447i,0.0016234-0.00033116i,0.00049335-0.00062505i,-8.5908e-05-0.00044525i,0.0004455+0.00022259i,0.00041418-0.00016016i,0.00021275-0.00062302i,0.00020487-0.0004951i,0.00055701-0.00080224i,0.00062024-0.00076657i,0.00028182-0.00027217i,2.0202e-05+0.00010762i,-0.00027307+0.00012572i,-0.0002356-0.00031821i,0.0001938+1.1491e-05i,0.0002562+0.00055677i,-0.00024794+0.00087011i,-0.00055221+0.00075438i
-0.00020779-0.00013526i,0.00097192+0.0008245i,0.0010403+0.00071607i,-5.3339e-05-7.0478e-07i,-0.00012057+0.00023297i,0.00042289+0.00025573i,0.00083893-0.0002602i,0.00072238-0.00035335i,-0.00018648+9.7131e-05i,0.0001289+0.00029607i,0.00045263-0.00031308i,-4.3113e-05-0.00062001i,-0.00023439+0.00018947i,-0.00055174+0.0011355i,-0.00022308+0.0011679i,-8.3807e-05+0.0006779i,-7.3325e-05+0.00039657i,0.00045172-1.2801e-06i,0.00034161-4.3564e-05i,8.2178e-05+0.00010384i,-1.0995e-05-0.00044434i,0.00020666-0.0004793i,-0.00011919+0.00043519i
-0.0014821+0.00046332i,-0.0014176+0.00091954i,-0.0010101+0.0011285i,-0.0010129+0.0007348i,-0.00088477+0.00085433i,4.1852e-05+0.00038934i,0.00073473-0.0010925i,0.0004339-0.0011787i,-0.00059314-0.00013208i,-0.0010411+0.000585i,-0.00036505-0.00013649i,0.00018867-0.00050762i,0.00043624-0.00047116i,0.00083827-0.00053496i,0.0010315-0.000212i,0.00062248+0.00027435i,-0.00012445+0.00011326i,-0.001079+0.00010483i,-0.001332-4.0408e-05i,-0.00072552+8.4108e-05i,-0.00031427+0.00036756i,-0.00017917+0.0004997i,0.00018263+0.00011755i
-0.00027577-0.00046115i,0.0007014-9.055e-05i,0.00030779+0.0010405i,0.00017221+0.0011243i,0.0012018+0.00045757i,0.0020306+0.00012961i,0.0011165+7.2952e-06i,-0.00088465-0.00030851i,-0.0014788-7.0866e-05i,-0.00059478-3.8973e-05i,0.0004891-0.00056497i,0.00047283-0.00080292i,0.00036266-0.00020846i,4.0519e-05-6.7309e-05i,7.2243e-05-0.00011542i,0.00010025+0.00037398i,-0.00022311+0.00090158i,-0.00046831+0.0013123i,-0.0005941+0.00052752i,-0.00021798-7.4773e-07i,7.3073e-05+0.00027603i,0.0001047+0.00087951i,0.00012528+0.00067519i
0.00014995+0.0012541i,-0.00042467+0.0016194i,-4.824e-05+0.0018889i,0.00051624+0.0013825i,0.00028283+0.0012741i,0.00036731+0.00092926i,0.00084313-9.5683e-05i,0.00084289-0.00058743i,-4.2556e-05-0.00060036i,-0.00030039-0.00040867i,0.00020466-4.2326e-05i,0.00016789+0.0005256i,8.663e-05+0.00080717i,0.00075166+0.00050122i,0.0017412+0.0003437i,0.0020383+0.00073705i,0.0011504+0.00022102i,0.00019466-0.00030368i,-6.7581e-05+0.00021949i,0.00051173+0.0003201i,0.00044885+4.041e-05i,-2.5792e-06-0.00043186i,0.00026426-0.00024113i
0.0004822-0.0006725i,-6.889e-05-0.0006042i,-0.00023869-0.0018436i,-0.0008973-0.002959i,-0.0013876-0.0020263i,-0.00012928-0.00058576i,0.0012104+4.5767e-05i,0.00014303-0.00029328i,-0.00073484+9.8781e-05i,-0.00038963+0.00067002i,-2.401e-05+0.00030201i,-0.00039872-0.00018151i,-0.00062808-0.00024948i,-6.375e-05-0.00043848i,-5.4642e-05+0.0001541i,5.5271e-06+0.00066905i,0.00049319+0.00019548i,0.00085808-0.00036685i,0.0007545-0.00081548i,-0.00030626-0.00043963i,-0.00071952+0.0007277i,-0.00074789+0.00036334i,-0.00055359-0.00035062i
-3.6995e-06-8.3939e-05i,0.00031972+0.001243i,-0.00023684+0.0014871i,-0.00062824+0.00075263i,0.00065529+0.0014134i,0.0017824+0.0022585i,0.0015311+0.0014806i,0.00029457+0.00027632i,-0.0003406+0.0001785i,-0.00030155+0.0010055i,-0.00018466+0.00082691i,8.1256e-05-0.00023001i,9.2425e-05-0.0010664i,-0.00016513-0.00036462i,8.3191e-05+0.00017661i,0.00015988+0.00029049i,4.2911e-05+0.00033144i,0.00017461+0.00032565i,0.0003886-0.00026846i,2.4874e-05-0.00057255i,-0.00030885-0.00033347i,-0.00055727+0.00063692i,-0.00093957+0.00098399i
0.00022265+0.0016387i,-6.1847e-06+0.0019532i,-0.00027536+0.0026049i,-0.00034248+0.0021691i,0.00012036+0.0015219i,0.0011434+0.0011382i,0.0010475+0.00043451i,-0.00034489-0.00048052i,-0.001057-0.00031853i,-0.00039877+0.00040235i,0.00059824+0.00036317i,0.0012356-0.00030613i,0.00090268-0.00029729i,0.00018481+0.00037954i,4.2977e-05+0.00059995i,0.00022634+0.00026283i,0.00046782-6.7054e-05i,0.00012399-6.5825e-05i,1.7236e-05+0.00027056i,3.6802e-06+0.00046604i,0.00050856-0.0001457i,0.00052242-0.0002433i,0.00088493-7.7888e-05i
0.00020322+0.0016408i,0.00030809+0.0013459i,0.0015114+0.00025451i,0.0029056+5.4801e-05i,0.0017111+0.00027172i,0.00067138+0.00044566i,0.00072177+5.2512e-05i,0.00065718-0.0006858i,0.00032915-0.00050514i,-4.3584e-05+0.00064175i,8.0549e-05+0.00040776i,0.00011445-0.00011431i,4.094e-05-0.00026255i,0.00095861+0.0002075i,0.00098158+0.00077434i,0.00032531+0.00056354i,-0.00017039+0.00053702i,-0.00065779+0.00035004i,-0.0011195+0.00021622i,-0.00089594-0.000274i,-0.00032852-0.00077699i,0.00028915-0.00026281i,0.00048391+0.0012553i
0.00081572-0.00032856i,0.00076945+0.00041399i,0.00017956+0.00046585i,-0.00095037-0.00014784i,-0.0015026-9.2502e-05i,-0.00087783+0.00062804i,0.00028439+0.0009381i,5.0678e-05+0.00067462i,-0.00045029+0.00015813i,-7.1967e-05+0.00037536i,0.00032509+0.00072545i,0.0002387+0.00050378i,0.00026-0.00048602i,-2.7761e-05-0.00091551i,0.00011447-3.2573e-05i,0.00061752+0.00042503i,0.00083556+0.00030797i,0.0012281+0.00040906i,0.00067838+0.00089388i,0.00033902+0.0013205i,0.00021557+0.0012985i,9.2643e-05+0.0012857i,0.00047057+0.0010869i
0.0024911-0.00044208i,0.0023175-0.0011941i,0.00091265-0.0018911i,-0.0012335-0.0021453i,-0.0022277-0.0010246i,-0.0014156+0.00099731i,-0.00075022+0.0010107i,-0.00012314-0.00037452i,0.00051792-0.00028295i,-0.00048988-0.00028572i,-0.0010651-0.00017746i,-0.00043932+9.886e-05i,-0.0001765+4.2064e-05i,-0.00070284+0.00039391i,-0.00051275+0.0010589i,0.00053882+0.0011636i,0.00061399+0.00065334i,0.0004204+0.0001745i,0.0011284+0.00041782i,0.001644+0.00091331i,0.00105+0.0009664i,-5.3616e-05-0.0001816i,-0.00018177-0.00065522i
-9.0972e-05+7.0487e-05i,0.0010684+0.00034115i,0.0013816-7.5925e-05i,0.00098656-0.00127i,0.00090063-0.0010451i,0.0011752+0.00034555i,0.0012034+0.00077193i,-0.00010695+0.00076489i,-0.0010922+0.0011537i,-0.00028573+0.00066281i,0.0002657-0.00035849i,0.00011631-0.0004721i,5.5168e-05-0.00033439i,-0.00016005-0.00041371i,-0.00050826-0.00068195i,-0.00080466-0.00076736i,-6.0263e-05-0.00098641i,0.00060348-0.00047648i,0.00037112-0.00011318i,0.00037133-0.00012331i,-0.00051269-0.00013223i,-0.00077032-0.00034919i,0.00052039-0.00051911i
-0.00067676+0.00032671i,-0.00065059+0.00047069i,-0.00085592+0.0007155i,-0.00071935+0.00062283i,-0.00067376+0.00059421i,0.00061685+0.0010654i,0.00070523+0.00014524i,-0.00045526-0.0010271i,-0.00070868-0.00029644i,-0.00034875-0.00020202i,0.00032689-0.00059911i,0.00018321-0.00014242i,-0.00027842+5.7921e-05i,-0.00033906-8.8241e-06i,-0.00052231-0.00044456i,-0.00044606-0.00014339i,-0.00051876+0.00038144i,-0.0004669+0.00020997i,-0.00010026-0.00050869i,2.0563e-05-0.00082407i,-0.00060565+4.0284e-05i,-0.00064455+0.00040229i,2.7089e-05+0.00056154i
0.00013932+0.0010335i,0.0012176+0.00085118i,0.0021042+5.1094e-05i,0.0016715-0.00073848i,0.00065205-0.00029797i,0.00030365+0.00055364i,-6.0994e-05+0.00013972i,-0.0009584-0.00057443i,-0.0011004-0.00041929i,-0.00019418-0.00029481i,0.00054671+0.00026163i,-2.7251e-05+0.00039532i,-0.00079317-8.7713e-06i,-0.0010395+5.8579e-05i,-0.00030955+0.00075053i,0.00036944+0.00098843i,0.00069347+0.00034774i,0.00040866+0.00030557i,-0.00026396+0.00085533i,-0.00064117+0.00089747i,-0.00033924+0.00038066i,-0.00039523+0.00018279i,-0.0012933+3.8562e-05i
-0.0012581+0.0005985i,-0.00016375+0.00089298i,-0.00060195+0.00053884i,-0.0010093-0.00058364i,2.8749e-05-0.00040096i,0.0015007+0.00068182i,0.00092821+0.00011698i,-0.00025564-0.00061711i,-0.00018865-0.00070565i,0.00030919-0.00066576i,0.00060766-0.00020651i,0.00072332-0.00035939i,0.00051188-0.0003237i,0.00018281+3.961e-05i,0.00068565+0.00060397i,0.00073187+0.00090724i,-8.3698e-05+0.00023045i,-0.00034269-0.0003106i,0.00018703-0.00076315i,0.00053982-0.00070728i,0.00047016-0.0006965i,0.00062705-0.0007361i,0.00056387-0.00013685i
0.0013629-0.0020841i,0.0019041-0.00191i,0.00091102-0.0017964i,0.00011514-0.0012154i,-0.00040235-3.8432e-06i,0.00020994+0.0018446i,0.001262+0.0019415i,0.00029272+0.00078607i,-0.0010056+6.9148e-05i,-0.00090819+0.00015786i,-0.00048582-0.00020869i,0.00031142-0.000333i,0.0002158+0.00018836i,-0.0004139+0.00031096i,5.0639e-05+0.00043772i,0.0010578+0.00078462i,0.0010924+0.00082287i,0.0004192+0.00044433i,-0.00045039+0.00051746i,-0.0010306+0.00089174i,-0.00060253+0.00058006i,8.5666e-05+8.625e-06i,0.00057013+0.00012292i
0.0010964-0.00010368i,0.00064971+0.00057291i,-0.00033724+0.00010492i,-0.00043982-0.00030969i,0.00020265-5.5407e-05i,0.00058577+0.00042361i,0.0003317+0.00040361i,0.00018191-0.00010705i,-4.8385e-05-0.00041306i,-0.00064581-0.00071178i,-0.00049496-0.00094782i,-0.0011687-0.00057452i,-0.0013465-0.00041523i,-0.0003948+0.00016071i,-0.00034706+0.0013228i,-0.00046817+0.0017405i,-0.00025224+0.00095704i,0.00011595+0.0004455i,-0.00025787-2.1706e-05i,-0.00075474+0.00018237i,-0.00029398+0.00071401i,6.5044e-05+0.00038359i,-0.00014587+4.8307e-05i
-0.0012303+0.0011014i,-0.0006594+0.0013321i,-0.00071263+0.00057743i,-0.0010129+0.0004441i,-5.5424e-05+0.00026558i,0.00079168+9.6121e-05i,0.00084895-8.3757e-05i,0.00032405-1.6359e-05i,-0.00023573+0.00023944i,-0.00014416+0.0003843i,0.00019793-0.0004762i,0.00031286-0.001103i,0.00030406-0.0012364i,0.00025436-0.0010271i,-4.7202e-05-0.00016213i,0.00011413+0.00019276i,-3.9198e-05+0.00077453i,-0.00043165+0.00064648i,-0.00056821+0.00017688i,-0.00054922+9.8531e-05i,-0.00050019-3.9516e-05i,8.0943e-05-0.0002016i,-3.0501e-05-0.0007451i
0.0008288+0.00024197i,0.0021619+0.00044373i,0.0025886+0.00059753i,0.0014925+0.00019467i,0.00043783+0.00092476i,0.00075265+0.00054591i,0.0013424-0.00051438i,0.00053127-0.00080697i,-0.00069607-0.00085795i,-0.00068147-0.0011946i,3.4858e-05-0.00091808i,0.00021736+0.00024687i,-7.4626e-05+0.0012428i,-0.00040839+0.0005118i,-2.3623e-05-0.0007461i,-9.4798e-05-2.446e-05i,-0.00054132+0.00077639i,-0.00056581+0.0002152i,-0.00090198+9.0698e-05i,-0.00081311+0.00083059i,-0.00010803+0.00053502i,0.00051074-0.00048125i,0.00019697-0.00063039i
-0.0015701-6.6685e-05i,-0.00095069+8.9967e-05i,-6.0967e-05-0.00091645i,0.00036836-0.0010368i,0.00094663-0.00038456i,0.0012099-0.00041635i,0.00079266-0.00060966i,0.00024526-0.0007347i,1.0269e-05-0.00025488i,0.000197+0.00055204i,0.00040826+0.00077634i,-0.00011076+0.00051973i,-0.00049398-4.6034e-05i,-6.6767e-05-9.3127e-05i,0.00043153-0.00030284i,8.1945e-05-0.00088873i,-0.00051249-0.0003259i,-0.00053817+0.00039424i,-0.00029787-0.00012876i,-0.00034576-0.00047863i,0.00019919-0.00033538i,0.0002208+0.00040352i,-0.00014735+0.00076174i
-0.0012052-0.00036994i,6.3327e-05-0.00058135i,0.00078911+0.00063581i,0.0009994+0.0011106i,0.0012605+0.00094515i,0.0021251+0.00051382i,0.0020826-2.0904e-05i,0.00044419+0.00023914i,-0.0010361+0.000472i,-0.0011491+0.00038458i,-0.00044476-0.00031882i,9.8115e-05-0.00094901i,0.00058646-0.0010245i,0.00065124-0.00062164i,0.00012937-0.00088575i,-0.00030375-0.00089826i,-0.00039329+0.00036508i,0.00022017+0.0011611i,8.9097e-05+0.0006719i,-0.00021407+0.00018238i,-0.0002962-0.00013985i,0.0002147-0.00056926i,0.00038553-0.0003362i
0.0013174+0.000966i,0.00086446+0.0019192i,0.0011505+0.0014734i,0.001335+0.00090662i,0.0010097+0.00040135i,0.00049143+0.00039777i,0.00012783+0.00035999i,0.0006023-0.0003099i,-0.00020343-0.00012377i,-0.00066655-7.9985e-05i,-0.00064846-0.00031091i,-0.0006751+8.4428e-05i,-0.00014449+0.00012029i,-0.00027512+0.00023322i,-0.00046585+0.0003535i,0.00032539+0.00030081i,0.00083582+0.00025015i,0.00029463+0.00015431i,-0.00060518-0.00032662i,-0.0009665-0.00048167i,-0.00047221-0.00024252i,-0.00011648+0.00040535i,-0.0002528-9.1028e-05i
-0.00096067+0.00090353i,-0.00023159+0.00069246i,0.00015742+0.00079218i,-0.0005787+0.00055089i,-0.0005941-6.7725e-05i,0.00034937+0.00023341i,0.00075757+0.00041723i,0.00076662+0.00027006i,0.00023484-0.00040058i,0.00042755-0.00034896i,0.00018677+0.00016511i,-0.00071089+0.00046779i,-0.00044347+0.00060667i,0.00029313+1.4212e-05i,0.00041261-0.00014413i,-0.00076646+0.00046151i,-0.0020406+0.0011282i,-0.0020203+0.000863i,-0.0013837-0.00040771i,-0.00066895-0.00066981i,-0.00020963-0.00041996i,6.2416e-05-2.0561e-05i,-0.00010997+0.0002075i
