-0.0010435+0.0026417i,-0.00064946+0.0012521i,-0.0021907+0.0019144i,-0.002122+0.0016073i,-0.00014919+0.0015293i,0.0012056+0.00075438i,0.00084671+4.7575e-05i,0.0002209-2.2938e-05i,-8.4916e-05-0.0005559i,-0.0002287-0.0011842i,0.00037439-0.0016103i,0.00039368-0.0013556i,5.8947e-05-0.00050619i,0.0007325-0.00024758i,0.0011601+6.7524e-05i,0.0001657+0.00073761i,-0.00044511+0.0010972i,-0.00014525+0.00091184i,0.00010655+0.00022604i,-0.00015942+3.2021e-05i,-0.00086034+0.0010822i,-0.00068643+0.0012642i,2.7951e-05+0.00013115i
0.0022492+0.00028832i,0.0024849-0.00078363i,0.0019457-0.0007503i,0.00097011-0.0010581i,0.00021291-0.0018211i,0.00023605-0.0022534i,0.00048932-0.0019632i,0.00016969-0.0016143i,-0.00028542-0.0009899i,9.8203e-05-0.00016058i,-2.2401e-05+0.00054585i,-0.00052078+0.00091396i,-0.00048602+0.0010195i,-0.00075281+0.0008012i,-0.00076622+0.00059604i,-0.00091713+0.00046288i,-0.00085381+0.00036949i,-0.00043929+0.00030107i,0.00018972-0.00023876i,0.00033168-0.00061213i,0.00017519+0.00019932i,0.00043225+0.00090467i,0.00021407+0.0011012i
0.00089529-0.00098819i,0.0006974-0.00088836i,0.00096225-0.00082833i,0.0020504-0.0010852i,0.0021499-0.0012754i,0.0015566-0.0010224i,0.00091277-0.00083438i,0.00035577-0.00086512i,0.00022179-0.00057738i,0.00079996-0.00071173i,0.0011919-0.00017021i,0.00097516+0.00042011i,0.00081893+9.9128e-05i,0.00028852+0.00074623i,-0.00025392+0.00092821i,-0.00073765+0.0003242i,-0.00045868+0.0009044i,0.00030328+0.0010582i,0.00066298+0.000464i,-3.6619e-05+0.00058895i,-0.00039785+0.0005748i,0.00016402-0.00030073i,0.00046643-0.00056119i
-0.00031253+0.0013523i,-6.4201e-05+0.00030693i,0.0015656-0.00031652i,0.0026657-0.00098896i,0.0022505-0.0015697i,0.0014532-0.0016319i,0.00040868-0.0012194i,-0.0001724-0.00079275i,-0.00070351-0.0004339i,-0.00098077+8.1731e-05i,-0.00069691+7.0284e-05i,-0.00042362-0.00013108i,-0.00045077-0.00020341i,-0.00038181-0.00035823i,-0.00016901-0.00020133i,-0.00040566-0.00033626i,-0.00032609-0.00093755i,-0.00021731-0.00053615i,0.00031169+8.5681e-05i,0.00014073+8.0833e-05i,-0.00023233-6.8146e-05i,0.0003256-0.00035796i,0.00078811-0.00050444i
0.00085804+0.00047853i,0.0010582+0.00016476i,0.0020822+8.2688e-05i,0.0016745+0.00090734i,0.00091264+0.00077703i,0.0012302-0.00040105i,0.0019861-0.00086063i,0.0019252-0.00094315i,0.0012578-0.00081332i,0.00026369-0.00040884i,-0.00023905-0.00029672i,-0.00032107-0.00025308i,0.00053412+0.00031225i,0.000857+0.00012932i,0.00036157-0.00025448i,0.00055778+0.00023023i,0.00044933+0.00068535i,-0.00036526+0.00056728i,-0.00083602+8.1689e-05i,-0.00031506+0.00042927i,-0.00010737+0.00047338i,-0.00040039+8.5852e-05i,-0.00062189-0.00038219i
0.0019876+0.0015584i,0.001817+0.0015139i,0.0015209+0.0011761i,0.0022496+0.00040485i,0.002735-0.00051919i,0.0018728-0.0014738i,0.00083237-0.001265i,0.00017681-0.00050847i,-0.00041608+1.5387e-05i,-0.00078695-0.00020413i,-0.00080325-0.00025281i,-5.2246e-05+6.2784e-05i,-0.00020018+5.2244e-05i,-0.00035115+1.1474e-05i,-8.8344e-05-0.00017189i,-0.00042514-0.00073611i,-0.00036051-0.00015664i,-0.00013784+0.00068474i,-0.00041776+0.0010661i,-0.00058295+0.0009334i,-0.00013456+0.00016958i,0.00011143-0.0003534i,0.00021765-7.4765e-05i
0.00083881+0.0010326i,-0.00020321+0.00085847i,-0.00029672+9.7879e-05i,0.0011673+0.00015332i,0.0019297+0.0003479i,0.0020713+0.00032113i,0.0012628+5.0811e-06i,0.00054462-0.00055227i,0.0005973-0.00035607i,0.00063176-0.00023473i,0.00012411+0.00010018i,-9.7853e-05+0.00056041i,-0.00021667+0.00045933i,-0.00057835+0.0005166i,-0.0004204+0.00091839i,0.00014454+0.00065964i,0.00049251-5.3598e-05i,-9.1969e-05-0.00054525i,-0.00058552-0.00060256i,-6.7201e-05-0.00071153i,0.00057995+0.00010549i,0.00052053+0.00060977i,0.00071072+0.00030606i
0.0019642-0.00010996i,0.0020166-0.00010509i,0.0011507-0.0012622i,0.00037777-0.0010861i,-3.9112e-05-0.00042099i,0.00033031-0.00022869i,0.0013839-0.00060246i,0.0015275-0.00083585i,0.00065257-0.00029929i,-0.00059909-0.00033655i,-0.0013382-0.00075317i,-0.00082591-0.00026331i,-0.00065497+0.00035104i,-0.00097045+0.00052121i,-0.0011022+0.0010197i,-0.00096306+0.0016463i,0.00026003+0.0013746i,0.00077013+0.00067284i,8.8605e-05+6.1989e-05i,0.00016385-0.00020174i,0.00020798-1.7384e-06i,5.6474e-05+5.0321e-05i,-0.00011633+0.00016593i
-0.00032179-0.00049528i,0.00034822+0.00073433i,0.00020177+0.00031753i,5.0956e-05-0.00032182i,0.0011661-4.4548e-05i,0.0016928-0.00092682i,0.00055915-0.0018129i,8.3135e-05-0.0018199i,0.000336-0.00074632i,2.7705e-05+0.0003176i,0.00027527+0.00057261i,0.00069178-0.00014311i,-7.6821e-05-0.00035225i,-0.00065677+6.2995e-05i,7.1487e-05+4.4444e-05i,0.00063801-0.00028854i,0.00077843+0.00018835i,0.0010312+0.00060575i,0.0005729+0.00094603i,-0.00027753+0.0010247i,-0.00015902+0.0013665i,-5.3981e-05+0.0020459i,0.00045507+0.0019746i
0.0038018-0.0007902i,0.0032672-0.0015413i,0.0013971-0.0026301i,0.0011926-0.0019869i,0.00070334-0.0009566i,0.00011714-5.6759e-05i,-0.00019629+0.00028011i,-0.00023499+0.00045464i,0.00018444+0.00027701i,-0.00014572-0.00092529i,6.3265e-05-0.00067233i,0.00047423-4.6712e-05i,4.3935e-05+0.00015317i,-0.00050976+0.00054368i,-0.00064775+0.00089619i,-0.00088675+0.00070924i,-0.00045008-0.00036272i,0.00043681-0.0004551i,0.00060451+0.00012038i,-8.6818e-05-0.00018828i,-0.00014036-0.00040917i,3.8612e-05-0.00026743i,-2.0855e-06-0.00030523i
0.0024439+0.00091832i,0.0030973-0.00027066i,0.0030945-0.0018108i,0.0021189-0.0017612i,0.0017187-0.00059312i,0.00099426+0.00010219i,0.00011276-6.1614e-05i,-0.00025547-0.00056121i,-0.00099785-0.00084092i,-0.00075355-0.00080507i,-0.00013684-0.00053693i,-3.0211e-05-0.0001149i,7.776e-05+0.00045956i,-0.00015168+0.0010997i,-0.00031541+0.00035707i,-7.0372e-05+0.00023072i,-5.033e-05+0.00088657i,1.7221e-05+0.00025887i,0.00049013-0.0004412i,0.00010041-0.00056105i,-0.00010922-7.2851e-05i,-4.6424e-06+0.000732i,0.00025316+0.0014462i
0.0009068-0.0019404i,0.00047487-0.0021638i,-0.00014502-0.0018903i,-0.00071074-0.0014985i,-0.00040047-0.0013335i,0.00051685-0.00084451i,0.0012534-0.00067011i,0.00075963-0.00066163i,-0.00015123-0.00071238i,-0.0010343-0.0010752i,-0.0012517-0.0013434i,-4.5645e-06-0.0010774i,0.00082442-0.00054499i,0.00027826-0.00012431i,-0.00063408+0.00064231i,-0.00098042+0.00024183i,-0.00042604-0.00079929i,-6.4562e-05-0.00098979i,-0.00059669-0.00069763i,-0.0013271-0.00064615i,-0.00079713-0.00054349i,6.5897e-05-0.00044974i,0.00030321-7.0825e-05i
-0.00014474+0.00054457i,0.0010725+0.0002513i,0.0009566-0.00025355i,0.00082041-0.00052677i,0.001693-0.00095169i,0.0023543-0.0015914i,0.001015-0.0014797i,-0.0004172-0.00070504i,-0.00057895-0.00038987i,3.478e-05+9.5521e-05i,0.00020086+0.00064613i,0.00027201+0.00057649i,0.00026405+1.8564e-06i,0.0003239-0.00072869i,0.00044023-0.00087335i,0.00048617-0.00019467i,5.7972e-05+0.00097653i,-0.00012787+0.00091753i,-1.9506e-05-0.00026566i,-7.9418e-05-0.00064039i,-0.00017637-9.2168e-05i,-0.0001028+0.00071929i,0.00053123+0.00088967i
0.0020883-0.00072998i,0.0025257-0.0010447i,0.0022123-0.0011319i,0.0016718-0.0010457i,0.0011911-0.0013308i,0.0010286-0.0012001i,0.0004709-0.00039977i,-0.00055066-0.00061053i,-0.000777-0.00020871i,0.00023522+0.00024046i,0.00059917-0.00027059i,0.00013709-0.00073209i,7.4469e-05-0.00058064i,-0.00045038+0.00055361i,-0.00081654+0.00083671i,-0.00048975-6.2244e-05i,-0.00024254+3.8114e-05i,-0.00050263+0.00036018i,2.0095e-05-9.9686e-05i,-0.00017821-6.6321e-05i,-8.8931e-05+0.00035621i,0.00057243+0.00086254i,-0.00032428+0.00025015i
0.00048029+0.00073635i,0.001388+0.00024038i,0.00090368-0.00068956i,8.3215e-05-0.00088456i,0.0011049-0.00089281i,0.0019296-0.0012376i,0.0013456-0.0015468i,6.2859e-05-0.00090842i,-0.00035704-0.00014101i,0.00020109+0.00019123i,0.00018421-2.3773e-05i,-0.00067353-0.00024053i,-0.00059676-0.00021998i,0.0004339-0.0001092i,0.0011005+0.0006385i,0.00071195+0.0012442i,1.9794e-05+0.0010172i,-2.75e-05+0.00060039i,-0.00016886-9.6355e-05i,-0.00069609-0.00050678i,-0.00082361-0.0003931i,0.00041411-0.00017028i,0.00054258+0.00021891i
0.0020557+0.0022011i,0.0021119+0.0016286i,0.00088401+0.00052135i,0.0011369-0.00073952i,0.002042-7.7504e-05i,0.0016521+0.00016882i,0.00063808-0.00048849i,7.0322e-06-0.00057883i,-0.00015708+0.00020393i,-0.00027958+0.00017292i,-0.00060317-0.00023546i,-0.00015248-0.00070632i,0.0001563-0.00027022i,-0.0002035-0.00010176i,-0.0001698-0.00096512i,-0.00046862-0.00097674i,-0.0007511-0.00037067i,-0.0001667-4.6172e-05i,-5.8984e-05+0.0006066i,-0.0010093+0.0014398i,-0.00083098+0.0012335i,0.00046484+0.00070933i,0.000744+0.00069579i
0.00055746+0.00071207i,0.00091265+0.00082367i,0.0016586+0.00023129i,0.0011985+4.67e-05i,-1.3918e-05-0.00051215i,-0.00015492-0.0010188i,0.00011539-0.00088279i,0.00076111-0.001203i,0.00060646-0.001165i,-0.00033819-0.00090567i,-0.0007016-0.00055577i,-0.00071641+3.6791e-05i,-0.00062053-0.00015071i,-0.00018705+0.00017972i,3.5135e-05+0.00091087i,-0.00030239+0.00086571i,-8.5847e-05+0.0013134i,8.058e-07+0.0009506i,0.00019019+0.00070419i,2.1699e-05+0.0011014i,0.00010081+0.00068217i,0.00055192+6.6848e-05i,0.0001434-4.5989e-05i
0.001737+0.0021235i,0.0018167+0.00148i,0.0021152+0.0013887i,0.0030836+0.00138i,0.0027956+0.00051869i,0.0020134-0.00053028i,0.00082553-0.0012455i,5.709e-05-0.0011115i,0.00022623-0.00076216i,0.00015987-0.00051212i,-0.0001175-0.00079691i,-4.088e-05-0.00061837i,-0.00014128-0.00025729i,-0.00046867-0.00043191i,-0.00071634-0.00050326i,-0.00087867-0.00069886i,-0.00089247-0.00047113i,-0.001164-0.00029714i,-0.0011968-0.00028492i,-0.00048092-0.00066656i,0.00013436-0.00067349i,-4.5115e-05-0.00015953i,-0.00044188+0.00012565i
0.0027522-0.00059601i,0.002339-0.001069i,0.001378-0.0016239i,-0.0002837-0.0014913i,-0.0014554-0.0011497i,-0.0010567-0.00080075i,0.00022647+4.7303e-05i,0.00065609+0.00032829i,0.00051579+3.5887e-05i,0.00067092+0.0002145i,-4.6408e-05-6.8283e-05i,-0.00081326-0.00058617i,-0.0012661+0.00066471i,-0.0013986+0.0013598i,-0.00067726+0.00047462i,-0.00028082+0.00013243i,-0.00066515+0.00033166i,-0.00058568+8.4992e-06i,5.7543e-05-0.0006127i,-0.00010842-0.0004939i,-0.00047588-0.00075481i,-0.00010627-0.00082193i,-0.00015529-0.00017901i
0.0013264+0.0011794i,0.0023674+0.0012521i,0.0019427+0.0011239i,0.000646+0.00050897i,0.00038186+0.00027514i,0.0004771+8.0948e-05i,9.8776e-05-0.00051464i,-0.00011662+4.6289e-05i,0.00021322+0.0006228i,8.1846e-05-0.00011655i,-0.00043944+0.00022717i,-0.00079052+0.000982i,-0.00059951+0.00081188i,-0.00038468+0.00033729i,-0.00036624+0.00072217i,-0.0007608+0.0011225i,-0.00049106+0.000236i,9.8419e-05+0.00017416i,-0.00025578+0.00031429i,-0.00077859-0.00024697i,-0.00071661-0.00030959i,-0.00066724-0.00014711i,-0.00099144-0.00032906i
0.00045183+0.00032965i,-0.00024882-0.00037786i,-9.1778e-05-0.0014205i,0.00062736-0.0012747i,0.0014732-0.00087197i,0.0016631-0.00138i,0.0016227-0.0013892i,0.00095024-0.00019716i,0.00050911-0.00037517i,0.00011941-0.00066446i,-8.409e-05+1.0131e-05i,0.00057463-0.00016317i,0.00062489-0.00049354i,-0.00011806-0.00018512i,-0.00098399-0.00019272i,-0.00063415-0.0004152i,-5.1422e-05-0.00038248i,8.9074e-05-0.00032389i,8.7924e-05-0.00063262i,-0.00028578-0.00023226i,-9.5074e-05-0.00016882i,-7.3818e-05-0.00051579i,-0.00032316+0.0002063i
0.0037363+0.00019784i,0.0045346-0.00053668i,0.0035466-0.0010054i,0.0019902-0.00063714i,0.00058462+0.00013372i,0.00038138+0.00015695i,0.0010833-0.00071373i,0.0014081-0.0011681i,0.00033676-0.00040104i,-0.00091913+0.00012254i,-0.0018091-3.5157e-05i,-0.00152-0.00024692i,-0.0010585-0.00027236i,-0.00079289-0.00020532i,-0.00047071+0.00014383i,5.7907e-05-0.000402i,0.00089988-0.00044822i,0.00046131+0.00014803i,-0.00016224-2.6969e-05i,-8.0826e-05-0.00072713i,1.7756e-05-0.0010606i,0.00013842-0.00075284i,-0.00028981-4.3356e-05i
