0.00015936-0.00026264i,-0.00076111-0.0010707i,-0.0009283-0.0012361i,-0.00051666-0.001226i,-0.0011741-0.0015986i,-0.0017383-0.0001995i,-0.0011278+0.0013459i,-0.00043049+0.0016879i,0.00065256+0.00055847i,0.0011872-0.000296i,0.00084252-0.00080762i,0.00019692-0.0011514i,-8.0943e-05-0.0011755i,-0.00045843-0.0007281i,-0.00077854+0.00021744i,-0.00091268+0.00077253i,-0.00077154+0.00042092i,-0.00048212+0.00025235i,-0.00084673+0.00015412i,-0.0011208+0.00013049i,-7.5663e-05-7.1859e-05i,0.00055777-4.4094e-05i,-0.00047529+0.00012518i
0.0020363+0.0036814i,0.0048703+0.01395i,0.0084489+0.034628i,0.0047004+0.040884i,-0.0048348+0.011056i,-0.019069-0.031088i,-0.037744-0.044656i,-0.047355-0.034856i,-0.04418-0.013313i,-0.028292+0.0065949i,-0.012139+0.0064189i,-0.0094785-0.00037502i,-0.012287+0.002628i,-0.013186+0.010948i,-0.014074+0.020406i,-0.015335+0.026926i,-0.017277+0.026224i,-0.015461+0.020004i,-0.0094082+0.012072i,-0.0053466+0.0077004i,-0.0025105+0.0069893i,0.00053701+0.0063873i,0.0013275+0.0035406i
-0.0043546+0.0047789i,-0.01624+0.011026i,-0.051127+0.015005i,-0.090767+0.0055332i,-0.10248-0.022017i,-0.081331-0.036854i,-0.036939-0.029472i,-0.0015487-0.019518i,0.0060912-0.0079712i,0.0081102+0.0014741i,0.016664-0.0026041i,0.016129-0.010774i,0.0094347-0.011482i,0.0074061-0.012696i,0.0065768-0.014948i,0.0076552-0.012604i,0.0087809-0.012124i,0.0043858-0.015506i,-0.00034343-0.015863i,-0.00092462-0.013842i,-1.6841e-05-0.013049i,0.0011444-0.010855i,0.0025728-0.0057724i
-0.0037783+0.00134i,-0.0018736-0.019823i,0.010209-0.051959i,0.025914-0.064335i,0.026573-0.023836i,0.021041+0.027125i,0.017503+0.042696i,0.013821+0.039752i,0.019017+0.026483i,0.021569+0.0064128i,0.014128-0.00076585i,0.011751+0.0023878i,0.012514-0.00037745i,0.010177-0.0083652i,0.0067401-0.018875i,0.0027164-0.025868i,0.0022576-0.021595i,0.0052415-0.010463i,0.0068337-0.0019196i,0.0062998-0.00044948i,0.005342-0.0020132i,0.0033475-0.0033797i,0.00080624-0.0035357i
0.01115+0.0023025i,0.039703+0.00056609i,0.084305+0.0084422i,0.1153+0.028574i,0.11222+0.043638i,0.066556+0.040611i,0.0034937+0.025329i,-0.029206+0.011352i,-0.022768+0.0024405i,-0.013644-0.0054538i,-0.018906-0.0025456i,-0.016573+0.0067745i,-0.007295+0.0099859i,-0.0047265+0.013738i,-0.0045351+0.017819i,-0.0058218+0.015572i,-0.010171+0.0094841i,-0.014408+0.0044812i,-0.014631+0.00462i,-0.012189+0.009235i,-0.010167+0.013792i,-0.0067765+0.014486i,-0.0035911+0.010757i
-0.0027332+0.014245i,-0.012325+0.040399i,-0.033652+0.076759i,-0.047952+0.079817i,-0.036773+0.028988i,-0.0074945-0.022017i,0.013535-0.037723i,0.016056-0.035159i,0.0030279-0.02526i,-0.0085467-0.012112i,-0.0085595-0.0082025i,-0.0096118-0.0091195i,-0.011038-0.0037437i,-0.0077276+0.0048378i,-0.0038285+0.015994i,0.00089901+0.026217i,0.0055668+0.025709i,0.008181+0.014987i,0.0074861+0.0016455i,0.004332-0.0059268i,0.0030677-0.0078568i,0.0027718-0.0096564i,5.0256e-05-0.010627i
-0.016733-0.00091522i,-0.044716-0.018213i,-0.083217-0.051612i,-0.099243-0.070646i,-0.071244-0.051128i,-0.020377-0.02486i,0.021814-0.00023049i,0.037009+0.019629i,0.02754+0.018517i,0.017557+0.010429i,0.018754+0.0040585i,0.016163-0.0053726i,0.0052491-0.012246i,0.0003661-0.016361i,0.0021489-0.020586i,0.0055982-0.021162i,0.0067996-0.013335i,0.0051457-0.0012243i,0.0056109+0.0067162i,0.0069053+0.0051577i,0.0065548+8.5838e-05i,0.0057674-0.00076083i,0.0065701+0.00012217i
0.012757-0.011808i,0.044213-0.033433i,0.088459-0.05023i,0.10551-0.041108i,0.071881-0.013524i,0.012444+0.016335i,-0.027416+0.027701i,-0.030457+0.022729i,-0.013018+0.014449i,0.00011684+0.0089809i,0.00461+0.010528i,0.0091883+0.0099649i,0.010339+0.0023932i,0.0049973-0.0052805i,-0.0020352-0.012465i,-0.01012-0.017677i,-0.014851-0.018354i,-0.013585-0.015099i,-0.011177-0.0091034i,-0.0098971-0.0016604i,-0.009169+0.0025656i,-0.0086771+0.0039608i,-0.0087466+0.0069497i
0.0067215+0.015369i,0.01594+0.052883i,0.031562+0.093955i,0.040681+0.08861i,0.032351+0.038802i,0.012657-0.010544i,-0.0060484-0.044165i,-0.012648-0.059177i,-0.010618-0.042366i,-0.0099952-0.019007i,-0.014043-0.010019i,-0.012927-0.00014196i,-0.003884+0.0097741i,0.0019068+0.014132i,0.0018025+0.016363i,-0.001479+0.015235i,-0.0044074+0.0089185i,-0.0042837-0.00043306i,-0.0031655-0.0052764i,0.00010858-0.0032926i,0.0055998-0.0012091i,0.0077827-0.0027776i,0.0062398-0.0054571i
-0.02104-8.6906e-05i,-0.055817-0.0050303i,-0.10149-0.012601i,-0.109-0.011398i,-0.057315-0.009039i,0.0055534-0.014035i,0.037978-0.012938i,0.034928-0.0084534i,0.013427-0.0137i,-0.0011493-0.01611i,-0.0029452-0.013919i,-0.0037564-0.014956i,-0.0067297-0.010518i,-0.0043623-0.0010457i,0.0040505+0.0071082i,0.014983+0.013468i,0.021519+0.013263i,0.017221+0.007665i,0.0091173+0.0021116i,0.004511-0.0040854i,0.0011528-0.0067279i,-0.00092721-0.0036572i,0.00058971-0.00013623i
0.0084555-0.01561i,0.026372-0.046344i,0.044981-0.066534i,0.039344-0.039939i,0.012041+0.023099i,-0.0067387+0.068134i,-0.021111+0.07667i,-0.032244+0.065162i,-0.026395+0.039247i,-0.0099204+0.016691i,0.0033553+0.0093969i,0.0051299+0.0018881i,-0.0028397-0.0089162i,-0.0094051-0.014809i,-0.012177-0.017895i,-0.013904-0.018432i,-0.010537-0.010216i,-0.0038631+0.0023742i,0.0017686+0.006938i,0.0021787+0.0018603i,0.00054209-0.0016629i,0.00053751-0.0013882i,-0.0011789-0.0018097i
