-0.001694+0.00029363i,-0.00073178+0.00028818i,-0.00077567+0.00059845i,-0.00066959+0.0011157i,-0.00031463+0.0016045i,2.4417e-05+0.00092574i,-0.00061136+0.0011377i,-0.00065347+0.001158i,0.00036996+0.00023411i,0.00092803-0.00045336i,0.0010878-0.00074725i,0.0010735-0.0012497i,0.00067935-0.0021144i,-1.1144e-05-0.0019608i,-0.00033249-0.00071373i,-0.00014718+0.00029661i,0.00016869+0.00096578i,0.00044742+0.0011883i,0.00021975+0.00073337i,-0.00042826+0.00034633i,-0.00045501+0.00053281i,-0.00023269+0.00040488i,0.00030579+8.6167e-05i
0.0021789+6.716e-06i,0.0028392-0.00061866i,0.0023011-0.00015881i,0.001287+0.00056528i,0.0017773-0.000979i,0.0013671-0.0015741i,0.00058533-0.00024314i,-5.949e-05+0.00013387i,-0.0010109-0.00079882i,-0.001173-0.0010003i,-0.00052557-7.9993e-06i,1.8852e-05+0.00048845i,-0.00011111+0.00028908i,-0.00017326+8.506e-05i,-0.00018085+0.00031396i,-0.00061562-7.2848e-05i,4.766e-05-0.00098402i,0.00058909-0.0001304i,0.00037435+0.00069666i,-0.00017689+0.00029544i,-0.00058169+0.00034388i,-0.00037795+0.00033282i,-4.3676e-05+0.00023009i
-0.00053803+0.00054891i,-0.0010223+0.00066958i,-0.00032837+0.0015301i,0.00055724+0.0010189i,-0.00020356-0.00010197i,-0.0011631-6.276e-05i,-0.00014858-0.00032308i,0.00027149-0.00082525i,-0.00025132-0.00078053i,-0.00066833-0.0011643i,-0.00068024-0.0017293i,-0.00014918-0.00087021i,9.0081e-05-0.00052546i,-0.00049998-0.00059024i,-0.00088042+0.00031427i,-0.0002503+0.0010919i,2.9325e-05+0.0013276i,-4.7308e-05+0.00086006i,2.3277e-05-0.0003935i,-0.00049939-0.00044176i,-0.0014477-0.00055435i,-0.00065116-0.0011156i,-0.00010061-0.00047937i
-0.0028443-0.00038182i,-0.0014869+0.00056102i,-0.00028334+0.0014499i,0.0010163+0.0014161i,0.0015433+0.0014857i,0.0010147+0.0011726i,0.00067804+0.000888i,0.00044419+0.00033737i,-0.00018958-0.00034073i,-0.00052862-0.00029056i,0.00031562-0.00026912i,0.0014974-0.00011685i,0.0017698-0.00040297i,0.00094038-0.0005414i,-1.4559e-05-0.00011714i,-0.00014944+0.00030173i,-0.00018131+0.00041414i,-1.482e-05+0.0001128i,-9.3692e-05-0.00015636i,-0.00012597-0.0001351i,-6.3401e-05+0.00012733i,-8.9202e-05+0.00010232i,0.00023719-0.00032104i
0.00056017+0.0012821i,0.0013683+0.0014175i,0.0026788+0.0021201i,0.0019775+0.00134i,0.00066156+0.00046606i,0.00022198+2.0525e-05i,0.00053808+0.00076694i,0.00048953+0.00041243i,9.0804e-05-0.00048886i,-0.00058285-0.00014071i,-0.00027575+0.00027777i,0.00028984-1.719e-05i,0.00034139-0.00015229i,0.00042394+0.0003172i,0.000156+0.00048727i,-0.00075684+0.00056166i,-0.00057514+0.0010748i,1.4633e-05+0.00071847i,0.0001692+0.00040125i,1.6698e-05+9.4576e-05i,-0.00012327+0.00016229i,0.00031401+0.00025278i,-0.00028783-0.00013559i
0.00015488+0.0026494i,0.00080888+0.0022264i,0.0019132+0.0020085i,0.0026588+0.0013834i,0.0036461+0.00070032i,0.0031122-0.00015083i,0.0011348-0.00059472i,0.00040487-0.00067636i,0.00026533-0.0011681i,-0.00024373-0.0010909i,-0.00019526-0.00073834i,-0.00013014-0.00078481i,-0.00075765-0.00043343i,-0.00065173+0.00023883i,0.00033113+0.00062196i,0.00043528+0.00079658i,-4.0467e-05+0.00096589i,0.00028192+0.00070752i,-0.00029814+0.00027264i,-0.00063794-0.00043578i,0.0001687-0.00053865i,0.00057414-0.00045343i,0.00064294-0.0008169i
0.00068993+0.00056364i,0.0012773+0.00024402i,0.0015733-0.00035137i,0.0010815-0.0016736i,0.00017142-0.001449i,-0.00023323-0.00097959i,-0.00058238-0.0013416i,3.2021e-05-0.00091263i,0.0011683-0.00042151i,0.0012168-0.00077333i,0.0010412-0.00052124i,0.00042405+3.4227e-05i,-0.00065549+0.00013157i,-0.0013408-0.00012992i,-0.000868+6.7414e-05i,0.00020885+0.00016825i,0.00018675-0.00019215i,2.1529e-05-0.00042289i,1.2276e-05-0.00070747i,-2.455e-05-0.00018338i,-8.1685e-05+0.00012902i,6.4571e-05-0.00068572i,-3.0513e-06-0.0012003i
0.0027893-0.00035607i,0.002169+0.00064588i,0.0018017-0.00015977i,0.0010006-0.00037134i,0.00018793-9.2105e-05i,-0.00063155-0.0002194i,-0.00093054+0.00028031i,-0.00064373-0.0002292i,-0.00044313-0.00092451i,-0.00089977-0.00039893i,-0.001946+0.00063356i,-0.0012484+0.00078678i,-0.00017855+0.00053262i,0.00056086+0.00076766i,0.001112+0.00074418i,0.00092579+0.00081374i,0.00063388+0.0012564i,-0.00011755+0.00082185i,-0.0012702+0.00025026i,-0.0015853+0.00018201i,-0.00095191+0.00019259i,-0.00086968+0.00024656i,-0.00056842+0.00044747i
0.0013771+0.00059938i,0.001062+0.00039951i,0.00057756+4.0692e-06i,0.00087671-0.00047572i,0.00047233-0.00078305i,-0.0010251+0.00016075i,-0.00097062+0.00046159i,-0.00073298-0.00020612i,-0.0011226-0.0014644i,-0.00085707-0.0024687i,-0.00095194-0.0015686i,-0.0013223+0.00019511i,-0.00099966+0.00074815i,5.9775e-05+0.00081841i,0.00017252+0.001021i,-0.00027659+0.00069002i,-0.00024305+0.00083379i,8.7722e-05+0.00061729i,0.00075932+0.00071195i,0.00059481+0.0005094i,0.00027927-0.00037402i,-7.6745e-05-0.00073571i,-0.00072303-0.00049764i
0.00033259+0.0010258i,-5.3794e-05-8.4894e-05i,0.00037379-0.0012264i,0.00019795-0.0012256i,-0.00063707-0.0004965i,-0.00062725+0.0001246i,-1.8104e-05+0.0004015i,7.0174e-05-0.00050526i,-6.4141e-05-0.0012505i,-0.00014964-0.0011901i,-0.00030996-0.0010411i,1.5012e-05-0.00070812i,0.00045883+0.00020407i,-0.00025366+6.2606e-05i,-0.00059643+0.00020692i,-8.8672e-05+0.00014754i,-7.0681e-05-0.00057474i,-0.0002959-0.00012142i,-0.00062163+0.000198i,-0.00046744-0.00050701i,-0.00019146-0.0011867i,-9.3977e-05-0.0011794i,-0.0003309-0.0003733i
0.00077036+0.00029217i,0.0011024+0.00068309i,0.0015372+0.0015788i,0.0015091+0.0015239i,0.00088137+2.0273e-05i,-0.00038859-0.00029459i,-0.00089162+0.00043045i,-0.0004615+0.00037641i,-0.00019096-3.269e-05i,-0.00024478-0.00025778i,-0.00048481-4.8397e-05i,-0.00068006+3.079e-06i,-0.00037172+0.00015708i,0.00031867+0.00040883i,0.00046036+0.00011442i,0.00033588-0.00030762i,0.00080595-0.00069209i,0.00095184-0.00046883i,-0.00039264+0.00019873i,-0.0012585+0.00021419i,-0.00075627+0.00024468i,-0.00022088-5.7901e-05i,-5.8424e-05+0.00035169i
