-0.0022109-0.00042748i,-0.0016309-0.0012709i,-0.0023246-0.0010195i,-0.0039999+0.00014577i,-0.0045547+0.00097845i,-0.0025182+0.0013084i,-1.1808e-05+0.0012143i,0.00083115+0.0014786i,0.0010295+0.0012677i,0.0016144+0.000788i,0.0011935+0.00053079i,0.00017079+0.00027307i,-0.00034595+7.9185e-05i,-0.0010079-0.00061638i,-0.0006544-0.0013252i,3.1503e-05-0.00085941i,8.9212e-05-0.00030058i,-0.00032323-0.0002334i,-0.0017428+0.00012131i,-0.0016519+0.00022813i,-0.00013335-4.6942e-06i,0.00065306-0.00020628i,0.00037928-0.00043868i
0.00020351+0.00039872i,8.8185e-06+0.0002692i,-0.00038876-0.00053932i,-0.00072395-0.00045022i,-0.00041629+0.00010913i,-0.00048048-0.00024042i,-0.00061622-0.00063914i,-0.00023555-0.00065112i,0.00013582-0.0011685i,0.00021534-0.0019487i,0.00055061-0.0010355i,0.00010197+1.8974e-05i,-0.00017586-0.00048198i,7.8659e-05-0.0010603i,-8.0563e-05-0.00052797i,0.00035032+0.00039353i,0.00035414+0.00031448i,-0.00014633-0.000298i,-0.0003348-0.00091821i,-6.8283e-05-0.00082323i,0.00028205-0.0008256i,0.00046797-0.0014013i,0.00030644-0.0014513i
0.00091305-0.0012547i,-0.00034379-0.00025523i,-0.00059009-0.00071627i,-0.00072323-0.00070386i,-0.00044432-0.00041267i,0.00063081-0.00088313i,0.0010521-0.0013289i,0.00075743-0.0010559i,0.00078616+0.00016525i,0.0012806+0.00033249i,0.00080007-0.00020051i,-0.00032978+0.00018102i,-0.00064848+0.00046417i,-0.0008704+0.00042209i,-0.00013002+0.00023451i,0.00023041-0.00010838i,-0.00040647-0.0002547i,-0.00037605-0.00047833i,-0.00026808-0.00028258i,-0.0003286+2.8132e-05i,-0.00027187-0.00024111i,-0.00015512-0.00034001i,0.00023244-0.00061141i
0.0011341+0.00056802i,0.0014262+0.00036215i,0.00099875+1.7886e-05i,-0.00059655+3.7822e-05i,-0.00086581-0.00010201i,-0.00082457-0.00096669i,-0.0011223-0.0011692i,-0.00063151-0.0001011i,0.00013163+0.00053415i,0.00020571-0.00024926i,-0.00017386-0.0012789i,-0.00046372-0.00089328i,-0.00061999-7.1875e-05i,-0.00057988+2.5201e-05i,-0.00065638+0.00014263i,-0.00050777+0.00032072i,-0.00025284-0.00010992i,-6.0111e-05-0.00064302i,-0.00043017-0.00055929i,-0.00048879-0.00035505i,-0.00072-0.00023759i,-0.00080068-0.00030137i,-0.00014779+3.9031e-05i
-0.00025389+7.4162e-05i,0.00012913+0.00040224i,1.7034e-05+0.0007945i,-0.0016443+0.0013307i,-0.0014478+0.0010347i,0.00035492+0.00026087i,0.00044504-0.00014634i,0.00042649-0.00048922i,0.00058717+2.9289e-05i,0.00037009+0.00074032i,0.00017737+0.00088798i,-0.00044507+0.00057547i,-0.00066071-0.000308i,-0.00014801-0.00080195i,0.00016411-6.8881e-05i,-0.00031943+0.0002318i,-0.00095343-0.00055222i,-0.00091955-0.0006298i,-0.0005759-0.00067588i,-0.00034853-0.00055449i,0.00011183+0.00024801i,0.001018+0.00083991i,0.0013953+0.00099726i
0.0010503+0.00082644i,0.0014892+0.0011417i,0.0011379+0.00093719i,-9.6639e-05+5.5628e-05i,-0.00020487-0.0004517i,0.00010019-0.00048568i,0.00070641-0.00040203i,0.00040193-0.00032875i,-0.0002123-0.00030369i,-3.9805e-05+0.00025359i,0.00051315-1.4578e-05i,0.00046848+0.00018935i,0.00073329+0.00053742i,0.00088343-0.00011553i,5.4471e-05+9.1219e-05i,6.2159e-05+0.00098796i,0.00040719+0.00049416i,-1.6577e-06-9.5077e-05i,-0.00044133-0.00013853i,-0.00035596-0.00049049i,-0.0004799-0.00066027i,-0.0016367-0.00019149i,-0.001561-1.1319e-05i
-0.001979+0.00017518i,-0.0018055-0.00049455i,-0.003176+5.6779e-05i,-0.0033628+0.00059143i,-0.0016898+0.00061358i,8.9935e-05+0.00021794i,0.00057942+0.00050654i,0.0005316+0.00050181i,0.00034623+0.00026743i,0.00010862+0.00034183i,-0.00055568+0.000638i,-0.00092012+0.00056653i,-0.00059191-0.00033327i,-0.00023184-0.00042151i,-1.5026e-05+0.00053203i,-0.00031365+0.00078238i,-0.00011957+0.00016339i,5.1951e-06+8.1539e-05i,-0.00025116+0.001025i,9.9135e-05+0.00094542i,2.3787e-05+0.00056473i,-2.2663e-05+0.00058664i,-0.00036771+0.00047468i
0.0017449+0.0014326i,0.0016678+0.0011728i,0.0020236+0.00028823i,0.0021712-0.00078931i,0.0016019-0.00093385i,0.00071118-0.00099603i,0.00058095-0.0013191i,0.0011154-0.0013072i,0.0015264-0.00079894i,0.0012887-0.00066077i,0.00073954-0.00046176i,0.0004377-0.00013441i,6.4728e-05-0.00060919i,-0.00029244-0.0008588i,-0.00022372-0.0003155i,-0.00078671-0.00031777i,-0.0014115-0.00017521i,-0.00090059+0.00022338i,-0.00027387+0.00037339i,-1.1891e-05+0.00028696i,0.0005472+0.00019441i,0.00072405+0.00012491i,0.00054163+5.1895e-05i
-0.00091137+0.00068633i,-0.0011342+0.0011891i,-0.0020878+0.0013143i,-0.001329+0.00095075i,-0.0009338+0.00080436i,-0.00056726+0.00016934i,-6.3668e-05+4.8515e-05i,0.00022656+0.00031652i,0.00071132+0.00032251i,0.00097739+0.00098398i,0.00079668+0.00054119i,0.00035044-0.00013108i,9.6578e-05-0.00013008i,0.00042105-8.239e-05i,0.0011831-0.00052554i,0.00079792-0.0011194i,8.4734e-05-0.0009724i,-0.00027863-0.00034253i,-0.00067616+0.00022582i,-0.0003478+0.0012964i,-0.00043853+0.0011315i,-0.00097774-0.00043548i,-0.00039413-0.00038421i
-0.00046795-0.00020377i,0.00025576+0.00030865i,-8.7182e-05+0.00035182i,3.8358e-05+0.00010954i,0.00015251+0.00017571i,-8.0831e-05+0.00036617i,0.00068039+0.00018334i,0.0012603-0.00079877i,0.00013571-0.0011613i,-0.00051395-0.00033715i,-1.913e-06+0.00017356i,3.5678e-05+0.00049291i,-0.00063077+0.00064532i,-0.00065788+0.00076912i,-0.00022555+0.00062835i,-0.00041907+5.9562e-05i,-0.00039003-0.00059919i,-5.3666e-05-0.00039979i,0.00022494+0.00073716i,-0.00050705+0.0009857i,-0.00050077+0.00011665i,0.0010992-0.00011146i,0.0009279+4.0518e-05i
-0.0016676+0.0015922i,-0.0014244+0.0021272i,-0.0013717+0.0026977i,-0.00056802+0.0020927i,0.00041064+0.00080961i,0.00030551-0.00093438i,-0.00020835-0.0017329i,-0.00045252-0.00072724i,0.00059614+0.0007174i,0.00088156+0.00082295i,0.0010722+1.8024e-05i,0.0018982-0.00025333i,0.0010493-0.00014826i,-0.00048155-0.00016268i,-2.3282e-05-0.00016542i,0.00062151+0.00045151i,0.00015519+0.00066106i,-0.00039418+5.7975e-05i,-0.00097327-0.00019467i,-0.00087378-7.4108e-05i,4.6104e-05+0.00048004i,0.00040165+0.00054068i,0.00085+4.2295e-05i
0.00060871+0.00060269i,4.4664e-05-0.00055483i,-0.00070615-0.0013883i,-0.00014529-0.00075757i,0.00061995-0.00027459i,0.00066083-0.0011952i,-0.00054977-0.0011219i,-0.0011401-0.00055195i,-0.0010305-0.00064847i,-0.00038564-2.6785e-05i,0.00011559+0.00025512i,-0.00013421-0.00010556i,-0.00038054-4.9424e-05i,-0.00074111-0.00028919i,-0.00057451-0.00028276i,-9.5266e-05-6.8616e-05i,0.0004035+2.1588e-05i,0.00034524+0.00026945i,-0.00022992+0.00046121i,-0.00062507+0.00091976i,-0.00066902+0.00097674i,-0.00058042+0.00047568i,3.7999e-05-1.72e-05i
