-0.0037329+0.00014124i,-0.0025951-3.0902e-05i,-0.003018+0.00064528i,-0.002763+0.0012532i,-0.0014229+0.0025366i,-0.00030908+0.0030649i,0.0003123+0.002401i,8.6407e-05+0.0019914i,8.586e-05+0.0019178i,0.00050848+0.0017059i,0.00046379+0.00076491i,0.00065507-0.00063442i,0.00094529-0.0010173i,3.4946e-05-0.00058862i,-0.00059826-0.0006678i,0.00041495-0.00030689i,0.00090893-0.00054793i,0.00086298-0.00081722i,0.0010905-0.00045807i,0.00066313-0.00014812i,0.00019531+0.00057092i,-0.00010605+0.001278i,-1.5053e-05+0.0012155i
7.3622e-05-0.00046535i,0.00032626-0.0006927i,0.00080109-0.00091037i,0.00018386-0.0010941i,0.00019821-0.00089276i,0.00054334-0.00078465i,-7.7363e-05-0.00052584i,-0.00054482+0.00075469i,-4.7004e-05+0.0002591i,-0.00019204-0.00080227i,-0.0011042-0.00043675i,-0.0006152-0.00026049i,-3.2414e-05-0.00020927i,-0.0003651+0.00021731i,-0.00023452+0.00014427i,0.000212-0.00038368i,0.00041504-0.00027125i,-0.00018875-3.5219e-05i,-0.00063827-1.3686e-05i,-0.00057418-0.00019864i,0.0002024-0.00031253i,0.00050194-9.3142e-05i,0.00035217-0.00012342i
0.0010066-0.00036871i,-0.00014862+0.00013379i,-0.0004684-0.00017421i,6.4798e-05+2.27e-05i,1.5637e-05+0.00019013i,-0.00013694+0.00028897i,-0.0010107+0.00063603i,-0.00092053+0.0013276i,-0.00034532+0.001386i,-0.00020746+0.0004733i,5.0546e-05+4.1393e-05i,-0.00045544-0.00032378i,-0.00068719-0.00031124i,-0.00036016+7.0993e-05i,-3.4216e-05+0.00028062i,-3.5845e-05+5.219e-05i,-4.2621e-05-0.00064702i,-0.00028274-0.00064659i,-0.00043245+3.8591e-05i,-0.00014667+5.0048e-05i,3.0249e-05-0.0004087i,-0.00018391+0.00013576i,0.00041658+0.00017281i
-0.00097007-0.00064857i,-0.00087331-0.0010087i,-0.0016653-0.00024554i,-0.0016721+0.00066546i,-0.00084422+0.00076043i,-3.0852e-05+0.00068241i,0.0001237+0.00080433i,-0.00027663+0.0003553i,-0.00012831+0.00034584i,-1.3045e-05+0.00024643i,-0.0004917-0.00046153i,-0.00034362-0.00077033i,0.00033882-0.00030735i,0.00075545+0.00011451i,0.00088354+0.00045683i,0.00083468-0.0001318i,0.0010316-0.00015761i,0.00074866+0.00056691i,0.00036226+0.00025636i,5.8442e-05+0.00021679i,-0.0004781+0.0010798i,-0.0012715+0.0017318i,-0.0015201+0.0011517i
0.00055834-0.00054663i,0.00047476-0.0013303i,0.0010326-0.0023065i,0.00099228-0.0024663i,-3.0462e-05-0.0023052i,-3.0294e-05-0.0012434i,-0.00022132-0.00029282i,-0.00018645-0.00020433i,0.00032307-0.0007044i,-0.00060395-0.0017213i,-0.0011887-0.00086625i,-0.00060026+0.0009005i,-0.00053316+0.0012318i,-0.00073113+0.0014095i,-0.00013704+0.0011231i,0.0010713+6.9472e-05i,0.0019522+4.586e-05i,0.0012205+9.1882e-05i,-0.0001745+0.00018966i,-0.00031681+0.00062141i,-0.00048063+0.0005943i,-0.00041513+0.00048014i,0.00043818+9.5455e-05i
-0.00010369-0.0010668i,0.0012832-0.00065073i,0.00062245-0.00014959i,-0.0007395-0.00022072i,-0.0011572+0.00037698i,-0.0013984+0.0014759i,-0.0011595+0.00099231i,-0.00062774+4.4425e-05i,-8.8063e-05+7.524e-05i,0.00032144+0.00017368i,0.00019666+0.00064684i,0.00040328+0.00066589i,0.00094672-0.00010861i,0.00093899-0.00046912i,0.00033686+0.00021058i,4.5615e-05+0.00027758i,4.1662e-05-0.00014537i,0.00046635-0.0002242i,0.00025261+0.00011231i,-0.00025377+0.00040118i,6.7042e-05-7.4215e-05i,0.0003379-0.00070283i,0.00046592-0.00022748i
0.00043872+0.0014314i,0.00079976+0.001275i,0.00033226+0.0025009i,0.0010041+0.0014577i,0.0015201+0.00024041i,0.00022109+1.7142e-05i,-0.00043991-0.0003142i,-0.00062538-0.00074297i,-0.00057952-0.00068806i,0.00024519-0.00092714i,6.5921e-05-0.0010848i,-0.00082334-0.001i,-0.0015382-0.0012006i,-0.0013176-0.00034025i,2.0211e-05+0.00024127i,0.0012725+1.4848e-05i,0.00092696+0.00033925i,0.00038883+0.00010376i,0.00084149-0.00010884i,0.00053159+0.00012321i,0.00065481+0.00020415i,0.00078223+0.00051476i,0.00027162+0.00044476i
-0.0014073-0.0016828i,-0.001179-0.00066416i,-0.0013923+0.00017907i,-0.0010544+0.00066421i,-0.00077671+0.0010921i,0.00056475+0.0010027i,0.0011273+0.00095345i,0.00015018+0.00089513i,-0.0003163+0.00040701i,-0.00017056+0.00057718i,-0.00032418+0.00099055i,-1.28e-05+0.00085697i,4.7317e-05+0.0005449i,-0.00050911-0.00042734i,-0.00024643-0.00039854i,3.4582e-05-6.6515e-05i,0.00027182-3.9259e-05i,0.00050247+0.00026681i,0.00068098+0.00016339i,0.0010486+0.00016236i,0.00071789-0.00035085i,0.00013169-0.0012326i,-0.00021371-0.0010515i
-0.0001018+0.00067269i,0.00034531+0.0013663i,0.0011692+0.0011591i,0.00087193+0.00053574i,0.00013047-8.426e-05i,0.00045828+0.00011846i,0.00035354+0.00070977i,4.6495e-05+0.00057816i,-7.1136e-05+0.00044212i,-0.00011984+0.00033908i,0.00048081-2.8113e-05i,0.00023534-0.00017933i,-0.00035972-0.00056972i,0.00029997-0.0006029i,0.00043168+5.0565e-05i,0.00020461-0.00012916i,0.00034317+6.4864e-05i,0.00011973+0.00047105i,-5.1438e-05+0.00067139i,0.0004113+0.00094131i,-0.00019781+0.00056165i,0.00016892-0.0002582i,0.00046633-0.00034505i
0.00043856-0.0004108i,-9.7766e-05-0.00064289i,0.00024075-0.0010513i,0.00074844-0.0017227i,0.001039-0.0016477i,0.0010852-0.00040669i,0.00075785+0.00043088i,-0.00050154+0.00028651i,-0.00063369-0.00021005i,0.00021535-0.00024282i,-0.00063955+0.00011024i,-0.0010048+0.00039348i,-0.0006746-5.4746e-05i,-0.00067535-0.00049878i,-0.00049259-0.00022025i,-0.00022303+0.00028139i,0.00018972+0.00019383i,0.00078599-0.0004718i,0.00049581+6.9296e-05i,-6.847e-05+0.00052222i,-0.00015937-7.2228e-05i,0.00015616-0.00014004i,0.00020202+0.00047911i
-0.00039628-0.00043165i,0.00045131-0.00094765i,-0.00018565-0.00103i,-0.00068481-0.00080797i,-0.00092588-1.1887e-05i,-0.0011039+0.00053901i,-0.00087778+0.00082248i,5.4718e-05+0.00053364i,0.00055003+0.00042722i,0.00055848+0.00025838i,0.00083781-0.00074842i,0.00074321-0.00063211i,0.0006449+6.0765e-05i,4.4082e-05-0.00017034i,-0.00029803-0.00022621i,0.00033834+1.1183e-05i,6.4191e-05+0.00019125i,-0.00043815+0.00029489i,-0.00014885+0.00027113i,-0.00051162+0.00056284i,-0.0004613+4.5875e-05i,-0.00034032-0.00056496i,-0.00082816-0.00084347i
-0.0020266-0.0001425i,-0.0021445+0.00072635i,-0.0025857+0.0019967i,-0.0020766+0.0016561i,-0.00037568+0.0009019i,0.00088661+0.00092886i,0.00093869+0.00019925i,0.0013128-0.00015033i,0.0010371+0.00077009i,4.8287e-05+0.00069536i,3.005e-06+0.00012074i,0.00057999-2.2494e-05i,0.00049016+0.00015532i,4.4472e-05-0.00034487i,0.00065246-0.00051342i,0.00075239+0.00018423i,0.00050846+0.0006527i,0.00078912+0.00017022i,0.00052108-5.7029e-06i,-0.00016423+0.00053161i,-0.00011098+0.00087141i,0.00019329+0.00053207i,-0.00012747-6.762e-05i
0.0016267-0.0012205i,0.001242-0.0016025i,-0.00020996-0.0011829i,-0.0017637-0.0013166i,-0.0018083-0.00092684i,-0.0014235-0.0010852i,-0.0012193-0.0014048i,-0.0010253-0.0012642i,-0.00088686-0.00078538i,-0.0012449-0.00084461i,-0.0011492-0.0011952i,-0.00022835-0.00055242i,0.00036394+0.00063885i,0.00045157+0.00059163i,0.00018593-0.00012579i,-2.5774e-05-0.00014942i,-0.00028161+0.00068043i,0.00032457+0.0011251i,0.00073579+0.00058579i,-0.00015545-0.00043005i,3.9277e-05-0.00070698i,0.00049664-0.0002691i,4.8843e-05-0.00033745i
0.00094746+0.00028591i,0.0015093-0.0003216i,0.0006924-0.0008852i,-9.0707e-05-0.0010603i,-0.00091839-0.00037821i,-0.0010296+4.7131e-05i,-0.00010632+0.00049127i,0.00042974+0.00078883i,0.00013282+0.00054495i,-0.00027972-7.0953e-05i,-0.00025045-0.00025799i,-0.00011731-9.7475e-05i,0.00018402+0.00020954i,0.00020204+0.00078848i,0.00046828+0.0012478i,0.00072752+0.0016487i,0.00035504+0.0013946i,-0.00038358+0.00037028i,-0.0010224-0.00010156i,-0.0011615+4.4287e-05i,-0.00039143-6.7586e-05i,-0.00061163+0.00015877i,-0.0012432+0.00037138i
0.0012799-0.0017718i,0.00073866-0.0013062i,-0.0001966-0.0013518i,-0.0012226-0.0020856i,-0.00094423-0.0023321i,-0.0014571-0.00059108i,-0.0024195+5.8888e-05i,-0.0010504-0.0005377i,0.00024058-0.00056886i,-0.00044474-0.00048018i,-0.0010457-0.00030009i,-0.0011285+0.00024894i,-0.00038266+0.00083655i,0.00037281+0.0012655i,0.00051307+0.0015323i,0.00035647+0.0015755i,0.0011568+0.0009862i,0.0016649-8.395e-05i,8.6638e-05-0.00098774i,-0.00075798-0.00057674i,-0.00038049-0.00018877i,-0.00031483-0.00059648i,-0.00045163+5.832e-05i
-0.0021716-0.00068001i,-0.0018298-0.0012594i,-0.002132-0.00042526i,-0.0027025-0.000123i,-0.0016519+0.00074527i,-0.00053185+0.00084429i,-3.8551e-05+0.00037815i,-6.1616e-05+0.00072796i,-0.00078243+0.00073787i,-0.00070611+0.00095955i,-0.00043615+0.0010005i,0.00025742+0.00032319i,0.0010045+0.00033554i,0.0002135+0.00081545i,-0.00014902+0.00027063i,0.00010647+0.00026754i,0.00046211+0.00062929i,0.00043126+4.3758e-05i,-0.00044995-0.0006755i,-0.00010061-0.00050603i,0.00080842-2.6564e-05i,0.00011546+4.8598e-05i,-0.00096758+0.00016268i
0.00081114+0.00018581i,0.00056179+0.00025034i,0.0012895-0.00083785i,0.0016128-0.00075541i,0.00019925-0.00012696i,-0.00010314-3.9058e-05i,0.00079561-0.00022603i,0.0010322-0.00051073i,0.00075774-0.00017519i,0.00081067+0.00059068i,0.00072409+0.00043393i,0.00040132-0.00029231i,0.00013637-0.00037038i,-0.00026512-0.00020736i,-0.00054113-0.00012331i,-5.8839e-05+0.00011162i,0.0003485+0.0006568i,0.00051698+0.00046067i,0.0011414-0.00012655i,0.0006523+6.2077e-05i,-0.00024707+0.00033554i,-0.00019222+9.7417e-05i,-0.00047259+9.7347e-05i
-0.00028414-0.0007401i,-0.0007773-0.00030478i,-0.0013898+0.00019852i,-0.0023243+0.00023082i,-0.0023325-6.4496e-05i,-0.0019308-0.0001632i,-0.0011679+7.4989e-05i,-0.00078126-8.5529e-05i,-0.00061396-0.00044395i,-0.00092233-0.00044773i,-0.00089792-0.00020306i,-0.00040322+0.00047753i,-0.00023272+0.00089407i,-2.4975e-05+0.00033494i,0.00023181-0.00029184i,0.00063274-0.00074263i,0.00084622-0.00050197i,0.0013035+0.00042163i,0.0014623-0.00011179i,0.00055448-0.0011398i,-0.00021481-0.00083976i,0.00011939-0.00054173i,0.00048662-0.00027043i
-0.00014209-0.0017708i,0.00016624-0.0023021i,-0.00056134-0.0021521i,-0.0008475-0.0011497i,-0.00010287+0.00010279i,0.00055961+0.00093556i,7.1292e-05+0.00090812i,-0.00072819+0.00032693i,-0.00076755+5.4318e-05i,-0.00073291+6.3162e-05i,0.00010998+0.00036687i,0.00069944+0.00092194i,0.0005593+0.00049307i,0.0003416-0.00043601i,0.00015816+0.00016152i,5.3481e-05+0.00078282i,-0.00048354+0.00054962i,-0.00044321+7.7654e-05i,0.00022621+3.7232e-05i,-0.00032631+1.1017e-05i,-0.0005615+5.7274e-05i,-1.2429e-05+7.2967e-05i,0.00018377+3.5063e-05i
0.00067191+0.00066674i,0.00090233+0.00072832i,0.00087073-0.00030932i,0.00059543-0.001507i,0.00011328-0.0020909i,-0.0005112-0.0013012i,-0.00055765-0.00023816i,0.00015666-0.00053291i,0.00073-0.0011307i,1.0508e-05-0.0014754i,-0.00090074-0.00085866i,-0.00066319+0.00064875i,-4.3382e-05+0.0013239i,-0.00015316+0.00086309i,-0.00019955+0.00031374i,-4.2255e-05+0.00019345i,0.00020492+0.00091915i,0.00083773+0.00089185i,0.00081443-0.00035648i,0.00066347-0.00023998i,0.00090806+0.00036817i,0.00089717+0.00028465i,0.000392+0.00034424i
0.00043062-0.0016021i,0.00042008-0.0014937i,0.00011977-0.0022532i,-0.00067612-0.0021409i,-0.0017244-0.00028679i,-0.0017012+0.00094531i,-0.00078373+0.00097795i,-0.00023451+0.00072303i,-4.1416e-05+0.00036341i,-0.00033493+8.7184e-06i,-0.00056165+0.00054866i,-0.00071805+0.00079424i,-0.00030645-0.00041988i,8.2183e-05-0.00050096i,-4.2558e-05-0.00042704i,0.00056464-0.00031493i,0.00030275+0.00038716i,0.00027499+0.00060337i,0.00033084-5.1788e-05i,-0.00022726-0.00049867i,-0.00050526-4.724e-05i,-0.00053145+0.00035636i,-0.0007126+0.00057974i
-0.00027356-0.00033189i,-0.00046234-0.00015031i,-0.0020663+0.0014802i,-0.0020188+0.002332i,-0.00086262+0.0017216i,0.00056693+0.00084048i,0.0011499+0.00054849i,0.0013638+0.00037554i,0.00081462+1.5412e-05i,0.00026537+0.00070051i,-2.5726e-05+0.0011262i,-5.4549e-05+0.000511i,0.0002203-0.00042544i,-0.00016245-0.00018914i,-0.00040434+0.00021549i,-0.00022022+0.00011562i,0.00024759+0.00052667i,0.0003553+0.00089517i,0.00022832+0.00069388i,-0.00011894+0.00019167i,0.00021345-0.00023515i,0.0013612-0.0002319i,0.001261-1.0941e-05i
0.00058038+0.0011309i,0.00066071+0.00057024i,0.00066593-3.9545e-05i,0.00079694-0.00059306i,0.00041657-0.0018354i,-0.00022654-0.0019964i,-0.00071008-0.0012654i,-0.00030963+3.5987e-05i,0.00091716+0.00079914i,0.0010082+0.00020948i,-0.00011797-0.00023582i,-0.00081712-0.00021635i,-0.00097954-0.00025236i,-0.00014085-0.00043686i,8.2694e-05-0.00064668i,-0.00066228-0.00048771i,-0.00057986+0.00023077i,0.00018176+0.0007126i,0.00036522+0.00054623i,0.00027115+0.00030844i,0.00036471-0.00016964i,0.00052664-0.00034638i,0.00066708-0.00044024i
-0.0014664-0.0017395i,-0.0018625-0.0019705i,-0.002976-0.0021732i,-0.002745-0.00068224i,-0.0015908+0.0012372i,-0.00062744+0.0018218i,-0.00037929+0.0012847i,-3.8734e-05+0.00064182i,-2.0852e-05+0.00094043i,-0.00085254+0.0011721i,-0.00072566+0.00096258i,0.00048707+0.0007947i,0.00071691+0.00034i,0.00055947-9.9455e-05i,0.00049318-0.00022157i,0.00043375-0.00033051i,0.00066124-3.657e-05i,0.00059317-0.00028774i,0.0005941-0.00053676i,0.0003491+0.00015143i,-0.00040603+0.00056992i,-0.00011321+0.0012191i,0.00044422+0.0011278i
-0.0020809+0.00098943i,-0.0019959+0.0010659i,-0.0010988+0.0015453i,0.00033402+0.0013741i,0.0011663+0.00027914i,0.002081-0.00085315i,0.0016951-0.0015884i,0.00058391-0.0010356i,0.00033948+2.6136e-05i,0.00022343+0.00056568i,0.00046972+0.00054136i,0.00084031-0.00034339i,0.0006027-0.00028993i,0.00012177+0.00039689i,0.00024197+0.00046053i,0.00059484+0.00037i,0.0006929-0.00015508i,0.00018704-0.00011415i,-0.00030599-0.00046792i,-0.00013611-0.00070928i,0.00023795-0.00039492i,0.00033933-0.0002453i,0.00076292+0.00019262i
0.00090343+0.00072513i,0.001043-0.00053647i,0.0011826-0.0013164i,0.00051154-0.00091274i,-0.00043175-0.00059133i,-0.0014732-0.0009217i,-0.0017092-0.00043277i,-0.0014251-6.1105e-05i,-0.0011607+7.5953e-05i,-0.0008346+0.00065653i,-0.0015342+0.00097035i,-0.0017561+0.00091773i,-0.0013421+0.0007074i,-0.00086122+0.00056811i,-0.00048896+6.9511e-05i,-0.00028405-0.00015202i,-1.7345e-05+0.00045092i,0.00022862+0.00042343i,-0.00016304-0.00052823i,-0.00039516-0.0011427i,-0.00033806-0.0012861i,0.00046668-0.00076015i,0.0013802+1.1421e-05i
-0.001143-0.00054731i,-0.00052308-0.00055102i,-0.00068256-0.0013106i,-0.0010718-0.0009961i,-0.00039863+0.00031742i,-0.00021116+0.00071343i,-0.00043026+0.00045675i,-0.00040383+0.00039222i,-0.00023005+0.00053638i,0.00038157+0.00066183i,0.00011467+0.0010589i,-0.00018873+0.0016615i,-0.00062095+0.00079135i,-0.00085018-0.00044849i,-0.00046536-0.00081501i,-0.00014871-0.00034537i,0.00031053+0.00026015i,0.00046688+0.00039243i,0.00066566+0.00069986i,0.0010696+0.0005353i,0.00077388+0.00049514i,0.0005535+0.00079435i,0.00065173+0.00066549i
-0.00052346+8.0485e-06i,0.00058769-0.00053636i,0.00069513-0.00084075i,-0.00028509-0.00013i,-0.0015056+0.00080638i,-0.00096939+0.00070719i,0.0001436-5.2443e-06i,-0.00023933-0.00022557i,-0.0001952-0.00082903i,3.7275e-05-5.2288e-05i,-0.00045412+0.0017441i,-0.00027276+0.001028i,-0.00020661+0.00042751i,-7.3705e-05+0.00061769i,0.00067652+0.00035668i,0.00058948+0.00039113i,0.00046925+0.00025103i,0.00085857-0.00047831i,0.00085963-0.00034566i,-0.00037724+0.00067i,-0.00073261+0.00093433i,-0.00069632+0.00072337i,-0.00090473+4.7932e-05i
8.9534e-05+0.0013489i,8.977e-05+0.00087968i,-0.0001161+0.00062977i,0.00049303+0.0010285i,0.0010137+0.00064602i,0.00039458+0.00028735i,-0.00040214+0.00030152i,-0.00056713-0.00033973i,-0.00035384-0.00063223i,-0.00093177+9.9345e-05i,-0.0014684+0.00055701i,-0.00047032-9.1589e-05i,-9.9603e-05-0.00063126i,-0.00040307-0.0005388i,0.00011519-0.00016567i,0.00048908+0.00030104i,0.00030137+0.00054607i,0.00045156+0.00046418i,0.00043467-8.9845e-05i,0.00019703-0.00057541i,0.00016837-0.00021897i,0.000154+4.495e-05i,-9.5207e-05+1.8694e-05i
-0.00033863+0.0012307i,-0.00061027+0.0008894i,-0.00073551+4.4062e-05i,-0.00051081-7.3895e-05i,-7.8081e-05+0.00055914i,-0.00016347+0.00055454i,-0.00053748+0.00028255i,-0.00067237+0.00043414i,-0.00056761+0.00037169i,-0.00035713+0.00053418i,-0.00015335+0.00036688i,-0.00017434+0.00011943i,2.7167e-05-0.00017491i,0.00016138-0.00011746i,-0.00027801+0.00088029i,2.7398e-05+0.0015828i,0.00032497+0.0012605i,0.00012106+0.00032329i,-0.00048785+0.00027976i,-0.00068938-0.00010485i,0.00026-0.0002188i,0.00040345+0.00028301i,0.00039251+0.00043633i
-0.00027962+0.0011357i,0.00023155+0.0015967i,0.00027437+0.0022699i,0.00025735+0.0013897i,0.0015846-0.00027005i,0.0018248-0.0010997i,0.00087763-0.0013607i,0.00080897-0.00043666i,0.00087426+0.00025044i,8.4721e-05-0.00064994i,-0.00011743-0.0015693i,0.00011331-0.0011052i,-0.00015511-0.00037589i,0.00028838-0.00035101i,0.00024069+9.0818e-06i,0.0002943+0.00030746i,0.00078294-7.444e-05i,0.00011325+0.00024232i,8.525e-05+0.00034609i,0.00031741-8.316e-05i,-0.00019083+5.8802e-05i,-0.00048932+0.0007843i,-0.00080585+0.00071005i
0.002268-0.001724i,0.0015183-0.001665i,-0.00013464-0.001916i,-0.001004-0.0015255i,-0.0018527-0.0019863i,-0.0021277-0.0017991i,-0.00089347-0.00070516i,-0.00044332+0.00077963i,-0.00074947+0.00071986i,-0.00088155-0.00065436i,0.00011745-0.0012945i,0.0002876-0.00073454i,-0.0012013-0.00027949i,-0.0014662+0.00027673i,-7.055e-05+0.00015305i,0.00016663-0.00022145i,-0.00024397-0.00055276i,0.0003161-0.00094688i,0.00046005-0.00055431i,-0.00035275+0.00039562i,-0.00030952+0.00064071i,6.2198e-05+4.5962e-05i,9.8376e-05+5.7171e-05i
