-0.0009081+0.00037143i,-0.0010293+0.00015889i,-0.0021813+0.00071698i,-0.0018784+0.0012943i,-0.00065191+0.0013827i,0.00012727+0.00072876i,-0.00070436+5.4571e-05i,-0.0022982-7.9544e-05i,-0.0024266-0.00062205i,-0.001394-0.00067687i,7.1873e-05-0.00012606i,0.00057195-0.00060393i,0.00011381-0.001317i,-0.000144-0.000643i,0.00021227-7.3668e-05i,0.00060112+9.1514e-05i,5.9053e-05-0.00059217i,-6.4466e-05-0.0010249i,0.00035976-0.00026515i,-7.8601e-05+0.00031018i,-0.00044627+0.00035029i,8.4479e-05+0.00033194i,0.0013236+0.00019273i
0.0026385+0.00048245i,0.0023361+6.9929e-05i,0.0017758+0.0003004i,0.00098625+0.00080874i,0.00040967+0.00086642i,-0.00016862+3.2763e-05i,-0.00057671-0.00043495i,-0.0007216-1.7498e-05i,-0.00087147-1.4903e-05i,-0.00077622+0.00037298i,-0.00068862+0.00034944i,-0.00033677-0.00041275i,0.00021362+5.33e-06i,0.00038433+0.00019423i,-0.00015886-0.0006745i,-0.0005795-0.00043301i,-5.0849e-05-0.00025075i,-0.00045893-0.00049885i,-0.00039504-8.7184e-05i,0.00104+0.00051861i,0.0012548+0.00038447i,0.00037649+9.8768e-05i,-0.00019773+0.00028026i
0.00072357+0.00034976i,0.00035518+0.00041512i,-0.00098462+0.00043666i,-0.0014285+0.00062056i,0.00017848+0.00067481i,0.0017244+0.00057679i,0.00052477-0.0011766i,-0.0012045-0.0021364i,-0.002156-0.00091462i,-0.0022744+0.00047691i,-0.00095922+0.00093796i,0.00033001+0.00072161i,0.00042985+0.00071168i,0.00037745+0.00075149i,0.0007942+0.00047244i,0.0007161-0.0012359i,0.00051518-0.0022458i,0.0006847-0.00077335i,0.00097072+6.873e-05i,0.00089373+8.9322e-05i,0.0001697-9.5702e-05i,-0.00052567+0.00055714i,-0.00049307+0.00073784i
-0.00080327+3.5242e-05i,-0.0013593-0.00011799i,-0.0031062+0.00040021i,-0.0029683+0.00094536i,-0.0013747+0.0013104i,0.00034315+0.00016524i,-0.00011592-0.0016159i,-0.0012913-0.0023868i,-0.0015149-0.0012757i,-0.00089752+3.7631e-05i,0.00040356+0.00055135i,0.00027464+0.00021033i,-0.00022441-0.00016657i,-3.7541e-05+0.00022797i,0.00063693+0.00016352i,0.0010607-8.1948e-05i,0.0006865-0.00010578i,-5.4374e-05-0.00045956i,-0.00041298-0.00082295i,0.0003401-0.00061257i,0.0009897-0.00044647i,0.00092586-0.00056789i,0.00057821-0.00041866i
-0.00014625-0.000664i,0.0004899-3.5268e-05i,0.0011748+0.0021406i,0.0013708+0.0040255i,0.0013177+0.0034821i,0.0011003+0.0015054i,-0.00018712-0.00067237i,-0.0015791-0.0013552i,-0.0015635-0.00078137i,-0.00070258+0.00029884i,1.1125e-05+0.00072621i,0.00060865+0.00084419i,0.00042341+0.00098075i,0.00042327+0.00077278i,0.0009513-2.3015e-05i,0.00099268-0.00047164i,0.00037641-0.00035096i,0.00013759-0.00082492i,0.0006982-0.0011084i,0.00071924-0.00020846i,-3.7937e-05+0.00084965i,-0.0002218-4.759e-06i,0.00039497-0.00060556i
-0.00026044-0.0006721i,0.00082217-0.00073707i,0.00091184-0.00059186i,0.00052152-4.1303e-05i,0.0012214+0.001166i,0.002013+0.0010373i,0.00031445-0.0005201i,-0.0014612-0.0012592i,-0.0018602-0.001755i,-0.0018697-0.0011695i,-0.0011653-1.6251e-05i,-0.00058691+0.00048179i,0.00023245+0.0003994i,0.00049609+0.00069849i,-0.00052558+0.0005631i,-0.00050142-0.00027491i,1.0259e-05-0.00064082i,-0.00049463-0.00049984i,-0.00055509-8.7834e-05i,0.00010237+0.00039653i,0.0001941+0.00065355i,0.00034015+0.00052577i,0.00075446+0.00096923i
-0.00018069+0.0001497i,-0.00051927+0.00066889i,-0.0014948+0.00114i,-0.0022574+0.0010238i,-0.0012113+0.0012393i,0.00065581+0.00045082i,0.00029308-0.00092676i,-0.001065-0.0010088i,-0.0018382-0.00045227i,-0.0012968+0.00029979i,-0.00051412+0.00052197i,1.9999e-05+0.00030941i,0.00042231+9.8228e-05i,7.2151e-06+0.00042051i,-0.00011675+0.00068537i,0.00086966+0.00034658i,0.00098306-0.00022383i,-6.2502e-05+0.00037563i,-0.00023852+0.00082067i,-2.2423e-05+0.00098077i,-0.0001672+0.00068509i,-5.9806e-05+0.00015851i,0.00037702+0.00051357i
-0.00020265+0.00075092i,0.00037725+3.9813e-05i,0.00011049-0.00066425i,0.00013726+0.00036281i,0.00044305+0.001909i,0.00032866+0.00063352i,-2.5165e-05-0.0019561i,-0.0014489-0.002283i,-0.0024459-0.00084926i,-0.0015216+3.6654e-05i,-0.00038035+0.00070492i,0.00066538+0.00071403i,0.0010902+0.00048047i,0.00037186+0.00060303i,0.00021842+0.00020758i,1.9643e-05-0.0006057i,-0.00055662-0.0003311i,-0.00037365+0.00022957i,-1.8885e-06+0.00011878i,0.00017105+0.00014127i,0.00035377-0.00011361i,0.0013171-1.2246e-05i,0.0014651+0.00063902i
-0.00027299+0.0024943i,-0.00083035+0.0012696i,-7.1523e-05+0.0004101i,0.0007357+0.00048176i,0.0017711+0.0011731i,0.0012784+0.00027505i,-0.00098738-0.00078004i,-0.0023146-0.00076323i,-0.0019718-0.0008903i,-0.0016842-0.00030779i,-0.00063211+0.00026244i,0.00036072+0.000283i,0.00052534+5.5539e-05i,0.00036612+0.00052682i,0.00033074+0.0013762i,0.00053317+0.00077905i,0.00085886-7.2299e-05i,0.0010054-9.7993e-07i,0.00068681-2.6483e-05i,0.00055503-8.6479e-05i,-0.00042669-7.4698e-05i,-0.0009748-0.00037235i,-0.0003595+0.00035017i
0.00041007+0.00054092i,-0.00074402+0.00038752i,-0.00034127-0.00051522i,0.00054619+2.6726e-05i,0.00035381+0.00075364i,0.00060038+0.00052102i,0.0014336+0.0003132i,0.00030357+0.00032536i,-0.0013718+0.00015993i,-0.0018878+0.0004316i,-0.0010171+0.00030173i,-0.00049647-4.7181e-05i,-0.00087272+3.7151e-05i,-0.0010716+0.00034227i,-0.00080362+0.00028011i,-8.4039e-05-0.00013025i,8.9664e-06-0.00071261i,-0.00032494-0.00055161i,-4.458e-05+0.00028106i,0.00024468+0.00056601i,-0.00011466+0.0011i,-0.00049377+0.00097947i,0.00018577-0.00016138i
-0.00044444-0.0010474i,0.0003791-0.0014912i,0.00049153-0.00091881i,-0.00041736+0.0001355i,0.00011003+0.00095804i,0.0012626+1.8615e-05i,0.00090217-0.0017716i,-0.00034065-0.002573i,-0.0010649-0.00086294i,-0.00066923+0.00086449i,0.00027798+0.0011993i,0.00014619+0.00054599i,-0.00032813+0.00018822i,-0.00022335-3.0077e-05i,0.00029667-6.9675e-06i,0.00028357+0.00085378i,0.00043703+0.00084263i,0.00082535+0.00068093i,0.00065334+0.00092836i,-2.7912e-05+0.00073578i,-0.00029081+6.6914e-05i,-1.3922e-05-0.00017452i,0.0001608-9.4902e-05i
-0.00082835+0.00061247i,-4.8002e-05+0.00013034i,-4.7604e-05+0.00075178i,-0.00070135+0.0012385i,0.00074355+0.0014046i,0.002199+9.1312e-05i,0.00089942-0.0013534i,-0.0012883-0.0020717i,-0.0019962-0.0016387i,-0.0015202-0.00049839i,4.3183e-06+0.00073643i,0.00086981+0.0008841i,0.00037232+0.0004555i,-0.00060645+0.00062029i,-0.00097452+0.00086078i,-0.00051002+0.00084607i,5.5718e-05+0.00091804i,0.00047221+0.0012372i,0.00038095+0.0011926i,0.00027882+0.00049146i,8.7978e-05+0.00020276i,-6.5788e-05+0.00059146i,0.00017359+0.0003466i
-0.00067197-0.00028789i,-0.0010549+0.00040703i,-0.0013848+0.0010305i,-0.00058846+0.0017551i,0.0010578+0.0022151i,0.0016452+0.0011113i,0.00065036-0.00023931i,-0.0015923-0.0010269i,-0.0024791-0.00071078i,-0.0019715-0.0002816i,-0.0010842-0.00022274i,-0.00031329-4.8609e-05i,0.00010891+0.00049712i,-0.00020922+0.0012521i,-0.00069486+0.00072797i,-0.00041661-0.00024905i,-0.00033615-0.00069348i,-0.00086241-0.00065548i,-0.0010684+3.726e-05i,-0.00042929+0.00041471i,-0.0001688-0.00033983i,0.00011999-0.0004101i,0.00084297-0.00040895i
-0.00044532+0.0012782i,-0.00031218+0.0011994i,-0.00065564+0.0010919i,-0.00075558+0.0011555i,0.0005228+0.00090201i,0.0010157-0.00020745i,-0.00023806-0.0011342i,-0.0015192-0.001252i,-0.0029422-0.00057851i,-0.0029121-0.00013214i,-0.0013294-0.00033189i,-0.00032562+0.0001056i,-0.00037594+0.00085609i,-0.00082837+0.00022112i,-0.00064865-0.00011768i,-9.9988e-06-9.8123e-05i,0.00021353-0.00026277i,0.00021807-1.702e-05i,5.5384e-05-0.00010424i,0.0003345-0.00019517i,0.00043769-0.00012262i,0.00029732+0.00029288i,0.00066966+0.00076562i
-0.0011439+0.0017256i,-0.0013561+0.0021281i,-0.0011779+0.0025135i,-0.00051015+0.0026481i,0.00013239+0.0020121i,0.00087959+0.00051321i,0.00043835-0.00042222i,-0.00094832-0.0006581i,-0.0014287-0.00019293i,-0.00071755+0.00022704i,0.00026265+8.8647e-06i,0.0010662-0.00024736i,0.00050909+0.00044251i,-0.00039849+0.00041777i,0.00039284-0.0001062i,0.00090805-0.00037022i,0.00038947-0.00019804i,0.0005044+8.5211e-05i,0.0005099-0.00017894i,0.00025966-0.0012327i,0.0006361-0.0015502i,0.00053596-0.00084899i,-0.00026344-0.00079587i
-3.5089e-05-0.00085428i,-0.00063904-0.0011503i,-0.00034618-0.0011381i,0.00063268-0.00045368i,0.00069454+0.00039395i,0.00085293-0.0003053i,0.00049058-0.0018395i,-0.0010028-0.0016913i,-0.0024349-8.0467e-05i,-0.0020434+0.0006733i,-0.00067859+0.00056619i,-0.00029573+0.0004993i,-0.00035373-5.1916e-05i,0.00026637-0.00029087i,0.00087027+0.00036075i,0.0006214+0.00045177i,0.0001867+0.00011063i,0.00047997-0.00063153i,0.00084975-0.00033528i,0.0014087+0.00057787i,0.0011574+0.00062402i,0.00047214+0.00026321i,0.00025996+0.00018615i
0.0015462+0.0015522i,0.0016913+0.0011335i,0.0012114+0.00035856i,0.00098029+0.00031i,0.0014889+0.00038337i,0.0015388+0.00019283i,-4.0701e-05-0.00024616i,-0.0016435-0.00066031i,-0.0024022-0.00088591i,-0.0024335-0.00082078i,-0.0020911-2.3898e-05i,-0.0011246+0.00051033i,-0.00037589+0.00041537i,-0.00022741+0.00050162i,0.00029136-0.00032702i,0.0010376-0.0004092i,0.00061003+0.0002577i,2.397e-05+0.00012743i,-2.1866e-05+0.00010382i,0.00034273+0.00020006i,0.00067166-0.00033723i,0.00012925-0.00055729i,-0.00018081-0.0001336i
0.0016778-0.00038028i,0.00078573+0.00037113i,0.00066093+0.00080751i,0.000389+0.00097138i,0.00056046+0.00085773i,0.00058342+0.00037744i,0.00020579-0.00027726i,-0.00077515-0.00035776i,-0.0018965+0.00011429i,-0.0014505+0.00053582i,-0.00063736+0.00070004i,4.1872e-06-0.0002116i,0.00047851-0.0010979i,0.000417-0.00059573i,0.00077843-0.00028833i,0.0010452-0.00078376i,0.00060034-0.00074085i,0.00041294-0.00036782i,0.0003889-0.00026086i,0.00023422-0.00019114i,7.4942e-05-0.00018736i,0.00016267+0.00046427i,-5.0253e-05+0.0011398i
-7.2686e-05-0.0013979i,0.00098333-0.00072861i,0.00076183+0.00011939i,-0.0011182+0.00072699i,-0.00095012+0.0013i,0.00098945+0.0010832i,0.0011659+3.8868e-05i,-0.00070701-0.00074152i,-0.0025361+4.7107e-06i,-0.0026511+0.0010744i,-0.0016636+0.0011423i,-0.00064765+0.000447i,0.00035389-0.00019939i,0.00048909-0.00033516i,-0.00052392+5.8428e-05i,-0.00056908+0.00027182i,0.00020281+0.00047008i,0.0007708+0.00077784i,0.00041126+0.00094597i,0.00013731+0.00080456i,9.0806e-06+0.00066018i,-7.1517e-05+0.00086817i,0.00057198+0.0013012i
2.2184e-05+0.00025946i,-0.00026209-0.00034832i,-0.00067067-0.0007161i,-0.00033421-0.00015399i,0.00032957-9.6226e-05i,0.0014162-4.8059e-05i,0.00091529-0.00086601i,-0.0011747-0.0011627i,-0.0022104-0.00045086i,-0.0015258-0.00014831i,-0.00020508-0.00039388i,0.00029308-0.00020146i,0.00070366+0.00055024i,0.00053346+0.00092144i,0.00037572+0.0009477i,0.00019456+0.00031417i,-0.00042647-0.0007171i,-0.00014221-0.00014252i,-0.00028581+0.00058773i,-0.00038105+0.00054023i,-0.00050339+0.00029962i,-0.00042709+0.00023584i,0.00032947+0.00033792i
-0.0013659-0.00057973i,-0.0011199+0.00010702i,-0.0010581+0.0019569i,-0.00097546+0.0028867i,-0.00058484+0.0026242i,0.00016526+0.00093621i,-0.00014045-0.0012626i,-0.0015279-0.0015433i,-0.0022301-0.00018149i,-0.0019492-6.4027e-05i,-0.00074594-0.000539i,0.00017904+3.4454e-05i,1.9819e-05+0.0005914i,-0.00022215+0.00038546i,-0.00043226-0.00010096i,0.00024195-0.00054659i,0.00032564-0.00056688i,-0.00015597-0.00074265i,0.00034233-0.00055718i,0.00056966-0.00020712i,3.6383e-05-3.6691e-05i,-1.4164e-05+0.00010191i,0.00057434+7.4181e-05i
-0.00036104-0.00053843i,0.00013085-0.0017692i,-0.00062517-0.0011456i,-0.00098037+0.00083763i,0.00021785+0.0020212i,0.0016087+0.0023313i,0.0011579+0.00065435i,-0.0011521-0.00095954i,-0.0024168-0.00055526i,-0.0013237+0.00045932i,-0.00038871+0.00036328i,-0.00045265+9.6644e-05i,-1.7058e-05+0.00076794i,0.00072673+0.00082674i,0.0013885+0.00071676i,0.00085026+0.00034736i,-0.00038575+0.00052497i,-0.00026933+0.00097784i,0.00040804+0.00080971i,0.0008681+0.00094525i,0.0012055+0.00055304i,0.0010826+0.00072696i,0.00058578+0.0010841i
0.0020625+0.0013561i,0.0019139+0.0021065i,0.00036411+0.001335i,-8.4387e-05+0.00083533i,0.00073658+0.0011725i,0.00086131+0.00020849i,0.00042136-0.0013734i,-0.00076011-0.0014955i,-0.0015895-0.00079624i,-0.0012554+2.7026e-05i,-0.00072671+0.0004215i,-0.0010605+0.00070914i,-0.00019371+0.00085018i,0.0011173+0.0011891i,0.0011514+0.0015073i,0.00065057+0.0016877i,0.00037375+0.00057165i,7.9315e-06-0.00048495i,0.00054022+0.00029251i,0.00063692+0.0011043i,0.00021026+0.00082371i,0.0008304-0.00014624i,0.0008901-0.00078983i
-0.0010878-0.0004535i,-0.0014243-0.00049803i,-0.00095738+0.00046394i,-0.00051005+0.0020092i,-6.4414e-05+0.0021776i,0.00079832+0.00055053i,0.00037492-0.0007272i,-0.001268-0.0011154i,-0.0020603-0.00074233i,-0.0021946-4.5057e-05i,-0.0016462+0.00031211i,-0.0005073+0.00062704i,-5.6211e-05+0.00028983i,1.5979e-05+0.00015685i,0.00065893+0.0012021i,0.0012917+0.0010115i,0.0012916+0.00013486i,0.0010246+0.00035646i,0.00068365+0.00092557i,0.00063+0.00071181i,0.00059076+0.00020372i,0.00089171+0.00025083i,0.00075229-0.00031121i
0.0014374-0.0013174i,0.00072423-0.00068397i,-0.00053123-0.0011385i,-0.0015209-0.00081934i,-0.00030149+0.0005026i,0.0011247+0.0011128i,0.00042558+0.00056708i,-0.0018875-0.00068895i,-0.003036-0.0010801i,-0.0020569-4.0853e-05i,-0.0011681+0.00053524i,-0.00038958+0.00041819i,0.00012148+6.0842e-05i,-0.00029976-0.00035278i,-0.00018007-0.00063709i,0.00050102-0.00068646i,0.0006405-0.00073048i,0.00045146-0.00095997i,0.00036581+4.3479e-05i,-0.0005867+0.0012047i,-0.001075+0.0006412i,-7.1579e-05-4.9358e-05i,0.00026636+0.00038684i
-0.0014492+3.5482e-05i,-0.00075843-0.0012411i,-0.00062703-0.0001789i,-0.00047882+0.0012068i,0.00059472+0.0013633i,0.0012159+0.00016507i,0.00072257-0.0013528i,-0.00065657-0.0021213i,-0.0019612-0.0020352i,-0.0017271-0.0010379i,-0.00029851+0.00082305i,0.0004806+0.0010523i,0.00038722-1.2754e-05i,0.00073807+0.00019149i,0.0011682+0.00050932i,0.00060567+0.00088428i,9.285e-05+0.00094689i,-0.00039866+0.00068549i,-0.0009034+0.00077555i,-0.00075374+0.00095776i,-0.00051399+0.00026996i,-0.00074967-0.00035329i,-0.0010272+0.00015982i
0.00037662+0.0011205i,0.00026333+0.0013266i,-0.00079187+0.0014734i,-0.0017819+0.0022698i,-0.00099823+0.0021058i,0.0010789+0.00017845i,0.0010889-0.0015734i,-0.00076246-0.0020054i,-0.0016209-0.0010682i,-0.0012763-0.00020479i,-0.00047121+0.00024635i,-0.00013346+0.00042534i,7.0807e-05+6.1449e-05i,0.00096752+0.00017759i,0.0011381+0.00012381i,0.00097047+1.8315e-05i,0.0010437-0.00032144i,0.0011752-0.00093215i,0.0012437-0.00073619i,0.00078021+0.00016889i,-0.00052523-0.0002485i,-0.0010802-0.00072787i,-0.00030852+0.00018671i
0.00039661+0.00055315i,0.00096893+0.00074478i,0.00098926+0.0011927i,0.00043458+0.0020298i,0.001179+0.0020752i,0.00080096+0.0011194i,-0.00046328-0.00064143i,-0.0014437-0.0018138i,-0.0018288-0.0013497i,-0.0011463+0.00039493i,-0.00059143+0.0014737i,-0.00022982+0.00061699i,-7.5636e-05-0.0003715i,-0.00040159-0.00023417i,-6.9827e-05+0.00024072i,0.00074245+0.00028815i,0.00065573+0.00054677i,0.00058923+0.00036426i,0.00099851+0.00013302i,0.00052799+0.00034403i,7.8962e-05+0.00015537i,2.5957e-05+8.4518e-05i,0.00021976+0.0002542i
-0.00018265+0.0012354i,-0.00020764+0.00066428i,-5.6346e-05-6.7176e-05i,-2.4432e-05+0.00023071i,0.0012493+0.00069479i,0.0021028+0.0011182i,0.0015263+0.00016766i,-0.00044583-0.00060302i,-0.002294-0.00034358i,-0.0023225-0.00014467i,-0.0013428+0.00058382i,-0.00042415+0.00083475i,5.9884e-05+0.00078594i,-0.00013879+0.00061139i,-0.00036668-1.3416e-05i,7.5284e-05-1.6502e-05i,0.00018249-0.00015571i,-0.00060659-0.00016042i,-0.0011268-8.166e-06i,-0.0007059+0.00014423i,-9.7179e-05+0.00012744i,-0.0004487+0.00027696i,-0.00048708+0.00038771i
-0.00025571+8.6142e-05i,-0.0010712-0.0008626i,-0.0012458+3.4901e-05i,-0.0011882+0.0012865i,-0.00032554+0.0022305i,0.0004699+0.0008027i,-0.00047878-0.0016557i,-0.0021314-0.0021915i,-0.0025793-0.0010935i,-0.0013035-0.00016705i,-0.00031366-0.00018896i,-7.6726e-05+0.00035332i,-0.00039585+0.00055146i,-0.00052404+0.00017731i,9.2178e-05+0.00017644i,0.00018522-0.00012453i,0.00038585-0.0002809i,0.00044063+0.00050318i,7.6514e-06+0.0015406i,-0.00053231+0.0014079i,-0.00023971+0.0002345i,0.00036182-0.00015644i,0.00047099-0.00017803i
0.0025164+0.00024001i,0.0011363+0.00097745i,-0.00037685+0.0012095i,-0.0010894+0.0020149i,-0.00050874+0.0016833i,0.0012302+0.00097643i,0.0012795+0.00054446i,-0.00074248+8.0302e-05i,-0.0028844-0.00031284i,-0.0033722-0.00024782i,-0.0021646+6.4982e-05i,-0.00069694-0.00010237i,-0.00030047+0.00016878i,-0.00075164+0.00076124i,-0.00027977+0.00080376i,0.00044443+0.00025589i,0.00013744-0.00051531i,0.00010135-0.0011803i,-7.6835e-05-0.00068465i,-0.00014399+0.00035288i,0.00015132+0.00074122i,4.0836e-05+0.00070084i,-0.00040181+4.3424e-05i
-0.00088301+0.00078617i,-0.0013646+0.00048114i,-0.0011591+0.00028774i,0.00043669-1.2386e-05i,0.0013902+0.00029676i,0.0015507-9.0721e-06i,0.0011618-0.00069597i,-0.0006361-0.0012219i,-0.0015305-0.00047141i,-0.0014255+0.00072536i,-0.00079683+0.00036136i,4.5355e-05+0.00024993i,-6.7135e-05+0.00062229i,-0.00047714+0.0006057i,-0.00024359+0.00053433i,0.00078805-1.6534e-05i,0.00096202-0.00012559i,0.0001283-0.00027763i,0.00013499-0.00035642i,0.00048959-0.00027081i,1.1273e-05+3.157e-05i,-0.00064012+0.0003514i,-0.00070675+8.8259e-05i
