-0.00079493+0.0018565i,-0.00030407+0.0007104i,-0.0014532-0.00025028i,-0.0027184-0.00098602i,-0.0023788-4.0294e-05i,-0.0020264+0.0010068i,-0.0016081+0.0010444i,-0.00036055+0.001478i,0.00014732+0.00066567i,0.00021752-0.0007023i,0.0002672-0.00083351i,-0.00022083-0.00078066i,-0.00045828-6.2657e-05i,-0.00031061+0.00019925i,0.00036918-1.4148e-05i,0.0010218-0.00019912i,0.00067712-0.00042443i,-0.00038068+9.259e-05i,-0.00012827-0.00024651i,0.00022163-0.000326i,-0.00057498+0.00044586i,-0.00099962+2.222e-05i,-0.000142-0.00043088i
-0.00087047-0.00092787i,-0.00018291-0.0013874i,-0.00030949-0.00080837i,-0.0011646+0.00055663i,-0.0014663+0.00034295i,-0.000744-0.00074569i,-0.00036734-0.00068141i,-0.00057896+0.00021156i,-0.00026824+0.00042784i,-5.7026e-05+0.00062607i,-0.00073622-0.00027587i,-0.00041566-0.0014099i,-2.6094e-05-0.00074018i,-0.00016838-3.8155e-06i,0.00025162-0.00029879i,-9.9481e-05-0.00020805i,-0.00028556-0.00041086i,0.0006974-0.0006952i,0.0013351-0.00046041i,0.0012816+0.00020042i,-0.00026292+0.00055259i,-0.00045951+0.00028137i,0.0007648+0.00026307i
0.0022714-0.00054623i,0.0012845+0.00015995i,-6.6454e-05+0.00011219i,-0.00097231+0.00086299i,-0.00089367+0.0017682i,-0.00029101+0.0011947i,-0.0002602+0.00058876i,0.0001182+0.00018765i,0.0006302-0.00016319i,0.00031794-0.00050331i,-0.00041319-0.00082722i,-0.00074441-0.0010035i,-0.00087008-0.0010837i,-0.00081635-0.00029753i,-0.00019308+0.00037194i,0.00042162+0.00023084i,0.0011261+0.00010148i,0.00023694-0.00040086i,-0.00067836-0.0002184i,-0.00021296+0.00036645i,0.00011774-0.00012958i,5.92e-05+3.9708e-05i,-0.0002022-0.00014591i
-0.0013788+0.0010691i,-0.0017507+0.0024527i,-0.0027727+0.0019106i,-0.0025673+0.0017787i,-0.0019723+0.0020431i,-0.0014916+0.0016174i,-0.001195+0.001202i,-0.0008799+0.00045404i,-0.00089889-9.1929e-05i,-0.00044808-4.6466e-05i,-0.00024612+0.00040043i,-0.00027996+0.00029111i,0.00033916-0.00080614i,0.00072394-0.0010269i,3.9756e-05-0.00032493i,-0.00041135+0.00052175i,0.00039549+0.00032006i,0.00045265-0.00021975i,0.00022282-0.00042029i,-9.3837e-05-0.00050629i,-0.00086455-0.00042738i,-0.00016531-0.0007866i,0.00043074-0.00093317i
-0.0019756+0.0011643i,-0.0017841+0.0014389i,-0.0014011+0.0020976i,-0.00077491+0.0015979i,-7.2077e-05+0.0014177i,0.00018195+0.0016245i,-0.00030052+0.00094869i,-0.00043597+0.00033854i,-5.8265e-05-2.9119e-05i,5.6433e-05+9.5334e-05i,0.00029126+0.00045606i,-0.00021567-0.00020088i,-0.00099949-0.00068022i,-0.000333+0.00015761i,0.00020071+0.00038109i,-0.00053088-0.00077169i,-0.00062334-0.00085483i,-0.00029639-0.00018976i,-0.00067663-3.1122e-05i,-0.00072501-2.2551e-05i,-0.00051501-0.00034512i,-0.00053686-0.00065197i,-0.00028644-0.00012652i
0.0017107-0.001067i,0.0014548-0.0019236i,0.00061055-0.0017476i,-0.00096307-0.0012544i,-0.0017169-0.00089261i,-0.001445-0.00082667i,-0.00081791-0.00063579i,-0.00021146-0.00013938i,0.00016397-3.3856e-05i,-0.00020484-1.6919e-05i,-0.0012204-0.00027554i,-0.00092099-0.0002311i,8.2936e-05-2.9464e-05i,0.00017962+0.00047526i,0.00058774+0.00027943i,0.0015283-0.00056767i,0.0012898-0.00066572i,0.00015469-0.00032284i,-0.00055809+0.00043488i,-0.00064035+0.0005112i,0.00022934+0.00019234i,0.00067536-7.7966e-05i,3.9525e-05-0.0014489i
9.4204e-05+0.0012168i,-0.00038152+0.00072823i,-0.0010758+0.0001401i,-0.0017198+0.00037164i,-0.0012686+0.00052349i,-0.0007636+0.00045361i,-0.00048982+0.00052272i,-6.3487e-05+0.0011496i,-0.00040541+0.00096554i,-0.00094473-0.00025962i,-0.00065197-0.00044181i,-0.00048157-0.00011119i,-0.00011866-3.4421e-05i,-0.00031857-8.1051e-05i,-0.00084327-0.00025696i,0.00046153-3.1025e-05i,0.00093644-0.0001138i,0.00064215-0.00024126i,0.0006337+1.0324e-05i,0.00082365-0.00033955i,0.00032911+3.2776e-05i,-0.00014494+0.00088243i,-0.00037846+0.00043754i
0.0015981+0.00018676i,0.00012264-0.00056337i,-0.00081134-0.0004512i,-0.0021216-0.00027363i,-0.0017241-0.00032572i,-0.00090083-0.00023586i,-0.00090592-0.00046199i,0.00019857-0.00032424i,0.00010625-0.00049709i,-0.00037434-0.00075375i,-0.00021847-0.00023894i,0.00030773+0.00037663i,0.00081834+0.00083223i,0.00039841+0.00060073i,-0.00012067+0.00078163i,0.00019821+0.00035384i,0.00029795-0.00027556i,-9.4878e-05-0.00060596i,-0.00038626-0.00051528i,-1.8612e-06-3.4214e-05i,0.00034437+0.0001413i,-0.00037464+0.00011983i,-0.00023035-0.00023913i
-0.0013064-0.00029846i,-0.00089862-0.00052745i,0.0002333+6.4578e-05i,0.00022205+0.00068718i,-0.00046137+0.00030628i,-0.00089622+2.7737e-05i,-0.00087081+0.00013183i,-0.0010266+0.00043843i,-0.0010502-3.422e-05i,-0.00021552-0.0011369i,0.00035687-0.0010717i,0.00015032-0.00049227i,0.00031705-4.6522e-05i,0.00075496+0.00030491i,0.00071784+0.00043062i,0.0004867-0.00041507i,3.8312e-05-0.00046178i,-9.235e-05+0.00029041i,0.00041484+0.00026521i,0.00064254+0.00013202i,0.00019205+1.4406e-05i,7.1322e-05+5.7266e-05i,-0.00013852+0.00020583i
-0.00096417+0.00059012i,0.00097659+0.00064627i,0.00080343+0.00043935i,-0.00068321+0.00043175i,-0.001237+0.0011492i,-0.0010948+0.00065139i,-0.0015166+0.00054745i,-0.0011863+0.00048068i,-0.00025142-3.0037e-05i,5.817e-05+0.00012131i,-7.1324e-05-0.00028268i,-0.00018828-0.00035997i,-0.00017771-6.113e-05i,-0.00030405+0.00019286i,-0.00019937+0.00057867i,0.00052192+0.0003545i,0.00066488+3.4749e-06i,0.00013974+0.00011775i,0.00014407+0.00036546i,0.00049081+0.0002866i,0.00070893-6.4245e-05i,-2.8254e-05-0.00031095i,-0.0011278-0.00010504i
-0.0011934-0.00055796i,-0.0007315+0.00019087i,-0.00076018+0.00096134i,-0.001618+0.0017399i,-0.0026644+0.0016758i,-0.0017207+0.0016219i,-0.00039618+0.0013171i,0.00053245+0.00096291i,0.00076114+0.00066204i,-0.00052645+0.00051651i,-0.0014981+0.0010669i,-0.0008502+0.0012273i,0.00010743-9.8379e-05i,0.00049633-0.00082589i,0.0007349-0.00052714i,0.00031968-0.00026413i,-0.00096299-0.00048149i,-0.00062722-0.00020418i,0.0003105+0.00017312i,0.00014447+3.3409e-05i,-0.00023332-0.00052829i,-0.00053932+0.00024303i,1.3836e-05+0.0010319i
0.0015868-0.0017474i,0.00061296-0.0029556i,-0.00021743-0.0035012i,-0.0017352-0.0018998i,-0.0025322-7.8912e-05i,-0.0024619+0.00034584i,-0.0017+0.00087853i,-0.0011414+0.0015003i,-0.0010054+0.00053436i,-0.00077304-0.00042937i,-0.00066517-0.00085475i,-0.00033727-0.00045308i,9.7677e-05+0.0004415i,-4.7392e-05+0.00045864i,-0.00036341+0.00049479i,2.146e-05+0.0013298i,0.00073435+0.0010657i,0.0012894-0.00012891i,0.00058285-0.00080134i,-0.0001015-0.00068852i,-7.3876e-05-0.00026784i,1.4329e-05-0.00022587i,-5.0662e-05-0.00047863i
0.001233+3.0802e-05i,0.00047707+0.00080312i,-0.0014534+0.00056146i,-0.0026541-5.2052e-05i,-0.002081+0.00011217i,-0.001606+0.00044286i,-0.00093922+0.00045424i,-0.00023547+0.00063389i,2.139e-05+0.00061954i,0.00031677-0.00030481i,0.0010327-0.0012054i,0.0013843-0.00098246i,0.00083346-0.00024593i,0.00018202-0.0001464i,-0.00031494-0.00058128i,-0.00068532-0.00061708i,-0.00019017-0.00039321i,0.00025956-0.00017493i,0.00034424-0.00017731i,0.00019744-0.00051751i,-0.00014257-0.0005298i,0.00031599-0.00037726i,0.00012724-0.00051612i
-0.0028941-0.0011429i,-0.0036014-0.00064898i,-0.0030385-0.00064441i,-0.0021548-0.00031271i,-0.0016152+0.00012158i,-0.0010543+8.5203e-05i,-0.0007653+0.00071325i,-0.00070188+0.0011947i,7.7217e-05+0.00030625i,4.5806e-05-0.00025894i,-0.00085896+0.00049603i,-0.00085146+0.00097283i,2.8019e-05+0.00052476i,0.00064644-0.00013521i,0.0001899-0.00035717i,-0.00051801-0.00046537i,-0.00038819-0.0009877i,6.1671e-05-0.0010269i,0.00027873-0.00045339i,0.00034818-0.00037734i,0.00083013-0.00049604i,0.00094456-0.00052908i,-0.00022733-0.00039831i
-0.0020981-0.0018416i,-0.0012437-0.00066698i,-0.0021394+0.0006119i,-0.002479+0.000707i,-0.0018771+0.0010956i,-0.00091794+0.00060996i,-0.00046283-0.00036163i,-0.0011879-0.00013135i,-0.0015492+0.00034437i,-0.0012329+0.00045985i,-0.00066901+0.00059391i,-0.00021205+0.00041446i,-0.0001245-0.00027751i,-0.00014712-0.00079719i,0.00021221-0.0010427i,0.00073988-0.0008175i,0.00072312-0.00054139i,0.00038149-0.0010674i,0.0002154-0.0012544i,0.001051-0.00064674i,0.001995+0.0005569i,0.0010027+0.00042742i,5.2539e-05-0.00028036i
0.0020519+0.0023448i,0.0022526+0.0016614i,0.0014798+1.4448e-05i,0.00078211-0.00036315i,0.00090959-0.00014088i,0.00050669-7.84e-06i,-0.00099887-0.0002217i,-0.0018866-8.6955e-05i,-0.00091821+0.00090529i,-0.00020346+0.00082913i,-0.00050271+6.7745e-05i,-0.00094868-0.00059993i,-0.001033-0.0012107i,-0.00053715-0.00085181i,-0.0002828+0.00019428i,-0.00045313+0.00058683i,-3.6559e-05+0.00018097i,0.00089479+0.00042655i,0.0010242+0.00015981i,0.00068408+0.0001151i,0.0011791+0.0003469i,0.0014394+1.9047e-05i,0.00085019+2.1027e-05i
0.00060243+0.00033014i,-0.00043205+0.00021714i,-0.00131-0.00085041i,-0.0017757-0.00031671i,-0.0014461+0.0012451i,-0.00075872+0.0016654i,-0.00065631+0.0016387i,-0.00038783+0.00085857i,0.00025203+0.00011907i,-0.00018808-0.00051669i,-0.00076788-0.00043084i,-0.00095776+0.0001156i,-0.00069027-0.00042093i,-0.00044675-0.0006134i,-0.00022548+6.2211e-05i,0.00026854+0.00035086i,0.00063606-0.00021922i,0.00083036-0.0010269i,0.00043638-0.0010642i,-0.00017337-0.00081067i,-0.00059314-0.00092424i,-0.00071699-0.00065525i,-0.0011472-7.843e-05i
0.00022466+0.00059646i,-0.001505+0.00027662i,-0.0015956-4.4803e-05i,-0.0024845+0.00062332i,-0.0027745+0.00090907i,-0.001938-4.7859e-06i,-0.0014305-0.00032274i,-0.00097513-0.00017278i,-0.00036459-0.0003903i,0.00066678-0.0004904i,0.001055-0.00087553i,0.00049261-0.001529i,-0.00044176-0.00077577i,-0.00052607-3.3437e-05i,-0.00025474-0.00019597i,-0.00056803-0.00040129i,-0.00025015+9.5746e-05i,-1.9261e-05+0.00036779i,-0.0007818+1.9897e-05i,-0.00096303-1.6151e-05i,-2.8661e-05-0.0001352i,0.00047606-0.00011059i,0.00023494-6.05e-05i
-0.0014739-0.0028916i,-0.00049411-0.00217i,-0.0013634-0.00096163i,-0.0020462+0.00062345i,-0.002143+0.0013282i,-0.001038+0.0013404i,0.00022103+0.00045512i,3.8266e-05+0.00052325i,-0.00057957+0.00071802i,-0.00083183+0.00016019i,-0.00089508-0.00048384i,-0.00068785-0.00062613i,0.00018599+4.4773e-05i,0.0006486+0.00016765i,0.00051718-5.8602e-05i,-0.00032116-0.00010778i,-0.001038-0.00013292i,-0.00095093-0.00050676i,-0.00070317-0.001076i,-0.00086212-0.00029605i,-0.00077035+0.00049532i,-0.00032164+2.5957e-05i,-2.7194e-05-0.001095i
-0.00056697+0.0022845i,0.00035854+0.0015222i,0.0002631+0.0017732i,-0.00078712+0.0026513i,-0.00020104+0.0019124i,0.00096616-0.0004015i,0.00029423-0.00075588i,6.3316e-05-3.2533e-05i,0.0012342+3.172e-05i,0.001653-1.6823e-05i,0.00045589+2.3078e-05i,-0.00019473+0.0001868i,7.1983e-05-0.00051236i,0.0005099-0.00079551i,0.00068036-7.9518e-05i,0.00063063+0.00034814i,-9.6984e-05+0.00017138i,-0.00083828-0.000711i,-0.0006758-0.0010197i,-0.00022044-0.0008902i,0.00047961-0.00087674i,0.00053116-0.0010173i,0.00020065-0.001028i
0.0021328-0.0014319i,0.0011171-0.0018592i,0.00099517-0.0017748i,7.0813e-05-0.0014183i,-0.001633-0.00040665i,-0.0023186+0.00045572i,-0.0019841+0.00082574i,-0.0011032+0.00079279i,-0.00044134+0.00024848i,-0.00050114-0.00051002i,-0.00068642-0.00029531i,-0.00021185+0.00028732i,0.00022868+0.00031443i,0.00082718+0.00036466i,0.0010614+8.2396e-05i,0.00054581-0.00020239i,0.00074467+0.00011642i,0.0010048+0.00022542i,0.00066978-0.0001324i,0.0006612-0.00079885i,0.0009276-0.0010946i,0.0008672-0.00090652i,0.00072068-0.00010455i
0.00069669+0.00016154i,0.00042566+0.00019439i,-0.00084903+0.00078813i,-0.00095829+0.00097511i,-0.0011028+0.0009163i,-0.0011055-0.00070388i,-0.00062819-0.0011179i,-0.00023951+0.00017976i,0.00042622+0.00072961i,-1.9321e-05+0.00068671i,-0.00058495+0.00049266i,-0.00015598+8.9338e-05i,1.8839e-05-0.00025851i,0.00012182-0.00046063i,0.00038493-0.00029741i,-6.3526e-05-0.00027794i,-0.00035449-9.3517e-05i,-0.00042878+0.00043437i,-0.00056347+0.00055257i,-0.00039896+0.00042066i,-0.00034193-4.651e-05i,-0.00014542-0.00081386i,-0.00010518-0.0011115i
-0.00019072+0.00087155i,-0.00074916+0.00032805i,-0.0020559+5.581e-05i,-0.0028269+0.00069007i,-0.0018364+0.0012218i,-0.00067993+0.0016895i,-0.00044164+0.0010757i,-0.00058813+0.00078047i,-9.7311e-05+9.5934e-05i,0.00075496-0.0005731i,0.00070326-0.00039603i,0.00051903-0.00049474i,0.00041734-0.00025682i,-0.00022988+0.00038244i,-0.0003441+0.00031851i,0.00045337-0.0012605i,0.00068401-0.0016364i,-1.3968e-05-0.0011627i,-0.00062598-0.00074849i,-0.00075866-0.00017459i,-0.00060622-0.00014217i,-1.6695e-05-0.00062369i,0.00094448-0.00038159i
-0.00080101-0.0020995i,-0.0017105-0.0015884i,-0.0033459-0.0005596i,-0.0040627+0.00030217i,-0.0029804+0.00071906i,-0.0013194+0.0004908i,-0.00031999+0.00066347i,0.00022665+0.00094099i,0.00070534+0.00052781i,0.00076627-4.84e-05i,0.00013733-2.8003e-05i,-6.9401e-05+6.945e-05i,0.00018703-0.00035295i,0.00058367-0.00069305i,9.5526e-05-0.00095028i,-0.00079326-0.00082375i,-0.00047866-0.00058223i,-0.00022332-0.00024963i,-0.00054752+0.00016927i,-0.00032527+5.0146e-05i,-0.00014037-0.00023485i,-0.00011562-0.00041934i,0.00021259-0.0011908i
-9.3706e-05+0.00043754i,-0.00037305-0.00048297i,-0.00040257-0.00025239i,-0.0007229+7.5037e-05i,-0.00074135+0.00051994i,-0.00084553+5.007e-05i,-0.00095284-0.00025962i,-0.00039447+0.0011497i,-0.00026478+0.0012681i,-0.00047083+0.00026596i,-0.00030224-5.0152e-05i,-0.0004972+0.00028224i,-0.00025404+7.2585e-05i,-0.00012385-0.00020906i,-2.3051e-05-0.0003632i,0.00069861-0.00039073i,0.0009302-1.8843e-05i,0.0003784+4.0737e-05i,1.8365e-05+0.00036135i,0.0002247+0.0005901i,0.0001866-6.0597e-05i,-0.00055904-0.00067557i,-0.00070121-0.00073439i
