0.0030261+0.0010682i,0.0054778-0.001272i,0.0048496-0.0039023i,0.0010543-0.0039911i,-0.0023038-0.0020138i,-0.0024692+0.0015763i,-0.00055918+0.0036297i,-2.569e-05+0.0026824i,0.00065671+3.3642e-05i,0.0014623-0.0014021i,0.0012396-0.0014935i,0.00072605-0.0012337i,-9.277e-08-0.0005027i,-0.00035335-0.00060808i,0.00025454-0.00054343i,0.00087872-0.0002013i,0.00092409-0.00039024i,2.8177e-05+3.9188e-05i,-0.00044131+0.00036977i,-0.00045949-6.783e-05i,-0.00059489-0.000602i,-3.2845e-06-0.00030027i,0.000287-6.561e-05i
0.00022-0.00057001i,4.5636e-05-0.0010791i,-0.00045139-0.0017419i,4.3378e-05-0.0016465i,0.00056986-0.0006311i,0.0012709+0.00056079i,0.0018131+0.0004681i,0.0011497+0.00035554i,7.8947e-05+0.00064393i,-0.00026217+0.00018425i,0.00016051-0.00036663i,0.00067463-0.00037927i,0.00086379-0.00019472i,0.00081982+0.00018307i,0.00070146-1.238e-05i,0.00063049-0.00010888i,0.00015068+0.00029168i,-0.00051103+0.00020725i,-0.00067976-0.0002774i,-0.0002211-0.00034007i,0.00017131+0.00024516i,0.00024914+0.00039909i,-0.00033625-8.1447e-06i
-0.00015516-0.00059283i,8.2801e-05-0.00047856i,0.00077047-0.0009094i,0.00088993-0.0011718i,0.00049861-0.00098457i,0.00088045-0.00048184i,0.001752+0.00019762i,0.00066472+0.00050324i,-0.0002038+0.00083057i,-0.00049539+0.00073632i,-0.00020196+0.00033679i,1.3495e-05+0.0001881i,-4.7756e-05+0.00013242i,0.00025044+0.00074357i,0.00047726+0.00089312i,0.00047472+0.00047682i,0.00051005-0.00018739i,0.00023791-0.00030702i,0.00043525+0.00012321i,0.00011388+5.5764e-05i,-0.00024595-0.00018498i,-4.3374e-05-0.00012088i,-5.391e-05-0.00042443i
0.00012821+0.001529i,-0.00046751+0.00092229i,0.0004981+0.00039713i,0.0011615+0.0002869i,0.00074253+0.0006035i,0.00017543+0.0010899i,-0.00017593+0.0010284i,5.5111e-06+0.00064053i,0.00010683+0.00030526i,0.0007431-0.000202i,0.0013428-0.00038132i,0.00025353-0.0007315i,-0.00049509-0.0010108i,0.00016561-0.00043432i,0.00073675+1.8963e-05i,0.00099357-0.00047816i,0.0006081-0.00082544i,0.00045394-0.00027121i,0.00052877+0.00072083i,2.0673e-06+0.0016051i,-0.00048123+0.00086308i,-0.00050594+0.00020234i,-0.00038064+0.00032954i
0.0013242-0.0018325i,0.0011798-0.0014967i,2.8309e-05-0.0008849i,-0.00055163-0.00034659i,-2.7948e-05+0.00013206i,0.0015486+0.00075828i,0.0018374+0.00039649i,0.0013833-2.1796e-05i,0.0002463+0.00040506i,-8.6898e-05+0.00064669i,0.00063424+0.0003413i,0.00080912-4.7124e-06i,0.00087135-0.00034335i,0.0010143-0.00029906i,0.00067009+8.7807e-05i,-6.561e-05+0.00013406i,0.00035003+0.00021748i,0.00071164+0.00056718i,0.0008528+0.0007396i,0.00051872+0.0011751i,7.2568e-05+0.00080966i,0.00020528-7.0848e-06i,0.00068057+0.00045993i
0.00077477+0.0013153i,0.00075037+0.0012299i,0.0021103+0.00075044i,0.0026858-0.00029348i,0.00205-0.00124i,0.0018306-0.0012873i,0.0018514-0.00062589i,0.00070523-9.8584e-05i,0.00038002+9.6711e-05i,0.00045356-3.0891e-05i,0.00067081-0.0010607i,0.0014006-0.0011113i,0.00084873-0.00012473i,-0.0001831+0.00030213i,-0.00037014-0.00014512i,0.00017848-0.00062884i,0.00012847-0.00032225i,-6.309e-05+0.00021993i,0.00021598+0.00031399i,7.8274e-05+0.0005771i,-0.00037266+0.00018757i,1.7227e-06+0.00012057i,0.00055674+0.00068307i
-0.00098445-1.1886e-05i,-0.00067124+1.3125e-05i,-0.00037589+0.00079155i,0.00026086+0.00092698i,0.0017867-2.7278e-05i,0.0023553-0.0013689i,0.0023979-0.0010107i,0.0015412+0.0002297i,-0.00010993+0.0005952i,-0.0010685-0.00013695i,-0.00026075-0.00051439i,0.00038564-0.00040059i,-0.00040481-0.0003594i,-0.00053234-6.6029e-05i,0.00023193-0.00031475i,0.00084909-0.00031119i,0.00038259+0.00041152i,-0.00080985+0.00073334i,-0.00095683+0.00054307i,-0.00042828+0.00021409i,0.00025696+0.0005817i,0.00075944+0.0001182i,0.0003186-0.0009855i
0.00082883+0.0013316i,0.0015922+0.0010102i,0.0028408-0.00086619i,0.002063-0.0013461i,0.0012276-0.00093798i,0.001569-0.00045521i,0.0010451-5.1226e-05i,0.00040391+0.00042172i,5.4222e-05+0.000515i,-0.00031296-0.00051133i,0.00018064-0.0011631i,0.00058463-0.00020565i,0.0002334+0.00018245i,-0.00016741-0.00052433i,0.00010338-0.00047382i,-7.4776e-05-0.00024491i,-0.00010014+0.00014724i,-0.00019561+0.00079994i,-0.0001474+7.7624e-05i,-0.00016587-0.00038742i,-0.00048338+8.614e-06i,-6.6524e-05+0.00027079i,0.00069342-0.00016642i
0.00049784+0.00053674i,0.00089526-2.6989e-05i,0.001896-0.0010301i,0.0025973-0.0021505i,0.002584-0.0017162i,0.0022227+3.4414e-06i,0.0023595+0.00035572i,0.0015064+0.00021528i,0.00036172+0.00062742i,0.00017142+0.00052247i,0.00042915-0.00047281i,0.00082704-0.00049607i,0.00069756-7.3682e-05i,0.0010721-0.00031135i,0.00096299-0.00047064i,0.00042986-5.9358e-05i,0.00024959+0.00013114i,-0.00026828+0.00025483i,-0.00021407+0.0001411i,0.00027416+0.00055359i,0.0004862+0.00055743i,-6.7567e-05+0.00028672i,-0.00077885+0.00070389i
0.0010406+0.00071149i,0.0013037-0.00039976i,0.0015341-0.0019765i,0.00075452-0.0018645i,0.00035064-0.00033627i,0.0013888+0.00088941i,0.0021132+0.00031526i,0.0012854-0.00026677i,0.00076838+0.00010531i,0.0012083-2.9379e-05i,0.00040542-0.00029843i,-0.00077938-0.00030539i,-0.0011824-0.00060824i,-0.00013872-0.00034977i,0.00069416-8.5921e-05i,0.0002755-0.00035573i,-4.1305e-05+6.1044e-06i,-2.7869e-05-5.4506e-05i,7.7406e-05-0.00034717i,-0.00033149-0.0001212i,-0.00016877-0.00021403i,0.00043362-0.00069158i,0.00032577-0.00056343i
0.002034-0.0021512i,0.0023569-0.0026891i,0.0013828-0.0019442i,-0.00057329-0.00036566i,-0.00050943+0.00042435i,0.00092121+0.00052536i,0.0017051+0.00035371i,0.0013918+0.00027058i,0.00082607+0.00084854i,0.00059284+0.00086573i,0.00059156+0.00024219i,0.00039929+3.9255e-06i,-0.00021896-0.00025383i,-7.342e-05-0.00021388i,0.00071888+4.9718e-05i,0.00034717-0.00057082i,-0.00045415-0.00055503i,-0.0010535+0.0001326i,-0.00062294+0.00042343i,0.00078072+0.00060687i,0.0010655+0.0011157i,0.00019957+0.00076807i,0.00042409+1.807e-05i
0.00055544+0.00060288i,0.00018228-0.00027485i,0.00030673-0.00084347i,0.001079-0.00026974i,0.0010917-8.3901e-05i,0.00076675+8.9993e-05i,0.00077726-0.00019607i,0.00079102-0.00062586i,0.00026658-0.00045449i,-0.00056952-0.001039i,-0.00023934-0.0010006i,0.00051888-0.00010917i,0.00069072-0.00045392i,0.0010694-0.00026592i,0.0012081+0.000911i,0.00054801+0.00083564i,-0.00039101-0.0003774i,-0.0011248-0.00059033i,-0.00052-0.0004003i,-9.3091e-05-0.00040533i,-0.00029573-0.00015742i,0.0004141-7.6148e-05i,0.0014185-0.00022949i
0.00073587-0.0016298i,0.0013645-0.00256i,0.0010093-0.0032813i,0.00018854-0.0017728i,-0.00032662-0.000735i,0.00032366-0.00089552i,0.0014378-0.0005187i,0.0016307+5.9895e-05i,0.001063+0.0001369i,0.00028782+0.00014047i,-0.00014808-0.00029301i,-0.00026705-0.00047505i,-0.00044639+2.5131e-06i,-0.00035447+0.00010305i,-9.9924e-06-0.00050271i,0.00045179-0.00063319i,0.00018951-9.9745e-06i,-0.00011794+1.8594e-05i,-0.00019484+0.00015995i,-0.00064996+5.2368e-05i,-0.00054234-8.5346e-05i,-0.00024192+0.00048695i,-0.00021085+0.00090389i
0.00139+0.0024794i,0.00063101+0.0022794i,0.00086033+0.0017825i,0.0018599-0.00010947i,0.0021168-0.0011477i,0.001628-0.0011473i,0.0017453-0.00082552i,0.0012439-0.00081448i,0.00085816-0.0011634i,0.0011781-0.00041542i,0.0013557-0.00024821i,0.00081618-0.0011072i,0.00057117-0.00080743i,0.00029776-0.00073293i,-9.1154e-07-0.00077339i,0.00067261-0.00067341i,0.00074005-0.0011003i,-4.8697e-05-0.00047348i,-0.00079016+0.00048124i,-0.00074636+0.00057221i,-0.00092674+0.00027359i,-0.0010449-0.00054572i,-0.00011789-0.0015018i
0.00030693+0.00044909i,-0.00063511+9.7312e-05i,0.001081-0.0005588i,0.0019346-0.00057959i,0.0024185-0.00041742i,0.0032944-0.0004406i,0.0031608-0.00028206i,0.0016132+0.00043354i,0.0012898+0.001603i,0.0015571+0.0016812i,0.001193+0.00098262i,0.00065222+0.00068375i,-6.3766e-05+0.0001854i,-0.00036781+0.00010539i,-0.00028852+0.00034462i,0.00033282+0.00013944i,-3.6122e-05-0.0001746i,-0.00056142-0.00042376i,-0.0014057-0.00057236i,-0.00079486-0.0006413i,0.0002532-0.00054427i,-0.00013534-5.1112e-05i,-0.00024858+0.00062037i
-0.0010809+0.00055011i,-0.00060051+0.00026966i,0.00090034+0.00081051i,0.0014257+0.0011012i,0.0019298+0.001555i,0.0030505+0.0016361i,0.0021225+0.00088521i,0.001343+0.00086103i,0.0010606+0.0010157i,0.00082576+0.00025272i,0.00075884-0.00047117i,0.00053224-0.00053733i,0.00042709+3.0602e-05i,0.00045732+0.00014115i,0.00035105-8.1468e-05i,0.00061959-0.00039839i,0.00084871-0.00074682i,0.00032914-0.00039702i,-0.00045621-0.00044795i,-0.0007517-0.00088015i,-0.00043039-0.00083141i,-8.2768e-05-0.00091944i,0.0010462-0.0011809i
-0.00039776+0.00043322i,-0.00086059-8.682e-05i,-0.00028813+0.00029034i,0.00025084-6.7035e-05i,0.00029615-0.0007132i,0.00082475-0.00019744i,0.0012165+8.7175e-05i,0.00056652-0.00033779i,0.00027035-0.00046314i,0.00073796+0.00013672i,0.00093484-8.5958e-05i,0.0011009-8.2696e-05i,0.00090478+0.00041292i,0.00038386+0.00015483i,0.00033667-0.00026576i,0.00015245-0.00043019i,-9.6848e-06-0.00020316i,0.000295+0.00033198i,3.6107e-05+0.00017611i,-0.00060318-0.00015669i,-0.00054378-0.00015503i,0.00025825-0.00042671i,0.00042487-5.4703e-05i
0.0015574-0.00098337i,0.0016174-0.0013649i,0.0014036-0.0017366i,0.00079332-0.0020515i,-0.0002896-0.00038635i,1.8406e-05+0.00056756i,0.0010938+5.613e-05i,0.0011132+0.00015389i,0.0007052+0.0004758i,0.00058557+1.1694e-06i,0.00014734-0.00071739i,-0.00022946-0.001054i,0.00022942-0.0005679i,0.0004166+8.3065e-05i,0.00030897+9.9231e-05i,0.00065994-0.00053684i,0.00060933-0.00038018i,0.00080317+3.6481e-05i,0.00076824+0.00027079i,0.00032742+6.051e-05i,0.00018915-0.00042874i,0.00027766-0.00010062i,0.00034918+0.00045733i
0.0014529-0.00101i,0.0017152-0.0011982i,0.0018976-0.0014535i,0.0018975-0.0015962i,0.00098132-0.00087503i,0.0007218+0.00031935i,0.0016728+0.0011338i,0.0012423+0.0011637i,-0.00038114+0.0010259i,-0.0011038+0.00031364i,-0.0010138-0.00023618i,-0.00032255+0.00028388i,-0.00013504+0.00030584i,-0.00035351+0.00025756i,0.00027839+0.00089357i,0.00090957+0.00073019i,0.0010874-1.5033e-05i,0.0008137+9.293e-05i,0.00048433+0.00066446i,-2.4428e-06+0.00044044i,-0.00096054-0.00026788i,-0.0008952+1.6968e-05i,-4.7596e-05+0.00041993i
-0.0012576+6.0249e-05i,-0.00086906+2.8209e-05i,-0.0010546-0.00050536i,-0.0012912-0.00063406i,-0.00073368-0.00031263i,0.00012405-0.00033653i,0.00066638-6.9762e-05i,0.0002519+0.00059844i,-0.00015966+0.0010297i,-0.00039688+0.00092313i,-0.00034619+0.0006355i,0.00076447+0.00047493i,0.00087857+0.00034623i,0.00010261-9.7904e-05i,-0.00077025-0.00086223i,-0.0012307-0.001281i,-0.00046264-0.0011428i,0.00022815-0.00044541i,-0.00019202+0.00031588i,-0.00040198+0.00015609i,0.00030656+0.00046761i,0.00010446+0.0011773i,-0.00026875+0.00087028i
0.0017497-0.00087592i,0.0022524-0.0010064i,0.0011338-0.0024711i,-0.0001333-0.0021117i,-0.00026676+0.00034369i,0.00064686+0.0018045i,0.0014052+0.0015489i,0.00047189+0.00084941i,4.9635e-05-0.00048973i,7.1641e-05-0.0014259i,-0.00064992-0.00035169i,-0.00038329+0.00072859i,0.00050738+0.00068787i,0.0007516+0.00023638i,0.00087152-0.00030926i,0.00026121-0.00013737i,-0.00021646+5.0322e-05i,-0.00036729+0.0004863i,-0.00094471+0.00079905i,-0.0011118+0.0004593i,-0.00025878-5.1114e-05i,0.00043046+5.0283e-05i,-7.7593e-05+3.0413e-06i
-0.0016092-0.00012377i,-0.00038101-0.00093335i,-0.00039492-0.00095749i,0.00058507-0.00019799i,0.0011418+0.0015294i,0.0010906+0.0013969i,0.0012504+0.00048436i,0.00030693+0.00081518i,-0.00021005+0.0007835i,0.0004483+0.00049122i,0.00044386+0.00094722i,-0.00042257+0.00038204i,-0.00060055-0.00037899i,0.00013137+3.834e-05i,0.00079824+7.6332e-05i,0.0010223+8.5205e-05i,0.00071268+4.0943e-05i,0.00040093+0.00034674i,-2.7884e-06+0.00031848i,-0.00041983+0.00066395i,0.00013184+0.001207i,0.00015069+0.00081276i,-0.00033442+0.0003381i
2.9343e-05+0.00016314i,0.00090582-0.00063498i,0.0024565-0.00029547i,0.002327+4.7306e-05i,0.0023977+3.5151e-05i,0.0025001+0.00069384i,0.0019839+0.001153i,0.0010371+0.00042193i,-2.4892e-05-0.00043472i,-0.00013631-0.00034908i,-0.00037062-0.00044838i,-0.0006693-0.00076507i,-0.00017698-0.00044703i,-2.9319e-05-0.00026256i,0.00044462-0.00045329i,0.00029862-0.00043081i,-0.00091425-0.00023294i,-0.00129-3.7457e-05i,-0.00047538+0.00011895i,0.00027955-0.00022335i,3.8559e-05+5.2217e-05i,1.1696e-05+0.00046913i,0.00072517-0.00044507i
-9.206e-05+0.00032138i,-0.00059902-0.00013341i,-0.00046376-0.00022004i,-0.00020271+0.00043102i,0.00055877+0.00036798i,0.0013537+0.00060201i,0.0012145+0.00031283i,0.00089865-0.00017982i,0.00068572+0.00013379i,0.00087176+0.00084473i,5.9102e-05+0.00072583i,-0.0010959+0.0002784i,-0.0007042+0.00026348i,-0.0002864+0.00013619i,-0.00034659-0.00041357i,-8.7091e-05-0.00063714i,-0.00041106-0.00043061i,-0.00054632-8.7988e-05i,-0.00043535+0.00055998i,-6.0933e-05+0.00054262i,-0.00010644+0.00022831i,-0.00026664+0.00032897i,7.1535e-05+0.00053615i
-0.00096476+4.0478e-05i,-0.0010578-0.00077619i,0.00022606-0.00081537i,0.00089922+0.00036038i,0.00073772+0.0013851i,0.001486+0.00096895i,0.0023621+0.00071884i,0.0016913+0.00060262i,0.00071291-2.4112e-05i,0.00043118-1.86e-05i,0.00030334+0.0001522i,-5.1429e-05-0.00029031i,-6.5658e-05-0.00093287i,0.00027112-0.0010948i,0.00015435-0.00045144i,0.00024472-0.00024062i,0.00064064-0.00011605i,0.00076027+0.0001847i,0.00084353-0.00051641i,0.00011164-0.00067675i,-0.00073267-0.00016022i,-0.00052846-7.2524e-05i,-0.00021698+0.00027676i
0.0015782-0.0012332i,0.00081098-0.0012618i,8.628e-05-0.00077234i,0.00040228+0.00026956i,0.0012407+0.00073075i,0.0023815+0.00087848i,0.0023445+0.00040941i,0.0013681+0.00023698i,0.00020466+0.00068489i,-0.00078585+0.0003003i,-0.00044575-0.00050687i,0.00042836-0.00016374i,0.00049843+0.00014646i,0.00059726+0.00032405i,0.0011773+0.00048513i,0.0011043+0.00035487i,0.00094677+0.000775i,0.00031902+0.00048749i,-0.00053534-0.000416i,-0.00014942-0.00020736i,0.00059691+0.00032274i,0.00070947+0.00024373i,0.00026422-2.6573e-05i
-0.00040617-0.00079328i,-0.00039092-0.00098539i,-0.00094074+0.00035781i,-0.00070115+0.0005184i,0.0006063+0.00015686i,0.0017322-0.00027163i,0.001604-0.00019299i,0.00091377-1.6159e-05i,0.00052678+0.00030069i,0.00053528+0.00060428i,0.0010081+0.00044314i,0.00078064+0.00026992i,0.00061076-0.00018783i,0.00044387-0.00078487i,0.00026272-0.00056862i,0.00048089-9.3876e-05i,0.00084807-0.00091087i,0.00099158-0.0013566i,0.00030098-0.00034424i,-0.00032136+0.00033878i,6.3299e-05+0.0006256i,0.00010243+0.00030593i,0.00032458+0.00010305i
0.0024221-0.00084682i,0.0025874-0.0019125i,0.0031345-0.0035332i,0.00227-0.0023532i,0.00064598-0.00077477i,0.00035384+6.2027e-05i,0.00052896+0.00049293i,0.0004843+0.00045973i,-4.3508e-05-0.00042617i,0.00021962-0.0009089i,0.0011865-0.0012064i,0.00085555-0.00068373i,-0.00057708+0.00056027i,-0.00063721+0.00054379i,4.7812e-05+0.00031197i,0.00024108+0.00059123i,0.00019279+0.0006936i,-6.5851e-06+0.00059465i,-0.00023106+5.707e-05i,-0.00015279-0.0001594i,-0.00033019+0.00030664i,-0.0011979+0.00026761i,-0.0015684-5.4384e-05i
0.00030773+0.0014474i,0.00068578+0.0010258i,0.00070407+0.00017763i,0.0012578-0.00047156i,0.0018624-0.00064675i,0.0019276+0.00021701i,0.0019429+0.0011413i,0.0010879+0.00081185i,-2.3491e-06+0.00044903i,0.00029983+0.00033518i,0.0006012-0.00053641i,0.0007495-0.0011256i,0.0006956+9.15e-05i,6.5431e-05+0.00085964i,-7.8019e-05-0.00027432i,0.00014327-0.00070892i,0.00033657+0.0003508i,-0.00016596+0.00055155i,-0.000665+0.00017854i,1.4146e-05-4.3554e-05i,-0.00025783+0.00019146i,-0.00062901-8.6177e-05i,-0.0001206-0.0001625i
-0.0010905-0.0025626i,-0.0012379-0.0024753i,-0.001914-0.0024831i,-0.0017383-0.001223i,-0.0011014+0.001003i,0.00019306+0.0019009i,0.0017572+0.00093333i,0.0016272-0.00015322i,0.00030233-0.00034998i,-0.00020429-0.00023758i,-7.5074e-05-0.00046337i,0.00023848-0.00044536i,0.00046941+1.2021e-05i,0.00036485+0.00036378i,0.00078045-0.00036992i,0.00061909-0.00034469i,-6.7562e-05+0.00010429i,0.00016646+0.00023396i,0.00078935+0.00019127i,0.00042225+0.00022784i,-0.00029397-5.4548e-05i,-0.00030297-0.00055506i,0.00019528-0.00025866i
-0.0012486-0.00074196i,-0.00059551-0.0016747i,9.2311e-05-0.0016034i,0.00019364-0.0010006i,0.00070625+0.00010572i,0.0021411+0.0009771i,0.0023279+0.00055231i,0.00089722+7.4246e-05i,2.5245e-05+0.00034814i,0.00033105+0.00089282i,0.00054999+0.00094491i,8.4636e-05+0.00035529i,3.4405e-05-4.5047e-05i,0.00022215-0.00041303i,0.0003708-0.00065302i,0.00073258-0.00036319i,0.00049337-0.00035546i,-0.00019869-0.00065239i,0.00010601-0.00049798i,0.00066835+0.00041411i,0.00085307+0.00058825i,0.00079262+0.00014184i,0.00065363+0.00018982i
0.00094944-4.6378e-05i,0.0011452+0.00025124i,0.00027357+0.00016724i,-0.00068174-0.00034635i,-0.00015901-0.00017884i,0.0010358+0.00017771i,0.0019729-0.0003873i,0.0017244-0.00080003i,0.0006113-8.7858e-05i,-0.00019967+0.00015786i,-6.3101e-05-0.00047833i,0.0001452-0.00026597i,0.00018303+0.00061877i,0.00070087+0.00042553i,0.0005386+0.0002523i,0.00068644-0.00036515i,0.00065457-0.00073119i,-5.9769e-05-0.00016646i,0.00032554-7.8649e-05i,0.0005131+0.00028247i,0.00030414+0.00076953i,0.00021365+0.00037524i,-8.1883e-05+0.00052288i
0.0009754-0.0011575i,0.0013728-0.00088314i,0.00088141-0.00052435i,3.6472e-05-0.00051711i,2.5816e-05+0.00032368i,0.0010038+0.0014108i,0.0015301+0.00063677i,0.00071855-0.00023806i,-0.00066071-8.0925e-05i,-0.00074614+0.0006872i,-0.00030081+0.00056438i,0.00010258+0.00025052i,0.00028168+0.00032928i,0.00010849-0.00013798i,0.00022301-0.00055248i,0.00015842-6.0344e-06i,0.00013855+0.00010415i,-6.9075e-06-0.00010401i,6.4742e-05-6.1362e-06i,-0.00016858-1.9708e-05i,-0.00020343-0.00013591i,-0.0001705+0.0002031i,-0.00019904+0.00033809i
