-0.0014521+0.0016945i,-0.0021766+0.0019562i,-0.0026755+0.0022569i,-0.0018445+0.0018508i,-0.0016772+0.0020262i,-0.0014439+0.0017169i,-0.00029442+0.0013429i,0.00090941+0.0015984i,0.001545+0.00058647i,0.0020451-0.00066982i,0.0013489-0.00061539i,0.00044215-0.00076814i,0.00038387-0.00087332i,0.0007433-0.00096372i,0.0004302-0.00083214i,-0.00013175-0.00071616i,-0.00010877-0.0011699i,-5.0464e-05-0.00086921i,0.00019555-0.00065742i,0.00022778-0.0013438i,5.6328e-05-0.0011101i,7.2285e-05+0.00018374i,-0.00030294+0.00035025i
0.00030763+0.00090098i,0.001001+0.0005119i,0.00087602-0.00051297i,0.0009694-0.00046065i,-0.00069021+0.00040692i,-0.0017535-0.00014553i,-0.001777-0.00072393i,-0.0014572-0.00071774i,-0.00035785-0.00062081i,0.00071094-0.00025696i,0.00034881-0.00039851i,0.00062591-0.00063154i,0.00074219-0.00061379i,-7.6735e-06+8.6907e-06i,2.285e-05+0.00037777i,0.00029059+0.00038289i,0.00054968+0.00033867i,0.00091776-0.00016174i,0.0001631-0.00045997i,-0.00054153-0.00066878i,-0.00013239-0.00060861i,0.00049461-8.1028e-05i,0.00050857-0.00029987i
-0.0013099-0.00024575i,-0.0015995-0.00078517i,-0.0012059+0.0004029i,0.00060549+0.0013532i,0.0013381+0.0012235i,0.00027344+0.0013183i,6.1841e-05+0.00035888i,0.00054456-0.00031299i,0.00027644-7.9537e-05i,-0.00021839+0.00024753i,-0.00050162-0.0005123i,4.0568e-05-0.00070749i,0.00064507+0.00010913i,0.0002829+0.00026782i,-0.00011813+7.8334e-05i,0.00023773-2.6688e-05i,0.00050519-7.6329e-05i,0.00034307-0.0003157i,-0.00017679-0.00019891i,-9.5608e-05-6.5479e-05i,0.00036604+3.9649e-06i,0.00034585+0.00011698i,0.00067738+0.00018703i
-0.00092586+0.00088927i,-0.00011818+0.0011759i,0.00069221+0.001404i,0.00094324+0.0015114i,0.00033241+0.001719i,0.00024329+0.00068174i,0.00035474-0.00041621i,-0.00033728-0.00012585i,0.00013805+0.00041262i,0.00093247+4.3534e-05i,0.00019918-0.0010021i,-0.00027163-0.0010243i,0.00043295-0.00015888i,-0.0001271+0.0006718i,-0.00053501+0.00035686i,1.8069e-05-0.00067657i,-7.0196e-05-0.00019357i,-0.00065824+0.00045645i,-0.0006495+0.00012634i,-9.731e-05+5.7978e-05i,0.00013317+0.0003895i,-0.00047224+0.00021163i,-0.0011848-0.00010925i
-0.0018036-0.0015912i,-0.0035575-0.00067174i,-0.0038981+0.00047129i,-0.0021399+0.0018357i,-0.0013322+0.0023686i,-0.00097734+0.0016387i,-0.00048783+0.00076485i,-0.000663+0.0004125i,-0.00078428+0.00043276i,-0.00015855+0.00064243i,9.4226e-05+0.00052363i,3.1582e-05+0.00041581i,2.7455e-06+6.6358e-05i,0.00054342-0.00079453i,0.00092679-0.00074971i,0.00015971-0.00047111i,-0.00059207-0.0010135i,-0.0010155-0.001207i,-0.0011262-2.9848e-05i,-0.00064682+0.00066398i,-0.00027389+0.00062827i,-0.00050171+0.00095194i,-0.00069724+0.0007663i
-0.00085952-0.00045758i,1.6842e-05-6.3966e-05i,-0.00025906+0.00075529i,-0.00087789+0.00092413i,-0.0013595+0.001193i,0.00017727+0.0013172i,0.00063113+0.00071426i,-0.00038108-7.664e-05i,-0.0001992-0.00012039i,0.00027839+0.00027586i,0.00022143+0.0002187i,0.00046664+0.00040504i,0.00028305+0.00047495i,-0.00032497+0.00055249i,-0.00017184+0.00049578i,0.00099644-0.00029686i,0.0012818-0.00028838i,0.00016403+2.0409e-05i,-0.00043946-9.6682e-05i,0.0002556-0.00062196i,0.00041462-0.00081353i,0.00023018-0.00026532i,0.00030729-2.5906e-05i
0.0015181+0.0018134i,0.00089646+0.00084193i,0.00020794-0.00070615i,-7.763e-05-0.0012396i,0.00076497-0.00090338i,0.00065726-0.00035281i,-0.00030386-0.00032165i,-0.00082323+9.8656e-05i,0.00045703-3.9141e-05i,0.00067995-0.00029475i,-0.00014581-0.00067362i,-0.00039141-0.0011147i,-4.035e-05-0.0009645i,0.00025283-0.00065564i,0.00052096-0.00060577i,0.00084283-0.00036788i,0.00051273+0.00019035i,0.00065175-8.1842e-05i,0.00032917-0.00098944i,-8.1825e-05-0.001351i,-0.00023282-0.0010216i,-0.0001754-0.00057199i,0.00019809-1.673e-06i
-0.00069945+3.0927e-05i,2.0612e-06+0.00018741i,-0.00057508-5.7587e-05i,-0.0014321-0.00017379i,-0.001406+1.4692e-05i,-0.00072776-0.00011303i,-0.00018844-0.00059519i,-0.00012756+5.2208e-05i,0.00016536+0.00032615i,9.1655e-05+0.0003102i,0.00032764+0.00036314i,0.00053616+0.00026509i,0.00034721+0.00010746i,-0.000138-0.00017635i,-0.00026179-0.00093669i,-0.00011821-0.0013896i,0.00031275-0.00087119i,0.00021638-0.00033195i,-4.8091e-05-0.00040036i,0.0001132-9.8571e-05i,-0.00051874+0.00012594i,-0.0011273+7.8746e-05i,-0.0003579+0.00061407i
0.00069607-0.00043996i,-0.00041698+0.00043756i,-0.0011729+0.00013604i,-0.0008663-0.0002588i,-0.0006713-4.5812e-05i,-0.00098599+4.0742e-05i,-0.0006868-0.00019511i,0.00037568-0.00056303i,0.0010525-0.00066591i,0.00057695-0.00040558i,0.00019086-0.00018753i,0.00027102+7.9534e-05i,0.00015339+0.00049693i,0.00027263+0.00061087i,0.00019223+0.00024994i,-0.00061495-0.00014595i,-0.0006995-0.0004667i,-0.00092782-0.00022764i,-0.00050735+0.00038049i,0.00056852+0.00053829i,0.00066256+0.00058084i,0.00061486-8.5666e-05i,0.00018388-0.00038896i
0.0014543-0.0015096i,0.0016272-0.0015909i,0.0017646-0.0021153i,0.001368-0.0019321i,0.00015352-0.00094572i,-0.00053398-0.00048822i,-0.00055634-0.00066509i,-0.00055737-0.00031995i,-0.0002009-6.0271e-05i,0.00035265-0.0001217i,0.001072+0.00020845i,0.00035108+0.00012677i,-0.00079845+0.00020989i,-0.00034944+0.00095041i,-0.00043035+0.00094021i,-0.00086286+0.00098614i,-0.00033308+0.0006739i,0.00021382+0.00020853i,0.0002004+0.00030953i,-9.6405e-05-0.00061162i,-0.00028847-0.0015081i,0.00031098-0.00094357i,0.000375-4.3964e-05i
-0.0015934+0.0007927i,-0.0012604+0.00098169i,0.00043012+0.0017855i,0.00078746+0.0021609i,0.0014413+0.0015464i,0.00188+0.00036426i,0.001091-0.00052581i,-6.492e-05-0.00045466i,-0.00054966-5.3305e-05i,-0.00033594-0.00019026i,-0.00053544-0.00084841i,-0.00056178-0.001643i,-0.00049184-0.0013016i,-0.0005659-0.00084589i,0.00011313-3.8647e-05i,0.00032803-0.00015717i,0.00060326-0.00040631i,0.0011796+9.5367e-05i,0.0011054-5.1926e-05i,0.00082291-0.0002136i,0.00056479-0.00061989i,0.00014852-0.00054568i,-7.1317e-05-0.00036555i
-0.0003517-0.0017706i,-0.00070318-0.0015895i,-0.0001462-0.0015928i,-0.00077512-0.0010191i,-0.00076698-0.0005405i,-0.0002225+0.00013247i,-7.7651e-05-0.00021928i,0.00023848-0.00095684i,0.00073562-0.00032623i,0.00091822-0.00021597i,0.00042501-0.00063661i,0.00014315-0.00093298i,0.00073644-0.00134i,0.0007408-0.0010217i,0.00029347-0.00041988i,0.00073225+3.9402e-05i,0.0003604+0.00076605i,-0.0008225+0.0010591i,-0.0005885+0.001091i,7.3237e-05+0.00013176i,0.00051137+5.0508e-05i,4.7452e-06+0.00038458i,-0.00025677-0.00010446i
-3.5385e-05-0.00088237i,-0.0011791-0.00068034i,-0.0023128+2.7421e-05i,-0.0016836+0.00075166i,-0.00082124+0.001506i,-0.00076153+0.0011496i,-0.00085239+0.00090516i,-0.00027794+0.00089932i,0.00038244+1.8767e-06i,0.00016553-0.0001231i,-0.00045921+0.00024952i,-0.00015595+0.00014755i,0.00031624+0.00022791i,-3.7371e-05-2.9617e-05i,0.00016914-0.00061533i,0.00021353-0.00081451i,-0.00041039-0.00076943i,-0.0010451-0.00056367i,-0.00055768-0.00047438i,0.00034569+2.8053e-05i,0.00017896+0.0004938i,2.6229e-05+0.00053797i,-0.00050609+3.6581e-05i
0.00085856+0.00038747i,0.00082754+0.0013379i,0.0014166+0.00081188i,0.0016508+0.00070618i,0.00039628+0.0012926i,-0.00014379+0.00046704i,0.00011765-0.00052276i,0.00032812-0.0011486i,0.00030438-0.0014476i,0.00032843-0.00047481i,0.00020388+0.0004971i,-0.00036153-0.00014729i,-0.0011529-0.00042406i,-0.0012783+0.00081353i,-0.00095208+0.00099277i,-0.00037041+0.00022594i,0.00036619-0.00038101i,0.00070496-0.00059645i,0.00035552-0.00074303i,0.00013651-0.00083209i,-8.1849e-05-0.00071493i,6.2073e-05-6.5442e-05i,0.00042871+0.00019803i
-0.00046151+0.0025642i,-0.00075493+0.0021161i,0.00077262+0.0014373i,0.002017+0.00024701i,0.0014313-0.00014279i,0.0013351-0.00037174i,0.0010847-0.001165i,0.00054315-0.0017626i,0.0010225-0.00076273i,0.00087212-0.00049104i,0.00036495-0.0011537i,8.2515e-05-0.001398i,0.00019315-0.0012826i,0.00047209-0.0014392i,2.5766e-05-0.00081825i,-0.00039411+0.0002275i,-0.00046707-9.7944e-05i,-0.00025617-3.8726e-05i,-0.0006426-0.00022278i,-0.00069661-0.00098853i,-2.0992e-05-0.00035875i,3.7077e-05+0.00026307i,-0.00035322+0.00025119i
0.0009455-0.00059312i,0.00087247+0.00028615i,0.00087059+0.00080654i,-0.00012357+0.00097748i,-0.00032474+0.0011277i,-0.00051687+0.00070048i,-0.0010165-0.00011132i,-0.00046735-0.00040636i,0.00042794+0.00042329i,0.00059227+0.00016548i,0.00075766-0.00064302i,0.00024712-0.00048867i,-0.00025312-6.8365e-05i,3.7764e-05-0.00080181i,-0.00011243-0.00038157i,-0.00058155+0.00040851i,-0.00050187+0.00059889i,-0.00060538+0.00045749i,-0.00076142-0.00017499i,-0.00057022-0.00044861i,-0.00059687-0.00089375i,-0.00078496-0.00090026i,-0.00087203-0.00011944i
0.0014232-0.0010691i,0.0014409-0.0012154i,0.00066314-0.00089861i,0.00041057-0.00085568i,0.00068864-0.0010472i,-0.00017909-0.00054971i,-0.00083795-0.00029673i,0.00026033+0.00020481i,0.00084632+0.0002165i,0.00038386+4.3312e-05i,-0.0001639-0.00026733i,-9.6469e-05+9.677e-05i,0.00031617+0.0006929i,0.00018098+0.00051536i,-0.00024633+0.00037567i,-0.00025245+0.00026549i,-0.00016887-0.0001903i,0.0001626-0.00065979i,0.00087845-0.00053402i,0.00056506-0.00034086i,5.7895e-05-0.00045288i,0.00040685-0.00019379i,0.00088974+0.00012972i
0.00056375+0.00058006i,0.00077953+0.00019601i,0.0014872-0.00023619i,0.0011682-0.00034232i,0.00050855-0.00011319i,0.00076928+0.00025573i,0.00079604+0.00038359i,0.00042105+0.00019407i,0.00017895+2.6262e-05i,0.00030458-0.00034766i,0.00046411-0.0011643i,0.00024967-0.0012869i,0.00019652-0.00036284i,4.4247e-05+0.00075352i,0.00038794+0.00043806i,0.00078847-0.00029197i,0.00047432-0.0006279i,0.00011458-0.00032897i,-8.3305e-05-0.00033651i,-0.00038425+0.00010116i,-0.00096365+0.00030817i,-0.00148-0.00037367i,-0.00079352-0.00066126i
-0.0010732+0.0010448i,0.0003957+0.00097599i,0.0011467+0.0012738i,0.00087058+0.00053641i,0.00060249-0.00031372i,0.00070197-0.00097613i,0.00048248-0.0013708i,0.00044716-0.0017979i,0.0011833-0.0012492i,0.0011856-0.00058876i,6.0479e-05-0.00046171i,-0.0010409-0.00030387i,-0.0011802+0.00023862i,-0.00084401+0.00014314i,-0.00082279-0.00099078i,-0.0003224-0.001474i,0.00065657-0.00056012i,0.0007374-4.7838e-05i,0.0006605-0.00010015i,0.00070446-5.7835e-05i,-0.00012814-0.00030428i,-0.00035883-0.00038261i,0.00037349+0.00012023i
-0.00042561-0.0007161i,-0.00035616+0.00015934i,-0.0015686-0.00070836i,-0.0016421-0.0012975i,-0.00056051-4.0223e-05i,-0.00028377+0.0010853i,-0.00045415+0.00068072i,-0.0002491+0.00026159i,-0.00044788-0.0002548i,-0.00023791-0.00014371i,6.2012e-05+3.8846e-05i,0.0001941+0.00056596i,-0.00086453+0.0010094i,-0.0005574+0.0001206i,-0.00021028-0.00054142i,-0.00047044+4.9805e-05i,-0.00015153+0.00037034i,-4.6162e-05+5.4807e-05i,2.2409e-06-4.7824e-05i,-0.00028665+4.3466e-05i,-0.00027508+0.00049383i,-0.00045487+0.00018359i,-0.0002151-0.00071269i
3.9972e-05+0.0011986i,0.0010357+0.00094421i,0.0016288+0.00046042i,0.0010369-0.00046368i,0.00017568-0.0016513i,2.879e-05-0.0023963i,0.00026863-0.0017066i,-9.8541e-05-0.00063477i,-0.0004559+4.924e-05i,-0.00028663-0.00012948i,0.00023901-0.00017008i,0.00099133+0.00037318i,0.00098242+0.00055032i,0.00018617+0.00028013i,-2.3767e-05-1.1239e-05i,1.7362e-05-0.00073831i,-0.00026707-0.00086534i,-0.00073432-0.00069269i,-0.00032048+7.4832e-05i,-0.00016431+0.00096855i,-0.00044985+0.0010256i,-3.8957e-05+0.00096803i,0.00033123+0.00033284i
0.0014694+0.00073195i,0.0012318-5.6005e-05i,0.00072105-0.0002968i,-7.9109e-06-0.0004253i,-7.8966e-05+6.8931e-05i,4.7463e-05-0.00035858i,0.00044754-0.0012158i,0.0008318-0.00032776i,0.0005921-7.2058e-06i,8.7386e-05-0.0007564i,0.00035017-0.00083522i,0.00060192-0.00062628i,-0.00012788-0.00038074i,-0.00052148-0.00022629i,-0.00077118-0.00049456i,-0.0012027-0.00073851i,-0.0010561-0.00069086i,-0.00053114-0.00020817i,-0.00018029-0.00016329i,-0.00017925-0.00014587i,-4.123e-05-0.00022449i,0.00026181-0.00029341i,0.00013096+4.606e-05i
0.00017856+0.0033454i,0.0016939+0.0025659i,0.0019488+0.002965i,0.0019969+0.0038956i,0.0027642+0.0026812i,0.0030171+0.00095994i,0.0014189-0.00017479i,-0.00019731-3.8201e-05i,0.00016611+0.00053153i,0.001069+0.00075255i,0.00085858+0.00077143i,-0.00019507+0.00050849i,-0.00073872+2.778e-05i,-0.00059906-0.00056748i,-0.00051509-0.00064091i,-0.00076026-0.00052666i,-0.00061479-0.00044369i,-0.00066484+0.00010881i,-0.00070643+0.000772i,-0.00023614+0.00077353i,-0.00037278+0.00039134i,-0.00027895+9.1041e-05i,0.00088905-0.00024964i
-0.00059026+0.00079971i,0.00041426+0.0018413i,0.0013524+0.0023063i,0.001305+0.00059229i,0.0010418-0.00027855i,0.00038998-9.8229e-05i,4.9001e-05-0.00023575i,0.00031843-7.7633e-05i,0.00032229-0.00012411i,0.00034273-9.9004e-05i,0.001205-0.0002695i,0.0015348-0.00067771i,0.00086146-0.00037278i,-9.5767e-05-0.00019969i,9.6842e-06-0.00039216i,0.00084595+0.00049972i,0.00068708+0.00063079i,0.00073197+0.00039571i,0.00085405+0.00012554i,0.00046135-0.0004229i,0.00018354-0.00041759i,6.637e-05-1.1401e-05i,0.0011397+9.5826e-05i
