-0.0024373-0.00017136i,-0.0019525-0.0010025i,-0.0024867+0.00078649i,-0.0020772+0.0023691i,-0.0011026+0.0018085i,-0.00037489+0.0014376i,-0.0011112+0.0014768i,-0.00088606+0.0012137i,0.00065715+0.00064954i,0.0011495+5.2431e-05i,0.00065284-0.00074773i,0.00043376-0.0014392i,0.00010465-0.0011748i,0.00018779-0.00078376i,0.00049084-0.0003406i,-1.0717e-05-5.517e-05i,0.00015303+8.594e-05i,0.00041543-0.00042935i,0.00035497-0.0005157i,-0.00018023+0.0002845i,0.00010182+0.00058721i,0.00043481+0.00093254i,3.8988e-05+0.00075866i
-9.2439e-05-0.00047591i,-0.0013191-0.00084222i,-0.002063-0.00057415i,-0.0012344+0.00024983i,-0.00028665+0.00035517i,-0.00026705-0.00054073i,-0.00064386-0.0011083i,-0.00057925-0.00050574i,-0.00085734+0.00020749i,-0.001027+0.00044167i,-0.00098111+0.00054567i,-0.00071548+0.00072152i,-0.00031462+0.0010478i,0.00036803+0.00059782i,0.00042554-5.4477e-05i,-0.00015808-0.00017769i,0.00081694-0.00015728i,0.0013009+7.364e-05i,-0.00024065-0.00017548i,-0.0015375-0.00028638i,-0.00079402+0.00034219i,-0.00025884+0.00050017i,-1.9606e-05-0.00010315i
-0.00080901-0.0001147i,-0.00099975-0.0012306i,-0.00024832-0.0022415i,-0.00031932-0.0018668i,-0.00057046-0.00094073i,-0.00022379-0.00047326i,-0.00049685+8.9874e-06i,-0.00081491-0.00073144i,-0.00066933-0.0016863i,-0.00030433-0.0014409i,-0.0004785-0.00086158i,-0.0009628-0.00022869i,-0.00064594+0.00033715i,0.00049711+0.00052002i,0.00070734+0.00035578i,-0.00014389+0.00019661i,-0.00047507-0.0007229i,0.00011772-0.0010245i,6.5656e-05-0.00081624i,4.8766e-05-0.00054605i,0.00024749+0.00029024i,0.00010925+0.00082064i,-0.00080853+0.00091448i
-0.0014261+0.00048797i,-0.0013162-0.0011813i,-0.00080861-0.0012529i,0.00034758-0.00043365i,0.0010772-0.0007611i,-0.00021782-0.00088796i,-0.000743-0.0004165i,-0.00045922-7.5949e-05i,-0.0012916+0.00021297i,-0.00093117+0.00061792i,-0.00046433+0.0011084i,-0.00034203+0.00080306i,0.00044163+0.0003276i,0.00058353+0.00065911i,-0.00013717+0.0012174i,-0.00065491+0.00094383i,-0.00067272-0.00037266i,-0.00038923-0.00077954i,0.0001308+0.00033537i,0.00066585+0.0012251i,0.00072174+0.00079379i,0.0004665-0.00031787i,0.0004229-0.00013641i
-9.1743e-05+0.00036451i,-0.00019833+0.00064236i,-0.00051418+0.0010129i,-0.0012392+0.0011088i,-0.0015412+0.0014212i,-0.0010049+0.0014762i,-0.00094806-0.00018729i,-0.00063832-0.0011672i,-0.00044996-0.00066323i,-0.00055193-0.0006446i,-0.00039929-0.00041678i,-0.00079704-0.00020999i,-0.00046642-0.00079401i,0.00042043-0.0013226i,0.00063958-0.00043974i,0.00019067+7.0063e-05i,-1.5196e-05-0.00033661i,-0.00041363-0.00064663i,-0.00049063-0.0011252i,-0.00014211-0.00089569i,0.00019901+0.00033476i,-6.5066e-05+0.0011261i,-0.00010683+0.00054074i
-0.0020209+0.00038997i,-0.0028608+0.00062217i,-0.0030952+0.0018878i,-0.0017693+0.0023619i,-0.00032948+0.00086144i,-6.1222e-05+0.00043014i,-0.00080409+0.00081316i,-0.0013695-3.7466e-05i,-0.0011767-0.00036602i,-0.0010507+0.00030646i,-0.00073638+0.00017285i,-0.00038755-0.00051874i,-0.00025202-0.001017i,0.00051148-0.00087257i,0.00066759-0.00067203i,0.00048152-0.00052022i,0.00079743-0.00037389i,0.0010363-0.00045384i,0.00053968-0.00016602i,0.00060179-0.00030387i,0.00066837-0.00072778i,-1.6548e-05-0.00048704i,-0.00028546-0.00015727i
4.3225e-05-1.4112e-05i,0.00016575-0.0014951i,0.00089266-0.0024493i,0.0013195-0.0020789i,0.00064846-0.001787i,0.00057966-0.0012369i,0.00054486-0.00069223i,-0.00056079-0.001138i,-0.0014314-0.0012102i,-0.00078901-0.00028554i,7.1947e-05+0.00030553i,-0.00039409+0.00026481i,-0.0009451+0.00041025i,-0.00041156+0.00037929i,-0.0001783+0.00073218i,-0.00047471+0.0009548i,-3.1369e-06+0.00057261i,2.2156e-05+4.3819e-05i,-0.00052278-0.00086544i,-0.00034995-0.00095744i,-0.00018917-2.6688e-06i,0.00033403+0.00057027i,0.00063974+0.0008865i
0.0002685+0.00049861i,0.00043093+0.0011287i,0.0012494+0.0012469i,0.00081872+0.00075362i,-0.00016073-0.00011855i,-0.0004009-0.0011509i,-0.00037907-0.0013777i,-0.00064174-0.0010212i,-0.0007172-0.00059527i,-0.00099429-0.00073277i,-0.0015142-0.00071188i,-0.0011184-0.00096583i,-0.00065404-0.00089385i,-0.00029702+1.3948e-05i,-0.00021212-0.00030858i,4.5831e-05-0.00019218i,0.00025873+0.00035787i,0.00037327+0.00037362i,0.00059752+0.00024732i,0.00023734+0.00032927i,-0.00024228+0.00034333i,-0.00015789+0.00014218i,7.6787e-05+0.00029405i
-0.0025292+0.00015708i,-0.0031063+0.00119i,-0.002541+0.0021918i,-0.0021095+0.0024718i,-0.001219+0.0026439i,-0.00017718+0.0014216i,0.00031025-0.0007592i,-2.5574e-05-0.0016225i,0.00041008-0.0012008i,0.00032607-0.00054631i,4.5127e-05+6.0896e-05i,-0.0004341-9.559e-05i,-0.00050424-0.00060095i,0.00046569-0.00034097i,0.0005509-0.00026476i,0.00063057-0.00016388i,0.0010958+0.00043386i,0.001006+0.00045265i,0.00032494+0.00017269i,-0.00067685+4.2106e-05i,-0.00060545+0.00026741i,0.00045903+0.00079664i,0.00042979+0.00031444i
-0.0016811-0.0017298i,-0.0021175-0.0013569i,-0.0033022-0.0014727i,-0.0038828-0.00033926i,-0.0026566+0.00042072i,-0.0018711+0.0016059i,-0.0016427+0.0011848i,-0.00085226+0.00014427i,-0.00070774-0.00022111i,-0.00090876-0.00030237i,-0.00078936+0.00015052i,-0.00058305+0.000544i,0.00021581+0.00034521i,0.00084897-3.0453e-05i,0.00060895-7.2252e-05i,0.00071055-0.00041801i,0.00065127-0.00087443i,-1.0757e-05-0.00038622i,-0.00013385+0.00059975i,7.422e-07+0.00052423i,-4.6841e-05+0.00025675i,-0.00032263+0.00051681i,-0.00031283+0.00046024i
-0.0020216-0.00095716i,-0.00081624-0.0011449i,-0.00011209-0.00064513i,-1.6432e-05+0.00035733i,0.00061964+0.00092657i,0.00062739+0.00064796i,-0.0005062-0.00047037i,-0.00083902-0.0013036i,-0.00090614-0.00043707i,-0.00044156+0.0002133i,-0.00043269+0.00023104i,-0.0009934-0.00044434i,-0.00025911-0.00087669i,-8.0101e-05-0.00047851i,-0.00058879+0.0001362i,1.6386e-05+0.00049585i,0.00059838-0.00012234i,0.00068903-0.0011067i,-0.00030251-0.00058439i,-0.0014979+3.0473e-05i,-0.0010355-0.00060665i,-0.00013535-0.0001694i,0.00033904+0.00048112i
0.0011956-0.00013467i,0.0014794-0.0014383i,0.0016028-0.0017762i,0.0010018-0.00065267i,0.0006139-0.00042339i,-0.00040344-0.0012451i,-0.00038392-0.00085423i,0.00037995-0.00018313i,-3.0823e-05-0.00062909i,-0.00026497-0.00059738i,-0.00039935+0.00024358i,-0.00055572+0.00074554i,-0.00049388+0.00030933i,-0.00070577-6.5252e-05i,-0.00086295-0.00031582i,-0.00012549-0.00026735i,0.00076614-0.0012278i,4.0344e-05-0.0022548i,-0.0012189-0.00090318i,-0.00086683+0.0001221i,-0.00028546-0.00047882i,-4.6387e-05-0.00062786i,-0.00035165-0.00074689i
-0.0006584-7.0482e-05i,8.2931e-05-0.0010957i,-0.0001298-0.00041126i,2.7396e-05+0.00047451i,0.00054237+0.00044504i,-0.00010174-0.00012316i,-0.0012397-0.00063153i,-0.0015603+4.6043e-05i,-0.0013874-0.00028197i,-0.00088589-0.0010901i,-0.0010773-0.00067998i,-0.0010711-0.00073531i,0.00031851-0.00067464i,0.00063031+0.00036397i,0.00010643+0.00056495i,-0.00047353-0.00033978i,-0.0007186-0.00052259i,-0.0005653+0.0002097i,0.00030684+0.00041709i,0.00082055-7.2403e-05i,0.00099723-9.5451e-06i,0.00064116+0.00059933i,-0.00012762+0.00073317i
-0.0011483-0.0022607i,-0.00094189-0.0017627i,-0.0021426-0.00097221i,-0.002724+0.0010483i,-0.0019195+0.0022231i,-0.0010474+0.00046335i,-0.00084716-0.00059987i,-0.0012038-0.001018i,-0.0010031-0.0014599i,-0.00071858-0.00073554i,-0.00095975+3.864e-05i,-0.00056109-0.00024876i,0.00059275-0.00070394i,0.0009299+9.3526e-05i,0.00086626+2.353e-05i,0.00069063-0.0013736i,0.00016207-0.0013539i,-3.826e-05-0.0010557i,-8.2061e-05-0.00080966i,-9.5388e-05-0.00021538i,-0.00030896-5.7971e-06i,-0.00020267-0.0001297i,0.0001086+8.6996e-05i
-0.00070701-0.0012844i,-0.0011598-0.0012399i,-0.00073479-0.0005036i,-0.00075177+0.00078312i,-0.00083036+0.0015772i,-0.0001662+0.0011539i,0.00036614+0.00012232i,0.00044172-0.0005905i,-0.00041132-0.00046182i,-0.0013413-0.00045385i,-0.0011102-9.7765e-05i,-0.00038388-4.0588e-05i,0.00025713-0.00014518i,-5.9159e-05+0.00044746i,-0.00026761+0.00034558i,0.00057117+0.00024965i,0.00096371+0.0007041i,0.00053971+3.9581e-05i,-6.6605e-05+0.00044635i,-0.0010335+0.0011129i,-0.0011679+0.0010715i,-0.00053309+0.0012713i,-0.00036109+0.00019502i
-0.0013609+0.00069224i,-0.00092192-0.00054032i,-0.0012157-0.00080666i,-0.0021047-0.00067606i,-0.0016875-0.00030429i,-0.0015724-0.0010971i,-0.0016636-0.0011385i,-0.001692-0.00085589i,-0.0011958-0.001324i,-0.00011473-0.0010797i,-0.00014776-0.00037153i,-0.0012117-0.00056947i,-0.0016132-0.0012327i,-0.00098018-0.0011028i,-9.6408e-05-0.0004176i,4.6284e-05+1.6802e-05i,-0.00030193-1.5943e-07i,-0.00058392-0.00057952i,-0.00021022-0.00060303i,-0.00053582-0.0003664i,-0.001379-0.00043873i,-0.0011824+0.00024291i,-0.00052941+0.00074039i
0.001826-3.9377e-05i,0.0022678-0.00063005i,0.0015672+1.3146e-05i,0.00060342-0.00017134i,8.1918e-05-0.00055559i,-0.00049307-0.0012051i,-0.00039227-0.0020518i,1.0822e-05-0.0017813i,-9.3672e-06-0.00045887i,-0.00096553+0.00052233i,-0.001417+0.00033048i,-0.0012555-3.2931e-05i,-0.0012274-0.00050731i,-0.00075635+7.9222e-05i,-7.5324e-05+0.00098009i,6.8675e-05+0.00073741i,-0.0002131+0.00055491i,-0.0006542-4.2777e-05i,-0.0011061-0.00073458i,-0.00085025-0.00017458i,-0.00044842+0.00050565i,-6.9517e-05-0.00013274i,0.00023596-5.2827e-05i
-0.00072282+0.0016165i,6.7831e-05+0.0027008i,0.00051753+0.0032297i,0.0007604+0.0031529i,0.00058789+0.0015077i,0.00087668-0.00089094i,0.00047338-0.0012776i,-0.00082318-0.00047365i,-0.001033-0.00024405i,-0.00066765+9.271e-05i,-0.00016193-0.00023793i,0.00037473-0.0005129i,0.00014102-4.5375e-05i,-0.0003104-0.0005954i,-0.00051315-0.00043578i,-0.00018665+0.0004332i,0.00041446-0.00015737i,0.00057236-0.0012375i,-2.9947e-05-0.0012263i,-0.00049261-0.0003191i,-0.00038882-0.0006448i,3.3954e-05-0.0010154i,0.00015514-0.00061526i
0.0013835+0.0021335i,0.0014608+0.00013606i,0.001967-0.00083258i,0.0015823-0.001546i,0.0011618-0.0023961i,0.0007703-0.0021431i,0.0002869-0.0014761i,-0.00071641-0.00064271i,-0.0015433-0.0006795i,-0.0003259-0.0010807i,0.00076998-0.00092857i,0.0010111-0.0012367i,0.00037601-0.00071426i,-0.00053483+0.00030175i,-0.00022106+0.001004i,0.00036546+0.0012021i,0.00035633+0.00051474i,6.6395e-05+0.00053543i,-0.00016417+0.00081287i,-0.00051032+0.00084174i,-0.00093014+0.00079755i,-0.0008878+0.00043408i,0.00010473+0.00029493i
0.0009301+0.00046478i,0.0012109+0.00029696i,0.00047371+0.00041185i,-0.00010146+0.00014944i,0.00018436+0.00041787i,0.00019859+0.00044648i,-0.00056845+6.302e-05i,-0.0010523-0.00064174i,-0.0016128-0.0012526i,-0.0018299-0.00070516i,-0.0015692-0.00039754i,-0.0012402-0.00015228i,-0.00062594+0.00053438i,-0.0001702+0.00041837i,-0.00023134+0.0004063i,3.7126e-05+0.00042039i,0.0011995-4.2348e-05i,0.0011021+2.0582e-05i,-0.0002733+0.00017045i,-0.00053305+0.00018268i,5.2157e-05+0.00047089i,-0.0007748-2.8097e-05i,-0.0010355-0.00072795i
0.0018214-0.0011638i,0.00096645-0.00071605i,-8.8831e-05-0.0012263i,-0.0017044-0.0024516i,-0.003023-0.0016482i,-0.0034254-0.00037357i,-0.0021798-0.00028763i,-0.00021583-0.00092477i,-0.00023335-0.0010741i,-0.0010781-0.0006364i,-0.00055971-0.00026349i,4.2349e-05+0.00027704i,3.0557e-05+3.4342e-05i,0.00014156-0.00023929i,0.0011045+0.0002282i,0.0016982-0.00010486i,0.00071479-0.00069798i,0.00059407-0.00068121i,0.00048579-0.00089346i,-0.00031909-0.00047479i,-0.00051064+0.00010626i,-0.00072465+0.00044357i,-0.00098046+0.0009564i
-0.0017527+0.00037655i,-0.00097643+0.00076166i,-0.00063935+0.00097633i,-0.00050012+0.001227i,-0.00074148+0.0012971i,-0.00061756+0.00062762i,-0.00038554-0.00034302i,-0.00013907-0.00090902i,-2.2294e-05-0.00094316i,-1.1937e-05-0.00089249i,-0.0005444+3.1778e-05i,-0.00056725+0.00037985i,-0.0002399-0.00092753i,0.00028515-0.00131i,0.00053643-0.00082773i,-0.00025528-0.00032424i,-0.00040445-0.00054949i,-0.0002511-0.0010144i,-0.0010126-0.00072133i,-0.00048894-0.00052971i,3.1833e-05-0.00029244i,-0.00036872+0.00033671i,-0.0011101+0.00013315i
-0.0022898-0.00021159i,-0.0013821-6.2916e-05i,-0.0003135+0.00048569i,0.00011389+0.0012053i,-0.00021543+0.00081495i,0.00032696-0.00057683i,0.00075173-0.0016855i,7.6698e-05-0.0018366i,-0.000714-0.0010416i,-0.0009394-0.00026184i,-0.0010742+0.00019463i,-0.00063883+2.8585e-05i,0.00023967-0.00029875i,0.00019206-0.00010398i,-0.00014562-4.8228e-06i,0.00017033-6.2859e-05i,0.00037104+0.00019703i,0.00041735-0.00013295i,0.00034906-0.00029001i,-0.0002171-0.00027466i,-0.00062278-0.00021871i,-0.00017655+0.00011526i,0.00028357+0.0002485i
0.00017655-0.00014037i,-0.0013219+0.00092008i,-0.0026758+0.001786i,-0.0014982+0.0020049i,-0.0006079+0.0014425i,-0.00061685+1.853e-05i,-0.0010402-0.00055119i,-0.0009603-0.0010481i,-0.00087677-0.0014173i,-0.00098092-0.00016729i,-0.00043934+0.00099228i,0.00016255+0.00077918i,-0.00014622+0.00048776i,-0.00027454+0.000652i,0.00021238+0.00019375i,0.00060278-0.00081673i,0.00073753-0.001285i,0.00034895-0.001001i,0.00021795-0.00073338i,1.6359e-05-0.00055269i,-0.00087601+0.00021382i,-0.00070784+0.00034726i,0.00014468-3.4885e-06i
0.0019789-0.00041146i,0.001116+0.00021424i,-0.0011787-0.0007199i,-0.0021317-0.0019444i,-0.0014595-0.0020477i,-0.00063202-0.0011343i,-0.00052127-0.00085638i,-0.00097115-0.0017371i,-0.0015922-0.0026119i,-0.0016748-0.0017363i,-0.00065508-0.00056313i,0.00035125-0.00026564i,-0.00035586+0.00044476i,-0.00090204+0.00059909i,-0.00055997+0.00034675i,-0.00036728+4.972e-05i,-0.00011812-0.00017058i,0.00031914-0.00038913i,0.00022168-0.00033411i,-0.0005329-0.000168i,-0.0010446+8.5459e-05i,-0.00043898-0.00033413i,0.00014211-0.00067407i
-0.00032767-0.00063911i,-0.0022686+0.00024395i,-0.003397+0.0010787i,-0.0023123+0.00020007i,-0.0017412-0.00020989i,-0.0023937-0.00040759i,-0.0021726-0.00087268i,-0.0013296-0.0014013i,-0.00051096-0.0013557i,-0.00071118-0.0012321i,-0.0010229-0.00084375i,-0.00091619-0.00063684i,-0.0004988-0.00053836i,0.00024002-0.00057677i,0.00037443-0.0010367i,0.0003548-0.0003963i,0.00018585+0.00025062i,-0.00024523+0.00017756i,-0.0002168+0.00022355i,-0.00014661+1.9954e-05i,-0.00053-0.00014771i,-0.00061026-0.0004236i,-0.00037201-0.00061986i
0.00031577-0.0012605i,-0.00032465-0.00059004i,0.00047786+0.00050426i,0.0017721+0.0012369i,0.0012806+0.0015637i,0.00039574+0.00070171i,0.0003303-0.00048974i,0.00059722-0.0006343i,-0.00017168-0.00065419i,-0.0007895-0.00050567i,-0.00056406+0.00027412i,-0.00080717+0.0005729i,-0.00098423+0.0002927i,-0.00014536-0.00017176i,0.00027951-0.00081189i,-1.8347e-05-0.00080479i,-5.3461e-05-0.00098371i,0.00010246-0.00092768i,-7.5453e-05-0.00066828i,-8.5856e-05-0.00064072i,0.0003068+0.00012991i,0.00070007-4.6017e-05i,0.00056925-0.00060669i
0.00036159+0.0027463i,0.00081349+0.0021393i,0.0011328+0.0025334i,0.001225+0.0021485i,0.0016165+0.00054893i,0.00081272-0.00034668i,-0.00040368-0.00060259i,-0.00027817-0.0010331i,-0.00070115-0.0011885i,-0.00071491-0.0010755i,-1.6052e-05-0.00067635i,-0.00016896+0.00010428i,-0.0006888+0.00022777i,-0.00093617-0.00031424i,-0.00095882+2.6399e-05i,0.00025768+0.00077519i,0.00075154+0.00085466i,-0.00037096+0.00074818i,-0.00087981+0.0004868i,-0.00097307+0.00023751i,-0.0005948-0.00022252i,0.00019271-0.00010256i,0.00072172+8.9828e-05i
-0.00059479-0.00010458i,-0.0015465-0.0012436i,-0.0015892-0.0019215i,-0.0014428-0.0010356i,-0.0017942-0.00015129i,-0.0011465-1.6129e-05i,-0.00071359-0.00057311i,-0.0010391-0.0017623i,-0.0017151-0.0019057i,-0.00136-0.00072934i,-0.00093578-7.7141e-05i,-0.0017229-1.364e-05i,-0.0015315-4.6591e-05i,-0.00033962+0.00016588i,0.00035045+0.00048384i,0.00042267+0.00012261i,0.00033622-0.00064288i,0.00065684-0.0007105i,5.5963e-05-0.00010899i,-0.00080452-0.00024629i,-0.0009032-0.00024254i,-0.0010368+0.00025189i,-0.00060754+0.00024549i
0.0001932-0.0026161i,-0.0015881-0.0022672i,-0.0021406-0.0030245i,-0.0015977-0.0027024i,-0.0012312-0.00099152i,-0.0013062+0.00068556i,-0.00067426+0.00060373i,-0.00065494-0.00039165i,-0.001418-0.0011106i,-0.0014338-0.0010711i,-0.00046181+0.00034212i,0.00076917+0.0012345i,0.0012553+0.00090111i,0.0010424+0.00081472i,0.00068106+0.00061339i,0.00017727+0.00039097i,-0.0001541+0.00026025i,-0.00027349-0.00016196i,1.124e-05-9.6798e-06i,-0.00018414+0.00053354i,-0.0003581-2.7848e-05i,-0.00039682-0.00052107i,-0.00055388+3.8029e-05i
-0.00029718+0.00024975i,-0.00054497+0.00048204i,-0.0013529+0.00064936i,-0.0013549+0.00048634i,-0.00016258+0.00088131i,0.0009315+0.00032909i,-5.9681e-05-0.00044451i,-0.00079397-0.00071946i,-0.00084137-0.0012002i,-0.0013233-0.00076281i,-0.001173-0.00014274i,-0.00083505-0.00041453i,-0.00073221-0.00027395i,0.00019687-0.0001326i,0.00044621+0.00015304i,0.00024257+0.00036791i,0.00036893-0.00010664i,0.00019513-0.0010093i,0.00017214-0.0013276i,-0.00011872-0.00068262i,-0.00020661-0.00083248i,-0.00018891-0.0011532i,-0.00082701-0.00084817i
-0.0013526+0.0011481i,-0.00082619+0.00020239i,-0.00086459+0.00039811i,-0.00093361+0.0012366i,-0.0004428+0.0010289i,-0.00057673+7.8863e-05i,-0.00069196-0.0013264i,-0.0014326-0.0017018i,-0.0017833-0.00080396i,-0.0015292+0.00012886i,-0.0010979+0.001161i,-0.00071331+0.00083026i,-0.00086261-0.00049826i,-0.00057605-0.00060603i,0.00012468-0.0002241i,0.00018595-0.00037966i,0.00042088-0.00026841i,0.00056323-0.00022038i,-0.00019281-0.00052404i,-0.00034442-0.00028555i,0.0002714+0.00031296i,9.9914e-05+0.00010124i,-0.00033826-4.0479e-05i
