0.0010692+0.00074436i,0.00024891+0.00079686i,0.0014473+0.00035499i,0.0025107-9.896e-05i,0.002545+0.0002633i,0.0020376+0.00047816i,0.0013554+0.00091988i,0.00075166+0.00086261i,0.00039936-0.00025143i,0.000877-0.00061223i,0.0011866-0.00029955i,0.00047746-0.0005041i,-0.00010668-0.00094442i,-0.00039905-0.00038619i,-0.00043972-0.00022122i,-0.00016977-0.00028767i,0.00017776-5.2428e-05i,0.00046897+0.00015158i,0.00033695-7.6341e-05i,0.00031074-0.00030181i,-0.00010484-0.0003356i,-0.00052311-0.00046602i,-0.00044949-0.00042196i
0.00036496-0.0011904i,6.2145e-05-0.00075676i,-0.00037223-0.0018422i,-0.00077416-0.0018231i,-0.0011244-0.00013776i,-0.00094939+0.0012452i,-0.00024905+0.0015242i,0.00055+0.00091062i,0.00044804-0.00023346i,0.00042694-0.00096694i,0.00034937-0.00048244i,0.0005148+5.5936e-05i,0.0014628-0.0003772i,0.00074501-0.0005922i,-0.00035495-0.00053779i,-0.0001056-0.00068356i,0.00044854-0.00028509i,0.00058069+4.4939e-05i,0.00060937+0.00014527i,0.0010365+0.00011305i,0.00094635+0.00028593i,0.00047605+0.00018168i,0.00059501-5.6836e-05i
-6.0758e-06+0.0014192i,0.00090019+0.0011372i,0.0016355+0.00096298i,0.0015443+0.0008245i,0.00050497+0.0014825i,-0.00020903+0.0015185i,0.00047109+0.00074266i,0.0015572+0.00031858i,0.00076032-0.00034691i,3.9005e-05-0.00083996i,0.00046019+5.2045e-05i,0.00014684+0.0004279i,-0.00025833+0.00022902i,-4.2927e-05+0.00087788i,-0.000181+0.00085692i,-0.00015698+0.00013643i,6.8816e-05+0.0001185i,7.5245e-05+1.6587e-05i,9.5008e-05+0.000102i,0.00021066+0.0012006i,-0.00019142+0.0010119i,-0.00022471-0.00043767i,8.8237e-05-0.0003676i
1.885e-05+5.4786e-05i,-0.00014666-4.5004e-05i,0.0011627-0.00094099i,0.0013749-0.0023668i,0.00022157-0.0019422i,-0.00075591+4.2853e-05i,-0.00020258+0.00084912i,0.00039105+0.00010065i,0.00026768-0.00071205i,-0.00037726-0.00074222i,-0.00030432-0.00061768i,0.00069178-0.00063703i,0.00048167-0.00061842i,4.5982e-05-0.0003553i,0.00058777+0.0005161i,0.00079996+0.00059994i,0.0010575+0.00024544i,0.0015049+0.00057743i,0.00079261+0.00071565i,-0.00021735+0.00062213i,-0.00028605+0.00066763i,0.00019911+0.0012318i,0.00029149+0.0013118i
0.00095729-2.3397e-05i,0.00082543+0.00042965i,0.00076596+0.00050814i,0.00010538+0.00073654i,-0.0010043+0.0013831i,-0.0015205+0.001782i,-0.0004982+0.0019426i,0.0010955+0.0011408i,0.00072374-0.000529i,-0.00056384-0.001179i,-0.0011288-0.00033434i,-0.00037977+8.35e-05i,0.00042577+0.00055903i,0.00058323+0.0011128i,0.00067432+0.00060448i,-0.00013481+0.00011828i,-0.00017087-0.00026878i,0.000931-5.9705e-05i,0.00071548+0.00028161i,9.4995e-05+0.00033347i,0.0005195+0.00040927i,0.00066937+0.00043523i,0.00026847+0.00014283i
0.00040268+0.0002475i,-0.00048765-0.00065895i,-1.5678e-05-0.0014509i,0.00016429-0.0013726i,-0.0007584-6.1325e-05i,-0.00086291+0.0016687i,-8.2327e-05+0.0017889i,0.0006142+0.00063241i,4.5062e-05-0.00087154i,-0.00069791-0.00093524i,-0.0003088-0.00010633i,0.00016666+2.7468e-05i,-0.0003146+6.3654e-05i,-3.6931e-05+8.5722e-05i,0.0010038-0.00041713i,0.0011333-0.00024757i,0.0013246+4.6964e-05i,0.0015904-0.00040604i,0.0010632-0.00014293i,0.00034137+0.00087529i,-5.8559e-05+0.00034296i,-0.00011969+0.00015233i,-3.3201e-05+0.00057091i
0.0014657-0.0013862i,0.0008347-0.0013815i,-7.3517e-05-0.0014598i,-0.00081836-0.0012541i,-0.00022104-0.00031511i,0.00068618+0.00042733i,0.0010581+0.0012644i,0.0010249+0.00076376i,0.0013778+0.00030475i,0.00053456-0.00010609i,-0.00087215-9.3523e-05i,-0.00059485+0.00022481i,0.0003696-0.00010584i,0.00074589-0.00035701i,0.00033636-0.00012443i,0.00084393+0.00067405i,0.0011885+0.00028062i,0.00023032-0.00064345i,-0.00048268-0.0005179i,-0.00011261+0.00026638i,0.00050919+0.00072715i,0.00097174-6.3056e-05i,0.00066281-0.00041487i
-0.00051722+0.00098004i,-0.00048131+0.00066225i,7.3357e-05-0.00044436i,-0.0004488-0.0010311i,-0.0012556-0.00039843i,-0.0012112+0.0011248i,2.307e-05+0.0016495i,0.00055726+0.0013486i,0.00078081+0.00028231i,0.0006733-0.00013409i,-0.00051419+0.00027271i,-9.6273e-05+0.00019228i,0.00075468-0.00032616i,0.00010949-0.00023966i,-0.00019325-7.8984e-05i,0.00040415-0.00037434i,0.0004293-0.00060933i,-0.00035503-0.0011581i,-0.00056972-0.00046976i,-0.00043308+0.00018751i,-0.00025041+0.0004451i,-0.00039604+0.00068526i,-0.00028916-0.00015213i
-0.0015821-0.0001598i,-0.00067635+0.00045127i,0.00062443+0.00063214i,0.00016275-0.00078479i,-0.00017461-0.0011818i,-0.0001935-0.00019975i,0.00019417-0.00054486i,0.00065703-0.00063424i,0.00066322-0.00065571i,0.00043609-0.00096617i,-0.00033967-0.0014128i,-0.00010334-0.001697i,0.00034788-0.001085i,0.00046312+8.2481e-05i,-4.0175e-05+0.00068893i,-0.00068233+0.00046263i,-0.00066026+0.00083197i,5.5984e-05+0.0010382i,0.00037066+0.00075935i,1.0123e-05+0.00033067i,-0.00043516-0.00023211i,-0.00025654-0.0008569i,0.00013731-0.00058781i
0.00011274+0.00068671i,-0.0004973+0.00062058i,0.00041243-0.00068138i,0.00035481-0.0013493i,-0.00043619-0.00060366i,-0.00074885+0.0005619i,-0.00033369+0.00099144i,0.00031303+0.00065586i,-0.00046882-0.00022549i,-0.00086814-0.00089326i,-9.9838e-05-0.00053774i,-0.00035012-6.9639e-05i,-0.00061591-0.00027223i,-0.00096131-0.00085842i,-0.00064239-0.00049991i,-4.0995e-07+0.00025996i,0.00052768+3.3182e-07i,0.0006549-0.00051237i,0.00039725-0.00028359i,0.00070797+0.00051227i,0.00016609+0.00096921i,-0.00041902+0.00058718i,-0.00040988+0.0001206i
-0.00033837+0.001581i,0.0005418+0.00019413i,0.0016242+0.00035737i,0.001455+0.00013988i,0.00042348+0.00010824i,0.00017986+0.00075494i,0.00023565+0.0011761i,0.00066967+0.00086305i,0.0010912-0.00053851i,0.00096489-0.0013527i,0.00017731-0.00064978i,-0.00039239+8.9409e-05i,-0.00044424-0.00023316i,-0.00015665-5.424e-05i,-0.00033341+9.0508e-05i,-0.00048169+1.8007e-05i,0.00010281+3.9252e-05i,0.00067578-0.00042022i,-0.00024983-0.00052955i,-0.00086876+0.00033313i,-0.00072654+0.00016984i,-0.00065309-0.00052135i,8.6854e-05-0.00013984i
-0.0013613-0.00072679i,-0.00019041-0.00043137i,0.0014671-0.00085286i,0.0016215-0.00058709i,-9.904e-05+0.00055247i,-0.00023342+0.00038688i,0.0012605-0.00014375i,0.0020865-5.9723e-05i,0.0016727-0.00030689i,0.00047695-0.00056602i,-0.00015782-0.00030208i,0.00043901-0.00075737i,0.00062484-0.0014265i,0.00018307-0.00059387i,-0.00024038+0.0011084i,-4.5899e-05+0.001049i,0.00054112-0.00011938i,0.00061692+4.3208e-05i,0.00019455+0.00042409i,-0.00027576+0.00029914i,-0.00015312+0.00047261i,0.00072889+0.00068569i,0.0010624+0.00033048i
-0.0011769-0.0019731i,-0.00147-0.0013369i,-0.0025501-0.0011291i,-0.0021814-0.0011818i,-0.001499-2.4934e-05i,-0.00096525+0.0013128i,0.00042858+0.0013785i,0.0008111+0.0003468i,0.00073061-0.00065573i,0.00035316-0.00098613i,-8.6852e-05-0.00079513i,-0.00030297-0.00017724i,-0.00080299-6.3931e-05i,-0.0012287-0.00045458i,-0.00086262-0.0010011i,0.00050604-0.00044275i,0.00084856+0.00031928i,0.00034184+0.00040873i,0.00037734+0.00080656i,0.00029124+0.00098706i,0.00052425+3.3159e-05i,0.00047355-0.00032214i,0.00026032+0.00072483i
0.0012014+9.1978e-05i,0.0016176-0.00063825i,0.00071728-0.0020131i,0.00026592-0.001875i,0.00018842-0.00063162i,-0.00041687+9.3243e-06i,-0.00021479+0.00037425i,0.00068404+0.00055041i,0.0010711+0.00041274i,0.00042154+0.0005285i,-0.00030225+0.00036068i,0.00015916+0.00059432i,0.00021525+0.00040772i,-4.9822e-05-5.3231e-05i,0.00014031+0.00044108i,0.00062923+0.00069886i,0.00065296+0.00069144i,0.00072153+0.00085833i,0.00034833+0.000615i,0.0003354+0.00016119i,0.00018653+0.00031099i,-0.00082235+0.00083666i,-0.0011089+0.00079173i
0.00051733-3.9761e-05i,0.0008219+0.0007531i,0.00073732+0.00053778i,0.00027279+0.0003939i,-0.00043737+0.0013704i,-0.00079264+0.0024252i,0.00028255+0.0019771i,0.0012556+0.00048174i,0.00057969-0.0010031i,-0.00080301-0.0010268i,-0.00072386-0.00019326i,-0.00014311-0.00033309i,-0.00028069-0.00092949i,-0.0005346-0.00016581i,-5.4835e-05+0.00011091i,0.00050627+0.00020971i,0.00054785+0.00060502i,0.0010361+0.00020789i,0.00042127-0.00071997i,-0.00036204-0.00077492i,-0.00031453-0.00040413i,-0.00034928-0.00024116i,8.8751e-05-1.7971e-05i
0.00022382-0.00036974i,-9.921e-05-0.00086529i,3.3462e-06-0.0011874i,8.6869e-05-0.00092994i,-0.00068104+0.00058498i,-0.00072047+0.0030558i,-0.00049134+0.0030548i,-1.5924e-05+0.0012685i,0.00049571-0.00045472i,0.00023538-0.0012976i,-0.00055435-0.00090336i,-0.00079546-0.00057708i,-0.00011948-4.6001e-05i,0.00053288+0.00060804i,-0.00022673+0.00080329i,-0.00073511+0.00034923i,2.7261e-06+0.00059396i,0.00014314+0.00091282i,-0.00029208+0.00090217i,-0.00076623+0.00049188i,-0.00074488-6.1511e-05i,0.00051063+5.1706e-06i,0.0011974+0.00037907i
0.00059675+0.000686i,0.0014808+0.00057595i,0.0016767+5.3077e-05i,0.0011194-0.00064922i,0.00058095-0.00042408i,0.00016615+0.00076i,0.00033658+0.0017151i,0.0009457+0.0013475i,0.00048745+0.00040462i,-2.1336e-05+0.00060944i,-0.00067704+0.00021694i,0.00018239-0.00082333i,0.001211-0.00077595i,-0.00030604-0.0011737i,-0.0013607-0.001685i,-0.00056677-0.0012399i,-0.00055997-0.00093144i,-0.0011845-0.00029735i,-0.0010383+0.00016738i,-0.00072793-0.00017257i,-0.00053775-0.00011558i,-0.00076464-0.00040892i,-0.00064116-0.00060805i
0.00043527+0.00052743i,0.0003005+0.00022097i,-3.9928e-05-0.0017449i,-0.0015394-0.0027717i,-0.0024553-0.0020571i,-0.0020796-0.0010555i,-0.0004991-0.00029226i,0.0010188-6.0059e-05i,0.00062756-0.00049257i,-0.00025153-0.00071682i,-0.00054046-9.296e-05i,-0.00033284-0.00074181i,0.00061546-0.0011041i,0.0016494-0.00023675i,0.0013637+0.00027372i,0.00096277-1.8731e-05i,0.0010321-0.00036337i,0.00014665+0.0002227i,-0.00036805+6.6787e-05i,0.00032504-5.8737e-05i,0.00092112+0.00015061i,0.001342+0.00013444i,0.0010165+0.00041072i
0.0008288+2.7561e-05i,0.00030932+0.00066716i,-0.00080819-1.6208e-05i,-0.0015789-0.0011502i,-0.0016433+8.5593e-05i,-0.0011518+0.0022291i,-0.00023504+0.0020942i,0.00076352+0.0014169i,0.0009459+5.8634e-05i,0.00055641-0.0010606i,0.00031359-0.0013745i,0.00019565-0.0010625i,-0.00012351-0.00075618i,-0.00023278-0.00032278i,7.1227e-05+0.00018492i,0.00082224-0.00018103i,0.0013127+0.00024669i,0.0012737+0.0012633i,0.00072813+0.0005592i,0.00025758-0.00019726i,0.00019627-9.7117e-07i,0.00018306-0.00033559i,0.00052359-0.00025999i
0.00066269+0.0013242i,0.0012159+0.0012382i,0.001574+0.0005781i,0.0015181+0.00084058i,0.0011857+0.0012423i,0.00080636+0.0013424i,0.00023449+0.0012196i,0.00028116+0.000293i,0.00083883-0.00057395i,0.00010012-0.00065709i,-0.00089445+5.9051e-05i,-0.00084775+0.0009468i,-0.00088534+0.0007846i,-0.00093564+0.00051462i,-0.00060677+0.00090066i,-0.00070512+0.0011044i,-0.00020919+0.0013226i,0.00070893+0.0014746i,0.00060351+0.00093865i,0.00024827+0.00012467i,1.0527e-05-0.00013063i,-0.00024667-0.00056882i,2.2207e-06+1.0197e-05i
0.00067888-0.00067372i,0.00042974-0.0010003i,-0.00022843-0.0025751i,-0.0010519-0.002272i,-0.0016982-0.00031497i,-0.0011855+0.0018257i,-0.00030905+0.0022973i,0.00045961+0.00069046i,0.00019564-0.0010591i,-0.00014383-0.0016797i,-0.00017894-0.00022039i,-0.000753+0.0008655i,-0.0013311-4.1748e-05i,-0.00098135-0.00061664i,-0.00024099-0.00045088i,-0.00019912+0.00020918i,-0.00055183+0.00062466i,-0.00090705+0.00034134i,-0.0011913+0.0007011i,-0.00071013+0.00060808i,-7.0736e-05+6.4551e-05i,7.9859e-05-0.00036956i,0.00015002-0.00052681i
0.00099437-0.00047924i,0.0012115-0.00099666i,0.0014339-0.0019742i,0.00068949-0.0017254i,0.00019222-0.001192i,0.00072718+0.00024658i,0.00098893+0.0014529i,0.001077+0.00095527i,0.00093884+7.4192e-05i,0.0005095-0.00054544i,0.0004995-0.00077674i,8.4885e-05-0.00067713i,-1.4371e-06-0.00014137i,0.00062232-7.4128e-05i,0.00079502-0.00078691i,0.0001434-0.00084142i,-0.00018441-0.00043192i,0.00072425-0.00027987i,0.00091748-0.00017863i,0.00080551-0.0003077i,0.00063582-9.7755e-05i,0.00018321+0.00049038i,0.00028348+0.0010722i
-0.00040844-0.00089112i,-4.1262e-05-0.00018114i,0.00036274+7.5759e-05i,0.00090781-0.00010584i,0.00062441+0.00034092i,0.00056107+0.00105i,0.0014095+0.0009967i,0.0021639+0.00089225i,0.0015205+0.0005322i,-0.00023694-0.00080328i,-0.00079679-0.0020039i,0.00014251-0.0020597i,0.00060351-0.0012927i,0.00024987-0.00047186i,-0.00018129-0.00016968i,0.00014974-0.00013914i,0.00052057+0.00012446i,0.00032974+0.0002036i,9.0651e-05+0.00015004i,-0.00051668+0.00067641i,-0.00082191+0.00085768i,-0.000211+0.00048829i,-6.003e-07+0.00028858i
