1.5516e-05+0.00015135i,0.00017157-0.0014105i,0.00016987-0.0029039i,-0.00016188-0.0025202i,-0.00089011-0.0010464i,-0.0016084+0.00023433i,-0.0014372+0.00082202i,0.00022735+0.00075567i,0.0013918+0.00015725i,0.0012139+8.9239e-05i,0.00057535+0.00032278i,-0.0004006-0.00020056i,-0.00090828-0.00026219i,-0.0008261+0.00012873i,-0.00035483+0.00044975i,-0.00024947+0.00014066i,-0.00030296-0.00050868i,0.00033024-0.00085528i,0.00024753-0.00097136i,-0.00076943-0.0011498i,-0.0006012-0.0010034i,0.00023098-0.00062489i,0.0003219-0.00013571i
0.00047522+7.2333e-05i,0.00049112+0.00029368i,0.0005641+0.00071775i,0.0004652-0.00015931i,-0.00045924-0.0017121i,-0.0010746-0.002361i,-0.0012681-0.001271i,-0.00078039+0.00016122i,0.00040229+0.00023944i,0.00045287+0.00033806i,-0.0002365+3.2646e-05i,-0.00035614-0.00033638i,0.00017725-3.3514e-05i,0.00013583+0.00035653i,0.00024122+0.00045236i,0.00017732+0.00045353i,-0.00045468+0.00065827i,-0.00021352+0.00054353i,0.0003632+4.1068e-05i,6.998e-05-2.1811e-05i,-0.00052227+0.00023709i,-0.00064111-0.00056636i,-0.00025459-0.00092802i
-0.00068038-9.8339e-05i,-0.0013305-0.00042956i,-0.00024284-0.00030858i,0.00039548-0.0003487i,0.00076937+6.3321e-05i,0.0012926+0.00031192i,0.00093531+0.00064469i,-1.1464e-05+0.00070632i,-0.00079788+0.00081219i,-0.001123+0.00053945i,-0.00075033-0.00057321i,-0.00022534-0.00085638i,-0.00040772-0.00081544i,-2.6604e-05-0.00092927i,0.00033566-0.00041284i,-4.3482e-05+0.00041764i,0.00056232+0.00069915i,0.00028909+4.2615e-06i,-0.00026232-4.383e-05i,5.3553e-06+0.00013518i,-7.6084e-06+0.00035721i,0.00015248+0.00051362i,0.00022766+0.0012683i
-0.00067308+6.1819e-05i,-0.00025432+0.0012155i,-0.00070585+0.0018253i,-0.00041275+0.0008726i,0.0005836-0.00011458i,0.00060394-0.0012422i,0.00017486-0.0012488i,-2.7536e-05-0.0012266i,-3.6704e-05-0.0012065i,-0.00025398-0.00047311i,-0.00050949-0.00021355i,-0.000535-7.2021e-05i,0.00017437-0.00026718i,9.123e-05-0.00022171i,-0.00043617-0.00012641i,-0.00039291+6.8646e-05i,-0.00049352+8.7055e-05i,-7.9063e-05-3.9748e-05i,-8.0643e-05+0.0003211i,-0.00044177+0.00077474i,-0.00035317+0.00036844i,-0.00027672+0.00024841i,-0.00061395+0.00043893i
-0.002157+0.00092653i,-0.00081886+0.0017723i,-0.00024154+0.0017645i,-6.3735e-05+0.0015561i,-0.00060462+0.00081407i,-0.00076905-0.0001501i,-0.00086923+0.00011263i,-0.001266-2.2129e-05i,-0.0012193-0.00053362i,-0.00054447-0.00015772i,-0.00037423-0.00015916i,-0.00024636-0.00038109i,-0.00011983+0.00024366i,-0.00028729+0.00019644i,-0.00023227+0.00012965i,0.00047737+0.00011487i,0.00087141+0.00035944i,0.0004134+0.00036214i,0.00037051-9.1877e-05i,0.00030432-7.9154e-05i,8.5885e-05+0.00045338i,0.00048233+0.00082619i,0.00057967+9.872e-05i
0.0017974+0.00034758i,0.00095266-0.00044183i,0.00089164-0.00068117i,0.00084135-0.001164i,0.00046992-0.0019008i,-0.00063242-0.0024216i,-0.0013801-0.0017264i,-0.00017561-0.00075181i,0.00046537-0.0001252i,-2.1794e-05+8.862e-05i,-5.384e-05-0.00062715i,-0.00046307-0.0011471i,-0.00069469-0.00038192i,-0.00026593+0.00016167i,-0.00029857-0.00012893i,-0.00076456-0.00071343i,-0.00043034-0.00055301i,0.00017541-0.00042384i,0.0002573-0.00039993i,0.00077263-0.00020658i,0.00071973-0.00043005i,0.00036398-0.00074368i,8.1553e-06-4.1855e-05i
0.00012021+0.0021301i,-0.00037091+0.0018798i,-0.0012666+0.0014453i,-0.0011967+0.0014285i,-0.00016943+0.00045596i,-0.00060485-0.00066738i,-0.0011606-5.3547e-05i,-0.00065179+0.00063548i,5.8791e-05-2.7975e-05i,7.3671e-05+0.00016098i,-9.2537e-05+0.00042528i,-0.00019686+0.00022791i,-0.00047633-0.00010606i,0.00046271-0.00022752i,0.0011512+0.00013338i,0.00057087+0.00015314i,-3.6249e-05+4.7125e-05i,2.909e-05-4.0358e-05i,0.00015118-0.00050123i,0.00024666-0.0010101i,0.00014573-0.00025756i,0.00037856+0.0008626i,0.00029309+0.00073303i
0.00071182+0.0011982i,0.00096866+0.00054127i,0.0018542-0.00031157i,0.0018824-0.0016019i,0.0006799-0.0024003i,-0.0012417-0.0016313i,-0.0021074-4.9179e-05i,-0.0014538+0.00033011i,-0.00065947-0.00016909i,-0.00082147-0.00084835i,-0.00082145-0.00042883i,-0.00020353+0.00016272i,-0.00027918+0.00020098i,-0.00057809+0.00014174i,-0.00011972-0.00043081i,0.00019466-0.00014388i,-0.00010614+0.00025044i,0.00010472-0.00048485i,-0.00013394-0.0011182i,-0.00054471-0.00086544i,-0.00064184-0.00057855i,-9.2852e-05-0.00067745i,0.00099178-9.2531e-05i
-0.00050435+0.0010105i,-0.0013725+0.0011613i,-0.001381+0.0016948i,-0.00078194+0.0011746i,-7.5295e-05-0.00046855i,-0.00028061-0.0006566i,-0.00088356-0.00057036i,-0.00062452+7.1694e-05i,-0.00077741+0.00072709i,-0.00064035+0.00048432i,-6.6579e-05+0.00032765i,0.00024855+0.00031933i,0.00034359+0.00036359i,0.00064005+2.4864e-05i,0.00093125-0.00028142i,0.00096773-0.00042497i,0.0011524-0.00046736i,0.00085673-0.00062678i,0.00049995-0.00047661i,0.00055367-0.00023774i,0.0003913-0.0006475i,0.00091711+0.00017823i,0.0011062+0.00040924i
-0.00023771+0.0015455i,-0.00029216+0.00028836i,0.00061422-0.00061814i,0.00039802-0.00085011i,-0.00060869-0.0017646i,-0.0011077-0.0021954i,-0.0012462-0.00058496i,-0.0012429+0.00018425i,-0.00093377+0.00012208i,-0.00049682-0.00047505i,-0.00018412-0.00099434i,-0.00012905-0.00073436i,6.7354e-05-0.0003447i,8.1464e-05-0.00023416i,0.0002525-0.00031305i,0.00013229-0.00028906i,0.00012778-0.00027162i,0.00051376-0.00034283i,0.00028271-0.00032114i,-0.00087717-0.00019349i,-0.00078539-0.0001357i,0.00018203+0.00012161i,7.5523e-05+0.0005186i
-0.0013339+0.00074684i,-0.00087466+0.0013373i,-0.00027822+0.0019675i,0.00088695+0.00095549i,0.0015011+0.00043525i,0.00089056-0.00025134i,0.00015362-0.0004616i,-0.00042036-0.00052475i,-0.00099799-0.0014316i,-0.0010871-0.00081606i,-0.00061457+0.00045563i,-0.00064868+0.00060488i,0.00054554-5.5525e-06i,0.0012732-0.00058588i,0.00024627-0.00011024i,-0.00021097+0.00043625i,-0.00049179+0.00058443i,-5.9058e-05+0.00065667i,0.00026654+8.3255e-05i,0.00023603-0.00054388i,0.00051827-5.5634e-05i,-0.00029433+0.00018095i,-0.00029717-0.00019591i
-0.00050336+0.00066835i,0.00021017+4.8997e-05i,0.0002447-0.0004719i,0.00066323-0.00030152i,0.00050094+5.0247e-05i,-0.0010341-0.00047718i,-0.0019681-0.00039177i,-0.0012819+0.00048485i,-5.3163e-05+0.00039078i,0.00024616-4.3633e-05i,6.3701e-05+0.00013835i,-0.00039333+0.00018427i,-0.00030336-0.00028312i,0.00029846-0.00033454i,0.00072715-0.00023549i,0.00025539-3.8373e-05i,0.0004363-0.00019527i,0.00060282+0.0001298i,0.00038975+0.0012129i,0.00050728+0.00090513i,0.00044763+0.00024476i,0.00031811+0.00078131i,0.00046861+0.00074152i
0.00039134-0.0001793i,0.00060126+0.00012971i,0.0016721+0.00028225i,0.0020586-0.00062926i,0.00079603-0.002294i,-0.00027529-0.0020949i,-0.00051448-0.0009118i,5.5947e-05-0.0008793i,0.00037755-0.0011465i,-0.00053723-0.0013422i,-0.0011653-0.00090219i,-0.00091379-0.00032978i,-0.00014487+2.0425e-06i,0.0002696-6.9724e-06i,0.00012133-0.00033628i,0.00027082-0.0003443i,0.00080677-0.00018528i,0.0001485+0.00049356i,-0.00053457+0.00063487i,5.3228e-05-0.00075579i,-0.00019173-0.0011441i,-0.00031512-0.00011123i,0.00040361+0.00017848i
0.0023951-0.00063235i,0.0013805-0.0010969i,0.00066614-0.002196i,-0.00081677-0.0027952i,-0.0026322-0.002298i,-0.003284-0.0015323i,-0.0014649-0.00039149i,-0.00074144+0.00083735i,-0.00059577-7.252e-05i,-0.0010176-0.00079673i,-0.00081629+3.0527e-05i,6.0643e-05+0.0011288i,-8.048e-05+0.002008i,-0.00020127+0.0015129i,-0.00024598+0.00035809i,3.7705e-05-0.00027527i,0.00087011-0.00063924i,0.00059171-0.00046366i,-2.1815e-05-0.00077669i,-0.00028456+0.00016106i,-0.00054941+0.0011042i,-0.00033416+0.00041117i,-0.00023912+5.0027e-05i
-0.00073533-0.00085623i,-0.0010803-0.00085942i,-0.00018718-0.0009722i,-3.995e-05-0.00094034i,-0.00051802-0.00095584i,-0.00073278+0.0002693i,-0.00099611+0.0012611i,-0.00071299+0.00053452i,-0.0004795-0.0005909i,-0.0018508-0.0003252i,-0.002269+0.00021818i,-0.00098945-7.0474e-05i,-2.6525e-05-0.00012027i,-0.00049496+2.1196e-05i,-0.00048365-0.00056301i,-0.00036988-0.00035111i,0.00022659-1.2522e-05i,2.9451e-05-0.00028322i,-0.00048443-2.2971e-05i,-0.00043271+0.0003266i,-0.00067336+0.00036147i,-0.00091348+0.00067052i,-0.00056431+0.00073322i
0.0024356+0.0018028i,0.0029965-3.3041e-05i,0.0024353-0.0014956i,0.0021179-0.0026568i,0.0018241-0.0037575i,0.00080597-0.003459i,4.8593e-05-0.0013108i,-6.8916e-05+0.00041129i,-0.00020872+0.0004676i,-0.00057289-1.4817e-05i,-0.001048-0.00034514i,-0.0012892-0.00035218i,-0.0012518-0.00016699i,-0.00082507+9.0093e-05i,-0.00019753+0.00066256i,-0.0002747+0.00029369i,-0.00011325+0.00013212i,-0.0004177+0.00072956i,-0.00075131+0.0011675i,-0.00056544+0.00086422i,-0.00018656+0.00010914i,-0.00010191-0.00019373i,-0.00043208+0.00022253i
-0.0011863-0.00039602i,-0.0009124-0.00052745i,-0.00023359-0.00052567i,0.00061386+0.00026924i,0.00019708+0.00031835i,-0.00017716+0.00034728i,-0.00068266+0.00096166i,-0.0012526+0.00096136i,-0.001186+0.0003484i,-0.0011143+4.2125e-05i,-0.0006353+0.00036726i,0.00057311+0.0006044i,0.0003983+9.3088e-05i,-0.00019768-0.00087798i,-0.00038249-0.00011895i,-1.8739e-05+0.00045419i,4.2758e-05-0.00012689i,-0.00053249-0.00045612i,-0.00089922-0.00030402i,-0.000572-0.00050371i,0.00023145-0.00019676i,1.2122e-05+0.00035911i,0.0001586+0.00067508i
0.0009468-0.0024419i,-0.00016395-0.0022154i,-0.00035092-0.0029303i,6.4555e-05-0.0024932i,-0.00082843-0.0013551i,-0.0020894-0.00085476i,-0.0019818+0.00028772i,-0.00095469+0.00046583i,-0.00051841-0.0001877i,-0.00062934-0.00015402i,-0.00018259-0.00060638i,8.4298e-05-0.00083771i,-0.0002865+3.8833e-05i,-0.00072434+0.00061214i,-0.00073316+0.0010021i,0.00019212+0.00075879i,-2.6467e-06+0.0010013i,-0.0005711+0.00091764i,-0.00052606+0.00080505i,-0.00033635+0.0010669i,0.00020437+0.00091101i,0.00076991+0.00059326i,0.00080367+0.00026535i
-0.00091878+0.0014006i,-0.00063259+0.0023314i,0.00054698+0.0033913i,0.00085171+0.0020642i,0.00081405-0.00020654i,0.00089172-0.0012029i,-0.00019478-0.00022862i,-0.0010387+0.0005951i,-0.00077392+9.5738e-05i,-0.00033824-0.00014796i,-0.00043531+0.00046315i,-0.00031891+0.00074426i,0.00054886+0.00059334i,0.0010033+0.00017178i,0.00058289-0.00064707i,0.0005749-0.00080354i,0.00076472-0.00047568i,0.00012613-0.00026416i,0.00034651-0.00015702i,0.0006086+0.00025737i,0.00033659+3.7809e-06i,0.00028502-0.00080224i,-0.00021929-0.00042552i
-0.000305-0.00082356i,-0.0001693-0.0004831i,-0.00015464-0.00086523i,0.00050353-0.0013904i,0.00036002-0.0013546i,-0.00043721-0.00071957i,-0.0007718-0.00022238i,-0.00018011+0.00038263i,0.00038631+0.00031259i,-0.00064423-0.00068438i,-0.00061849-0.00049475i,-0.00035091+0.00049729i,-0.00054935+0.00021117i,-0.00031275-0.0004769i,-0.00013675-0.0002064i,-6.3618e-05+0.00026539i,8.8482e-05+4.7309e-06i,0.00058396-0.00045359i,0.00043539-0.000318i,8.5705e-05-4.8327e-05i,0.00049833-0.00056631i,0.00040518-0.00012053i,-9.15e-05+0.00019841i
-0.0011543+0.0017251i,0.0012557+0.0012992i,0.0016904+0.00071559i,0.0009101+6.2821e-05i,0.001807+3.536e-05i,0.0020397-0.00012401i,0.0010814-0.00020441i,6.3477e-06+0.00062708i,-0.0011239+0.00056483i,-0.001453-0.00015316i,-0.00090964-6.4609e-05i,8.4136e-05-0.00045059i,0.00015114-0.00047255i,-0.00074943-0.00022681i,-0.0012293+0.00047744i,-0.0014104+0.00065402i,-0.0017731-9.5629e-05i,-0.0011252-0.00047394i,-1.1352e-05-0.00023611i,0.0003068+0.00013358i,0.00059161+0.00043859i,0.00057743+0.00012337i,0.00031879-0.00023965i
0.00018923-0.00047471i,0.00045637-0.0017869i,0.00031639-0.0013157i,-0.00034316-0.0009292i,-0.001083-0.0013042i,-0.0010999-0.0016651i,-0.00044695-0.00075062i,0.00019189-0.00016042i,-0.00035261-0.00072764i,-0.0010986-0.00032841i,-0.0010978+0.00024427i,-0.0010133+0.00023011i,-0.0008087-9.5455e-05i,-0.0005214-0.00069392i,-0.00017999-0.00038021i,-0.00034838-0.00041048i,-0.00056035-0.0002811i,-0.00068049+0.00017686i,-0.00059529-0.00015061i,-0.0010802-0.00016327i,-0.0014528-0.00024479i,-0.0009373-1.9924e-05i,1.0525e-05+0.00061164i
-0.0021769-0.00062983i,-0.0020164-0.00059679i,-0.0014874+0.00018403i,-0.0011322+0.00069767i,-0.00093906+0.0013663i,-0.00081657+0.0015779i,-0.00021346+0.0013135i,0.00024213+0.00067038i,-0.0001355-7.5773e-05i,-0.00042821+0.00014895i,-0.00042902+0.0010026i,-0.00019706+0.00082517i,-0.00081152-0.00020256i,-0.001143-0.00082584i,-0.00035542-0.0010978i,0.00050944-0.0011527i,0.00045268-0.00028525i,-7.3454e-06-0.00036629i,0.00014823-0.00078136i,0.00077678-0.00059232i,0.00086939-0.00079509i,9.8953e-05-0.00014633i,-0.00029023-0.00015913i
-0.00038342+0.0013134i,-0.00011156+0.00022071i,0.0009362+0.00029568i,0.00090882+0.00014669i,0.00087794-0.0014087i,-0.00027949-0.0019231i,-0.0012659-0.00025477i,-0.00099137+0.00060144i,-0.00088962+5.5046e-05i,-0.00080561-0.0009681i,-0.00067958-0.0012786i,-0.0010143-0.00099661i,-0.0011743-0.0011302i,-0.00010595-0.00016522i,0.00069486+0.00027592i,0.00045436-0.00060707i,-0.00022109-0.00066051i,-0.00071054-0.00023286i,-0.0010573-0.00010946i,-0.00069249+8.0505e-05i,0.00094741-0.00023133i,0.00067677-0.00017986i,-0.00082194+0.00062916i
0.00058825-0.00069542i,0.00080539-0.00075166i,0.00077648-8.6952e-05i,0.00086343-6.6561e-05i,0.0001945-0.0014006i,-0.00068367-0.0017031i,-0.00092235-0.0011275i,-0.00044706-0.00055498i,-4.6842e-05+0.00044069i,-0.00039613+0.00071954i,-0.001024-0.00019384i,-0.0014778-0.0002291i,-0.0005867+0.00033171i,0.00012785+0.0002892i,0.00029834-0.00015004i,0.00038798-0.00060545i,0.00094053-0.00070483i,0.0010764-0.00074065i,0.00021539-0.00071232i,0.00040101-0.00018878i,0.00088828+0.00034474i,0.00045597+0.00073499i,-3.1502e-06+0.00048941i
0.00026652-6.4717e-05i,-0.00068209+0.00013256i,-0.00080452-0.00099951i,-0.00096313-0.0019448i,-0.00081065-0.0020944i,-0.00053034-0.0011931i,1.756e-05+7.7187e-05i,0.00043463+0.0005646i,0.00012895-0.00018413i,-0.00043695-0.00051463i,-0.0011412-0.00014234i,-0.0008659-0.00022789i,4.3171e-05-0.00071209i,-0.00014953-0.00054954i,-0.00060196-0.001357i,-0.00036487-0.00089799i,-0.00061697+0.00026285i,-0.00058985+0.00014294i,-0.0001118-0.00039767i,-0.0004066-0.00025144i,-0.00021671+0.00068444i,0.00012849+0.00075782i,0.00032197+0.00024504i
