-0.003502+0.00050929i,-0.003594+0.001369i,-0.0040181+0.0017092i,-0.0032293+0.001252i,-0.0023483+0.0012833i,-0.0014629+0.0019381i,-0.0012176+0.0016018i,-0.00084285+0.0020807i,0.00025381+0.0022399i,0.0012557+0.0010478i,0.0014798-0.00027507i,0.0010046-0.00080496i,0.00027701-0.00099195i,-0.00079804-0.00034742i,-0.00061703+0.00023821i,0.00010642+0.0001983i,4.222e-05+0.00031406i,-0.00026789+0.00051546i,7.2165e-05+0.00025129i,9.1766e-05-0.00078499i,8.3216e-05-0.0012759i,0.00032167-0.00097429i,0.00055748-0.00060322i
3.1426e-05-7.0628e-05i,-0.00036888+5.8322e-06i,-6.1854e-05-0.00043065i,0.00035519-0.00052242i,0.00017083+0.00013229i,-0.00032983+0.00051071i,-0.00039481+0.00029553i,-0.00020272+0.00037677i,0.0013141+0.00082786i,0.0024204+0.00093084i,0.0015349+0.00041301i,0.00026509+0.00024172i,-0.00043677+0.00043521i,-0.00023429+0.00062696i,0.00036501+0.00051755i,-0.00010518+0.00039805i,-0.00033407+8.7454e-05i,2.5416e-05-0.00030882i,-0.00014203+8.2933e-05i,1.5222e-05+0.00055008i,0.00022507+0.0010412i,0.00024583+0.0014607i,0.00012873+0.001279i
0.00062639-0.00013255i,-3.7189e-05-0.00060303i,-0.0011211-0.00081096i,-0.00033415-0.00093724i,0.00081434+0.00011385i,-1.8333e-05+0.0013826i,-0.00011435+0.00097135i,0.00036734+2.8358e-05i,0.00026498-0.00064556i,0.00021851-0.00089942i,0.00031684-0.00038282i,0.0003226+0.00033466i,8.6954e-05+0.00034901i,-0.0002486-0.00017935i,-0.00056849-0.0011407i,-0.00056366-0.0011036i,-0.00032135-0.00038813i,-0.00024659+0.00025488i,8.9456e-05+0.00020562i,-0.00012868-0.00055789i,-0.0003498-0.0010219i,3.0651e-05-0.00079788i,0.00070221-6.9484e-05i
-3.9237e-05-0.00013026i,0.00047731-0.00047942i,0.00012258+0.00011511i,-0.00016041+0.00067034i,-0.00056463+0.0015129i,-0.0011532+0.0015376i,-0.00098239+0.00054028i,-0.00014719+0.000236i,8.0869e-06+0.00053098i,4.2991e-05+0.00052927i,-2.2643e-05+0.00028311i,-0.00050461+0.00051668i,-0.001189+0.00037178i,-0.0014827-5.1897e-06i,-0.00083314+2.7841e-05i,-0.00015683-0.00017667i,-4.3155e-05+3.4466e-05i,-0.00048825+0.00034588i,-0.00040182+4.7075e-05i,0.00017748-0.00063945i,0.00017821-0.0013788i,-0.00053786-0.0015223i,-0.00045829-0.00053283i
0.0010764-0.001735i,0.00022172-0.00036669i,-0.00041845-0.00017379i,-0.00061248-0.00029507i,-0.00076231-0.00016627i,-0.00089853-0.00038132i,-0.00036711-2.05e-05i,3.8813e-06+0.00065916i,-0.00041268-1.0612e-05i,0.00016491-0.00062774i,0.00097731+0.00066498i,0.00101+0.001807i,0.00072974+0.001079i,3.4704e-05-9.7559e-05i,-0.00010821-0.00056041i,4.9963e-05-0.00020544i,0.00010911-0.000457i,0.00026786-0.00095363i,0.00019305-0.00063322i,0.00030755+0.00015125i,0.00011775+0.00040701i,-0.00014402+0.00034122i,-0.00018381+0.000601i
-0.0013687+0.00020586i,-0.0013113-1.6812e-05i,-0.0011142-0.0012794i,-0.00069553-0.001602i,7.1065e-05-0.00052468i,-0.00022192-0.00026116i,-0.00068241-0.0013515i,4.6699e-05-0.0017925i,4.2047e-05-0.00093898i,0.0002733-0.00093255i,0.00017558-0.0011699i,0.00036542-0.0002318i,0.00055525+8.0892e-05i,0.00019297-0.00032254i,7.7107e-05-0.00032305i,-0.00050055-5.9097e-05i,-0.00078453+0.00036175i,-0.00062881+0.00038907i,-0.00051682+0.00010409i,-0.00058377-7.297e-05i,-0.001065-0.00037243i,-0.00067731-0.00012152i,-9.0588e-05+0.00072773i
0.00057557+0.00036031i,0.00098816+0.00098424i,0.0015548+0.0012797i,0.0012982+0.0013076i,0.00072794+0.0010682i,0.0003265+0.00043918i,-0.00023963+0.00014408i,-0.00087011+0.00031614i,-0.00052895+0.00037814i,0.00019042+0.00041005i,0.00038376+0.00055915i,0.00017763+0.00076862i,0.00026773+0.00072782i,0.00038953+0.0011853i,-0.00021053+0.0010602i,3.9454e-05+0.00063331i,9.1126e-05+0.00036123i,-0.000818+0.00011652i,-0.00073942-0.00048524i,-0.00014844-0.00078943i,0.00052889-8.4528e-05i,0.00050707+0.00052154i,-0.00014284+0.00040267i
0.00072502-0.0012752i,0.0012087-0.001218i,0.00094175-0.0013319i,0.00014409-0.00018953i,-0.00084108+0.001157i,-0.00082687+0.00082275i,-0.00032018-0.0001928i,0.00010034-0.00081378i,0.00012254-0.00046054i,0.00015946+0.00031033i,1.5737e-05+0.00091317i,0.00039002+0.00035354i,0.00055153-0.00086115i,0.00021578-0.00086858i,0.00011644+0.00035398i,0.00067282+0.00087022i,0.0010462+0.00088772i,0.00044633+0.00093774i,5.9717e-05+0.0010001i,0.00032264+0.00071476i,-0.00032122+0.00040749i,-0.00021412-4.1626e-05i,-6.5445e-05-0.0010841i
-0.0010623-0.0011212i,-0.0018425-0.002061i,-0.0022681-0.0016906i,-0.0027162-0.0012099i,-0.0019267-0.0015912i,-3.5872e-05-0.0013698i,0.00040617-0.0005366i,0.0003581-0.00047347i,0.00029292-0.00039498i,5.0445e-05-2.7086e-05i,9.9822e-05+0.00053601i,0.00024499+0.00087619i,-1.3745e-05+0.00069028i,-5.3065e-05-0.00018885i,-7.7412e-05-0.00020579i,0.00058781+0.00039132i,0.0007853+0.00031909i,0.0003927+0.00023058i,0.00020138+0.00075374i,0.00026289+0.00073714i,0.00089198+0.00027803i,0.00046251+0.00025273i,8.8185e-05-0.00023043i
0.00010368-0.0004446i,0.00028704+0.00048416i,0.00063416+0.0003544i,0.0011943+0.00053124i,0.00057124+0.00026148i,3.3386e-05-0.00054755i,0.00028582-0.00060458i,0.0006174-0.00023408i,0.0011034-0.00020589i,0.00076761-0.00016142i,0.00066695-0.00051122i,0.00091685-0.00087481i,0.00065319+2.5512e-05i,-3.2822e-05+0.0011137i,-0.0005113+0.00068985i,-0.00087285+0.00056382i,-0.00055322+0.00088002i,-0.00022434+0.00039821i,0.00016104+1.0503e-05i,0.001301-0.00012228i,0.0012004+0.00038297i,0.00049878-0.0002489i,0.00012662-0.0012286i
-0.00014501+0.00025249i,-0.00046884+5.0454e-05i,-0.00045852-0.00012113i,0.00021164+0.00048139i,-0.00012686+0.0011512i,5.1595e-05+0.00034248i,0.00077615-0.00041628i,0.0001718-0.00016267i,0.00020912+0.00049077i,0.0013482-0.00024077i,0.0011828-0.00047898i,0.00066633-0.00058521i,0.00043579-0.00011455i,-0.00047008+0.00024015i,-0.00036457+0.00061583i,1.3906e-05+0.0011159i,-0.00033382+0.00078008i,-0.00046123+0.00039364i,-8.4795e-05-8.9604e-05i,0.00078013-0.00016713i,0.0010092+0.00052498i,0.00057789+0.00046985i,0.0010361-0.0003635i
-0.0016841-0.00021309i,-0.0014401-0.00082636i,-0.00092203+0.00047013i,-6.1568e-05+0.002004i,0.00092751+0.0017612i,0.0016454+0.00086183i,0.001079+0.00037579i,0.00043337-5.1442e-05i,0.00088655+2.5753e-05i,0.00041972+0.00030257i,-0.0002656+0.00023938i,6.9831e-05+0.00060044i,0.00061989+0.00048204i,0.0012555+0.00019236i,0.0008461-6.8082e-05i,7.9261e-05-0.00020316i,0.00013725+0.00051922i,0.00040035+0.0004969i,0.0004974-0.00019419i,0.00051944-0.00078435i,6.8012e-05-0.0016855i,-0.00020927-0.0010314i,1.7916e-05+0.0001631i
-0.00047119+0.0011165i,0.00022607+0.0014706i,0.00048358+0.00092923i,0.0010134+0.00095517i,0.0012339+0.00088994i,0.0011711+0.00030806i,-0.0001401+0.00016285i,-0.00074652+0.00049981i,0.00013587+0.0010891i,0.00033416+0.00097081i,0.00014379+0.00034316i,5.2258e-05-4.0655e-06i,0.00014998-0.00051585i,-7.227e-05-0.00026624i,-0.00013855+0.00063403i,0.00042529+0.00095194i,-0.00020433+0.00019307i,-0.00026229-0.00019125i,0.0002059+0.00017056i,-0.00023848+0.00013997i,2.2167e-05-0.00042469i,0.00060187-0.00012933i,0.00057031+0.00022924i
-0.00028659-0.00046694i,-0.0016722+0.00044638i,-0.0028748+0.00023145i,-0.0031762-0.00030251i,-0.0026919+1.227e-05i,-0.0014721+0.00046031i,-0.00022697-0.00014103i,0.00024979-0.00012737i,-0.00013058+0.00017068i,-1.6811e-05+0.0003204i,0.00076488+0.00031167i,0.00030547-5.236e-05i,9.6286e-05-0.00047018i,0.00019489-2.8067e-05i,-0.0002143+9.5132e-05i,0.00041876-5.1738e-05i,0.00079075+0.00040451i,0.00015823+0.00061396i,9.5904e-05+0.00010555i,0.00064923+0.00013474i,0.00091964+0.00022657i,0.00090612+0.00046225i,0.00048475+0.00048004i
0.0001671+0.00033948i,0.0012689+0.00027788i,0.0024154+0.00053947i,0.0025405+0.0008543i,0.0014525+0.00017198i,0.00088527-0.00051163i,0.0009517-0.00045639i,0.00039359-0.00077028i,-0.0001394-0.00065751i,0.00031459-0.00080052i,0.00034784-0.00092629i,0.00019861-9.6311e-05i,0.00041572+0.00062467i,-0.00017227-0.00014911i,-0.00069611-0.00049709i,-0.00024643-0.00082523i,-0.00020558-0.00077772i,-0.00085145-0.00036897i,-0.00052466-0.00056888i,5.401e-05-0.00060344i,0.00014399-0.00029083i,0.00020392+2.7062e-06i,0.00053614+0.00061222i
0.00044061+0.00037291i,-0.00024528+0.00040161i,0.00015691+0.00012503i,0.00047048-0.0010234i,0.00025438-0.0012454i,0.00016835-0.00023434i,-6.4261e-05-4.7501e-05i,-1.5913e-05-0.00045215i,0.0007011-0.0004149i,0.00043944-0.00044304i,-5.6498e-05-0.0004665i,-0.00021043+0.00033183i,-0.00078539+0.0010839i,-0.00093666+0.00055549i,-0.0002183-0.00022737i,0.00017996-8.3751e-05i,-2.6432e-05+0.00071079i,-0.00048241+0.0012321i,-0.0004332+0.0017817i,0.00056328+0.0011591i,0.00086315-0.00028631i,0.00034697-0.00029034i,0.00059297-0.00026517i
0.0021418-7.5156e-05i,0.0010513-0.00038597i,0.0009392-0.0015174i,4.1815e-06-0.0016299i,-0.0016207-0.00047554i,-0.0018403+8.9125e-05i,-0.0011016+0.00026461i,-0.00030953+0.00061015i,0.000754+0.00033139i,0.00089351-0.00043561i,4.9107e-05-0.00062278i,-0.00035125-6.1535e-05i,-0.00036307+0.00036152i,3.255e-05+0.00046986i,-0.00016782+0.00030658i,-0.00038758-0.0002344i,0.00026143-0.00055415i,0.00037424+0.00020469i,0.00029322+0.00083171i,0.00010097+0.00058975i,0.00022304+3.9665e-05i,0.00013765+5.8079e-05i,-0.00027481+0.000111i
0.0011342+0.00065678i,0.0011062-9.4194e-05i,0.0010214-0.0011438i,0.0020007-0.0018977i,0.0019526-0.0019187i,0.0010881-0.0021825i,0.00073531-0.0018672i,0.00047008-0.00093858i,0.00045794-0.00034004i,0.00064488-0.00014722i,0.00013618-0.00010903i,-0.00022271+0.00023816i,0.00021343+1.1121e-05i,0.00037121-0.00043037i,-0.00051948-0.00028909i,-0.00053769+8.0225e-06i,0.00039518+0.00050603i,0.00088769+0.00086561i,0.0010214+0.00024489i,0.0001754+5.2991e-05i,-0.00057338+0.00039256i,-0.00025646-0.00021641i,6.6299e-05-0.00085286i
-0.00013668+0.0013672i,0.00031522+0.0023251i,0.00055459+0.0024717i,0.00072651+0.0011811i,0.00033496-6.2385e-05i,-0.00052074-0.0013072i,-0.00066879-0.0016769i,-0.00055123-0.0010025i,-0.00024567-0.000598i,0.00036737-0.00027971i,0.00037842-0.00056619i,-0.00071464-0.00084321i,-0.00076547-0.00099548i,-0.00041935-0.0004064i,-0.00080176+0.00034088i,-0.0005547-3.5383e-05i,-5.0411e-05-0.00043299i,-0.00028655-0.00052028i,-0.00049153-0.00071913i,0.00011687-0.00042146i,0.00026229+5.269e-05i,2.6285e-05-8.7709e-05i,0.00043241-0.00032378i
-0.0011438+0.00092605i,-0.0018919+0.0014092i,-0.0018646+0.0012831i,-0.0019408+0.00080654i,-0.0011396+0.00080863i,-0.00017966+0.00042088i,-3.2183e-05-0.00019743i,0.00032854-0.00010663i,0.00047658-0.00028932i,0.00038744-0.0004588i,0.00051317-0.00070566i,0.00019339-0.00026098i,-0.0001667+0.00036859i,-0.00033256+0.00056867i,-0.00027924+0.0007638i,-0.00011873+0.00018215i,4.1327e-05-0.00028853i,0.00083334-0.00017166i,0.0011682-5.498e-05i,0.00075828-0.00026579i,0.00058809-0.00058997i,0.00041701-0.00061533i,0.00035215-0.00042062i
-0.00032163-2.372e-05i,2.4997e-05-0.00063318i,0.00096814-0.00023287i,0.00072801-0.00016527i,-0.00011193-0.0002787i,-0.0005493-0.00080796i,-0.0002443-0.00065856i,-4.066e-05+0.00028442i,-9.1039e-05+0.00060029i,4.4704e-05+0.00037337i,0.0004895-0.00023874i,0.0001483-0.0003081i,-0.0001991-4.4466e-05i,-0.000134-7.5033e-05i,-0.00026717+0.00019343i,-0.0004951+0.00014259i,-0.00048119-0.00018334i,0.00026765+0.00047796i,0.00080823+0.00079205i,0.00016552+0.00021988i,-0.00033185-0.00020084i,0.00020905+0.00041471i,0.00030229+0.00011028i
0.00069632+0.0011157i,0.0010325+0.00098101i,0.001592+0.0011478i,0.00089557+0.00037687i,-0.00015911-0.00017932i,-0.00050549+0.00052649i,-0.00047202+0.00071014i,-0.00017519+0.00023708i,0.000238-0.00013824i,0.00032856+0.00035841i,0.00041484+0.0010136i,7.2921e-05+0.00036795i,-0.00030524-0.00038706i,-4.6453e-05+0.00048838i,-0.00035578+0.00086787i,-0.00099698+0.00042103i,-0.00069539+0.00034294i,0.00031785-4.1601e-05i,0.00025735+3.099e-06i,-0.00014295+0.00020276i,0.00053349+0.0002992i,0.00058619+0.00042917i,-0.00015655+0.0001883i
0.00074927+0.00076521i,0.0010838+2.3086e-05i,0.00097104-0.00055479i,0.00034808-0.00064886i,0.00070776-0.00037122i,0.0011502-0.001176i,0.00032169-0.0015211i,0.00070229-0.00058196i,0.0012942+0.00027777i,0.0017612+0.00013794i,0.0017319+9.0489e-05i,0.00086051-3.3145e-05i,0.00016602-0.00069005i,-0.00027981-0.00051426i,1.2806e-05+0.0002078i,0.00037441+0.00035479i,-9.0735e-05-0.00049632i,-0.00025664-0.00094499i,-0.00040794-0.00065251i,-0.00048706+0.00012546i,-0.00013511+0.00033033i,-8.8867e-05+0.0004381i,-0.00020528+0.00068487i
-0.00078207-0.0013494i,-0.001465-0.00041315i,-0.0011833+0.00031798i,-0.00033555+0.0007451i,-0.0004874+0.00045695i,-0.00050159+9.3819e-05i,-5.3558e-05-0.00028025i,-0.00015503-0.00022971i,-0.00027689-0.00047224i,-7.2927e-05+0.00024905i,0.00021189+0.00064477i,0.00038758-0.00054054i,0.00032229-0.00095184i,0.00025815-0.00024584i,-0.00022956+0.00039467i,-1.2542e-05+0.00088889i,-9.9283e-05+0.0010435i,-8.6511e-05+0.00014987i,0.00012989+0.00013974i,-0.00023421+0.00069174i,0.00036334+0.00044732i,0.00065882+6.471e-05i,7.0161e-05+0.00018205i
-0.0011415-0.00034136i,-0.00076652+0.00029832i,-0.00034201+0.0009448i,8.1067e-05+0.001286i,-0.0002504+0.0011827i,-0.00025686+0.00011997i,0.00030844+0.00011839i,0.00069671+0.00062386i,0.00072768+1.6764e-05i,0.001146-6.6094e-05i,0.0012218+0.00060264i,0.00085733+0.00038279i,0.00029884-0.00033155i,-0.00015645-0.00083142i,0.00022404-0.0010066i,0.00022517-0.00055103i,0.00032432-0.00050603i,0.00036505-0.00043383i,0.00026857+0.00040899i,0.00071371+0.00071931i,0.0004094+0.00059954i,0.00015605+0.00026653i,0.00026115-0.00033345i
0.00088091-0.0020654i,-0.00039911-0.00025426i,-0.00057833+0.00033709i,-0.0012632+0.00021145i,-0.0016828-9.6313e-06i,-0.0014564-0.00018908i,-0.001232-0.00010145i,-0.00020737-0.00041199i,0.00065779-0.0010456i,0.00098205-0.00074381i,0.0016182+0.00020233i,0.0010944+0.00057234i,-0.00017864+0.0010133i,-0.00026244+0.0010302i,0.00030842+0.0001025i,0.00057776+3.8173e-05i,0.0001124+0.00051157i,-0.00039216-4.6058e-05i,-1.0133e-05-0.00067739i,3.8695e-06-0.00084189i,-0.00024505-0.00039227i,0.00044653+0.00026399i,0.0010214-2.9558e-05i
0.00041696+0.0016912i,0.00095469+0.0018826i,0.0023581+0.0020931i,0.002053+0.0012951i,0.0013072+2.3487e-05i,0.00087536-0.00047017i,-0.00010639+0.00019788i,-0.00029671+0.00050219i,0.0008928+0.00066515i,0.0018041-0.00010817i,0.0012357-0.00065828i,0.00027268-0.0003455i,-2.5613e-05+6.0782e-05i,-0.0003779+0.00075989i,-0.00094995+0.00083917i,-0.00062033+0.00040899i,0.00058136-0.00027744i,0.0006262-0.00023255i,-9.6056e-05-0.00028112i,-0.00011941+0.0002517i,0.00055875+0.00055439i,0.00084366-0.00082662i,3.7679e-05-0.0012073i
-0.0013589+0.0013333i,-0.00034187+0.0012096i,0.00067783+0.0021601i,0.0014513+0.0017009i,0.0011641+0.00055101i,0.00081926+0.0005271i,0.0012038+0.00016939i,0.0013739-0.00039267i,0.00034778+0.00027451i,4.2285e-05+0.00027682i,0.00010483-0.00036541i,-4.8113e-05-0.00043704i,-0.00030521+0.00019049i,-0.0010174-9.3461e-05i,-0.0008187-0.00035902i,-4.4848e-05+0.00017981i,-0.000252+0.00089219i,-0.00077658+0.0010238i,-0.0003924+0.00048093i,0.00082137+0.00046196i,0.0012386+0.00026665i,0.00065656-0.00023254i,-0.00010821-9.6797e-05i
0.00024813-0.0010014i,0.00075796-0.0007048i,0.00068426-0.00051214i,0.00026127+0.00037187i,-0.00044029+0.00037539i,-0.0012544-0.00045313i,-0.0013598-0.00058844i,-0.00081242-0.00031446i,-0.00030562-1.4214e-05i,0.00053758+0.00021473i,0.00068776+1.7684e-05i,5.1148e-05-0.00052239i,-0.00032467+3.9435e-05i,-0.0003606+0.00025563i,0.00028101+1.8078e-05i,0.00063971+0.00016142i,0.00032482-8.7552e-05i,-0.00042207-5.4303e-05i,0.00012254-0.00021534i,0.00073811-0.00060685i,0.00054682-0.00039161i,0.00021594+0.00027i,-0.00034059+0.00067122i
