0.0014465-0.00171i,7.8614e-05-0.0010173i,-0.0015453-0.00079902i,-0.0022033-0.00029708i,-0.0017713+0.00028323i,-0.00042911+0.0015421i,0.00037816+0.0029796i,0.00021284+0.0024765i,0.00070867+0.00078489i,0.00093623+8.3115e-05i,-4.3167e-05+4.2909e-05i,-0.00057092+0.00019712i,0.00015053+0.00031024i,0.00050738-0.00029837i,0.00027504-0.00074562i,-0.00010179-0.00034399i,-0.00068466-2.3944e-05i,-0.00012276+0.00015796i,0.0003935+0.00094803i,0.00018543+0.0011437i,0.00074929+0.00039498i,0.001093+8.9938e-06i,0.00037391+0.00038996i
-0.0017641-0.0010947i,-0.001163-0.0011192i,-0.0022036+0.00024132i,-0.0019025+0.0030269i,-0.00034839+0.0043594i,0.00074781+0.0032002i,0.0023463+0.0015309i,0.0030468+3.8186e-05i,0.0029282-0.00074949i,0.0020356-0.00036504i,0.0011243+9.6214e-05i,0.0003885-0.00035003i,-2.8666e-05-0.001103i,-0.00014992-0.00077971i,-0.00048097-5.1018e-05i,-0.00099484-5.1079e-05i,-0.0002532-0.00025933i,0.00058585-0.00058191i,0.00093986-0.00082786i,0.0006957-0.00026803i,0.00037225+0.00059674i,0.00041754+0.0010113i,0.0006424+0.00055863i
0.00020631+0.00078421i,0.0011175-0.00043646i,0.0010458-0.0010352i,0.00076313-0.0015347i,0.0015276-0.0017633i,0.0021506-0.0014976i,0.0026658-0.00195i,0.0026949-0.0023319i,0.0022036-0.0022938i,0.0015746-0.002269i,0.00085164-0.0015565i,6.4749e-05-0.00068995i,-1.1451e-06-0.00032843i,-0.00031728+0.00012244i,-0.00056976+0.00038538i,0.00026628+0.00030737i,0.00040679-3.2476e-05i,0.00011607+0.00011916i,-5.617e-05+0.00013189i,0.00049343-0.00044312i,0.00066442-0.0011106i,0.00050985-0.0011268i,0.00044007-0.000615i
2.6596e-05-0.00040627i,-0.0004009-0.0007365i,-0.0011897-0.0012382i,-0.0020665-0.0010835i,-0.0017785-0.0006852i,-0.00056413-0.00098737i,-0.00047794-0.0023745i,-0.00049733-0.0031115i,-0.00073305-0.0025895i,-0.0010192-0.0012655i,-0.00051344-0.00067716i,-9.0382e-05-0.00051732i,2.7377e-06+0.00013615i,-3.7579e-05+0.00060643i,0.00024928+0.00057184i,0.00077172+0.0003076i,0.0010872+3.9243e-05i,0.00018178-0.00017315i,-0.00062054-4.1582e-05i,-0.00035608+0.00022665i,0.00035317-0.00031761i,0.0012728-0.00052463i,0.00095236+0.00043378i
-0.00032962+0.0010513i,0.00019172+0.00012378i,0.0011612-0.00021093i,0.001999-4.7443e-05i,0.0012578-3.8937e-05i,-0.00058422-0.00074506i,-0.0023087-0.0011171i,-0.0027874-0.00048887i,-0.0019172+0.00020807i,-0.00047104+5.3372e-05i,0.00054737-0.00013346i,0.00040315-3.8866e-05i,-0.00024843-0.00043373i,-0.00065739+7.1702e-05i,-0.00025269+0.00055009i,0.00070863-6.9876e-05i,0.00044181-0.0002077i,-0.00027355-0.00039139i,-0.00059256-0.00064736i,-0.00045617-0.00032821i,0.00051833+0.00045267i,0.00081748-9.6564e-06i,3.6801e-05-0.00044591i
-0.0010858+0.00033059i,-0.0014162-0.0016846i,-0.0012201-0.0026537i,-0.0010187-0.0023859i,-0.0010543-0.0012963i,-0.0013606+0.00029983i,-0.00081719+0.0014791i,-9.6225e-05+0.0018289i,0.00093344+0.0018164i,0.001792+0.001091i,0.0019696-0.00016683i,0.0010355-0.0010258i,-0.00019807-0.00086266i,-0.00082275-2.7245e-06i,-0.00084046+0.00048765i,-0.001149-0.00026618i,-0.00095692-0.00070738i,-0.00060655-0.00020258i,-0.00085629+0.00074829i,-0.000279+0.00091905i,0.00083277+0.00042163i,0.001371-0.00013594i,0.00081436-0.00077669i
-0.00020372-0.00027883i,-0.00028517-0.0008841i,-0.0014337-0.0011007i,-0.0025204+0.00052721i,-0.0021122+0.0018746i,-0.00067752+0.0026127i,0.0011306+0.0020022i,0.0021422+0.00062025i,0.0027491-0.00060822i,0.0023934-0.001328i,0.00083596-0.00097102i,-0.00020887-0.00031037i,0.00014554-0.00047626i,0.00034506-0.00055853i,0.00016288-0.00020806i,0.00064601+3.8139e-05i,0.00091-0.00066799i,0.00089012-0.00087117i,0.00098496+0.00062705i,0.00066056+0.0011395i,0.00068306+0.00020664i,0.00075535-0.00054899i,8.4551e-05-0.00070085i
0.00057757+0.00010651i,0.00078239-0.00021352i,0.00091537-0.00020007i,0.0011432+0.00068374i,0.0014776+0.0017925i,0.0026896+0.0016177i,0.0034319+0.00066873i,0.0027482-0.00094717i,0.002484-0.0016445i,0.0021194-0.00097975i,0.0014838-0.00012952i,0.00064545+0.00067722i,-0.00068496+0.00083308i,-0.00071502+0.00081045i,3.9786e-06+0.0006329i,-7.2934e-05+0.00014798i,-0.00044895-0.00030925i,-0.00013768-0.00069436i,-0.00032944-0.0011942i,-0.0011454-0.0010705i,-0.00085547-7.8328e-05i,8.5617e-05-0.00050023i,0.00058614-0.0014206i
0.00030597-0.0011387i,0.0011356-0.002553i,0.0004917-0.0025261i,-0.0010367-0.0013151i,-0.00037687-0.0014269i,0.0010854-0.0019056i,0.0010292-0.0023101i,0.00033945-0.0029682i,8.2979e-06-0.0025954i,-0.00046355-0.0018357i,-5.9488e-05-0.00096699i,8.8871e-05+0.00025859i,0.00054132-0.00010555i,0.0010163-0.00069595i,0.0011739-7.9227e-05i,0.0016961+0.00032151i,0.0011395-5.2197e-05i,0.00055179-0.00039874i,5.8402e-05-0.00020681i,-0.00018654+0.00035917i,0.00011706+0.00067349i,0.00047071+6.9642e-05i,0.00041181-0.0002871i
-0.0018404-0.00075356i,-0.0026188-0.00070035i,-0.0028421-0.00092892i,-0.002431-0.0011155i,-0.002502-0.00059703i,-0.0022499-0.0009106i,-0.0014785-0.0027263i,-0.0015682-0.0031376i,-0.0012202-0.0014555i,9.4069e-05-0.00035163i,0.0010738-0.00088323i,0.0010138-0.0014235i,-2.9214e-05-0.0018104i,-0.00013632-0.0011413i,0.00048206-0.0003798i,4.6295e-05-0.0010453i,-0.00013235-0.0013998i,0.00034655-0.0010725i,0.00032581-0.00081357i,0.00022839-0.00068102i,-3.5422e-05-0.00031268i,-0.00020263-0.00021861i,-0.00041857-0.0004908i
0.00046411-0.00084198i,0.00036047-0.0013159i,0.00025264-0.0014606i,-0.00067084-0.001978i,-0.00080748-0.0017246i,-0.0011763-0.00091319i,-0.0019318-0.00030628i,-0.0012363+0.00024771i,-0.00026396+0.00094461i,0.00015663+0.0011712i,0.00077654+2.9021e-05i,0.00081821-0.0017159i,0.0001893-0.001068i,-2.5126e-05+6.1151e-05i,8.5587e-05-0.00024605i,-0.00015061-0.00053453i,-0.00074982-0.00034478i,-0.00097979+0.00046404i,-0.00073146+0.0010545i,-0.00028466+0.00039076i,0.00011354-0.0004987i,-0.00022963-0.00063815i,-0.00038722-0.0011093i
0.00030974+0.00059484i,0.00073454+0.00021765i,0.0002424-0.00035672i,-0.00062273-0.00015835i,-0.0010353+0.0011372i,-0.00050376+0.0023299i,0.00023614+0.002701i,0.00076659+0.0022724i,0.0017914+0.0014392i,0.0018833+0.00075296i,0.00086135-2.8901e-05i,9.1357e-05-0.00015609i,0.00043024+0.0003012i,0.00044103+0.00016645i,-0.00060629-0.00014088i,-0.00034781+0.00068468i,0.00012421+0.00095847i,0.00025906-5.0246e-05i,0.00050471-0.0003867i,0.0005612+0.00037166i,0.0002832+0.00075615i,-5.9493e-05+0.00036121i,5.9521e-05-0.00020868i
-0.00057245-0.0022944i,-0.0013804-0.0023291i,-0.0020954-0.0026861i,-0.0031154-0.0021096i,-0.0023435-0.00028057i,0.00013309+0.0011738i,0.0019505+0.00096004i,0.0024624+0.00021311i,0.0021604-0.00015613i,0.0017212-0.00087517i,0.00086533-0.001075i,-0.00012373-0.0010907i,0.00012091-0.0011989i,0.00052056-0.00055626i,0.0005368+0.00024671i,0.00060629+0.00063891i,0.00064821+0.00092273i,0.00046947+0.00039223i,-8.4485e-05-0.00028792i,-0.00013401+0.00010439i,0.00054141+0.00099321i,0.0002465+0.00087387i,-0.00038378+0.00032956i
-0.00034521+0.0013605i,-0.0003023+8.6976e-05i,-0.0014344-0.00033026i,-0.0012965+1.5736e-05i,0.001319+0.0006179i,0.0029306-0.0004639i,0.0030851-0.0017189i,0.0028977-0.0026401i,0.0013712-0.0028251i,-0.00022025-0.0024618i,-0.00037053-0.002155i,-3.7054e-05-0.00041945i,0.00012082+0.00063011i,9.553e-05+0.00025485i,1.7861e-05+0.00011794i,0.00041191+3.3697e-05i,0.00030114+4.9132e-05i,0.00037069+0.0013323i,0.00090415+0.0015301i,2.1e-05+0.00037743i,-0.00031767+0.00010521i,0.00018335+8.4973e-05i,-0.00050657+0.00064639i
0.00010663-0.00081556i,0.00017023-0.0014438i,-3.6983e-05-0.0021736i,-0.001053-0.0017571i,-0.0012884-0.0012485i,-0.00040764-0.0021448i,-0.00010526-0.0035618i,-0.00038515-0.003667i,-0.00092973-0.0026569i,-0.0010174-0.0015415i,-0.00037113-0.0002125i,-0.00061652+0.00053823i,-0.00094608+0.00062572i,-0.00048487+0.00064963i,-0.00018446+0.00027843i,0.00011644+0.00031385i,0.00056779+0.00018264i,0.00087251-0.00045109i,0.00056905-0.00037487i,-0.00015501-0.00024107i,-5.3169e-05-0.00030397i,0.00045483-9.8738e-05i,0.00056381-0.00040581i
0.00050509-0.0008972i,0.00012373-0.0011474i,-0.00021204-0.00097546i,-0.00097523-0.00068955i,-0.0013787-0.00093285i,-0.0016647-0.0010722i,-0.0026825-0.0011086i,-0.0026498-0.00040722i,-0.00088291-5.2938e-05i,0.00040238+0.00026228i,0.00075087-5.4029e-05i,0.00071639-0.00083072i,0.00037794-0.00034708i,0.0003781-0.00020246i,0.00086893-0.00054647i,0.0006034-0.00036258i,8.2201e-05+1.2775e-05i,0.00040338+0.00026052i,0.00060144-0.00060852i,0.00067819-0.00082835i,0.00020369-0.00087514i,-0.00080822-0.0010339i,-0.00074389-0.00092714i
-0.00023987+0.00079877i,-0.00044428+0.00095341i,-0.00037671+0.0010203i,-0.00029137+0.00038301i,4.3589e-05+0.0012268i,6.7389e-05+0.0013852i,-0.00031425+0.0011766i,-0.00056929+0.0012589i,-4.2289e-05+0.0018357i,0.00092921+0.0020003i,0.00065804+0.00054096i,-0.00032432-0.00051519i,-0.00042962-0.00052743i,-0.00029845+4.1386e-05i,-0.00062528+0.00040768i,-0.0013255-0.00025402i,-0.0012298-0.00076679i,-0.00049105+0.00021379i,-0.0011056+0.0014153i,-0.00078873+0.0010711i,0.00026765+0.00046391i,0.00025157-7.7213e-05i,0.00040273-0.00041278i
-0.00024436-0.00076175i,-0.00050495-0.00062109i,-0.0015591-0.00033678i,-0.0021015+0.00044619i,-0.0014761+0.0015182i,-0.00028196+0.0015889i,0.0014212+0.0015023i,0.0025345+0.0012959i,0.0026469+0.00035841i,0.0019004+5.9551e-05i,0.00097596+0.0010863i,-8.1679e-05+0.00063934i,-0.0010051-0.0008861i,-0.0011507-0.00080603i,-0.00078264-0.00022924i,-0.00090732+0.00047849i,-0.00031044+0.00068841i,0.00042484+0.00072444i,-9.9909e-05+0.0011593i,-0.00028699+0.0011872i,0.00046675+0.00067863i,0.00070625+0.00024731i,0.00076901-0.00010473i
0.0014135+9.7678e-05i,0.00013684-0.0005313i,0.00024812-0.00032419i,-0.00048868+0.00062978i,-0.00010477+0.0011853i,0.0019041+0.001047i,0.0018916+0.00015953i,0.0014862-0.0010151i,0.0017572-0.0017573i,0.0013938-0.0014634i,0.00067139-0.00050604i,0.00025299-0.00028175i,-0.00031025-0.00026624i,-0.00055695+9.5136e-05i,-0.00044215+0.00029082i,0.00016245+8.0134e-05i,0.00071526-0.00020823i,0.00041273-6.2682e-05i,0.00011815+0.00010192i,-0.00012248+0.00073766i,0.00039412+0.00050638i,0.00035431-3.0284e-05i,-0.00025233+0.00014444i
-0.0017282-0.00012804i,-0.0014412-0.00037174i,-0.0010892-0.00081317i,-0.00066074-0.00070552i,-0.000419+2.6375e-05i,0.00049196-4.5956e-05i,0.0013421-0.0014138i,0.0010709-0.0024428i,0.0009098-0.0015853i,0.0008161-0.00045587i,0.00043377-0.0001289i,0.00015963-0.0003684i,0.00037859-0.00076281i,0.00046913-0.00054711i,2.7959e-05-0.00027365i,9.6347e-05+0.00019699i,0.00057906+0.00016509i,0.00085461-0.00013692i,0.0003961+0.00030692i,-0.00045414+0.0010607i,-0.00029616+0.001041i,-0.00019917-0.00014878i,-0.00024333-0.00040938i
-0.0010025-0.00080883i,-4.9931e-05-0.00033803i,-0.00028981-0.00026131i,-0.0013085-0.0006904i,-0.0011682-0.00044729i,-0.00094415-0.0013259i,-0.001865-0.0025499i,-0.0024354-0.0017351i,-0.002022+4.3442e-05i,-0.0013195+0.00016853i,-0.00035394-0.00036903i,0.00038721-0.00069377i,0.00039151-0.00048201i,-0.00012758-8.2419e-05i,-0.00020721-0.00051265i,0.00059807+3.57e-05i,0.00097849+0.00054179i,0.00070906+0.00013387i,0.00069214-0.00015231i,0.00064838+9.787e-05i,0.00050416+0.00018327i,-0.00036465-1.6094e-07i,-0.00071664-0.00081206i
0.00047763+0.0020088i,0.00090059+0.00039966i,-7.6744e-05-0.001875i,-0.00021304-0.0019722i,0.00042441-0.00064257i,-0.00047035-0.00044183i,-0.0017063-0.00080542i,-0.0016101-0.00044586i,-0.0005235-0.00017678i,0.0011339-0.00032161i,0.0015544-0.00013377i,0.00063285-0.00028263i,-0.00014424-0.0015314i,-0.00036927-0.0012601i,0.000164-0.00022741i,0.00074472+0.00012847i,0.00014108+0.00027398i,-0.00033752+0.00061243i,-0.00077172+0.0007753i,-0.00038338+0.00097832i,-0.00012647+0.00042484i,-0.00070173-0.00030883i,-0.00099937-0.00018587i
-0.0015416+0.00017666i,-0.0018424-0.00060346i,-0.0017877+9.1773e-05i,-0.00064976+0.0012013i,0.00078485+0.0019496i,0.00084171+0.0023847i,9.5785e-05+0.0026438i,0.00016874+0.0020865i,0.00067172+0.0017258i,0.00095422+0.00087417i,0.0010502+6.5459e-05i,0.0001331-0.0001378i,-0.0011533+0.00048924i,-0.00096543-0.00010873i,0.00014818+0.00011601i,0.00036314+0.00013124i,-0.00013133-0.00060497i,-0.00070978-0.00020686i,-0.0005855+0.00063096i,-0.00012605+0.0012879i,0.00023892+0.00085875i,0.00046746+0.0005499i,0.00049926+0.00059779i
