0.00018637+0.00067838i,-0.0004396+0.0001256i,-0.00016208-9.8088e-05i,0.00072193+0.00030401i,0.00090386+0.00033164i,0.00022067-0.00040495i,-0.00030236-0.0010576i,-0.00071913-0.00082791i,-0.0014825-0.00046006i,-0.0017261-0.00087209i,-0.00059921-0.0007453i,0.00036295+4.1995e-06i,3.7868e-05+4.5049e-05i,-0.00033267-0.00059061i,-4.7793e-05-0.00068i,-0.00026528-3.4014e-05i,-0.00075586+0.00020809i,-0.00067071+7.7551e-05i,-0.00025767-2.2764e-05i,-0.00028221+0.00036657i,-0.00059355+0.00077547i,-0.00092985-0.00050988i,-0.00044208-0.00057429i
-0.00090387-0.00094644i,-0.00061111-0.0016453i,-0.00051758-0.00065871i,-0.00029714+0.00057466i,0.00047155+0.0016615i,0.00069178+0.0014113i,0.00079966+0.00021876i,0.00048096-0.0011188i,-5.3998e-05-0.0015689i,-0.00064516-0.00065743i,-0.00044455-0.00037445i,0.0003756-0.00013724i,0.00065202-0.00058477i,0.00033693-0.00074008i,-9.0408e-05-7.5896e-05i,-0.00062964-0.00058268i,-0.00043372-0.00082782i,-9.2653e-05-0.00069706i,1.3962e-05-0.00088723i,-0.00026929-0.00089395i,-0.00051004-0.00025772i,7.6256e-05+0.00027518i,-7.6734e-05+0.00034537i
0.00047641-0.00071623i,0.00080969-0.00010013i,0.0012848-0.00032375i,0.00048779+2.2126e-05i,-0.000392+0.00074672i,-0.00062409+0.0010016i,-0.00080902+0.00054023i,-0.001093-0.0008999i,-0.00069423-0.0011427i,-0.00030285-0.00024747i,-0.00049534-0.00044657i,0.00029061-0.00079875i,0.00091336+9.9318e-05i,0.00076207+0.00046709i,0.00062859-0.00048847i,0.00082185-0.0015881i,0.00083158-0.0012977i,5.9797e-05-0.00045975i,-0.00054013+0.00010498i,-0.00032929-0.00040751i,-9.8925e-05+2.8089e-05i,-0.00016069+0.0009739i,-0.00052015+0.00027783i
0.00038822-0.00031188i,-0.00063408-0.00070159i,-0.0007356-0.0011253i,0.00018336-0.00088103i,0.0015664+0.00037808i,0.002162+0.00059912i,0.0016998-0.00010001i,9.716e-05-0.00020584i,-0.00094636-0.00033984i,-0.0011783-0.00040376i,-0.0008202-0.00016396i,-0.00029035-0.00047683i,2.522e-05-0.00057401i,0.00049122-5.4848e-05i,0.0009343-4.0305e-06i,0.0012287+1.9287e-05i,0.00039446+0.00014094i,-0.00047933+0.00011283i,-0.00051089+0.00010892i,-6.6298e-05-0.0002172i,7.9416e-05-0.00072371i,0.00027763-0.00099029i,0.00073877-0.0010717i
0.00062023+0.0013696i,0.00022701+0.0014444i,6.9095e-05+0.00071464i,0.00027538+0.00023427i,0.00040966+0.00059665i,0.00026177+0.00030076i,-0.00022338-0.00034911i,-0.0001014-0.00057628i,4.575e-05+1.2139e-05i,-0.00020392+0.00065914i,-0.00028006+0.00095942i,-6.0037e-05+0.0005849i,0.00055907-0.00033299i,0.00088814+1.4539e-05i,0.00076251-0.00034128i,0.00075145-0.00086589i,0.00025048-1.4468e-06i,6.4883e-06+0.00045071i,0.00055614+0.00022026i,0.0007011+0.0001359i,0.00014293+0.00039833i,0.00028958+0.00057555i,0.00033138+0.00054359i
-0.0004079+0.00023138i,-0.00080688-0.00027381i,-0.00045705-2.6051e-05i,1.5641e-05+0.00033462i,0.0013049+0.0011928i,0.0015356+0.0010977i,8.0854e-05-0.00033229i,-0.00080293-0.00080347i,-0.00021017-0.00027877i,0.00040262+0.00023895i,0.00019289+0.00046197i,8.7891e-05+0.00030618i,0.00019944-1.0966e-05i,0.00036441-1.4539e-05i,0.00024573+0.00020318i,8.7757e-05-0.00037043i,-5.3739e-05-0.00016813i,-0.00018395+0.00074188i,-0.00031643+0.00030771i,-0.00048614+0.0003762i,-0.00025997+0.00068469i,0.00055492+0.00024888i,0.00069743-0.00011976i
0.00083091+0.00069789i,0.00047752+0.0012271i,0.00057826+0.00026127i,0.0004972-0.00029761i,-6.1829e-05-0.00025001i,-0.00016949-0.00035003i,-0.00041425-0.00042819i,-0.00072675-0.00051801i,-0.00098208-0.00048267i,-0.00044091-0.00061459i,7.9988e-05-0.00025894i,-0.00046077-0.00017018i,-0.00091308+7.8896e-05i,-0.00043213+0.00019175i,5.3646e-05-0.00034497i,0.00066143-0.00018436i,0.00055615-3.7212e-05i,9.8909e-05-0.00046659i,7.8596e-05-0.00012493i,-0.00010496+0.00075357i,-7.9246e-05+0.00054977i,0.00015883+1.1301e-05i,0.00038039+1.5418e-06i
-8.4529e-05+0.0013961i,-0.00025592+0.0018985i,0.00046697+0.0016248i,0.0012786+0.00094474i,0.0020858+0.0007347i,0.0020475+0.00049535i,0.001434+1.2916e-05i,0.00048339-0.00075925i,-2.7676e-05-0.0013083i,0.00014292-0.0011696i,0.00019425-0.000655i,0.00016062-0.00037289i,0.00026555-0.00080104i,0.00042967-0.00068066i,0.00090349-0.00021891i,0.0011376+5.624e-05i,0.0012043-0.00037321i,0.00099416-0.00055662i,-0.00020216+0.00017703i,-0.00052568+0.00044821i,-0.00031696+0.00084535i,-0.00033414+0.001509i,0.0001663+0.00096916i
-0.0004847+0.00077494i,-0.001506-0.00023989i,-0.00060092+0.00046187i,0.0004666+0.001085i,0.001289+0.0008893i,0.0016543+0.00023037i,0.0012203-9.4175e-05i,-0.00061374-0.00062642i,-0.001747-0.0012103i,-0.0010059-0.0014465i,0.0002569-0.0012494i,0.00048516-0.0003306i,0.00012163+0.00037568i,0.00027969+0.00029185i,5.5924e-05+0.00028451i,-0.00082925+0.00020841i,-0.00061717-0.00019417i,-6.4415e-05-6.5914e-05i,-0.00076406+0.00051515i,-0.0013302+0.00067007i,-0.00086505+0.00028742i,-0.00012957-8.8955e-06i,-0.00026367-0.00015511i
-0.00075133+0.0005144i,-0.00026736+3.5585e-05i,0.00068119+0.00012982i,0.0014657+0.00012903i,0.0019632-0.00010279i,0.0021917-0.00070642i,0.0011266-0.001208i,-0.00037337-0.0012589i,-0.00028519-0.00071832i,4.1799e-05+3.1047e-05i,5.7856e-06+0.00065347i,0.00014911+0.0007452i,0.00071378+8.2389e-05i,2.8812e-05-2.9176e-05i,-0.0011258-0.00027236i,-0.00033176-0.00028001i,3.726e-05+7.6959e-05i,-0.00011409-0.00028034i,0.0003014-0.00016743i,-0.00056887+0.00043822i,-0.00073166+0.00070943i,-0.00062788+0.0007883i,-0.0011936+0.00052782i
