-0.001926+0.00018019i,-0.0011477-0.00026582i,-0.0018516+0.00064085i,-0.0019465+0.0014999i,-0.0019454+0.0020808i,-0.0016022+0.002289i,-0.0010262+0.0019605i,-0.00057014+0.0020216i,0.00040283+0.001386i,0.00094472+0.00014561i,0.0005396-0.00021091i,0.00013683-0.0013368i,-1.1316e-05-0.0021696i,-0.0004593-0.0016264i,-0.00052773-0.0007206i,2.3124e-05+0.00042598i,0.00016858+0.00083235i,0.00025669-0.000123i,0.00028128-0.0010881i,0.00010195-0.00037386i,-0.00010114+0.00023369i,-0.00029895-0.00019429i,-0.0007806-2.4428e-05i
0.00018283+0.0013652i,0.0013926+0.0010219i,0.0014556+0.0001394i,0.00041333-0.00025691i,-0.0001602-0.0003746i,0.00046793-0.00084535i,0.00017973-0.00047383i,-0.00010206+0.00038272i,0.0001861+0.0004356i,0.00040982+0.00067777i,-0.0003075+0.00042517i,-0.0009175+1.4473e-05i,5.8037e-05+7.6501e-05i,0.00099858+0.00021124i,0.00051171+6.7789e-05i,0.00012061-0.00035492i,0.00013552-0.00050912i,-0.00052031-0.00018317i,-0.00113+6.6945e-05i,-0.00070655-0.00062618i,7.6854e-05-0.00031693i,1.384e-05+0.0002351i,-6.9603e-05+0.00016517i
0.00035751-0.0007286i,0.00091172-0.00062627i,0.00076063-0.00077549i,0.00076746-0.00044989i,0.0005487+5.4289e-05i,0.00015076+0.00039852i,0.00038746+0.00015432i,0.00032257-0.00089201i,0.00057522-0.0011222i,0.00087147-0.00062385i,0.00040518+8.5019e-05i,9.7332e-05+0.00045829i,0.00049097+9.0683e-05i,0.00036454-0.00024896i,0.00046193-0.000315i,0.00075996+0.000459i,0.00043658+0.00041349i,0.00034934-0.00095153i,0.0002631-0.0013052i,-0.00056959-0.00067923i,-0.00052521-0.00047946i,8.9272e-05-0.00052015i,0.00034562-0.0001552i
-6.4741e-05-0.00035857i,0.0003683-0.00060766i,9.4939e-05-0.0005644i,-0.00047967-0.00048929i,7.5129e-05-0.000271i,0.00056956-0.00011623i,0.00061206-0.00040346i,0.00060376-0.00012282i,-9.5627e-05-0.00037873i,-4.484e-05-0.00056189i,0.00036629+6.2796e-05i,0.00068883+0.00020097i,0.00083897-0.0005576i,0.00074902-0.00055037i,0.00015313-6.6934e-05i,-0.00028479+2.1056e-05i,0.00011687-1.8897e-05i,0.00066543+0.00056796i,-8.5086e-05+0.00069318i,-0.0010355-2.7087e-05i,-0.00055431-0.00078492i,0.00017409-0.00040187i,0.00019899+0.00016755i
-5.7462e-05-0.00099244i,-0.0016366-0.00053051i,-0.0029062+0.00016979i,-0.0026177+0.00084941i,-0.0015154+0.00041821i,-0.001326+0.00016692i,-0.001003+0.00014846i,-0.0003156+0.00012963i,-5.6838e-05+0.00012723i,8.9012e-05-9.6303e-05i,0.00040011+6.4012e-05i,0.00012498+0.00047125i,-7.4254e-05+0.00071879i,0.00033321+0.00067479i,0.00084966-0.00060536i,0.00042763-0.0015209i,-0.00041429-0.00070098i,-0.00011873+4.6938e-05i,0.00021783-1.8452e-05i,8.4123e-06+0.00047127i,-5.7864e-05+0.0015314i,-0.00012389+0.0014357i,-1.2603e-05+0.00063864i
0.00013928-0.0005216i,-0.0002053-0.00059214i,0.00022249-0.00045402i,0.0015892+0.00058375i,0.0015647+0.002067i,0.00087627+0.0011591i,0.00059884-6.8145e-05i,-7.2314e-06+0.00027735i,-0.00027476+0.00061017i,-0.00031775+0.00090779i,5.0263e-05-6.7134e-05i,-0.0004634-0.0012369i,-0.0010423-0.0011925i,-0.0004909-0.00023315i,-0.00049576+0.00035304i,-0.000976-0.0002184i,-0.00032484-0.00039354i,0.00049459+0.00016581i,0.00026811+0.00010595i,0.00027523+0.00042658i,0.00068663+0.00038059i,0.00068247+0.00027947i,-0.00024875+0.0006247i
-0.00077849+0.00015006i,-0.00039354+0.00027072i,0.00029693+0.0011127i,0.0014563+0.0006297i,0.0018424+8.6811e-05i,0.0010214+0.0002148i,-2.4687e-05+0.00027387i,-0.00023042+0.00048893i,-0.0001153+0.00042046i,0.00024926-0.00048752i,-8.3488e-05-0.00067906i,-0.00051628-0.00015859i,-0.0002946-0.00022606i,-0.00048268-0.00042308i,-0.00080399-0.00031567i,-0.00071111-0.00040416i,-0.00020912-0.00024653i,0.00036825+0.00013116i,0.0005278-0.00032777i,0.00092315-0.00029671i,0.00010014+0.00016527i,-0.00037944+0.00054066i,0.00036284+0.0010985i
0.00065694+0.00091995i,0.00067463+0.00012837i,0.00096276-0.00029471i,0.00069602+0.00020183i,0.0013678+4.5187e-05i,0.0010986-0.00050763i,-0.00015427-0.00068326i,-0.00076983+3.6955e-05i,-0.00037162+0.00065614i,7.1252e-05+0.00026932i,8.8941e-05+0.00027299i,0.00054276+0.00059769i,0.00062452+0.00063077i,-0.00027916+9.5502e-05i,-0.00033237-0.00056256i,0.00011907-0.00067152i,0.00072582-0.0001055i,0.00067249-0.00016634i,0.00018306-8.7825e-05i,-0.0001888-0.00030012i,7.3254e-05-0.00033451i,0.00013524+0.0003356i,-0.00039205+8.7367e-05i
-0.0012266+0.0021466i,-0.000158+0.0019066i,0.00040489+0.0017615i,0.0010489+0.0011789i,0.0026313+0.00056194i,0.0025457-0.00019724i,0.0013159-0.00049614i,0.00078363+0.00030194i,0.00066489+0.0003127i,0.00085325-0.0007735i,0.0005163-0.0012394i,-0.0003861-0.00045729i,-0.00061335-0.00020776i,-0.00087052-0.00082147i,-0.00037544-0.00062518i,0.0001597-0.00013031i,-0.00014876+4.9947e-05i,-0.00023489+0.00015284i,-7.7851e-06+0.00028196i,-0.00019755+0.00036785i,1.1206e-05+0.00017001i,0.00096739-0.00040184i,0.0010461-0.00037288i
-0.00016003-0.00059821i,7.0546e-05-0.00093986i,-0.00054619-0.0016579i,-6.4923e-05-0.00091025i,0.00056764+0.00064555i,0.00063183+0.0017179i,0.00037181+0.0012049i,-0.00022252+0.00043918i,-0.00036804-0.00044882i,0.00011349-0.00070692i,-0.00011814-0.00093565i,-0.00018624-0.00098928i,-0.00035511+0.00011046i,-3.5514e-05+0.00033344i,0.00030126-0.00025131i,2.7593e-05-0.00077281i,-3.7408e-05-0.00099753i,-5.008e-05-0.00072288i,7.0545e-05-0.00013664i,-0.00014644+0.00047531i,-0.00073646+0.00092564i,-0.0010293+0.00078876i,-0.00077331+0.00021964i
0.00017215+6.923e-05i,0.0009289+0.00087372i,0.00055232+0.00082465i,0.0003955+4.8501e-05i,-1.6441e-05+0.00098996i,-0.00028794+0.0016299i,-0.00019009+0.00069129i,9.9636e-05+0.00033501i,0.00011099-0.00013551i,-0.00013544+4.7367e-06i,0.00016801+0.00044554i,0.00071253-6.544e-05i,0.00027108-0.00053322i,-0.00032177-0.0008926i,0.00024966-0.0012717i,0.00039469-0.0011569i,-0.00012532-0.00082948i,-0.00023482-0.00034505i,0.00013712+2.3738e-07i,5.2765e-06+0.00035075i,-0.00011359+0.00071122i,0.00011487+0.001054i,0.00050349+0.0012708i
