-0.0010395-0.001144i,-0.0010252-0.0015487i,-0.0015468-0.0009942i,-0.0020106-0.00012265i,-0.0019616+0.00018398i,-0.0017637+0.0011896i,-0.00084784+0.0024494i,-0.00047118+0.0024067i,-0.00040182+0.0013357i,-0.00029995+0.00087321i,-0.00055877+0.00037254i,-0.0011186+0.00010855i,-0.0011784+0.00074014i,-0.00063683+0.00089653i,-0.00082097+0.00028696i,-0.00054926-0.00025873i,-0.00023056-0.00049868i,-0.0001423-0.00093521i,0.00014918-0.0010318i,0.00069835-0.00058602i,0.00065094+0.00010061i,0.00040886+0.00023692i,0.00026187+5.5942e-05i
0.0004598-0.00013206i,0.00060077+0.00011181i,0.00029607+0.00031323i,-0.00024076-0.00012035i,-0.00054079-0.00037231i,-0.00058984+0.0010129i,-0.00034479+0.0023553i,0.00053833+0.0020757i,0.000634+0.00095355i,0.00030311-0.00036197i,-0.0001228-0.0004377i,-0.00020984+0.00022415i,-0.0005074+8.8405e-05i,-0.00063067-0.00012082i,-0.00019023+0.00067682i,-7.4641e-05+0.001467i,-0.00037226+0.0012621i,-0.00073479+0.00024012i,-0.00061036+0.00011927i,-0.000401+0.00026957i,-0.00049018+0.0001104i,8.8923e-05+0.0005458i,0.00017583+0.00077813i
0.0016746+0.00013423i,0.0013174-0.00077674i,0.0016976-0.0014859i,0.0014038-0.0016598i,-0.00034058-0.00047743i,-0.0017425+0.00069557i,-0.0013255+0.001293i,-0.00041908+0.00067315i,-0.00041863-0.00023572i,-0.00064031-0.00084418i,-0.00071874-0.00045285i,-0.00075699+0.00048488i,-0.00097258+0.00055492i,-0.0013124+0.0006055i,-0.0014952+0.00080063i,-0.0013799+0.00018665i,-0.0010303-0.00040137i,-0.00070211-0.00024125i,0.0003865-0.00026291i,0.0011896-0.00076782i,0.00059312-0.00079527i,-0.00057019-0.00051875i,-0.0010854+8.3845e-05i
0.0014907-0.00025854i,0.0014127-0.0014284i,0.00075222-0.0019375i,-0.00037728-0.0019578i,-0.0016672-0.0012907i,-0.0021908+0.00080319i,-0.00099093+0.0020075i,0.00042887+0.001505i,-5.5979e-05+0.00053494i,-0.00097075-0.00040376i,-0.00060213-0.00061857i,0.00028278+9.2e-05i,-0.00017368+0.00048992i,-0.00061268+0.0010758i,-0.0014123+0.00096368i,-0.0013778+0.0002337i,-0.0009687+0.00027239i,-0.00074581+0.00023562i,-0.00052105+0.00027247i,-0.00041828+0.00028109i,-0.00077841+0.00014305i,-0.00014432-1.1656e-05i,0.00040621+0.00011416i
0.00045687+0.0005903i,0.0011409-0.00017612i,0.0013999-0.00085328i,-0.00019452-0.0015884i,-0.0011437-0.001324i,-0.00095951+0.00031151i,-0.00019128+0.0012417i,0.00058309+0.00075408i,0.00010746-0.0001829i,-0.0004608-0.00059094i,-0.00085391-5.7306e-05i,-0.0012934-0.00026194i,-0.0012503-0.00044601i,-0.00092693-0.00013373i,-0.0011068-0.00015685i,-0.00071642-0.00013177i,-0.00014337+0.00025674i,-0.00066974-3.6054e-05i,-0.0012327-0.00068335i,-0.0014756-0.00031925i,-0.0017308-0.00026997i,-0.0015067-9.4093e-05i,-0.00053214+3.3182e-05i
0.0012267-0.00098894i,0.0011658-0.00145i,0.0012967-0.0012557i,0.00055549-0.0013408i,-0.00086207-0.00096158i,-0.0014647+0.00031157i,-0.0007674+0.0011061i,-0.00020717+0.00054153i,0.00028168-0.00014408i,0.00016528-0.00075846i,-0.00065393-0.00057617i,-0.0015539+0.00038585i,-0.0014953+0.00055706i,-0.00080384+1.7085e-05i,-0.00072166-0.00038788i,-0.00017389-0.00026809i,9.0686e-05-0.00030799i,3.0494e-05+4.5945e-05i,-0.00037732+0.00015632i,-0.00044451-0.00031959i,-0.00039603+0.00010338i,-1.3301e-05+0.00051149i,8.5687e-05+0.00015119i
0.001341-2.261e-05i,0.0012075-0.0004849i,0.00084568-0.0010725i,0.00084745-0.0013447i,-0.0004361-0.00048326i,-0.00146+0.00099318i,-0.00035602+0.0015049i,0.00065402+0.00066252i,0.00033559-4.9221e-05i,-0.00010031+4.9371e-05i,-0.00042765-6.0813e-05i,-0.0010119-0.00034825i,-0.0010856-0.00021464i,-0.0012415+0.00015539i,-0.0008148-6.2762e-05i,0.00057248+3.2063e-05i,0.0013642+0.00076621i,0.00075931+0.00085188i,-2.4457e-05-0.00012963i,5.7102e-05-0.00051424i,-0.00013117-0.00028754i,-0.0002838-0.00031997i,-0.00061479-3.5497e-05i
0.0011309-0.00055575i,0.0003712-0.0024583i,-0.00039932-0.0030871i,-0.0016747-0.0014625i,-0.002316+1.091e-05i,-0.0019428+0.00096973i,-0.00093363+0.00075601i,0.00025454+0.00027932i,2.2567e-05-5.0041e-05i,-0.00079827-0.00037091i,-0.00080831-0.00015207i,-0.00010201-0.00048691i,0.00040699-0.00045851i,6.5637e-05+0.00026301i,-0.00037088+0.00063423i,-0.00055959+0.00037569i,5.7414e-05+0.00015531i,7.8347e-05+0.00030262i,-0.00020875+0.00042276i,-8.1637e-05+0.0001501i,0.00023505+0.00042078i,0.00029063+0.00079654i,1.7e-05+0.00070815i
0.0016625+0.00040362i,0.0010659+0.0011448i,0.00073551+0.00058632i,0.0004342-0.00077087i,-0.00064376-0.0016217i,-0.0013751-0.00095284i,-0.00043823+0.00095302i,0.00073623+0.0010385i,0.00095713+0.00011684i,0.00045179+7.0928e-06i,-0.00020285-0.00037379i,-0.00019629-0.00057219i,4.794e-05+0.00019291i,-0.00030129+0.0011459i,-0.00034992+0.001494i,0.00022928+0.00084728i,0.00030308+0.00035064i,-0.00068645+0.00026073i,-0.00062915+0.00061754i,0.00058395+0.0010231i,0.0008622-1.6299e-05i,0.0007817-0.00091968i,0.0014216-0.00055948i
0.00022639-0.00099967i,0.00057366-0.0016257i,0.00039086-0.0025353i,-0.00083311-0.0021433i,-0.0012012-0.0004837i,-0.00040252+0.00035278i,-0.00019909+0.00054098i,-0.00026592+0.00089003i,-0.00030499+0.00044746i,-0.00054685-0.00039487i,-0.00057098-0.0010016i,-0.00055119-0.0017044i,-0.00063509-0.0014387i,-0.00062211-0.00020131i,-0.00015619+0.00010277i,9.4899e-05-0.00011706i,-0.00040813+0.00072966i,-0.00091363+0.00071699i,-0.00088155+0.00011681i,-0.00040968+0.00048431i,-0.00041597+0.00039693i,-0.00036879-1.1951e-05i,-0.00045318-0.00019193i
-0.00045632-0.0009369i,-0.00090728-0.00097013i,-0.0013792-0.00074524i,-0.0011355-0.00082958i,-0.0015854-0.00038212i,-0.0014975+0.00024789i,-0.00028144+0.00035812i,0.00066247+0.00023453i,-0.00033526+0.00040806i,-0.0010689+0.00091955i,-0.00049069+0.00077782i,2.6708e-06+0.00070038i,0.0003596+0.00031925i,0.00028874-0.00071834i,-0.00049961-0.00072761i,-8.0712e-06+0.00029577i,0.00033119+9.7013e-05i,2.5658e-05-0.00052389i,0.00020243-0.00081652i,0.00063787-0.00014642i,0.00022956+0.00051185i,4.7154e-06+0.00026134i,0.00065876+0.00033169i
0.00032584-0.00018164i,-0.00013464-0.00086832i,-0.00026683-0.00025905i,-0.00064083+0.00018304i,-0.00087506+0.00031086i,-0.0013216+0.000764i,-0.0013384+0.00039815i,-0.00038822+0.00015684i,-0.00051061+3.7201e-05i,-0.0010699-5.721e-05i,-0.00096878-9.4831e-05i,-0.0014806-0.00031873i,-0.0019248+3.0177e-06i,-0.0012394+8.9403e-05i,-7.525e-05+0.00010758i,0.00023381+0.00024537i,-0.0001553-0.00024042i,-0.00027986-0.00044338i,-0.00010979-0.00048391i,0.00033263-0.00068668i,0.00043438-0.0004735i,0.00016312+0.00062035i,-1.9043e-05+0.0018782i
0.00076865-0.00023239i,-0.00017431-0.00024895i,-0.0011126+9.9182e-05i,-0.00089575-0.00070501i,-0.0012397-0.00076077i,-0.00078599+0.00083324i,0.00024718+0.0013146i,0.00073252+0.00083167i,0.00026975+0.00031856i,-0.00045616-0.00026995i,-3.2382e-06-6.7799e-07i,-2.4068e-05+0.00052006i,-0.00031654+0.00047859i,1.4185e-05-0.00014209i,0.00036654-0.001058i,0.00032072-0.0007312i,0.00017118-0.00019853i,9.507e-05+4.2e-05i,0.00015446-0.00030323i,0.00043488-0.00019287i,-0.00024963-0.00011181i,-0.00063728-0.00051289i,-0.00040537-0.00053402i
-8.5874e-05-0.00075503i,0.00052651-0.00091609i,0.00093068-0.00025892i,0.00052788-0.00054977i,-0.00055695-0.00090998i,-0.0014798-0.0001676i,-0.00044528+0.00075138i,0.0013561+0.00072469i,0.0011585-1.7612e-05i,-0.0004062-0.0003337i,-0.0010111-0.00029039i,-0.0010131-0.00017663i,-0.00084369-0.00012672i,-0.00028039-0.00023638i,0.00056813+0.00042973i,0.00066095+0.00090069i,-0.00036926+0.00021726i,-0.00092799-0.00051301i,-0.00021727-0.0005428i,0.00046679+2.9787e-05i,-4.9216e-05+0.00076562i,-0.00071772+0.0010021i,3.59e-05+0.00096109i
0.0012931+0.0014031i,0.0022+0.0010962i,0.0024243-0.00011032i,0.0024877-0.00021175i,0.0012202+7.0056e-05i,-0.00083772+0.00033142i,-0.0011322+0.00022215i,-0.00091933-0.00023196i,-0.00096876+0.00032543i,-0.00053771+0.00099591i,-8.1295e-05+0.00061405i,-0.00025757-7.3262e-05i,-0.0006896+0.00011338i,-0.00077549+0.0001086i,-0.00060727+0.00057819i,-0.00077708+0.0015335i,-0.00093208+0.00082297i,-0.0004809-0.00052331i,-2.6005e-05-0.00073085i,3.4686e-06+6.6265e-05i,0.0003365+0.00014172i,0.00057498+8.7656e-05i,-8.8377e-05-0.00028727i
-0.00025011-0.00037413i,-0.00022557-0.001033i,0.00017749-0.0011925i,-0.00021428-0.001614i,-0.00054065-0.00078346i,-0.0010765+0.0012987i,-0.00072424+0.0018811i,0.00082178+0.0010064i,0.00043774+0.00064698i,-0.00069084+0.00029344i,-0.0014625-0.00037497i,-0.0012011-0.00026431i,-0.00076105-0.00015941i,-0.00068742-0.00030706i,2.4444e-05-0.00028456i,0.00023285-2.6105e-05i,-0.00081257+0.00062246i,-0.0012656+0.0012415i,-0.00066217+0.00067363i,-0.00020582+0.00061212i,0.00034615+0.00075699i,0.0002305-9.1703e-05i,-0.0003357-0.00096121i
-0.0011248+0.0013881i,-0.0012235+0.0011865i,-0.00087464+0.00082122i,-0.001006+0.00097589i,-0.0011817+0.00052396i,-0.00066239+0.00088722i,-0.00024113+0.0016569i,-0.00038782+0.0010911i,-0.00014185+0.00053638i,-0.00010393+4.427e-05i,-0.00059338-0.00064583i,-0.0013942-0.00025037i,-0.0014311+0.0003767i,-0.0001221+0.00088874i,3.3981e-06+0.0012757i,-0.00058666+0.0012065i,-0.0004077+0.00014467i,-7.5024e-05-0.00070958i,-0.00039712-0.00037774i,-0.0003581-0.00056149i,0.0003961-0.0005399i,0.00023419+3.562e-05i,-0.00037508-0.00013143i
0.0001416+0.00072261i,7.7877e-05+0.00081227i,0.0011203+0.00070399i,0.0014605-0.00045182i,0.00048237-0.00019516i,-0.0001054-0.0001504i,-0.00018313+0.00015094i,0.00013061+0.00041583i,-0.00022599+0.00033851i,-0.00034374+4.9284e-05i,-0.00012272-0.0002052i,-0.00086337-4.1032e-05i,-0.0012999+0.00018273i,-0.00033719+9.2507e-05i,0.00036506+4.7819e-05i,0.00079533+0.00053455i,0.0006718+0.00086173i,0.00019171+0.00054217i,0.0011171+0.00032199i,0.0014004-0.00031745i,0.00021801-0.0011229i,-0.00040876-0.0013213i,-0.00028333-0.0006613i
-0.00028736+0.0012497i,-3.94e-05+0.0013379i,-0.00051593+0.0013981i,-0.0005371+0.00035055i,-0.00012531-0.00047319i,0.00049351+0.00018015i,0.00089971+0.0013116i,-3.6905e-05+0.001492i,-0.000513+0.0010173i,-0.00036899+0.00016054i,-0.0003709+8.6914e-05i,-0.00057144-7.8536e-05i,-0.00047668-0.00024562i,-0.00050367+7.2202e-05i,-0.00054528+0.00030837i,0.00025632+0.00061657i,0.00066574+0.00086686i,0.00086335+0.00020905i,0.00069739-0.00022292i,0.00038633-0.00029348i,0.0001239+1.697e-05i,-0.00045171+0.00037677i,-0.00061732-7.3347e-05i
0.00010173+0.00071266i,0.00025347+0.00082173i,0.00032499+0.0013089i,0.0001792+0.00084292i,-0.00058423-0.00025416i,-0.00083859+6.6747e-05i,-0.0003496+0.001158i,0.00041362+0.00061904i,0.0005331-0.00041572i,-6.6254e-05-6.864e-05i,-0.00018199+0.00036433i,-0.00042817-5.3814e-05i,-0.00057342-0.00027441i,-0.00027617-5.1827e-05i,0.00017953-0.00012852i,0.00050907+0.00044582i,0.001006+0.0010236i,0.001027+0.00051996i,0.00031638-0.00029569i,0.00067936-0.00076914i,0.00091689-0.00024438i,2.8848e-05+0.00027559i,-0.00057604-5.6264e-05i
0.00080343-0.00020601i,1.9542e-05+0.00032585i,-0.00045723-0.00040932i,-0.00097575-0.0001814i,-0.0018316+0.00013177i,-0.0013005+0.00068914i,4.8535e-05+0.00095891i,0.00049328+5.9646e-05i,-0.00030073-0.00035363i,-0.00070123+0.00032189i,-8.919e-05+0.00067059i,-0.00027298+0.0001826i,-0.00023125-0.00036559i,0.00027177-6.4218e-05i,0.00033239+0.00055971i,0.000242-4.764e-05i,9.0611e-05+0.00018366i,-0.00074663+0.00048898i,-0.00082671-2.1898e-05i,-0.00038095+7.1872e-05i,0.00010144-1.9321e-05i,0.0001515-0.0001095i,-0.00010912-0.00013412i
0.00043199+0.00025601i,0.000405+0.00032887i,0.00036012-0.00069883i,0.00052769-0.0012476i,-0.00024505-0.00014502i,-0.00057156+0.00088388i,0.00036599+0.00109i,0.0011605+0.0010595i,0.00036911+0.00029305i,-8.2481e-05-0.00058722i,-0.00045723-0.00043006i,-0.001224-0.00034265i,-0.00093635-3.1058e-05i,1.2543e-05+0.00022843i,0.00084274-0.00025172i,0.0005077+0.00015496i,-0.0005629+0.00020197i,-0.00073084-0.0011644i,-0.00026539-0.0014282i,-0.00037073-0.0011621i,-0.0005986-0.00032714i,7.8343e-05+0.00036566i,0.00072225+0.00015696i
-0.00022858+0.00069255i,0.0011195-0.0006444i,0.0012979-0.00087612i,0.00047007-0.0005972i,4.0126e-05-0.00020132i,-0.00068695+0.00044061i,-0.00053389+0.00069891i,6.5046e-05+0.00063351i,0.00051686+0.00012954i,0.0010558-0.00010431i,0.00061067+9.859e-05i,-0.00029793+2.6705e-05i,-0.00039362+0.0002469i,-0.0003278+0.00074126i,-4.9783e-05+0.00098644i,0.00059202+0.00051685i,0.00036023+0.00028993i,5.2256e-05+0.00020498i,0.00016551+0.00056211i,-8.6919e-05+0.00077433i,0.00015573+6.0054e-05i,0.00033001-0.00049215i,-0.00023018-0.00072938i
-0.00057891+0.0022331i,-0.00069064+0.0020881i,-6.8128e-05+0.002298i,0.0001219+0.0022136i,0.00014504+0.0010698i,-0.00033424+0.00071077i,-0.00019536+0.0010568i,0.00068685+0.00074465i,0.00012285+0.00014968i,-0.00034682+7.8932e-05i,-0.00062414+0.00059776i,-0.00075678+0.00059897i,-0.00084834+0.0002077i,-0.00046517-0.00020367i,-0.0001706-8.6513e-05i,-0.00012288-0.00019354i,-0.00035528-0.00036067i,-0.00085947-0.00046275i,-0.00078129-5.8689e-05i,0.00017222+0.00029209i,0.00030558-2.5621e-05i,9.5221e-05+0.00035973i,8.2922e-06+0.0007106i
-0.0015185+0.00039825i,-0.00024008+0.0013044i,0.00022304+0.0011557i,0.00062795-2.7867e-05i,0.00051618-0.00015492i,0.00023029+1.4118e-05i,0.00095558-0.00012035i,0.0010077+5.939e-05i,0.00029526-0.00019648i,0.00012063-0.00077937i,0.00029953-0.00015641i,1.7849e-05+0.0011132i,-0.00061921+0.00069309i,-0.00083182-0.00038868i,-0.00081786-0.00067495i,-0.00072174-0.00027501i,-0.00069538+0.00063944i,-0.00058928+0.00090781i,-7.475e-05+0.00082575i,-0.00022444+0.00080321i,-0.00037533+0.00025898i,0.00010751-0.00020738i,1.2523e-05-0.00027798i
-8.9758e-05+0.00099057i,0.0016754+0.00079908i,0.0019525+0.00088644i,0.0008281-0.0005547i,-4.9167e-05-0.00051393i,-0.00099363+0.00089274i,-0.00074676+0.0013417i,0.00054688+0.0010897i,0.0002755+0.00051674i,-0.00016392-0.00040828i,-0.00027976-0.00042719i,-0.00065266+5.5014e-05i,-0.00025891+0.00065044i,0.00032175+0.00082099i,-6.2149e-05+0.00044109i,-0.00055298+0.00031129i,-4.1486e-05-0.00053127i,0.00021625-0.001154i,0.00042595-0.00052901i,0.00014647-0.00046317i,-0.0002427-0.00093285i,0.00054627-0.00039183i,0.00094179+0.00018557i
-0.00065821+0.00090471i,0.00014511+0.00021765i,-0.00014224+0.0014957i,-0.00086592+0.0010123i,-0.0011792+0.00061962i,2.6784e-05+0.0016658i,0.0014644+0.0017303i,0.00081714+0.00067192i,-0.00032429-3.1286e-05i,0.00019272-4.2499e-05i,0.00039253-0.00031107i,-0.00017646-0.00015025i,-0.0002204-0.00027482i,4.326e-05-0.00045329i,-0.00022+0.00054635i,-0.00055254+0.0011256i,-0.00031467+0.00078307i,-0.00027142+0.00046464i,-0.00066192+0.00057855i,-0.00051695+0.00074513i,-0.000819+0.00070464i,-0.0011136+0.00051684i,-0.00064535+0.00017321i
0.00075832-9.9187e-05i,9.3638e-05-0.0011877i,-2.402e-05-0.001235i,-0.00092801-0.00047152i,-0.0017119+0.00018583i,-0.0013448+0.0011724i,-0.0004875+0.0012819i,-0.00028516+0.00028231i,-0.00047226-0.00012907i,-0.00054553+0.00017495i,-0.00074662+4.2912e-05i,-0.00043594+0.00028148i,-0.00027606+0.00054981i,-0.00027299+0.0008689i,-3.6786e-06+0.00075383i,-3.5796e-05+0.0004762i,-0.00055537+0.00079226i,-0.0011841+0.0010127i,-0.0010339+0.00041481i,-0.00044827+0.00020648i,-0.00019534+4.1685e-05i,3.8815e-05-0.00066159i,0.00080266-0.00067082i
0.000752-0.0011483i,-0.00019995-0.0017054i,2.1244e-06-0.0027189i,-0.00085054-0.002683i,-0.002306-0.0017424i,-0.0025671-6.3516e-05i,-0.0011703+0.0011995i,0.00078597+0.00086618i,0.00081209-0.0006179i,-0.00025221-0.00064692i,-0.00078756+0.00010014i,-0.00088057+0.00038022i,-0.0011219+0.00062898i,-0.0012043+1.5333e-05i,-0.00025854-0.00058576i,0.00027228-0.00059269i,-5.3659e-05-0.0010033i,2.0782e-05-0.00094368i,0.00055341-0.00039562i,0.00024864-0.00021065i,0.00019928-0.00035141i,0.00062511-0.00052262i,0.00056041-0.00019218i
-0.0003585-0.00095597i,-0.00073593+0.00010245i,-0.0016749+0.00014298i,-0.0017175+0.00013193i,-0.0018932+0.0010754i,-0.0013679+0.002275i,-0.00035796+0.0027768i,7.9952e-05+0.0017701i,-0.00043844+0.00051786i,-0.0010251+0.00045965i,-0.00052713+8.2432e-05i,0.00041203+0.00023303i,0.00080931+0.00082867i,0.00047569+0.00023624i,0.00021566-0.00019958i,0.00027052-0.00024917i,0.00049164-0.0002755i,0.00053947-0.00010572i,0.00027071+0.00026339i,-0.0001185+0.00010372i,-0.00043472-8.5618e-06i,-0.0006409-0.00010165i,-0.000659-0.00091847i
