0.001318-0.00041522i,0.00058052-0.0012128i,0.00041689-0.0026561i,-0.00025694-0.0021645i,-0.0025293+7.3377e-05i,-0.0044631+0.0013291i,-0.0041511+0.001852i,-0.0019847+0.0022106i,-0.00020853+0.0016241i,-4.597e-05+0.0010152i,4.6208e-05+0.00086964i,-1.0425e-05+0.00056983i,-0.00059094-0.00034297i,-0.0009559-0.00025765i,-0.00053464+0.00058983i,0.00026962+0.00071208i,0.00010284+0.00038852i,-0.0004299+0.00011236i,-0.00035821+0.00016667i,-0.00056652+0.00026107i,-0.0010313+4.9413e-05i,-8.1393e-05+5.6833e-05i,0.00022233-0.00026474i
-0.00053994-0.00058755i,-0.00047745-0.0006209i,0.00067531-0.00023132i,5.9962e-05+4.4098e-05i,-0.0012708+0.00039474i,-0.0015671+0.00074372i,-0.0011586+0.00081863i,2.7657e-05+0.00018963i,0.00049813-0.0003789i,0.00018918+8.823e-05i,3.5655e-05+0.00042613i,0.00045215+0.00049475i,0.00079979+9.8071e-05i,0.00064542-0.00045379i,0.00026867-0.00087462i,0.00020732-0.00080543i,0.00010442-0.00012132i,-5.5797e-05+0.00040109i,-0.00024909-0.0001278i,0.000514-0.00055606i,0.00067518-3.7395e-05i,-0.00016901+0.00029644i,-0.00049979+0.00072997i
0.00089428+4.7279e-05i,0.00017118+0.0012711i,0.00015286+0.00012433i,0.00023823-0.00034319i,-0.0011088+0.0006534i,-0.0011003+7.4247e-05i,-0.00056378-0.00054326i,-0.0010111+0.00043021i,-0.00021386+0.0010051i,0.00050846+0.00089187i,0.00025759+0.0012779i,0.0005592+0.0010657i,0.00090962+0.00026168i,0.00059946-0.00032366i,0.00038228+8.3328e-05i,-0.00012996+0.00029634i,-0.00025273+5.755e-05i,-0.00014173+0.00064992i,-0.00057734+0.0004231i,-0.00022819-0.00072515i,-0.00026116-0.0008147i,-0.00029229+0.00026457i,0.00042786+0.00087291i
-0.00018607-0.00066064i,-0.0013501-0.00099831i,-0.0017738-0.0010121i,-0.0013497-0.00064847i,-0.0015252-0.00012875i,-0.0011159+0.0006262i,-0.00080332+0.00069163i,-0.00085455+0.00050204i,-0.000485+4.7942e-05i,-0.00037449-0.00042744i,-0.00021754-0.00024138i,0.00025481-9.4903e-05i,0.00058842-0.00048138i,0.001301-0.0013429i,0.001112-0.0016748i,-7.547e-06-0.0006703i,-0.00065638+0.00015855i,-0.00066832+0.00013572i,0.00037944-0.00027406i,0.00080935-0.00049448i,-0.00020135-0.00029775i,-0.000804-0.00039857i,-0.00070361-0.00030088i
-0.0015594+0.0011783i,-0.00024026+0.00034901i,0.00049814+0.00039329i,0.00060613+0.0013258i,0.00035504+0.0016727i,-0.0009322+0.00037208i,-0.0014735+5.2376e-05i,-0.00082488+0.0013443i,-0.00038569+0.0016166i,0.00060072+0.00096014i,0.00034299+0.00035117i,0.000334-0.00018862i,0.00085269+0.00023836i,0.00094943+0.00067934i,0.00051587+0.00049191i,0.00022558-0.0003508i,0.00079297-0.00087435i,0.00066138-0.0007793i,0.00012458-0.00073512i,-0.00015142-0.0011024i,-0.00018876-0.0010267i,0.00021199-0.00025409i,0.00031709+0.00051509i
0.0013566-0.00031838i,0.0015108-0.00054279i,0.0015492-0.00034275i,0.001601-3.4388e-05i,0.00032605+0.00032568i,-0.0014813+0.00039225i,-0.0014101+0.00034542i,-0.00092108-0.00022613i,-0.00015954-0.00034405i,0.0008051+0.00025453i,0.0010282+0.00082698i,0.00092694+0.0011385i,0.00039432+0.00062259i,-0.00011099-0.00018903i,-1.8518e-05+3.8687e-05i,-2.7626e-06+0.00018998i,0.00029904-0.00045286i,0.0005703-0.00063472i,0.0004006-0.00058901i,0.00019121+4.3116e-05i,-0.00025215+0.00082225i,-3.5805e-05+0.001469i,0.00027941+0.0016371i
-0.0018196+0.00037762i,-0.00046648+0.00065268i,0.00010318+0.00075255i,-0.00091839+0.0011477i,-0.00087112+0.0022203i,0.00030799+0.0014982i,1.4751e-05-0.00037469i,-0.0011919-0.00052848i,-0.00088477+0.0003743i,0.00042645+0.0010013i,0.00046171+0.00075107i,0.00024958+0.00053815i,-2.6085e-05+0.00010189i,0.00012053-0.00021826i,0.00035558-0.0003972i,4.0501e-06-0.00034554i,-0.00031659-0.00054309i,-0.00058583-0.00085743i,-0.00013952-0.00077971i,0.00073031-0.00051025i,0.00045503+0.00065071i,0.00041569+0.00097467i,0.00064847+0.00036353i
0.0001284+0.0012291i,0.00025299+0.0010607i,0.00014719+0.00076427i,-0.00029575+0.00076447i,-1.6527e-05+0.00073797i,0.00029071+0.00064043i,-0.00011217+0.00041321i,-0.00056544+2.5587e-05i,-0.00070148+0.00020495i,-0.0005011+0.00051456i,-0.00011294+0.0012434i,-2.7094e-06+0.0015823i,0.00045285+0.0011632i,0.00037137+0.00038807i,-0.00012244-6.2395e-05i,0.0001104-0.00024924i,-0.00022945+8.3192e-05i,-0.00033435+0.00057072i,-0.00040429+0.00061707i,-0.00084723+0.00034551i,-0.00060374-0.00011522i,-0.00031444-9.7162e-05i,7.2434e-05+0.00040367i
0.00015628+0.0017763i,0.00074906+0.00096175i,0.00090562+0.00050399i,0.00010658-0.00036034i,0.000748-0.00014762i,0.00052146+0.00052003i,-0.0012773+0.00084649i,-0.0011653+0.0012963i,-0.00024456+0.0008061i,2.0995e-05+0.00031908i,0.00032819+0.00021631i,0.00075609-1.8634e-05i,0.00087043-6.7654e-05i,0.0011778+0.00024272i,0.0010277+0.00057852i,0.00069771-0.00046342i,0.00033774-0.00053733i,-0.00046174+0.00071376i,-0.00093004+0.001196i,-0.00066515+0.0012587i,0.00014932+0.00071556i,0.00084745+0.00039394i,0.0012037+0.0011093i
0.00096068+0.00020159i,0.0017608+2.3715e-05i,0.0021604-0.00021483i,0.00104-0.00048355i,-0.00053216-0.00074912i,-0.0011524-0.00021648i,-0.00091763+2.4381e-06i,-0.00066448-0.00016677i,-0.00023835-0.00025924i,0.00012436+1.3728e-05i,0.00022555+0.00053215i,0.00055158+0.00068589i,0.00087001+0.0005544i,0.0002944+0.0003106i,-0.00032526-0.00019188i,-0.00033119-8.0136e-05i,-6.5091e-05+0.00060237i,-0.00067338+0.0012407i,-0.0010832+0.0013448i,-0.0012431+0.00065049i,-0.0011724-3.3156e-05i,-0.00027621-5.5092e-05i,8.9828e-05-0.0010561i
-0.0009136-0.00031933i,-0.00014212-0.00024003i,-0.00075723-0.00014143i,-0.00078606-0.00049402i,-4.902e-07+0.00014291i,-0.00042303+0.00081902i,-0.00064859+0.00041694i,-0.000364-8.8462e-05i,-0.00020117+0.0003625i,-0.00027351+0.00093879i,-0.00040587+0.0012456i,-0.00017039+0.00064223i,9.3295e-06-0.00032453i,-8.4426e-05-0.00075585i,-3.5784e-05-0.0010455i,0.00022878-0.00077277i,9.7883e-06-0.00034842i,-0.00030796-0.0005467i,-0.0010561-0.00034166i,-0.0013573-0.00012437i,-0.00070035-4.5502e-05i,-0.00031015-0.00026518i,0.00018512-0.00044603i
-0.00056408+0.0024124i,0.00019313+0.0024376i,0.0009879+0.0026004i,0.0016347+0.002244i,0.00087506+0.0013494i,-3.935e-06+0.00022087i,-0.00044172+0.00016174i,-0.0010729-0.00060538i,-0.00011233-0.00071368i,0.00051901+0.00027665i,0.00024764+0.00065065i,0.00025558+0.000312i,-2.9802e-06-0.00076399i,-0.00063024-0.00088179i,-0.00049704-0.00077089i,7.0656e-05-0.00020359i,-0.00028188-0.00010038i,0.00019906-0.0004026i,0.00082714+6.6429e-05i,0.00024562+0.00018007i,-7.2598e-06-0.00021186i,0.00019797+0.00027152i,-0.00051888+0.00073455i
-0.00081893+0.00076234i,-0.00041403+0.00039037i,0.0009998+0.00016221i,0.0016211-0.00019139i,0.0013005-0.00051127i,0.00056216-0.00064095i,-0.00027694-0.00027271i,-0.00031202-9.2155e-05i,0.00048489-1.2257e-05i,0.00047534+0.00039522i,0.00074027+0.00070683i,0.0013513+0.00066382i,0.00088979+5.7635e-05i,0.00079483-0.00016143i,0.00016443-0.0002335i,-0.0010313-0.0013739i,-0.0013126-0.0010476i,-0.00072858-0.00027805i,-0.00022857+5.8425e-05i,-0.00025539+0.00049309i,-5.4147e-05+0.00041296i,3.1653e-05-0.0002431i,5.8417e-05-7.9625e-05i
-0.0024415-0.0010941i,-0.0019137+0.0010423i,-0.0018756+0.0016095i,-0.0012657+0.0016875i,-0.00013921+0.002086i,0.00025545+0.0018739i,-0.00017584+0.0010617i,-0.00018793-6.6909e-05i,0.0002435+0.00023319i,6.8111e-05+0.00067146i,-0.00022507+0.00011579i,0.00011143-0.00035824i,0.00079134-0.00016678i,0.0004673-6.2488e-05i,2.8985e-05-6.0745e-05i,0.00014573+0.00034492i,-0.00032022-5.1895e-05i,-0.00093728-0.0010506i,-6.4013e-05-0.0017702i,0.00080923-0.000791i,0.00037887+0.00039886i,0.00018135-0.0003582i,-8.9532e-05-7.0895e-05i
-0.00025657+0.00044417i,-0.00058004+0.00093902i,-0.0016958+0.00034344i,-0.0020257+0.00019365i,-0.0015757+0.00053155i,-0.00048035+0.00021052i,-0.00015626-0.00037867i,-0.0011607+0.0001035i,-0.0011455+0.00041827i,-0.00057034-6.7211e-05i,-0.00035213+0.00023418i,0.00018984+0.00047267i,0.00090134+0.00032076i,0.00063515+0.00046774i,-0.00015182+0.0010379i,-0.00042687+0.00090955i,0.000384+0.00070437i,0.00051503+8.836e-05i,0.00061098-0.00099381i,0.00050272-0.00044149i,-0.0005472-9.3804e-05i,-0.00061575-0.00044854i,8.1682e-05-0.00047766i
0.00051639+6.4084e-05i,0.00069237+0.00014489i,0.0014097+0.00067024i,0.0011572+0.00089984i,-9.8544e-05+4.5759e-05i,-0.001429-0.00016524i,-0.0012844-0.00013633i,-0.00052506-0.00013424i,-1.0414e-05-7.9646e-06i,0.00010239-4.6155e-06i,0.00017382+0.00022232i,0.00071492-1.3226e-05i,0.00082837+0.00042554i,0.00086337+0.00083385i,0.00095126+0.00012545i,0.00030234+4.703e-05i,-0.00047853-0.00053997i,-0.00055395-0.0014299i,0.00013547-0.00092212i,0.00087114-0.00067299i,0.00068771-0.00057513i,-0.00019056+2.6403e-05i,-0.00015944-0.00064609i
-2.7263e-05-0.00028223i,0.00070387-0.0014045i,0.0015428-0.0017305i,0.00067098-0.00063497i,-0.00091436+0.00039387i,-0.0012971+0.00070893i,-0.00051111-0.00012977i,0.00065979-0.00013599i,0.00032242+0.00050864i,-0.00016962-0.00018432i,0.00023594-0.00077609i,0.00036642+7.7064e-05i,0.00071426+0.00096709i,0.00088244+0.0012449i,4.5402e-06+0.00082631i,-0.0001499+2.4072e-05i,-0.00014372-0.00038248i,-0.00054915-0.00065731i,-0.00051715-0.00026021i,-0.0004661+0.00054531i,-0.00046791+0.00056568i,-0.00017269+0.0001179i,-4.9677e-05-0.00019081i
-0.001211+0.00063264i,-0.0009343+0.0013421i,-0.00037932+0.0030141i,-0.00069021+0.0029096i,-0.0012494+0.0010928i,-0.0013468-0.00014371i,-0.0017692-0.0008784i,-0.0012474-0.00046726i,-0.00048837+0.0002063i,0.00018363-0.00028143i,0.00072162-0.00029142i,0.00025675-0.00029822i,0.00011126-0.0006663i,0.00030397-0.00038731i,0.00016513+0.00028032i,5.9526e-05+0.00068649i,4.7801e-05+0.0011862i,-0.00024661+0.0012555i,-0.00024661+0.00081093i,0.00068085+0.00026177i,0.0009307-0.00016452i,0.00069011-0.00028979i,0.00030117-0.00020181i
-0.001076-0.0014815i,-0.0011856-0.0022788i,-0.0013231-0.0019685i,-0.0011715-0.00065898i,-0.00085188+0.0016414i,-0.0011647+0.0029492i,-0.00095796+0.002113i,-2.0833e-05+0.00078495i,0.00034739+1.79e-05i,0.00066067+8.3451e-05i,0.00037563+0.00067814i,0.00025919+0.0010576i,0.0003809-0.00016737i,0.0006973-0.00062029i,0.0013214+1.7726e-05i,0.0016427+0.00036387i,0.0014074+0.0003208i,0.00047843-0.00040346i,-0.0004257-0.00023195i,-0.00054393-6.4902e-05i,-0.0007752-8.6781e-05i,-0.00058429+0.00053214i,0.00012877+0.00024888i
0.0013167+0.00076874i,0.0013733+0.00035933i,0.00058579+0.0013466i,-0.00026207+0.0011078i,-4.0172e-05+0.00039999i,-0.00030701-0.00032868i,-0.0011359-0.00038826i,-0.00092315+0.00066935i,-0.00061816+0.0010712i,0.00023122+0.00068438i,0.00036931+0.00057767i,-9.5866e-05+0.00037033i,-0.00031314+0.00047352i,-0.00031209+0.00039765i,0.00042189+0.00024774i,0.00019802+0.00014859i,-6.7756e-05-0.0002189i,0.00027614-0.00023878i,-4.5317e-05+9.2809e-05i,-0.00046413+0.00058703i,-0.00058464+0.001089i,-0.00016646+0.0008412i,0.00095952+0.00047776i
1.0617e-05-0.0021419i,-0.00063254-0.0017545i,-0.0017377-0.0015492i,-0.0019062-0.00037012i,-0.001169+0.00062101i,-0.00055165+0.00052589i,0.00012212+7.3431e-06i,0.00027659+0.00024902i,0.00017327+0.00054785i,0.00038896+0.00072539i,0.00077074+0.00067207i,0.00080853+0.00076289i,0.0008767+0.00063943i,7.7316e-05+0.00026896i,-0.00049162+0.00053885i,-0.00035998+0.000398i,-6.4618e-05+4.8858e-05i,-0.00017869-0.00036994i,-0.00052611-0.00018305i,-6.2421e-05+0.00052022i,0.00055152+0.00011995i,0.00038637-0.00012577i,0.00010819+0.00065665i
-0.0012166+0.00086731i,-0.00084396+0.0020672i,-0.0005405+0.0024476i,-0.00089722+0.0012006i,-0.00069772+0.0016311i,3.5668e-05+0.0021061i,-0.00021465+0.00090722i,-0.00056042+0.00033793i,0.00040158+0.00079395i,0.00042274+0.0011978i,-0.00054973+0.00094428i,-0.00056965+0.0010453i,-0.00019126+0.00043214i,0.00030935-0.00052199i,0.00084852-0.00013442i,0.00084884+0.00055953i,9.7071e-05+0.00031326i,-0.00032116+0.0002829i,9.3172e-05+0.00030651i,-0.00028227-0.00013312i,-0.00038632-0.00016159i,0.00054653+5.7522e-05i,0.00021625-0.00014435i
-0.0013331+8.2828e-05i,-0.0015692+0.0013316i,-0.0014199+0.002338i,-8.589e-05+0.0023091i,0.0013529+0.0021742i,0.00069629+0.0015414i,-0.00038015+0.00059643i,-0.00031344+0.00047389i,-9.0108e-05+7.5138e-05i,0.00046932+0.00019577i,0.00044909-7.5717e-05i,-0.00035092-0.0002903i,-0.0008283+9.9817e-05i,-0.00012214-2.1645e-05i,0.00032277-0.00044875i,-0.00024227-0.00037806i,-0.0013029-3.1156e-06i,-0.0012133-0.00026344i,-0.00043079-0.00033446i,-6.472e-05+0.00055729i,-2.9296e-05+0.00079207i,-0.00014038+0.00053495i,-0.00076085-0.00037798i
0.00017355+0.00033331i,0.00016854+0.00050273i,0.00060939+0.00021048i,0.00073616+0.00030009i,1.423e-05+0.0008456i,-4.7796e-05+0.00072599i,0.00051871+2.5469e-05i,7.5861e-05+0.00032947i,-0.000726+0.00010978i,2.6426e-05-0.00023434i,0.0010047+0.00017753i,0.00094352+0.00033652i,0.00053219+0.00031749i,-1.1941e-05+0.00020576i,-0.00068041+0.00049572i,-0.00041798+0.00037314i,-9.3969e-05-0.00046975i,-0.00020303-0.00039853i,-0.00077176+9.873e-05i,-0.00096353-3.7085e-05i,-0.0002975-0.00054609i,8.8144e-05-0.00051194i,-0.00046421+0.0001987i
-0.0013249+0.00071106i,-0.00029347+0.0019592i,-0.00063088+0.0032438i,-0.00090965+0.0043371i,-0.00077793+0.0042791i,-0.00054321+0.0022805i,-4.3609e-06+0.00022062i,5.7532e-05+0.00019093i,0.00047+0.00082714i,0.0004666+0.00069095i,5.5567e-05+0.00074172i,3.6636e-05+0.0013828i,2.1823e-05+0.00067277i,0.0007416-0.00043104i,0.0010541-0.0005396i,0.00037632-0.00089074i,0.00035937-0.00099217i,9.5149e-05-0.00032334i,-0.0012192-0.00020834i,-0.001207-0.00057339i,-0.00032978+0.00018975i,-0.00037559+0.0012142i,-0.00025727+0.00098885i
-0.00019229-0.0013036i,-0.00038558-0.0017461i,1.3282e-05-0.0028107i,0.00018608-0.0023195i,-0.00078117-0.00058036i,-0.0011537+0.00036447i,-0.0010619+0.00030243i,-0.0010801-0.00015982i,-0.0010227+9.4721e-06i,-0.00059018+0.0004727i,-0.00026904+0.00097429i,0.0003998+0.0014119i,0.00064846+0.0013725i,7.5456e-05+0.0010356i,-0.00012586+0.0004312i,0.00020264-0.00090895i,0.00055157-0.0018476i,0.00066626-0.001491i,-0.00030806-0.00060214i,-0.00072004+2.033e-05i,0.00030512+0.00031635i,0.00047493-0.00017243i,0.00010813-0.00048749i
0.00043193-0.0026369i,-0.0011801-0.0026697i,-0.0015099-0.0018481i,-0.0015883-0.00035055i,-0.0019127+0.00069599i,-0.0019723+0.00099712i,-0.0011977+0.00036114i,-9.1312e-05-0.00018597i,-0.00037057+5.6802e-05i,-0.00037819+0.00026922i,4.8114e-06+0.00085277i,-4.1607e-05+0.00075882i,0.00066866+0.00033466i,0.0019713+4.5832e-05i,0.0016803+4.1357e-05i,0.00024222+0.00020626i,0.00021213-0.0002381i,0.0002587-0.00075831i,-0.00051252-0.00049764i,-0.00095769+0.00015091i,-0.00052154-3.643e-05i,-0.00012722-0.00014558i,0.00022097+0.00027371i
-0.0013289+0.00047257i,-0.0010024+0.00065227i,-0.0006983+0.00090718i,8.5832e-07+0.0005398i,-0.00025625+0.00043494i,-0.0016609-0.00047949i,-0.001459-0.0009085i,-0.00075163-0.00068915i,-0.00027628+0.00041287i,8.8506e-05+0.0011495i,0.00062985+0.00073791i,0.0016923+0.00035658i,0.0018042+0.00026105i,0.00041114-8.3222e-05i,-0.00027261-0.00026421i,-4.4612e-05-0.00010124i,-1.2361e-05-0.00029856i,0.00039543-0.00016596i,0.00071482+0.00010427i,0.00039258+7.4639e-05i,-2.3377e-05+0.00065203i,-6.3704e-05+0.00070573i,-0.00012738+0.00026732i
0.0023655-0.0013493i,0.0023503-0.0012271i,0.0019875-0.0016246i,-0.00013871-0.0014265i,-0.0023396-0.00067219i,-0.00246+0.0013102i,-0.0016895+0.0025015i,-0.00067402+0.0011644i,0.00047178-0.00014776i,0.00064706-0.00016163i,7.0806e-05+0.0002729i,-0.0003324+0.00061081i,-2.1302e-06+0.00082989i,0.00022534+0.00075105i,-0.00063767+0.00012229i,-0.00069239-3.6598e-05i,-0.00039361-0.00014449i,-0.00067578-0.00033839i,-0.00085335-0.00086519i,-0.00018334-0.00039515i,0.00010444+0.00019483i,-0.0006067+0.00030565i,-0.0011219+0.00077963i
8.9958e-05-0.0002876i,-3.884e-05-0.00031843i,-0.00060029-0.00077265i,-0.0007767-0.00062932i,-0.0007515+0.00087499i,-0.00055264+0.0013406i,-6.756e-05-0.00017037i,3.3531e-05-0.00075289i,-2.0337e-05+0.00019513i,0.00063448+0.00067878i,0.00042811+0.00017828i,0.00023856-7.9088e-05i,0.00085884+0.00020283i,0.0013053+0.00022682i,0.0008138+0.00045024i,3.2957e-05-0.00016597i,0.00011062-0.0009396i,-0.00013608-0.00089519i,-0.0005268-0.00056993i,-0.0007876-0.00045937i,-0.00095437-0.0001931i,-0.00043985+0.00071974i,-0.00032503+0.0013463i
-0.0015661+0.0010909i,-0.00051252+0.0006651i,0.00021573+0.0014093i,0.00034843+0.0018924i,0.00045695+0.0015253i,-0.00016921+0.00057133i,-0.0005225-0.00049611i,-0.00028657-0.0013911i,-0.00034846-0.00081182i,-0.00044482-0.00041032i,-2.0848e-05-0.00025767i,0.00048315+0.0012013i,0.00024708+0.0015882i,-0.00014835+0.00094595i,-0.00036239+0.00021824i,-0.00034575-0.00039149i,-0.00044403-0.0009069i,-0.00024648-0.00066138i,0.00013481-0.00053576i,-7.8179e-05-0.00023445i,-0.00021724+0.00055476i,7.6808e-05+0.00017879i,0.00056156+0.00039636i
0.00047798-1.5681e-05i,-0.00014638+0.0010394i,0.0003099+0.0017247i,0.00050386+0.0011825i,9.0622e-05+0.0003375i,-0.00091509+0.00049739i,-0.00061011+0.00019601i,0.00039598-0.00035486i,0.00043725-7.8074e-05i,0.00038328-0.00016484i,0.00053252-0.00039481i,0.00051837+1.9262e-05i,0.00035106+0.0010184i,2.738e-05+0.00059961i,-0.0002083-0.00030881i,-0.00015664-0.000926i,0.00078996-0.001371i,0.00089217-0.0011913i,0.00049438-0.0004802i,-0.00043363+3.8014e-05i,-0.0013265+6.5069e-05i,-0.00029475+0.00057901i,0.00043842+0.0010395i
