0.0010376-0.0020428i,0.0012003-0.0042998i,-0.0005611-0.0053313i,-0.0021821-0.0038997i,-0.0020438-0.0011897i,-0.0013344+0.001035i,6.3455e-05+0.0014025i,0.00068069+7.468e-05i,0.0010099-0.00066365i,0.0009262-0.00089262i,0.00054364-0.00025264i,0.00067607+0.00048053i,0.00074753+0.00060737i,7.0556e-05+0.0012122i,-0.00021861+0.0013115i,-0.00024046+0.00070942i,-5.3083e-05-1.7752e-05i,0.0006139-0.0004555i,-0.00025491-0.00063445i,-0.0012696-0.00067538i,-0.00065957-0.0002222i,-0.00032182+0.000305i,0.00012877+0.00044411i
5.2097e-05-0.00016585i,-0.0003837-0.00029982i,-0.00035217-0.00063536i,-0.00050951-0.00014627i,6.1218e-05+0.0003098i,0.0002702+0.00023874i,0.00028052+0.00018336i,-2.9707e-05+0.0003736i,-0.0003158-7.9933e-05i,-0.00071974-0.00031483i,-0.00044335+0.00014048i,0.00027853+0.00037083i,0.00041824+0.00049261i,-0.00022347+0.00038783i,-9.8509e-05-0.00014668i,0.00019178-0.00012559i,0.00016758+0.0006143i,-8.9386e-05+0.00072583i,-0.00042167-2.0123e-05i,-0.00014869+3.0414e-06i,-0.00025314+0.00063826i,-8.6079e-05+0.00036359i,0.00030289+0.00027606i
-0.0023923-0.00015986i,-0.0019719+0.00095174i,-0.0015257+0.002484i,-0.00055461+0.0015481i,0.00017041-7.001e-05i,0.00092271-0.00042683i,0.0013421-0.00045914i,0.0011785-0.00035573i,0.00038122-0.0001978i,-0.00020148+0.00014244i,0.0002917-0.00032421i,0.00091962-0.00036953i,0.001151-0.00034031i,0.00074687-0.00067089i,0.00063493-0.00034133i,0.0003254+5.7723e-05i,0.00027251+0.00067622i,0.0003032+0.00045298i,-6.108e-05+9.8527e-05i,-0.00038458-2.2648e-05i,-0.000116-0.00030679i,0.00018315-1.3834e-05i,1.5574e-05+0.00042285i
0.00055188-0.0011931i,0.00013016-0.0019019i,-0.00070961-0.0020182i,-0.00085654-0.00071336i,-0.00113+0.00024986i,-0.001517-6.957e-05i,-0.00087114-0.0006078i,4.5039e-05-0.0010165i,0.00039526-0.0010185i,9.3141e-05-0.00034736i,-0.00025513+0.00056384i,-0.00042298+0.00031317i,-0.0006572-0.00026757i,-0.0012262-2.325e-05i,-0.00067385-0.00026507i,0.00033383-0.0006217i,0.00013202-0.00068111i,-2.3539e-05-0.00061435i,0.0003795-0.00030792i,0.00012835-0.00018855i,-0.00044945-6.4966e-06i,-0.0004616+0.00013554i,-4.547e-05+0.00013886i
-0.0006939+0.000169i,-0.001548+0.00017662i,-0.00070917+0.00043288i,-0.00026091+0.0010787i,-0.00033299+0.0010301i,-0.00034773+0.00069027i,-0.00062389+0.00057816i,-0.00052809-0.00021518i,-0.00025058-0.00099542i,-0.00046709-0.00054903i,-0.00033545+0.00033735i,0.0012397+8.2966e-05i,0.0017328-0.00062076i,0.00088449-0.00016445i,7.7928e-05+0.00016999i,9.1192e-05-3.3695e-06i,0.00024938+5.2159e-05i,-0.00035671+0.00041688i,-0.0009198+0.00024415i,-0.00066357-1.7443e-05i,4.0053e-05-0.00030665i,0.00075018-0.00078233i,0.00096472-0.00052777i
0.001476-0.0028833i,-0.00017131-0.0026423i,-0.0014994-0.0018541i,-0.0023762-0.0012087i,-0.0016665-0.0008138i,-0.00078217-0.00012567i,-0.00039315+0.00038416i,0.00021123-0.00013678i,0.00087876-0.00065877i,0.00048082-0.0007093i,-3.0382e-05-0.00090545i,0.00013211-0.00043021i,-5.6569e-05+0.00059022i,-0.00031697+0.00084661i,0.00019756+0.00061981i,0.00038851+0.00021465i,-0.00029993-0.0001782i,-0.00051899+6.6897e-05i,-0.00036763+0.00062228i,0.00021479+0.00054611i,0.00068119-0.00025106i,0.00019505-0.00034514i,-2.6584e-05-2.0836e-05i
-0.0005242+0.0030767i,-0.00047636+0.0024189i,-2.5237e-05+0.0014179i,0.00055146+0.00031754i,0.00073324-0.00057845i,0.00041207-0.00064306i,0.00021486-0.00091041i,-0.00010042-0.00073i,0.00018428+0.00026059i,0.00058702+0.00038086i,-5.4475e-05+0.0002076i,-5.5393e-05-0.00061214i,0.00055296-0.00088856i,-0.00049616-0.00031247i,-0.00089583-0.00040307i,-0.00028305-0.00050733i,-0.00035684-0.00062861i,-0.0011718-0.00050537i,-0.0013378-0.00047668i,-0.0011141-0.00019354i,-0.00032392+0.00075796i,0.00094171+0.001387i,0.00068367+0.0010249i
-0.0026925-0.0025112i,-0.0042703-0.0017002i,-0.0043997-0.00085182i,-0.0031456-0.00067289i,-0.0018124-1.0651e-05i,-0.00051986+0.00099121i,-7.5841e-05-0.00010355i,1.2315e-05-0.0011338i,2.9678e-05-0.0012393i,-0.00051144-0.00067318i,-0.00069777+0.0003531i,-7.5495e-05+0.0010177i,0.00040207+0.0014128i,0.00067278+0.0010151i,0.0012041+0.0005327i,0.00085459+0.00087789i,6.4092e-05+0.00081394i,-9.3878e-05+0.00035874i,-0.00054914+0.00040542i,-0.00085616-0.00074106i,-0.00048452-0.0015514i,-0.00029944-0.0010591i,-0.00098687-0.00051929i
-0.00033327+0.0018665i,-6.7705e-05+0.00096077i,-0.00019402+0.00062326i,0.00059871+0.00031544i,0.0013284-0.00071251i,0.00069362-0.001077i,-0.00085121-0.0003178i,-0.0010164+0.00047315i,-0.00015342+0.00055875i,0.00034639+0.00034587i,0.00051243+0.00019219i,0.00032982+0.00039724i,-0.00017069+0.00043682i,0.00026823+0.00014266i,0.00099142-0.00013567i,0.00037554+1.032e-05i,-0.00040139+4.4926e-05i,-0.00066627+0.00028645i,-0.00039478+0.0003229i,0.00042344-7.0994e-05i,0.0008638-3.7584e-05i,0.0005616-0.00044313i,0.00036742-0.00028186i
-0.0023268-2.1613e-05i,-0.0015969+0.0012648i,-0.001022+0.0014205i,-0.00049937+0.00073203i,-0.00035709+0.00035999i,-9.7116e-05-0.00019977i,4.2111e-05-8.0953e-05i,0.00023206-1.5392e-05i,0.0015051-0.000271i,0.0017053+7.8444e-05i,0.00092445+0.00052989i,0.00081195-7.0905e-05i,0.0012367-0.00035449i,0.00048273+0.00037349i,-0.00021493+0.00034015i,-0.0001324+4.2005e-05i,-1.6815e-05+0.00061458i,0.00021109+0.001111i,0.00039193+0.0010754i,0.00048507-0.0002035i,0.0003582-0.0010981i,0.0004477-0.0007778i,0.00072198+4.9551e-05i
-9.1283e-05-0.002254i,-0.00052094-0.0024484i,-0.00071683-0.0017004i,-0.0010149-0.00058403i,-0.0012566+0.00052759i,-0.00052518+3.2563e-05i,0.00010475-0.00063026i,-0.00020112+2.5924e-05i,-0.0011136+0.00088386i,-0.0011288+0.0013283i,-0.00048662+0.0015361i,-0.00026893+0.0012047i,0.00018552+0.0011058i,0.00098074+0.0012223i,0.00066426+0.0012504i,-0.00011959+0.00069042i,-0.00015069+0.00034029i,0.00051006+0.00087909i,0.00032985+0.00052288i,-0.00039413+6.22e-05i,-1.3138e-05+0.0002832i,0.00039199+0.00028948i,0.00035404+0.00049302i
-0.0015183+0.0014048i,-0.000915+0.0011918i,-0.00044888+0.0014159i,-0.00055015+0.0017336i,0.00036155+0.00089472i,0.00056014-0.00010905i,-0.00022023-0.00014531i,-0.00021689-0.00026783i,-0.00029199-0.00023754i,-9.8757e-05-0.00072289i,0.00064858-0.0010613i,0.00049963-0.00038355i,0.00070949-0.0002023i,0.00012679-0.001054i,-0.0010326-0.00088501i,-0.001061-4.4039e-05i,-0.00085167+0.00043706i,-0.00084733+0.00097673i,-0.00080365+0.00099384i,-0.0011283-0.00015389i,-0.0015383-0.00024941i,-0.00055658+0.00062294i,6.3803e-05-0.00021322i
-0.00025918-0.002321i,-0.0011242-0.0024803i,-0.00067008-0.0018789i,-0.00031514-0.0018692i,-0.00067623-0.0013574i,-0.0006689-0.00023552i,0.00024667+0.00054997i,0.00065973+0.00084997i,6.4697e-05+0.0010404i,-0.00058744+0.00051495i,-0.0014437-3.6199e-05i,-0.00099592+0.00044802i,-0.00038194+0.00090401i,0.00023718+0.00096371i,-0.00018694+0.0010045i,-0.00068425+0.00089542i,-0.00033007+0.00057284i,-0.00030457+0.00051253i,2.5201e-06+0.00038289i,0.0002101+0.00029973i,-6.7886e-05-8.6213e-06i,-5.6354e-05+0.00015819i,0.00015013-5.4227e-05i
0.00064446+0.0004524i,0.00043264+0.00045835i,0.00047914+0.00056626i,0.00024488+0.00091273i,-0.00015565+0.00093037i,-0.0001309+0.00032779i,2.7074e-05+7.5043e-05i,-0.00012971-4.8545e-05i,0.00026457-0.00043885i,0.00058012-0.00033371i,0.00037969-0.00032431i,-0.00020199+3.6962e-05i,-0.00045805-3.0768e-05i,-1.5439e-05-0.0009171i,0.00023733-0.0011242i,-0.00017946-7.9381e-05i,-0.00064798+0.00061513i,-0.0011973-0.00042502i,-0.00084338-0.0014448i,0.00038783-0.001421i,0.00087702-0.0012257i,0.00067212-0.00075493i,-0.000231-0.00019171i
-0.00061905-0.0018407i,-0.0010313-0.0031063i,-0.0018406-0.0035023i,-0.0022619-0.0020331i,-0.0013299-0.00061621i,4.5374e-05+0.00017796i,0.00074347+0.00024902i,0.0010871+0.00034251i,0.00056601+0.00012643i,-0.00030842+4.0065e-05i,-0.00094198+0.00046012i,-0.00091298+0.00072465i,-0.00081061+0.00083025i,-0.001281+0.0011316i,-0.00065385+0.00097485i,8.4914e-05+0.00011638i,8.5976e-05-0.00037677i,0.0002455+0.00029547i,4.6237e-05+0.00084625i,-0.00017313+0.00057686i,-0.00036222+0.00024529i,-0.00023034-0.0001705i,0.0003808-0.00024024i
0.0020747+0.00096248i,0.0022274+0.00035836i,0.0011898-0.00092097i,0.00045622-0.00040901i,-0.00035819+0.00025068i,-0.0010832-7.1455e-05i,-0.0015626-0.00043386i,-0.0010978-0.00028874i,0.00012337+0.0003762i,0.00063908+0.00096383i,0.00027813+0.00016137i,0.00036724-0.00028824i,-0.00031801-0.00027286i,-0.00056619-0.00089123i,-0.00037096-0.00024508i,-0.00094932+0.00056445i,-0.00074593+0.00033029i,-0.00057211-0.000126i,-0.00090623-0.00049033i,4.9071e-05-0.00068855i,0.00077833-0.000605i,0.00033498-0.00039292i,-0.00011554+5.8284e-05i
-0.0015476-0.0023615i,-0.0028277-0.0003062i,-0.0035115-0.00024144i,-0.0023352-0.0013847i,-0.00074768-0.0013324i,0.00054637-0.00025157i,0.00096021+0.00050583i,0.00066853+0.00057114i,0.0003394+0.00013138i,-0.00015105-0.00022757i,-0.00051766-0.00017461i,-9.6791e-05+0.00032104i,0.00060548+0.00080611i,0.00067748+0.0010494i,0.00018538+0.0009235i,-0.00039272+0.00065745i,0.00013267+1.237e-05i,0.00045879-0.00060372i,0.00030198-0.00053106i,6.1189e-06-5.9468e-05i,-0.00042012-3.0665e-05i,-0.00013722-0.00033882i,0.00023703-0.0006899i
0.00082328-0.00091908i,-0.0011038-0.00046114i,-0.0021351-0.00052294i,-0.0023011-0.001011i,-0.0012334-0.00043948i,0.00044135+0.00039153i,0.00027626+0.00012124i,-0.00010312-0.00011062i,-0.00020879-0.00010688i,-0.00048241-2.6436e-05i,-3.3931e-05-0.00017687i,0.00084992-5.0435e-05i,0.00093283+0.0008637i,0.00055044+0.0004378i,8.3019e-05-0.00075839i,-0.00025815-0.0011337i,-0.00026972-0.00047912i,-0.00039009-0.00040158i,-0.0005132-0.00080509i,-3.8647e-05-0.00068248i,0.0003364-0.000154i,0.00075708+0.00035522i,0.00071366+0.00029416i
-0.0013839-0.001789i,-0.0022055-0.0008647i,-0.0024312-0.00087524i,-0.0012407-0.0007771i,0.00024076+0.00016477i,0.00081648+0.00017679i,0.00088158-0.00076846i,0.00083007-0.0010415i,0.00034702-0.00032701i,8.1352e-06+0.00046538i,-0.00067416+0.0006313i,-0.00018895+0.00013408i,0.00069728-5.5837e-05i,0.00054347-0.00039414i,0.00064445-0.00052342i,0.0010432-0.00021684i,0.0005658-1.5023e-05i,0.00018532+5.3754e-05i,-6.678e-05-0.00076366i,-0.00039287-0.0012012i,-0.00064973-0.00051353i,-9.8755e-05-0.00014834i,0.00022939+0.00061904i
-0.00082331-0.0015926i,-0.0015151-0.00066379i,-0.0018188+0.0014862i,-0.0014001+0.0020246i,-5.79e-05+0.00046887i,0.00033037-0.00010142i,0.00052461+0.00033526i,9.4701e-05+0.00062976i,0.00023478+0.00049576i,0.00093591+0.0013126i,0.00043706+0.0014142i,0.00022059+0.00067039i,0.00085596+0.00040593i,0.0012323-2.0443e-05i,0.001338-0.00024197i,0.0012098-6.5228e-05i,0.0012674-0.00050421i,0.00084525-0.0005854i,-0.00023427-0.0007283i,-0.00072168-0.00085434i,-0.00034455-0.00021449i,-7.624e-05+0.00041618i,0.00044473+0.00061185i
-0.0017911+0.0020538i,-0.001593+0.0011674i,-0.00051485+0.00032276i,7.1512e-05+0.00034624i,-0.00010003+0.00054467i,-0.00020698-0.00076916i,0.00046679-0.0015198i,0.00067264-0.0009537i,0.00057478-0.00057112i,0.0010239-0.00061466i,0.00088499-0.0011117i,0.00020588-0.00099579i,0.00062375-0.00064272i,0.00076459-9.5753e-05i,9.2623e-05+0.00029773i,-0.00021439+4.87e-05i,0.00041165+0.0001832i,0.00090782-2.7486e-05i,0.00038525-0.00049499i,-0.0002612-0.00046425i,-0.00014437+0.0002045i,0.00045943+0.00082314i,0.00016503+0.00024978i
0.0014177-0.0016396i,0.00075549-0.0019693i,0.00047959-0.0025232i,-0.00078854-0.0011018i,-0.0021273-0.00024065i,-0.0013423-0.00035109i,-0.00064983+0.00015848i,-0.00037831+0.0015494i,9.8099e-05+0.001189i,-8.7374e-06-0.00022971i,-0.00093908-0.00054072i,-0.00028708-0.00058466i,2.1298e-05-0.00024853i,-0.00096777-0.00024838i,-0.00081159+0.00012043i,-0.00079883+0.00065353i,-0.00022703+0.00097811i,0.00098994+0.0016679i,8.5607e-05+0.0012881i,-0.00062136+0.00042131i,0.00018688-0.00010625i,2.1288e-05-0.00056471i,-0.00046458-0.00090665i
0.00054184-0.00031134i,-0.0002059-0.00051637i,-0.00054967-0.00022314i,-6.0499e-05-0.00017528i,0.00044506-9.3807e-05i,0.00022229-8.2344e-05i,0.00026956-0.000264i,7.0798e-05-0.00028998i,-5.2031e-05-0.00037167i,0.00049897-0.00012581i,0.00093267+0.00027853i,0.0006411+0.00053094i,-6.6997e-05+0.00033556i,-0.00011378+0.00020415i,0.00048543+0.00072251i,-6.6247e-05+0.0006159i,-0.00048489+0.00036117i,-0.00041182+0.00076451i,-0.00018866+0.0010603i,0.00043116+0.00039933i,0.00042473+0.00018583i,2.4438e-05+0.00046494i,0.00017292+0.00031043i
-0.00066586-0.0015025i,-0.0018908-0.0019356i,-0.0024522-0.0018607i,-0.0023704-0.00076512i,-0.0010178+1.4548e-05i,-0.00025741+0.00048905i,-0.00016174+0.00064621i,0.0003092+0.00064083i,0.00040295+0.00046917i,0.00055811+7.1425e-05i,0.00062246+0.00012408i,0.00088373+0.00086797i,0.0012327+0.0015074i,0.00066786+0.0015486i,8.3046e-05+0.0013047i,0.00010765+0.00018849i,0.00021832-0.00080657i,0.00050242-0.00060815i,0.00086877+0.00053851i,0.00040679+0.00054176i,0.00037809-0.00014498i,3.6461e-05-8.9935e-05i,-0.00026234+2.9204e-05i
-0.00053431+0.0005121i,-0.00074408+0.00089064i,-0.0006187+0.0012353i,-0.0001491+0.0019876i,0.00050802+0.0025168i,0.00047928+0.0016616i,0.00028052+0.00010463i,0.00010508-0.00021188i,0.00019972+0.00044061i,0.00057743+0.00081133i,0.00068898+0.00047156i,0.00080407+1.8782e-05i,0.00069941+6.0172e-05i,0.00060314+0.00021085i,0.00034509+9.7645e-05i,0.00016156+0.00027987i,0.0005308+0.00087357i,0.00044234+0.00064012i,-4.8882e-06-0.00068053i,-0.00016704-0.0011946i,0.00020279-0.0011234i,0.00077784-0.00031723i,0.0012718+0.00029444i
-0.00047524-0.0027224i,-0.0012134-0.002342i,-0.0016291-0.0014554i,-0.00079083-0.0013011i,-0.00045081-0.0002492i,-0.00021285+5.5046e-05i,0.00049277-0.00086952i,0.00027484-0.00091806i,-0.0005223-0.00061667i,-0.00087704-0.00018838i,-0.00078708+0.00021935i,-0.00028543+0.00050318i,7.7325e-05+0.00015655i,0.00059129+0.00044692i,0.00087844+0.0004767i,0.00018142+0.00016942i,-0.00023629+6.6629e-05i,-0.00037881+0.00043221i,-0.0006344+0.00023319i,-0.00013029-0.00014977i,-0.00019083-0.00010159i,-0.00076193-0.00015476i,-0.0004054-0.00019182i
0.0005901-0.00065559i,-0.00048705-0.00071251i,-0.001198-0.00099597i,-0.0013966-0.00020435i,-0.0013224+0.0007685i,-0.00070255+0.00097815i,-0.00023338+0.00022937i,-0.00057243-0.00034537i,-0.0010838-0.00015093i,-0.0011505+0.00037598i,-0.00022181+0.00076338i,0.00018859+0.00037842i,0.0004347+6.453e-05i,0.00048006+0.00061394i,-0.00011097+0.0011974i,-0.0002301+0.00099085i,9.2193e-05+0.00056202i,0.00046359+0.00017611i,0.00080554+0.00051951i,0.00081426+0.00082031i,5.4612e-05+0.000189i,-0.00010188-0.00041055i,-0.00029427-0.00026665i
0.00013629-0.00061494i,-0.00087733-0.0022439i,-0.0014358-0.0024467i,-0.0014239-0.0015684i,-0.00078438-0.0011052i,0.00045167-0.0011967i,0.001421-0.00057227i,0.00114-0.00012044i,0.00069154-0.00028087i,-1.9333e-05-0.00061623i,-0.00023715-0.00070844i,0.00014609-3.0971e-05i,0.00017406+0.00057006i,0.00012998+0.00080223i,-0.00036288+0.0005691i,-0.0004952+0.00068438i,-0.00036548+0.00047615i,-0.00049284+0.00043881i,-0.00024407+0.00051499i,5.3407e-05+0.00033104i,0.0002791+0.00015213i,0.00030431-0.00025626i,-0.00045112-0.00060372i
-0.00025823-0.0019849i,-0.00068241-0.0015631i,-0.00037304-0.0011881i,0.00025718-3.7612e-06i,4.1018e-05+0.0014139i,-0.00016282+0.0020145i,0.00039454+0.0012201i,0.00054601-0.00020332i,-0.00021022-0.00091153i,-0.00078932+0.00012461i,-0.001366+0.0010736i,-0.0012958+0.0011144i,-0.00032248+0.0009339i,0.0011324+0.0012184i,0.0009057+0.0012415i,0.00036511+0.00044168i,0.00065944+0.00060497i,5.3251e-05+0.0011264i,-0.00056138+0.00026932i,-0.00072954+0.00022436i,-0.00038314+0.00054095i,0.0001573-0.00051999i,0.00037507-0.00068084i
-0.0015395-0.0016932i,-0.0023508-0.0020684i,-0.002506-0.001947i,-0.0011782-0.00097726i,-0.00018901-0.00047597i,-0.00054194-0.00089291i,-0.00064185-0.0012529i,-0.00014895-0.00061073i,0.00056735+0.00038734i,0.00087829-0.00018374i,0.00048254-0.00058613i,0.00020235-0.00023916i,9.435e-05-4.9117e-05i,-0.00012176+8.2882e-05i,-0.00025989-0.00023957i,-8.6664e-05-0.00081757i,0.00040166-0.0010668i,0.00065134-0.0013992i,0.0001714-0.0014223i,-0.00045285-0.0007007i,-0.00075233-0.00063983i,-0.00058898-0.0003601i,-0.00010307+0.0004986i
-0.001046+0.00073445i,-0.0011527+0.00086556i,-0.00045458+0.00072397i,7.8323e-05+0.0010617i,0.00036881+0.00080573i,0.00088231+0.00022667i,0.00026252+0.00015211i,-0.00034819-0.00017063i,5.5667e-05-0.00030352i,0.00066251+9.3908e-05i,0.00047871-3.961e-05i,0.00034465-0.00065834i,0.00085681-0.00028876i,0.0011829+0.0004593i,0.00087335+0.00070421i,0.00084074+0.00042378i,0.00068049+0.00047362i,-8.8307e-05+0.0009966i,-0.00040422+0.00061822i,-0.00084703-0.00024926i,-0.00051135-0.0012261i,0.00017053-0.0014909i,0.00022254-0.00095365i
-0.0014868-0.0016013i,-0.0010883-0.0014239i,-0.0012024-0.00014145i,-0.00082332+0.00043118i,0.00026664-4.0113e-05i,0.0005099-5.7267e-05i,0.00022327-0.00030692i,0.00032297-0.00046762i,-8.862e-05-0.00022872i,0.00012433-0.00014121i,0.00081884+0.00031979i,0.0012232+0.00066163i,0.00085153+0.00089259i,0.00035992+0.00073954i,0.00036581+0.00020226i,-9.3307e-06+0.00028641i,6.5533e-05+0.00036586i,3.1068e-05+3.0844e-05i,-0.00028444+0.00025636i,-0.00011468+0.00014008i,-0.00012404-0.0010836i,-2.3068e-06-0.0009734i,-0.00054399-0.00037276i
