-0.0053319+0.0014333i,-0.0037188+0.0016154i,-0.0036229+0.0033886i,-0.001893+0.0029083i,-0.00053659+0.0028162i,-0.0012433+0.003001i,-0.0012604+0.0024373i,0.00076432+0.0013523i,0.0015181+0.0010026i,0.0016963+0.0012902i,0.0016905+0.0012399i,0.00050813+0.00034836i,0.0007692-0.0004316i,0.0015188+0.00035862i,0.00079363+0.00086167i,-2.4906e-05+0.0005238i,-0.00055771+0.00055964i,-0.00089712+2.8191e-05i,-0.00067712-0.00017967i,-8.4652e-05+0.00034504i,0.00030325+0.00030226i,0.00093738-0.00024417i,0.00089502-0.00032817i
-0.00097475-0.0012642i,-0.0013915-0.00021337i,-0.0014982-0.00041102i,-0.00076143-0.00075913i,-0.00060079-0.0002895i,-0.00028669-0.00013373i,0.00017529-0.00074194i,0.00042367-0.00079938i,0.0010567-0.00040334i,0.0014452+0.0003391i,0.00087338+0.00059945i,4.5965e-05+0.00066693i,-0.00038401+0.00068253i,-0.00013254-0.00068639i,0.00034569-0.00093751i,0.00018465+0.00060272i,-6.4392e-05+0.0010927i,0.00021546-6.7126e-06i,0.0010056-0.00022662i,0.00074336-0.00010642i,-5.5698e-05-0.0001733i,0.00030161-0.00037992i,0.00078738+6.3695e-05i
-0.00070931+0.0016345i,0.00028101+0.0017695i,0.00059481+0.0019989i,0.00066722+0.0014069i,0.00044297+7.6103e-05i,-0.00037029-0.00020301i,-0.0010977+0.0007213i,-0.00052947+0.0013092i,-0.00038861+0.00093224i,-0.00083548+0.0002731i,-0.00029903-0.00059541i,8.1413e-05-0.00094554i,0.00040051-0.00083164i,0.0008914-0.00057846i,0.00093134+5.6954e-05i,0.0005077+0.00016872i,0.00011658-5.2223e-05i,-0.00050752+0.00035956i,-0.00051405+0.00094658i,6.6197e-05+0.0010015i,0.0001349+0.00028723i,-0.00017957-0.000331i,-0.00034353-0.00048765i
0.00024642-0.00044987i,0.00033829-5.5476e-05i,0.00042196-0.0013295i,0.00025422-0.0017031i,-0.00027356-0.0011965i,-0.00071291-0.00018627i,-8.1954e-05+0.0010233i,0.00043269+0.0015006i,-0.00016437+0.001031i,-0.00041152+0.00030029i,0.00022608-1.5112e-05i,-2.7607e-05-0.00011605i,-5.6293e-05+8.3147e-05i,0.00023692+0.00048795i,-0.00027354+0.00023495i,-0.00012829+0.00020543i,-5.259e-07+0.00045964i,0.00046126+0.00057731i,0.0002846+0.00072476i,-0.00021396+0.00074501i,-0.00019096+0.00056599i,-0.00037117+0.00041017i,-0.00041894+0.00012653i
0.00012411+0.0011824i,-0.00017034+0.0013533i,2.8888e-05+0.00065926i,0.0011694+0.00034507i,0.0011266+0.00021086i,0.00035126-0.00021569i,0.00023161-0.0009794i,0.00061271-0.0012751i,0.00055756-0.0007295i,0.0002543-0.00053883i,0.00054189-0.00083861i,0.00090175-0.00074925i,0.00056316-0.00054354i,-0.00028697-0.0010066i,0.00024409-0.00080933i,0.00093361-0.00075699i,0.00011065-2.9561e-06i,-0.00019854+0.00027134i,-0.00026319+0.00013236i,-0.00044892-0.00040733i,-0.00031593-0.00038838i,-0.00011522+0.00049407i,0.00010163+0.00044309i
0.00092437+0.00016351i,0.0014149-0.00061113i,0.0017682-0.00069559i,0.00054844-0.00066715i,-0.00072073-0.00022499i,-0.00080298+9.5026e-05i,1.2273e-05-0.00040468i,0.00080608-6.9925e-05i,0.0010767+0.00062425i,0.00052967+0.00042171i,-0.00037451-0.00058828i,-0.00098346-0.0010728i,-0.00028885-0.0011297i,0.00026849-0.001232i,7.9692e-05-0.00020054i,-2.8857e-05+0.00033565i,-0.00025354+6.681e-05i,6.2748e-05+0.00050989i,0.0001666+0.00040696i,-0.00018544-0.00023034i,-0.00071989-0.00024201i,-0.00092008-0.0004066i,-0.0010736-0.00047837i
-0.0011708-0.0009982i,-0.0011315-0.00045713i,-0.00077573+0.00042784i,0.00015257+0.00031577i,0.00064493-0.0006403i,0.00049631-0.00066509i,0.00049388+0.00034338i,0.00012147+0.00096474i,8.532e-05+0.00057566i,0.00038694+0.00039093i,0.00017758+0.00090773i,0.00036637+0.00070367i,0.00080286-5.1271e-05i,0.0005862+0.00011138i,0.00029934+0.00085863i,0.00060664+0.00040384i,0.00076268-0.00051979i,0.00082737-0.00036179i,0.00076194+0.00021787i,0.00031103+0.00039572i,0.00043487+0.00018986i,0.00059981+0.0004853i,0.0011358+0.00029041i
0.0001198-0.0011644i,-3.5777e-05-0.00042954i,0.0002967+7.3175e-05i,0.00015403-0.00026843i,-0.00058777-0.00032533i,-0.00043444-8.7278e-06i,9.1872e-05+0.00034409i,0.00070715+0.00093642i,0.00084345+0.00019754i,0.0005814-0.00066966i,0.00063254-0.00062963i,0.0003003-0.00073649i,-0.00029164-0.00016314i,-0.00085971+0.00055778i,-0.00062513+0.00048054i,-0.00011533+0.00048685i,-0.00074414+0.00067982i,-0.0007985+0.00051333i,0.00024859+3.6342e-05i,0.0015512-0.00015454i,0.0016452+0.00031749i,0.0006134+0.00057429i,0.00029298-0.00049478i
0.00093455+6.2169e-05i,0.0013299+0.00061965i,0.0028617+0.0011084i,0.0030383+5.5796e-05i,0.001412-0.00094385i,-9.0911e-05-0.00039264i,5.0737e-05+0.00039164i,0.00044666+0.00028265i,0.00024413-9.9695e-06i,0.00034963+0.00035774i,0.00028945+0.00039897i,6.6509e-05+7.0758e-05i,0.00035653-0.00015994i,-4.9989e-05-0.00026408i,-0.00022047-0.00017748i,0.00012334-0.0010053i,0.00058484-0.00077461i,0.00042623-0.00014826i,-0.00015306-0.00032337i,-0.00041377+0.00011053i,-0.00085786+0.0002147i,-0.00081939-1.3514e-05i,0.00036622-0.00016895i
-0.00021651+0.0010249i,0.00023663+0.0015245i,0.00053107+0.0015807i,0.0010642+0.00037474i,0.0013723-0.00028493i,0.00036415+0.00011345i,0.00013251+0.00033675i,1.8487e-08+0.00026008i,-0.00073816-4.056e-05i,-0.00028552-0.00028331i,-2.2235e-05-0.00074281i,-0.00018123-0.001195i,-0.00011798-0.00020718i,-0.00011091+0.00068479i,-0.00012479+0.00065652i,0.00011065+0.00019739i,0.00065408-3.9136e-05i,0.00093797-0.00038654i,0.00036947-0.00092477i,8.6067e-05-0.00087274i,0.00030993-3.7183e-05i,0.00010612+0.00030129i,0.00038025+0.00010841i
-0.00062608+0.00014897i,-8.1782e-05-0.00019176i,0.00058797+0.00042034i,0.0010863+7.7474e-05i,0.0015786-0.0011678i,0.0010579-0.0011283i,-7.7091e-05-0.0010811i,6.0038e-05-0.0012886i,0.00034046-0.00087176i,0.00038379-3.9526e-05i,0.00045966+0.00050641i,0.00061465+0.00015838i,0.00058593-4.7083e-05i,0.00046023-3.8208e-05i,0.00025582-0.00035334i,0.00022355-0.00049019i,-0.0001451-0.00028136i,-0.00027717+0.00027714i,0.00015286+0.00020282i,-0.00036463-0.00034046i,-0.0006216-0.00069323i,-1.0004e-05-0.0001088i,0.00047176+0.00087096i
0.00041004-0.0016063i,0.00023766-0.0010451i,-7.8212e-06-0.0007685i,-0.00031102-0.0011765i,-0.0010832-0.0016077i,-0.0006846-0.00047704i,0.00076084+8.4529e-05i,0.0011999-0.00041216i,0.00043852-0.00084733i,-0.00013747-0.0010291i,0.00028909-0.00047258i,0.00093723+0.00020928i,0.0010424+0.00029766i,0.0004393+0.00014067i,-0.00011395+8.0502e-05i,0.00020643+0.00018088i,0.0003583+0.00059294i,0.00032797+0.00010122i,0.00027456-0.00049817i,-0.00031491-0.00015751i,-0.00013292+0.00037956i,0.00033166+0.00040622i,0.00053213+0.00022546i
0.00057689-0.0011407i,-5.9339e-05-0.00063432i,7.7176e-08-0.00056539i,0.00010404+0.00017575i,-0.00023842+0.00041709i,-0.00035821+0.00029923i,0.00038986+0.0002949i,0.00069066+4.6626e-05i,0.00010407-0.00016461i,-0.00024265-0.00092923i,0.00036622-0.00065804i,0.00064232-2.2315e-05i,4.6559e-05-0.00035316i,-0.00019438-0.00062606i,-1.7366e-05-0.00013726i,-0.00036469+0.00046488i,0.00024315+0.0010519i,0.0010823+0.0014018i,0.00039201+0.0011748i,-0.00028394+0.0003277i,0.00036088-0.00054072i,0.0011199-0.00020442i,0.0010082+8.1338e-05i
-0.0002944-0.00044969i,6.6354e-06-0.00029063i,9.4186e-05-0.00034613i,0.00016691-0.00049331i,-0.00050886-0.00099559i,-0.0011672-0.00035233i,-0.00042379+0.00074117i,-2.8333e-05-6.2364e-05i,-0.00020837-0.00092608i,-0.00016808-0.0004684i,-0.00016779-0.00035544i,-0.00010191-0.00020266i,0.00022608+0.0001343i,0.00010297-7.2325e-05i,1.614e-06-0.00033416i,0.00010141-0.00032519i,-7.5517e-05-9.0124e-05i,-0.00044504-0.0003064i,0.00012829-0.00076711i,0.00049452-0.0010299i,0.00021244-0.00038678i,-0.00020944+0.00043647i,-0.00052437+0.00095032i
-8.0702e-05+0.00048042i,-5.0391e-07+0.00030978i,0.00051288+0.00076735i,0.00040492+0.00040445i,0.00055957-0.00083428i,0.00040824-0.00055886i,1.0335e-05+0.00043129i,-0.00012007+9.5137e-05i,-0.00047873-0.00028888i,-0.00015533-0.00049868i,0.00066297-0.00040839i,0.00019211-0.00042778i,-1.5809e-05-5.2227e-05i,0.0001677+0.0010128i,-0.0005082+0.00087816i,-0.00050789+0.00038546i,0.00067384-0.00016866i,0.0010058-0.00016591i,0.0010345+0.00039473i,0.00094412+0.00032654i,0.00091627+1.2024e-05i,0.00083678+8.9336e-05i,0.00035955-6.1738e-05i
-0.00042416-0.0010148i,-0.00074998-0.00027568i,-0.00075272-0.00049923i,-0.00089214-0.00043208i,-0.0016423-0.00029992i,-0.0022474-0.00024753i,-0.0011394+0.00032167i,-2.8023e-05+0.000246i,-0.00027937-0.00019254i,-0.0007838-5.7853e-05i,-0.00063307+4.7708e-05i,-0.00020373+0.00045906i,-3.7366e-05+0.0010514i,-0.00050617+0.0014545i,-0.00070893+0.0016393i,-0.00026146+0.0011499i,0.00028544+0.00013509i,0.00067409-0.00018388i,0.00021421-0.00026876i,-0.00018748-0.00096428i,0.00011225-0.00048401i,-0.00022088+0.00054989i,-0.00028016+0.00050578i
-0.00085684+3.3048e-05i,4.7595e-05+0.00095549i,-7.5801e-05+0.0012335i,-0.00034726-0.00016917i,-9.5186e-05-0.001035i,2.6955e-05+6.8243e-05i,0.00030727+0.00091325i,0.00087849+0.00054135i,0.0010556+0.00021828i,0.0010595+0.00039903i,0.0014986+0.00028991i,0.0011723+1.7897e-05i,0.00078707-0.00021595i,0.00078259+5.735e-05i,0.0007641+0.0002205i,0.00070631+8.4474e-05i,-0.00015441-0.00046358i,-0.00086619-0.0005544i,-0.00050237-5.1575e-05i,-0.00014288-4.0572e-05i,-0.0001682+0.0002567i,-8.5319e-05+0.00088091i,0.00011123+0.0014883i
0.0013244-0.00025139i,-3.3273e-05+0.00044965i,-0.00038126-0.00065613i,-0.00045249-0.0016553i,-0.0013425-0.0011554i,-0.0017888-0.00055597i,-0.0006275-0.0001902i,0.00076484-0.00029151i,0.00089219-0.00038878i,0.00035776-0.00067735i,0.00024154-0.0014454i,0.00047285-0.00075801i,0.00032102-0.00016785i,-1.0268e-05-0.00017592i,-0.00020826+0.00016827i,0.00041004+0.00050931i,0.00048385+0.00030179i,-0.00051317-0.00038243i,-0.00073989-0.00049529i,0.00013134-0.00020562i,0.00044343+0.00044284i,0.00055834+0.0010302i,0.00053201+0.00066271i
0.00056801+0.00043782i,0.0016722+0.00040626i,0.0015877+0.0011685i,0.0012647+0.00090428i,0.00076811-0.00055775i,0.00093344-0.00030233i,0.0013744+0.00022978i,0.0012733-0.00048787i,0.00062201-0.00090185i,0.00033545-0.00047476i,0.00045067-0.00087929i,0.00046656-0.0012848i,0.00067317-5.4195e-06i,0.00094116+0.00043098i,0.00043708+0.00019185i,-0.00041981-1.4838e-05i,-0.000377-0.00017819i,-0.0004576+0.00016547i,-0.00050778+0.00030276i,-0.0001142+0.00069013i,0.00012542+0.00019775i,0.0002909-0.00061063i,0.00028263-0.00026982i
-0.00013714+0.00041261i,0.00035957+0.00021161i,-0.00020086-4.411e-05i,-0.00080167-7.4e-05i,-0.0012666+0.00027897i,-0.0010084+0.00070391i,-0.00029036+0.00058305i,0.00062982+0.00032048i,0.0010198-9.1395e-06i,0.00050507+0.00017593i,-0.00011663+0.00088948i,-2.4333e-05-3.9535e-05i,7.4129e-05-0.0011695i,0.00021005-0.000506i,-7.03e-05+0.0001936i,0.00023856+0.00024581i,0.00066627+0.00033214i,0.0006007+0.00037421i,-0.00021153+0.00028045i,-0.00085787-0.00030746i,-0.00016322-0.0012655i,-0.00043398-0.00096212i,-0.00070511-9.8032e-05i
-0.0001117-0.00070001i,4.9933e-05+0.0002181i,0.0011696+0.0007345i,0.0016381+0.00021904i,0.00039316-3.8183e-05i,-0.00018791+3.9783e-05i,0.00059922+0.0001357i,0.00063344+0.00032339i,0.00044295+0.00017326i,0.00077033+0.00013919i,0.00076609+0.0003586i,0.00083922-4.4904e-06i,0.0010502-0.00077921i,0.00069992-0.00084802i,0.00025239-0.00030799i,-9.0054e-05+0.00033318i,-6.6408e-05+0.00052132i,-9.5135e-05+0.00049155i,5.8233e-05-7.7946e-06i,-0.00024341-0.00050263i,-0.0005376+0.00010827i,-0.00048207+0.00090965i,-0.00078454+8.9389e-05i
-0.0010606-0.0006737i,-0.00028536-0.00056391i,0.00039452+0.0001498i,0.00038419+3.7549e-06i,0.00071826-0.00083323i,-0.00019509-0.0010245i,-0.00070924-0.00037229i,0.00016234+0.00076103i,0.00038386+0.0014269i,-0.00061797+0.00011772i,-0.00072096-0.00043105i,-0.00043558+0.00021708i,-0.00076561+0.00029408i,-0.00067901+0.00057425i,-0.00039212+0.00051966i,-0.00080924-0.00043193i,-0.00071942+0.00016028i,9.758e-05+0.0010979i,0.00087488+0.00060173i,0.00085168+0.00094097i,0.00025156+0.0018856i,-0.00021089+0.00092692i,-0.00016097-0.00035595i
0.0010365+0.00024973i,6.2632e-05+0.00010108i,-0.00045067+0.0001154i,2.4406e-06+7.9838e-06i,-0.00035476-0.00017196i,-0.0004805+0.00011149i,0.00047043+0.00064396i,0.0010648+0.00029871i,0.00056163+0.00010612i,7.3602e-05-3.0503e-05i,-0.00025082-0.00039313i,-0.00028505-0.00068706i,0.0003071-0.00036991i,0.00028913+0.00085622i,4.9455e-05+0.00074422i,-1.9381e-05-0.00041505i,4.2341e-05-0.00038612i,0.00059312+0.00030029i,0.00098416+4.9256e-05i,0.00042983-6.3031e-05i,0.00019188+0.00031276i,0.00037365+0.00070388i,-0.00020842+0.0010171i
-0.00033626-0.0013556i,-0.00040073-0.00072463i,-0.00097456-0.00071541i,-0.0016673-0.00029517i,-0.0015215+2.3424e-05i,-0.0013864+0.00053621i,-0.0011061+0.00033423i,-0.0001259-0.00085733i,0.00037315-0.00083456i,0.00019375-0.00060519i,3.54e-05-2.9981e-05i,0.00026012+0.000598i,0.00063371-5.8945e-05i,0.00078344-2.0692e-05i,0.00046237+5.9774e-06i,0.0001507-0.00087698i,-0.00010978-0.00066836i,-0.00041216+0.00037704i,3.1932e-05+0.0010025i,-4.2087e-05+0.00063049i,-0.00052315+0.00011755i,0.00014604+0.00014035i,0.00042326+0.00054786i
0.0011834+0.00050259i,0.0015893+0.00042516i,0.0012637+0.00042242i,0.00072803+0.00014023i,-0.00056772-0.00042584i,-0.00065264-0.00081499i,8.3722e-05-0.00088272i,-5.429e-05-0.001053i,-8.2423e-05-0.0012622i,4.8668e-05-0.00044762i,0.00022388-0.00022905i,0.00021657-0.0010984i,0.00046046-0.00098845i,0.000807-0.00014101i,0.00051362+0.00013471i,-0.00014009+0.00010664i,-0.00016677+0.00035152i,-0.00067917-1.5238e-05i,-0.0008945+0.00010288i,-0.0003418+0.0001436i,6.485e-06+1.8079e-06i,-0.00030624+0.00014636i,-0.0011424-0.00011208i
0.0012163+0.00034965i,0.0014418-0.00035393i,0.0022752-0.0015549i,0.0017088-0.0023778i,0.00041556-0.0014024i,-0.00074197-4.9647e-05i,-0.00070834+0.0010559i,0.00017293+0.0013888i,0.00041488+0.0004091i,-0.0004328-0.00051856i,-0.00089985-9.2452e-05i,4.8406e-05+0.00031533i,0.00035178-0.00023737i,0.00054289-2.2504e-05i,0.00045065+0.0001308i,-0.00018354-0.00061181i,-0.00028882-0.00039096i,-0.00011861+0.0002716i,0.00068585+0.00075565i,0.0012288+0.00068154i,0.0010553+0.00027282i,0.00031448+0.00076844i,-0.0011284+0.00079463i
0.0014032-0.0012886i,0.0013856-0.0008762i,0.0010158-0.0011223i,-0.00054612-0.00091406i,-0.0012157-0.00062218i,-0.00089675-0.00032313i,-0.00061454+0.00011809i,-2.3878e-05+0.00036839i,-0.00010636-0.0002864i,-0.00081828-0.00036497i,-0.00052888+0.0003146i,-0.0005008+0.00043758i,-0.00056956+0.00053054i,-0.00023209+0.00047991i,0.0001833+0.00033113i,0.00054486+0.00015893i,0.0010229+2.4091e-05i,0.00099922+7.9016e-05i,0.00087248-6.8541e-05i,0.00108+1.2439e-05i,0.0010783+0.00046905i,0.00047145+0.00047416i,-2.1885e-05-0.00010168i
-0.00075106-1.0174e-05i,-0.00044687+0.0010303i,-0.0012101+0.00049037i,-0.00046987-0.00019327i,0.00077812-0.001231i,0.00074838-0.0013447i,5.0463e-05-0.0001231i,-0.00011084+0.00024916i,-0.00040096+0.00029542i,-0.00043587+0.00010174i,-2.9621e-05+0.00010161i,-5.7291e-05+0.00054745i,-0.00085649+0.00071184i,-0.0010997-3.4857e-05i,-0.00049925-0.00030185i,-0.00013135+0.00019431i,0.00054646+0.00051354i,0.00048309+0.0011027i,-0.00044285+0.00097135i,-0.0004565+0.00023159i,0.00021827-0.00011421i,6.5952e-05+4.2727e-05i,0.00013819-0.00010074i
0.0016428+5.0207e-05i,0.00097836-0.00030534i,-3.9567e-05+1.628e-05i,-0.00019321-0.0008551i,-0.00042572-0.0019115i,8.0574e-06-0.00066184i,0.00019485+4.2047e-05i,-0.00044292-0.00038293i,-0.00015382-0.00075776i,0.0007652-0.00062355i,0.00091236+0.00032893i,0.00036945-0.00014152i,0.00021283-0.00042153i,-0.00039594+0.00059965i,-0.00037266+0.00094974i,0.00022146+0.0005806i,0.0003111+0.00032507i,0.000804-6.0655e-06i,0.0011478-0.00034048i,0.00088336-0.00061421i,0.00015556-7.7334e-05i,-3.9065e-05-2.7649e-05i,-0.00019249-0.00056884i
0.0022983-0.00013567i,0.0018622-0.0010228i,0.0021699-0.0022993i,0.0011703-0.0029443i,-7.081e-05-0.0021663i,-0.00013211-0.0014139i,-0.00017711-0.001169i,0.00010878-0.00052795i,-7.2654e-05-0.00072576i,-0.00062368-0.0013316i,-0.00046928-0.001119i,-0.00017706-0.00029082i,-0.00032106-0.00018818i,-0.00020444-0.00047214i,0.00026611-0.00083228i,0.00042556-0.00013855i,0.00024188+0.00033432i,4.746e-05+0.00054484i,-0.0003147+0.0011677i,0.00033373+0.00073944i,0.00053961-4.9666e-05i,0.00035497-0.00047021i,0.0002567-0.00036015i
0.001968-0.0010047i,0.00036382-0.00021537i,-0.00013448-0.00011456i,-2.9458e-05-0.00043365i,-0.00070673-0.0010893i,-0.0011024-0.00014098i,-0.00073237+0.00066743i,0.00017925-2.7904e-06i,0.00032961-0.00063181i,0.0007892-0.00072734i,0.00029824-0.00077204i,5.8451e-05-0.00064096i,0.00057857-0.00013722i,0.00099663-0.00025977i,0.00065561-0.00058475i,-0.0007711-0.0010123i,-0.0014896-0.0010778i,-0.0012613-0.0011251i,-0.00072113-0.00050319i,-0.000308+0.0002792i,-8.2569e-05+0.0004866i,0.00034507+8.4748e-05i,0.00054336-0.00016413i
-0.0011607+0.0020164i,0.00057753+0.0017891i,0.002033+0.00058555i,0.0020492-0.00079456i,0.0016105-0.0012079i,0.0010674-0.0013756i,0.00031994-0.001738i,-0.00014093-0.0011037i,-9.6268e-05-2.3878e-05i,0.00025362+0.0002545i,0.00033197-0.00061673i,0.00027597-0.0010722i,0.00016685-0.0012097i,-9.2256e-05-0.00060365i,-0.00019541+3.2325e-05i,-0.00041323+0.00022768i,0.00025543+0.00040162i,-2.4457e-05+0.00068827i,-0.00053894+0.00032694i,-0.0003375-0.00024699i,-0.00017847-0.00050303i,8.9015e-05-0.00075499i,-0.00013444-0.00043174i
