-0.00060246+0.00039299i,0.00011104-0.0005721i,-0.00086197-0.00029731i,-0.0010896+0.00049031i,-0.00065182+0.00068708i,-0.00033463+0.00078579i,-0.00083063+0.0016145i,-0.00029871+0.0015577i,0.0012201+0.00087421i,0.0017547+0.00074309i,0.0016669+0.00056942i,0.00089168-0.00045183i,1.1447e-05-0.00096752i,-0.00045608-0.00029931i,-0.00024655-0.00012339i,-0.00026141-9.36e-05i,-0.0010279+0.00012328i,-0.0010892+0.00069135i,-0.00036226+0.00090426i,-0.00032589+0.00048087i,-0.00017224-0.00015542i,-0.00017356-0.00016522i,-0.00049319+1.9933e-05i
-0.00063222+0.00089062i,-0.00029308-0.00048111i,-0.00055839-0.0009598i,-0.00070858-0.00048233i,-0.00078387+0.00017052i,2.6184e-05-0.00043072i,7.8867e-05-0.0011663i,-0.0004668-0.0011699i,-0.0011207-0.00048578i,-0.0009634+0.00018218i,0.00062286+9.3945e-05i,0.00080367-0.00053323i,0.00041327-0.00069598i,5.2021e-05-0.00042028i,-0.00030945+0.00022477i,-0.00038993+0.00078127i,-0.00054382+1.9497e-05i,-0.0002996-0.00065156i,0.00025311-0.00010378i,0.0010622-3.0979e-05i,0.00052786-0.0004679i,-0.00065714-0.00023943i,-0.00046299+7.9173e-05i
-0.0015866+0.00083346i,-0.0012325+0.00068193i,-0.00020418+0.0014169i,0.0017771+0.0018419i,0.0020638+0.0015426i,0.0011053+0.00061195i,0.00081923-0.00031472i,-0.00022352-0.00059263i,-0.0014079+0.00020269i,-0.0010427+0.00089541i,-0.00066549+0.00049661i,-4.367e-05+0.00062927i,-0.00013887+0.00052871i,-0.00053367-0.00040193i,0.00012421-0.00030406i,-3.4981e-05+0.00020865i,0.00016982-0.00025658i,0.00055143-0.00032457i,1.0254e-05-0.00055459i,-0.00019133-0.00081093i,-8.9646e-05-0.00012045i,-0.00037461+0.00045586i,-0.00024842+0.00036644i
0.001204+0.00019423i,0.00090779+6.4962e-06i,-0.00011701+0.00023843i,0.00020439+0.00041306i,0.00064662-0.00051787i,0.00018055-0.0012835i,-0.00010332-0.00059638i,-0.00047037+0.00026342i,-0.00083691+0.00014214i,-0.00049215+0.00018738i,2.4509e-05-0.00016255i,0.00043087-0.00072166i,0.00023924-0.0005482i,0.00043958-0.00031582i,0.00093113+0.00022822i,0.00056902+0.00037491i,0.0010156+0.00030198i,0.0010459+3.2636e-05i,-7.8619e-06-0.0002689i,-0.00027552+3.3862e-05i,-0.00054983+0.00068356i,-0.00043024+0.00067467i,0.00018274+9.1235e-05i
0.00014742-0.00095559i,-0.00089327-0.0014321i,-0.0010415-0.0017522i,-0.00097817-0.0015566i,-0.00063242-0.0007434i,0.00012449-0.00065393i,-0.00046275-0.00054404i,-0.00036619+0.000306i,-4.2561e-05-5.1878e-05i,-0.00041443-0.00027658i,8.4796e-05+0.0004032i,0.00093144+0.0015137i,0.00085152+0.0020194i,0.00062599+0.0019089i,0.00044769+0.00092562i,6.9323e-05-0.00012875i,-8.3314e-05-0.00032598i,1.6373e-05-0.00060841i,0.00026345-0.00074732i,0.00063519-6.235e-05i,0.00030012+0.00010895i,-0.00029842-0.00028931i,-0.00095779+8.4372e-05i
-0.00065851+0.00010017i,0.00010608+7.8401e-05i,0.0012494+0.0011141i,0.00192+0.0014247i,0.0021348+0.00046404i,0.0017169-5.3741e-05i,0.00024383-0.00020415i,-0.00048374-0.0007005i,-0.00052003-0.00015418i,9.9823e-05+0.00062228i,0.00082403+0.00043981i,0.00078039-4.5253e-05i,0.00048328-0.00071435i,0.00011512-0.0011537i,-0.00040133-0.00094395i,-0.00036351-0.00074126i,-0.00045551-0.00076232i,-0.00054149-0.00093187i,-0.00014713-0.00068616i,-1.5112e-05-0.00062066i,0.000826-0.00062881i,0.0011831-0.00013873i,0.00022498-0.00018745i
0.00077749+2.7347e-05i,-0.00054485+0.00047827i,-0.0013476+0.0013108i,-0.00035124+0.00066051i,0.0010604-0.00077049i,0.0012203-0.00087984i,0.00022118-0.00076001i,-0.00046333-0.000394i,-2.7198e-06+0.00028419i,0.00077618+0.0003884i,0.00070896-0.00038713i,0.0003259-0.0007502i,-0.00039505-0.00064116i,-0.00068151-0.00033811i,-6.084e-05+0.00018024i,0.00067504+0.00012633i,0.00086287+0.0001927i,1.4478e-05+0.00035277i,-0.00081663-6.9809e-05i,-0.00049426-0.00038552i,6.5125e-05-0.00061328i,0.00075587-0.00033153i,0.00087834+0.00022362i
0.00080376-0.00087739i,-0.00033587-0.0014564i,-0.00094847-0.001802i,-2.3484e-05-0.00075864i,0.0004853+0.00013164i,9.3517e-05+0.00047222i,0.00010161+8.8046e-05i,0.00035424-0.00045216i,0.00062775-0.00012131i,0.00015531-9.2928e-05i,1.2676e-05-0.00015025i,0.00027637+0.00052703i,0.00025555+0.00075306i,0.00041354+0.00046825i,0.0003432+0.00091823i,0.00026175+0.00076646i,0.00044855+0.00020099i,0.00040955-0.00050561i,8.4258e-05-0.00094079i,-0.00016578-0.00096162i,-7.562e-06-0.00020522i,0.00013023+0.00055401i,-0.00029248+0.00043019i
-0.00066214-0.00048791i,-0.00038981-4.4324e-05i,-0.00021087+0.0005061i,-0.00015353+0.00070134i,-0.00017803+0.00070182i,-0.00023814+0.00030288i,0.00022813+0.00018285i,0.00067969+7.9067e-05i,1.6991e-05-0.00017209i,-0.0006031+0.00024958i,-0.00066201+0.00045935i,-3.2917e-05-0.00037859i,0.00040876-0.00057398i,7.6225e-05-0.00027351i,-0.00035803-0.00015555i,-0.00033828+0.00016945i,9.1865e-05+0.00064725i,-0.00034939+0.0004506i,-0.0011231-0.00023288i,-0.00060404+2.9956e-05i,0.00045871+0.00027834i,0.00016729-0.00020541i,-0.00061929-0.00020359i
-0.0019588+0.00097913i,-0.0015047+0.0019579i,-0.0013637+0.0025053i,-0.00019577+0.0026532i,0.0012429+0.0013002i,0.0014981-1.6889e-05i,5.2942e-05-0.0004691i,-0.0004362-7.238e-05i,-0.00038491+0.00015852i,-6.3274e-05-3.2645e-06i,0.0013089-0.00015639i,0.001482-0.0002159i,0.0010098-0.00037394i,0.00025871-0.00038513i,-0.00031362-0.00047965i,0.00040982-0.00086858i,0.00094181-0.0011211i,0.0011379-0.00030563i,0.001192+0.00010111i,0.0011822+0.00020043i,0.00095054+0.0009162i,0.00050067+0.00086651i,0.00056587+0.00046773i
-0.00024728-0.0013071i,-4.9181e-05-0.0010031i,0.00059829-0.0017474i,9.9145e-05-0.0021694i,0.00020532-0.0018336i,0.0014869-0.0015956i,0.0014653-0.00053534i,0.00068114+0.0002481i,-0.00064753+0.0001614i,-0.0013404+0.00022481i,-0.00050105-4.4874e-05i,0.00018521-0.00011311i,5.3943e-05+0.00055857i,0.00045622+3.5082e-05i,0.00034895-0.00091551i,-0.00071267-0.00052556i,-0.0011003-0.00013604i,-0.0011449+0.00027091i,-0.00085569+0.00050871i,-0.00029992+0.00051602i,0.00028301+0.0010066i,0.00058677+0.0010452i,0.00049521+0.0001802i
-0.001974-5.8043e-05i,-0.00064816-0.00041441i,0.00013069-0.00045921i,0.00020643-0.00033974i,0.00041098+4.6043e-06i,0.00024084+1.8554e-05i,-0.00017751-0.00054619i,-0.00035124-0.001217i,-0.00011684-0.001321i,-0.00038945-6.9703e-05i,-5.8604e-06+0.0011062i,0.00056477+0.00040365i,0.00015727-0.00064113i,-0.00080785-5.7687e-05i,-0.0010501+0.00028216i,-6.4899e-05-0.00033757i,0.00056567-1.9905e-05i,0.00046547+0.00036688i,0.00057822+0.00047171i,-0.00030752-0.00015721i,-0.0011327-0.00021885i,-0.00125+0.00039867i,-0.00092422+0.00045653i
0.0007586+0.00065661i,0.0011112+0.0011825i,0.0015786+0.0019964i,0.0013757+0.0016155i,0.0014912+0.00061125i,0.00088836+0.00011574i,0.00012223+0.00018505i,0.00010718-5.4397e-05i,0.00010519+7.3999e-05i,-2.0995e-05-0.00020815i,0.00013963-0.00044246i,0.00082575-9.5718e-05i,0.00099494+0.00021132i,0.00015284-0.00014616i,-0.0003857-0.00026162i,-0.0003212-0.00047868i,-0.00013488-0.00074323i,0.00048949-0.00012854i,-0.00011497+0.00059296i,-0.00093098+0.00014959i,2.2224e-05-0.0010419i,0.00085462-0.001095i,0.00071553-0.00081721i
0.0010749+0.0010734i,0.0019613+0.0016066i,0.0023591+0.0021025i,0.0031174+0.0010518i,0.0025548-0.00022569i,0.0015667-0.001419i,0.00050025-0.0015665i,-0.00035268-0.00080806i,0.00010196+0.00036038i,0.0002754+0.0009734i,-0.00038834+0.0007682i,-0.00010826-0.00025367i,0.0002896-0.00081085i,-0.00052122-0.00074411i,-0.0004227-0.00081125i,0.00014642+2.8261e-06i,2.3258e-05+0.00059223i,0.00031276+0.00031434i,0.00028191-3.0442e-05i,-0.00045178-0.00032029i,-0.00067181-0.0011212i,-0.00058528-0.0011316i,-0.00022182-0.00017993i
-0.0001615-0.00079504i,-0.00044509-0.00068851i,-0.00056027-0.00051868i,0.00012197-0.00073636i,0.00075547-0.0014362i,0.00073817-0.0013339i,0.00033794-0.00022794i,0.00022393+0.00010605i,0.00022913+0.00030322i,9.7456e-05-0.00011158i,0.00017377+2.9837e-05i,0.00013014-6.1276e-05i,0.00040316-0.00025166i,0.00099937+0.00026151i,0.0010296+0.00041847i,0.00088734+0.00052163i,0.00079491-7.8457e-05i,0.0014171-0.00038921i,0.0018614-1.6881e-05i,0.0010932-0.00027305i,0.00030662-0.00047263i,0.00031978-0.00042981i,0.00020165-0.00015685i
0.00067271+0.00078826i,0.0013012+0.00083515i,0.0016614+0.00067726i,0.0011344+0.0011093i,0.00086111+0.001107i,0.00078321-0.00056045i,-0.00044239-0.0014196i,-0.00078323-0.00088951i,-0.00065985-1.1727e-05i,-0.00038348+0.00045274i,-9.387e-05+0.00011424i,-0.00029279-0.00084979i,-0.00032878-0.0013687i,-0.00082995-0.0011614i,-0.00037138-7.4995e-05i,0.00065463+0.00092668i,0.0011511+0.00022128i,0.0012412-0.00022258i,-0.00029815+0.00022661i,-0.0011615+0.00078518i,-0.00093786+0.0007941i,-0.00053475+9.7999e-05i,-0.00051787-6.7151e-05i
-0.0008898+0.00079756i,0.00030676+0.0012378i,0.0012801+0.0020252i,0.00095523+0.0015756i,0.00089971+0.00099628i,0.00021324+0.00059728i,-0.00062156-5.0526e-05i,-0.00017657-0.000394i,4.679e-06-2.4831e-05i,0.00028341+0.00061641i,4.1886e-05+0.00093205i,-0.00085631+0.0011546i,-0.00098374+0.00061841i,-7.0672e-05-0.00082743i,0.00039683-0.0010081i,0.00028244-0.00037705i,0.00038385-0.00047057i,0.00025809+0.00010269i,-0.00049664+0.0002706i,-0.00069273+4.9042e-05i,-0.00010003-2.6526e-05i,-0.00011411+5.6882e-05i,-0.00036852-0.00012743i
3.7398e-06+0.00040274i,-0.00042075+0.00028976i,-0.0011329-0.00034946i,-0.00036837-0.00097646i,0.00080471-0.00086795i,0.0003257-0.00020772i,0.00035753-0.00010528i,0.00071405+2.0184e-05i,0.00071079+0.00081771i,0.00063734+0.0014252i,0.0002827+0.00074572i,0.00050475-0.00018669i,0.0010375-4.6535e-05i,0.0013605+0.00030724i,0.00090164+7.9736e-05i,0.00028169-0.00077636i,-0.00021686-0.0010833i,-0.00032243-0.00050094i,2.2983e-05-0.00019247i,0.00058574-0.00057476i,0.0005451+1.7953e-05i,-0.00018625+0.00063864i,-0.00020943+0.00052883i
-0.0011937-0.00049519i,-0.0015318+0.00011382i,-0.0015137+0.0011327i,-0.00053702+0.00033746i,0.00069853+5.9307e-05i,0.001026+0.00014628i,0.00049851+0.00025428i,-0.00014158+3.4145e-05i,-0.0005071+9.7882e-05i,-0.0011265+0.00048114i,-0.0010419+0.000664i,-0.00023549+0.00055242i,0.00050607+0.00072851i,0.00068743+0.0004974i,0.00066821+0.00020299i,0.00034191-0.00021261i,8.5753e-06-0.00046238i,0.00044365+1.0407e-05i,0.00024724-4.8523e-05i,0.00035732+0.00025169i,-0.00036505+0.00075127i,-0.00062121+0.0010165i,3.1063e-05+1.8146e-05i
