-0.0035328+0.0006811i,-0.0019195+0.0016301i,-0.0010928+0.0020851i,0.00098994+0.0024306i,0.001226+0.0030135i,0.0010058+0.0023013i,0.0014676+0.0015923i,0.00090661+0.0018188i,0.00045569+0.0017194i,0.00064532+0.00073978i,0.00052911-0.0010096i,0.00027055-0.0011266i,0.00020977-0.00059759i,0.00014083-0.00062661i,3.7418e-05+0.00037388i,-0.00017369+0.00011897i,-3.9812e-05-0.00029996i,0.0004183+0.00018345i,0.00053356-3.351e-05i,0.00032107-0.00059967i,0.00061014-0.00060131i,0.00045242+0.00014304i,0.00023171+0.00060627i
0.0019093+0.00069148i,0.0021247-0.00059875i,0.0010767-0.0021729i,-0.00014511-0.0021882i,-0.00018204-0.0013233i,-1.7572e-05-0.0009826i,-0.00024246-0.0007171i,-0.00039345-0.00092117i,-0.00038901-0.0011469i,-0.0006221-0.00039151i,-0.00051899+0.00067374i,0.00047575+0.00054863i,0.00085104-4.6859e-05i,-2.1164e-05+0.00049306i,-0.00033689+0.00056267i,0.00041368-0.00022837i,0.00071254-7.6965e-05i,0.00038711-5.2664e-05i,0.00052829-0.00025061i,0.00058036+5.8157e-05i,0.00013106-8.1727e-05i,0.00011614-0.00067575i,0.00024443-0.00078258i
-0.00011502-0.0002906i,-1.2963e-05+2.0909e-05i,-0.0017404+0.0011366i,-0.0019073+0.0020254i,0.00028742+0.0021532i,0.0016345+0.0016557i,0.001098+0.00068576i,0.00020036-2.8813e-05i,-0.00033403-0.00012741i,0.00016168-0.00090441i,0.00030632-0.00071371i,-0.00023949+0.00034306i,-0.000198+0.00045451i,0.00022467+0.00011783i,0.00027381+4.2314e-05i,0.00033614+0.00045958i,-3.8311e-06+0.00064828i,-0.00023458+0.00089674i,-0.0003374+0.00013469i,-0.00036964-0.00060939i,-0.00013594-0.00055975i,-0.00042425-0.00047837i,-0.00080562+0.00010101i
0.0015534-0.00013756i,0.00079736-0.0017058i,0.0010742-0.0034511i,0.0013427-0.003842i,6.1126e-05-0.0020092i,-0.0011485-0.00081801i,-0.001542-0.00061272i,-0.001043-0.00040331i,-0.00022089-0.00052642i,-0.00024273-0.0011759i,-0.00049587-0.0009099i,-0.0007466-0.00025955i,-0.00075652-0.00027503i,-0.00043262-0.00020522i,-0.00030165-0.000636i,-0.00046994-0.00077814i,-0.00042223-2.2465e-05i,0.00039109+0.00015639i,0.00088817-0.00015428i,3.9564e-05-0.00023484i,-0.00049559+9.034e-06i,0.00027231-2.1385e-05i,0.00071845+9.0626e-05i
4.3213e-06-0.00019681i,0.0001085-0.0015077i,-0.0010749-0.0022942i,-0.0013027-0.00098497i,-5.4393e-05+0.00013919i,0.00064145+0.00050542i,-0.00021741+0.00062136i,-0.00069325+5.2446e-05i,-0.00079906-4.7592e-05i,-0.00062171+0.00033102i,7.7844e-05-0.00019053i,-0.00016212-0.00082161i,-0.000246-0.00023328i,0.00016439+1.544e-05i,0.00066844+0.00010325i,0.0005661-6.3334e-05i,4.7875e-05-0.00020153i,-0.00064401-0.00013158i,-0.00092361-0.00015196i,-0.00041464-0.00022735i,7.8965e-05+0.00069978i,0.00013325+0.001059i,0.00028369-0.00010168i
-0.00035327+0.00077383i,0.000534+0.00065809i,0.00070279+0.0010604i,0.0014126+0.0017464i,0.0021058+0.0014894i,0.0011626+0.00080537i,0.00034023+0.00069396i,0.00018073+0.00049686i,-5.6018e-05+0.00035236i,-0.00017752+0.0003385i,-5.1349e-05-0.00023199i,4.1325e-05-0.0006025i,-0.00098022-0.00077294i,-0.00091076-0.0011336i,0.00024998-0.00065273i,-0.00020163-0.00023313i,-0.00082866-0.00081028i,-0.00054642-0.00082072i,0.00029726-0.00030796i,0.00031705-3.0596e-05i,-0.00023215-0.00034316i,-0.00029319+1.9588e-05i,0.00026244+0.00033713i
0.00054432+0.0020934i,0.0017516+0.0015662i,0.0033542+5.8417e-05i,0.0030202-0.0011442i,0.001748-0.00095319i,0.00081069-0.001047i,-0.00037666-0.0010704i,-0.00053443-0.001185i,-2.3526e-06-0.0010421i,0.00082322-0.00044772i,0.0009418-0.00048808i,-3.9725e-05-0.00075463i,-0.00090524-0.00024875i,-0.000712+0.0004925i,-0.00036228+0.00027827i,-0.00085777-0.0001742i,-0.0012621-0.00013003i,-0.0005695+0.00024186i,0.00052539+0.00015562i,0.00051359-0.00036592i,0.00020952-7.9335e-05i,-0.00014054+0.0003624i,-0.00033205+0.00029274i
-0.0018462-0.00056129i,-0.001888+0.00069614i,-0.00093344+0.0013541i,0.00041575+0.00084161i,0.00069931+0.0011874i,0.00057161+0.00082066i,0.00046177-0.0002556i,0.00015376-0.00071268i,-9.2471e-05-0.00099161i,-0.00013908-0.00077718i,-0.00011094-0.00072591i,-0.00036042-0.0012665i,-0.00067261-0.001756i,-0.00087716-0.0011968i,-0.00095332-0.00028377i,-0.00078169+0.00025479i,-0.00093439+0.00017405i,-0.0010196-0.00054262i,-0.00026915-0.00053382i,0.00042014+0.00031094i,0.00055054+0.00059827i,-0.00015137+0.00018937i,-0.00047309+0.00031518i
-0.00076168+0.00084788i,-0.0003839+0.00061782i,0.00011067-7.5349e-05i,0.001095+0.00023063i,0.0023979+0.002305i,0.0029225+0.0023378i,0.0012831+0.00067016i,-0.0007329-8.3179e-05i,-0.0009384-5.7774e-05i,-0.00023147-0.00013558i,0.000455-3.2207e-05i,0.00071739+0.00011977i,-0.00033398+5.0844e-05i,-0.0013688-0.00017496i,-0.0016107-0.00035506i,-0.0012603-7.3663e-05i,-0.00090158-3.6627e-05i,-0.0010256+0.00040766i,-0.0013+0.00056217i,-0.0014642-2.7665e-05i,-0.0012836+2.8311e-05i,-0.0001688+0.00013785i,0.00030114+0.00030851i
-0.00013326+0.00034465i,0.00050055+0.00070482i,0.00053339+0.00074695i,-0.0007227+0.0004837i,-0.00079552-0.00056864i,-0.00013386-0.00088438i,-0.00038987-0.00083149i,-0.00030327-0.00066969i,0.0004034-0.00036989i,-0.00022712-0.00065713i,-0.00063437-0.00057171i,-0.00026354-0.00026546i,0.00054456-0.00039579i,0.00093483-0.00013773i,0.0004421+0.00023317i,0.00024569+0.00048729i,0.00014977-6.4952e-06i,-0.00020154-0.00045011i,-0.00046687-0.00047324i,-0.00098947-0.00039405i,-0.0012038+0.00012825i,-0.0006931+0.00033983i,-0.0002937-0.00016415i
-0.0024923-0.00024242i,-0.0028534-0.00090364i,-0.0026283-0.00028917i,-0.0008311+0.00012219i,0.0007217+0.00085343i,0.00057525+0.00099563i,-0.00017714-0.00016682i,-0.00059305+5.6708e-05i,-0.00056192+0.00095584i,-0.00058119+0.00078142i,-0.00087932-0.00034908i,-0.00062569-0.00092859i,4.8591e-05-0.00096937i,0.00018277-0.0010031i,0.00050098-0.0012348i,0.00085733-0.0014962i,0.00080934-0.0015235i,0.00018207-0.00093109i,-0.00010517+0.0003368i,2.0791e-05+0.00026921i,0.00021697-0.00072242i,0.00034239-0.00068052i,0.00063706-0.00032359i
