-0.00070001-0.00017177i,0.0010472-0.0015136i,0.0003585-0.00028045i,-0.00072897+0.0017155i,-0.0010567+0.0035083i,-0.00023895+0.0037516i,7.9707e-05+0.0032224i,0.00054753+0.0023901i,0.0011047+0.0012564i,0.0013464+0.00041605i,0.0012038-8.8375e-05i,-8.9491e-06-0.00028758i,-0.00065039-0.00075232i,-0.00096353-0.0014656i,-0.00058877-0.0010796i,3.9812e-05-0.00039467i,-1.0398e-05-5.8628e-05i,0.00028132+0.00035394i,0.00072875+0.00057172i,0.00077407+0.00020471i,0.00059531-0.00031479i,0.00020761-0.00012829i,-0.00021038-6.5155e-06i
-0.00074757+0.00011698i,-3.2824e-05-0.00014978i,-0.00038421+0.00072096i,-0.0011971+0.0026133i,-0.0013159+0.0029545i,-0.00078568+0.0017931i,-0.00029064+4.2539e-05i,0.00027038-0.0007798i,0.00095807-0.00046441i,0.001226-0.00051609i,0.0007857-0.00013701i,0.00020538-0.00019955i,-0.00045253-0.0010837i,-0.00067008-0.0017375i,-0.00029083-0.0011367i,8.5801e-05-5.7903e-05i,-9.447e-06+0.00020835i,0.00024013+0.00050729i,0.00023124-0.00020422i,-4.07e-05-0.0006892i,7.841e-05-0.00011497i,0.00045568+0.00023167i,-1.1519e-05+0.00033463i
-0.00029675+0.001174i,5.1775e-05+0.0011558i,0.0016379+0.0015164i,0.0024173+0.0015803i,0.0018659+0.0010656i,0.00095048-0.00025734i,-1.275e-06-0.00073535i,0.00035718-0.00027534i,0.0013089-0.00043184i,0.00095022-0.00035537i,6.7828e-05-0.0002987i,0.00016563-0.00073757i,0.00047752-0.00075233i,0.00033725-0.00032831i,0.0006328-0.0001767i,0.0001297+1.0762e-05i,-0.00063639+0.00059292i,-0.00064074+0.00069899i,0.00015098+0.00024648i,0.0010238+0.00041691i,0.00065573+0.0010901i,-0.00018743+0.0012605i,-0.00049415+0.00013465i
-0.00060305-0.00050327i,-0.0012014-0.00016478i,-0.0021979-3.1715e-05i,-0.0025629+0.00038359i,-0.0013812+0.00042685i,-0.00026551+0.00040775i,0.0005167-0.00069144i,0.0014188-0.0010853i,0.00113-0.00048843i,0.00050837-0.00038716i,1.5816e-05-7.2159e-05i,0.00013129-9.8402e-05i,0.00027261-0.00028822i,0.00021481-2.0572e-05i,0.00025756-0.0003254i,0.00077437-0.00042785i,0.00071979-0.00010992i,-6.1214e-05-0.00042336i,-0.00031942-0.00026982i,8.8158e-05-0.00013104i,0.00053989-0.00020295i,-3.8223e-05-0.00057499i,-0.00071451-0.0011713i
0.00076795-0.00091493i,0.00039553-0.0010593i,0.00029735+0.000534i,-0.00027154+0.0020929i,-0.00096471+0.0016869i,-0.00015674+0.00049266i,0.00026976+0.00032382i,2.8764e-05+0.00076649i,-4.8209e-05+0.0011029i,0.00015981+0.00056158i,-0.00011689-0.00045756i,-0.00059729-0.00049299i,-0.00087388-0.00016217i,-0.00035683-3.1221e-05i,-4.9162e-05-2.5321e-05i,-0.0004887+0.0006264i,-0.000342+0.00092608i,8.2008e-05+0.00053547i,0.00055567+0.00063396i,0.00063887+0.0006711i,0.00035389+0.00052129i,0.000407+0.00052267i,0.00039371+0.000478i
0.0010002-0.00021655i,0.00073869+0.0012465i,0.0006386+0.0010774i,0.00037719+0.00022726i,-0.0004572+0.00051748i,-0.0014651+0.0010442i,-0.00035812+0.0017063i,0.0010375+0.0016106i,0.0005975+7.7785e-05i,0.00036169-0.00099754i,0.00048553-0.00050436i,-7.76e-05+0.00010789i,-0.00032499+0.00030643i,0.00022796+0.00036636i,0.00062739-0.00027835i,0.00082162-0.00039025i,0.0012235+0.00029102i,0.0013834+0.00045872i,0.0013206-5.0854e-05i,0.0006704-0.00042904i,0.00052147-0.00066586i,0.00070506-7.7622e-05i,0.0001978+2.3873e-05i
-0.0018756-0.00052995i,-0.0017345-0.0011228i,-0.0015751-0.0005261i,-0.0023604+3.6585e-05i,-0.0029285+0.00060175i,-0.0023127+0.00063046i,-0.00045161+6.377e-05i,0.00077021+0.00073379i,0.00034689+0.0012967i,-9.303e-05+0.0012327i,-0.00017249+0.00048033i,2.0213e-05+0.00010909i,2.6615e-05+9.4584e-05i,-0.00039448+0.00042709i,-0.00086483+0.00068812i,-0.00050485+0.00073088i,0.000294+0.00054111i,0.00077888+0.00016087i,0.00020107+0.00011543i,0.00011777-3.6028e-05i,0.00011637-6.1827e-05i,-0.00048289-0.00041644i,-0.00061951-0.00012771i
-9.3922e-05-0.00017857i,0.00070886-0.00046318i,0.00058374+0.0001692i,-0.00032429+0.0011819i,-0.0010448+0.0019926i,-0.00081777+0.0010761i,-0.00014971+0.0002357i,-0.00015987+0.00056912i,0.00053468+0.00024923i,0.0012906-0.00049117i,0.00056272-0.00087958i,0.00022808-0.00084622i,-0.00014974-0.00088339i,-0.00063763-0.0012409i,-0.00073371-0.0011401i,-0.0011821-0.00029019i,-0.00043578+0.00011193i,0.0005261-4.914e-05i,0.00069303-0.00029089i,0.00049095-0.00089095i,6.3772e-05-0.00079029i,-0.00012187+0.00041083i,-0.00031951+0.00077942i
0.00030847-0.00052826i,-2.168e-05-0.00027074i,-0.00036367+0.00022476i,-0.00089607+0.0010034i,-0.0006998+0.001498i,-0.00095693+0.00056588i,-0.00024559-0.00033607i,0.00081728-0.0002912i,0.00089453+0.00021816i,0.00027925+0.00018645i,0.00025853-0.00058216i,0.00060255-0.00048869i,0.00037523+0.00039891i,0.00051977+0.00064012i,0.00049205+0.00010157i,-6.0589e-05-0.00012643i,-0.00010713+0.00034776i,8.4474e-05-0.00022662i,-0.00053194-0.00020751i,-0.0010046+0.00040037i,-0.00048594-0.00051155i,6.6402e-05-0.00087869i,0.00026722-0.00032174i
-0.00029407-0.001026i,0.00030968-0.0016941i,0.00066351-0.00099556i,0.00021568+0.00042113i,-4.591e-05+0.00069937i,-0.00019667+0.0008978i,-0.00031017+0.00064082i,-1.3836e-05+0.00067533i,-0.0001156+5.0457e-05i,-0.00039104-0.00093343i,-0.00062484-0.00057014i,-0.00036763+0.00056751i,-0.00033474+0.0012128i,0.00013823+0.00071608i,0.00052602+0.0002053i,0.00022983-0.00023267i,3.1859e-05-0.00068141i,0.00057052-0.00034029i,0.00069476+0.00013974i,9.0044e-05+0.00043961i,0.00040461+0.00086949i,0.00052768+0.0010712i,-0.00010125+0.00052303i
0.00045456+0.00032776i,-0.0010339+0.0007132i,-0.0020075+0.00043484i,-0.0016702+0.00051425i,-0.0012243+0.00045483i,-0.0003416+0.00029433i,0.00036111+0.00035885i,0.00055594+3.9512e-05i,0.00037255+0.00028245i,-0.0002652+0.0011358i,-0.00049765+0.00061808i,3.4151e-05-0.00087461i,0.0004834-0.00061803i,0.00076568-0.00030413i,0.00035541+0.00011818i,-0.00033977+0.00062568i,-0.00019121+0.00037728i,0.00026787+0.00046754i,0.00038719+0.00010285i,3.1369e-05-0.00076843i,-3.106e-05-0.0010332i,-0.00038853-0.0005517i,-0.001073-0.00092292i
