0.0012128+2.7112e-05i,0.001505-0.0021649i,-0.00010503-0.0047163i,-0.0032033-0.0041654i,-0.0047831-0.0012653i,-0.0038578+0.00089298i,-0.00074207+0.0020518i,0.00089843+0.0017107i,0.00066241+0.00025459i,0.0010138-0.00081157i,0.0010066-0.00080944i,-7.791e-05-0.00074645i,-0.00050607-0.0003936i,6.315e-05-0.00012214i,8.8428e-05-0.00013964i,-0.00026252+7.0437e-05i,-6.3202e-05+0.00031123i,-0.00028169+0.00073295i,7.0862e-05+0.00060945i,5.3863e-06+3.6182e-05i,-0.00018159-0.00035039i,0.00066076-0.00082851i,0.00060167-0.00027014i
0.0016031+0.00043963i,0.0010505-0.00083701i,0.00049711-0.00092363i,-0.00044266-0.00066825i,-0.00092594-0.00064646i,-0.0012018-0.00020573i,-0.00073893-0.00041033i,-3.8471e-06-0.00024844i,0.00052686+0.00042251i,3.8559e-05+7.075e-06i,-0.00057494-0.00027882i,-0.00092766-7.3406e-05i,-0.00070248+0.0002407i,0.00027457+0.00052222i,0.00093357+0.0010569i,0.00069223+0.0010456i,0.00055563+0.00062177i,9.4833e-05+0.00042701i,4.7922e-05+0.00041341i,0.00044617+0.000343i,0.00026344+0.00041434i,-0.00038124-0.00021933i,-0.00045837-0.00068755i
-0.00017626-0.0014623i,-0.00062331-0.0021869i,-0.0020044-0.002126i,-0.0035501-0.00184i,-0.0027719-0.0007248i,-0.0010434+7.8996e-06i,-7.7304e-06-0.00094033i,0.00025757-0.0011102i,0.00037171-0.00026067i,0.0007242+0.00078648i,-0.00023033+0.001185i,-0.00073353+0.00030051i,-0.00017545-0.00044592i,-0.00021645-0.00031581i,-0.00080875+6.542e-05i,0.00017017+0.00029447i,0.00092954+0.00060804i,0.00088233+0.00055609i,0.00073117+0.00030023i,0.00018042-0.00027598i,1.8464e-05-0.00073495i,-0.00060893-0.00028025i,-0.0011385+5.7712e-05i
-0.00068307+0.00015827i,-0.0013083-0.00092216i,-0.0013342-0.00094393i,-0.0015819+0.0001643i,-0.0012793+0.00029257i,-0.00097292-0.00094109i,-0.000988-0.00096177i,-0.00045107+0.00036059i,0.00020543+0.00085009i,0.00044188+0.001083i,-6.5924e-05+0.0012509i,-0.00021987+0.00018566i,-0.00026271-0.00056954i,-0.00070691-0.00061967i,-0.00052901-0.00019845i,0.00059398+0.00029543i,0.0009793+0.00042439i,0.00073224+2.1189e-05i,0.00011919+2.8291e-05i,-0.0007961+0.00039296i,-0.0005783+0.00033294i,0.00037381+0.00026958i,0.00078379+0.00039553i
-0.00078195-0.0002471i,-0.00073442-0.00091819i,-0.0012398-0.00093556i,-0.0019163-0.0010163i,-0.0018707-0.0004155i,-0.00090091+9.7072e-05i,-0.00056962+0.00029106i,-0.00094195+0.00068432i,-0.00053005+0.0009375i,0.00018807+0.00081924i,5.6797e-05+0.001127i,-0.00024987+0.0006514i,-0.00010648+0.00042441i,0.0001045+0.00047228i,0.00036043+9.333e-05i,-1.8755e-05+0.0006138i,-0.00019793+0.00090157i,-0.00028977+0.00045899i,-0.00057704+6.8013e-05i,-0.00075771-0.00027299i,-0.00041024-0.00047823i,0.00016835-5.4978e-05i,0.00024463+0.00015832i
0.00093942-0.00087119i,0.00048868-0.0014775i,-0.00062137-0.0016354i,-0.0015865-0.0011285i,-0.0013688-0.000593i,-0.00021847-0.00031051i,-0.00049282-0.00081045i,-0.00093294-0.00072446i,-0.00040078+0.00031037i,2.3322e-06+0.00047462i,-0.00034071+0.00014983i,-0.0009297-0.00052274i,-0.00071034-0.00043966i,-0.00035623-0.00030468i,-0.00089572-0.00048881i,-0.0006498-2.1086e-05i,-0.0001681+0.00031632i,-0.0005102-0.00032379i,-0.00044286-0.00042096i,0.00071809+0.00019067i,0.0009412+0.00022321i,0.00084291+2.0533e-05i,0.0013363-0.00012429i
0.0014476+0.0012384i,0.001703+0.00011589i,0.0020158-0.0013924i,0.00061699-0.0016995i,-0.00096201-0.0013648i,-0.0014232-0.0014618i,-0.00053211-0.00080753i,-0.00048911+0.00015171i,-0.0008597-0.00020646i,-0.0010982-0.00044051i,-0.00081486+0.00035386i,-0.0007144+0.0010573i,-0.00046642+0.0015062i,0.00035165+0.0012828i,-2.3853e-08+0.00048402i,-0.00041024-6.5263e-05i,0.0003089-0.00021821i,0.0003645-8.3809e-05i,-0.00019378+0.00055827i,-0.00048686+0.0007588i,-0.0001621+0.00029472i,-0.00041054-8.9586e-05i,-0.00069383-0.00055i
0.0013745-0.0011862i,-0.00051934-0.00087384i,-0.0014447-0.00081632i,-0.0013847+1.6751e-05i,-0.0014044+0.00035676i,-0.0018525-0.00045788i,-0.00082758-0.00065503i,0.00027175-0.00018149i,0.00013195+0.00037889i,-0.00019191+0.00012327i,-0.00016963-0.00063484i,0.00048398-8.4152e-05i,0.00057029+0.00015199i,0.00045459+0.00038295i,0.00033996+0.0011025i,0.00017991+0.00073112i,-0.00055058+0.0003581i,-0.00053898+0.00049635i,0.00091423+0.00049216i,0.00045848+0.00029638i,-0.00030003-0.00032958i,-0.00012591-0.00035029i,0.00021112+0.00048308i
0.0016559-0.0012342i,0.00070406-0.0014917i,-0.0014515-0.002229i,-0.0025127-0.0018206i,-0.0022556+7.3359e-05i,-0.0016167+0.0013591i,-0.00038333+0.00045653i,0.0014483-0.00026441i,0.0014521-0.00026749i,2.4306e-05+1.8114e-05i,-0.00030659+0.00021932i,0.00013328+0.00054283i,0.00022725+0.0006879i,0.0006066+0.00070025i,0.00058148+0.00070503i,9.537e-06+0.0007499i,-0.0003605+0.00065998i,0.00037971+0.00037708i,0.00084256+0.00012021i,0.00026922+0.00017161i,-0.00027819-0.00013461i,-0.00022783-0.00055287i,4.7847e-05-0.00044392i
-0.00073334-0.00098173i,-0.0014425-0.00080774i,-0.0022041-0.0011277i,-0.0027261-0.00083911i,-0.0024064-0.00035316i,-0.0014717-0.00033817i,-0.00093581-0.00037343i,-0.00035416+0.00031703i,5.6486e-05+0.00045311i,-0.00042069-0.00025865i,-0.00065361-0.0005494i,-0.00028489-0.00017859i,6.8067e-05-0.00030412i,-2.9352e-05-0.0010327i,0.00051299-0.0011144i,0.00091844-0.00055554i,0.00043126+0.00012054i,8.4993e-05+0.0010066i,2.5574e-05+0.00080769i,0.00028449+8.4549e-05i,0.00091049-0.00035993i,0.00049349-0.00022602i,-0.00047842+0.00077084i
-0.0013772-0.0013014i,-0.00098895-0.00039398i,-0.0013663+0.00067899i,-0.0024537+0.00097156i,-0.0015829+0.00026179i,0.00023424-0.00086197i,0.00071357-0.0012554i,2.3044e-05-0.00064812i,-0.00056589-0.00014397i,-0.00070311+8.4367e-05i,-0.00011979+0.00096806i,0.00033103+0.0012838i,0.00014671+0.00080566i,0.00011182+0.00059386i,0.0002321+0.00066546i,-0.00031881+0.0009885i,-0.00030339+0.00090384i,9.4639e-05+0.00059201i,-0.00099867+0.00030191i,-0.0013199+0.0001038i,-0.00087321-0.00034854i,-7.5184e-05-0.00068096i,0.00037309-0.00015102i
-0.00045401-8.7995e-05i,-0.001081-5.3431e-05i,-0.001353-0.00030536i,-0.0013541-0.00069881i,0.00014741-0.00043965i,0.0016318-0.00068614i,0.00085788-0.00097577i,-0.00019679-0.00056751i,-0.00091104-7.7401e-05i,-0.00055855+0.00062206i,1.8067e-05+0.00093667i,7.8266e-05+0.00031837i,0.00015069-0.00084378i,-0.00032523-0.00091832i,-0.00081102-0.00035476i,-0.00095227+0.00024152i,-0.00048731+0.00051112i,-0.00072305-0.0001346i,-0.0010375-0.0004873i,-0.00085548+0.00025027i,-0.00054138+0.0011956i,6.5577e-05+0.00070388i,7.8792e-05-0.00058075i
0.0010446-0.0010307i,5.0781e-05-0.0013926i,-0.00034984-0.0019819i,-0.0014643-0.0015687i,-0.0026933-0.00032049i,-0.0022609-0.00025104i,-0.00033468-0.00072872i,0.000494+2.3816e-06i,-4.2978e-05+0.00060413i,-0.00047167+0.00035332i,-0.00049457-0.00018131i,-0.00076095-0.00042021i,-0.00083686-0.0011104i,-0.00042153-0.00071025i,-0.00058458-5.3492e-05i,-0.00063835-5.8613e-05i,-0.00037056+0.00030642i,-0.0005172-0.00028031i,-1.2373e-06-0.00061479i,0.00019019-0.00020535i,0.0004652-0.0001465i,0.0010328-0.00022653i,0.00083371-0.00020249i
0.00095265-0.0028223i,-0.00022063-0.0034262i,-0.0016139-0.0032486i,-0.002238-0.0018036i,-0.0017918+4.0672e-05i,-0.001037+0.00044986i,-0.00075627+0.00050278i,-0.0013555-0.00010286i,-0.00081904-0.00049266i,-0.0010597+1.7524e-05i,-0.0015357+0.00025963i,-0.00081765+0.00047583i,-0.00048573+0.00068397i,-0.0001475+0.0010844i,-0.00028758+0.0013796i,-0.0011311+0.0009912i,-0.0015401+0.00086743i,-0.0011605+0.00036809i,-0.00043109-0.00034596i,-0.00019544+0.00011943i,-0.00028068+0.00055656i,-4.0829e-05+0.0011825i,-4.2891e-05+0.0015572i
0.00023576-0.001678i,-0.00032311-0.0019055i,-0.0012866-0.0029529i,-0.0026467-0.0022738i,-0.0031291-0.00031956i,-0.0017541-0.00032231i,0.00033538-0.00084088i,0.0012078-0.00025018i,0.00050452+0.00020586i,-0.00035512+0.00057644i,-0.00077843+0.00059995i,-0.00070455+0.00041594i,-0.00021614-0.00025773i,1.3327e-05-5.5315e-05i,-0.00049399+0.0010478i,-0.0012057+0.0013282i,-0.0016026+0.00084139i,-0.00077697-7.9004e-05i,0.00014967-4.2648e-05i,-2.1692e-05+1.0217e-06i,0.00041803+2.6671e-05i,-3.4272e-05+0.00071619i,0.00015285+0.0009787i
5.2086e-05-0.0021307i,-0.0010347-0.0021285i,-0.001713-0.0014762i,-0.0021405-0.000972i,-0.0015976-0.00054606i,-0.00050712-0.0006158i,-0.00026954-0.00089103i,-0.0002977-0.00068063i,-0.00060498-0.00015682i,-0.00088934+0.00031383i,-0.00073408+0.00040668i,-0.00066127+0.00048435i,-0.00087938+0.00123i,-0.0004417+0.0011813i,-0.00023846+0.00051203i,-0.00045835+0.0002069i,-0.00064387-0.00032929i,-0.00052377-0.000334i,-0.00015113-0.00010815i,-0.00017866-0.00021358i,0.00026649-0.00063104i,0.00063114+7.7408e-06i,9.8252e-05+0.00049258i
0.001472-0.00089717i,0.00046599-0.0017103i,-0.00071555-0.0019148i,-0.0013678-0.0011073i,-0.0015269+0.00052985i,-0.00098389+0.0012529i,0.00026698+0.00063561i,0.00066898+0.00026044i,0.00019286+0.00017149i,0.0001991-0.00011263i,0.00018437+1.517e-05i,0.00010866+0.00072208i,0.0001844+0.00071102i,6.543e-06+0.00043689i,-0.00021401+0.00067678i,5.2869e-05-0.00018671i,0.00079524-0.00082387i,0.00070462-0.00030738i,0.00013083+3.2315e-06i,0.00020648-0.0003907i,1.1817e-07+0.00018111i,-0.00051715+7.1009e-05i,-0.00047554-0.00015293i
-0.00084799+0.00061014i,-0.00063376+7.9657e-05i,4.9992e-05-0.0006447i,-0.0011553-0.00064273i,-0.0015089-0.00080767i,-0.00079605-0.00065379i,0.00016178-9.5314e-05i,0.00062632+0.00040246i,-6.001e-05+0.00037602i,-0.00010512+3.6031e-05i,0.00046359+0.00057121i,0.00042295+0.00057165i,-0.00037686+0.00052258i,-0.00084977+0.0008149i,-0.00053204+0.0010875i,0.00016658+0.00033349i,0.00052817-0.00077248i,-0.00042964+0.00013441i,-0.00037218+0.0013009i,0.00017804+0.0015029i,0.00097206+0.0010883i,0.0011398+0.00017067i,0.00038143+0.00038557i
0.0012371-0.0010376i,0.00095709-0.0022914i,0.00050276-0.0030275i,-0.0010167-0.0025009i,-0.0018377-0.00093506i,-0.0012745+0.00048076i,-0.00024229+0.00052724i,-0.00025161+0.00020166i,-0.00042254+5.2998e-05i,-0.00066973+0.00010885i,-0.00096885+0.00055148i,-0.00090296+0.00089059i,-0.00059852+0.00097204i,-0.0015604+0.0015613i,-0.0020441+0.0012689i,-0.00071384+0.00085928i,0.00041332+0.00079348i,0.00072412+0.00036965i,0.0011547+0.0005425i,0.0011375+0.00024634i,0.00047674+4.591e-05i,-0.00020761+5.8031e-05i,1.3883e-05+0.00015711i
0.0001072-0.002052i,0.00013146-0.0018881i,-0.0011532-0.0013058i,-0.0018565-0.0015888i,-0.001173-0.0012528i,-0.00050287-0.0012443i,-0.00060825-0.0015101i,0.00034706-0.00087369i,0.00028309-0.00081962i,-0.00033511-0.00041082i,-0.00018026+0.0006125i,-0.00019457+0.0002114i,7.1116e-05+0.00038927i,-0.00016186+0.00065879i,-0.00051845+0.00030086i,0.00032307-6.2175e-05i,0.00091669+0.00054117i,-3.8879e-05+0.0014754i,-0.00074971+0.0011302i,-0.00037544+0.00030753i,0.00023841-0.00011948i,0.00097645-0.00024338i,0.00080596+3.0087e-05i
-0.0011618-0.0015731i,-0.0023985-0.0014149i,-0.0030328-0.0018241i,-0.0032845-0.001869i,-0.0025415-0.00099208i,-0.0015044+0.00015931i,-0.0009413+0.00038766i,-0.00025129+0.00010468i,0.0001926+3.1369e-05i,1.7446e-05+0.00011418i,-7.2191e-05+5.1942e-05i,-0.00012125+0.00012778i,-4.6599e-06+0.00048255i,-0.00015511+0.00052264i,-0.00021812-0.00026849i,0.00048503-0.0005685i,0.00037609-0.00010359i,-0.00033025+0.00028075i,8.1767e-05+0.00015425i,0.00045472+0.00065085i,-8.7021e-05+0.00099708i,-0.00018932+0.00014305i,-0.00052014-0.00083313i
-0.00098425-0.00061903i,-0.0017111-0.0018762i,-0.0027261-0.0018371i,-0.0026539-0.0016521i,-0.0015353-0.00071897i,-0.0010093-0.00062499i,-0.0012192-0.00077265i,-0.0014525-0.00031918i,-0.0011892-0.00068751i,-0.00093125-0.00078717i,-0.0011574+0.00032247i,-0.0011277+0.00056797i,-0.00050926+1.7745e-05i,-0.00018853-0.00042094i,0.00018646-0.00069112i,0.00082545-0.00041527i,0.00054459-7.3188e-05i,-0.00034244+0.00056419i,-0.00057635+0.0004828i,-0.00058415-8.6036e-05i,-8.5436e-05-0.00024917i,0.00082532-0.0009127i,0.0014534-0.00088418i
