-0.0043132+0.00047388i,-0.0024472-0.00048445i,-0.00091166+0.00013872i,-0.00075572+0.0011582i,-3.4865e-05+0.0020717i,0.0010293+0.002043i,0.00028855+0.0017157i,-0.00020374+0.0012116i,0.000276+0.00085042i,0.00075456+0.00089981i,0.00061468+0.00026032i,0.00035059-0.0010108i,0.00040666-0.0011967i,0.00041839-0.0010226i,0.00023285-0.00061554i,-0.00038108-4.6142e-05i,-0.00040554+0.00032051i,6.3628e-05+0.00019485i,0.00026066-0.00076101i,-9.7218e-05-0.0011584i,-0.00021918-0.00031545i,0.00047413-0.00034193i,0.0012539-5.4187e-05i
-7.8798e-05+0.0014771i,0.00032846+0.0020575i,0.00088832+0.0019205i,0.00099345+0.00069005i,0.0016312+4.8945e-05i,0.00081208-0.0009046i,-0.00055198-0.0012991i,-0.00082409-0.0008085i,-0.00016773-6.9548e-05i,-5.6351e-05-0.00027546i,-0.00036005-0.00049861i,-0.0010409-6.972e-05i,-0.00093474+0.00040263i,-0.00055068+0.00075821i,-0.0004368+0.0006985i,7.154e-05+0.00047497i,6.0561e-06+0.00030267i,-0.00057062-0.00020033i,-0.00086305-0.00040573i,-0.0003415-7.7494e-05i,0.00010143+7.8446e-05i,-9.4079e-05-0.00014269i,-0.00031697-0.00023901i
-0.00030204-0.0014098i,-0.00051361-0.0023162i,-0.00087974-0.0020599i,-0.0014424+0.00029021i,-0.00097045+0.00097067i,-0.00023267-0.00012157i,-0.00060012-0.00045716i,-0.0010864-3.1136e-05i,-0.0013832-0.00011797i,-0.0012263+4.875e-05i,-0.0009366+3.7964e-05i,-0.00072432+0.0002784i,-0.0007787+0.00081037i,-0.0010547-2.6813e-05i,-0.0012446-0.00040856i,-0.00089141+0.00053996i,0.00012772+0.00093413i,0.00029968+0.00053851i,3.4546e-05-0.00032261i,-9.664e-05-0.00076701i,-0.00035006-7.604e-05i,6.9716e-05+0.00049545i,0.00051109+0.00042433i
-0.00014884+0.00040845i,0.00051173-9.2744e-05i,0.00061619-0.00065086i,-0.00014524-0.00043227i,-8.1911e-05+0.0006245i,0.0002648+0.00021132i,-0.00079476-0.00054095i,-0.00059089-0.0003958i,0.00044327-0.00035305i,0.00026953-0.00010403i,-0.0001597-7.2332e-05i,-0.00019588+1.8764e-05i,-0.00061784+0.00081146i,-0.00026218+0.00070777i,0.00034971+0.00066907i,0.00097192+0.00041696i,0.0005203+0.00021959i,-7.3529e-05+0.00016213i,-0.00010167+0.00057524i,1.3344e-05+0.00089212i,0.00018283+8.5757e-05i,3.7158e-05-0.00034447i,0.00019983-0.00069991i
-0.001142-0.00083149i,-0.00064385-0.00024495i,-0.00027325-8.1122e-05i,-0.00041195+0.00033375i,-0.00059429+0.0012595i,-0.00038556+0.0014009i,-0.00049773+0.00050355i,-0.00090826+4.7554e-05i,-0.00014567+0.00022212i,0.00035101+0.00019425i,-0.00042988-0.00013156i,-0.0010771+0.00025729i,-0.00086084+0.00023757i,-9.7153e-05+0.00064156i,-0.00030507+0.001821i,-0.00098276+0.0019876i,-0.00063132+0.00090379i,0.00015003+0.00023172i,1.7821e-06-0.00053353i,-0.00085343-0.00068615i,-0.00052609+0.00037335i,0.00058445+0.00094051i,0.00062853+0.00017212i
0.00076588+0.0024424i,0.0014668+0.0014524i,0.0028844-0.00082363i,0.0034296-0.0014378i,0.0021134-0.0010702i,0.00081983-0.0010668i,-7.4179e-05-0.00085557i,-0.00038061-2.6702e-05i,0.00042221-0.00011608i,0.00099466-0.00030702i,-2.8862e-05+0.00018927i,-0.00043698+0.00047506i,0.00020822+7.1224e-05i,2.4569e-05-0.00016324i,-0.00060117+0.00057891i,-0.0014177+0.00081973i,-0.00097308+0.0001941i,0.00040547-0.00067197i,0.00092391-0.00078116i,0.00048987-0.00091744i,0.00056093-0.00080506i,0.00040513-0.0005219i,0.00029585-0.00044036i
-0.0013639+0.00054749i,-0.00090173+0.0001723i,-0.00072098+0.00089531i,0.00033415+0.0015597i,0.001628+0.0013439i,0.0017781+0.00055212i,0.00059287-0.00019245i,-0.00023491+0.00010264i,-0.00033976-2.666e-05i,9.1671e-06-0.00028442i,0.00074511-0.00027824i,0.00089621+0.00021879i,0.00045222+0.00028612i,0.00020858-1.5422e-05i,0.00036888-3.6199e-05i,0.00038694-0.00012749i,-5.7502e-05-0.00020049i,-0.00029788+0.00014375i,0.00041819+2.8979e-05i,0.0011598-0.000714i,0.00053731-4.2107e-05i,0.00032054+0.00024181i,0.00034973-0.00026007i
-0.0020012-0.0015887i,-0.0019592+8.2162e-05i,-0.0016632+0.00025295i,-0.00072537+0.00066334i,-0.00059066+0.0014376i,0.00019705+0.00053628i,-3.1668e-05-0.00076707i,-0.0010308-0.0010609i,-0.0012992-0.00020538i,-0.0012519-8.3477e-05i,-0.00050775-0.00028135i,-0.00027768-0.0004639i,-0.00043281-0.00051877i,-3.5073e-05-0.0004452i,-0.00010261-0.00088934i,-0.00057142-0.00093224i,0.00012922-0.00049906i,0.00073272+8.8061e-05i,0.00068184+0.00058957i,0.0010479+0.00031409i,0.00072514-0.00019603i,0.00022383-0.0005665i,0.00040072-0.000847i
-0.00035785+0.00068182i,0.00022282+0.00069628i,0.00029388-9.2178e-05i,0.00078911-0.00056427i,0.0013624+0.00053986i,0.00092144+0.0014381i,-0.00043932+0.001293i,-0.00066597+0.00042806i,-3.3506e-05-0.00019455i,0.00016637-0.00027919i,7.7618e-05-0.00025884i,-6.1983e-05-0.00011724i,-0.00022848-0.00039832i,-0.0003211-0.00045541i,0.00022207+0.00028139i,0.0002534+0.00053483i,-4.2744e-05+4.1093e-05i,0.00033368+8.7461e-05i,-0.00028912-7.1426e-05i,-0.00050777-0.00017357i,-3.4232e-05-0.00040634i,-0.00031351-0.00029246i,-0.00046728+0.00013873i
0.00052444-0.00014743i,0.00099137-0.00038255i,0.00060318-0.00011013i,-0.00038046-0.00046274i,-0.00062408-0.00061858i,-0.00058583-0.00014863i,-0.0007437-0.00013522i,-0.00033699+0.00020489i,0.0001318+0.0010912i,-0.00080684+0.00048943i,-0.0013349-0.00059855i,-0.00070695-0.00032182i,0.00037603-0.00030951i,0.0012132-0.00040225i,0.0011181-0.00039508i,0.00095177+0.00010441i,0.0010095+0.0005124i,0.00037315+0.00068184i,-8.337e-05+0.00046849i,-0.00029521-0.00034818i,-0.00019179-0.00064594i,6.2606e-05+9.2331e-05i,3.18e-05+0.00048634i
-0.0013477+0.002185i,-0.00065384+0.00089281i,0.00079999+0.00034633i,0.0015394+0.0010296i,0.002085+0.00023018i,0.0015108-0.00090054i,5.4316e-05-0.0013456i,0.00011141-0.00044567i,0.00043236+0.00071734i,0.00053885+0.00055191i,0.00052333+0.00049576i,-0.0002603+0.000242i,-0.00030729-0.00076824i,0.00045445-0.0013898i,0.00045971-0.0014268i,-0.00019569-0.0004629i,-0.00045172-9.4987e-05i,-0.00040295-0.00045874i,-0.00033978-0.00040005i,-3.2811e-05-0.00031479i,0.00024477-0.00050011i,2.905e-05-0.00046612i,-5.8508e-05-0.00041099i
-0.002024-0.002133i,-0.0022209-0.0017131i,-0.0022266-0.00054003i,-0.001155+0.0010268i,0.00034029+0.0016442i,0.0016205+0.0009441i,0.0011441-0.00044471i,0.00035206-0.00019359i,4.1809e-05+0.00078164i,-6.3645e-05+0.00042402i,0.00062243+0.00040806i,0.00075214+0.0006601i,0.00020241-0.00033966i,0.0002748-0.00031519i,0.00013786+0.00048943i,0.00021434+0.00029208i,0.00060667+0.00068683i,-0.00043704+0.0013381i,-0.0011373+0.0010631i,-0.00047037+0.00062764i,-0.00036903+0.00052522i,-0.00068329+0.00084464i,3.7233e-05+0.0008601i
0.0014514+0.0019134i,0.00067291+0.0024245i,-7.412e-05+0.0028601i,0.00070285+0.0016971i,0.0011736+0.00032647i,0.00080329-0.00022493i,-1.2118e-05-4.6045e-05i,-0.000866+0.00016507i,-0.00023555+3.1966e-05i,0.0013712-0.00044939i,0.0013112-0.00067164i,0.00035286-0.00072442i,0.00031891-0.00026895i,7.4898e-05+0.00016888i,-0.00018903-8.1886e-05i,0.00043493+0.00018296i,0.00075623+0.00059735i,0.00045365+0.00083804i,0.00032859+0.00058835i,-0.0003639+3.3168e-05i,-0.0010223-0.00047368i,-0.00046621-5.3358e-05i,0.00057182+0.00020374i
-0.0013108+0.00011825i,-0.0013505-0.001183i,-0.0013178-0.00079559i,-0.00098785+0.00081824i,0.0009892+0.00097997i,0.0022287-0.00023495i,0.0011527-0.00075044i,0.00054562+0.00010348i,0.00068051+0.00013005i,0.00016502-0.00075965i,-0.00087882-0.00032319i,-0.00081184+0.00035878i,1.1777e-05+0.00044764i,-1.7889e-05-0.00018995i,-0.00029321-0.00039993i,-3.3417e-05+0.00022464i,-0.00030715+0.00038488i,-0.0004799-0.0001701i,-0.00023429-0.00099391i,-0.00042951-0.0010112i,-0.00031834-0.00066173i,-0.00033848-0.00013329i,-0.00037736+0.00023714i
-0.0019233+0.00047832i,-0.0016934+0.00027252i,-0.0019812+0.00077694i,-0.0013528+0.0010786i,0.00044199+0.0017186i,0.00031652+0.0015625i,-0.00041151+0.00081512i,-0.00051533+0.0001597i,-0.00015924-0.00017241i,0.0003948-0.00010462i,0.00043405-0.00023047i,0.00044219-0.00044828i,0.00063677-0.00042884i,0.00091734-0.00065404i,0.001157-1.6308e-05i,0.00090773+0.00062407i,4.6246e-05+0.00026226i,-0.00042626+8.415e-05i,-0.00011055+0.00030198i,-7.6207e-05+0.00060819i,-2.069e-05-4.9841e-05i,0.00021665-0.00052581i,-0.00015609-0.00074883i
-0.00046916+0.0012102i,-3.1117e-05+0.00082442i,0.0003335+0.0015357i,0.00032438+0.0022609i,0.00049175+0.00094872i,0.0011913-0.00020353i,0.00074999+7.7118e-05i,6.2918e-05+0.00029847i,-4.5503e-05+0.00012185i,-0.0003778+0.00027058i,-0.000358+0.00089261i,0.00020579+0.00052798i,0.00024533-0.00026077i,0.00033807+3.5151e-05i,-0.00018335-1.2582e-06i,-0.00022796-0.00065419i,0.00034328-0.00039539i,0.00016648+0.0002196i,8.4845e-06+0.00022403i,0.00039475+2.239e-05i,7.2072e-05-9.7626e-05i,-0.00086693-0.0003654i,-0.00099795-0.00036679i
0.0008684-8.7327e-05i,0.0002818+0.0001744i,0.0010599+2.3454e-05i,0.00086796+0.00050726i,0.0008332+0.00082611i,0.0011939+0.00049138i,0.00075339-0.00029548i,7.0405e-05-0.00060096i,0.00028709-0.00042155i,-0.00013947-0.00053925i,-0.00024029-0.0014904i,0.00038681-0.00086621i,0.00046144+0.00040142i,0.0006973+0.00053893i,0.00036883+0.00065556i,0.00020441-0.00018071i,9.8256e-05-0.00080741i,0.00016431-0.00015831i,0.00037084+0.00027124i,-2.0224e-05-4.2663e-05i,-0.00055334+2.0599e-05i,-0.00040036+0.00033609i,-0.00047852-0.00050944i
-0.00084307+0.00013326i,-0.0010586+0.00020013i,-0.00049533+0.00016035i,0.00010579+0.00017849i,3.836e-05-0.00015284i,-0.00015296-0.00066322i,-0.00019361-0.00072843i,0.00021325-0.00056117i,0.00017979-0.00048806i,7.23e-05-0.00053875i,-0.00018381-0.0003701i,-0.00039819+0.00033112i,-0.00016628+0.00071404i,-0.00015995+0.0007888i,-3.3874e-05+0.00058881i,0.00057854+5.2108e-05i,0.00056334-0.00020724i,0.00049629+1.7328e-05i,0.00033995+0.0004496i,0.00023654+0.00021294i,-7.4849e-05-0.00023867i,8.62e-05+0.00012276i,0.00061806+0.00028773i
-0.0011058+0.0013324i,-0.0010841+0.0015741i,-0.00043478+0.0022411i,0.00012643+0.0029139i,0.00080161+0.0015734i,0.00045962+0.00031173i,-7.6519e-05-0.00034026i,-0.00035913-0.00022228i,0.00021386+4.1827e-05i,0.0013304-0.00069447i,0.0014583-0.0005835i,0.00079098-0.0001497i,0.00017054-0.00042468i,-0.00053953-0.00033269i,-0.00093412-0.00028422i,-0.00045596-0.00033285i,0.00028817+0.00061887i,0.00034779+0.0014984i,-0.00023735+0.00084458i,4.682e-05+0.00011058i,0.00042081+0.00019262i,7.8541e-05-0.00016545i,4.7229e-05-0.00067361i
2.8891e-05+0.00011107i,0.0022076+0.00047982i,0.0018154-8.6504e-05i,0.00030368-0.00025537i,-9.4323e-05-8.4345e-05i,0.00025652-0.00018169i,-0.00074853-0.00047725i,-0.0010687-0.00066942i,-0.00022272-0.00040225i,-0.00016508+0.00051892i,-0.00010443+0.00094352i,0.00082026-0.00013731i,0.00049533-0.0008534i,-0.0010067-0.00017401i,-0.0010279-0.00019819i,-0.00043852-0.001001i,2.7439e-05-0.0010811i,-0.00014383-0.00018725i,-0.00044447+0.00015428i,0.00032656-0.00017394i,0.00044819+9.604e-05i,0.00019091+0.00051614i,0.00050183+0.00065665i
-0.00050137-0.0011803i,-0.0016963-0.0014i,-0.002167-0.0011011i,-0.0020191-0.0008516i,-0.0008613-0.00036662i,0.00020571-0.00036377i,0.00033779-0.00072207i,-0.00025165-0.00060372i,-0.00023262-0.00065047i,-0.00014149-0.00055403i,0.00051009-0.00045947i,0.00044373-8.2201e-05i,-0.0001284-0.00015335i,0.00032132-0.0004206i,0.0013202+2.5686e-05i,0.0013919+2.8818e-05i,0.00051882-0.00032512i,-0.00032029-7.0704e-06i,-0.00051786+0.00013022i,-0.00036827+0.00011212i,0.00011797-0.00020767i,0.00046984-0.00077308i,0.00028929-0.00036271i
0.00010844-0.00020728i,0.00020455+0.00068623i,0.00030899+0.0016797i,0.00020833+0.0021434i,0.00050711+0.00070053i,-0.0001319-0.00023994i,-0.00091676-0.00013958i,0.00032673+0.00010263i,0.0010476-0.00060622i,0.00084725-0.00082712i,1.877e-05+2.3733e-05i,-0.00018617-0.0004421i,3.9163e-05-0.00094679i,-7.7646e-05-0.00051277i,-0.00028592-0.00012589i,-0.00052039+0.00033316i,0.00030476+0.00041913i,0.00056184-0.00013699i,0.0007403-0.00052482i,0.00083856-0.00028644i,-0.00049087+8.2819e-05i,-0.00076297+6.9913e-05i,-0.00019068+0.00033045i
-0.00066669-0.00019508i,-0.00087596-0.00062689i,-0.00026365-0.0011808i,0.00064009+0.00029877i,0.00097114+0.0011912i,0.00085301+0.00075545i,-0.00069749+0.00043066i,-0.0010448+0.00021669i,0.00026193+0.00014161i,0.00024248-0.00026452i,-0.00062698+7.7056e-06i,-0.00055183+0.00077967i,-0.00028768+0.00069877i,1.2689e-05-0.00020007i,0.00046417-0.00063616i,0.00064704-0.00054413i,0.00076265-0.00010848i,0.0001999-7.6092e-05i,-0.00092525-0.0003653i,-0.00070323-0.00099315i,-0.00017757-0.0012743i,3.1894e-05-0.00047239i,0.00026591+0.000108i
-0.00019627-0.0015849i,0.00089186-0.0025575i,1.6784e-05-0.0034245i,-0.00094389-0.0019419i,-0.0006616+0.0002158i,-0.00054074+0.00061522i,-0.0010899+0.00044365i,-0.0014245-0.00010694i,-0.0014129-0.00042135i,-0.0014127-0.000497i,-0.00086442-0.00070866i,6.1172e-05-0.00068001i,-0.00021144-7.1959e-06i,-0.00057361+0.0001363i,0.00047094+9.5083e-05i,0.00038066+0.00020488i,-0.00022298+0.0005384i,-0.00046322+0.00048583i,-0.00045978-0.00062992i,-0.00052323-0.00083042i,-8.108e-05-0.0008572i,0.0010106-0.0011171i,0.00071782-0.0010593i
-0.00058045+0.00060191i,-0.00088431+0.00094065i,-0.0012068+0.0014815i,-0.0014488+0.0013844i,-5.8256e-05+0.0009i,0.0010995+0.00029962i,0.00060631-0.00034261i,-0.00027075-0.00046353i,-0.00068071-4.5726e-05i,-0.0011311+0.00076884i,-0.00088194+0.00026486i,0.00014438-0.00042904i,0.00074187-0.00044369i,0.00053758-9.783e-05i,-6.9333e-05+7.7503e-05i,-0.00043481-0.00027974i,-0.00017794-0.00032069i,0.00057283-0.00029216i,0.00067991-0.0004524i,0.00088594-0.00061193i,0.0008493-0.00038686i,0.00040906+0.00022758i,0.00021248+0.00045029i
-0.00058659+0.0018068i,-0.00023472+0.001452i,0.00055159+0.00082545i,0.0012868+6.5217e-05i,0.0018824-0.00011346i,0.0016246-0.00075695i,0.00071937-0.00025461i,-0.00076907+0.00070208i,-0.00079248+0.00054599i,0.00044112+0.00032143i,0.00035832+0.00063077i,-0.00070299+0.001018i,-0.00072033+0.0012529i,6.4807e-05+0.00075427i,-0.00015758-0.00069776i,-4.609e-05-0.0014135i,0.00072527-0.00090246i,0.0012035-0.0010045i,0.0010035-0.0013264i,-0.00048788-0.00052083i,-0.00076024+0.00069758i,0.00011604+0.0011804i,0.00067692+0.00087763i
-0.0003067-0.00021794i,0.00019521-0.0011258i,0.00053-0.0016372i,0.00039578-0.0018851i,0.00036036-0.0014524i,-0.00013943-0.00052642i,-0.00027472-0.00058357i,0.00046585-0.0003468i,0.00088149-0.00028035i,0.00018129+0.00028054i,-0.00036282+0.00050147i,0.00012363+0.00011522i,0.00091272+0.00057405i,0.0010861+0.00039877i,0.00086626-0.00074481i,0.0012804-0.0002889i,0.0015032+0.00068129i,0.00017457+0.00048778i,-0.00026112+0.00044715i,-4.4486e-05-0.00020446i,-0.00014501-0.00033504i,-0.0004116+0.00035684i,-0.00066593+0.00043143i
0.00079615+0.0014462i,-0.00030776+0.0011314i,-0.00087816+0.000916i,0.00067308+0.0012659i,0.0012246+0.0017179i,0.0011778+0.00080087i,0.0010098-0.00044179i,-0.00016437-0.00031151i,-0.00068681+0.00045935i,0.00021725+0.00030907i,0.00093899+0.00010687i,0.00027841+0.00023651i,-0.00013267-0.00050671i,-0.00031446-0.000749i,-0.00039933-3.8723e-05i,-0.00030866-0.00038258i,-7.1835e-05-0.00076998i,-0.00040812-0.00025621i,-0.00067833+0.00045846i,-0.00046129+0.00037968i,-0.00054313+0.00021405i,0.00019475-0.0002813i,0.0011075-0.00073357i
0.0010387+0.00057939i,0.0012745+0.00021385i,0.001189-0.00073663i,0.0003686-0.0011645i,0.00084662-0.0019599i,0.0012821-0.0016908i,0.00014669-0.0010719i,-0.00032844-0.00094773i,-0.0002689+4.3088e-05i,-0.00030802-0.0004344i,-0.00033935-0.00044253i,0.00061601+0.00054984i,0.0010894+0.00095714i,0.00011982+0.001246i,-0.00081138+0.00065377i,-0.0011011+0.00033461i,-0.00081252+0.00031938i,-0.00023541-0.00060521i,0.0004364-0.00081647i,0.00072097-0.00026107i,0.00021322-8.9702e-05i,-0.00071272+4.8404e-05i,-0.00025719-0.00024661i
0.0016382-0.00051307i,0.00013443-0.00041993i,-0.0006843-0.00064356i,-0.0015601-0.00018531i,-0.0017326+0.0017575i,-0.0007896+0.0021652i,-0.00044873+0.0004894i,-0.00033632-0.00024483i,0.00026439-1.5928e-06i,-0.0001806+0.00038128i,-0.0010228+0.00042025i,-0.00087466-0.00025336i,-0.00017249+1.0819e-05i,0.00062711+0.00088491i,0.0010593+0.00046599i,0.00048101+0.00016096i,0.00039558-0.0001647i,-3.9431e-05-0.00032613i,-0.0010903-0.00046197i,-0.00078222-0.00023282i,0.00012153+0.0003132i,0.00076801+0.00033529i,0.00082409+1.1972e-05i
-0.0012037-0.00049574i,-0.00064095-0.00056693i,-0.00047877-0.0013583i,-0.0008817-0.0015804i,-0.00086715-0.0013523i,-0.000444-0.0006256i,1.6801e-05+0.00013165i,-9.0011e-05+0.00075015i,-0.00038995+0.00030555i,-0.00064284+0.00010618i,-0.00092043+0.00070751i,-0.00052932+0.00049307i,-0.00059266+0.00028331i,-0.00097502+0.00053909i,-0.0013402+0.00047274i,-0.00054979+0.00030396i,0.00033403+0.00054471i,0.00071112+0.00022004i,0.0007021-0.00019134i,0.00031971-0.00038078i,-0.00011249-0.0006062i,-0.00046115-0.00076901i,-7.9758e-05-0.00094014i
-0.002309+0.0010647i,-0.0017812+0.0010941i,-0.0021928+0.0022069i,-0.00035124+0.0018303i,0.0018859+0.00042746i,0.0018943-0.00015241i,0.00066635-0.00039085i,-1.0041e-05+0.00024385i,0.00030039+0.0013976i,0.00073308+0.0015783i,0.00084111+0.00074818i,-0.00015533+0.00050499i,-0.00022992+0.00035719i,0.001051-0.00071519i,0.0012274-0.00085843i,0.0004283+0.00055065i,0.00014383+0.00089441i,-0.00031963+0.00039085i,-0.001109-0.00029012i,-0.00085385-0.00065369i,-0.00035287-0.00057442i,-0.00019569-0.00041305i,-0.00020817-0.00016909i
