-0.00062708-0.00032934i,-0.00067355-0.001015i,-0.0028153-0.0011776i,-0.0039132-0.00030637i,-0.0033535+0.001493i,-0.0026986+0.0025956i,-0.00058959+0.0024412i,0.0014095+0.0012728i,0.001441-2.2273e-05i,0.00073267-0.00088203i,0.00016115-0.0010043i,0.00010631-0.00093723i,-0.00028585-0.00015143i,-0.00046178+0.00022273i,0.00014124-0.00038996i,0.00051675-0.00039613i,0.000419-0.00032119i,0.00032205-0.00032141i,0.00079996-0.00045291i,0.00061551-0.00046408i,-0.0005017-7.6061e-05i,-0.0011161-0.000489i,-0.00044519-0.00068695i
0.00030426-0.0023895i,-0.00017868-0.0011488i,-0.0010946+4.4489e-05i,-0.0016583+0.0003661i,-0.0015581+0.00039736i,-0.0011051+0.00025477i,-0.00089907+0.00050506i,-0.00068399+0.0010108i,-0.00012841+0.00056557i,-0.00060283+0.00012111i,-0.0011808+0.00019356i,-0.00036497+0.00057121i,0.00073204+0.00068894i,0.0011484+0.00062516i,0.0001589+8.7778e-05i,-0.00016128-0.00037679i,8.8292e-05+0.00029161i,-0.00016805+0.0010667i,-0.00026531+0.0013309i,-0.00018954+0.00074221i,-0.00033166+1.3346e-05i,-0.00036774-0.00074738i,-0.00010874-0.00087977i
0.00063846+0.00045404i,0.00044777-0.00029857i,0.00039827-0.00016059i,-0.00041356+5.1108e-05i,-6.6167e-05-0.00037598i,0.00070396+8.7392e-06i,-2.6355e-05+0.0009482i,-0.00068284+0.00092817i,-0.00068924+0.0010379i,-0.00033437+0.0008033i,2.0987e-07+0.00062429i,-0.00016569+0.00053742i,-0.00089127+0.00046694i,-0.00045936+0.00020799i,0.00046041+0.00012811i,0.00030233-0.00030526i,0.00058595-0.00050151i,0.00078428-0.00068822i,0.00039998-0.00073456i,-8.8018e-05-0.00013431i,-0.00052084-0.00028292i,-0.00056192-0.00026595i,-0.00013471+0.0002073i
0.00035339+0.0013224i,0.00094346+0.00018543i,0.0002763-0.00034447i,-0.0009253-7.9409e-05i,-0.0011411-0.00087715i,-0.00086273-0.0018729i,-0.00036173-0.0010885i,0.00044487+0.00022153i,0.001104+0.00076409i,0.00037409+0.00031858i,0.00022829-0.00022666i,0.0011295-0.00062346i,0.00045376-0.0003274i,-0.00072328+0.00034617i,-0.00073938+0.00037307i,-0.0003802+0.00031183i,0.00015845+0.0003938i,0.00070791+0.000468i,0.00067804+0.00031128i,0.00082911+0.00023104i,0.00042605-0.00017529i,0.00047771-0.000582i,0.00047083-0.00048429i
-0.0010152-0.0016056i,-0.001896-0.0012914i,-0.0022095-0.00012795i,-0.0010514+2.1118e-05i,0.00028054-0.00027261i,0.0004618-0.00023574i,8.0014e-05+5.6733e-06i,0.0001253+0.00040099i,0.00031792+8.7533e-05i,0.00055811-0.00025174i,0.00045653+0.00013546i,0.00033854+0.00030217i,0.00012031+0.00052032i,-0.00029995+0.00070003i,-0.0001555+0.00047204i,0.00024319+0.0011051i,6.4418e-06+0.00080967i,-0.00031719+0.00022774i,0.00024634+0.00056004i,0.00051397+0.00073297i,-9.5504e-05+0.00086433i,0.00024266+0.00071791i,0.0010245+0.00050468i
0.00036493-0.0015949i,-0.00013378-0.00044387i,-0.00077129+0.00010355i,-0.00072454-0.00034295i,-0.0010025-0.00049102i,-0.00055113-0.00043961i,3.7359e-06-4.9579e-05i,0.0001241+0.00052593i,-0.00051358+0.00040887i,-0.00094703-0.00022516i,-0.00067542+0.00048899i,-0.00057979+0.0010653i,-0.00013159+0.00082181i,0.00021773+0.0010822i,-0.00011949+0.00085289i,0.00046454+0.00024929i,0.00088598-8.0708e-05i,0.00044738-0.00012383i,8.5092e-05+0.0001375i,3.313e-06+0.00025246i,-4.6081e-06+0.00041825i,0.00070217+0.00046437i,0.00074782+0.00017528i
-0.00045745-0.00011471i,-0.001518+0.00025916i,-0.0014756+0.00036961i,0.00040838+0.0011222i,0.00094114+0.00094365i,0.00097167-0.00040227i,0.00080463-0.00027401i,0.00037037+0.00037102i,-0.00051654+0.0003608i,-0.0006148-0.0002868i,-0.00032967-0.00022947i,2.6761e-07-7.4564e-05i,3.6148e-05-0.0001354i,0.00013287+0.00059283i,0.0002938+0.00065972i,0.00013844-0.00064141i,0.00034361-0.0012019i,0.00058479-0.00036717i,0.00050594+0.00010937i,0.00076905-0.00037042i,0.00067065-0.00098896i,0.00053587-0.0004828i,-9.8322e-06+0.00037402i
0.00029046+0.00060635i,0.00051103+0.00079126i,4.0687e-05+0.0015468i,-0.00056051+0.0011482i,-0.001276-8.4259e-05i,-0.0013782+0.00026776i,-0.00053407+0.00027232i,-0.00010168+5.0039e-05i,-0.00013452+0.00043655i,3.3722e-05+0.00078081i,-0.00029804+0.00021281i,-0.0004392-5.5717e-05i,-0.00032921+0.00050941i,-0.00015901+0.00072961i,-0.00030935+0.00023392i,-0.00042633-0.00076954i,-0.00047324-0.00055129i,-0.00032662-0.00023409i,1.5853e-05+8.9706e-05i,0.00018202+0.00033656i,0.00081296-2.9129e-05i,0.00090238-0.00078347i,0.00023261-0.00063102i
-0.00049983+0.00081955i,-0.00041208+0.0018731i,0.0011884+0.0027678i,0.0011483+0.0011853i,-0.00054305-0.0008027i,-0.0017962-0.00079147i,-0.0008164+0.00021394i,0.00013026+0.00062608i,0.00011363-9.7062e-05i,0.00017137-0.00024512i,-0.00030592+0.00011451i,-0.00031828-0.00046897i,0.00045774-0.00094824i,0.00029141-0.00087538i,-7.8751e-05-0.00082639i,-3.5808e-05-0.00087402i,0.00032244+0.00010641i,0.00052704+0.00076442i,0.0002326+0.00065582i,0.00044364+0.00070576i,0.00018693+0.00024797i,-0.00023221-0.00012455i,-0.00067905+0.00012049i
-0.00014205-0.00060039i,-0.00036883-0.00010716i,-0.00011148+0.00013034i,5.1314e-06-0.00010023i,-0.00018343-0.0006785i,-0.00042662-0.00078093i,-0.00015432-0.00014031i,0.0001465-5.4221e-05i,0.0003742+9.9311e-05i,0.00093528+0.00022765i,0.00075623-0.00049651i,-0.00047649-0.00088386i,-0.0010627-0.0011763i,0.00010562-0.0007742i,0.00034709-0.00015498i,-3.6196e-05-0.00031346i,0.00016554-0.00066496i,-0.00016731-0.00058716i,-0.0005917+0.00015618i,-0.00035422+0.0008975i,-0.00024783+0.00028788i,-7.8939e-06-0.00070398i,0.00036-0.000813i
0.0014953+3.9292e-05i,0.00076004-0.00072289i,-0.00022288-0.00052633i,-0.00089319-0.00060665i,-0.0015383-0.0010416i,-0.0014334-0.00068798i,-0.00043067+0.00043629i,5.2237e-05+0.00062802i,3.2104e-05+0.00036685i,9.9937e-05+2.272e-05i,0.00036279-0.00050227i,0.00018639-0.00042825i,-0.00048071-0.00011077i,-0.00033009-0.00010475i,0.00040971-5.7969e-05i,4.8304e-05-6.5024e-05i,-0.00070472-0.00021219i,-0.0011436-2.9677e-05i,-0.00035864-6.6486e-05i,0.00035237+0.00047394i,-6.198e-05+0.00040602i,0.0006113-0.00061716i,0.00095736-0.00045746i
-0.00031294+0.00039425i,-0.00040833+0.00027599i,0.00023157+0.00031442i,0.00071533-0.00031281i,0.00018615-0.0014261i,-0.00052985-0.002122i,-0.00062307-0.0010925i,0.00010682+0.00053294i,-4.1738e-05+0.0013079i,-0.0013767+0.0010732i,-0.0010911+0.00028129i,-0.00071704-0.00018595i,-0.00059152-0.00031133i,0.00029897+6.3156e-05i,0.00073578+0.0001828i,0.00061283+9.2862e-05i,-0.00030261+8.3517e-05i,-0.0014215+5.0009e-05i,-0.0009121+0.00021638i,0.00028441+0.00037131i,-3.0256e-05-1.1454e-05i,-0.00047811-0.00083718i,-0.00054154-0.0012547i
-0.00018325+0.0024369i,-0.00031024+0.0030349i,0.00069119+0.0030865i,0.001147+0.0020586i,0.00077728+0.0011836i,0.00029626+0.00014331i,-0.00065641+0.00023704i,-0.00093752+0.00056525i,-0.00071846+0.00068733i,0.00010699+0.00056964i,0.00080697+0.00043112i,0.00055672+9.5888e-05i,-0.00026468-0.00069293i,-0.00055528-0.0012427i,-0.001175-0.0010596i,-0.0011626-0.00073399i,0.00014617-0.00072408i,8.1726e-05-0.00035823i,-0.00067171+0.00044217i,-0.00074676+0.00053953i,-0.0012078+0.00021823i,-0.0011814-0.00015348i,-3.7418e-05-0.0001428i
0.0021152-0.00077224i,0.00034875-0.00096853i,-0.0016076-0.0010625i,-0.0012494-0.0012056i,-0.00022326-0.0011467i,-0.00062405+6.8815e-05i,-7.8949e-05+0.00052454i,0.000312-0.00010219i,-6.9429e-05-0.00072177i,0.00032013-0.00081355i,0.00047711-0.00074137i,0.00017945-5.5994e-05i,-0.00034195+0.00050594i,0.00026127+0.00039932i,0.00032921-0.00040561i,0.0005647-0.00091942i,0.00073688-0.00051376i,-3.6749e-05+5.2078e-05i,0.00013064+0.00020331i,2.447e-05+0.00013536i,0.00014465-0.00036848i,2.1173e-06-0.00021154i,-0.0005779+6.1658e-05i
-0.0013195+0.0023159i,-0.0011937+0.0023219i,-0.00085798+0.0023779i,-0.00076701+0.001624i,-0.00047092-0.00027612i,2.0974e-05-0.00095468i,-0.00012706-0.00041008i,-0.00043133+9.7021e-05i,-0.0011489+4.7756e-05i,-0.0013418-0.00018786i,-0.00045391+4.2e-07i,0.00012478-0.00050603i,0.00011625-0.0014965i,-0.00014128-0.0013352i,-0.00016387-0.0012532i,-0.00063285-0.00050001i,-0.0004849+0.00046187i,-5.365e-05+0.00024189i,-0.00074749-0.00040642i,-0.0013303+0.00023593i,-0.00084208+0.00066912i,0.00010536+0.00043351i,-6.9194e-05+0.00036201i
-0.0010394+5.8042e-05i,-0.00040919-0.00027064i,0.00048331-6.5341e-06i,-0.00013717-0.00023678i,-0.00038898-0.0006672i,0.00014682-0.00025134i,0.00036988+0.00067531i,0.00048173+0.00047774i,0.00015745-0.00028288i,-0.00021852-0.00036657i,0.00013039+0.00043235i,0.00033652+0.00041584i,0.00060134-0.00074973i,0.00051139-0.0008275i,-0.00020033-0.00041202i,-0.00071937-0.00070574i,-0.00059661-0.00072422i,0.00014368-0.00039025i,0.00042432-1.7071e-05i,0.00027768+0.00013442i,8.3235e-05-0.00085562i,0.00015405-0.00082132i,1.9486e-06-0.00087058i
2.7215e-05-0.00010103i,-0.00049413+0.00045882i,-0.00047116+0.0012926i,0.00067218+0.00051552i,0.00064368-0.00037068i,-0.00049243-3.7768e-07i,-0.0012454+8.3091e-05i,-0.0013667-0.00024989i,-0.00098814+0.00012562i,-0.00052678+0.00051145i,-0.00035334+0.00052856i,-0.00077777-0.00047624i,-0.00025904-0.00095249i,0.00045859+8.9597e-05i,0.00053151+0.00080242i,0.00051604+0.00035424i,0.00054199+1.5339e-05i,0.00058512+5.1145e-05i,0.00024626-0.00028166i,0.00047785-5.0775e-05i,0.00080014+0.00018101i,0.00070091+0.00032385i,0.00047938+0.00043128i
0.0028951+0.0015195i,0.0030802+0.0012581i,0.0022129+0.0003487i,0.00097493-0.001185i,-0.001013-0.001476i,-0.0017893-0.00030768i,-0.00084558+0.00083433i,6.8288e-06+0.00099858i,-0.00016925+0.000337i,-0.00089612-0.00015576i,-0.00079285-0.00041808i,-0.00043117+4.7149e-05i,-0.00024116+0.00055651i,-0.00030765+0.00074827i,-0.00095506+0.00052886i,-0.00059003+2.4656e-05i,-0.00018157-0.00020259i,-0.0004511+0.00012053i,-0.0001494+0.00063237i,0.00019783+0.00017893i,0.00022237+0.0001619i,3.7657e-05+0.00056377i,0.00027251+0.0002829i
-0.0023009-0.00016644i,-0.0020401+0.00026158i,-0.00085504-0.00029946i,0.00042784+1.2691e-05i,9.8288e-05+0.00015622i,-0.00048619-0.00011965i,-0.0001622+0.00013229i,-8.9853e-05+0.00030481i,0.00010451+0.00037055i,0.0005246+0.00010583i,0.00086298+0.00024451i,0.00017366+0.00062688i,-0.00091709+0.00031803i,-0.00056983-0.00027824i,0.00013941-0.0003857i,0.00019934-0.00020434i,-0.00045744-0.00060719i,-0.00098656-0.00094021i,-0.00077544+7.8665e-06i,-9.2615e-05+0.00045413i,0.00026107-0.00045462i,0.00081518-0.00089924i,0.0008626-0.00016605i
0.00021892-0.0017446i,-0.00023653-0.0013542i,-0.00069456-0.00064883i,-0.0010731+0.00042544i,-0.00062829+0.00084621i,-0.00052394+0.0010481i,-0.00013942+0.0014288i,0.00093754+0.00091526i,0.00013762-0.00015283i,-0.00077798-0.00021021i,-0.00014461+0.00072772i,0.00056955+0.00083563i,0.00058403+0.00022653i,-4.6336e-05-5.3781e-05i,-0.00035512+0.00018106i,0.00043613+0.00023506i,0.00060664-0.00018986i,0.00067213-0.00046502i,0.00044374-0.00031187i,-0.00016522+0.00049788i,-0.0006988+0.00077523i,-0.00094183+0.0004554i,-0.00057258-0.00010064i
0.0013544-0.001531i,0.00043789-0.002684i,-7.4819e-05-0.0027626i,-0.0014886-0.0013371i,-0.0025803-0.00019255i,-0.0010037+0.0005617i,0.00018582-2.8723e-05i,0.00048449-0.0011149i,0.00038081-0.00040657i,-0.00038626+0.00018474i,-0.00062144+0.00096435i,-0.00074305+0.0013399i,-0.00023599+0.0011105i,0.00051693+0.00065338i,0.0005353-0.0002271i,0.00015912+4.5399e-05i,3.7527e-05+0.00034329i,0.00059585-5.2965e-05i,0.00078011-0.00044704i,0.0005948-0.00049285i,0.00029242+8.833e-05i,-5.7353e-05+0.00058187i,-0.00015131+0.00022352i
-0.0026949-0.00011987i,-0.0010224+0.0012439i,0.00054723+0.0016798i,0.00010147+0.0018944i,-0.00065795+0.0013723i,-0.00040712+0.00030187i,0.00020752+4.9121e-05i,0.00043114+0.00077385i,-0.00012085+0.0016092i,-0.00065959+0.0022524i,-0.00020695+0.0014421i,9.5177e-05-0.00041293i,-0.00042799-0.00088759i,2.5486e-05-0.00095438i,0.00070022-0.00056476i,0.00058709-0.00061493i,0.00026836-0.00060392i,0.00016517-8.5343e-05i,0.00064501-0.00059087i,0.00082099-0.0011075i,0.00026749-0.0011434i,-0.00043624-0.00083239i,-0.00049856+8.4438e-05i
-0.00087819+0.0010026i,-0.0011002+0.00060296i,-1.5e-05+0.001433i,0.0010485+0.0011789i,0.00018804-0.00010594i,-0.00095166-0.0006566i,-0.0010478-0.00068773i,-2.1371e-05+3.0307e-05i,0.00037049+0.00083614i,-0.00035869+0.00076661i,-0.00052072+0.00045885i,-0.00066148+9.3679e-06i,-0.0010764-0.00099736i,-0.0014758-0.0013658i,-0.0013569-0.0012633i,-0.0011069-0.0008192i,-0.0010039-4.8449e-05i,-0.00010973+0.00071324i,0.00032547+0.00082942i,0.00075869+0.00013355i,0.0008901-0.00029819i,0.00040032-0.00051412i,0.00029043-0.000111i
0.001884-0.00024784i,0.0012662-0.00075559i,-0.00041639-0.00073184i,-0.00099178-0.0004291i,-0.00058068-0.0010473i,-7.8382e-05-0.00042148i,-0.00010417+0.0010047i,-0.00069956+0.0010275i,-0.0006217+0.00083539i,-0.0001485+0.00073401i,-0.00048348+0.00064571i,-0.00021706+0.0013308i,-0.00043695+0.0012058i,-0.00020217+0.00074536i,0.0010053+0.0006079i,0.0013992+9.8321e-05i,0.001284-0.00033236i,0.0011449-0.00048125i,0.00062433-0.00083043i,0.00049711-0.00019343i,0.0003401+0.0003161i,9.3389e-05+0.00030124i,-0.00012173+0.00052687i
-0.00079126+0.0001679i,-0.00011198+0.00055551i,-0.00018735+0.00016178i,-0.0010642-0.00022966i,-0.0015487-0.00087563i,-0.0014791-0.00020114i,-0.0013268+0.00077913i,-0.0008615+0.00033031i,-0.00042167+0.00039436i,-0.00088946+0.0013512i,-0.00095769+0.001343i,-0.00068437+0.00015356i,-0.00036352-0.00074253i,-0.00019659-0.00054025i,-0.00021575-0.00025435i,-0.00040185-0.00032272i,-0.00051224+0.00044475i,-0.00075252+0.00062261i,-0.00097122-0.00035529i,3.4894e-07-0.00032142i,0.00084135+7.888e-05i,0.0013149-0.00037873i,0.0014342-0.00060247i
-0.0012547+8.5954e-05i,-0.0014825+0.00092328i,-0.0022341+0.00086118i,-0.0022686+0.00094434i,-0.0012089+0.0010476i,-0.00027203+0.00028884i,-1.2181e-05+0.00057329i,-0.000102+0.0010081i,0.00020046+0.0005502i,-0.00033621+0.00027445i,-0.0012797+5.4723e-05i,-0.00032651+0.0001567i,0.0010026+0.00077062i,0.0012233+3.5376e-05i,0.00071594-0.0014528i,0.00097997-0.0017921i,0.0010671-0.0015035i,0.0010331-0.00028638i,0.00079334-5.3984e-05i,0.00043587-0.00052744i,0.00011877-0.00040162i,-0.00029779-5.6473e-05i,-0.00025224+0.00015203i
0.00086643-0.0018602i,-0.0001153-0.0017972i,-0.00066133-0.001459i,-0.0010236-0.00070196i,-0.0013213+3.2891e-06i,-0.00046842+0.00065296i,0.00039666+0.00079697i,0.00020962+0.00058399i,-0.00063442-0.00010605i,-0.001826-0.00012516i,-0.0020338-0.00025673i,-0.0012203-0.00035913i,-0.00087345+1.1939e-05i,-8.3948e-05+0.0012161i,0.00023266+0.0011822i,-0.00037039-0.00031378i,-0.00024319-0.00042242i,0.0004551+0.00034461i,0.00076631+9.1204e-05i,0.00034115-0.00052852i,0.00055702-0.00061467i,0.00079733-0.00035904i,0.00067293-0.00029411i
-0.00024044-0.0006377i,-0.00073181-0.0011159i,-0.0016112-0.0010144i,-0.0011132-0.0006024i,-0.00063268-0.00016454i,-0.00085816+0.00017837i,-0.0011104+0.00080526i,-0.00070481+0.00023481i,-0.00034167+7.6958e-05i,-0.00070055+0.00066869i,-0.00020057-3.3093e-05i,7.486e-05-0.0004657i,-0.00055485+5.0115e-05i,5.7752e-06+0.00046457i,0.00015966+0.0013056i,-0.00077707+0.0014168i,-0.00059703+0.00086154i,-0.00015154+0.00036203i,-0.00018381+9.2587e-05i,-2.7048e-05-0.00011557i,0.00018313-8.2821e-06i,0.0003735+0.00090931i,5.9285e-06+0.00045316i
-0.0012991+0.0002668i,-0.0010035+0.00029735i,-0.00089423+0.00057086i,-0.00048821-0.00079679i,0.00063679-0.00045458i,0.00097373+0.00086153i,0.00073396+0.0012172i,0.0005045+0.0012052i,-0.00079083+0.00054123i,-0.0010859-0.00056887i,-0.00042672-0.00079132i,-6.471e-06-0.00039846i,0.00059755+0.00038113i,0.00051307+0.00014848i,0.00042072-0.00081101i,0.00067587-0.00019702i,0.00024099+0.00039138i,-0.00011334+5.8371e-05i,9.5142e-05+9.2823e-05i,-0.00014795+0.00031928i,-0.00038063+0.00025929i,-0.00033984-2.3785e-05i,-0.0005034+0.00012902i
0.0024526-0.0018138i,0.0017141-0.0023716i,0.00036559-0.0018388i,-0.00056784-0.00081261i,-0.001661+0.00023031i,-0.0018659+0.0010581i,-0.001083+0.0014359i,-0.00058481+0.001061i,-0.00030058+0.00033323i,-0.00017898+0.00040692i,-0.0006244+0.00084222i,-0.0003695+0.00078205i,0.00055228-0.00011948i,0.00048879-0.00012393i,-0.00066059-0.00013756i,-0.0008628-0.0009031i,-0.00048689-0.0012437i,-0.00014736-3.7182e-05i,9.2787e-05+0.0018073i,0.00017759+0.0018243i,-0.00034295+0.00094864i,-0.00024388+0.00018905i,0.00047115+0.00025154i
0.00030104+5.0008e-05i,0.00010293-0.00047683i,0.00049304-0.00083724i,0.00075749-0.0011634i,-0.00026991-0.0010918i,-0.0010224+0.00031006i,-0.00072329+0.001227i,0.00030764+0.0010825i,0.00076371+0.00061572i,0.00027632+0.00025619i,-0.00036612+0.00020662i,-0.00057435+0.00021685i,-0.00042882-0.00025284i,-0.00076184-0.0007932i,-0.00040509-0.00069355i,0.00051474+0.00056891i,0.00043754+0.0010626i,9.2413e-05+0.0004186i,0.00027877-0.00067945i,8.9779e-05-0.00014069i,-0.00011716+0.0010195i,0.00010713+8.2959e-05i,0.00031964-0.0010588i
-0.00017+0.00091115i,-0.00094415+0.001466i,-0.00070683+0.0017095i,0.00042203+0.00076306i,-9.2342e-05-0.0002429i,-0.0015323+0.00030414i,-0.00082938+0.0011149i,7.0095e-05+0.00082797i,0.00026526+0.00021121i,0.00040292+0.00054588i,-0.00030066+0.0010237i,-0.0010955+0.00063905i,-0.00083783+0.0004639i,-0.00028682+0.00026334i,-0.00031109+1.5703e-05i,-5.9655e-05-0.00041373i,8.5104e-05-3.0331e-05i,-0.0003342+0.0010394i,-0.00039448+0.0012314i,-0.00016032+0.00025255i,9.5598e-05-0.0010541i,0.00039714-0.0011034i,-2.2343e-05-0.00078009i
