0.00084133-0.0010051i,-0.00036813-0.00076276i,-0.0010936-0.0013514i,-0.00040321-0.00054055i,-0.00014608-2.7988e-05i,-0.00026428-0.00068458i,5.792e-05-0.00068597i,-0.0001113-1.2618e-05i,-0.00013722-0.00012633i,-0.00047346-0.00097005i,-0.00057278-0.00092931i,-0.00035269-0.00054257i,-0.00028097-0.00064675i,-0.00046196-0.00059581i,0.00011512-0.00031379i,-0.00019988-0.00042677i,-0.00085901-0.00020243i,-0.00073786-0.00013205i,-0.00020826+7.4539e-05i,0.00019194+0.00020759i,-0.00019224-0.00019326i,-0.00038748-0.00012342i,-0.00037509+0.00019898i
0.0015925-0.00047248i,0.0010722-0.00032304i,0.00047032-0.00080089i,0.00058139+0.00072085i,0.00096698+0.001463i,0.0009901+0.00057875i,3.7473e-05+0.00076786i,-0.00063887+0.0005151i,-0.00059577+5.1767e-05i,-0.00091134+0.00036564i,-0.0014964+0.00033026i,-0.00052245-1.6728e-06i,0.00014594+0.00045375i,0.00018336+0.00018208i,-2.7702e-05-0.00062257i,1.6027e-05-0.00045932i,0.00022866+0.00024429i,-0.00070863+0.00010877i,-0.0012637+0.00016534i,-0.00073099+0.00093681i,-0.00048616+0.00067388i,-0.00018247+6.634e-05i,-0.00046672+0.00028988i
0.0015151+0.00064989i,0.001066-0.00055464i,0.002289-0.0018114i,0.0021237-0.0013515i,0.0018001-0.0015602i,0.0012157-0.0017001i,0.00013984-0.0007349i,-0.00017928+0.00059112i,-8.8835e-05+0.00016087i,0.00013727-0.0010397i,-0.00049868-0.0010102i,-0.00062051-0.00023651i,-0.00015074+0.0003475i,7.4042e-06-0.00016154i,-0.00031216-0.00066385i,-0.00057491-0.00037723i,-0.00014391-0.00015197i,-0.00021235-0.00062164i,-0.00030182-0.00056068i,4.4161e-05-0.00014138i,-0.00037826-0.00048115i,-0.00047394-0.00064484i,-0.00064198-0.00017656i
-0.00089911+0.00053645i,-0.0012913+0.0010842i,-0.00094274+0.0026643i,0.0010769+0.003729i,0.0018785+0.0030065i,0.0012488+0.001288i,0.00071754-4.6369e-05i,-0.00019538-0.00053694i,-0.0012009-0.00035213i,-0.0011773-1.9733e-05i,4.9924e-06+4.5315e-05i,0.0010547-5.0601e-05i,0.0010114-0.00029375i,0.0010675-0.00033837i,0.00082346+0.00015765i,4.1211e-05-0.00021357i,-0.0011458-0.00066494i,-0.0013927-0.00082774i,-0.00022408-0.0007508i,5.1187e-05-9.4734e-05i,0.00019075+0.00044479i,0.0010934+0.00037025i,0.0016246-6.6452e-05i
-0.001366+0.0012066i,-0.0019298+0.00086689i,-0.00082672+0.002187i,0.0011155+0.0029885i,0.0012446+0.0022757i,0.0014832-0.00017738i,0.0012641-0.0018283i,-0.00029854-0.001556i,-0.0011745-0.00036965i,-0.0011063+5.1685e-05i,-0.00025125-0.00026577i,0.00041686-0.0012402i,0.00081029-0.0013065i,0.00090681-0.00040777i,0.00097812-0.00076016i,0.0005278-0.0011747i,0.00013129-0.00069851i,0.00068949-0.00081683i,0.00079719-0.00021463i,0.00074882+0.00025998i,0.0007654-0.00018348i,-0.00070659-0.00019838i,-0.0013081-0.00036736i
1.7525e-06+0.00086525i,0.0017746+0.00019052i,0.0030079-0.00016088i,0.0035718-6.6761e-05i,0.0034808+0.00012254i,0.0019886-0.00041038i,0.00076693-0.0010871i,0.00070794-0.00074737i,0.00049834-0.00038144i,-0.00043678+0.00015174i,-0.00085329-0.00026658i,-0.00028501-0.0012495i,0.00031889-0.0012173i,0.00074488-0.00076094i,0.0007917-0.00011773i,-3.7998e-05+0.00055974i,-0.00024309+0.00023702i,0.00046932-0.00034762i,0.00038981+0.00029399i,-1.3402e-05+0.00056311i,-0.00016102+0.00058277i,-0.00096426+0.00041031i,-0.0014715-0.0003557i
0.0013361+0.0021937i,0.0019115+0.0019571i,0.001686+0.0026378i,0.0017288+0.0023076i,0.0023916+0.0011428i,0.0019414+0.00018603i,0.00086997-0.0005346i,0.00013208-0.00095305i,-0.0004405-0.00092893i,-0.00045525-0.00061837i,-0.00067077-0.00012446i,-0.00065508-0.00012914i,-0.00014905+0.00040239i,-4.519e-06+0.00062817i,-0.00024054+3.2496e-05i,-0.00031404+2.3667e-05i,-0.00010257+4.5767e-05i,8.0724e-05+0.00060329i,-0.00028947+0.0004908i,3.3406e-06-0.00034071i,8.4636e-05-0.001131i,0.00014321-0.0018612i,0.00020766-0.0009917i
0.0010846-0.0001885i,0.0012994+0.00013297i,0.001397+0.00067685i,0.0013635+0.00035183i,0.0014686+0.00076844i,0.00099214+0.00058097i,-0.00016323-0.00072027i,-0.0016118-0.00069584i,-0.0015214-0.0007659i,-0.00075371-0.00066263i,-0.00014841+0.00020409i,0.00029278+0.00013685i,-3.1256e-05+0.00073132i,-0.00019514+0.00050776i,-4.6799e-05-0.00052583i,0.00022372-0.00072998i,0.00040269-0.00023299i,0.00010598+1.9696e-05i,0.0003699-0.00038798i,0.00044234-0.00094963i,-0.00016914-0.00070411i,-8.1886e-05-0.00033069i,0.00048698+8.3073e-06i
-5.6373e-05+4.0911e-05i,0.00035809-0.00017809i,-0.00032485+0.00086507i,-0.0015174+0.0018985i,-0.0014962+0.0018029i,-0.0011188+0.0014101i,-0.0010957+0.00065551i,-0.00060392+0.00053785i,-0.00020314+0.00022003i,-0.00060312-0.00011407i,-0.0012157+0.0001002i,-0.00082732-3.5296e-05i,-0.00046405+0.00018753i,-0.00045691+0.00048017i,-0.00092986-1.834e-06i,-0.0010698-0.0010233i,-0.00058334-0.0011155i,0.00024279-0.00051841i,0.00060803-9.3524e-05i,0.00029736+0.0010129i,0.00034785+0.00081898i,-0.00015096+0.00044619i,-0.00045514+0.00013118i
-0.00036335-0.00029413i,-0.0012017-6.6848e-05i,-0.00038296+0.00017452i,0.00016969+0.00083241i,-0.00023318+0.00083267i,-0.00023993+0.00066193i,-0.00091321+0.00017958i,-0.0010173-0.00041516i,-0.00021043-0.0008446i,0.0001429-0.0011159i,0.00045342-0.0011439i,0.00023884-0.0014592i,-0.00025568-0.0013201i,-0.00016881-0.00013885i,0.00045283+0.00035106i,-0.00011064-0.00011459i,-0.00103-0.00029224i,-0.00043807-0.00059558i,0.00037272-0.0007143i,0.00022149-0.00055065i,-0.00017427-0.00058953i,-0.00048886-0.0004338i,-0.00062015-0.0003987i
