-0.0017612-0.002412i,-0.0014418-0.0015366i,-0.0011752-0.00099867i,-0.0016564-0.0010719i,-0.0017369+0.00036823i,-0.00079077+0.0016035i,-0.00064821+0.0012607i,-0.00059033+0.0012971i,0.00017583+0.0016233i,0.00055476+0.0010813i,0.00043913-0.00069878i,-0.00019303-0.00096123i,-0.0012603-0.00019404i,-0.001026-0.0001496i,-0.00036331+0.00033141i,0.00055582+0.00099398i,0.00090929+0.00097842i,-9.2989e-05+0.00076363i,-0.00049271+0.0010638i,-0.00063034+0.0010002i,-0.00077395+0.0006882i,-0.00069218-0.00010798i,-0.00039193-0.00088121i
-0.0022573+0.00081309i,-0.0016931+0.001621i,-0.0022939+0.00083783i,-0.0022048-0.00023351i,-0.00092894+4.2631e-05i,0.00056515+0.00035015i,0.00068464-0.00042159i,0.00011408-0.0010744i,-0.00036989-0.00014348i,-0.00078066+0.00087686i,-0.0007978+0.00083468i,-0.00055979+0.00011363i,-0.0005565-0.00043507i,-0.00057326-0.00026544i,-0.00058726+0.00043029i,-0.00022605+0.001269i,-0.00014821+0.0012231i,0.00025465+0.00014453i,0.0010143+0.00041682i,0.00065877+0.00040402i,0.00012818+0.00017153i,-0.00049541+0.00035862i,-0.0003888+0.00081543i
-0.0018027+0.0016181i,-0.0011018+0.0015639i,-0.0015369+0.00089454i,-0.0014424+0.00037826i,-0.00014804-1.7991e-05i,0.0013497-0.00035371i,0.0015504-0.00096923i,0.00024-0.001379i,-0.0011279-0.00077738i,-0.00099381+5.8979e-05i,-5.6669e-05-1.5601e-05i,-0.00024007+6.522e-05i,-0.00039798+0.0002714i,-8.9491e-05-0.00052083i,0.00021414-0.0009401i,0.00022376-0.00053222i,-5.1501e-05-0.00022835i,-0.00071541-0.00045192i,-0.00077583+0.00013349i,-0.00061843+0.00093423i,-0.0002013+0.0010314i,-0.000369+0.00075283i,-0.00049539+0.00030229i
-0.00078474+0.0022517i,-0.00067097+0.00058868i,0.00035503-7.5968e-05i,4.5675e-05-0.00070077i,8.6071e-05-0.0012213i,0.00019413-0.0017661i,0.00013039-0.00172i,0.00024572-0.0011138i,-0.0005097+0.00011526i,-0.0013776+0.00098687i,-0.00094225+0.00051869i,-0.00057967+0.00047446i,-0.0006376+4.6976e-05i,-0.00077319-0.0001481i,-0.00075353+0.00032209i,-0.00018988+0.00056285i,-0.00015482+0.0004314i,-6.8807e-05+0.00076294i,0.00083723+0.001145i,0.0011113+0.00040978i,0.0010825-0.00058013i,0.00058006-0.00063842i,0.00022988-8.4641e-05i
0.0010447-0.0020382i,-8.4457e-05-0.00077361i,-0.00068012-0.00078938i,-0.0012368-0.001351i,-0.0016138-0.0013363i,-0.00024532-0.0011446i,0.00073718-0.0013176i,0.00049912-0.00091106i,-0.00012996+5.303e-05i,-0.00063288+0.0010082i,-0.0010325+0.0013107i,-0.00049018+0.0010281i,-0.00037089+0.00084592i,-0.0012732+1.1804e-05i,-0.0007229-0.00069929i,-0.00039113-0.00048899i,-0.00072461+6.4991e-06i,-0.00095213-7.9371e-05i,-0.00058709+0.00026205i,0.00043048+8.3645e-05i,0.00064151+0.00020004i,-0.0002287+0.00061805i,-0.00042617-8.8276e-05i
-0.0012337+0.00095994i,-0.00035397+0.0019001i,-0.00075906+0.0014302i,-0.00067838+0.00023436i,-0.00023555+0.00040679i,-0.00019204-6.9084e-05i,-0.00038688-0.001172i,-0.00014128-0.0007116i,-0.00054248+0.00070118i,-0.0010325+0.0011864i,-0.00056572+0.00085464i,-0.00048449+0.00051454i,-0.0011724+0.00042288i,-0.0011639+2.1334e-05i,-0.00034395-0.00019771i,-0.00023093+0.00080503i,-0.00054986+0.0010264i,-0.00022637+0.00078102i,-0.0003472+0.0011424i,-0.00099626+0.00090968i,-0.00040274-0.00020032i,0.00020352-0.00091896i,-4.756e-05-0.00088612i
-0.0036251-0.00016022i,-0.001715+0.00067585i,-0.00072753+0.00077409i,-0.0010029+0.0010759i,-8.6279e-05+0.0010314i,0.0013084+0.00057051i,0.00094499-0.0007536i,-0.00033596-0.00089896i,-0.00046206-0.0002004i,0.00013344+0.00029168i,8.596e-05+0.0018146i,-0.00032313+0.0017675i,8.145e-05+0.00015627i,0.0008308-2.2527e-05i,0.00038316+0.0010317i,-0.00048829+0.00096876i,-0.0004741+0.00046615i,-0.00039274+0.00061786i,-0.00076065+0.00044943i,-0.00018573-0.00014644i,-0.00016805-0.00078117i,-0.00038427-0.00083478i,4.4943e-05-0.00033894i
0.0009162+0.0013926i,0.0014039+0.0023362i,0.0012741+0.00081074i,0.0010783-0.00054783i,0.0012082-0.00033619i,0.0012027+0.00025824i,0.00097839-0.00063596i,0.00079598-0.00092037i,-0.00026831-6.6339e-05i,-0.00074553-0.00018964i,-0.00053363-0.00034447i,-0.0008046-0.00032539i,-0.00027669-0.00019074i,0.00042016+0.00016711i,-0.0004504+0.0003017i,-0.00087012+0.00019441i,0.00030643-5.8458e-05i,0.00047456+0.00044188i,0.00028999+0.00092548i,0.0006565+0.00059683i,0.0001454+0.00027018i,8.2595e-05+0.00038754i,0.00035288+0.00042657i
0.00038595-0.00053492i,0.00017421-0.00066727i,-0.00063075-0.00018866i,-0.0020621-0.00098479i,-0.0022277-0.0011816i,-0.00053591-0.00070136i,0.0004786-0.0011501i,0.00016109-0.0013096i,-0.0008407-0.00089904i,-0.0018152-9.0571e-05i,-0.0018801+0.00031996i,-0.00057445-4.3963e-05i,4.9888e-06-0.00055466i,-0.00034865-0.00012914i,-0.0001717+0.0009603i,0.00044723+0.00097238i,0.00014823+0.00058871i,-0.00052801+0.00036714i,-0.00024466+0.0003883i,0.00059699+0.00039383i,0.00079763-0.00050247i,0.00086656-0.00053323i,0.0008079+4.5386e-05i
-0.0012434+0.00022761i,-0.0014933+0.0013492i,-0.0011936+0.00056415i,-0.00073309-0.00020558i,-0.000872+0.00015593i,-0.00062866-0.00011595i,-0.00013546-0.00073985i,-0.00051081-0.00096417i,-5.4536e-05-0.00067138i,0.0003329-2.1259e-05i,-0.00026868+0.00014727i,-0.0001321+7.1568e-05i,0.00050596-0.00056381i,0.00040392-0.00048619i,-0.00080948+0.00038141i,-0.0005979+0.00046417i,0.00085831+0.00011648i,0.0010345-0.00028836i,0.00046455+0.00016959i,-0.00010825+0.00072537i,-0.00057062+0.0003135i,-0.00046356+2.1942e-05i,-6.7492e-05-9.8383e-05i
-0.0016765-0.0012263i,-0.0024081-0.0010318i,-0.0022175-0.0012605i,-0.0015651-0.0013655i,-0.00088443-0.00014968i,8.9466e-05+0.00079888i,0.00030689+0.0003206i,0.00030481-0.00014505i,-0.00035929+0.00028714i,-0.0013673+0.00062922i,-0.0013969+0.00042953i,-0.0013621+0.00073562i,-0.00078882+0.00077822i,-0.00029016+0.0012292i,-6.6878e-05+0.001236i,8.3124e-05+0.00087131i,-0.00012982+0.00059881i,-0.0001663+0.00021331i,0.00039946+0.00058965i,0.00084561+0.00089061i,0.00042662+0.00034316i,-0.00035915-0.00076229i,-0.00071477-0.0009236i
