-0.0042618+0.0016527i,-0.0028739+0.0014281i,-0.0028945+0.0019259i,-0.0020709+0.0018288i,-0.0010035+0.0019159i,-0.00087694+0.00070019i,-0.0009198+0.0006271i,-0.00086239+0.00068767i,-0.00082483-5.8455e-05i,0.00027996-0.00045149i,0.00087094-0.00048399i,0.00034753-0.0011962i,0.0003604-0.0017438i,0.00017188-0.0022958i,0.00037249-0.0024976i,0.00072136-0.0016528i,0.00022239-9.9544e-05i,-0.00080892+0.00076821i,-0.0010736+0.00014296i,-0.00070375-0.00010685i,-0.00018727+0.00081405i,-2.3696e-05+0.00057396i,-0.00013768-0.0002481i
0.00097636+0.00079446i,0.00066659+7.3558e-05i,-0.00036751-0.00039131i,-0.001354-0.0008843i,-0.0021369-0.001025i,-0.0032039-0.00064808i,-0.002781+0.00049851i,-0.00093605+0.00090038i,0.00026127+0.00054162i,0.00059402+0.00015566i,0.00018665-0.0006912i,-0.00042791-0.0006657i,-0.00075272-0.00072965i,-0.00072546-0.0011136i,-0.00083827-0.00059656i,-0.00040884-0.00012333i,4.2781e-05+6.0545e-05i,-0.00022627+2.568e-05i,-0.00013679+7.3651e-05i,-0.00066958+6.1923e-05i,-0.0010681+0.00026524i,0.0001238+0.00038807i,0.00066914-0.00052534i
-0.00091513+0.00060381i,-0.00093253-0.00012296i,-0.00067749+6.435e-05i,-0.00085796+0.00017682i,-0.00065311-0.00026853i,-0.00054701-0.00016124i,-0.0014018+0.00050999i,-0.00086475+0.00065071i,0.00065435+0.00031114i,0.0013898+5.1478e-05i,0.0013057-0.00012406i,0.00036009-0.00053963i,0.00056716-0.0002617i,0.00098105+0.00045651i,0.00055125-0.0002873i,0.00048806-0.00075908i,0.00027225-0.00057754i,1.0949e-05-0.00050792i,0.00037284+0.0001519i,0.00054867+0.00027744i,0.00026814+0.00021133i,4.0646e-05-0.00046506i,-0.0005183-0.0010753i
-0.00088971+0.0011091i,-0.00068467+0.0014221i,-0.00044343+0.0012197i,-0.00023639+0.00078i,0.00027435+8.4861e-06i,0.00013592-0.0005012i,-0.00090806-0.00038594i,-0.001783+0.00029454i,-0.00071551+0.0013082i,0.00061003+0.00186i,0.00058203+0.0010596i,0.00070596-0.00033742i,0.0013112-0.0011428i,0.0015559-0.00080657i,0.00094394+9.979e-05i,-9.3252e-05-0.00029707i,7.3449e-05-0.00091956i,5.3228e-05-0.0005469i,-0.00037656-0.00024776i,-0.00053556+0.00070947i,-0.00084913+0.0016842i,-0.00058489+0.00091799i,-0.00025386+0.00026769i
-5.6792e-05-0.0014228i,-0.00019476-0.00055063i,-0.001019+0.00051229i,-0.0018777+0.00037603i,-0.0011423+0.00020048i,-0.00072608-0.00016235i,-0.00079684-2.8095e-05i,-0.00013321+0.0005935i,0.00023953+0.00069022i,-0.00031226+0.00044502i,3.5495e-05-0.00029295i,0.00033178-0.000866i,-3.6951e-06-0.0010018i,-7.5414e-05-0.00012617i,-0.00032584+4.721e-05i,-0.00054595-0.0011335i,-0.00039978-0.0013596i,-5.3116e-05-0.00062017i,0.00031971-9.2362e-05i,0.00050916+0.0005703i,0.00038134+0.00070377i,1.7657e-05-0.00014596i,-0.00036248-0.00044987i
-0.00097196-0.00034496i,-0.0013173+0.00027452i,-0.00096505+0.00029598i,-0.00096157-0.00056616i,-0.00096706-0.00088479i,-0.0017727-0.0005307i,-0.0018087+0.00024499i,-0.00051081+0.00041731i,2.7819e-05+0.00036219i,-0.00078028+0.00070144i,-0.0015241+0.00050701i,-0.0011326-0.00032691i,-0.0001613-0.0012135i,0.00010663-0.00088582i,-0.00043634-0.00053138i,-0.00075344-0.00063515i,-0.0005471-0.00075144i,-0.00051319-0.00098928i,0.00056661-0.00099059i,0.001027-9.1439e-05i,3.0444e-05+0.0010034i,-9.6569e-05+0.0010614i,0.000329+0.00023784i
-2.8588e-05+0.0013246i,-0.00087141+0.001198i,-0.0010967+0.0014162i,-0.0011572+0.00090711i,-0.0019336+0.00016808i,-0.0020992-1.3807e-05i,-0.0014299-0.00014443i,-0.00010003-0.00046708i,0.00064627-0.0004583i,0.0007547-3.415e-05i,0.00075954-0.00052369i,0.00078973-0.0010639i,0.00051811-0.0008032i,-0.0011065-0.00074749i,-0.001603-0.00056973i,-0.00031151-2.9528e-05i,0.00010852-0.00015868i,-0.00044926-0.00011535i,-0.00017254+0.00067307i,0.00044272+0.0015369i,0.00044068+0.0012033i,0.00076552+0.00055565i,0.00072844+0.00032605i
-0.00029906+0.0005008i,-0.00013718+0.00050999i,-0.00034984+0.00013969i,-0.0015972-0.00058723i,-0.0023749-0.00035806i,-0.0025196-0.00013273i,-0.0022945+0.00031046i,-0.0015131+0.00040958i,-6.8938e-05+7.5352e-05i,0.00052286+0.00027818i,0.00077046+0.0002296i,0.00016797-6.2858e-05i,-0.00047826-0.00072228i,6.5685e-05-0.00043191i,-5.8976e-05-0.00029791i,-0.00030084-0.00097029i,-2.1305e-05-0.00057695i,0.00048468+0.00010597i,0.00040892+0.00033366i,0.00063572+2.7393e-05i,0.00046847-0.00019894i,-0.00017968-0.00015098i,-0.00014515+0.00037226i
-0.0016359-0.0009706i,-0.0019807-0.0014408i,-0.0017256-0.00095016i,-0.00045127+0.00039589i,-3.6304e-05+0.00093736i,-0.00037854+0.00036462i,-0.00065026-0.00030868i,-0.00074581-0.0002186i,-0.00028195-0.00016292i,0.00020859+8.1166e-05i,0.00046787+0.00045782i,0.0005202-6.9901e-05i,0.00034608-0.0004417i,-0.00013275-0.0004961i,-0.00062698-0.00085239i,-0.00057153-0.00018065i,-1.6101e-05+0.00064562i,0.00043779+0.00077716i,0.00022212+0.00032872i,-0.00023236-5.5526e-05i,-0.00049169+6.1271e-05i,-0.00065047+0.00054649i,-0.0001215+0.00050722i
-0.00075986+0.00010713i,-0.00020232+0.00067652i,-0.00033424-8.1473e-05i,-0.00035702-0.00081119i,-0.00064933-0.0012327i,-0.00065641-0.00074194i,-0.00072245+0.00016113i,-0.00026003+0.00066422i,0.0006828+0.00042333i,0.00080245-4.8968e-05i,0.00064946-0.00014683i,0.00064557-0.00017871i,0.00051296-0.00087714i,0.00037112-0.00094132i,0.00029405-0.00029092i,-0.00066877-0.00056775i,-0.0011368-0.00079122i,-0.00069768-0.0011698i,-0.00023492-0.0011556i,0.00039706-0.00020728i,-0.00042724+0.00093917i,-0.00048819+0.0009935i,0.00041096-1.6628e-05i
-0.0034253-0.00092926i,-0.0033153+0.00044516i,-0.0026949+0.0010419i,-0.0021619+0.0012717i,-0.0018045+0.0012302i,-0.0015802-6.083e-05i,-0.0020912-0.00076776i,-0.0018113-0.00020034i,0.00021537+0.0003008i,0.0010839+0.00072834i,0.00065686+0.00033564i,0.00015946+0.00056506i,-0.00049879+0.00085428i,0.00027318-0.00033348i,0.00097218-0.00047779i,-0.0002004-0.00026304i,-2.9505e-05-0.00075478i,0.0011869-0.00068776i,0.00070983-0.0005146i,0.00011165-0.00055302i,-2.5355e-06-0.00056025i,-0.00020144-0.00056575i,-0.00035993-0.00070535i
-0.00082042-0.00056198i,-0.0013081-0.00040337i,-0.0017026+0.00052555i,-0.0019306+0.00032722i,-0.0013031-0.0005467i,-0.00092191-0.00082362i,-0.00067928-0.0007933i,0.00015662-0.00035859i,0.00077885+0.00017645i,0.0014988+0.00029782i,0.0011365+7.3395e-05i,0.00031045-0.00024519i,0.00070815-0.00075335i,0.00033188-0.00047582i,-0.00046704-9.925e-05i,-0.00041914-0.00041513i,-0.0002328-0.00099869i,-0.00031424-0.0015962i,-0.00031513-0.00094431i,-0.00070714-0.00029189i,-0.00041682-0.00046549i,9.7958e-05+8.1459e-05i,6.2522e-05+0.00039403i
-0.00039173-0.0024596i,-0.00094943-0.0026732i,-0.00096747-0.0017867i,-0.00078009-0.00092361i,-0.00066076-0.00084504i,-0.001267-3.3724e-05i,-0.0011589+0.00050737i,0.00030943-0.00015409i,0.001115-0.0008132i,0.00098834-0.0005165i,0.00041577+0.00028601i,-0.00071578+0.00039404i,-0.00030631-0.00013057i,-1.4204e-05-0.00022279i,-0.00073712+0.00062001i,-0.00092125+0.000731i,-0.00084019+0.00037699i,-0.00038103+0.0003033i,0.0003333+0.00021505i,0.00070512+0.00036126i,0.00032032+0.00015783i,9.6665e-05-0.00022306i,0.00068173-0.00019356i
-0.0015766-0.0007753i,-0.0014284-0.00057991i,-0.0012762-0.00095228i,-0.0014161-0.00061544i,-0.0021294+0.00014397i,-0.002231-1.9057e-05i,-0.0010586+0.00018401i,-0.00016131+9.9797e-06i,0.00010586-0.00046518i,0.0005157-0.00013092i,0.00063515+0.00040157i,0.0010177+0.00023975i,0.0016281-0.00073296i,0.00099419-0.0013068i,3.9662e-05-0.00072541i,3.526e-05+0.00044979i,-0.00016927+0.00096315i,-0.00046484+0.00050749i,-2.8228e-05-0.00035913i,0.00014719-0.00030808i,5.6737e-05+0.00057313i,-0.00029353+0.00090033i,-0.00034174+0.00064497i
-0.00020127-0.0012917i,-0.00044461-0.00049007i,-0.00076321+0.00015338i,-0.0020588-0.0004988i,-0.0027237-0.00060071i,-0.0021897+0.00027521i,-0.00088164+0.00034257i,0.00011659+0.0006586i,0.00025194+0.00038379i,0.00042153-0.00061127i,0.00089108+6.0796e-05i,0.00059719+0.00058924i,0.0001198+0.0003332i,0.00011471+0.00034057i,-7.9109e-06+0.00029579i,-0.00043662+0.00019643i,-0.00085162-0.00071258i,-0.00067306-0.00066123i,2.0822e-05+3.8036e-06i,0.00092979-6.7788e-05i,0.00068782-0.00066078i,-0.0002849-0.0015794i,-0.00020136-0.0017793i
-0.0002418-0.00098833i,-0.0014995-0.00098283i,-0.0019754-0.00091517i,-0.0017554-0.00019421i,-0.0021495+6.5227e-05i,-0.0022184+3.3205e-05i,-0.0013279+0.00062828i,1.13e-05+0.0005954i,0.00032491-0.00028508i,0.00010825-0.00062916i,-0.00020428+9.3455e-05i,0.0001019+0.00035133i,0.00030979-6.8482e-05i,4.5867e-05-9.2996e-05i,-0.00055451+0.00052213i,0.00011309+0.0011591i,0.0013682+0.00033452i,0.0013376-0.00024744i,0.00045432-0.00010884i,-0.00020027-0.00021122i,-0.000739-0.00036261i,-0.00053878-0.0012306i,6.6437e-05-0.0012538i
0.00051376-0.00059026i,-0.00021242-0.00099025i,-0.00096572-0.001176i,-0.0013321-0.00039011i,-0.0011391+2.376e-05i,-0.0017403-0.00024296i,-0.00083691+0.00019353i,0.00051948+0.00076704i,5.2841e-05+0.00072675i,-0.0010317+0.00048671i,-0.0008315+0.00046101i,-0.00047487+0.00030905i,-0.00036619+0.0003i,0.00012246+0.00035859i,0.00044696+0.00039483i,0.00021808+0.00041399i,-0.00081134+0.00051217i,-0.0012189+0.00032283i,-0.00040553-0.00021577i,-0.00011019+0.00012843i,-0.00065013+0.00029215i,-0.00045315+4.5762e-07i,-0.00012628+0.00049885i
-0.0023151-0.00026191i,-0.0025965-0.00014367i,-0.0014273-0.00021672i,-0.00093392-0.00095761i,-0.0012291-0.00065306i,-0.0006583-0.00021469i,-0.00067674-0.00013005i,-0.00046347+0.00012416i,0.00065963+0.00028519i,0.00074147+0.00033817i,0.00030958+0.00032912i,-4.5398e-05+0.00031899i,-0.00030354-5.3911e-05i,-0.00042967-0.00031302i,-0.00051353-0.00030488i,-0.00037002-0.00026648i,-0.00057561-0.00016149i,-0.00083257-5.5979e-05i,-0.00082567+0.00023058i,-0.00093056+0.00013618i,-0.00051754-0.00011414i,0.00024078+0.0006005i,8.1173e-05+0.00081125i
-0.00043963-0.00095827i,-0.0012001-0.00070597i,-0.00097002-0.0007042i,-0.00077096-1.2366e-05i,-0.00038319+0.00069643i,-0.00089032+0.00021011i,-0.0017209+0.00021585i,-0.0016626+0.00049293i,-0.0005067-8.9248e-06i,3.8678e-05+0.00012812i,-0.00031991+0.00029918i,-0.00057706-0.00016416i,-0.00018208-0.00019918i,0.00039349+0.00055123i,0.00042157+0.00079146i,0.00034899-0.00029527i,0.00043177-0.00070595i,0.00032055+0.00029707i,-0.00010098-0.00016309i,-8.8511e-05-0.00059591i,-8.2257e-05-0.00035107i,0.0002201-0.00040788i,0.00049686-0.00022131i
0.0014392-0.00054521i,0.00060931-0.00094089i,-0.00061954-0.00088308i,-0.0019576-0.00051648i,-0.0024126-5.9843e-05i,-0.0019241+0.00099686i,-0.0013076+0.0011056i,-0.00018579+0.00045521i,0.00014303+0.0005147i,0.0001404+0.00038907i,0.00042797-0.00037957i,0.00026166-0.00072969i,-0.00061985-0.00050205i,-0.00079996+1.6561e-05i,-0.00015582+0.00082568i,0.00029138+0.0011228i,0.00017256+0.00013008i,0.00011677-0.00052066i,0.00070572+6.1354e-05i,0.0011053-0.00016543i,0.00049432-0.00058517i,-0.00012921-0.00049603i,-0.00080733+8.2928e-05i
-0.001606-0.00046215i,-0.001988-0.0011816i,-0.0017417-0.00051728i,-0.0015273-5.6045e-05i,-0.0012815-0.0003736i,-0.0016675-0.00091016i,-0.002327-0.00065766i,-0.0022508-4.657e-05i,-0.00084881-0.00056149i,-0.00027095-0.00055698i,-0.00049112-0.00053125i,-0.00025218-0.00083147i,-0.00048194-0.00088606i,-0.000687-0.00085946i,-0.00083572-0.00037595i,-0.0010763-9.7368e-05i,-0.00043064-0.00045184i,0.00012333-0.0006142i,0.00010435-0.00089627i,-6.8817e-05-0.00081644i,-0.00077286-0.00010471i,-0.00092642+6.0274e-05i,-0.00038905-0.00046626i
-2.2021e-05+0.0014201i,0.00032173+0.00085702i,0.0002805+0.00046898i,4.7599e-05+0.00016037i,0.00030244-0.0009837i,3.9957e-05-0.0018144i,-0.00058928-0.00070878i,-0.00026793+0.00083159i,0.00023386+0.0013132i,-0.00010149+0.00080925i,-8.9837e-05+8.4856e-05i,-0.00018054-0.00051479i,-0.00024253-0.00079705i,0.00072415-0.00056075i,0.0010024-0.00026429i,0.00061314+0.00079452i,2.0845e-05+0.00065281i,-0.00014753+0.00016256i,0.00012221+0.00038938i,0.00022531-0.00011955i,-0.00061367-0.00026471i,-0.0010838-0.00047182i,-0.00024509-0.0009991i
0.0004778+0.00022181i,-0.00035365+0.00020765i,-0.00060487+0.00010729i,-0.00077785-0.0003493i,-0.0013357-0.0011504i,-0.0015889-0.00064597i,-0.0015582+7.6484e-05i,-0.00071924+0.00065389i,0.00023882+0.00090917i,0.00082513+0.0005134i,0.00041936+0.0010571i,-0.00084355+0.00070429i,-0.0002925-0.00035508i,0.0004109+0.00023933i,4.3072e-05+0.00097043i,-0.00092007+0.00099986i,-0.0013713+0.0010401i,-0.00082966+0.00023936i,-0.00021692-0.00091474i,-0.00039072-0.00060205i,-0.00080242-0.00016929i,-0.00088508-5.231e-05i,-0.00056043-0.0002414i
0.0013977+0.00056728i,0.00041314-0.0003008i,-0.00080741-0.001456i,-0.0012489-0.00097792i,-0.0019396-0.00079409i,-0.0022774-0.00086156i,-0.0019121-0.00066453i,-0.0011518-0.00042756i,-0.00031597-0.00051887i,0.00019532-0.00011988i,0.00019016+0.00088939i,0.00026989+0.0010039i,-0.00020391+0.00080093i,-0.0010774+0.0011697i,-0.00085693+0.0010433i,-0.00030506+0.00029846i,-0.00013181-0.00054512i,-5.1036e-06+6.2589e-05i,-0.0002299+0.00094447i,8.1174e-05+0.00048325i,0.00037097+0.00081949i,0.00026482+0.0012745i,8.5055e-05+0.0010971i
0.00012997+9.3727e-05i,-0.00086292-0.00076693i,-0.000896-0.00098958i,-0.001285-0.0009533i,-0.0016746-1.1635e-05i,-0.0019299+0.00049723i,-0.0016346+0.0004139i,-0.00078263+0.00061227i,0.00026375+3.044e-05i,0.00031277-0.00026592i,0.00020082+0.0006116i,0.00018726+0.0010778i,-0.00049053+0.00039437i,-0.00058371-0.00045801i,-0.00033186-0.00042958i,2.9305e-05-3.2181e-06i,0.00083706-1.9145e-05i,0.00054252-0.00045223i,-0.00060626-0.00022166i,-0.00062973+0.00020276i,-0.00022128+0.00015386i,-3.2102e-05-0.00016461i,-0.00019431-0.00034363i
-0.0013338-0.00021207i,-0.00048745-0.0013594i,-0.0013819-0.00015075i,-0.00035134+0.0012629i,0.00086531+0.0015954i,0.00043799+0.0012867i,-0.00077139+0.0011503i,-0.00040943+0.00090763i,0.00029442-0.00013003i,1.629e-06+0.00010095i,-0.00010865+0.00088197i,-0.00062633+0.00033116i,-0.00063709-0.00056566i,0.00024201-0.00072796i,-7.6853e-05-0.0003043i,-0.00021561-8.9018e-05i,1.9302e-06-0.00030186i,2.0304e-06-0.0004584i,0.00017325-0.00036679i,0.0003046-0.00032974i,0.00043496-1.1952e-05i,0.00053862-4.1937e-05i,0.00056644+1.0189e-05i
-0.00052094+0.001176i,-0.00082802+0.0011705i,-0.00080458+0.0016399i,-0.00059849+0.00098573i,-0.00089939-0.00025067i,-0.0015806-0.0010724i,-0.0015501-0.00050565i,-0.0010615+0.00067013i,-0.00047209+0.00066686i,0.00021017+0.00018533i,0.00028625+0.00029841i,0.00025127+0.00015128i,0.00018695-0.00042222i,-0.00055635-0.00056602i,-0.0008991-0.0001588i,-0.00086176+4.1803e-06i,-0.00032925-0.00010346i,0.00038582+0.000104i,0.00097428+0.00036794i,0.00060024+0.00033695i,-6.8582e-05+0.00059493i,-0.00084645+0.00074588i,-0.0007188+0.00061329i
0.00023257-0.00048775i,-0.00093514-0.0020133i,-0.002228-0.0026858i,-0.0026267-0.0014851i,-0.0023762-0.00090125i,-0.0021369-0.0015981i,-0.0020062-0.0013382i,-0.00128-9.1875e-05i,-0.00014497+0.00033821i,-2.6988e-06+0.00020989i,0.00027515-6.3773e-05i,0.00067685-0.00040142i,-3.5318e-05-0.00022733i,-0.00040003+0.00046179i,-4.969e-05+0.0010975i,0.00017114+0.00079753i,0.0002547+0.00044031i,5.6e-07+1.4548e-05i,-0.00096604-0.00013048i,-0.00145+0.0001162i,-0.0008889+0.00025819i,-0.00014104-0.00032758i,-0.00038704-0.0001404i
8.1501e-05-0.00087818i,-0.00043122-0.0006274i,-0.0010365+0.00015123i,-0.00067046+0.0010489i,-8.1182e-05+0.001558i,-0.00048446+0.00056254i,-0.00067847-0.0005121i,-0.00015105-0.0010007i,0.00031001-0.00059442i,0.00021708-0.00031404i,0.00023668-0.00050669i,0.00057173-0.00021909i,0.00014916-0.00026562i,-0.00047062+0.00019047i,-0.00044266+0.00074359i,0.00015298+0.00012062i,0.0007077-0.00064657i,0.0003797-0.00021742i,4.9785e-05+0.00015435i,-0.00032555-0.00014954i,-0.00041109-0.00063422i,2.4983e-05-0.00063365i,-2.5595e-05-0.00073751i
0.0013448-0.00041236i,0.0016198-0.0015531i,0.00079723-0.001649i,-0.00047278+0.00022318i,-0.0016945+0.0013066i,-0.0021526+0.00092651i,-0.0011568+0.00075689i,0.00049716+0.0010743i,0.00058594+0.00054075i,0.00054251+9.4014e-05i,0.00078166+0.00031514i,0.00039945-0.0001455i,0.0001265-0.00034688i,5.0204e-05+0.00012048i,-0.00022748+0.00020272i,-0.00022735-0.00020801i,0.0001941-0.00034165i,-2.4186e-05+0.00035291i,-0.00027958+0.00059407i,6.312e-05+2.9466e-05i,-3.8743e-05-0.00034167i,-0.00010917-0.00011878i,0.00021471-0.00020927i
-0.00079339-0.00171i,-0.0018659-0.00043922i,-0.0026687+0.00093051i,-0.0023763+0.00065114i,-0.0020207+0.00034033i,-0.0015443+1.6903e-07i,-0.0013155-0.0002126i,-0.00085687+0.00025391i,-0.00062266-0.00023232i,-0.00038916-0.0002634i,0.00015966+0.0008148i,-0.00028545+0.0015745i,-0.000555+0.00066776i,0.0006707-0.00013053i,0.0013326-0.00034852i,0.00090292-0.00037709i,0.00056238-0.00018788i,0.00037236-8.2909e-05i,7.1458e-05+8.8928e-06i,-3.0475e-05-0.00032101i,0.00028328-0.0005215i,0.00039243+0.00026732i,0.00038676+0.00053058i
-0.00047624+0.00021464i,-0.0016467+0.00038083i,-0.0022925+0.00042262i,-0.0016468+0.00060088i,-0.00093762+0.00067611i,-0.0015598-0.00026114i,-0.0017701-7.5247e-05i,-0.0014651+0.00058497i,-0.00057872+7.5483e-05i,0.00038799-0.0010707i,0.00023994-0.0018235i,-0.0007643-0.001397i,-0.0012677-0.00092072i,-0.0012415-0.0007241i,-0.0006735-0.00028251i,-0.00044493+0.00037602i,-0.0013361+6.7918e-05i,-0.0012741-0.00047573i,-0.00027097-4.3493e-05i,0.00038298+0.00012062i,0.00078182+0.00019991i,5.9505e-05-3.6463e-05i,-0.0010583-0.00051265i
