-0.0045769-0.00024491i,-0.0038324-0.00063681i,-0.0054071+0.00094996i,-0.0051868+0.002486i,-0.0024842+0.0031269i,-0.001147+0.0025628i,-0.00039891+0.0022631i,0.0010396+0.0025722i,0.00162+0.0019061i,0.0013196+0.0012202i,0.0011605+0.00084863i,0.0010265+0.00053077i,0.00065265-0.00028948i,0.00083214-0.00041911i,0.00038661+0.00017124i,0.00028821+0.00039995i,0.00047084+0.00068847i,0.00019708+0.00039604i,5.8269e-05-0.00023219i,-9.622e-05-0.00029764i,0.00057386+0.00021396i,0.0008728-4.8909e-05i,0.00061128+9.3733e-05i
-0.00031389-0.00030859i,-0.00049309-5.5062e-05i,-0.00033259+4.9025e-05i,0.0001608-0.0003797i,-0.00024155-0.00018665i,-0.00077697-0.00016505i,-0.0009091-0.00011442i,-0.0009142-0.0010744i,-0.00040827-0.0017513i,6.9196e-05-0.00098928i,-0.00069269+5.8831e-05i,-0.00063081+0.00044151i,0.00057591-2.5308e-05i,0.0014181-0.00038653i,0.00065351-0.00052197i,1.4831e-05-0.00034921i,0.00011103-0.0001765i,-0.00013498-0.00027733i,-0.00041646-0.00075556i,-0.00062693-0.0010025i,-4.4856e-05-0.00063394i,0.00070579-0.00077434i,0.0012937-0.00066023i
-0.0010539+0.0019171i,0.00022235+0.0021296i,0.0015441+0.0018663i,0.0010096+0.00033191i,0.00056122-0.00039935i,8.146e-05-4.2804e-05i,-0.00049133-0.0008614i,-0.00054868-0.0015744i,-0.00040899-0.0010245i,0.0003905-6.2808e-06i,0.00048403+0.00059932i,-0.00021783-0.00019763i,-0.00017732+7.7286e-05i,-0.0008243+0.00023187i,-0.0012859+7.1315e-06i,-0.0009199+0.00074091i,-0.00040603+0.00075404i,5.1855e-05+0.00020999i,0.000416+6.2324e-05i,0.00062319-0.0004405i,0.00075856-0.0011455i,0.0013072-0.00042325i,0.00072188+0.0005021i
-0.00038433+0.00065973i,-0.00047706+0.00015767i,0.00087057-0.00012046i,0.0017563+2.4424e-05i,0.0012391+9.6783e-05i,-0.00039695-0.0010369i,-0.0011142-0.0012918i,-0.00078354+4.1356e-05i,-0.0010819+0.00062199i,-0.0007059+0.00072544i,-0.0002169+0.00036246i,-0.00014016-0.00024587i,-0.0001109+0.00039553i,-0.00035833+0.00032635i,-0.00019317+0.00015855i,-0.00028003+0.00030612i,-7.9596e-05+0.00074046i,0.0002908+0.00091015i,-0.00028877+0.00059165i,-0.00063328-6.8041e-05i,-0.00013966-0.00027821i,0.00041068+0.000524i,0.00025221+0.00051982i
-0.00042261+0.0023925i,0.00037433+0.0030444i,0.0010723+0.002439i,0.0016815+0.001647i,0.001843+0.00052048i,0.0009814-0.00074531i,0.00011217-0.0009015i,-0.00035829-0.00072809i,-0.00032708-0.0010702i,0.00062506-0.0011194i,0.00065955-0.00026531i,-0.00013951+0.00018641i,0.00029181-0.00034392i,0.0001606-0.00057807i,-0.00040969-0.00099924i,0.00021514-0.00062627i,0.00038928+0.00025231i,0.00045782+0.00044637i,0.00026794+0.00018385i,-0.00026991-0.00061909i,-0.00035377-0.00054101i,-0.00027341+0.00032609i,-0.00063302+0.00050743i
-0.0020542+0.0012992i,-0.0019556+0.00058713i,-0.001345-0.00043372i,0.0010313-0.0004575i,0.0010763-0.00052993i,-0.00016342-0.0014415i,-0.0005862-0.00048566i,-0.00027024-0.00031849i,0.00029039-0.0010483i,0.00045488-0.00077022i,0.00032881-0.0005243i,-0.00037513-0.00025804i,-0.00060206+0.00023151i,-0.00043618+7.1118e-05i,-0.00077133-0.00010992i,-0.00037214+0.00052493i,0.00011901+0.0010004i,0.00045689+0.0011418i,0.00036635+0.00035541i,0.00027441-0.00029958i,0.0010132-0.00044799i,0.0011883-3.4339e-05i,0.00063512+0.00026431i
0.0012283+0.00046244i,0.0012955+0.00041009i,0.0020368+0.000775i,0.001928+0.00053403i,0.0014033-0.00022392i,0.00074492-0.00067826i,-0.00017828-0.00059004i,-0.00045838-0.00050158i,-0.001018-0.00045092i,-0.0012222-0.00060959i,-0.00073728-0.00097947i,-0.00022347-0.00083796i,-0.00012121-0.00081409i,-0.00059635-0.0004128i,-0.00018113+0.00077756i,0.00020926+0.00094608i,-0.00014595+0.00016935i,-0.00046293+0.00054208i,-0.00039106+0.00058745i,-0.00053871-0.00017972i,-7.2301e-05+0.0004965i,0.00099315+0.00055838i,0.00097461-0.00025877i
9.5199e-05-0.00015034i,0.00066501-0.00074996i,0.0014436-0.0012648i,0.00099868-0.0014606i,0.0003628-0.00093218i,-8.2189e-06-0.00015786i,6.4102e-06-6.5856e-05i,-5.6238e-05-4.7087e-05i,-0.00025372-0.00025385i,-8.8028e-05-0.00042212i,-0.00030499-0.00083033i,-0.00058698-0.0008688i,-0.00053698-0.00012421i,-0.00041553+0.00020383i,9.6953e-05-0.00025366i,0.00021679-0.00022753i,-3.9978e-05+0.00010227i,0.00060516+2.2352e-05i,0.0012309-3.2955e-05i,0.00064069-6.8353e-05i,4.1709e-05-0.00029964i,0.00032475-0.00013345i,0.00017157-7.967e-05i
0.00047981+0.001441i,0.00020229+0.0016088i,0.00033749+0.00083826i,0.00030906-0.00019047i,-0.00093465-0.00024755i,-0.0015398+8.4014e-05i,-0.00087625-0.00013293i,-0.00076413-8.236e-06i,-0.0009489+0.00042507i,-0.00085576+0.00021455i,-0.0003288-0.00019931i,-0.00010484+0.00021596i,-0.00028738+0.00035889i,-0.0013842+0.00040903i,-0.0015013+0.00078694i,-0.00030003+0.00069676i,-0.0001806+6.5556e-05i,0.00032425+6.634e-05i,0.00065091+3.9949e-05i,0.0010675+3.635e-05i,0.00096954+0.00044255i,0.0003717+0.00059334i,7.6261e-05+0.00046404i
0.00045729+0.0014737i,0.00047887+0.0017473i,0.00023876+0.0016174i,-0.00013681+0.00086108i,0.00051072-0.00039933i,0.00054982-0.0019191i,-0.00024916-0.0019272i,-0.0007155-0.0010019i,-0.00077291-0.0015091i,-0.00056314-0.0015986i,-0.00040694+6.5786e-05i,6.5207e-05+0.00027856i,0.00051406-0.00077214i,0.00038207-0.0011199i,-0.00033833-0.00061401i,-0.00061388+0.00034398i,-0.00027247+0.00070848i,-6.7983e-06-4.0844e-05i,-0.00049066-0.00020651i,-0.00040489-0.0003193i,0.00036437-0.00044469i,0.00032266-0.00031513i,0.00062619-0.00073064i
-0.00037417-0.00056967i,0.0012234-0.00058756i,0.0021384-0.00037263i,0.002436+0.00055475i,0.0011061+0.00033295i,-0.00049784-0.00035727i,-0.00055577-0.00024881i,-0.00028472-0.00017257i,-0.00018667+0.00025275i,-0.00018383+0.00028386i,0.00040079-0.00036785i,0.00067777-0.00040053i,0.00053467-0.00031791i,0.00028998+0.00024193i,-0.00026715+0.00058652i,-3.7106e-05+0.00019556i,0.00061992-0.00010819i,0.00028926+0.00010538i,-9.088e-05+0.00013121i,0.00018459+0.0002015i,0.00061101+0.00024884i,0.00062591-0.00021585i,0.00045209-0.00039152i
0.0014535-0.00078179i,0.0022049+0.00012926i,0.0024103-0.00022593i,0.0018645-0.00094362i,0.0011761-0.001135i,0.00081019-0.0010228i,0.00051426-0.0004986i,0.00024061-0.00068369i,-0.00025258-0.00088707i,0.00017389-0.00091209i,0.00027407-0.00079661i,-0.00065883-8.8384e-05i,-0.0005666+2.2655e-05i,-0.00049789-0.00011231i,-0.00093423-0.00039927i,-0.0013936-0.00033228i,-0.001206-5.4559e-05i,-0.00056841+0.00018213i,-0.00038797-4.8458e-05i,-0.0001091-0.00036535i,-0.00022065+0.00010589i,-0.00099163+0.0006815i,-0.00051651+0.00046934i
0.00019095+0.0010659i,2.5136e-05+0.0012259i,-0.00020161+0.0015527i,-0.00022501+0.00076312i,-0.00056214-0.0006664i,-0.00046806-0.00091633i,0.00023443-0.00089324i,6.0056e-05-0.00046499i,-0.00099746-0.0002356i,-0.00090558-0.0010395i,-0.00025166-0.00094231i,0.00020703-0.00014125i,-0.00014832-0.0001044i,-0.00079485-0.00039555i,-0.00058849+0.0001699i,-0.00066158+0.00064422i,-1.2464e-05+0.00015518i,0.00093372-0.00023534i,0.0012201-0.00037005i,0.00098316-0.00062294i,0.0012088-0.00037189i,0.0012663-0.00029979i,0.00074599-0.00049157i
0.00033472+0.00063373i,2.4275e-05+0.00026817i,-0.00014281-0.00015862i,-0.00043589-0.00017435i,1.3075e-05-8.562e-05i,-0.00036638-5.7126e-05i,-0.0010564-0.00037674i,-0.00099404-0.0002978i,-0.00076012-0.00055372i,-0.00066868-0.00033797i,-0.00032366+0.00051036i,8.0647e-05+0.00039801i,0.0006358-0.00037601i,0.00051208-2.4683e-06i,2.9369e-05+0.00077295i,-0.00011589+0.00085821i,0.00022138+0.0010828i,0.00065052+0.0014504i,0.00050315+0.00060425i,0.00021349-8.2684e-05i,-0.00041217-0.00050621i,-0.00031881-0.0010355i,0.00023525-0.00061163i
1.6281e-05+0.00195i,0.00033248+0.0012067i,0.0015873+0.0008126i,0.0022668+0.00010708i,0.0018321-3.1121e-05i,0.00060339-0.00024059i,-0.00021763-0.00024953i,-0.00065237-0.00026912i,-0.0013921-0.00059464i,-0.0015795-0.00085902i,-0.00086188-0.00068207i,-0.00042537-0.00045252i,-0.00010034-0.00036898i,-0.00041674-0.00030808i,-0.00076933-0.00053824i,-0.00012061+5.3832e-05i,-0.00015217+0.00064484i,-0.00046181+0.00046461i,-8.9007e-05-0.00011914i,0.00047483-0.00066116i,0.0006563-0.00078255i,0.00035983-0.0010171i,0.00064395-0.0010021i
0.00096687+0.00086627i,0.001243+0.00042792i,0.0026299+0.0008955i,0.0022336+0.00068839i,0.00076283-0.00028377i,-0.00041587-0.00079309i,-0.0015501-0.00081313i,-0.0014541-0.0015351i,-0.00089888-0.0019318i,-0.00095777-0.0010022i,-0.00091029-0.00028191i,-0.00056828-0.00032323i,-0.00027083-0.00027234i,-0.00044316+0.00076228i,-0.00067061+0.0014068i,-8.2022e-05+0.0012768i,0.00010959+0.0011129i,-0.00019221+0.00072954i,-0.00042027+0.00039173i,-0.00041751+0.00034355i,0.00016095+5.0309e-05i,0.00044197-0.00024138i,-6.5711e-06-0.00038278i
-0.0015011+0.00045847i,-0.00047818+0.00149i,8.0666e-05+0.0020421i,-0.00014898+0.00093846i,-0.00014788-1.6789e-05i,-0.00025704-0.00035245i,-0.0001371-0.00033883i,9.7583e-05-0.00029277i,0.00010967-0.00031627i,0.00039191+0.00020171i,0.00093486+0.00023924i,0.0011553-0.00023264i,0.00061821+5.2882e-05i,0.00011678+0.00086822i,-0.00046771+0.0010284i,-0.0008612+7.6707e-05i,-0.00089641-0.00031277i,-0.00044312+0.00020295i,-0.00043423+0.00013398i,-0.00071633-0.00027848i,-0.00067173-0.00071121i,-0.00052849-0.0011577i,0.00051769-0.00035944i
0.0009639+0.0009259i,-0.00023403+0.00098152i,0.00021702+0.0012736i,0.00090659+0.00094987i,0.00044163+0.00047773i,-0.00030068-0.00028914i,-0.0010161-0.0010609i,-0.0011569-0.0011155i,-0.00084012-0.0011113i,-0.00037464-0.00085278i,-8.4433e-05+1.202e-05i,-0.00058573-0.00012075i,-0.00084154+2.7711e-05i,-0.00059953+0.00056134i,-6.9056e-05+0.00053778i,0.00056654+0.00059241i,0.0003809+0.00054449i,0.00028632+0.00028758i,0.00045168+0.000109i,6.4224e-05-5.2845e-05i,9.3892e-05-0.00030634i,0.00011701-0.00016789i,-0.00067289+0.00012585i
-0.0018845-0.0018359i,-0.0021885-0.0021006i,-0.0025092-0.00078259i,-0.0024861+0.00063293i,-0.001348+0.0016285i,-2.47e-05+0.00078754i,-2.6119e-05-0.00032625i,-0.00061805-0.00026936i,-0.00065692-0.0006125i,3.3119e-05-0.00041764i,0.00081934+2.3918e-05i,0.00063383+0.0002882i,0.00042817+0.00043525i,0.0008298+0.00049302i,0.00014575+0.00040859i,-0.00030819-0.00025462i,-0.00041236-0.00032613i,-6.6538e-06-0.00027836i,1.262e-05-0.00077136i,-0.00026709-0.00077468i,0.00035708-0.0002184i,0.00056038-0.00042555i,0.0011857-0.00060152i
-0.00022883+0.00057019i,0.00018314+0.00060684i,0.00097155+0.00058577i,0.001303+0.00079576i,0.0010263+0.00069489i,0.00024469+5.089e-05i,-0.00084523-0.0005867i,-0.00039244-0.00071427i,0.00021438-0.00076748i,-0.00026786-0.00018141i,-0.0005852+0.00022503i,-0.00078969-0.00015556i,-0.0010116-0.00098065i,-0.0011052-0.0006601i,-3.8617e-05+0.00025536i,0.00053746+0.00081455i,0.00049994+0.00065228i,0.000343+0.00033055i,0.00025697-0.00016749i,0.00039652-0.00085704i,6.0228e-05-0.00099577i,0.00019706-0.0010096i,0.0010389-0.00024868i
-0.00074586+0.0014442i,-0.0015282+0.00079219i,-0.001391+0.0014263i,-6.4471e-05+0.0020671i,8.9043e-05+0.00046272i,-0.0005636-0.00082764i,1.5772e-05-0.00092117i,0.00072178-0.00078835i,0.00016374-0.00045352i,-3.485e-05-7.1502e-05i,1.5737e-05+0.00030818i,-0.00039232+0.0005637i,-0.00027283-0.00017895i,-0.00029958-0.00060199i,-0.0001769-0.00039877i,-0.00019265-3.0917e-05i,-0.00017522+0.00023707i,0.00047167+0.00012274i,0.0012727-0.00034549i,0.0009829-0.00033903i,0.00020176-0.00010754i,3.5644e-05-0.00047048i,0.00013285-0.0010143i
-0.0011255+0.00066614i,0.00012295-0.00025817i,0.00088673+2.6742e-05i,0.00070942+0.0015805i,0.00017425+0.00089646i,-2.6821e-05-0.0007654i,-9.0789e-06-0.00081954i,0.00015433-0.00066277i,1.6312e-05-0.00069636i,-0.00033765+0.00026373i,0.00021463+0.0011184i,0.00075428+0.00079283i,0.00033818-0.00020202i,-0.00044145-0.00014269i,-0.00082633+0.0007714i,-0.0003845+0.00069374i,0.00038025+0.00022441i,0.00038448+0.00015021i,0.00074986-0.00033816i,0.00050297-0.00018437i,-0.00012715+0.00063348i,0.00066453+0.00028213i,0.0010877-0.00044291i
-0.00052897+0.00095978i,-0.00045311+0.00034046i,0.00049555-0.00022495i,0.0011441-1.0243e-05i,0.00058816+0.00033878i,-2.4388e-05+0.00060002i,0.00034643+0.00011136i,0.00056838-0.0013008i,-0.0003063-0.0014076i,-0.00018185-0.00051989i,0.0004071-0.00042409i,0.00051516-0.00091782i,-1.6922e-05-0.0015263i,-0.00039537-0.0020143i,-0.00034724-0.00095086i,8.0971e-05-4.0907e-07i,0.00020308+0.00057259i,-0.00051563+0.00093124i,-0.00011854+0.00063825i,6.0216e-05-2.7329e-05i,0.00053916-0.00065039i,0.0013274+0.00022814i,0.0012736+0.000676i
0.0013725-0.0020132i,-0.00012382-0.0022352i,-0.0012851-0.0025441i,-0.00061836-0.0022162i,-0.0011298-0.0019675i,-0.0016427-0.00108i,-0.0009535-0.0006361i,-0.00077767-0.0010052i,-0.0011559-0.0010428i,-0.0012402-0.0012716i,-0.00089827-0.00019111i,-0.00071861+0.001054i,-0.00043824+0.00091103i,3.4966e-05+0.00094803i,8.2595e-05+0.001268i,0.0001347+0.0012027i,-0.00014951+0.00040378i,-0.00069273+0.0001643i,-0.00049647+0.00020603i,-9.4014e-05+2.9389e-05i,-0.00036152+0.00048793i,-0.0010958+0.00061728i,-0.00092924+0.00067922i
0.00021465-0.0020257i,-0.00018056-0.001816i,-0.00084249-0.0019839i,-0.00057834-0.0016586i,-0.00093874-4.9076e-05i,-0.0020531+0.00080522i,-0.0019857+1.68e-05i,-0.0011192-0.0011134i,-0.00049361-0.0016601i,-0.00060267-0.0010004i,-0.00093563-0.00033864i,-6.5468e-05+2.6357e-05i,0.00034578-0.00010406i,0.00045115+0.00016384i,-0.00017226+0.00096347i,-0.00036978+0.0003892i,-0.00036798-3.2693e-05i,1.1014e-05+1.1735e-05i,0.00068429-0.00028139i,0.00057844-0.00036837i,0.000501+0.00036076i,0.00032645+0.00077704i,6.0123e-05+0.00037791i
0.0018983+0.00038714i,0.0023327+0.00086863i,0.0034109+0.0008118i,0.0019181-8.6037e-05i,0.00023921-0.0008393i,0.00029054-0.00081834i,-0.00038686-0.00063357i,-0.0010935-0.00099332i,-0.00018718-0.00054959i,6.667e-05-0.00010397i,-0.0004263-0.0007564i,-0.00056714-0.00090037i,-0.00054594-9.4139e-05i,-0.00039562+0.0013895i,0.00029609+0.0012991i,0.00074664+0.00076937i,0.00019895+0.0011027i,0.0002628+0.00096268i,0.00010916+0.00059899i,-0.00048484-0.00057563i,-0.0002301-0.00094398i,0.00024348-7.3097e-05i,0.00033745+0.0004882i
0.0020296+0.00096851i,0.0016459+0.00047528i,0.0012746-0.00085372i,0.0015251-0.0020221i,0.00073527-0.0025515i,-0.00039534-0.0017566i,-0.00087753-0.00082215i,-0.00047682-0.00034196i,-0.00034965-0.00075823i,-0.00068742-0.00092262i,-0.0007635+0.00020869i,-0.00061748+0.00076418i,-0.00042686+0.0001924i,-0.00028804+0.00038869i,-0.00030405+0.00081521i,-0.00018557+0.00079429i,-0.00056966+0.00035501i,-0.0014699-0.00040513i,-0.001917-0.00085631i,-0.00063541-0.00072598i,0.00040671-0.00057721i,-0.00054836+0.00012218i,-0.0012836+0.00053631i
-0.00021964-0.00088951i,-0.0011253-0.0006539i,-0.0010605-0.0011896i,-0.00040387-0.00061265i,-0.00072109+7.1982e-05i,-0.0009817+0.00086906i,-0.00045512+0.00041582i,-0.0005233-0.00083188i,-0.00080684-0.00064628i,-0.00091552+3.498e-05i,-0.0013312+0.00052612i,-0.0011343+0.00084499i,0.00022684+0.00035204i,0.00076647-0.00022719i,5.8962e-05+9.137e-05i,-0.0001931+0.00045388i,0.00044353+0.00054864i,0.0001828+0.00069349i,0.00034123+0.00097107i,0.0010978+0.00030365i,0.00017855-0.00036952i,-0.0001143-0.00023414i,0.00053262-0.00017805i
0.0014064+0.0013734i,0.0020652+0.00098451i,0.0036232+0.00166i,0.0029672+0.00075538i,0.0010871-0.00066335i,0.00023212-0.0009248i,-0.0005425-0.00072284i,-0.00064827-0.0003584i,-0.00013044-0.0006087i,0.00013911-0.0010278i,0.00042936-0.00057301i,0.0005543-0.00050506i,-4.1099e-05-0.00088457i,-0.00057006+0.00025826i,-0.0012327+0.0011688i,-0.0011006+0.00058029i,-0.00047918+0.00033867i,-0.00034692+0.00081025i,3.1209e-05+0.00028434i,0.0001876+0.0002299i,0.00060967+0.00065933i,0.00081448+0.00041955i,0.00085821-0.0003843i
