0.0014342+0.0012137i,0.0023496+0.0010518i,0.0031984+0.00063581i,0.0029815-9.7377e-05i,0.003112-0.00077881i,0.0020395-0.00075225i,0.0003739-0.00027846i,0.00018807-5.8109e-05i,7.2061e-05-7.4803e-05i,3.8376e-05-0.0003186i,-9.3063e-05-0.0010126i,-0.0004503-0.0017299i,-0.00044132-0.0012105i,-0.00022334-0.00044316i,-0.0002812-0.00087249i,-0.0001211-0.0009607i,0.00035713-0.00020704i,2.7366e-05+5.4767e-05i,-1.6078e-05+0.00016162i,0.00058315+0.00015607i,0.00037535+9.8381e-05i,0.00054233-0.00044361i,0.00080932-0.00044845i
0.00073323-0.00085641i,0.00048666-0.00039874i,-7.6502e-05-0.0013223i,-0.00012084-0.0012718i,-4.161e-05-0.00010917i,0.00055522+0.0012051i,0.00090316+0.0012287i,0.00093796-6.2774e-05i,0.0011233-0.00035184i,0.00062427-0.0002064i,0.00010009-0.00037574i,-7.4269e-05+0.00038273i,-0.00054408+0.00055263i,-0.00063605+0.00040315i,-0.00056677+0.00064855i,-0.00044441+0.00016309i,-0.00031202-0.00039787i,8.9209e-05+0.00026957i,0.00021888+0.00053271i,0.00041539-0.00029228i,0.00015218-0.00052322i,-0.00042165-0.00072677i,0.00018363-0.00058212i
0.0021994+0.0013881i,0.0015773+0.0008508i,0.0014565-0.00086166i,0.0023241-0.0002385i,0.0022196+0.0015426i,0.002282+0.0012112i,0.0014439-3.3026e-06i,-6.9289e-05+9.7397e-05i,-0.00067578-4.2691e-05i,-0.00046249-0.0009401i,0.00010895-0.00080306i,-3.9493e-05-0.00019704i,0.00012858+0.00022847i,-0.00061485-0.00018604i,-0.0014959-0.00024279i,-0.00059512+0.00081997i,0.00044512+0.0012382i,0.00066649+0.00066126i,0.00052799-2.2743e-05i,3.6389e-05-0.0010193i,-0.0005928-0.0014006i,-0.00082477-0.00075218i,2.7621e-05-0.00052616i
-0.001345-0.0003596i,-0.0012539+0.0005278i,-0.00077124+0.0010813i,0.00021723+0.0012925i,0.00039095+0.0003884i,-4.3769e-06+0.00023962i,-0.00016137+0.0014912i,-0.00026623+0.001772i,0.00011508+0.00030771i,0.00056532-0.0012028i,0.00054661-0.0014645i,0.00013961-0.00040064i,-0.00036538+0.00033166i,-0.00074934-0.00051475i,-0.00070341-0.00065634i,-0.00062843+0.0003328i,-0.00060235+0.00045701i,-0.00012033+0.00027642i,0.001087+0.00034456i,0.00077233+0.00086426i,-0.00030394+0.0014393i,-0.00023873+0.00081721i,0.00016541-0.00032235i
-0.00057371-0.0018796i,-0.0011906-0.0014947i,-0.00084796-0.00014443i,-0.00018347+0.0010058i,-0.00022767+0.0016745i,0.00040063+0.0019046i,0.0010384+0.00072226i,0.00080144+0.00024984i,0.00043024+0.00035147i,0.00013782+0.00039523i,-0.0005437+0.00042709i,-7.9828e-05+0.00039537i,-0.00053648-0.00038953i,-0.00089352-0.0006561i,-0.00061439-0.00042281i,-0.00031413+0.00027297i,0.00078467+0.0015272i,0.00089859+0.0014932i,0.0007997+0.00064816i,0.00081961+0.00021157i,0.00054572+0.00011251i,0.00082151+8.8719e-05i,0.00065677-3.0929e-06i
-0.00059302+0.00021058i,4.3071e-05-0.0001388i,-0.00014901-0.0011236i,7.6352e-05-0.0011962i,0.00072277+0.00037928i,0.0010087+0.00088711i,0.00066513+0.00035408i,0.0010521+8.5994e-05i,0.0010729-0.00018114i,0.00035689-0.00018946i,-0.00032604+0.00040803i,-0.0010517+0.00022523i,-0.00087505-0.00061495i,-0.00041498-0.00057912i,-0.00032235-0.00014205i,-0.00023176+0.00033583i,0.00039368-0.00021952i,0.00037613-0.00077585i,0.00034676+7.7319e-05i,0.00070746+0.00079816i,0.00065797+0.00038631i,0.00016052-0.00082783i,-0.00010352-0.00015185i
-0.001211+0.0015095i,0.00033086+0.0015371i,0.0016432+0.0023359i,0.0022341+0.002444i,0.002489+0.0014016i,0.0022425+0.00038213i,0.0010975+0.00055404i,0.00030364+0.00053847i,0.00061365-4.5195e-05i,0.00028902-0.00040043i,0.00020921-0.00012285i,0.00070652+0.00010019i,0.0012437-1.1663e-08i,0.0015135-0.00047299i,0.0006525-0.00076726i,7.7755e-06-0.00022161i,8.8264e-06+0.00014988i,6.677e-05+0.00016719i,0.00036413+0.00033032i,0.00083885+0.00031902i,0.0011165+0.00039176i,0.00069883+0.00066614i,-2.1258e-05+0.00078079i
-0.0010936+0.0023025i,-0.0010553+0.0015548i,-0.00035454+0.0004183i,0.0011992+0.00052122i,0.0027585+0.00089743i,0.0019245+0.0010835i,0.0009709+0.00048519i,0.00094352+0.00031726i,0.0003413+0.00043961i,0.00032443-2.9109e-05i,0.00011217-0.00023876i,-0.00020954+4.1589e-05i,0.00016446+0.00010309i,0.00029026+0.00023016i,0.0009878+0.00030513i,0.00058134+0.00018072i,0.00010522-0.00019423i,0.0002458-0.00018619i,0.00050356+0.00014351i,0.00054789+0.00070959i,0.00034796+0.00069922i,-1.7095e-05+0.00062025i,-0.0004393+0.00044251i
-0.0020232-0.00026307i,-0.0010944+9.1587e-05i,-0.0014007+0.00092796i,-0.0011276+0.0022413i,0.00063824+0.0026141i,0.0018057+0.0018331i,0.0021098+0.00063262i,0.0014732+0.00032877i,0.00039896+2.2898e-05i,-0.00012785-0.00064433i,-0.00057612-0.00081329i,-0.00092817-0.00041973i,-0.00058404+2.2548e-05i,-0.00062919+0.00061471i,-0.0011963+0.0008275i,-0.0010742+0.0006473i,-0.00020341+0.00038325i,0.00054969+0.00037056i,0.00091428+4.4802e-07i,0.00062804-0.00083939i,0.00096095-0.00090002i,0.00087248-0.00058708i,0.00011282-0.00028192i
-0.0013104-0.00032945i,-0.00036556-0.00029471i,0.00021805-0.00034447i,0.0016206+0.00028279i,0.0018972+0.0015199i,0.0017973+0.0020347i,0.0014309+0.00071342i,3.0611e-05-0.00053656i,-0.00055459-0.00097911i,-0.00015182-0.00084825i,-2.9098e-05-0.00042178i,5.4227e-05+0.00035802i,0.00018706+0.00056694i,-9.2674e-05-0.00053438i,-0.00032181-0.0016977i,-2.0628e-05-0.0013087i,0.00016186-0.00013156i,2.3893e-06+0.00039831i,-0.0002644-3.961e-05i,-5.3491e-05-0.0006559i,0.00046119-0.00017076i,9.4366e-05+0.00091203i,-0.0002564+0.0012448i
