4.5915e-05-0.00054708i,0.00039732-0.001075i,0.00026215-0.0010874i,-0.0010899-0.00099715i,-0.0018864+0.00053604i,-0.002222+0.0010662i,-0.00078108+0.00048998i,0.0012397+0.0010487i,0.0015943+0.0014634i,0.001183+0.00076306i,-0.00014061+0.00058686i,-4.7951e-05+0.00033315i,0.0004653+9.4265e-05i,-0.00027609+0.00032391i,-0.00023558+0.00036758i,0.0003883+0.00080676i,-0.0005881+0.00084149i,-0.001374+0.00028712i,-0.0004677+0.00040678i,0.00024381+0.00079399i,0.00027129+0.00052739i,-0.00033592+0.00012535i,-0.0010792+0.00029942i
-0.0010397-0.00020127i,-0.00087082-0.00020161i,-0.00053706+0.00084098i,-0.0012309+0.0013848i,-0.0014473+0.00090618i,-0.00099059-6.9645e-05i,-0.00049886-0.00058639i,-0.00027557-0.000129i,-0.00037054-3.2749e-05i,-0.00057841-0.0008288i,-0.0002477-0.00055004i,0.00091025+0.00036119i,0.00071294+0.00011327i,-0.00023451-0.00014858i,-0.00044093+0.00046628i,-4.6099e-05+0.00020954i,0.00022414-0.00038477i,0.00039033+0.00011247i,0.00041438+0.00038787i,-7.9998e-05+0.00015051i,3.7114e-06-0.00011825i,0.00025518-0.00053522i,-0.00016793-0.00053977i
-0.0003144+0.00011465i,-0.0015272-0.00083902i,-0.00096309-7.3093e-05i,6.9228e-05+0.00064041i,7.8927e-05+3.1221e-05i,-0.00070305-0.00047062i,-0.00055557-0.00056409i,5.8537e-05-0.00011633i,1.6411e-05-0.00022687i,-0.00062327-0.00059039i,-0.00071475+0.0004808i,0.00016947+0.0013418i,0.00062452+0.00072101i,0.00030258+0.0007633i,-0.00079984+0.0011496i,-0.0013092+0.00064379i,-0.00069322-2.5642e-05i,-0.00040562+0.00019863i,-0.00023506+0.00076216i,0.00048056+0.00025018i,0.0013405-1.4144e-05i,0.0009025-0.00018249i,0.0004675-0.00027055i
-0.0019226-0.0011714i,-0.0014572-0.00050033i,-0.0020329+0.0012579i,-0.0017718+0.0020506i,-0.0001059+0.0017667i,0.00077536+0.001395i,0.00026744+0.00068189i,-6.8068e-05+3.783e-05i,0.00012989-0.00016402i,0.00012167-5.0334e-05i,-1.3396e-05+8.647e-05i,0.0001689-4.2531e-05i,-6.8426e-05-0.00026577i,-7.0125e-06-1.1918e-05i,0.00018108+0.00034816i,-0.00024883+0.00035299i,0.00020196+0.00052508i,0.00084192+0.0006988i,0.00072297+0.00080516i,0.00076075+0.0002435i,0.00053136+7.1453e-05i,0.00039044+0.00018816i,0.00035435+0.00024522i
-0.0009558-0.00088657i,-0.0012908+0.00017188i,-0.0015297+0.00076151i,-0.0013652+0.0012459i,-0.00084182+0.0020778i,-0.00025999+0.0017896i,-0.00021342+0.00057008i,-0.00057169-0.00031202i,-0.00028858-0.00030829i,-0.0004533+0.00013396i,-0.00043144-0.00027032i,0.0002403-0.00078321i,0.00026819-0.0010784i,0.00019469-0.00031157i,0.00048626+0.00065574i,0.00067548+0.0011229i,0.00060791+0.00040926i,0.00049349-0.0010838i,-4.341e-05-0.00065277i,-0.00064422+9.7239e-05i,-5.6247e-05-0.00052738i,0.00037384-0.00016614i,0.00045948+0.00015389i
-0.00093564-0.00072179i,-0.0011086+4.3584e-05i,-0.0010738+0.001436i,-0.0010529+0.0015305i,-0.000611+0.00049264i,-0.00061356-0.001432i,-0.00030059-0.0020392i,3.3788e-05-0.00040472i,-0.00021058+0.00033343i,0.00011241+0.00021435i,0.00017022-1.5502e-05i,0.00046743-0.00054972i,0.00045815-0.00046739i,-3.4133e-05-0.0011069i,0.0002338-0.0014508i,0.00025732-0.0011569i,0.00023503-0.0007936i,0.00088109-6.704e-05i,0.00071145-9.1792e-05i,-0.0004312-0.00027823i,-0.0008317+0.00032515i,-0.00046115+0.00082519i,0.00041223+0.00044537i
-0.00061287+0.00080209i,-0.00082132+0.00012528i,-0.0011957+0.00070955i,-9.704e-05+0.0017192i,0.00062024+0.00089031i,0.00015445-0.00058464i,-0.00037799-0.0014304i,-0.00030187-0.0013458i,0.00014594-0.00078621i,0.00032052-0.00050172i,0.00041369-0.00044497i,0.00039633-0.00052296i,-7.66e-05-0.00039461i,-0.00040767-0.00075423i,0.00012085-0.0010538i,0.00039161-0.00065211i,-0.00042578-0.00026635i,-0.0007823-0.00017326i,-0.0006531+0.00018849i,-0.00048114+7.3147e-05i,-6.2544e-05-0.00019958i,-8.7771e-05+5.3438e-05i,-0.00043224+0.00054258i
-8.6477e-05+0.00085807i,0.000163+0.00020403i,0.00098974+0.00095927i,0.0017778+0.00042762i,0.0022003-0.001181i,0.0024286-0.0024362i,0.0015558-0.0020801i,0.00052332-0.00058827i,0.00040007-3.692e-05i,0.00065739+0.0002909i,0.00052568+8.8104e-05i,0.00029213-0.0013809i,3.5389e-05-0.0017036i,-5.4115e-05-0.0012557i,0.00038486-0.00033148i,0.00021319-4.2272e-06i,-0.00033242-0.00060898i,0.00031828-0.0007491i,0.00089727-0.00035045i,7.0602e-05+0.00035886i,0.00011042+0.00073807i,0.00045941+0.00058486i,-8.5822e-05+0.00022506i
-0.00070558-0.00079529i,-0.0011387-0.00051607i,-0.00099123-0.00024815i,-0.00078436+0.00074646i,-0.0011919+0.0018479i,-0.00082087+0.0012608i,-0.00049411+0.0001617i,9.8251e-05+0.00023122i,0.00017106+0.00097384i,-0.000164+0.00063327i,-0.00017984+0.00030676i,0.0001257+5.888e-05i,0.0004344+1.6776e-05i,0.00025859-0.00053157i,0.00011639-0.00044761i,8.9703e-05+7.8865e-05i,-0.00042002+0.00025434i,0.00015628+0.00056887i,0.00075471+0.00030447i,-0.00026067-0.00050271i,-0.00066422-0.00099807i,-0.00018953-0.00050593i,0.00014902-0.00014889i
0.0018593-0.0004308i,0.00078055-8.2235e-05i,0.00099812+0.001734i,0.0010662+0.0029317i,0.00094234+0.0016161i,0.00069113-3.7287e-05i,0.00053583-0.00043451i,0.00041839-0.000219i,-0.00039931+0.0007124i,-0.0011378+0.00040909i,-0.00062854-0.0004664i,0.00021411-0.00032726i,-0.00017998-0.00049783i,-0.00010331-0.00024072i,0.00053482+0.00040979i,0.00060433+0.00025164i,0.00038093-0.00013006i,0.00015929-0.00020706i,0.00016937-0.00013229i,0.0003317-1.378e-05i,0.00035744+0.00019641i,-1.6429e-05+0.00015941i,0.00012471+0.00010571i
-0.0010206-0.0015823i,-0.0025486-0.00021047i,-0.0036941+0.001109i,-0.0035995+0.0021081i,-0.0022572+0.0010772i,-0.00064088-0.00029163i,-0.00058954-0.00025519i,-0.0011801+0.00016594i,-0.00041052-0.00026393i,7.5601e-05-0.00036105i,-0.00013378-9.1673e-05i,-0.00015958+1.7265e-05i,0.00024407-0.00041289i,0.0010433-0.00031039i,0.00048936+0.00018326i,-0.00013657-0.00016384i,0.0001136-0.00060373i,0.00059034-0.0006148i,0.00080215+1.7606e-05i,0.0010478+0.00024894i,-0.00015596-0.00015117i,-0.0011373-0.00052527i,-0.00044988+5.8721e-05i
-0.00077197-0.00020633i,-0.0013695-0.00024221i,-0.001616-0.00022396i,-0.00086034+0.00016654i,0.00047624+0.00015961i,0.0010794-6.5586e-05i,0.000717-0.0004671i,-6.4905e-05-0.00044926i,-0.00039095-9.0947e-05i,-0.00010823-0.00019123i,0.00025266+6.8652e-05i,0.00064113-0.00028491i,0.00078829-0.00059238i,-7.8088e-06-0.0001711i,-0.00087575-0.00066312i,-0.00046761-0.00079037i,-0.00028393+0.00022542i,-0.0007832+0.00082665i,-0.00017943+0.000583i,7.0963e-05+0.00018265i,0.00030529-0.00048026i,0.00091406-2.0406e-06i,0.00041216+0.00041605i
0.0016914+0.00045183i,0.0022792-0.0013982i,0.0027444-0.00088276i,0.0019343+0.00030602i,0.00015179+0.00012932i,-0.0010349-7.4055e-05i,-0.0013103+0.00050277i,-0.00075654+0.0012421i,0.00034593+0.00033356i,0.00043557-0.00061792i,8.2967e-05-0.00011381i,0.00029975+0.00082782i,-0.000553+0.00046911i,-0.0017364-0.0001094i,-0.0010726-0.00036673i,0.00050413-0.00071514i,0.00083454-0.00052823i,0.00047607+0.00028916i,0.00021157+0.00086338i,0.00022613+0.00093652i,0.0001428+0.00026438i,0.00013733-0.00074212i,0.0006337-0.0012416i
0.0016039+0.0020776i,0.00011184+0.0011844i,-0.0013566+0.0012924i,-0.00040249+0.0024889i,0.00035131+0.0024434i,-5.6079e-05+0.00095204i,-0.0011427-0.00020374i,-0.0010831-9.3892e-05i,0.00041212+5.9082e-05i,0.0010298-0.00039801i,0.00056733-0.0002865i,-0.00098241-6.1139e-05i,-0.0013962-0.00054095i,-0.0011298-0.00011675i,-0.001251+0.00036961i,-0.00084612+0.00037462i,-0.0007978+0.00027848i,-0.00098309-0.0003554i,-0.0012508-0.00052091i,-0.0010259-0.00027631i,-0.0002355-0.00010902i,5.5682e-05+0.00038168i,-1.7832e-05-0.00015947i
-0.00046536+0.00068054i,-0.0010396+0.0012629i,-0.0011688+0.0017389i,-0.0012762+0.0018361i,-0.00093657+0.0010729i,-8.4863e-05-0.00081839i,8.815e-05-0.0017143i,-0.00036898-0.000438i,-0.00049901+0.00032334i,-0.00081692+0.0005204i,-0.00039127+0.00057971i,-0.00040634+0.00063923i,-0.00021083+0.00049844i,0.00065803+9.8957e-05i,0.00054824+0.00018966i,0.00024792-0.00015941i,0.00043329-0.00061589i,0.00058354-0.00075692i,-0.00015759-0.00057046i,-0.000858-0.00056493i,-0.00064994-0.0010497i,0.00016912-0.0011475i,0.00067843-0.00087658i
-0.0010456-0.0013697i,-0.002182-0.0018805i,-0.0030477-0.00010186i,-0.0025072+0.0018326i,-0.00096715+0.0021483i,0.00027145+0.0010416i,1.8835e-05-0.00014029i,-0.00075342+0.00015385i,-0.00058245+0.00042614i,0.00032674-0.00014472i,0.00019088-0.00030914i,0.00063289-0.00030683i,0.0008665-0.00032679i,-0.00045353-3.3485e-05i,-0.00047706+0.00021261i,0.00034846+0.00012852i,0.00031146-0.00019135i,-0.00025372-0.00041301i,-0.00034983+5.783e-05i,-0.00037993+6.101e-05i,-5.2884e-05+0.00034884i,0.00066168+0.0008345i,0.00048003+0.00041132i
-9.633e-05-0.0011705i,-5.6943e-05-0.000219i,-0.00039835+0.00085201i,-0.0013312+0.0016453i,-0.0014708+0.0020086i,-0.00027666+0.0014187i,7.3932e-05+0.00043419i,0.00021761-0.00011031i,0.00053692-0.0004131i,0.00039252-0.00076957i,-2.4327e-06-0.0010148i,0.00031598-0.00050227i,0.00050822-0.00016231i,9.3004e-05-0.0003636i,-0.00033081-0.00051575i,-0.0004258-0.00071047i,-0.0003291-0.0015546i,-0.00042327-0.001708i,-0.00047224-0.0011022i,-3.4221e-05-0.001176i,0.0002111-0.00063743i,-0.00057593+0.00035692i,-0.00074456+0.00019518i
-4.5134e-05-0.0020116i,0.00052778-0.0002212i,-0.00063091+0.00091085i,-0.00034481+0.0021848i,0.00090437+0.002591i,0.0011619+0.0011463i,0.00064679-0.00081638i,-0.00025922-0.00083963i,-0.00070653-0.0001485i,-0.00065973+6.8706e-05i,-0.00019021+0.00039788i,0.00085203+0.00027056i,0.0013717+2.3792e-05i,0.0012238+0.0007973i,0.00075401+0.00048171i,-0.00035425+0.00024451i,-0.00063998+0.00028292i,-0.00028769+0.00026705i,-0.00028697+0.00055037i,0.00030354+0.00023277i,9.573e-05-0.00051388i,5.0784e-05-0.00088476i,-8.5126e-05-0.0001305i
2.7958e-05-0.0007315i,-0.00045867-0.00053193i,-0.00075079-0.00026932i,8.3762e-07+0.00022646i,0.00046247-9.8097e-05i,-0.00033179-0.0006954i,-0.00057223-0.00030762i,-0.00022883-0.00029306i,-0.00067351-0.00031788i,-0.00048473+0.00015609i,-0.00053867+0.00086528i,-0.000514+0.0011544i,0.00029137+0.001082i,0.00013981+0.00031145i,-0.00025512+0.00037726i,0.00018865+3.153e-05i,0.00013919-5.1276e-05i,-0.00021657+0.0002622i,0.00020956-0.00028087i,-9.9065e-05-0.00030324i,-0.00051749+4.6553e-05i,-0.00014975-0.00012418i,7.8681e-05-0.00033796i
0.0012327+0.00061593i,0.00098031+0.00063672i,-0.00027755+0.00073742i,-0.00074826+0.0013252i,-0.00063644+0.0013914i,-0.0004681+0.00095135i,-0.00057221+0.00017986i,-0.0001574-0.00014728i,-0.0003738+0.00027886i,-0.00042675+0.00016735i,-0.0002739+0.0005252i,-0.00034457+5.1708e-05i,-0.00031135+5.8807e-05i,0.00019646+0.00079117i,0.00041515+0.00091773i,-0.00017898+0.0010151i,-0.00037888+0.00071507i,-3.0487e-05-0.00021114i,0.00037109-0.00064747i,0.00097061-0.00034948i,0.00032039-0.00044459i,0.00016658-0.00026295i,0.00043306+4.8582e-05i
-0.0009903+0.00031798i,-0.0011092+0.00024141i,-0.00069233+0.00035808i,-0.00027191+0.0016764i,-0.00012018+0.0015298i,7.9834e-05+1.6516e-05i,0.00031552+3.905e-05i,0.00076729+0.00046041i,-0.00016167+0.00032226i,-0.0008513+0.00044344i,-2.8569e-05+0.00049287i,0.00014744+6.4665e-05i,0.00057093-0.00017443i,0.0013214-0.00023335i,0.00065932+3.02e-05i,-0.00047498+0.00021794i,-0.00068042+9.2664e-06i,-0.00062756-0.00083261i,-0.00038095-0.00083208i,-0.00019108+0.00016942i,-0.00025274+0.0004573i,-0.00051354+0.00030193i,-0.00028322+0.00024852i
-0.0005683-0.00014886i,-0.0011819-0.0008726i,-0.00146+0.00013929i,-0.0012279+0.0012695i,-0.00055219+0.00040123i,-0.00016659-0.00083239i,-9.0896e-06-0.0011163i,-0.0003163-0.00084029i,-0.00027188-0.00051047i,-0.0001247-0.00083936i,-0.00032837-0.00081252i,-0.00026054-0.00014859i,-0.00086971+0.00080005i,-0.00096859+0.001297i,-0.00025949+0.00077108i,0.00053714-0.00047681i,7.5659e-05-0.0012523i,-0.00035032-0.00074098i,7.8651e-05-0.00026943i,-0.00013917+0.00053091i,-0.00069329+0.00084765i,-0.00031768-0.0001201i,0.00033772-0.00017533i
-0.0011224-0.0010916i,-0.0015802+6.219e-05i,-0.001287+0.0015745i,-0.00098554+0.0031335i,7.7166e-05+0.0029685i,0.00073292+0.0012082i,-0.00017953+9.0414e-05i,-0.00034083-0.00011719i,0.00023646+0.00032288i,-0.00043389+0.0010512i,-0.00087751+0.0015727i,-0.00014762+0.00096175i,0.00011785+9.3459e-05i,-1.5891e-05-0.00034913i,0.00068531-7.5857e-05i,0.00070354+0.00037249i,-0.00030867+0.00014946i,-2.6288e-05-0.00050701i,0.00014678-0.00037298i,-0.00033151-0.00012383i,1.3851e-05-0.00049625i,8.8143e-05-0.00068615i,6.0974e-05+9.2894e-05i
-6.9257e-05-0.00067778i,-0.0010586+0.00046601i,-0.0008886+0.00192i,0.00027472+0.0019903i,0.00085212+0.0007798i,0.00091414-0.00086329i,0.00049623-0.00067604i,-0.00050711-0.00021131i,-0.00095081+4.2081e-05i,-0.0002928+0.00020016i,-0.00038654+0.00078617i,-0.00087376+0.00056591i,-0.00020819+0.00021908i,0.00049272+9.6679e-05i,0.00040112-5.295e-05i,0.0003119-0.00019811i,-0.00018263+0.00059534i,-0.00062923+0.00077218i,-0.00060526-0.00045359i,-0.00069342-0.00062905i,-0.00084084-0.0005224i,-0.00059726-0.00056304i,-0.00022554-0.00012641i
-0.00089202-0.0012485i,-0.00058712-0.00014683i,-0.00037887+0.00059793i,-0.00083598+0.0011781i,-0.00048361+0.0012812i,0.00030421+0.00072014i,-0.0010511+0.0006353i,-0.0017865+0.00070127i,-0.00049014+0.000493i,0.0005107+0.00033201i,0.00075235+0.0004548i,0.00040037-0.00020947i,-0.00050791-0.001305i,-0.00014564-0.0014013i,0.0009637-0.00085364i,0.0010456-0.00058397i,0.00087593-0.00075023i,0.00024092-0.0008481i,0.00042922-0.00076183i,0.00021015-0.00019497i,-0.00056319+0.00033615i,-0.00091623+0.00015286i,-0.00096369+4.5337e-05i
0.0035574-0.002326i,0.00096905-0.0019877i,2.7553e-05-7.7737e-05i,0.0001022+0.0011609i,-0.00078566+0.001343i,-0.0011244+0.00075996i,-0.00060165-0.00011028i,-0.00031581+0.00024908i,-0.00014662-0.00025315i,-1.3009e-05-0.00097003i,-0.00011283-0.00077233i,-0.0002656-0.00021251i,0.00065377+0.00090693i,0.0010861+0.0011804i,0.00027084+0.0011627i,-0.00047183+0.0011693i,-0.00015246+0.00095351i,0.0001525+0.00082958i,-0.00025631+0.00071602i,-7.638e-05+0.00029636i,0.00020871-0.00065372i,0.00010128-0.0013787i,0.00040322-0.00074622i
-0.00078486-0.0013938i,-0.0013312-1.1696e-05i,-0.0019226+0.0012466i,-0.0017896+0.0015659i,-0.00061907+0.00019004i,3.2676e-05-0.00071871i,-0.0002492-0.0005684i,4.5509e-05+1.4662e-06i,0.00032004+0.00023305i,-0.00037681+0.00043676i,-0.0006903+0.00091256i,0.00024488+0.00068047i,0.0012589+0.00016541i,0.0012707-0.00010928i,0.0010497-4.2465e-06i,0.00054939+0.00075556i,-0.00010787+0.00045618i,0.00036801-2.7394e-05i,0.0005473+0.0003052i,0.00039733-0.00013675i,6.4348e-05-0.0002932i,1.5985e-05+0.00032887i,-0.00027302+0.00099065i
-0.0012714+0.00036142i,-0.0013308+0.00029406i,-0.0012226+0.0012279i,-9.9123e-05+0.0021745i,0.0013924+0.0022419i,0.0014447+0.00052244i,0.0012104-0.0006628i,0.0006544-0.00025343i,1.0458e-05+0.00034471i,-0.00025998+0.0005954i,0.00016996+2.8083e-05i,0.00037497-0.00040391i,4.5639e-05+4.8364e-05i,-0.00040243-6.7769e-06i,-0.00018294-0.00033937i,0.0001516+0.00022578i,0.00011109+0.0007878i,0.00026433+5.9529e-05i,0.0002322-0.00044715i,0.00030056-0.00063259i,0.00012119-0.0012028i,-0.00025133-0.0010523i,-0.00024122-8.5989e-05i
-0.00025514-0.00033161i,-0.00062947+0.0005109i,-0.0010726+0.00041731i,-0.0011149+0.0015517i,-0.00021133+0.0028328i,0.00022348+0.0023757i,0.00017303+0.0016183i,0.0010376+0.0005603i,0.001102+2.9346e-05i,0.00035343+0.00015458i,-0.00017153+0.00021922i,9.5406e-05+9.2891e-05i,0.00054268+0.00031456i,-9.3117e-05-0.00020153i,-4.8652e-06-0.00041183i,0.00015157-9.463e-05i,-2.9933e-05-0.00016519i,-0.00043694+7.5505e-05i,-0.00017226+0.00029167i,0.00048941+0.0011469i,0.00053282+0.0013547i,0.00042367+6.8738e-05i,-0.00016277-0.00038543i
-0.0024558-0.00065933i,-0.003634+0.00082654i,-0.0036924+0.0019128i,-0.0016031+0.0024191i,-0.00076639+0.0021594i,-0.0001374+0.00051678i,0.00010161-0.00068943i,-0.00039253-0.00089743i,0.00013473-0.0007911i,0.00053547-0.00025546i,0.00033155+0.00046747i,0.00014805+0.00039308i,0.00051888-0.00014054i,0.00093394-0.00035185i,0.00068676+6.631e-05i,0.00056498+0.00026607i,0.00031075-0.00014613i,-0.00012191-0.000268i,-0.00046162-0.00074599i,-8.4756e-05-0.00091291i,-6.7448e-05-0.00079599i,-0.00024604-0.0013104i,-1.7096e-05-0.0014297i
0.00037093+0.00093338i,0.00052628+0.0008267i,0.00093009+0.00041381i,0.00089372+0.00033862i,0.00031452+0.00028321i,-0.00023715+6.2494e-05i,-0.00059154+0.00012989i,-0.00033058+0.00038741i,9.2975e-06+1.1811e-05i,-0.00015745-0.00046837i,-0.00060346-0.00068107i,-0.00082678-0.00040266i,-0.00015535+0.00021217i,-0.00057327+0.00071626i,-0.0014781+0.00082334i,-0.001171+0.00015291i,-0.0002234-0.00022835i,-6.7061e-05+3.2977e-05i,-0.00019069+0.00014285i,-0.00026912-0.00027878i,-4.9594e-05-0.00045464i,9.2401e-06+0.00023368i,-0.0003828+0.00055496i
0.0004463-0.0019991i,-0.00066717-0.00091419i,-0.00099087-0.0008115i,-0.0011761-0.00072319i,-0.00064797-0.0012084i,0.00047842-0.0015904i,0.00069962-0.0011689i,-0.00012876-0.00028126i,-0.00061186+0.00027502i,-0.00081263-0.00011147i,-0.001123-0.00080298i,-0.00076251-0.0006674i,-0.00037467-0.00043261i,-0.00059-0.00013043i,-0.00050123+0.0003413i,3.3412e-05+0.00038353i,0.00065998+0.00011024i,0.00042384+0.00013797i,-0.00055919+9.4344e-05i,-0.00031315-0.00068884i,0.001168-0.0013335i,0.0014719-0.0008008i,0.000478-3.3329e-05i
