-0.0027358+0.00051062i,-0.0014783-0.00030608i,-0.0026861+0.00044088i,-0.0021642+0.00074245i,-0.00092802+0.0011782i,0.00085374+0.00076594i,0.0014095-8.6159e-06i,0.00031865+0.00024987i,-0.00053049+0.00032592i,0.00061463+0.00056154i,0.0017713+0.0003617i,0.0013944-0.0010542i,0.0012693-0.0015772i,0.00092307-0.00092504i,0.00017277-0.00050981i,0.00047748+0.00025548i,0.00053254+0.00054315i,0.00065359+0.00048885i,0.00051896+0.00028306i,-0.00067359+8.3163e-05i,-0.0011793+0.00059618i,-0.00058865+0.0010165i,-5.7497e-05-0.00012238i
0.0013519+0.00076054i,0.0011048+0.00052713i,0.00091523+0.00048548i,0.0014086+0.0001518i,0.001083-0.00033113i,0.00050296-0.00039398i,0.001145-0.0011602i,0.0014846-0.00095076i,0.0011393+0.00034617i,0.00054335+0.00098184i,0.0001408+0.00065739i,0.00016562+0.00055896i,0.00043743+0.0009475i,0.00010875+0.00071792i,-0.00053972+0.00032172i,-0.0003881-9.5515e-06i,-0.00016119+0.00053956i,-0.00020756+0.00051246i,-0.00041218-0.00033596i,-0.00010991-0.00078419i,0.00075684-0.00080491i,0.00063604-0.00094911i,0.00036253-0.0013042i
-0.00087688-0.00085098i,4.7103e-05-0.00038082i,0.00043753-0.00018262i,0.00062549-0.00037883i,0.00076828-0.00086448i,0.00043488-0.001161i,0.0004838-2.7374e-05i,7.1717e-05+0.0010956i,-0.00043715+0.00098698i,-0.00047256+0.00053393i,-0.00012306+0.00022357i,-0.0004458-0.00048639i,-0.00014717-0.00046528i,-0.00023183+2.6655e-05i,0.00017148-0.00049682i,0.00041232-0.00076868i,4.6422e-06-0.00037445i,-0.0001258-0.00024119i,-0.00035391+0.00028398i,-0.00017802+0.00080746i,0.00042189+4.0596e-05i,0.0004664-0.00024752i,-0.00058367+4.0528e-05i
0.00026949-0.00017591i,0.0016797-0.00044264i,0.0021115-0.0016655i,0.00035804-0.0018735i,-0.0010718-0.0017802i,-0.0010285-0.00029163i,-0.00053742+0.0014984i,0.00046022+0.0014275i,0.00057632+0.00092369i,0.00019308+0.00091573i,-0.00043532+0.0007448i,-0.00047588+0.00050797i,0.00051486+0.00056464i,0.00091902+0.0014132i,0.000186+0.0011476i,2.9713e-06+0.00034802i,0.0003452+0.00018446i,0.00029344-0.00013029i,-0.00013899-0.00050975i,0.00037567-0.0001456i,0.0011217+0.00082601i,0.00087902+0.00034565i,0.00057024-0.00097758i
6.5148e-05+0.00073897i,0.00067098+0.00060294i,0.0014211-6.4566e-05i,0.0020614-0.0011696i,0.0019886-0.001811i,0.00015022-0.0021266i,-0.00095466-0.0013604i,-0.00069319-0.00021488i,-3.3468e-05+0.00095768i,0.00061246+0.0011027i,0.00084808+0.00040743i,0.0007994-1.4623e-07i,0.00050613-0.00033548i,-2.1968e-05-0.00050589i,-0.00057582-0.00066096i,-0.00023386-0.00046046i,0.00018888-0.00019119i,0.00011645-0.00037457i,0.00019314-0.0004604i,7.6283e-05-0.00062218i,0.00015337-0.00078613i,0.00034361-0.00014353i,0.00046221-6.722e-05i
0.0013314-0.0012805i,0.0012096-0.0015968i,0.001054-0.0011809i,0.00028818-0.00085073i,-6.3142e-05-0.00099975i,0.00039127-0.0011127i,0.0010808-0.00082708i,0.00033358-2.8522e-05i,-0.00047371+0.00032753i,-0.00016151+0.00048392i,-0.00020501+0.0002994i,-0.00022503+0.00019946i,-0.00010205+0.00013236i,0.00013313-0.00021109i,0.00031791-0.00040848i,0.00029166-0.00084145i,0.00049004-0.00090244i,0.00077706-0.000801i,0.00042362-0.00037438i,-0.00056047+0.00011043i,-0.00065787-0.00014033i,-0.00039063-0.0003188i,-0.00029029+0.00015027i
-0.00016969+0.00040154i,-0.00046528-2.1746e-05i,-0.00062594-0.00013282i,0.00028403-0.0013316i,4.2918e-05-0.0018371i,-0.0002615-0.0013702i,0.00034433-0.00042816i,0.00064846+0.00017052i,0.0010411-2.4292e-06i,0.00061847+0.0001332i,-5.1176e-05+0.00072895i,0.00028527+0.00063582i,0.00058816+0.00045967i,7.9594e-06+8.8684e-05i,5.9242e-05-0.00017818i,0.00081616-0.00027861i,0.00063243+0.00086098i,0.00026946+0.0010322i,0.00055047+0.00035625i,0.00067652+0.00033928i,0.00014404-0.00039356i,0.00025618-0.00049274i,0.00026705+0.00012998i
-0.0005622+0.00091804i,-0.00027545+0.0005173i,0.0012076+3.6493e-05i,0.0016833-0.0013717i,0.0012054-0.0015928i,0.00027055-0.00054805i,-0.00057737-0.00057072i,-0.00074979-0.00010614i,-0.0004881+0.00053779i,-9.2774e-05-0.00042166i,0.00020151-0.00055637i,-8.3684e-05+2.7503e-06i,2.2888e-05-0.00043513i,-0.00010061-0.001192i,-0.0005494-0.00094556i,0.00027994-0.00023594i,0.00086438-4.5199e-05i,0.00059347-0.00021666i,0.00039482-0.00060773i,0.00015773-4.4304e-05i,0.0002992+0.00014632i,0.00023984-0.00037354i,0.000423-0.00027223i
0.00045006+0.00040107i,0.001552+0.00029322i,0.0019098-7.4596e-05i,0.0010318-0.00014228i,0.00014973-0.00066732i,-0.00028655-0.0015786i,0.0003674-0.001348i,0.00092198-0.00043449i,0.00045651+0.00012996i,3.9251e-05-2.8248e-05i,-0.00021672-0.00026611i,-0.00044722-5.2666e-06i,5.5694e-05-0.00039159i,0.00043253-0.0006868i,-0.00015437+9.1699e-05i,-9.2399e-05+0.00068909i,0.00033812+0.00028235i,-0.00029224+7.7031e-05i,-0.00071937+0.0004399i,0.00021898+0.00076026i,0.0011691+0.00035262i,0.0011381+0.00019885i,0.00048577+0.00054085i
-0.00049513-0.00038136i,-0.0014174-0.00069066i,-0.0018324-0.0011748i,-0.0016157-0.0013155i,-0.00084779-0.0014166i,-0.00011773-0.00094705i,0.00024854-0.00029633i,-0.00021103-0.00017717i,-0.0007372-0.00072831i,-0.0011214-0.00036293i,-0.00025531-0.00040584i,0.00080169-0.00073291i,0.00039598-0.00076831i,4.756e-05-0.00099675i,-7.1699e-05-0.00053921i,0.00038173-0.00070989i,0.00031375-0.00099547i,4.8319e-05-0.00044954i,0.00030495-4.4636e-05i,-6.9227e-06-0.00054008i,-2.151e-05-0.00063293i,0.00015899-0.000616i,0.00037921-0.00060373i
4.6642e-07+0.0021446i,0.0017232+0.00079978i,0.0029802+0.0003888i,0.0022609-0.00023482i,0.00081989-0.001474i,-0.00042008-0.0020967i,-0.00082065-0.0011556i,-0.0004875+0.00033363i,-5.8047e-06+0.00033552i,0.00037059+0.00062469i,-0.00029764+0.0011826i,-0.0010271+0.00049971i,-0.0006447-0.0001197i,-0.00024085-0.00083713i,-8.1698e-05-0.0018008i,0.0003584-0.0015397i,0.00036802-0.00034747i,0.00030619+0.00028831i,4.1342e-05+0.000404i,-0.00041045+0.00023338i,-0.00014493+3.2675e-06i,-0.00017002-0.0001073i,-0.00053805+0.00035081i
0.00037824+0.00061307i,-0.0007902+0.00039731i,-0.0010526-0.00096013i,-0.00067385-0.0020629i,-0.00013606-0.0027843i,4.7052e-05-0.0021249i,4.4615e-05-0.00058847i,0.00063383+9.6698e-05i,0.0010199+0.00014648i,0.00025889+0.0004621i,-1.7958e-05+0.00067764i,-0.00011738+0.00027312i,-0.00042518-0.00045411i,-0.00035702-0.00087102i,-0.0006029-0.00057203i,-0.00067087-0.00021005i,0.00045191-0.00033031i,0.0012199-0.0002269i,0.00030429-0.00019585i,3.1135e-05+0.00014415i,0.00058632+0.00056325i,0.0010697+0.0002512i,0.0006296+0.00057393i
0.00015479-0.00098813i,0.0010939-0.00086617i,0.0019263-0.0012625i,0.0013946-0.0012532i,0.00039085-0.0013688i,0.00024648-0.0011422i,0.00061321-0.00023974i,0.00045465+0.000486i,1.0945e-05+0.00038332i,-0.00016479+0.00033035i,-0.00040498+0.00024799i,0.00027656-0.00019491i,0.00089802-0.00097423i,0.00068049-0.00087081i,0.00028648+2.2116e-05i,-0.00023721-0.00014294i,-0.00077911-0.00046228i,-0.00046851-0.00061928i,7.6513e-05-0.00064584i,-0.00019504-0.00084506i,-0.00023497-0.0010147i,3.4364e-05-0.00071722i,-0.00033696-0.00020955i
0.0018125+0.0015132i,0.0026786+0.001013i,0.0022184+0.00085274i,0.0012162-0.00037971i,-0.00015124-0.0023957i,-0.00098233-0.0028617i,-0.00080798-0.0019925i,2.1317e-05-0.00064848i,0.00043713+0.00024788i,0.00013672-0.00021071i,-1.5988e-05-0.0011644i,-0.00028478-0.00088569i,-0.00073269+0.00018126i,4.3901e-05+0.00029299i,0.00024894-0.00035982i,-0.0005021-0.00018478i,-0.00045373+0.00018852i,-5.7247e-05+0.00044617i,0.00036011+0.00096593i,0.00025153+0.00070041i,0.00016875-0.00037731i,0.0005346-0.0010928i,0.00015826-0.00095334i
0.00013354-0.0013766i,0.0007113-0.001561i,0.0013945-0.0016071i,0.0010878-0.0010483i,0.00059715-0.0011828i,0.00066333-0.00088444i,0.00084181+0.00019479i,0.0010135+0.00085211i,0.00092032+0.00050013i,-0.00034109+0.00044901i,-0.0010865+0.00029037i,-0.00050417-0.00029753i,-0.00049994-0.00067069i,-0.00042107-0.00031827i,-9.2031e-05+0.00027685i,-0.00045119+0.00040632i,-0.00090632+0.0002567i,-0.00069684+0.00013573i,0.00019191-0.00014915i,0.00066101+0.00034144i,0.00022362+0.00080689i,0.00033546+0.00075713i,-3.9709e-05+0.00093873i
0.0029316+0.00086892i,0.0022177+0.00014912i,0.0011725-0.0022597i,0.00030506-0.0029241i,-0.00066572-0.0024083i,-0.0014045-0.0015251i,-0.001293-0.00053717i,-0.00064235-2.6836e-07i,-0.00014669-0.00032947i,-0.0002464+0.00013794i,0.00016173+0.00032365i,0.0010231+3.1769e-06i,0.00022187+0.00085147i,-0.00048808+0.0012983i,-6.9437e-05+0.00064712i,0.00078007+0.00074729i,0.00084159+0.0011482i,0.0003579+0.00069112i,0.00046289+0.00054438i,0.00056713+0.00061508i,-7.1258e-05+9.9163e-05i,-0.00035386+2.1464e-05i,5.5418e-06+6.0736e-05i
0.00016915-0.00021675i,-0.00047829-0.0001327i,0.00019155-0.00031067i,0.001311-0.00029633i,0.00088552-0.00056636i,0.00047697-0.00087694i,-0.00017903-0.00012072i,-0.00018195+0.00046729i,1.8938e-05-2.4222e-05i,-0.00010787-0.0003286i,0.00026791+0.0001959i,0.00067772+0.00025016i,0.00054398-4.0072e-06i,0.00046533+0.00077522i,0.00044665+0.0012128i,0.00036119+0.00057568i,0.00062954+3.4871e-06i,0.00088182+4.9785e-05i,0.00053312+0.00066695i,-0.00037609+0.0003134i,-0.00072799-0.00043338i,-0.00011585-0.00044084i,-6.868e-05-0.00050405i
0.00070876-0.0016842i,0.00050097-0.00046584i,0.00049901-0.00083052i,0.00015304-0.0022231i,-0.00036466-0.0021067i,-0.00041319-0.0005015i,0.00014715+0.00081746i,0.00057447+0.00065483i,-0.0002903-0.00011924i,-0.00088331-0.00025201i,-0.00089278-0.000399i,-0.00036768-0.00038254i,0.00042387+0.00056147i,0.0014161+0.00043227i,0.00092966-0.00027502i,0.00013989-0.00043395i,0.00072886-0.00058557i,0.0010524-0.00062382i,0.0010315-0.00013143i,0.00086669+0.00026139i,0.00059457+1.3466e-05i,-0.00032736-0.00027082i,-0.000859+1.2173e-05i
0.00034335+0.0015349i,0.00042608+0.00065237i,1.3037e-05-0.00032145i,0.00033902-0.00051336i,0.00092805-0.0004857i,0.0011681-0.00035638i,0.00018365-5.8349e-05i,8.2669e-05+0.00023623i,4.5151e-05-0.00013034i,-0.00035061-0.00079533i,-0.00049875-7.2862e-05i,-0.0010463+0.00042551i,-0.0010325+0.00042991i,-3.2623e-05+0.00051128i,0.00071818+0.00053781i,0.00050826+9.8034e-05i,0.0007536+1.0317e-05i,0.0011166-7.0521e-05i,0.00065532-0.00060646i,-0.00011939-0.00065528i,-0.00057791-0.00050297i,-0.00034337-0.0004777i,-0.00032198-0.00047149i
0.00056653+0.00072287i,0.00047635+0.00043009i,9.156e-05-0.00059733i,-1.4956e-05-0.0012564i,-0.00044583-0.0014057i,-0.00078194-0.0012754i,0.00022548-0.00059252i,0.00083964+9.3142e-05i,0.00043258+0.00041331i,0.00025333-9.2366e-05i,-0.00025778-0.000825i,-0.00043561-0.0010228i,-0.00065851-0.00082929i,-0.0013155-0.00056594i,-0.0012494-0.00037366i,-0.00048213+1.7251e-06i,0.00047808+0.00051221i,0.00054026+0.00073792i,-3.6368e-05+0.00023042i,0.00024972-4.7131e-07i,0.00032287+0.00016795i,-0.00059654+0.00011243i,-0.00045432+3.991e-05i
0.002184+0.00089182i,0.0019552+0.001388i,0.0017225+0.00091111i,0.0021419+0.00049079i,0.0017652-0.00026003i,0.00045239-0.0009293i,0.00041921-0.00055083i,0.00019165-0.00075584i,-0.00011053-0.00037436i,0.00045171+0.00047463i,0.00064347+0.00055479i,0.00038593-0.00033527i,0.00027855-0.0011883i,-1.9113e-05-0.0006466i,-0.00015258-0.00036724i,0.00052291-0.00062806i,0.00027778+0.00022333i,-0.0001648+0.00067388i,0.0003848+0.00032414i,0.00092156-5.6944e-05i,0.0004704-0.00082956i,-0.00025023-0.00046311i,-0.0005565+0.00013714i
0.00039149+0.00023373i,0.00099679-0.00034931i,0.00094464-0.0014514i,0.00071566-0.0018354i,0.00065254-0.001545i,0.00074024-0.0015048i,0.0002197-0.0011636i,-0.00056934-0.0014698i,-0.00064299-0.0011059i,-0.00076822-2.8962e-06i,-0.00042992+0.00039379i,0.00013515+0.00013663i,0.00013757-0.00041399i,0.00018203+0.00014114i,0.0002434+8.4191e-05i,-0.00024281-0.0003557i,-0.0011945-0.00035167i,-0.00043845+1.3762e-05i,0.00059642+0.00039221i,0.00036831+0.00034912i,-1.2741e-05+0.00028075i,-0.00042916-0.0004275i,-0.00030191-0.00057019i
-0.00073569+0.00022402i,0.00021084+0.001339i,0.00022913+0.0011959i,0.00032661-0.0002498i,0.00030455-0.00093637i,0.00023823-0.00068487i,0.00025203-0.00073964i,-0.00014817-0.0010621i,-0.00031472-0.00039486i,-0.0001108+0.00046431i,0.00011506+0.00017663i,-0.00029372+3.4006e-05i,-0.00043328+2.2217e-06i,0.00020879-0.00038377i,0.00090449-0.00032644i,0.0012038-0.0004795i,0.0004195-0.0007362i,-0.000627-0.00081547i,-0.00082077-0.00063483i,-0.00069367-0.00076203i,-0.0010362-0.00078382i,-0.0010504-0.00021213i,-0.00013731-0.00011611i
-0.0010118+0.00069763i,0.00024004+0.00051467i,0.0016316+0.00075181i,0.0015687+0.00065362i,0.0014778-0.0004159i,0.00083145-0.0013785i,0.00030645-0.0014953i,0.00020192-0.000729i,4.8878e-05+0.00041401i,-0.00056769+0.00045517i,-0.00066447-0.00026285i,-0.00034337-0.00053704i,-0.0005384-0.00010723i,-0.00074366+0.00031089i,-0.00066968+0.00033877i,-0.00052179+0.00038404i,-0.00076386-8.9092e-05i,-0.0001708-0.000337i,-0.00026706-0.00020748i,-0.00080709-0.00038918i,0.0002087-0.00036441i,0.00044847-0.0003773i,-0.00038507-0.0001712i
0.00090101+0.00016549i,0.0011557-0.00034442i,0.00055208-0.00054676i,0.0010892-0.0012803i,0.0013619-0.0018436i,0.000753-0.0015331i,0.00077217-0.00057155i,0.00051914-0.00024484i,-0.00021947-0.00023587i,-0.0002915+1.3686e-05i,0.00047197-9.5526e-05i,0.00048009-0.00057218i,-0.00047108-0.00083269i,-0.00022553-0.00046142i,0.00052548-0.00028046i,0.00070549-0.00051648i,0.00022395-0.00067881i,-0.0010563-0.00036582i,-0.00087173+5.9165e-05i,0.00055975-0.00040747i,0.00026532-0.0004552i,-0.00042983-0.00071648i,9.7894e-06-0.00096677i
-0.0010989+0.0003293i,-0.00064318+0.00071166i,0.00045734-0.00015435i,0.0013692-0.00037101i,0.00076244-0.00079689i,0.00016924-0.0014427i,-0.00020581-0.00079359i,-0.00027698+8.3461e-05i,-0.00027612+0.00023059i,-0.0002968-8.5397e-05i,-0.00024658+0.00030587i,-2.6119e-05+0.000362i,0.00026532-0.00033661i,0.00013626-0.0011058i,-0.00031828-0.0012294i,-0.000161-0.00053354i,0.00046808-4.552e-05i,0.00066281-1.4133e-05i,-0.00011474-0.00011708i,-0.0004374+0.00056894i,-0.00043147+0.0012402i,-0.00010824+0.00058482i,0.00017914-0.00014358i
-0.00056656+0.00020797i,-0.00016929+6.6453e-05i,0.00082069-2.6276e-05i,0.00043395-0.00058884i,-0.00070279-0.0015882i,-0.00095476-0.0017543i,-0.00028469-0.00049137i,9.1532e-05+0.00030374i,0.0001847+0.00046914i,8.9245e-05+0.00089876i,0.00021858+0.00040235i,0.00010724-0.00035182i,-0.00022292-0.00012269i,0.00018111+0.00055512i,0.0011769+0.00051911i,0.0011426-0.00019846i,0.00024563-0.00088235i,0.00012134-0.00051732i,0.00043532+3.9921e-05i,0.000126-7.5972e-05i,-0.00049283+8.9968e-05i,0.00032836+0.00033756i,0.00063994+0.0002338i
-0.00039433+0.00074974i,-0.001102+0.0013438i,-0.00050387+0.00059946i,0.0005098+0.00028048i,0.00016074+0.00024695i,-0.00062798-0.00024151i,0.00022098-0.00025025i,0.00030393-0.00020064i,-0.00030778-0.0005276i,0.00019861-0.00072888i,0.00013445-0.0001126i,0.00029104+0.00033861i,0.0010024+0.00037737i,0.0012495-6.086e-05i,0.0016167-0.00054941i,0.0011412-1.2541e-05i,-0.00024336+0.00075045i,-0.00077013+8.9988e-05i,-9.0087e-06-0.00091161i,0.00021848-0.0007253i,-0.00023086-0.00034765i,-0.00042296-1.059e-05i,-0.0003835+4.5156e-05i
-0.00060187-0.0014335i,0.00060267-0.00095456i,0.00075842-0.00083096i,0.00066993-0.0010401i,-0.00035334-0.0015719i,-0.0012426-0.0018281i,-0.0011239-0.00076625i,-0.00054447-0.0005385i,-0.00034085-0.00054573i,-9.6152e-05+3.1787e-05i,0.00020733+0.00012424i,0.00017594-9.3857e-05i,0.00019432+7.1828e-05i,0.00020505-0.00020373i,0.00070672+0.00029345i,0.00039248+0.00038766i,-0.00010306+0.00010514i,0.00078284+8.5374e-05i,0.0010924-0.00062386i,0.00054155-0.0011433i,0.00058785-0.00098463i,0.00024546-0.00045098i,-0.0001268+0.00025944i
-0.00022327+8.5069e-05i,0.00080605+0.00068873i,0.0012839+0.0010353i,0.00097297-0.0002943i,0.00083108-0.00077861i,0.00077587-0.0010207i,8.7121e-05-0.0011194i,-0.00033442-0.00062703i,-0.00031825+0.00035934i,0.00061751+0.00061231i,0.0010662+0.00019755i,8.9944e-05-0.00022824i,-0.00052072-0.00076433i,-2.1322e-05-0.00070489i,3.8667e-05-0.0006318i,0.00072337-0.00055032i,0.0011012-0.00065588i,0.00041371-0.00072136i,-0.00051899+9.5652e-06i,-0.0012217+0.00049029i,-0.00097884+0.00058605i,6.3048e-06+0.00032532i,0.0003868+0.00036867i
0.00061735+0.00018396i,0.00036843+0.00076458i,0.00043766+0.00021177i,0.00051095-0.00082115i,0.00062828-0.0013611i,7.8746e-05-0.0015365i,0.0004396-0.0012066i,0.0015146-0.00017012i,0.0012849-0.00012643i,0.00098692-0.00011772i,0.00086325+0.00031014i,0.00050523+0.00029935i,0.00047224-0.00010299i,0.0004287-0.00056725i,-0.00026771-0.00033546i,0.00019654+0.00066352i,0.00045467+0.0012761i,0.00030035+0.00027077i,0.00032306-0.00086447i,-0.00036458-0.0010457i,-0.0009186-0.0004492i,0.00013976-0.00061889i,0.00056008-0.00093325i
-0.00030883-0.00067051i,-0.00031807-0.0012206i,0.00041886-0.0020949i,0.00051001-0.0020832i,-0.00063159-0.0021306i,-0.0011734-0.0014011i,-0.00046757-0.00077658i,-0.00019032+0.00010835i,-0.00042077+0.00047227i,2.462e-05-6.0306e-06i,0.000425+0.00045984i,0.00048132+0.0010356i,0.00031854+0.00082588i,0.00026038+0.00033303i,0.00071526+0.00019576i,0.00070709-6.2091e-06i,0.0003697+1.4845e-05i,0.00061009+3.1463e-05i,0.00068902-6.1556e-05i,-0.00024242-0.00037267i,-0.0003016-0.00058338i,0.00071137-0.00040909i,0.00068166-0.00028858i
0.0011004-0.0016874i,0.00096728-0.00051384i,0.0005506-0.00113i,-0.00088204-0.0021185i,-0.0017592-0.0016748i,-0.00078563+0.00035738i,-0.00044572+0.00028465i,0.00051743-0.00053316i,0.0011453-0.00033564i,8.6791e-05-0.00025371i,-0.00069247+6.3894e-05i,-0.00039627+0.00026154i,0.00077596+0.00027872i,0.0014236+0.00081534i,0.00091865+0.0010477i,0.00078382+0.0005358i,0.00069785+0.00040156i,0.00032532+0.00058736i,0.00015743+0.00048418i,0.00030017-0.00019567i,5.2795e-05-0.00067053i,-0.00035724-0.00030058i,-0.00034858-0.00012043i
