-0.00078068-0.0017231i,-0.0011929-0.0017346i,-0.0007546-0.0011588i,-0.00056179-0.00041061i,-0.0012358-0.00010192i,-0.0012457+0.00078309i,0.00020591+0.0010101i,0.0015953+0.00070752i,0.001766+0.0001145i,0.0014282-0.00037828i,0.00095235-0.00019597i,0.0010231-0.00033887i,0.00077822-0.00074228i,0.00058179-0.00042597i,0.00079409-0.00052577i,0.00027825-0.00072352i,-0.00035253-0.00048467i,-0.0005248+0.00016434i,-0.00025184+0.00018257i,3.0239e-05-0.00024428i,-0.00032386-0.00035407i,-0.00061113-0.00085634i,-0.00042846-0.0013363i
-8.4122e-05-0.00021627i,0.00052169-0.00058719i,0.0010792+0.00021685i,0.00087867+0.0008195i,0.0010426+0.00037066i,0.00048104-0.0003908i,-8.2876e-05-0.00038326i,0.00062495+0.00016412i,0.0014946-0.00055298i,0.0011162-0.0011921i,1.3412e-05-0.00079199i,-0.00032378-0.00064608i,-3.0898e-06-0.00079111i,0.00025479-0.00061041i,-0.00062776-0.00031504i,-0.00068328-0.00033645i,-3.4634e-05+0.00014447i,-0.00059877+0.00097636i,-0.00070865+0.00028445i,0.00039197-4.5723e-05i,0.00023305+0.00069809i,-0.00053769+0.00059794i,-0.00050629+0.00014487i
0.0011975+0.00055427i,0.0014028+0.00029769i,0.0021993-0.00022814i,0.001836-2.1058e-05i,0.00078569-0.0013126i,-0.00027016-0.0018324i,-0.00038276-0.00048183i,0.0008624-0.00015349i,0.0010363-0.00043149i,0.00069371-0.001198i,0.00097571-0.00034954i,0.00045598+0.00096514i,-0.00024259+0.0013441i,-0.00027527+0.0012143i,-8.9096e-05+0.00079886i,-0.00021691+0.0015978i,-0.00057916+0.0019879i,-0.00067208+0.00072696i,-0.0007326-4.2611e-06i,-0.00068784+0.00056718i,-0.00029386+0.00032354i,0.00032889-0.00050772i,0.00033627-0.00073365i
-0.0016503-0.00015856i,-0.00085751-0.00076887i,0.00054136-0.00073678i,0.0011317-0.00041547i,0.00025312-0.00046944i,-0.001128-0.00056493i,-0.0010794+0.00072766i,0.00053082+0.0015434i,0.00097492+0.00044306i,0.00030333-0.00068251i,-6.9802e-05-0.00090443i,0.00013178-0.00066068i,0.00055743-0.00061059i,5.2435e-06-0.00041587i,-0.0009756-0.00018825i,-0.00076252+4.7442e-05i,-0.00063943+0.00017479i,-0.00088536+0.0005787i,-0.00056529+0.0010776i,5.6995e-05+0.00073264i,-7.965e-05-0.00084602i,-0.0002112-0.001569i,-0.00022916-0.00031491i
-0.00051033+0.00041678i,0.00038584+0.0001839i,0.00012967+0.00020122i,-0.00091871+0.00021215i,-0.00096995+0.00061538i,-0.00077814+0.00068646i,-0.00017417+0.0010995i,0.00098608+0.0012201i,0.0015408-0.00013293i,0.0014317-0.0010941i,0.00067559-0.00075097i,3.8914e-05-0.00042823i,-0.00024272-0.00077314i,-0.00076479-0.00085635i,-0.00039418-0.00065587i,0.00029313-9.9998e-05i,-0.00045184-7.3691e-06i,-0.00081162-0.00014005i,-0.00051305-0.00058031i,-0.00040375-0.00067894i,-0.00026809+5.1334e-05i,0.00078673-0.00010606i,0.00082116-3.9948e-05i
-0.00070458+0.00054319i,-0.00067747+0.0012109i,-0.00034044+0.0019185i,0.00036476+0.0017477i,0.00096916+0.00063563i,0.00072163-0.0001554i,7.7029e-05-3.2291e-06i,0.0005513+0.00073025i,0.0012377+0.0013817i,0.0011447+0.00062904i,0.0011304-0.00050925i,0.0009456+2.9408e-05i,0.00020677-4.2183e-05i,-0.00010049-0.00036919i,-0.0005137+0.00036234i,-0.00085603+0.00019282i,-0.00066851-6.3357e-05i,-0.00042097+0.00012187i,0.00016574-3.8557e-05i,0.00071702-6.1867e-05i,0.000797+0.00010853i,0.00064381+0.00036588i,0.00062075+0.00097038i
0.0002833-0.00026762i,0.00026825-0.0013386i,-0.00050543-0.0012623i,-0.0011995-0.00048701i,-0.00066665+7.1065e-05i,0.00038714+0.00060688i,0.00093064+0.00076103i,0.00090947+0.00085371i,0.0012288-0.00018235i,0.0011677-0.0010897i,0.00021272-9.983e-05i,-0.00012053+0.0010727i,-0.00014597+0.00034004i,-1.5057e-05-0.00055545i,3.869e-05+0.00016394i,-0.00042114+0.00069287i,-0.00060002+0.00058638i,-0.00075813+0.00063309i,-0.00084547+0.0005615i,-7.2272e-05+0.00061082i,0.00013224+0.0001792i,0.00020648-0.00044155i,0.0010418-7.6385e-05i
-0.0015282+0.00066151i,-0.001075+0.00099591i,0.00029813+0.0013262i,0.00071328+0.0016505i,0.00035047+0.00089936i,5.748e-07+2.8651e-05i,0.0001746-1.08e-05i,0.0012114+0.00010559i,0.002084+0.00012153i,0.0023028-0.00037902i,0.0014603-0.00069052i,0.00045679-0.00068325i,0.00012623-0.00097594i,-0.00012191-0.00097132i,-0.00046142-0.00015479i,-0.00067033+0.00014777i,-0.00047158+0.00055424i,0.00051815+0.00059823i,0.00056433+0.00038934i,1.938e-05+0.00027224i,0.00021729-0.00032011i,-0.00012432-9.7793e-05i,0.00013983-0.00015027i
3.0554e-05-0.0018229i,-0.0001398-0.0013401i,-0.0022434-0.00016004i,-0.0035384-0.00046631i,-0.0025669-0.00088877i,-0.0014317-0.00011535i,0.0003727+0.00058832i,0.0019671+0.00035175i,0.0016124-3.4908e-05i,0.0010035+3.5711e-05i,0.00056888+0.00048822i,0.00016334+0.0011069i,-0.00040441+0.001459i,-0.00015015+0.00043669i,0.00010455-0.00086219i,-5.934e-05-0.00026603i,-0.00035583+0.00021364i,0.00024297-0.0003266i,0.00055501-0.00032911i,0.00016843-0.00063172i,4.3913e-05-0.00060873i,0.00016023+8.5185e-05i,0.00041444+0.0011519i
-0.0015441-0.00061806i,-0.0027463-0.00090868i,-0.002128-0.00034623i,-0.0013454-0.00041726i,-0.00086441-0.00033188i,9.1262e-05+0.00029889i,0.00050599+0.00082702i,0.0009846+0.00075919i,0.0011343+0.00025419i,0.00088674-4.7827e-05i,0.0013336-0.0003496i,0.00084497-0.00026996i,5.8618e-05-1.686e-05i,1.8441e-05-0.00011345i,-0.00042639+0.00015489i,-0.00074159-2.7941e-05i,-0.00035596+0.00012619i,-0.00018479+0.00026189i,4.227e-05-0.00026613i,0.00034145-8.4155e-05i,0.00016137+0.00047231i,0.00019813+0.00065392i,0.00060467+0.00049697i
0.00032558-0.0010069i,0.0012465-0.001262i,0.001417-0.000822i,-2.9904e-06-0.0011593i,-0.00046457-0.0014056i,0.00031921-0.00042963i,0.00059982+0.00060544i,4.9275e-05+0.00099045i,0.00023831+0.00040131i,-0.00024181-0.00028074i,-0.0009524-0.00047563i,0.00012785-0.00031393i,0.00062138-0.0004778i,0.00037949-0.00094824i,0.000178-0.00042736i,-0.00052186+8.5968e-05i,-0.00096514-0.00025822i,-0.0010606-0.0010821i,-0.00094206-0.0017037i,-0.00054748-0.00077671i,-0.00033357+0.00049383i,5.5796e-05+0.00066281i,-0.00012212+0.00078335i
-1.6415e-05+0.00080342i,-0.00010939+0.0015432i,-0.00056512+0.0021118i,-0.00046071+0.0009674i,-3.4154e-05+0.00023858i,-0.00051176+0.0011563i,0.0003913+0.002337i,0.0013421+0.0011936i,0.0013297-0.00021026i,0.00072298-0.00015122i,0.00010178-0.00012676i,0.00013997-8.095e-05i,-0.00026806+0.00029554i,-0.00016036+6.3943e-05i,6.829e-05-0.00021717i,-0.00037879-0.00032131i,0.0001671+0.00010014i,0.00023163+0.00049289i,-0.00041761+3.6358e-05i,-0.00075511-0.00061891i,-0.00030898-0.00030406i,0.00044726+0.00022078i,0.00030433+0.00024346i
