0.00050618+0.0007497i,0.00080333-0.00056732i,-0.00032266-0.00071976i,-0.0014858-0.0015729i,-0.0014534-0.0011808i,-5.8164e-05+9.8042e-05i,0.00081496+0.00078099i,0.00072789+0.0015462i,0.00051458+0.001833i,0.00048161+0.00053595i,0.00042466-0.00098913i,-0.00041274-0.0010026i,-0.0011553-0.00024638i,-0.00079693-0.0006251i,-0.00030894-0.00080876i,-4.4027e-05-0.00028299i,7.8787e-05-0.00083267i,-0.00017164-0.0014017i,-0.00046606-0.00085864i,-0.00067978-0.00045363i,-0.00039646+6.2683e-05i,0.00034315+0.00018705i,0.00027084+0.00050925i
-0.000109-8.0764e-05i,0.00015671+2.0561e-05i,0.00019127+0.00026037i,0.0004055-4.011e-05i,0.00035245-0.001074i,0.00041535-0.00074751i,0.00082763-0.00017886i,0.00050073-0.00049919i,-0.00055763-0.00083926i,-2.118e-05-0.00027821i,0.00066993+0.00021348i,0.00029101-0.00025672i,-0.0001733-0.00072538i,-4.0159e-05-0.00026694i,0.00014647+0.00015322i,0.00058251-0.00019619i,0.0010788-0.00016348i,-7.1424e-05+0.00035774i,-0.0012333+0.00079755i,-0.00077245+0.00060018i,-0.000137-0.00026277i,0.00020166-0.00060286i,-0.00011024-0.00011166i
0.0014899-5.5696e-06i,0.0023967-0.00027046i,0.0025348-0.00071694i,0.0021994-0.00022171i,0.0018351+5.8361e-05i,0.0010584+2.169e-05i,0.00085446+0.00069401i,0.0003221+0.00050036i,-0.00019515+0.00027497i,-0.00038932+0.00034841i,-0.00069972+1.5229e-05i,-0.00062474+0.00026713i,-0.00010116+0.00044708i,0.00041686+0.00055707i,0.00065644+0.0010128i,0.00051807+0.00062499i,-0.00047604+5.6489e-05i,-0.00056117+0.00047665i,0.00030696+0.00011743i,0.00033063-2.7526e-05i,-0.00086362-9.1849e-05i,-0.0012762-0.00038973i,-0.00025713-0.00054274i
-0.0014729+0.00095812i,-0.00091741+0.0010495i,-0.00075852+0.00051638i,-0.00046914+0.00058236i,0.00022358+0.0005447i,0.0018759-0.00016282i,0.0020707-0.00021053i,0.00017981+8.449e-05i,-0.00044951+0.00035039i,-0.00053674+0.00067364i,-0.00062958+0.00085351i,0.00026516+0.0006523i,0.0010787+0.00035637i,0.0011264+0.00019488i,0.00045843-0.00047649i,0.00014216-0.00052363i,0.00029969-0.00047541i,0.00025796-0.0004131i,0.00020158+0.00012805i,5.8882e-05+0.00023779i,-0.00011578-0.00010503i,0.0004727-0.00037504i,0.00084467+5.7652e-05i
0.0018835+9.9575e-05i,0.0014801-0.00020976i,0.001519-0.0006685i,0.001228-0.00093749i,0.00016207-0.0011214i,0.00011951-0.0010718i,0.00043946-0.00036741i,-0.00020914-3.3302e-05i,-0.00065038-6.7923e-05i,-4.2986e-05+0.00083088i,0.00026756+0.0013718i,-0.00035662+0.0011996i,-0.00097803+0.00070663i,-0.0012475+0.00036703i,-0.0010863-1.6261e-05i,-0.00027631-0.00041272i,0.00064062-0.00042041i,0.00042429-0.00031473i,-0.00027428-2.0188e-05i,-0.00060281+0.00031578i,-0.0003619+0.001155i,2.3885e-05+0.0019639i,5.9194e-05+0.00078876i
-0.0013106+0.0012161i,-0.00096862+0.0025528i,0.0002059+0.0028431i,0.0013676+0.0025575i,0.0022956+0.0017951i,0.0028057+0.00029i,0.0013631-0.00043916i,-0.00021753-0.00089386i,-0.00045284-0.00074461i,3.4659e-05-6.3881e-05i,0.0002552+0.00018572i,0.00018906-2.2629e-05i,0.00053083-0.0012322i,0.0009415-0.0016183i,0.00062183-0.0009227i,0.00050348-0.0015047i,0.00079342-0.0011932i,0.00067218-8.5171e-05i,-0.00033377-0.00029431i,-0.00092105-0.00017718i,-0.00061221+0.000425i,0.00039061+0.00058829i,0.00054929+0.00033332i
0.0013828-0.00013982i,0.002064-0.001328i,0.001459-0.0012832i,0.00078944-0.0015509i,0.00062555-0.0018968i,0.00047261-0.0010033i,0.00096529+0.00071665i,0.00065155+0.00079861i,0.00028143+0.00024947i,-0.00013289+0.00023088i,-8.2934e-05-6.1248e-05i,-0.00020711-0.00053557i,-0.00077142-0.00044769i,-0.00077667-4.3089e-05i,2.4092e-05-0.00034155i,0.00030086-0.00037345i,0.00037489-0.00020351i,0.0009978+3.2393e-05i,0.00044502-5.2847e-06i,0.00033932-0.00034449i,0.00042817+3.256e-05i,-5.7785e-05+0.00059386i,-0.00011183+0.00082764i
0.00056176+0.0013908i,0.0012473+0.00095108i,0.0010157-0.00042964i,0.00064609-0.0013573i,0.00052886-0.0012093i,0.0010351-0.00081i,0.0014449-0.00093428i,0.00068395-0.0009515i,-0.00026105-0.00035202i,-0.00029412-0.00048872i,-0.00043917-8.7343e-05i,-0.00061021+0.00032835i,-0.0002729-0.00077192i,-0.00019513-0.00067824i,0.00036911-0.00014666i,0.00051561-0.00018683i,-4.0354e-05+0.00011155i,-0.00043179+0.00049961i,-0.0012199+0.00032865i,-0.0009196-0.00056219i,-0.00024081-0.00013139i,-0.00029275-0.00010159i,-0.00019669-0.00019377i
-0.0012126+0.00065214i,-0.0011887-9.5257e-05i,-0.0017247+0.00013134i,-0.00086665+9.4161e-05i,0.00065572-0.00056394i,0.0014406-0.00065943i,0.001005-0.0006974i,0.00037574-0.00091171i,0.00015058-0.00027844i,0.00012121+0.00041631i,0.0002066+0.00014998i,0.0001787-0.00016429i,0.00055772-0.0004448i,0.00027966-0.00096009i,9.4283e-05-0.0010242i,-6.7798e-05-0.0011595i,-0.00082476-0.0014271i,-0.00065616-0.00031154i,0.0001519-0.00010283i,0.00029115-0.00054496i,-0.00013755+0.00047341i,-0.00014858+0.00025545i,-0.0004948-0.00049782i
0.00094023+0.0011596i,0.0024315+0.00024641i,0.0030692-0.00078523i,0.0024138-0.0013448i,0.0014211-9.0735e-05i,0.0010031+0.0010408i,0.00049471+0.000599i,-0.00020491+0.00030096i,-0.00065921-0.00025734i,-2.8174e-06-0.00063053i,0.0005022-0.0004684i,-0.00011693-0.00031791i,-0.0010619-0.00024393i,-0.0013503-0.00028973i,-0.00056672-0.00028827i,3.2656e-05-0.0001386i,-0.00011017+0.0006292i,0.00010844+0.00144i,0.00074627+0.0012117i,0.00063418+0.00072308i,0.0003206+0.00058171i,0.00011284+7.0716e-05i,4.6838e-05-0.00037628i
7.7902e-05-0.00078595i,-0.00065959-0.00016078i,-0.0011707+0.00031356i,-0.00061314+0.00083137i,0.00031097+0.00081997i,0.0014972+0.00079347i,0.0015775+0.00059346i,0.00056032-0.00049353i,0.00032471+5.4473e-05i,0.00072311+0.00086085i,0.0013967+2.1859e-05i,0.0013734-0.00055119i,0.0012104-0.0004163i,0.00028109-0.00076838i,-0.00022943-0.0013296i,3.7574e-05-0.00084587i,-0.00085381-0.00013833i,-0.0013629-2.8237e-06i,-0.00097596-9.1412e-05i,-0.00018749+0.00014936i,0.00085035+0.0001572i,0.0010032-1.1452e-05i,0.00056135+4.2454e-05i
0.0025276+0.00091991i,0.0024496+5.3119e-05i,0.00087465-0.0002558i,-0.00016707-0.00014305i,0.0003561+0.00027117i,0.0011649+0.00055124i,0.00079718+0.00052558i,0.00022346+0.00045872i,-3.9323e-05+0.00056035i,-2.3203e-05+6.4195e-06i,0.00040492-0.00033207i,0.00065576-0.00042874i,0.00055737-0.00061563i,-0.00019524+7.609e-05i,-0.0010505+0.00017543i,-0.00083766-0.00033405i,-6.3084e-05-0.00021172i,0.00024607+0.00051791i,-0.00047649+0.00050276i,-0.0004931+0.00015764i,-1.3406e-05+0.0005414i,-0.00042224+0.0011177i,8.9052e-05+0.0010882i
-7.2754e-05+0.0025213i,0.00022583+0.0026051i,0.00027422+0.0021211i,0.00092274+0.0015435i,0.0015768+0.00061155i,0.0015598-0.00071722i,0.0013218-0.00057054i,0.00079292+0.00031939i,-8.5774e-06+0.0009888i,-0.00033785+0.0014617i,-0.00043435+0.0016442i,-0.00055544+0.00084788i,2.5508e-06+9.6737e-06i,0.00010056-0.00049128i,-0.00018712-0.00040859i,-0.00048352+0.00029551i,-0.00062206+0.0001213i,-0.00081973-0.00055421i,-0.00078382-0.00033388i,-0.00037271+0.00037517i,-0.00029235+0.0010124i,0.00051229+0.00065782i,0.00027626-7.5147e-06i
-0.0010673-0.00019427i,-0.0011467+0.00083339i,-0.00066661+0.00090409i,-0.0004047+0.00071233i,-0.00082648+0.00063847i,-0.00026715+0.00043939i,9.957e-05-6.3989e-05i,-0.00044565-0.00083945i,-0.00062808-0.0013527i,-0.00023614-0.00046867i,-0.0003554-0.00047854i,-0.00022948-0.0014222i,0.00065625-0.0015917i,0.0014458-0.0011362i,0.0010101-0.00030014i,0.00046476-6.3897e-05i,-0.00037202-0.00060369i,-0.00048535-0.00082942i,0.00017082-0.00069875i,0.00015384+6.8886e-05i,-2.6956e-05-0.00012042i,-6.229e-05-0.0005278i,0.00067103-0.00043898i
0.00046064+0.00086258i,0.0014495-9.8164e-05i,0.0019826-0.00098749i,0.0013097-0.0015826i,0.0008268-0.00075251i,0.0010652+0.00019601i,0.0013782+0.00037789i,0.00043401+0.00021693i,-0.00070835+0.00093659i,-0.00041706+0.00036649i,0.00035599-0.00041i,0.0010036-0.00042051i,0.00026441-0.00052233i,-0.0012966+2.9382e-05i,-0.0010098+4.6766e-05i,1.0341e-05-2.1284e-05i,0.00039692+0.00084383i,0.00073849+0.0003671i,0.00076474-0.0006634i,0.00055095-0.0010359i,0.00025625-0.00076317i,0.00028287+0.00022111i,0.00093357+0.00042072i
0.001837+0.00012335i,0.0013694-0.00010435i,-0.00030532-0.00016223i,-3.7818e-05-0.00058281i,0.00080619-0.00034268i,0.0011995+0.00039837i,0.00035341+0.00041022i,-0.00072683+0.00020509i,-0.00026641-0.0001421i,-0.00024401-0.00068172i,-0.00063126-0.00092805i,-0.00014626-0.00016155i,-0.00018581+0.00054671i,4.7447e-05+0.00020303i,-0.00011771+0.00054793i,-0.0010811+0.00094541i,-0.00077538+0.00052492i,-0.00017049+0.00011892i,0.0002151-9.3237e-05i,0.00042291-0.00037373i,0.00029486-0.00048821i,0.00048749-0.0010046i,0.0010603-0.00097494i
-0.00032241+0.00051187i,0.00087667+0.0008433i,0.001636+0.00026517i,0.00115-0.00083581i,0.00036996-0.00064186i,0.00012586-0.00040422i,-0.00056245-0.00051982i,-0.00085977-0.0010413i,-0.00069467-0.00056213i,-0.00085884+0.00051193i,-0.00072739+0.00091088i,-0.00017889+0.00075429i,0.00028941+2.9277e-05i,0.00018298-0.00039911i,-0.00065594-0.00037311i,-0.00052657-0.00018547i,0.00018486+4.4627e-05i,0.00028295-0.00015012i,-0.00018541-0.00025025i,-0.00082247-0.00035022i,-0.00043108+9.3898e-05i,0.00025236+8.9508e-05i,0.00061123-0.00076766i
-0.0017674+0.00052021i,-0.0013019+0.0011022i,-0.00055239+0.00045439i,0.00065254-0.00043495i,0.0013816-0.00036513i,0.001423+2.7727e-05i,0.0010659-0.00067692i,0.00015905-0.00098772i,-0.00039972-0.00071004i,-0.00051822-0.00047628i,-0.00026962-0.00015396i,0.00016927-0.00028551i,9.081e-05-0.00021788i,0.00035148-2.4447e-05i,0.00073041-0.00040766i,0.00033727-0.0009244i,-3.0882e-05-0.00037814i,0.00021135+0.0001487i,0.00054649+0.00049711i,0.00016558+0.00045087i,0.00054028-0.00052029i,0.00045168-0.00059506i,-0.00040485-0.00054527i
-0.00011992+0.00085742i,-0.00081073+0.00020156i,-0.0017616+0.00050489i,-0.0010441+0.00034439i,0.0003248-0.00074566i,0.00017437-0.00070755i,-0.0002865-0.00077583i,0.0002505-0.00020203i,0.00030427+0.0014012i,0.00010237+0.0016891i,9.5344e-05+0.00069111i,0.0005158-0.00039952i,0.00012855-0.0010083i,-0.00035244-0.0013115i,0.00011543-0.0018386i,0.00044705-0.0013718i,0.00076736-0.00045158i,0.00015213+8.1697e-05i,-0.00090423+0.00036027i,-0.00074955+0.00012208i,0.00019875+0.00034443i,-0.00024389+0.00036399i,-0.00099707-0.00025708i
0.00084439+0.0024398i,0.0017861+0.00067263i,0.0028563-0.0011975i,0.0020699-0.0013384i,0.00092237-0.00055984i,0.00073194-0.00022537i,2.2547e-05-5.4643e-05i,-0.00030099+0.00022189i,-0.00014604-1.0671e-05i,-0.00024777-0.00088594i,0.00051948-0.00070592i,0.00048632+0.00033717i,0.00024782+0.00085666i,-0.00031311+0.00097724i,-0.0012816+0.00016234i,-0.0016021-0.00035465i,-0.00096563-0.00027126i,-0.00078328+0.00024269i,-0.00060607+0.00050014i,-7.4559e-05+0.00056073i,-0.00031078+0.00057587i,-0.00089539+0.00015379i,-0.00089667-0.00060478i
-0.0012756+0.00025222i,6.5314e-05+3.6279e-05i,0.0011622+0.00050308i,0.0013827+0.00051358i,0.00065049-4.5202e-05i,0.00023301+0.00058263i,0.00016302+0.00026428i,-0.00054045-0.0010254i,-0.0012123-0.00066157i,-0.0010337+3.8969e-05i,-0.00024945+0.00049441i,0.00041854+0.00044184i,0.0005763+0.00042054i,0.00057038+0.00035792i,0.00026669+5.4473e-05i,0.000135-0.0002683i,0.00030968-0.00032426i,-0.00014739-0.00024919i,-0.00060612+0.00038265i,-0.00043537+0.00054722i,-5.5614e-05+0.00058784i,0.00041208+0.00072221i,0.0004183+0.00032057i
-0.00082485-0.00024831i,-0.0011002-0.00027768i,-0.0013699+0.0010692i,-0.00096897+0.0018741i,0.00081891+0.0010042i,0.0016946+0.00040976i,0.0012706+0.00040778i,-0.00063648-0.00031917i,-0.0018481-0.00073368i,-0.00062292-0.00051889i,0.00083869-0.00013541i,0.00094996-0.00011571i,0.0006266-7.6687e-05i,0.0009171-0.0001857i,0.0010717-0.00054629i,0.00054242+1.588e-05i,0.00031149+8.1912e-05i,-0.00024165-0.00051975i,-0.0003718-0.00042185i,0.00031388-0.00026475i,0.00070762-0.00028972i,0.0010704-0.00014084i,-3.5212e-05+2.39e-05i
-0.0013862+0.00025486i,-0.0017583+0.0011302i,-0.0012753+0.0019742i,0.00033637+0.0019436i,0.0017124+0.00085346i,0.001759+0.0004943i,0.0013128+0.00026327i,0.00048832-0.00063458i,-0.00023865-0.00063769i,-0.00013696+0.00013032i,2.2447e-05-0.00027013i,0.00070635-0.0011015i,0.0010752-0.0011376i,0.00085726-0.00093417i,0.00061104-0.0010783i,8.9332e-05-0.00054451i,-0.00042245-0.00035909i,-0.00014542-0.00029131i,0.00028979-0.00018608i,-1.4613e-06-0.00039429i,-0.00050613+0.00029001i,-0.00037117+0.0011742i,-0.00013929+0.00033867i
0.00082416-0.00032453i,0.0015065-0.00089624i,0.0016715-0.00076048i,0.00074211-0.00067713i,0.00097421-0.00097506i,0.0012509-0.0012423i,0.0007061-0.0015115i,-0.0003757-0.0010517i,-0.00087776+0.00012706i,-0.00074287+0.00037309i,-0.00027209-0.00037195i,-0.00056209-0.0004639i,-8.3175e-05-0.00025759i,0.00078208-0.00050236i,0.00055594-0.00037914i,-2.0487e-05-0.00018307i,-0.00048556+0.00039355i,-0.00067853+0.0012605i,-0.00066787+0.00027187i,-0.00036733-0.0011507i,-0.00020469-0.00087555i,3.8086e-05-0.00020017i,0.00056771-0.00045581i
0.0010371-0.0020758i,0.00046197-0.0015676i,-0.0012727-0.0014425i,-0.0011891-0.0011832i,3.7759e-05-0.00043186i,0.00076985+0.00081485i,0.00098145+0.00073942i,0.00047461-0.00033464i,0.00043731-0.00064502i,0.00086624-0.00052187i,0.00081697-7.3207e-05i,0.00040086+0.0002627i,0.0002355+0.00085851i,0.0002861+0.00090974i,0.0007666+0.00071008i,0.00080921+0.0012539i,0.00095921+0.00085183i,0.00085795+0.0002758i,0.00036406-0.00030829i,0.000169-0.00075498i,4.3395e-05-0.0003746i,0.00026177-0.00014537i,0.00012444-0.00019925i
0.00030446+0.0016502i,0.0013334+0.0010328i,0.0014194+0.0004127i,0.00075526-0.00077797i,0.00028589-0.0010262i,-0.00044907-0.00099768i,-0.0007928-0.0010371i,0.00019669-0.0006377i,0.00075582+0.00040854i,0.00043845+0.0012342i,0.00023099+0.00053501i,-0.00024872-0.00034007i,-0.00034466-0.00027639i,-0.00045004-0.00081531i,-0.00039652-0.001959i,-3.4777e-05-0.0011715i,0.00041427-0.00052156i,0.00058169-0.00070223i,-0.00030053-0.0005391i,-0.00045816-0.00070918i,0.00070942+8.1841e-05i,0.00094624+0.00089679i,0.00031797+0.0010287i
-0.0020573+0.00032533i,-0.00093998+0.0005943i,0.00041003+0.00096703i,0.00092225+0.00092363i,0.00058382+0.0012902i,0.0013655+0.0010825i,0.0020114+0.00018385i,0.00072058-1.2957e-05i,-1.1401e-05-8.4545e-05i,0.00019917-0.00013584i,0.00030097+0.00021949i,0.0007763-0.00012489i,0.0006043-0.00064138i,-6.5863e-05-0.00023732i,0.00050551-0.00029231i,0.0010094-0.00080165i,0.00037812-0.00098307i,-0.00022243-0.00072452i,-0.00049223+0.00038053i,-0.00041205+0.0012589i,-0.00068107+0.00099278i,-0.00037901+0.00061593i,-6.5615e-05+4.8836e-05i
-0.00015182-9.5686e-06i,0.00048299-0.00030175i,0.0009008-0.00051185i,0.00173-0.001393i,0.0014525-0.0018055i,0.0013164-0.0010198i,0.0016305-0.00068024i,0.00072149-0.00017016i,0.000285+0.00046625i,0.00062436+0.00038238i,0.0004684-0.00039022i,-9.8242e-05-0.00040458i,0.00018579+0.00027222i,0.00025307+0.00045472i,-0.00030721+0.00014646i,0.00019383+0.00058514i,0.0010869+0.00087912i,0.00050412+0.00073627i,0.00060983+0.0014334i,0.00064957+0.0016493i,0.00029559+0.0010212i,-0.00015636+0.00053028i,0.00025329-0.00014839i
0.00011312-0.0006525i,6.0318e-05-0.00039286i,-0.0004059-7.0266e-05i,-0.00089001+0.00030275i,-0.00038283+0.00079893i,0.00064267+0.0011955i,0.0013371+0.00065871i,0.0013117-1.4292e-05i,0.0012065+0.0001557i,0.00060996+0.00026059i,-0.00018659+0.00012349i,-0.00029071+1.9115e-06i,-0.00018137+0.0004396i,-7.4667e-05+0.00070521i,0.00059151-0.0002724i,0.00051144-0.00042427i,0.00029939+0.00035511i,0.00016144+0.00036702i,0.00045172+0.00084149i,0.0004514+0.00086871i,-0.00018754-0.00019093i,-0.00057546-0.00070051i,-0.00062074-0.00093049i
-0.00031492+0.00026942i,-0.0004851+0.00027365i,0.00099969-0.00019497i,0.0020528-0.00062017i,0.0013432-0.0006251i,0.0002732+0.00063211i,-0.00031843+0.00046115i,0.00019046-0.00054575i,8.5177e-05-0.00036283i,0.00043114+4.1239e-05i,0.0010111-0.00066158i,0.0011457-0.00041918i,0.00053889+0.00022833i,-0.00072355-1.3568e-05i,-0.00096301+0.0007409i,4.377e-05+0.0013522i,0.00065558+0.00061699i,0.00031604+0.00084493i,7.5214e-05+0.00058117i,0.00023526+1.6161e-05i,0.0003745+0.0005559i,0.00040621+0.00062567i,9.1055e-05+0.00024425i
-2.7593e-05-0.00053523i,8.8153e-05+0.00016344i,-0.0010356+0.00026269i,-0.00069618-0.00042359i,0.00016431-0.00027422i,0.00095561+0.0005961i,0.0013809+0.00055906i,0.0009165-0.00037255i,0.0004629-0.00097771i,0.0008216-0.0013007i,0.0003027-0.0012741i,-0.00072861-0.00028324i,-0.00079203+0.00014434i,-8.6705e-05+7.3566e-05i,-2.1277e-05-0.000243i,-0.00057934-0.00063749i,0.00024855-0.00042498i,0.00091512+0.0001661i,0.00034865+0.00031622i,0.00066246+5.9747e-05i,0.00080167+8.6035e-05i,0.00017778-8.9987e-05i,-0.0002435+0.00031201i
-0.00012406-2.3009e-05i,-0.00071516-0.00091872i,-0.0020001-0.00057363i,-0.0025818-7.5895e-05i,-0.0019008+0.00058105i,-0.0004518+0.00094478i,-0.0001326+0.00034702i,-0.0014417+0.00021984i,-0.00098432+9.5706e-05i,0.00016522-0.00043644i,0.00012202-0.00027365i,0.00048019+0.00052192i,0.00094281+0.00049543i,0.0013758+9.1107e-05i,0.00088886-0.00011018i,0.00012934-0.00065623i,-8.9245e-05-0.00051021i,0.00036569-0.00048822i,0.00057329-0.00031274i,-0.00013415+0.00020356i,-0.0013279-8.209e-05i,-0.0013955-0.00035603i,9.1261e-05+7.2788e-05i
-0.0018735-0.00054033i,-0.001868-0.0002809i,-0.00086365-8.8716e-05i,0.00086831+0.00054149i,0.0021366+0.00097899i,0.0017128+0.00050119i,0.00053341-0.00067441i,0.00046763-0.00098773i,-0.00035325-0.00042284i,-0.001158+0.00070435i,-0.00052824+0.0010575i,-7.3766e-06+0.001368i,0.00060143+0.0011391i,0.0021158+0.00025789i,0.0016237+0.00016171i,0.00014165+0.00035809i,0.00021697+0.00048663i,0.00028072+0.00064896i,-6.8335e-05+0.00094073i,-0.00036709+0.00026141i,9.3459e-05-0.00046386i,0.00039613-3.8939e-05i,0.00019361+0.00010995i
0.00039825-0.00084488i,0.0013377-0.00064804i,0.0019502-0.00095681i,0.0012563-0.001419i,0.00049108-0.0017626i,0.00059564-0.0013163i,0.00091945-0.00067283i,0.0012415-0.00028307i,0.00096238+0.00043092i,0.00035513+0.00028911i,0.00052608+1.0317e-06i,0.00056704+0.00081588i,-0.00020497+0.0011254i,1.9501e-05+0.0008606i,0.0008958+0.0010143i,0.00072017+0.00085426i,-0.00049879+0.00036773i,-0.00043792-6.4846e-05i,0.00088022-0.00028489i,0.001338-0.00014464i,0.0008398-0.00019153i,0.00063523-8.2014e-05i,0.00056815+0.00015759i
-0.00035611-0.00066308i,0.00031197+8.7813e-05i,-0.00011472+0.00089655i,-0.001336+0.0012425i,-0.0013625+0.0019971i,-0.00037513+0.0021272i,3.3627e-05+0.00048258i,0.00012112-0.00081483i,0.00022845-0.0004518i,-0.00049565+0.00015545i,-0.0005629+0.00056669i,0.00030638+0.00049544i,0.00037458-0.00025023i,0.00048119-0.00086381i,6.0571e-05-0.00024628i,-0.00068856+0.00071869i,-0.00078165+0.00017554i,-0.00033366-0.00012422i,4.6082e-05+0.00032133i,0.00039692-0.00011144i,-8.6884e-05-0.00061425i,-0.00011181-0.00071196i,0.00044129-0.00049709i
-0.0027375+0.00031538i,-0.0020962+0.0018844i,-0.00070162+0.00275i,0.0011178+0.0024062i,0.0025943+0.0019213i,0.0026285+0.00073392i,0.0013036-0.00095235i,-0.00020267-0.0013939i,-0.00069817-0.0010487i,-0.00023117-0.00026964i,0.00011449+0.00035939i,0.00044437+0.00017854i,0.00087676+0.00014439i,0.00099881-0.00012006i,0.0014675-0.0014816i,0.0013592-0.0016244i,0.00040541-0.00079729i,-0.00026875-0.00017111i,-0.00016932+0.00042767i,-0.00047732+0.00012269i,-0.00074937-9.7413e-05i,-4.0481e-06-0.00031912i,0.00025979-0.00020828i
-0.00082567-0.0011066i,-0.0014427-0.00093599i,-0.00093891-0.00093403i,-0.00078376-0.0017688i,1.3725e-05-0.001649i,0.00074619-0.00059258i,0.00068977+0.00010607i,8.8317e-05+0.00058165i,0.00024282+0.00076466i,0.0011065+0.00062904i,0.0009603+5.6697e-05i,0.00033561-0.00065342i,0.00021166-0.00079248i,0.0006078-0.00044063i,0.00080843-0.00036786i,-2.3378e-05-0.0005126i,-0.0007494-0.00059995i,-0.00079361+8.3024e-05i,-0.00076883+0.00043694i,-0.0011817-0.00028477i,-0.00084819-0.00036701i,-0.00019164-5.781e-05i,0.00053358+1.5637e-05i
0.00077569+0.00048762i,0.00038444+0.00021833i,0.00037422+0.0006389i,0.00020462+0.0008574i,0.00071092+0.0014241i,0.0015189+0.0016381i,0.0016591+0.0008771i,0.00098515+0.00032167i,0.00068107+0.00022028i,0.00023638-6.5672e-05i,-0.00074302-0.00017572i,-0.0010202-0.00044988i,-0.00026171-0.00038345i,-3.0718e-05-0.00032399i,-0.00013013-0.00078014i,0.00036324-0.00096886i,7.233e-05-0.00062528i,-0.00014657+0.00018569i,0.00036654+0.00041039i,0.00020564-0.00034939i,0.00064881-3.3215e-05i,0.00072662+0.0010028i,-0.00011217+0.00052946i
0.0015616-0.0011293i,0.00083314-0.0025768i,0.0001912-0.0024407i,0.00014772-0.001682i,0.00022023-1.8277e-05i,-0.00032534+0.00036787i,-0.00010842+0.00010329i,-0.00010064+0.00058221i,-0.0004102+0.0010063i,0.00014073+0.00096246i,0.00061873+0.00046409i,-3.3816e-05+0.00020759i,-8.5411e-05+0.00023267i,0.0006415+0.0010067i,0.00075091+0.00057827i,0.00040313-0.00051525i,0.00062506-0.00057985i,0.00063735-0.00055922i,0.0002536-0.00096465i,0.00065403-0.00081989i,0.00084462-0.00073109i,0.00057411-0.00094194i,0.00022738-0.00052i
-0.0019106+0.0001117i,-0.0011649+0.0013891i,0.0010346+0.0013352i,0.0019626+0.00024618i,0.0014856-0.00031907i,0.0013293-0.00039248i,0.0013458-1.4637e-05i,0.00050495-0.00029741i,-0.00014862-0.00034774i,-0.00010759+0.00028177i,-7.2037e-05-0.00019426i,-2.5294e-05-0.00063325i,-0.00033494-0.00053588i,-0.00026209-0.00092197i,-8.4409e-05-0.00054412i,-0.00017575+0.00013553i,0.00015461+0.00018904i,0.00063519+0.00022514i,0.00078497+0.00061381i,0.0003948+4.8698e-05i,-6.6266e-05-0.0005737i,-6.235e-05+2.3161e-05i,-0.00030573+0.00074532i
0.00017856-0.00097093i,-0.00046652+0.00016678i,-0.00081689+0.00085606i,-0.0010221+0.00028886i,-0.00095933+0.00021279i,0.00043815+0.0003888i,0.0016158+0.00073007i,0.00092779+0.0014881i,-0.00025337+0.00064244i,-0.00088031-0.00036171i,-0.00096449-0.00037372i,-0.00018195-0.00022736i,0.00025068-0.00081708i,0.00020622-0.00093997i,0.00018986-0.00045797i,0.00013911+0.00023463i,-0.00061482+0.00060253i,-0.00057932+0.00062912i,-7.046e-05+0.00040592i,0.00065135+0.000492i,0.00045882+0.00037371i,-0.0002963-0.00058412i,-0.00067671-0.00060752i
0.0027095-0.0006515i,0.0027418-0.0012867i,0.0018774-0.0021164i,0.0013173-0.0019993i,0.00099001-0.0011486i,0.0010258-0.00016186i,0.00079468+0.00031887i,-0.00050016-0.0006282i,-0.00067581-0.00078521i,0.00015811-0.00039239i,0.0004932-0.00027476i,0.00047643-6.3905e-05i,0.00053696+0.00025815i,0.00068632-5.3438e-05i,0.00050756-0.00010604i,0.00048926-7.4104e-05i,0.000394-0.00035715i,-0.00011106-0.00026962i,-0.00030461-1.3081e-05i,-5.5027e-05+5.075e-05i,-0.00046996+5.4216e-05i,-0.00024512-4.7187e-05i,-9.1838e-05-0.00041081i
0.00024147+0.0004983i,-0.00030687+0.0013497i,-0.0010751+0.0014256i,-0.001174+0.001385i,-0.00055747+0.0019733i,-6.7632e-05+0.0020804i,0.00078884+0.0019968i,0.00087977+0.0013077i,-0.00033555+0.00047555i,-0.0011686-0.00043081i,-0.00089404-0.0011669i,-0.00022911-0.0003778i,0.000158+0.00096367i,0.00047277+0.0013557i,0.00051984+0.00075564i,-0.00034057+0.00021968i,-0.00094751+0.00017624i,-9.1584e-05-9.0822e-05i,0.00060009-0.0011061i,0.0011033-0.00090029i,0.00078079+0.00019186i,6.877e-05-5.516e-05i,-0.00012801+0.00015114i
-0.0012471+0.0027998i,-0.00032394+0.0027517i,0.00083663+0.001668i,0.0011155-0.00033868i,0.0006749-0.0018279i,0.00096028-0.0017629i,0.00030064-0.00098067i,-0.00053718-0.00047614i,-0.00054592-0.00010599i,-0.00046534+0.00011244i,-0.00063132+0.0002003i,-0.00022652-0.00020862i,0.00047333-0.00060032i,5.1911e-05-0.00092419i,2.9386e-05-0.00056442i,0.00029286+0.00018168i,0.00024619-0.00024764i,-0.00049239-0.00082223i,-0.00034779-0.00092116i,0.00068768-0.00052319i,0.0002361-0.0002981i,5.1349e-05-0.0002775i,0.00089432+0.0002505i
