0.00050618+0.0007497i,0.00080333-0.00056732i,-0.00032266-0.00071976i,-0.0014858-0.0015729i,-0.0014534-0.0011808i,-5.8164e-05+9.8042e-05i,0.00081496+0.00078099i,0.00072789+0.0015462i,0.00051458+0.001833i,0.00048161+0.00053595i,0.00042466-0.00098913i,-0.00041274-0.0010026i,-0.0011553-0.00024638i,-0.00079693-0.0006251i,-0.00030894-0.00080876i,-4.4027e-05-0.00028299i,7.8787e-05-0.00083267i,-0.00017164-0.0014017i,-0.00046606-0.00085864i,-0.00067978-0.00045363i,-0.00039646+6.2683e-05i,0.00034315+0.00018705i,0.00027084+0.00050925i
-0.00096596-0.0011108i,-0.0015045-0.00022736i,-0.001892+0.00034403i,-0.0015614+0.00089073i,-0.00060709+0.00081494i,0.00064739+3.9434e-05i,0.00077837-0.00028598i,-0.00012474+5.4675e-05i,-0.00069698+0.00056431i,-0.0004037+0.00046866i,0.00015244-0.00034631i,0.00022456-0.00056959i,0.00030169-0.00058443i,0.00030006-0.00059607i,0.00014528-0.00010401i,-0.0001356+0.00012906i,-0.00010904+0.00033113i,0.00021407+0.00090403i,0.00051273+0.00047637i,0.00035417+2.5563e-05i,-0.00091067+0.00010882i,-0.0018047+0.00050718i,-0.00073161+0.00070728i
0.0021196-0.00054629i,0.0017535-0.00098279i,0.0013748-0.0013598i,0.00062378-0.0013808i,-3.1331e-05-0.00077074i,-8.7184e-05+0.00023743i,-0.00056325+0.0010125i,-0.0010638+0.00038399i,-0.00088601-0.00073563i,-0.00032414-0.00044442i,3.0986e-05+9.3285e-05i,-0.00021763+0.00032426i,-0.00019742+0.00092578i,-0.00055602+0.0015208i,-0.0013191+0.0015651i,-0.0014416+0.001026i,-0.00061557+0.00040779i,-0.00022186+8.1137e-05i,-0.00018937-0.00029732i,-0.00026527-0.00041787i,-0.0001562-0.0004113i,0.0005473-0.00076602i,0.00086147-0.00054496i
4.8956e-05-0.00012i,-0.00026963-0.0003343i,-0.00030024-0.00033238i,-0.00017337-6.5601e-05i,-0.00032657+0.00011359i,0.0005363+0.00039311i,0.0013819-0.00029724i,0.0010326-0.00064935i,0.00024235-0.00022675i,8.8806e-05-0.00034151i,0.00014659-0.00070224i,-0.00048923-0.00060317i,-0.00033874-0.00015923i,0.00045641+0.00016628i,0.00050378+1.7803e-05i,0.00025333+0.00074616i,0.00033882+0.0015729i,1.2631e-05+0.00099189i,-0.00024981+0.00012366i,1.5005e-05+0.00030735i,-6.049e-05+0.0002032i,-0.00021331-0.00016667i,0.00013637-7.7616e-05i
0.00074846-0.00060843i,0.00074334-0.00085667i,9.1933e-05-0.0011382i,-0.00020919-0.0015638i,0.00027752-0.0013955i,0.00058878-0.00091854i,0.00036774-0.00014982i,0.00024075+0.00033061i,0.00028729+0.00071432i,0.00041015+0.0008099i,0.00035896+8.9691e-06i,-0.00028198-0.00053359i,-0.0010513-0.00044849i,-0.0011486-0.00010188i,-0.00069023-0.00035122i,-0.00040704-0.00081527i,-0.00057531-0.00052325i,-0.00094422-0.00012792i,-0.0011734-0.00050763i,-0.00041107-0.00061048i,0.00024226-0.00031304i,-0.0003944-4.8924e-05i,-0.0009298-7.8921e-05i
0.0012841-1.4909e-05i,0.00097444-0.00024495i,0.00095884-0.00049704i,-0.00010245-0.0013141i,-0.00026954-0.00098366i,-0.00025096+0.00032398i,0.00021737+0.00015862i,0.00044309+9.5293e-05i,-0.00038905+0.00049091i,-0.00076167+6.0041e-05i,-3.8341e-05+2.817e-05i,0.00053112+0.00033015i,-0.00019983+0.00018213i,-0.00079234-0.00011656i,-0.0010048-0.00038672i,-0.00068958+0.00058156i,0.00035476+0.0011667i,0.00075332+0.00042559i,0.00015793+0.0003291i,0.00043295-0.00042067i,0.0012254-0.0011586i,0.00080137-0.00058208i,0.00070196-0.00057014i
0.00034337+0.00047422i,-0.00088894-0.00069284i,-0.00022318-0.0020835i,-4.6515e-05-0.0022773i,-0.00047161-0.0011504i,2.2769e-05-0.00042299i,0.00063504+0.000146i,0.00059326+0.00058811i,-0.00055048+0.00085902i,-0.0012456-0.00018162i,-0.00015773-0.00079929i,0.0011558-0.00050422i,0.00071626-8.5273e-05i,-0.00027734+0.0002921i,-0.00071186+0.00067114i,-0.0013669+0.0014547i,-0.0012867+0.0014261i,-0.00049844+0.00069081i,0.00080682+0.00029043i,0.0012737+0.00025211i,0.0010248-0.00029674i,0.0009586-0.00044537i,0.00029435-0.00030259i
-0.0013475-0.0011782i,-0.00095452-0.0006828i,9.2861e-05+0.00013307i,0.0012765+0.0003462i,0.0015602+0.00050089i,0.0014216-0.00011096i,0.0012515-0.00073252i,0.0014508-0.00050589i,0.0013036+0.00016315i,0.00018964+0.00098999i,0.00015551+0.00085542i,0.00034584-0.00012926i,0.00034623-0.00052953i,0.00097896-0.00015516i,0.0010648+0.00048719i,0.00053025+0.00082132i,8.3244e-05+0.00050715i,0.00031058+7.6156e-05i,0.00059213+0.00040405i,0.00019672+0.00082331i,-0.00012804+0.00051799i,-0.00055653-0.00017202i,-0.00088852+8.9274e-05i
-0.0009517-0.00058444i,-0.00070757+0.00045081i,-0.0010441+0.0013214i,-0.00072492+0.0013048i,0.00014323+0.00071617i,0.0012535-0.00019399i,0.0014359-0.00074104i,-7.1531e-05+6.5087e-05i,-0.00054603+0.00062469i,0.00092615+0.00037156i,0.0011895-1.3748e-05i,0.00058454-0.00030661i,0.00079427-0.00074129i,0.0010121-0.00070492i,0.00070337-0.00035292i,-0.00020886+0.00023456i,-0.00068014+0.00055298i,-4.1652e-05+0.00031687i,0.00016613-0.00040389i,0.00011494-0.00065792i,-9.0746e-05-0.00041601i,-0.00040041-0.00019887i,-0.00038293+0.00017982i
-0.00036221+0.0010426i,0.00056308+0.0013845i,0.00081266+0.00052345i,0.0010862-0.00050701i,0.0011955-0.00081087i,0.00074714-0.00025427i,0.00014943+0.00023727i,8.3713e-05+0.00046467i,0.00094547-0.00036527i,0.00090132+2.398e-05i,-0.00018623+0.00071937i,-0.00031356+0.00010939i,0.00025287-0.00048123i,0.00011299-0.0011416i,-9.7822e-06-0.00076079i,3.1679e-05+0.00042336i,3.9443e-05+8.8586e-05i,0.00035106-3.9377e-05i,0.00023048+0.00010632i,-0.00012267-0.00017937i,0.00023092+9.9879e-05i,-0.00023264+0.000263i,-0.001007+6.5891e-05i
0.0014466-0.00086523i,0.002193+2.0481e-05i,0.0014554-0.00053543i,0.00061306-0.0014532i,0.0005575-0.001171i,0.0012282+0.00021876i,0.0010895+0.00072839i,0.00041227+0.00065889i,-7.3963e-07+0.00082563i,-0.0003428+0.00062227i,0.00064086+0.00018306i,0.0012555+0.00054117i,-0.000425+0.0011873i,-0.00028834+0.0010737i,0.00075851+0.00036469i,0.00063911-0.00018695i,0.00026369-0.00040887i,0.00015633+0.00017905i,0.00035941+0.00034699i,0.00029426-0.00049785i,-1.7392e-05-0.00089907i,-0.00021882-0.00036843i,0.00012445+0.00010694i
