-7.2031e-05-0.00051637i,0.00041711-0.0015165i,1.2876e-05-0.0027602i,-0.0013412-0.002508i,-0.0024-0.00038068i,-0.0020013+0.0017717i,-0.00086762+0.0027678i,0.0002651+0.0027201i,0.00088538+0.0020296i,0.00058709+0.0015544i,-2.379e-05+0.00048478i,0.00046493-0.00050705i,0.0004125-0.00027804i,-0.00096944-4.9613e-05i,-0.00086597-9.0688e-05i,0.00024475-0.00048083i,0.00036523+0.00016481i,0.00065601+0.00052819i,0.0011955-0.00056849i,0.00023874-0.0011262i,-4.6661e-05-0.0008358i,0.00038931-0.0004312i,0.00052788+9.364e-05i
0.00013641-0.00049497i,-0.00060172-0.00052229i,-0.00067434-0.0016028i,-0.00072806-0.0019078i,-0.0012251-0.00076196i,-0.00097066+0.00043233i,-0.00028034+0.00089425i,-0.00013764+0.0009414i,-0.00057301+0.00057528i,-0.001148+0.0002374i,-0.00097856+0.0005224i,-5.2935e-05+0.0010098i,0.00065391+0.0012343i,0.00062907+0.00098429i,0.00028662+0.00048797i,-0.00017512+0.00020824i,-0.00055554+0.0003578i,-0.00010562+0.00013004i,8.9931e-05-0.00044675i,0.00010494-0.0002353i,0.00013226+0.00074306i,-0.00020194+0.00092782i,-0.00071898+0.00053329i
0.0018612+0.0019067i,0.0022924+7.4261e-05i,0.0025858-0.0019357i,0.0022438-0.0024872i,0.00099975-0.002347i,-0.00046356-0.0010779i,-0.00085642+0.00045782i,-0.00068963-0.00023426i,-0.00029001-0.0010908i,0.00018083-0.00071125i,0.00029156-0.00025998i,0.00014569-0.0001022i,1.5477e-05+0.00041838i,-0.00067816+0.0011045i,-0.00074255+0.0014465i,-0.00056303+0.0014877i,-0.0010991+0.0012722i,-0.0010452+0.00064891i,-0.00046682+5.7849e-05i,-0.0001255+0.00013142i,-7.6092e-06+2.8855e-05i,-0.00061539-9.1302e-05i,-0.0011145+8.7635e-05i
0.00019162+0.00038137i,-0.00026085-0.00019577i,0.00076608-0.00058115i,0.0002639-0.00089804i,-0.001237-0.0011857i,-0.0017403-0.00040364i,-0.0015492+0.0004677i,-0.00071611+0.00082476i,-0.00028507+0.00099456i,-0.00017074+0.00050279i,0.00029483+0.00016398i,0.00011369+0.00015837i,-0.00049457-0.0001474i,-0.00069802-0.00061841i,-0.00037225-0.00020673i,-8.0837e-06+0.00064249i,0.00056537+0.00076234i,0.0009009+0.0007504i,0.0003572+0.00031064i,0.00016562+3.6922e-05i,0.00045109+6.4265e-05i,8.9437e-05-0.00025581i,-0.00063201-0.00039934i
-0.00040724+0.00042841i,0.0001431+0.00024797i,-0.00039408-0.0006643i,-0.00094666-0.0015997i,-0.0010327-0.00082271i,-0.0010744+0.0009084i,-0.00052552+0.0015137i,-0.0003196+0.001006i,-0.00084367+0.00062533i,-0.0013005+0.00080849i,-0.00081247+0.00083145i,0.0003206+0.00043959i,0.00081577-0.00057536i,0.00046814-0.0006646i,-0.00015277+0.00020944i,-0.00022068+0.00054772i,0.0004116+0.00046155i,0.0005773+7.2476e-05i,-0.00024426-0.00020047i,-0.00065253-0.000211i,-0.00071638+0.00013092i,-0.0003221-8.1449e-05i,-0.00027747-0.00051926i
0.0015426+0.0010212i,0.0019645+9.7808e-05i,0.0030373-0.0011539i,0.0025909-0.0015674i,0.00020708-0.0011993i,-0.0010631-0.00021915i,-0.00087582+0.00029209i,-0.00047948+0.00029209i,1.372e-05+0.00034034i,0.00055738+0.00020953i,0.00016832-0.00040252i,-0.00017871-0.0012463i,0.00053315-0.0012778i,0.00067942-0.00037089i,-0.00022416+0.00051021i,-0.00045855+0.00089812i,0.0005537+0.0011703i,0.00067857+0.00067548i,0.00017966-0.00067855i,-0.00032446-0.0012082i,-0.00050713-0.00066703i,-0.0004072-0.00031178i,-0.00040864-0.00042391i
-0.00025552-7.8587e-05i,0.00015527-0.00013837i,0.00078848+0.00027298i,0.0012907+0.00021415i,0.00059195+0.00048525i,-0.00076299+0.00089735i,-0.0011163+0.00097423i,-0.00026112+0.0010589i,0.00049068+0.00064256i,0.00033874+0.00025526i,-0.00017349-3.3274e-05i,-0.00049248-0.00015571i,-0.00016757+0.00020527i,-0.000223+0.00041105i,-0.00070142+0.00056595i,-0.00057424+0.00043211i,0.00077874-0.00021661i,0.001352-0.00039249i,0.00080032-0.00052737i,0.00048055-0.0011428i,-0.00015341-0.0012989i,4.2679e-05-0.00078427i,6.8848e-05-0.00032888i
-0.00050122-0.0015146i,-0.00026521-0.0017232i,-0.0009937-0.0019581i,-0.0017517-0.0018782i,-0.0014937-0.00070062i,-0.00069329+0.00069301i,0.00027123+0.00079652i,0.00076686+0.0007248i,-0.00042335+0.0010027i,-0.00057737+0.00022853i,0.00019555+2.493e-05i,0.0002817+0.00054531i,0.00032235+0.00060281i,0.00042913-7.8838e-05i,0.00069089-4.2388e-05i,0.0006252+0.00040359i,0.00054186+5.2001e-05i,0.00052-0.00031431i,0.00019834+0.00048561i,-0.00019289+0.00043317i,-0.00027736-0.00068602i,-0.00063824-8.0574e-05i,-0.0002733+0.0010284i
0.0010997+0.00064522i,0.001133-0.00010226i,0.002029-0.00046067i,0.0014854-0.00099975i,-0.00030555-0.0010098i,-0.0018422+8.8775e-06i,-0.0013342+0.00084038i,-0.00019062+0.00071374i,-0.00090555-4.342e-05i,-0.00075015-0.00013675i,3.6235e-05+0.0007188i,-0.0003953+0.0011041i,-0.00039072+0.00086979i,-9.8294e-05+0.00062835i,-0.00025895+0.00077008i,-0.00025856+0.0010824i,0.0005205+0.00070263i,0.00079631+1.3783e-05i,-0.00024456-0.00031651i,-0.00029958-6.9132e-05i,0.00053027+0.00051725i,0.00027556+0.00066449i,-0.00011546-6.2243e-05i
0.00030215+0.0012207i,0.0005007-0.00071719i,0.0012196-0.0014737i,0.0010555-0.00078252i,0.00013498-0.0002916i,-0.00087422-0.00044332i,-0.0015515-0.00024015i,-0.0016041+0.00032052i,-0.00056349+0.00089381i,0.00049486+0.0015614i,0.00069613+0.0014541i,0.00029437+0.00071929i,0.00020286+7.1978e-05i,-0.00028392-7.0992e-05i,-0.00046081-0.00013211i,0.00018546+0.00014064i,0.00065325+0.00027919i,0.0013116+0.00047125i,0.0013592+0.00059711i,0.00015327+0.00026937i,-0.00098777+0.00012032i,-0.00069426-0.00036424i,-0.00033231+0.00029644i
0.0012134-1.9154e-05i,0.0012639-0.00029951i,0.0016112-0.001259i,0.00075246-0.0022442i,-0.00029021-0.0019896i,-0.0016057-0.00046931i,-0.001639+0.00050539i,-0.0015083+0.00041497i,-0.0018081+0.00044102i,-0.0013677+0.00030408i,-0.00080372+0.00022672i,-0.0011167+1.6699e-05i,-0.00068854+0.00016073i,0.00025186+0.0010628i,-4.8939e-05+0.000656i,9.1646e-05+0.00024157i,0.00067031+0.00038947i,0.00064854-0.00016122i,0.00019725-0.00091785i,-4.0541e-05+0.0001051i,0.00022687+0.00043192i,0.00038676-0.00020409i,0.00084345-0.00037869i
0.00066802-0.00033857i,-0.00015659-3.5156e-05i,-0.00079716-0.0013622i,-0.0013823-0.0022109i,-0.0029224-0.0010034i,-0.0030364+0.00093373i,-0.001266+0.0014804i,-0.00019068+0.00072i,0.00042758+0.00025586i,-8.3208e-06-0.00011404i,-0.00032922-0.00016425i,3.6206e-05+0.00030852i,0.00019433+0.00028117i,0.00035667+6.1066e-05i,0.00051852+0.00021914i,0.00076519+0.00015465i,0.00068523-0.00074441i,0.00036422-0.0011946i,0.00010749-0.00072901i,-0.00026387+0.00050435i,-2.361e-05+0.0004i,0.00038683-0.00023871i,0.00072587-0.00046017i
-0.00012035+0.00034631i,0.00045341-0.00023655i,0.0012952-0.00059531i,0.00055999-0.0016303i,-0.00051469-0.0011447i,-0.0010935+5.5064e-05i,-0.00085151+0.00049749i,-0.0010364+0.00098956i,-0.001105+0.0016067i,-0.00023957+0.00088014i,0.00014426+0.00040102i,-0.00038444+0.00057574i,-0.00055309+0.00033755i,-9.2925e-05-5.2536e-05i,0.00019677-0.00033957i,0.00028543-0.00028254i,0.00058872+5.7989e-06i,0.00081746-2.7154e-05i,0.00012758-0.00031804i,-0.00010268-0.00018025i,4.5154e-05+0.00034428i,-0.00024034+0.00021929i,-0.00061728-0.00046271i
0.00086519+0.0012162i,0.0010803+6.2015e-05i,0.0014751-0.00062721i,0.0018071+0.00044729i,0.00065976+0.0013714i,-0.00080292+0.00068984i,-0.00097709+0.00031824i,-0.00060941+0.00083987i,-1.2867e-05+0.0013396i,0.00043843+0.0011051i,8.2038e-05+0.00027061i,-0.00036638+0.00012718i,-0.0012769+0.00057723i,-0.00076457+6.7067e-05i,5.7023e-05+0.00027788i,-0.00022069+0.0004149i,-0.00070792-0.00019227i,-0.00064173-0.00010732i,-0.00033897-0.00039166i,-0.00049128+0.0002656i,-0.00050368+0.0005057i,-0.00053281-0.00057257i,-0.00051633-0.00013891i
0.0010974+0.0011297i,0.00014286-4.3944e-05i,-0.00032905-0.0013709i,-0.00065219-0.0017029i,-0.0019172-0.0015123i,-0.0013045-0.00043717i,-0.000657+0.00073294i,-0.00045352+0.0012189i,0.00013592+0.0012972i,-0.00036578+0.00092237i,-0.00068108+0.0003092i,-0.00082887+0.00024787i,-0.00035239+0.0004899i,0.00014965+0.00057939i,-0.00018218+0.00060952i,-0.00013213-2.5983e-05i,0.00036516+4.5292e-05i,0.00018942+0.00053052i,3.9911e-07-0.00010821i,0.00033701-0.00086471i,0.000398-0.00093514i,0.00021976-0.00066703i,3.1466e-05-0.00045645i
-0.00046817+6.7073e-05i,-0.00019715+0.00029311i,0.0002735-0.00022827i,0.0001327-0.00060342i,-0.00059182-0.00019372i,-0.0012548+0.00050893i,-0.00091215+0.0010124i,-0.0005026+0.00119i,-0.00063589+0.00022229i,-0.00074514-0.00039092i,-0.00013572-5.1028e-06i,0.00055202-9.9792e-05i,0.00089569-0.00010106i,0.00068999+2.4533e-05i,0.00010809-0.00041455i,-5.4106e-05-0.00098947i,-0.00032206-0.0010569i,-2.4353e-05-0.00075804i,-0.00010126-0.00074446i,-0.00068997-0.00036423i,-0.00093726-0.00029989i,-0.0006343-0.00026687i,-0.00022003+1.2649e-05i
-0.0011219+0.00084189i,-0.0008999+0.00086375i,0.00013708+0.00055385i,-9.6035e-05+4.55e-05i,-0.0016001-0.00036966i,-0.0019306-0.00012309i,-0.0006528+0.00024426i,-0.00012601+1.419e-05i,-0.00060825-0.00024997i,-0.00054255+1.4327e-05i,-0.00015322+9.8026e-05i,-0.00015966+0.00032363i,-9.221e-05+0.00014492i,-0.00027109+0.00021063i,-0.00068307+0.00060932i,0.00033664+0.00083749i,0.00057968+0.0013374i,-0.00026196+0.0004838i,-0.00052698-0.00022492i,0.00010222-1.7326e-05i,0.00013396-0.00025505i,-7.2375e-05-2.6212e-05i,0.00075677+0.00019036i
0.00072924-0.0004546i,0.00024204-0.0014269i,9.8381e-05-0.00214i,-0.00084478-0.002459i,-0.0010842-0.0017163i,-0.00076756-0.00012454i,-0.00062018+0.00088564i,-0.0002906+0.0012635i,-0.00047121+0.00059528i,-0.00035037-0.00012392i,3.8066e-06-0.00065256i,0.00018191-0.00049i,0.00088885+0.0010306i,0.00044976+0.0017402i,-0.00030946+0.00080578i,-0.00053562+0.00022444i,-0.00068489+7.1064e-07i,-0.00010048+0.00021449i,7.711e-05+0.001054i,-0.00024812+0.00077268i,-0.00044072+0.00016612i,-0.00027308+0.00041241i,-0.00047566+0.00046942i
0.00079968+0.00018728i,0.001605+0.00019557i,0.00094168-0.00093863i,-0.00072154-0.0022244i,-0.0018031-0.0022525i,-0.002086-0.00057768i,-0.0010601+0.00037493i,-0.00019627-8.4303e-05i,-0.00030461+0.00023757i,-0.00073965+0.00024794i,-0.00055024-0.00011691i,-2.1686e-05+0.00014387i,6.7395e-05+0.00094647i,0.00017475+0.00081572i,0.00041149+0.001117i,0.00032631+0.0015367i,0.00031335+0.0011437i,0.00049771+0.00038669i,0.00022326-0.00066699i,-0.00047769-0.001063i,0.00017229-0.0014034i,0.0012628-0.001075i,0.00095586-0.00041483i
0.0013588+0.00031339i,0.0010201+0.00099354i,-0.00026168+0.0017411i,-0.0009882+0.00124i,-0.0016872+0.00018215i,-0.0021258+0.00058176i,-0.00084984+0.0013378i,0.00031923+0.0017335i,0.00058474+0.0011934i,0.00033237+0.00026877i,0.00046401-0.00087294i,0.00093339-0.00096772i,0.00053745-0.00061306i,-0.00073174-0.00093014i,-0.0013234-0.00038493i,-0.00050022+0.0003059i,-0.00027572+0.00028569i,-2.6532e-05-0.00041417i,0.00031868-0.00049471i,-0.00036123-0.00081394i,-0.00059397-0.00078255i,-0.0001185-0.00047658i,3.1298e-05+4.5457e-05i
-0.00074021+0.0010201i,0.00041842+0.00066433i,0.001474-0.0007039i,0.001414-0.0019739i,0.00082893-0.00074532i,0.00022093+0.00054314i,-0.00018746+0.00059452i,-0.0006063-2.5776e-05i,-0.00039594-0.00012934i,-0.0001671-3.5825e-05i,-0.00031899+0.00034671i,-0.00034401+0.00065575i,-0.00093406+0.00019072i,-0.00065214+0.0001492i,0.0005523-0.00011518i,0.0011233-0.00033149i,0.0012689-0.00010474i,0.0010727+0.0002299i,0.00053233+0.00019371i,-0.00032435-0.00050558i,-0.00020599-0.00072162i,0.00052766-0.0010077i,0.00035425-0.00063108i
-0.00043449-0.00020536i,0.00089758-0.00058857i,0.00069771+0.00096354i,-0.00055694+0.0011691i,-0.0017725-0.00015553i,-0.0011352-0.0001084i,-0.00056923+0.00017949i,-0.00047779-0.00020536i,-0.00044906+0.00037177i,-0.0006236+0.0013238i,-0.00035345+0.00064261i,0.00015187-0.0004345i,7.0745e-05-0.00031627i,-0.00014619+0.00013099i,-0.00010021-0.00018144i,-0.00031612-9.1252e-05i,3.4456e-05+0.00047661i,-1.6961e-05+3.829e-05i,-0.00011522+0.00014357i,-0.00060839+0.0007427i,-0.00069743+0.00034308i,1.2075e-05+0.00037205i,0.00031177+0.0001117i
0.0014176+0.00040604i,0.0010135+0.00026707i,0.00066932+0.00035721i,0.00096454-0.00076163i,0.00098527-0.0023449i,-0.00020938-0.0014646i,-0.0009306+0.00018528i,-0.00098758+0.00093799i,-0.0005145+0.0011637i,-0.0002608+0.00066586i,5.0991e-05-0.00031141i,0.00032596-0.00032107i,-0.00043865+9.2309e-05i,-0.00069346+0.00012432i,-0.0001785-0.00020796i,0.00038014-3.7935e-05i,0.00046325+0.00034294i,-6.501e-05+0.0007515i,-0.00086717+0.00074621i,-0.00080577-0.0003277i,0.00019527-0.00080878i,0.00057444-0.00059134i,0.00048678-0.00040903i
-0.00069875-0.00020477i,-0.0004142-1.1717e-05i,-4.934e-05+0.00028218i,-0.00030455-0.00027781i,-0.0012123-0.0006081i,-0.00096373+0.00055236i,0.00010292+0.00093261i,0.00041573+0.00016576i,0.00032914-0.00020872i,0.00028598+0.00071367i,-5.245e-05+0.00081724i,0.00030139-0.00013929i,0.00044662-0.00024465i,0.000225-0.00016546i,0.00052212+0.00026444i,0.00069011+0.00061748i,0.00059619+0.00023598i,0.00035118+0.00012349i,0.00025554-0.00021419i,7.5621e-05-0.00048172i,0.00037107-7.8106e-05i,0.00013531+0.00022535i,0.00012542-0.00013414i
0.00073317-0.00075422i,8.3502e-06+6.0909e-05i,-0.0011439-0.00039108i,-0.00067932-0.0016214i,-0.0012175-0.0012856i,-0.0010455-0.00049506i,-8.638e-05+3.6156e-05i,-0.00036557+0.00097355i,-0.00044637+0.00044356i,-0.00058508-0.00017374i,-0.00011183-0.00021364i,0.001047-0.00025167i,0.0014331+0.00020458i,0.0014981+0.00021921i,0.00036609+0.00028874i,-0.00086732+0.00062015i,-0.00052733+0.00092218i,0.00059955+0.00031775i,0.00069071-0.0002453i,0.00032442-0.00032626i,-0.00023244-0.00050879i,-0.00087606-0.00065215i,-0.0010743-0.00034481i
0.0022819-0.00082715i,0.0027701-0.0020692i,0.0025141-0.0032702i,0.001185-0.0029359i,-0.00070181-0.0018866i,-0.0020728-0.00038865i,-0.0015245+0.00091371i,-0.00039485+0.0013794i,-0.00018264+0.00088127i,5.2209e-05+0.00028266i,0.0003541+7.9655e-05i,0.00031898+6.0802e-05i,0.00010445+0.00065927i,7.4175e-05+0.0012588i,8.0241e-05+0.00045089i,-7.9507e-05-0.00086178i,-0.0002957-0.00093037i,7.1251e-05-0.00068241i,0.00035763-0.00069246i,-9.405e-05-0.00019601i,-0.00025378+0.00069098i,-0.000161+0.00053052i,0.00026704-0.00027424i
0.00041134+0.00012975i,0.00017936+0.00047547i,-0.00058143-0.00039052i,-0.0010547-0.00080956i,-0.0012832-0.00029885i,-0.0014366-5.6577e-06i,-0.00062151-0.00018518i,0.00027387+0.00010131i,-0.00051263+0.00063657i,-0.0015441+0.00059917i,-0.0012815+0.00012166i,-0.00020198-0.00039688i,0.00095527-0.00017334i,0.0011254+0.00046238i,0.0007418+0.0009908i,0.00076772+0.0013711i,0.00044765+0.00069874i,-8.5844e-05+0.0002333i,-0.00014149-8.4187e-05i,0.0001449-0.00025628i,0.0011325+0.00099573i,0.00081217+0.0012819i,-0.00033093+0.0012215i
1.4934e-05-0.0015095i,-0.0010953-0.0008682i,-0.00083689-0.0010118i,-0.00029039-0.0013452i,-0.0010169-0.00052699i,-0.0017045+8.8516e-05i,-0.001183+4.1272e-06i,-0.0012161+0.00030152i,-0.0016163+0.00019532i,-0.0011939-0.00033458i,-0.00064779-0.00029552i,-0.00063837-0.00029337i,-0.00022359+0.00025871i,-0.00060082+0.00058127i,-0.00066387+6.5594e-05i,-0.00023166+0.00020421i,-0.00023755+0.00042967i,0.00032048-3.9614e-05i,0.00039652-0.00043798i,-0.00079922+1.11e-05i,-0.00061227+0.00032892i,9.6322e-05+0.00071622i,-0.00040855+0.00045777i
0.00069701+0.00037975i,0.0010627-0.00068096i,0.0023572-0.00086678i,0.0014369-0.0007865i,-0.00066443-0.00016753i,-0.00051546+0.0010386i,-0.00052119+0.00084002i,-0.00094648+0.00052487i,-0.00066312+0.00069238i,-8.1014e-05+0.00083773i,0.00022392+0.00073858i,0.00088121+0.00069544i,0.00026193+0.00073916i,-0.00033787+0.00066256i,-0.00030694+0.00023586i,-0.00048301-0.00028408i,-0.00040102-0.00073697i,9.9223e-05-0.00058202i,0.0004598+0.00044165i,0.00062359+0.00072447i,-0.00035728-2.4104e-05i,-0.00082325-0.00023957i,-0.00044224-0.00082897i
-0.00044614-0.00081293i,-0.0019901-0.00028896i,-0.0028631+0.00016455i,-0.0019022+0.00013716i,-0.0012502-5.6843e-05i,-0.001011+0.00013951i,-0.00021118+0.001058i,-0.00020166+0.0013439i,-0.00042126+0.0011562i,0.00016262+0.0014953i,0.00013773+0.0012041i,0.00021234+0.00054217i,0.00047121-0.00043503i,-3.6889e-05-0.00043958i,-0.00059745+4.375e-05i,-0.0004735+0.00030713i,-0.00024397+0.00033135i,-5.8502e-05-8.2398e-05i,-0.00045838-0.00052265i,-0.00041945+0.00011937i,7.0022e-05+0.00074411i,0.00022708+0.00029437i,-7.3219e-05-0.00018372i
0.00043963+0.0020032i,0.00089149-0.00033901i,0.0013213-0.00092812i,0.0014918-0.0013028i,0.00077751-0.00073673i,-0.00095725+0.00015454i,-0.00194+0.00080565i,-0.0014973+0.0010289i,-0.00089011+0.0010891i,-0.00084507+0.001108i,-0.00057822+0.00091079i,-0.00074958+0.00037056i,-0.0017332+0.00015558i,-0.0016992-4.5061e-05i,-0.00074528-0.00025396i,-0.0004366-0.00014751i,0.00043557-0.00038064i,0.0011824-0.00029122i,0.0015666-0.00023085i,0.0010118-0.00050765i,-1.0755e-05-0.00079169i,-0.0005327-0.00038702i,-0.00062483+0.00027628i
0.00027118+7.1656e-05i,0.0014107-0.00015791i,0.0011464-0.0010449i,0.00012921-0.0017133i,-0.0011178-0.00093116i,-0.0012865-6.6456e-05i,-0.00073142-7.0242e-05i,-8.9151e-05-0.00092491i,6.5324e-05-0.0014077i,-0.00050223-0.00072669i,-0.0008614+7.6905e-05i,-0.0009826-7.0144e-05i,-0.00060182-8.619e-05i,-0.00029041-0.00032226i,-0.0007351-0.00011549i,-0.0003369+0.00025464i,0.00059186+0.00056525i,0.00027689+0.00024019i,-0.00046469-0.00091587i,0.00012135-0.00094598i,0.00017734-0.00035566i,-0.00070313-0.00083546i,-0.00079947-0.0010221i
