0.0016343+0.00079218i,0.0011897+0.0001883i,-0.00023921-0.00056571i,-0.0022712-0.00014506i,-0.0033952+8.3931e-05i,-0.0035287+0.00081262i,-0.0029507+0.0016336i,-0.00056755+0.0012073i,0.0012745+0.00049337i,0.0021117-0.00042779i,0.0020663-0.0010453i,0.0011844-0.00055823i,0.00053539-0.00029393i,-0.0001371-0.00042445i,-0.0010164-0.00061637i,-0.0011582-0.00036989i,-0.0013492+1.992e-05i,-0.0014938+0.00043179i,-0.0006577+0.00024986i,3.9386e-05-0.0003262i,0.00048492-0.0003681i,0.0010411-0.00044738i,0.00086658-0.00020795i
-0.00079487-0.00011194i,0.00064132-0.00014773i,0.001331-0.00061249i,0.00026924-0.0012179i,-0.0016053+2.2415e-05i,-0.0017133+0.00097088i,-0.00063005+0.0011584i,0.00032203+0.0010517i,0.00054784+0.00074724i,0.00040357+0.0002954i,0.00056726+2.6369e-05i,0.00079725-0.00026923i,0.00040457-0.00032152i,-0.00010799+0.00013755i,-0.00041842+0.0004627i,-0.00016145-0.00021965i,-0.00036656-0.00054479i,-0.00062206-0.00012897i,-2.7975e-05-0.00048497i,-3.0564e-06-0.0013739i,-0.00024001-0.00093948i,0.00026265-0.00029365i,0.00050604-0.00030257i
-0.0010537+0.0011769i,-0.0016896+0.0012515i,-0.0019347+0.00094818i,-0.0029102+0.00044027i,-0.0028163-0.00063396i,-0.0024967-0.0011097i,-0.0017286-0.00014746i,1.6179e-05+0.0008907i,0.0011094+0.00067981i,0.00097891-4.4339e-05i,0.00030412-0.00048859i,-8.3257e-05+0.00043759i,-0.00014418+0.0011632i,-0.00051141+0.00056531i,-0.0006675+0.00019967i,-0.00019172-0.0001487i,0.00060795-0.0002227i,0.00070177-0.00045165i,0.00065841-0.00057147i,0.00060352-0.00059556i,0.00018512-0.00066832i,0.00013743+4.9924e-05i,0.00017166+0.00072543i
0.00050992+0.00018651i,0.00080542-0.00018674i,0.0015461-0.00016505i,0.00056031-0.00019047i,-0.0006201+0.00020368i,-0.00089428+0.00055006i,-0.00084161-2.1767e-05i,-0.00056287-0.00061736i,-0.00063313-0.00031703i,-0.0010585-0.00046017i,-0.0011846-0.00088433i,-0.0004231-0.00079186i,0.00021031-0.00096654i,0.00045353-0.00069392i,0.0001553-0.00036114i,-6.7154e-05-0.00026048i,0.00034124-0.00023429i,0.0013436+2.3185e-05i,0.0010766+3.8957e-05i,-0.00019327-0.00037112i,-0.0007902-0.00028464i,-0.00069369+0.00026589i,-0.00078655+0.00050495i
0.0011086-0.0011088i,0.0011353-0.00051821i,0.0005908-0.00060681i,-0.00073707-0.00070585i,-0.0019508-0.00072936i,-0.0020643-0.00059635i,-0.0019191+0.00034833i,-0.0015434+0.00037719i,-0.00050602-0.00030539i,0.00031103-9.226e-05i,0.00019774-2.1161e-06i,0.00030376+0.0001532i,0.00034168-0.00019579i,0.00020664-0.00084755i,4.865e-05-0.0011542i,-0.00019001-0.00098119i,-0.00056024-0.00021679i,-0.00067901-0.00029272i,-0.00012276-0.00051543i,-0.00014848-0.00024207i,-0.00073779-4.1398e-06i,-0.00071399+0.00041925i,-0.00048542+0.00062727i
-0.00036287-0.00032725i,3.5885e-05-0.0002043i,-0.00063445+0.00037852i,-0.0015564+0.0010171i,-0.0012691+0.00087937i,-0.00080915+0.00069096i,-0.00016397+0.00041822i,0.00036185+9.2706e-05i,0.0011182-0.00013887i,0.00077286+0.00028166i,-0.00010231+3.1048e-05i,-0.00025205-0.00044459i,-0.00047083-0.00043818i,-0.00052451-0.0010582i,-3.5066e-05-0.00082285i,-0.00011314+1.2652e-05i,-0.00051318+0.00033708i,-6.293e-05+0.00093916i,0.00023237+0.00029423i,0.00031205-0.0010731i,-0.00036849-0.00092499i,-0.0011075-0.00046608i,-0.0008516-0.00056471i
-7.1127e-05+0.00042121i,-0.00032711+0.00052991i,-0.00061725+0.00062814i,-0.0014143+0.00036428i,-0.0018918-0.0007122i,-0.0019359-0.0019446i,-0.0014408-0.0010396i,-0.00052896+0.001032i,-9.4438e-05+0.0018538i,0.00018921+0.001398i,0.00027632+0.00019412i,7.5429e-05-0.00040263i,-0.00032941-6.7257e-05i,-0.000217-2.6414e-05i,-3.9811e-05-0.00013988i,0.00013795+6.1082e-05i,9.6204e-05-0.00012878i,0.0002582+0.00017721i,0.00085035+0.00047703i,0.00076324+0.00019086i,-5.3017e-05-0.00059526i,-0.00055396-0.0010888i,-0.00080632-0.00070375i
0.0018732+0.00013164i,0.0012241-0.00015628i,0.0011366-0.00053214i,0.00073687+1.6955e-05i,-0.00049354+0.00032398i,-0.0010882+0.0001669i,-7.0519e-05+0.00061436i,0.00036434+0.0010783i,0.00019764+0.0007343i,-0.00051996+0.0002589i,-0.00053083+0.00044338i,-7.8619e-05-7.0479e-05i,-3.7485e-05-0.0002707i,0.00042614-0.00075519i,2.9608e-05-0.00092183i,-0.0010086-0.00065849i,-0.001635-0.00059958i,-0.0011449+0.00017523i,-0.00020417+0.00021497i,-0.00027395+0.00041015i,-0.00056978+0.00052735i,3.7871e-05+0.00033899i,0.00084173+0.00022282i
-0.00025615+0.00023922i,-0.00031471+0.00026116i,-0.0013829+0.00047728i,-0.0022988+0.00047062i,-0.0022746-0.00099831i,-0.0020746-0.0013714i,-0.001797-0.00060562i,-0.00045641-0.00012297i,0.00047456+2.2351e-05i,0.00033878+0.00053332i,-0.0003963+0.00080077i,-0.00019591+0.00013814i,0.00036001-0.00039962i,-0.00020064-0.00053006i,-0.00070263-6.0383e-05i,-0.00051079+0.00026935i,-0.00040012+0.00043154i,-0.00074963+0.00045857i,-0.0014581+0.00025993i,-0.0015681-1.0492e-05i,-7.6678e-05-0.00059828i,0.001731-0.00051923i,0.00078943-0.00034509i
0.0020185+0.00077717i,0.0017503+0.00089366i,0.00068284-9.3769e-05i,0.00017881-0.00052404i,-0.0011116-1.7227e-05i,-0.0022739+0.00036616i,-0.0021433+0.00057414i,-0.0013915+0.00015911i,0.00074025-0.00036501i,0.0012492-0.00039756i,4.0864e-05-0.00052201i,4.0235e-05-0.00092852i,0.00021482-0.00035014i,0.00070553-1.4114e-05i,0.00040152-3.0808e-05i,-0.00031854+0.00053144i,-0.00014704+0.00023543i,7.8717e-05-0.00029684i,3.2927e-05-0.00028723i,0.00036532-0.00099923i,0.00033519-0.0006151i,-0.00025207+2.2344e-05i,-0.00067907+0.00038125i
0.0011485+0.0019153i,0.0013884+0.0016185i,0.0010834+0.0008825i,0.00011462-0.00010082i,-0.00056659-0.00077447i,-0.00082681-0.0010912i,-0.0011759-0.00063364i,-0.0011655+0.00039999i,-0.00069511+0.0001977i,0.00020431-0.00055188i,0.00021282-0.00082562i,-0.00042422-0.00037209i,-0.00010892-0.0001858i,0.0001607-6.2643e-05i,-0.00010303-7.558e-05i,-0.00017307-0.00036749i,-0.00015092-0.00026875i,0.00024284-0.00021707i,-0.00042421-0.00032495i,-0.00096021+4.5978e-05i,-0.00051129+0.00050523i,-8.6083e-05-0.00025599i,-0.00040445-0.00048855i
-0.00049213-0.00065188i,-0.0010604+0.00019905i,-0.0018249+0.00023754i,-0.0023466-0.00020834i,-0.0024109-0.00027228i,-0.0021692+0.00046089i,-0.0014119+0.0012258i,-8.8301e-05+0.0013822i,0.00040086+0.0012219i,9.3896e-05+0.0006275i,0.00014545-0.00045562i,0.00045598-0.00084315i,0.00053138-0.00011622i,4.5108e-05-0.00033612i,-0.00036644-0.00084886i,-0.00021285-0.00055406i,0.00018651-0.00034927i,0.00085624+0.00061866i,0.0006017+0.00072784i,0.00012385-8.0005e-06i,0.00014545+0.00034145i,-6.1339e-05+0.00033242i,-3.7086e-06+0.00020062i
0.00031577-0.00018803i,0.00054069-0.0005913i,9.1624e-05-0.00027259i,0.00041309-0.00040591i,-7.0579e-05+4.3927e-05i,-0.0010864+0.00021705i,-0.00095125+0.00041128i,-0.00013647+0.00071914i,0.00041204+0.00072774i,0.0010554-0.00014653i,0.00083388-0.0007567i,-0.00044688-0.00085361i,-0.00029966-0.0012359i,0.00053892-0.0011292i,0.0002825-0.00046655i,-3.1005e-05-0.00058749i,-0.00034999-0.00057827i,1.1236e-05-9.5742e-05i,0.00041218-0.00038333i,-0.00026179-0.00069594i,-0.00053914-1.0272e-05i,-0.00090678-6.1512e-05i,-0.00077381-0.00058557i
-9.8976e-05+0.00061436i,0.00042945+0.00013342i,0.00056811-0.00033047i,-0.00051895-0.0010892i,-0.0012241-0.00063668i,-0.00182+0.00047932i,-0.0019082+0.00084475i,-0.0011151+0.00020419i,0.00033342-3.8838e-05i,0.00083244+0.00021545i,0.00013335-0.00035486i,-0.00086192-0.00053456i,-0.001319-0.00050291i,-0.00075798-0.00047211i,6.3786e-05-0.00036738i,5.3228e-06-0.00024413i,-0.00042602+0.00040665i,-0.00015825+0.00062178i,-4.2621e-05+0.00048541i,-0.00063418+0.00041206i,-0.0012648+0.00031587i,-0.0010817-0.00010972i,-0.00041208+0.00048442i
-0.0001283-0.00025196i,0.00016918+0.00029337i,-0.00067953+0.00016269i,-0.0027132-8.3194e-05i,-0.0029671+0.00030158i,-0.0018447-0.00019736i,-0.0012011+0.00029711i,3.6129e-05+0.00064201i,0.00067845+0.00032072i,0.00029733+0.00034489i,-2.7542e-05+1.8497e-05i,6.4605e-06-0.00041224i,0.0004583-0.0010187i,0.00014037-0.0005925i,-0.00017542+0.00024126i,0.00016779+0.00055374i,-0.00033085+0.00059863i,-0.00013529+0.00027992i,0.0007767-0.00014646i,0.00048331-0.0008058i,-0.00017475-0.00024539i,-0.00088184+0.00082235i,-0.0013852+0.00028743i
0.00036422+0.00029282i,0.00022691+0.0012217i,0.00068642+0.0013482i,0.00064893+0.00086626i,-0.00083157+0.0004402i,-0.00091488+0.00010148i,-0.00039096-3.0492e-05i,-0.0001844-3.0488e-05i,0.00026034-0.00043595i,0.00023992-0.00042821i,-3.6243e-05+0.00034418i,5.6775e-05+0.00014374i,0.00024874-0.00059876i,0.00032052-0.00019503i,0.00019608+0.00010751i,0.00027058-4.2779e-05i,0.00030461+0.00021723i,-0.00069933+0.00034667i,-0.00077192+0.00064572i,-2.0881e-05-0.00018834i,0.00042298-0.0005265i,0.00054991+0.00037134i,0.00064806+0.00043315i
-0.0012122+0.000407i,-2.3058e-05+0.00018604i,0.00046449+0.00016338i,0.00039642-0.00058421i,1.3211e-05-0.0014548i,-0.00075881-0.0010471i,-0.00046909+0.00033912i,-0.00010119+0.00085384i,-4.9412e-05+0.00073081i,0.00017489+0.00024007i,0.00038536-8.1857e-05i,0.00031007-0.0004643i,0.00053762-7.7728e-05i,0.001027+0.00044078i,0.00083795+0.00050745i,0.00022238+0.00033835i,0.00016451-3.8688e-05i,-0.00034485-0.0003383i,-0.00052562-0.00036157i,-0.00045872-0.00018059i,-0.00077359-0.00022994i,-0.0010101-0.00049387i,-0.00036372-0.0007855i
0.00073912+0.00085318i,-0.00015988+0.00019858i,-0.0018289-0.0009877i,-0.0031197-0.0024769i,-0.0030163-0.0025978i,-0.0019293-0.0017366i,-0.0011769-0.0011902i,-0.00050459-0.00038497i,-0.00021864+0.0001877i,7.8303e-05-0.00029371i,-0.00041129-0.0011285i,-0.00080479-0.0015641i,-0.00021637-0.0011817i,-0.00024609-0.00025069i,-0.00042129+0.00076962i,-0.00014925+0.00017737i,-0.00046006-0.00048422i,-0.00081957-8.108e-05i,0.000169+2.9114e-05i,0.00053343-0.00027617i,-0.00022605+0.00052479i,-0.0006922+0.0010747i,-0.00037329+0.00038055i
0.0018521-0.0010554i,0.0011527-0.00056754i,0.00080142-0.0007991i,-0.00044442-0.00019234i,-0.0023559+0.00045163i,-0.0020565+0.00063126i,-0.00038278+0.0014477i,-0.00029186+0.0021823i,-0.00054342+0.0013423i,-2.247e-05+0.00025433i,-0.00024771+0.00026025i,-0.00059298+0.00044696i,-0.00057754+7.0879e-05i,-0.00055674-0.00022299i,5.0296e-05-0.00061132i,9.887e-05+3.3406e-05i,-0.00039367+0.00034446i,-0.00025388-0.00058887i,0.00011296-0.00056486i,0.0005406+0.00055526i,0.00074677+0.0010454i,0.0010257+0.00026185i,0.0003305-0.00021116i
-5.655e-05-0.00033489i,-0.00010407+0.00015501i,0.00019204+0.0001338i,0.00018554+2.3972e-06i,-0.00058726-0.00063567i,-0.0010064-0.00043837i,-0.00087029-0.00033066i,-0.0007781-0.00030801i,-0.0003488+0.0011045i,6.8808e-05+0.0014073i,0.00064372+0.00078656i,0.00066372+0.00033267i,0.0002497+3.5835e-05i,0.00020558-0.00041356i,7.6694e-05-0.0010336i,-6.3585e-05-0.00077418i,0.00014189-0.00051112i,-0.00043362-0.00072163i,-0.00072429-0.00085434i,-0.00059352-0.00093563i,-0.00036642-0.0010928i,4.6916e-05-0.00030686i,0.00035206+0.00047103i
0.00074499-0.00026544i,-0.00034279+9.6917e-05i,-0.0016045+0.00058895i,-0.0019445+0.00076828i,-0.0016163-0.00033934i,-0.0016631-0.00080636i,-0.00037641-0.00011008i,0.00060411+0.00029776i,-0.00016677+0.00030749i,-0.0005205+0.0002047i,-7.9684e-05+3.0706e-05i,-0.00050463-0.00011675i,-0.00067025-0.00017972i,-0.00039346-5.6679e-05i,1.1053e-05-0.00027458i,0.00096936-0.00066488i,0.0011517-0.00044989i,0.00044733+2.7476e-05i,0.00028269-0.00045641i,0.00070251-0.00081026i,0.00048727-0.00027117i,-0.00016268+6.1272e-05i,-0.00025565-7.4014e-05i
-0.00085647+0.000348i,0.00082007-2.6835e-05i,0.0013522-0.00047383i,0.00037102-0.0014453i,-0.00083873-0.0015731i,-0.00078192-0.0012858i,-5.8676e-05-0.00072105i,-0.00024003+0.00062079i,-0.00075541+0.0010075i,7.62e-05+0.0003952i,0.0007094+0.00024617i,1.3487e-05+0.00028198i,-0.00034635-0.00024633i,0.00010523-0.00046881i,-0.00041307+0.00021651i,-0.00057525+0.00070672i,-0.00023856+0.00032542i,8.4581e-06-0.00026876i,0.00012839-0.00035563i,0.00012029-0.00033365i,-0.00031995-0.00089445i,-0.0005224-0.00044022i,-0.00030966+0.0001813i
0.0011468+0.0010284i,0.00062653+0.0022677i,0.0013496+0.0018803i,0.0011615+0.0008622i,-0.0001152+0.00079336i,-0.00093712+0.00052837i,-0.00090956+0.00012242i,-0.00032016+0.00053788i,-0.00039865+0.00064518i,-0.00012528-0.00017045i,0.00049053+3.6568e-05i,2.4899e-05+0.00035139i,-0.00027954-0.00056696i,-0.0002612-0.00087651i,0.0001785-0.0005518i,0.00042952-0.00086133i,0.00031534-0.00050558i,0.00012543+0.00029049i,0.00040882-0.00034363i,-0.00030852-0.0004864i,-0.00058508+0.00034762i,6.9555e-06+0.00059341i,0.00012608+0.00018987i
-0.00022687-0.00049932i,-0.0001028-0.00042364i,-0.00051984-0.00062537i,-0.0010192-0.00065757i,-0.0014053-0.0010244i,-0.00081617+0.00022473i,0.00034652+0.0016949i,0.00095918+0.0015217i,0.00049023+0.00078297i,-0.00049101+0.0002367i,-0.00095118-0.00043967i,-0.0008362-0.00016978i,0.00010199-0.00016167i,0.00097803-0.00024356i,9.3234e-05+0.0001624i,-0.001002-8.8453e-06i,-0.00059732-0.0006943i,0.00015774-0.0009939i,-4.5447e-05-0.0002124i,-0.00028367+0.00058613i,0.00018389+0.00053235i,0.00037941+0.00060367i,0.0001903+0.00088346i
8.3199e-05+0.00055957i,0.00054296+0.00041599i,0.0014395+0.0001003i,0.00010479-0.00056899i,-0.00075407-0.00088063i,-0.00081741+0.00014399i,-0.0012184+0.00074718i,-0.0010257+0.00034231i,0.00017417-0.0001973i,0.00050742-0.00043982i,0.00024422-0.00022014i,0.00058913-0.0002824i,0.00025502-0.0007382i,0.00026148-0.0011373i,-0.00034002-0.0012139i,-0.0012894-0.00089119i,-0.00099487+0.0003268i,-0.0007068+0.00072657i,-0.00039867-0.00035349i,0.00028254-0.00096397i,0.00070033-0.00024236i,0.00070224-3.8544e-05i,0.00052229+1.9057e-05i
-0.000914+0.0022166i,-0.0010492+0.0010345i,-7.5608e-05+0.0009062i,0.0012286+0.00071051i,0.0002816-0.00025094i,-0.0012103-0.0014752i,-0.0016171-0.00041588i,-0.001541+0.00098726i,-0.0003511+0.0010966i,0.00092364+0.00067965i,0.00038684+0.00023516i,4.9825e-05-0.00032265i,0.00086445-0.00026098i,0.00041294+0.0002435i,-0.00036803+0.00029009i,-0.00058111+0.00032246i,-0.00023162+0.00046201i,-0.00030685-2.1097e-05i,-0.0003826-0.00074223i,-0.00029273-0.0002701i,-0.00015223-0.00018643i,-0.00021591-0.0007748i,-0.00041367-0.00014713i
-0.00098707-0.00072801i,-0.00086688-0.000418i,-0.0023009+0.00014813i,-0.0021753+0.00043624i,-0.00086199-5.7883e-05i,-0.00081207+5.0525e-06i,-0.0011744+0.00035946i,-0.00090981+0.00079992i,-0.00039669+0.00095165i,0.00062698+0.00055845i,0.0013244+0.00066641i,0.00044626+0.0012088i,-0.00072457+0.0010076i,-0.00045175+2.6403e-05i,0.00032138-0.00087657i,0.00042643-0.00056557i,0.00042041+0.00013204i,-0.00020758+0.00050685i,-0.00051188+0.00019983i,-1.7782e-05+0.00018835i,4.5647e-05+1.6332e-05i,-0.00056279-0.00060311i,-0.00066498-0.00055708i
