-0.0012372+0.0015866i,-0.00042083+0.0022659i,0.00059717+0.0019018i,0.00099401+0.00098187i,0.0016275+0.0011185i,0.0021328+0.00097788i,0.0013132+5.9154e-05i,0.0012742-0.00030874i,0.0011587+0.00010134i,0.00046144+4.1628e-06i,0.00027146-0.00018621i,0.00041306+0.00018623i,0.00034603+0.00018126i,0.00053417-0.00030059i,0.00046159+6.7511e-05i,0.00046316+0.00023652i,0.00068252-0.00028003i,0.00058363-0.00077105i,0.00062838-0.00039026i,0.00058654-0.00060579i,0.00034972-0.00072126i,0.00010507-0.00042383i,-9.5292e-05-0.00050653i
0.000854+0.00034197i,0.00053307+0.001347i,0.00018741+0.0016076i,0.00043852+0.0013373i,0.00096335+0.0015926i,0.0011421+0.0018241i,0.0011942+0.00077794i,0.0012408-5.2487e-05i,0.00096099+7.6794e-05i,0.00068817-0.00038584i,0.00035983-0.00080215i,0.00028555-0.00033624i,0.00080148+0.00081095i,0.00067162+0.00078247i,0.00039118+0.00060328i,0.00069831+0.0010118i,0.00072445+0.0011106i,0.00051282+0.00095592i,0.00092298-0.00030136i,0.0010379-0.0012939i,0.00060151-0.00093135i,0.00029459-0.00025389i,0.00033586-0.00010199i
-0.0026983+0.00020666i,-0.0012647+0.00091658i,-9.4636e-05+0.0018434i,0.0014549+0.0022657i,0.0026862+0.0029126i,0.0029378+0.0017595i,0.0022849-3.0326e-05i,0.0011095-0.00070213i,0.00048635-0.00046225i,0.00070368+0.00028641i,0.0010284+0.00029288i,0.0012187-9.5228e-05i,0.00094094-0.00049951i,0.00033441-0.00079618i,0.00034719-4.8081e-05i,0.00046665+0.00031788i,0.00036735+0.00025424i,0.00053068+0.0006481i,0.00041962+0.00067554i,0.00035487+0.00029695i,0.00035548+0.00035033i,0.00042084+0.00040193i,0.00010785+0.00040517i
0.0027495+0.0021426i,0.0022583+0.0028083i,0.0021372+0.0013192i,0.0014623-0.0011344i,-0.00015956-0.0017971i,-0.0004907-0.00033756i,9.2507e-05+0.00032219i,0.0011599-1.0014e-05i,0.0019732-3.8343e-05i,0.0017637-0.00013421i,0.0010458-0.00054929i,-0.00016397-0.00012404i,-0.00076024-0.00036811i,-0.0007716-0.00091282i,-0.00035444-0.00055629i,0.00043222-7.7556e-05i,0.00061533+0.00059973i,0.00060866+0.00058188i,0.00088103+5.3351e-05i,0.00026039-0.0005421i,-0.00069988-0.0009111i,-0.0010264-0.00095226i,-0.0010772-0.00082755i
0.00076337-0.0013206i,-0.00041406-0.0012155i,-0.0011217-0.0017247i,-0.0007297-0.0019518i,0.00073397-0.00058242i,0.0017613+0.00097597i,0.0015284+0.0013237i,0.00091775+0.00069834i,0.001232-0.00020257i,0.0015741-0.00037815i,0.00082887-0.0007998i,0.00074535-0.0011637i,0.0012442-0.00015899i,0.0012129+0.00038543i,0.00069559+0.00055962i,0.00019528+0.00056549i,0.00042908+8.9458e-05i,0.0014727-8.0473e-06i,0.0013632+0.00043926i,0.00047724-0.00010828i,0.00055447-0.00080416i,0.0010204-0.00059009i,0.00092077-0.0009859i
0.00044887+0.00043932i,0.0011247+0.00088486i,0.001574+0.00188i,0.0011761+0.00080783i,0.0014656+0.0004483i,0.0020059+0.00055845i,0.002999-0.00014658i,0.0027932-0.0003677i,0.0013887-0.00022465i,0.0011009-0.00076207i,0.00053473-0.00068098i,-0.00080506-0.0003168i,-0.0011994+5.9248e-05i,0.0001244+0.00060188i,0.0012303+0.00023004i,0.00074794-0.00064968i,0.00025405-0.0009083i,0.0001376-0.00059358i,0.00062266-3.2638e-05i,0.0010662+0.00026078i,0.00042236+0.00021426i,-0.0001798-4.2581e-06i,-0.00081193+0.00029402i
-0.0031873+0.0005917i,-0.0024368+0.001664i,-0.0011992+0.0023414i,0.00053391+0.0031265i,0.0019237+0.0031934i,0.0022833+0.0022385i,0.00097+0.0010578i,-9.5713e-05+0.00032228i,-8.6738e-05-9.6292e-05i,0.00034509-0.00083665i,0.00051084-0.0011332i,0.00026483-0.00047396i,9.0981e-05-0.00035396i,-2.3762e-05-0.00077177i,-0.00015611-0.00044418i,0.0002651+0.0003574i,0.00048176+0.00065431i,0.0007115-0.00024363i,0.00063604-0.00064182i,0.00020578-4.6059e-05i,0.00056071-0.00082428i,0.00044068-0.00091358i,0.00064563-0.00021996i
-0.0012461-0.0010742i,-0.00018336-0.0011558i,0.0013829-0.0012921i,0.0020291+0.00033785i,0.0016874+0.0020221i,0.0021181+0.0017086i,0.0017213+0.0012901i,0.0009757+0.0013289i,0.0012309+0.00091209i,0.0011206+0.0004155i,0.00054672+2.1644e-05i,-0.00045548+0.00040379i,-0.0006685+0.0008077i,0.00014266+0.00089433i,0.00040834+0.00075631i,0.00046754+0.00022358i,0.00045629-3.4889e-05i,0.00063909-0.00067046i,0.00021738-0.0011265i,-0.00076066-0.0010625i,-0.00060408-0.0012384i,-0.00024918-0.001392i,-0.00046969-0.00053111i
-0.001569+0.0017241i,-0.00083888+0.0033161i,0.00031591+0.0043758i,0.00084809+0.0038697i,0.0020076+0.0028901i,0.0022319+0.0023822i,0.0012803+0.0011602i,0.0011053-0.00027122i,0.0010537-0.00041934i,0.00086896-0.00026501i,0.00036957-0.00080795i,-0.00053895-0.00080317i,-0.00026417-0.00083145i,0.00051548-0.00094048i,0.00066995-0.0010174i,0.00074103-0.0011619i,0.00062711-0.00046818i,0.00067701-0.00013909i,0.00064983-0.00060173i,0.00029591-0.0003544i,-4.6053e-05+0.00026133i,-0.00010595+7.5875e-06i,0.00018691+4.0528e-06i
8.4123e-05-0.00057107i,-0.00066173+0.00041843i,-0.0014547-0.00019144i,-0.00068587-0.0013017i,0.00026245-0.00022632i,0.00066485+0.0017509i,0.0012065+0.0020278i,0.0010611+0.0010932i,8.9045e-05+0.00047689i,0.00019661-1.1901e-05i,0.00041092-0.00041402i,0.00018029-0.00066101i,0.00025585-2.9862e-05i,0.00014743+3.6601e-05i,0.00061593-0.00075752i,0.0012796-0.0010494i,0.0011415-0.0011097i,0.0013049-0.00074906i,0.00096112-0.00023559i,0.00043788-0.00073463i,0.00029253-0.0011772i,0.00032171-0.00039503i,-0.00020114+0.00047798i
