-0.0019339-0.00016513i,-0.0027939+3.399e-05i,-0.0030533-0.00071113i,-0.0023667-0.0010855i,-0.0021364-0.00086896i,-0.0024155-0.00047351i,-0.0011096+0.00014334i,-0.00018216+0.00051615i,-7.3521e-05-4.9505e-05i,0.00054642-0.00041191i,0.00035412-0.0011366i,0.00032499-0.0019832i,0.00089606-0.0018342i,0.00076303-0.001475i,0.00023701-0.0011771i,0.00014368-0.00049711i,0.00017773+0.00033051i,-0.00026312-2.7685e-05i,-0.00012879-0.00057771i,9.4345e-05-0.00046344i,0.00028327+0.00024579i,0.00033137+0.00027627i,-7.9678e-05-0.00014569i
-0.00025163-0.0015074i,-0.00093329-0.00032571i,-0.0025703-0.00097347i,-0.0021907-0.0010378i,-0.00025242+2.0198e-05i,0.00085738+0.00098301i,0.0010857+0.00046742i,0.00025845-0.00066788i,-0.00024952-0.00076497i,2.5338e-05+9.3255e-05i,0.00047671-0.00067984i,0.0007012-0.0012859i,0.00097233-0.0009381i,-8.4616e-05-0.00076509i,-0.0016943-0.00086299i,-0.001017-0.00071032i,0.00027813-0.00062545i,-0.00018653-0.00091546i,-0.00077042-0.0013506i,-0.00027938-0.0010064i,-0.00013084-0.00036122i,-0.00045105-0.00050588i,-0.00063546-0.00021546i
0.0015021-0.0003539i,0.00086343+0.00052811i,-0.00022934+9.5916e-05i,-4.5175e-05-0.00065938i,0.00031948-0.00081527i,0.00020152-0.00079313i,0.0001059-0.0012679i,0.00058348-0.0013515i,0.00093122-0.0012456i,0.0009881-0.0012239i,0.00080886-0.0011959i,0.00059444-0.00096566i,0.00082732-0.0007737i,0.0010249-0.00070218i,0.00073628-0.0001564i,0.00032494+0.00020957i,0.00020116+0.00027723i,0.00020158-8.1695e-05i,-2.0294e-05-0.00059079i,-0.00047045-0.00086334i,-0.00067856-0.00040319i,-0.00077393-0.00015231i,-0.00027734-0.00049887i
0.00041686-0.0007824i,0.000333-0.0020734i,-0.00030173-0.0026709i,-0.00090409-0.0019519i,-0.00029851-0.0013471i,0.00039758-0.00057161i,0.00037665+0.00046386i,-0.00027513+0.00047934i,-0.00062865-0.0003583i,-0.00030165-0.0010416i,-0.00021912-0.0010564i,-0.00057834-0.0014587i,-2.4069e-05-0.0013921i,0.00037731-0.0009249i,0.0001285-0.00041766i,0.00030597-0.00034706i,-1.3135e-05-0.00031198i,4.7253e-05+0.00015161i,0.00018033+0.00018303i,-0.0001353+0.00026662i,2.2303e-05+0.00058529i,-0.00060451+0.00029091i,-0.00066795-0.00057528i
0.0006731-0.00084223i,0.00032568-0.00075737i,-0.0005581-0.00016124i,-0.0016123+0.00059231i,-0.0024987+0.00023565i,-0.0018186+6.6675e-05i,-0.0010153+0.00082106i,-0.00096632+0.00087528i,-0.00056612+2.7333e-05i,-0.00010447-0.00085609i,0.00041862-0.001019i,0.001194-0.0009103i,0.001492-0.00084398i,0.00031788-0.0003989i,-0.00022552+5.173e-05i,0.0003556-5.9083e-05i,0.00087864-0.00052596i,0.00083998-0.00078621i,0.00073788-0.00041566i,0.00049075+0.00087816i,7.4764e-05+0.00082772i,9.751e-05-0.00028757i,0.00047649-0.00035809i
-0.00054278+0.00024185i,-0.001018+6.008e-05i,-0.0012169+0.00056824i,-0.0005193+0.00099573i,0.00032076+0.00021782i,0.0006206+0.00018473i,0.00021924+0.00076804i,0.00051356+0.00056299i,0.00086922+8.8643e-05i,0.00021282-0.00034082i,0.00026639-0.00041278i,0.00087264-3.4417e-05i,0.00042489-5.0439e-05i,0.00060622-0.00028898i,0.00094495-9.4973e-05i,8.7837e-05+0.000182i,-0.00030252-0.00030715i,0.00013545-0.00084446i,0.00026955-0.00064153i,0.00067622-0.00049746i,0.00047689-0.00090741i,3.0151e-05-0.00077577i,4.3174e-05-0.00046632i
0.00034243-7.7221e-05i,-0.00064896+0.00029705i,-0.00026095+0.00031039i,0.00035822-0.00076456i,0.00038863-0.0013931i,5.3821e-05-0.00049309i,-0.00039865+7.6546e-05i,-0.00014769-0.00061967i,0.00010964-0.0019541i,-0.00040632-0.0019169i,-0.00022877-0.0011565i,0.00016721-0.00037115i,-0.00030553+1.146e-05i,-0.00041609+0.0003878i,-0.00031973+0.00064346i,-0.00047816+0.00038666i,-0.00049467+0.0006581i,-6.5522e-05+0.00047376i,-7.2575e-06-3.5368e-05i,0.00031779-0.00012743i,0.00099093-0.00053838i,0.00068479-0.0010546i,-0.00028357-0.0011938i
-0.00051642-0.00046282i,-0.00033937+0.00028793i,-0.00047787+0.00030064i,-0.0012456+0.00071519i,-0.0014809+0.00086677i,-0.00025004-1.4304e-05i,0.00081137-0.00025438i,0.00054655-0.000368i,0.00082041-0.0010303i,0.00080987-0.0014584i,0.00028825-0.0014711i,0.0001661-0.0014226i,-0.00037503-0.001257i,1.8199e-05-0.00049833i,0.00056599+0.00020196i,0.0002975+0.00033137i,0.00029809+0.00021252i,8.3452e-05+8.9532e-05i,-0.00038021-0.00049364i,-0.0004567-0.00032904i,5.4328e-05+0.00033115i,4.3856e-05-5.3782e-06i,-0.0004156-0.00021399i
0.00018621-0.00084289i,-0.0006672-0.00095053i,-0.0019015-0.00068141i,-0.0014097-3.4323e-06i,-0.00042197+0.00052605i,-0.00075743+0.00041036i,-0.00069292+0.000174i,-0.00097548+0.00013438i,-0.00094781-0.00031718i,-0.00047335-0.00090189i,0.00047503-0.00062703i,0.00023345-0.0003695i,-0.00010632-0.00057092i,0.00040595-0.00086668i,-2.9685e-05-0.001446i,-0.00061277-0.0011346i,-0.00075739-0.00016441i,-0.00059952+0.00057172i,-0.00071217+0.00042185i,-0.00041717-0.0001801i,-5.0739e-05+0.00021359i,-0.00011844+0.00011203i,0.0002176+1.5305e-05i
0.00066387-0.00064154i,3.9489e-06-8.6734e-05i,0.00032149-0.00060572i,0.0010981-0.00084187i,0.0010519-0.0007242i,0.00015012-0.00023023i,-0.00077478+0.00077795i,-0.0012519+0.00073156i,-0.0010875+0.0004466i,-0.00062927+7.8654e-05i,-6.1038e-05-0.0013397i,0.00029159-0.0017757i,2.6083e-05-0.00083115i,-0.00097827-0.00020422i,-0.0015328-0.00012209i,-0.0010743-0.00033158i,-0.00037723-4.6545e-05i,0.00027301+0.00069992i,-0.00027443+0.00071514i,-0.00078232+0.00018824i,-0.00029159+0.00052903i,-0.00012312+7.8754e-05i,-0.00029014-0.001108i
0.0011538-0.002161i,0.00023195-0.002334i,-0.00053099-0.002555i,-0.0015075-0.0016559i,-0.0020283-0.00047921i,-0.00084625+0.00028897i,0.00029642+0.00089159i,0.00010903+0.00064492i,-0.00025343-0.00051631i,-0.00042461-0.00092447i,-0.00033973-0.0011006i,-0.00028596-0.00061269i,-0.00026396+0.00028673i,0.00017532-5.2974e-05i,-0.00028138-0.00033174i,-0.0012857-0.00013775i,-0.00080594-2.3668e-05i,7.9393e-05-0.00021291i,0.00090219-0.0011726i,0.00099201-0.0016349i,0.00082415-0.00088587i,0.00014644-8.685e-05i,-0.00012333+3.4775e-05i
