-0.002521+0.000468i,-0.00079968+0.00015757i,-0.00065816+0.00082539i,-0.00025334+0.0020607i,0.00010704+0.0030749i,0.00063902+0.002881i,0.00038593+0.002282i,-0.00013812+0.001977i,0.00063332+0.0014514i,0.0018926+0.00061305i,0.0015332-0.00064062i,0.00088934-0.00078941i,0.00059079-0.0009417i,0.00068861-0.0014866i,0.001182-0.001262i,0.00056596-0.00076829i,-0.00019635-0.00023527i,-4.1355e-05+0.00010426i,9.6259e-05+0.00011924i,-7.7896e-05-0.00021715i,5.2232e-05-0.00028539i,-0.00010103-0.0011046i,-0.00072718-0.0011416i
2.7396e-05-0.0003076i,0.0013727-0.00055903i,0.0020934-0.00090698i,0.0012645-0.00035304i,0.00037783+0.00026469i,8.6067e-05+0.00023523i,0.00071024+0.00078498i,0.00072323+0.00091039i,-0.00051659+0.00059823i,-0.00097595+4.4166e-05i,0.00020294-0.00015136i,0.00048527+0.00044755i,0.00023265+3.9583e-05i,0.00043388-0.00068297i,0.0002951-0.00017737i,0.00012106-5.6159e-05i,-4.0947e-05-0.00032753i,0.00053418-0.00011127i,0.00081961-0.00045235i,0.00020089-0.00036299i,-4.0738e-05-0.00018461i,9.0634e-05-0.0003489i,0.00011765-0.00051607i
0.00051476-0.00035847i,0.0004397-0.00020034i,0.00022084+0.00039825i,0.0003811+0.00059489i,0.00028595+0.00054166i,-0.00010181+0.00050438i,-4.1072e-05+0.0010289i,-0.00040832+0.0013529i,-0.00050441+0.0010591i,8.634e-05-8.7033e-05i,2.6023e-05-0.00059436i,-3.016e-05-2.3108e-05i,-5.2141e-05+0.00032583i,-0.00045405-9.605e-05i,-4.831e-05-0.00055903i,0.00023048-0.00016294i,-0.00012263+6.3963e-05i,-0.000268-0.00015679i,-0.00030948+0.00015349i,-0.00023444+0.00024991i,-0.0002291-0.00015563i,0.0001465-0.00051422i,0.00081875-0.0003465i
-0.00013736-0.0001435i,0.00091714+0.00011811i,0.001981+0.00081984i,0.0016178+0.00081325i,-0.0001151+0.0007891i,-0.00082097+0.0010954i,-0.00023361+0.00058575i,0.000248+7.0553e-05i,0.00051154+0.00012704i,0.00044848-0.00020511i,0.00033581-0.00072668i,0.00026426-0.00051187i,-0.00011422-0.00053544i,-0.00035837-0.00053163i,-0.0002264+2.8527e-05i,0.00039755+0.00018053i,0.00053551+9.5561e-05i,0.00014823-0.00025036i,0.00058208-0.00021626i,0.00073622+5.2158e-05i,0.0003125+6.0806e-05i,0.00072102-9.1645e-05i,0.00060515-0.0006036i
8.57e-05-0.00060821i,-8.502e-05+6.7489e-05i,-0.0011109-0.00029888i,-0.0019416+8.7354e-05i,-0.00085481+0.0015336i,0.00081141+0.0019573i,0.00049718+0.00097084i,0.00011634-9.7e-05i,-0.00022923+0.0001302i,-0.00092465-0.00016829i,0.00019706-0.0006717i,0.00054658+0.00028266i,-0.00032375+0.00031712i,-0.00033182-0.00060529i,-0.00038566+0.00019961i,-0.00038574+0.00065177i,0.00034789+0.00039321i,0.00085508+0.00063265i,-0.00013835+0.00059089i,-0.00042225-2.524e-05i,-0.00049561+0.00011488i,-0.0010889+0.00038306i,-0.00068797+0.00032558i
-0.00027954-0.00047051i,-0.00026214-0.00052785i,0.00065711-0.00037767i,0.0010999-0.00061919i,0.0012829+0.00020525i,0.0014799+0.00092043i,0.00085031+0.00087681i,0.00026382+0.00061944i,0.001014+0.00041985i,0.0016527+0.00030644i,0.0013866-2.2643e-05i,0.00088001-0.00057234i,9.6596e-05-0.00067553i,-0.00016607-0.00070142i,0.00040638-7.2066e-05i,0.00048153+0.00037161i,-0.0004669-0.00033302i,-0.0011194-0.0011194i,-0.00079875-0.00063816i,-0.0001829-1.8394e-05i,0.00024701-0.00028225i,2.7502e-05-0.00067604i,0.00021959-0.00035224i
0.001771-0.00096721i,0.0022916-0.00094283i,0.0013979-0.00061958i,0.00013994+0.0001642i,-0.0012025+0.0015531i,-0.0013506+0.0020898i,6.0805e-05+0.0023151i,0.00075507+0.0019898i,3.3379e-05+0.00028691i,-0.0010086-6.5867e-05i,-0.00094908+0.00041427i,-0.00010931-9.9072e-05i,0.00069296-0.00069331i,0.0012561-0.00042611i,0.0010241-0.00059604i,0.00045219-0.00032901i,5.3503e-05+0.00040772i,0.00015715+0.00016352i,0.00015525-0.000475i,-0.00016401-0.00092637i,-0.00040469-0.00084927i,-0.00054814-0.0010904i,-0.00059251-0.00059018i
-0.00096692-0.00089799i,-0.0012949+0.00031169i,-0.0011691+0.00014861i,-5.7381e-05+0.0010642i,0.0008143+0.0016329i,0.00073634+0.0016504i,0.00056055+0.0020741i,0.00059861+0.0011262i,0.00046988-9.738e-05i,0.00047966-0.00028217i,0.00059529-0.00030023i,0.00074573+0.00013957i,0.00071435+9.8534e-05i,0.0012118-0.00028349i,0.0010052+1.2755e-05i,7.7094e-05-4.5126e-05i,0.00014979+8.7668e-05i,0.00016835+0.0007541i,-0.00043525+0.00028202i,-0.00047577-0.00032051i,-6.5519e-05+0.00010797i,-1.9729e-05+0.00049028i,-9.3478e-05+8.0048e-05i
0.0028335+0.00059834i,0.0012963-1.6504e-05i,-0.00086525-0.00065095i,-3.7362e-05-0.001047i,0.0009688-0.00019956i,0.00016609+0.00073275i,-0.00054059+0.00077257i,-0.00033338+0.00026976i,0.00030143-0.00055981i,0.00051145-0.00074007i,3.3944e-05-0.00032825i,-0.0010237-0.00031036i,-0.0012007-0.00070559i,-0.00033801-0.00023825i,0.00061531-5.0988e-06i,0.00034093-0.00059878i,-0.00042747+1.0998e-05i,6.4442e-05+0.00030754i,0.00034712+0.00032298i,0.00014452-5.3509e-05i,0.00019211-0.00020602i,2.7301e-05-0.0004012i,0.00017895-0.00071904i
0.0015032+0.00010667i,0.00092676+5.6516e-05i,0.001031-0.00011033i,0.0011616-0.00016646i,0.00086359-0.0001368i,0.00073621+0.00041243i,0.00075422+0.00055058i,0.00078903+0.00039417i,0.00053816+0.00034867i,3.1863e-05-0.00011421i,3.8838e-05-0.00068337i,0.0005869-0.00075954i,0.0010178-0.00017652i,0.0013516+0.00038787i,0.0011265+0.00045825i,0.00036458+9.6221e-05i,-0.00033101-0.00020816i,-0.00038647-0.00025719i,5.6414e-05+0.00027279i,-3.6378e-05+0.00041603i,-0.00052648-0.00024337i,-0.00012575-0.00060708i,0.00013056-0.0009293i
0.0017849-0.000773i,0.0013786-0.00034999i,0.00084862-0.00078734i,0.00067835-0.00089776i,0.0010532-0.00046802i,0.0010259+0.00030057i,0.00041697+0.0011393i,0.00016195+0.0016372i,0.00029746+0.00063795i,0.00081434-6.2198e-05i,0.00041522+0.00033447i,-0.00061451+0.00059827i,-0.0007103+0.00079945i,-0.00028307-0.00013722i,0.00034007-0.0015007i,0.00019309-0.0014527i,-0.00021425-0.00060613i,0.00054943+0.00030975i,0.0005622+0.00076212i,-5.9689e-05+0.00054105i,-0.00013576-0.00023695i,-5.2358e-05-0.0010091i,-5.7439e-05-0.00091513i
