0.00066321-0.00037774i,0.00081893-0.0015273i,0.0011186-0.0013049i,-0.00033222-0.0017992i,-0.0014214-0.0015731i,-0.0027624+0.00032517i,-0.0035094+0.002476i,-0.0012912+0.0036687i,0.00055539+0.0028083i,0.00097898+0.00095946i,0.0009213+0.00011006i,0.00047791-8.5036e-05i,-3.1277e-05-0.00038456i,-0.00016134-0.00010212i,-0.00068947-0.00061813i,-0.00037734-0.00047385i,-0.00014473-2.6329e-05i,-0.00014683+0.00011465i,0.00044274+1.0824e-05i,5.1435e-05-0.00081125i,4.5344e-05-0.0012373i,0.00059973-0.00099764i,0.00032362-0.00023011i
-0.0012146+0.00014679i,-0.0021561-0.00050946i,-0.0026111-0.00048255i,-0.0023806-0.00020699i,-0.0014154-1.3561e-05i,-0.0018598+0.00093147i,-0.0018385+0.0010581i,-0.00096301+0.00073167i,-0.0007368-1.2547e-06i,-0.00045899-0.00051516i,-0.00015565-0.00010386i,-0.00032088+0.00016944i,-8.4809e-05-7.0279e-05i,-0.00010873-9.8028e-05i,7.3241e-05+0.0003208i,0.00014095+0.00031269i,-0.00051906+0.00063116i,-0.00053401+0.00035881i,-0.00019132-6.2049e-05i,2.4047e-05+0.00046705i,-0.00025221+0.0010625i,-0.0010109+0.0003854i,-0.00065395-0.0007876i
0.0010311-0.0010344i,0.00091162-0.0034655i,-0.00057406-0.0051916i,-0.0013016-0.0041127i,-0.001943-0.0026263i,-0.002385-0.0012872i,-0.0015747+0.00048111i,-0.00022211+0.00065614i,0.00010115+0.00015009i,-0.00011268+8.2835e-05i,-0.00027521+1.5387e-05i,-0.00071966-6.9032e-05i,-0.00028751+0.00011617i,0.00022746-2.5746e-05i,0.00052193-0.00029346i,0.001143-0.0003606i,0.00093751-0.00015127i,-0.00022829-0.00028227i,-0.00020574-0.00034455i,-0.00015964+1.4626e-05i,-6.569e-05+0.00069237i,-0.00047521+0.00091152i,-0.00031634+0.00042219i
0.00048599+0.0005498i,-0.00012936-0.00016258i,0.00082576+9.1937e-05i,0.00083883-0.00042309i,-0.00057058-0.00069527i,-0.0014453+0.00055589i,-0.00096185+0.0015303i,-0.00058437+0.001366i,-0.0002375+0.0013066i,0.00080733+0.001093i,0.00071105+5.6078e-06i,0.00030908-0.0004507i,0.0004235-5.2881e-05i,7.2177e-05+1.3454e-05i,0.00028117-0.00010131i,0.00030336+0.00052641i,-0.00041325+0.00014133i,-0.00053147-0.00035985i,-0.00019456-0.00049442i,1.0286e-05-0.00097302i,0.00016326-0.00076023i,-7.8682e-05-0.00030675i,-0.00056544+1.6962e-05i
-0.00089312+0.0011696i,-0.00062123-0.00039399i,4.6736e-06-0.0015783i,-8.0839e-05-0.0015492i,-0.00074364-0.0009476i,-0.0011381+8.595e-05i,-0.0010439+0.00069757i,-0.0003441+0.00081605i,-0.00015722+0.0008973i,-2.6664e-05+0.00048662i,0.00021645-0.00049204i,-0.00010988-0.00090122i,3.2441e-05-0.00010926i,-2.6912e-05+5.2396e-05i,-0.00048578-0.00010538i,0.0004883-0.00070021i,0.0012949-0.0011016i,0.0010819-0.00040108i,-0.00017408-7.8562e-05i,-0.0010756+7.3402e-05i,-0.00016509+2.4105e-05i,0.00041515-1.2427e-05i,0.00045059-1.3828e-05i
0.0011978-0.001262i,0.0006522-0.0026497i,0.00013083-0.0028464i,-0.00058534-0.0022272i,-0.0019224-0.0012772i,-0.0025319-0.00010732i,-0.0017278+0.0011709i,-0.00051347+0.0018344i,-5.8939e-05+0.00099183i,-0.00037444-0.00024883i,-0.00014255-0.00040269i,-5.6478e-05-0.00010044i,-0.0014002-0.00069383i,-0.0015278-0.00042656i,-0.00031877+8.2672e-05i,0.00061959-0.00068285i,0.00010829-0.00057769i,-0.00039888-0.00013355i,-0.0006875+0.00022177i,-0.0009081+0.00068739i,-0.00066703+0.00095777i,0.00011205+0.00054613i,0.00063893+0.00059948i
-0.0015787-0.00078088i,-0.0023737+0.00063687i,-0.0018791+0.0010325i,-0.0011249+0.00033269i,-0.0015612+0.00029546i,-0.0017295+0.0013898i,-0.0010714+0.0015158i,-0.00073726+0.00073471i,-0.00049724-0.00026306i,-0.00032585-7.8781e-05i,-0.00012728+0.00077166i,3.4753e-05+0.00027079i,0.00027742-0.00038777i,0.00013106-0.00022414i,-1.4292e-05-0.00028586i,-8.4042e-05-2.88e-05i,-1.7542e-05+0.00019837i,0.00031392-0.00015016i,0.00040684+0.00068966i,0.00044104+0.001278i,0.00037875+0.00066129i,0.00016458+0.00010281i,8.2567e-05+0.00013969i
-0.00091172-0.00017115i,-4.1613e-06-0.00095287i,0.00079804-0.0017473i,0.00055772-0.0013662i,-0.00077285-0.00046783i,-0.0022426-6.5506e-05i,-0.0021341+0.00066226i,-0.00030092+0.0013984i,0.000195+0.0003643i,-6.8406e-05-0.00069249i,-0.00076936-0.00011645i,-0.00052842+0.00024316i,0.00062856+0.0003023i,0.00074748+0.00055867i,0.00035528+9.5339e-05i,0.00047197-0.00035188i,0.0002473-0.00011566i,-0.00027387-0.00029285i,-0.00050345-3.0433e-05i,-0.00022089+0.0003182i,0.00013185+6.3464e-05i,0.00075701-0.00027138i,0.0016606+6.7825e-06i
-0.00053358-0.0013347i,-0.00056104-0.0021966i,-0.0011833-0.0022775i,-0.0008279-0.00094987i,-0.0011065+0.00069574i,-0.0012993+0.0012767i,-0.00067769+0.00049774i,0.00019618+0.00043634i,0.00028367+0.00055556i,-0.00054278+0.00029679i,-0.00074748-0.00027175i,-0.0005499-0.00061966i,-0.00010675-0.00033879i,2.0077e-05+1.616e-05i,-0.00013419+0.00036059i,-0.00074286+1.103e-05i,-0.00093679-0.0014051i,-0.00043768-0.0020792i,-6.758e-05-0.00068557i,-7.9276e-05+0.0010342i,0.0001215+0.00099832i,-3.9199e-05+0.00040403i,-0.00033403+0.00017375i
-0.0002903+0.00071904i,-0.0011231-0.0016953i,-0.00090666-0.0036358i,-0.0012738-0.0033862i,-0.0021926-0.0017398i,-0.0030297-0.00016525i,-0.0025779+0.0010652i,-0.00087781+0.0018355i,0.00026888+0.0011581i,0.00061446+0.00025939i,0.00056347+3.283e-05i,0.0011379-0.0002095i,0.0010512-0.00011248i,0.0004043-0.00015671i,0.00046106-0.00097528i,0.00083423-0.0010095i,0.00058526+0.00024511i,0.00023464+0.0008534i,-0.00055352+0.00021531i,-0.00088923-9.1086e-05i,-0.0001682+5.9967e-05i,-8.2428e-05-0.00013872i,-0.00011497+2.9393e-05i
-0.00029629-0.00082774i,-0.0026134-0.0010334i,-0.0027826-0.00092519i,-0.0018853-0.00079495i,-0.0017578-0.00046905i,-0.0020622+4.7206e-05i,-0.0016831+0.00027379i,-0.00011132+0.000846i,0.00028377+0.001218i,0.00032816+0.0010637i,0.00024939+0.00050005i,3.0943e-05-0.00023897i,-0.00084154-0.00067157i,-0.00093729-0.00082238i,0.00020131-0.00031409i,0.00064632-0.00017906i,0.00028634+0.0002006i,0.00051515+0.00056587i,0.00078273-3.2926e-05i,0.00031273-3.0836e-05i,-0.00053853+0.00039012i,-0.000876+0.00051728i,-0.00066966+0.00026731i
0.00067293+0.00088535i,0.00062067+0.00055497i,0.0010617-0.00086737i,0.0011235-0.0016168i,-0.00011584-0.00059005i,-0.0011156+0.00061227i,-0.0014225+0.00061345i,-0.00077113+0.00031249i,-9.244e-05-6.7423e-05i,-0.00048278-0.00011027i,-0.0003274-0.00013508i,0.00019604-0.00010985i,0.00031016+7.412e-06i,0.00019177+0.00018031i,0.00038702+0.00070862i,9.619e-05+9.1965e-05i,0.00024231-0.00099381i,0.00058314-0.00092671i,-0.00016942-0.00037071i,-0.00027774+0.00015592i,-0.00056587-0.00043786i,-0.000714-0.0012678i,-0.00028475-0.0012696i
0.00024796-0.00017253i,-0.00042605-0.0017421i,-0.0010393-0.0029841i,-0.0014696-0.0036139i,-0.0027423-0.0027483i,-0.003012-0.00067124i,-0.0022345+0.00091941i,-0.0017624+0.0016114i,-0.0014393+0.0012158i,-0.0010379+0.0001088i,0.00015267-0.00068762i,0.00061115-0.00020478i,-0.00011342-0.00016701i,-0.00017735-0.00047496i,0.00078475-0.00059145i,0.00055024-0.00027528i,-0.00018279+0.00058915i,-0.00046512+0.00090693i,-8.9493e-05+0.00045635i,0.0003736+0.00038637i,0.00025226+0.00049902i,-0.0003042-0.00028894i,-6.3155e-05-0.0010874i
2.9094e-05-0.0010073i,-0.001372-0.0019742i,-0.0015581-0.0017294i,-0.0019119-0.00082579i,-0.0019285+9.9005e-05i,-0.0011428+0.0016927i,-0.00011487+0.0022442i,0.00047232+0.0015505i,0.00060692+0.00026388i,0.00010701-0.00015506i,-0.00043109+7.1093e-05i,0.00024849+0.00080654i,0.0010597+0.0010564i,0.0010596+0.00062145i,0.00077938+0.00040909i,0.00055957+0.0001966i,0.00025561-0.00029238i,7.6152e-06-0.00028673i,6.6715e-05-0.00026031i,0.00037285-0.00078861i,7.9573e-05-0.0010611i,-0.00060715-0.00040874i,-0.00065461+0.00024386i
0.001289-0.00036838i,0.0017751-0.0017231i,0.0020479-0.0020854i,0.0015238-0.002587i,0.0001839-0.0022872i,-0.0010441-0.0014874i,-0.0016257-0.0010964i,-0.0008372-0.00025454i,-0.00021877+9.1191e-05i,-0.0011778-0.0005064i,-0.0010421-0.00040543i,-0.00025106-7.5619e-05i,0.00022171-4.9085e-06i,0.00063084-5.9042e-05i,0.00059703+7.8988e-05i,0.00060333+0.00042724i,0.00027195-0.00026831i,-0.00043335-0.00063399i,-0.00031039+0.00052805i,-0.00048814+0.00024268i,-0.00033028-0.0010745i,0.00029928-0.00096027i,0.0001553-1.6351e-05i
0.0005266+0.00097564i,0.0015023-0.00026817i,0.0018328-0.0014283i,0.00080162-0.001809i,-0.00061979-0.0022627i,-0.0021242-0.0013392i,-0.0025518+0.00082922i,-0.00083985+0.0016398i,0.00040712+0.00033446i,0.00099045-0.00058753i,0.0011609-0.00016101i,0.00024576+7.2467e-05i,-0.00061801+0.00030525i,-0.00043007+0.00051583i,0.00043796-5.3224e-05i,0.00093453-0.0011968i,0.00056229-0.0022387i,-0.00028842-0.001591i,-0.0010701-0.00028351i,-0.00090021+8.1712e-05i,5.4131e-05-0.00028349i,0.00012998-0.00011193i,-0.00076616+0.00051248i
-0.00099056-0.0015457i,-0.0015218-0.0023741i,-0.0031395-0.0022673i,-0.0033356-0.00181i,-0.002426-0.00084008i,-0.001166+0.00044982i,-0.001264+0.00093711i,-0.001482+0.00084093i,-0.0010102+0.00062587i,-0.0010489+0.00034285i,-0.0010714+0.00055307i,-0.00072901+0.00036i,-0.00013609-0.00033139i,-2.4601e-05-0.00063534i,-0.00018697-0.00043383i,-7.0734e-05-0.00013309i,0.00036221+0.0001418i,0.00041958+0.00049885i,-0.00073097+0.00074902i,-0.00054664+0.00041065i,0.00041743+0.00011399i,-5.6724e-05+0.00068336i,-0.00012166+0.00085319i
0.00013328+0.0014344i,0.00097352+0.00086192i,0.00068288-0.00043301i,-0.00081944-0.00094279i,-0.0015262-0.00043759i,-0.0020171-0.0003957i,-0.0014497+9.2746e-05i,0.0001731+0.00080716i,0.00022926+0.00012314i,9.492e-05-0.00039795i,-0.00035279-0.00063433i,-0.00071996-0.00048762i,2.9731e-05-0.00047955i,0.00021537-0.00022012i,-0.00055667-2.3333e-05i,-9.7853e-05+0.0004185i,0.0014692+0.00015941i,0.0011818+4.472e-05i,-0.00010516+0.00094761i,-0.00022665+0.00073702i,-0.00061587-0.00011485i,-0.00088282-0.0011219i,0.00043436-0.0015267i
-0.00092929-0.00094737i,0.00012572-0.0022864i,0.00064594-0.003065i,-2.2745e-05-0.0025463i,-0.0012005-0.00069765i,-0.0017592+0.00053122i,-0.0013674+0.0014024i,-0.00086103+0.0013437i,-0.00032904-6.3445e-05i,0.00014416-0.0013036i,-6.6478e-05-0.0011035i,-0.00041251+0.00029447i,-0.00011483+0.00092344i,-0.00034889+0.00070381i,-0.0012925+0.00039542i,-0.00033383+0.00061716i,0.00014085+0.00118i,-0.00035144+0.00030394i,-0.0003149-0.00068939i,0.00022068-0.00071075i,0.00020777+0.00028408i,-0.00013278+0.00031087i,0.00030234-0.00052992i
0.00070493-0.00086848i,0.00083183-0.0013612i,0.00013866-0.0014713i,-0.00035551-0.00095979i,-0.0010204-0.001063i,-0.0014927-0.00045625i,-0.0018528+0.00077738i,-0.0014077+0.00056097i,-0.00047603+0.00023013i,-0.00062274+0.00033888i,-0.00098142+0.00096281i,-0.00047871+0.00078732i,-0.00014417-0.00028345i,-0.0002199-0.00057943i,-0.00038327-9.1744e-05i,-0.00030579+1.5079e-05i,-0.00045758-2.9491e-05i,-0.00017431+0.00049894i,-0.0003041+0.00080274i,-0.00079337+0.0012315i,-4.1061e-05+0.0010857i,0.00059971+0.00018051i,3.1502e-05-6.8297e-05i
-0.0012812-0.0026174i,-0.0013245-0.0025669i,-0.0018533-0.0018395i,-0.0027497-0.0011959i,-0.0037692-0.0004222i,-0.0036392+0.00093605i,-0.0022751+0.0016548i,-0.0012636+0.0011842i,-0.0014304+0.0002647i,-0.0015307-0.00091706i,-0.0015145-0.00078389i,-0.00082544-0.00031785i,0.00060688-6.399e-05i,0.00052107-0.00012753i,-0.00083204-0.00096952i,-0.00055528-0.00075668i,0.00046504-7.4396e-05i,0.00078898-0.00012857i,0.00024479-0.00019261i,-0.0002605+4.6996e-05i,-0.00015007+0.00062054i,0.00032956+0.00056019i,0.0003028-1.1333e-05i
0.00097682+3.2818e-05i,0.0006868-0.0010883i,0.001156-0.0021451i,0.00077107-0.0015833i,-0.00081411-0.00084173i,-0.0017039+0.00010436i,-0.00074725+0.0011506i,0.00041694+0.0013768i,0.00049672+0.001296i,-0.00024443+0.00012349i,-0.00030952-0.0003656i,-0.0001881-0.00023532i,-0.00045824-0.00014569i,-0.00077553+0.00037148i,-0.00030559+0.0005616i,8.4235e-05+0.00080479i,-8.023e-05+0.0010536i,0.0001847+0.00060487i,0.00016242-0.00025925i,-8.2244e-05+4.8415e-05i,0.00023403+0.00078254i,0.00063794+0.00045285i,0.00042348-0.00074652i
-0.00079836-0.00066762i,-0.0020388-0.00071672i,-0.00089246-0.0010249i,0.00014463-0.0010265i,-0.00075512-0.00048892i,-0.0014911-4.0054e-05i,-0.001507-0.0001005i,-0.00082939+0.0002324i,-0.00029049+0.00059897i,3.2492e-06+0.00023864i,0.00024205+0.0005499i,-2.6413e-05+0.00087378i,0.00046391+0.00031472i,0.00081556-8.8409e-05i,0.00020437+0.00036669i,-0.00013193+8.1303e-05i,0.00013009-0.00011982i,-0.00011837-0.0001148i,-0.00054229+5.9599e-05i,-0.0010971+0.00014084i,-0.0015386+0.00016434i,-0.0013138-3.5576e-05i,-0.00033706-0.00027719i
0.0010051-0.00147i,0.0013353-0.0025252i,0.00022668-0.0038326i,-0.001278-0.0026336i,-0.0024723-0.0011467i,-0.0027689-0.00039881i,-0.0021471+0.0007816i,-0.0010913+0.0011359i,-0.00038446+1.2156e-05i,5.6518e-06-0.00045928i,-0.00021102+0.00024508i,-0.00057297+0.00026536i,-0.00040521-0.00013031i,4.9498e-05-0.00038092i,0.00032049-0.00020591i,1.801e-05+0.0003245i,-0.00034629+0.00029434i,-0.00037943-0.0002496i,-0.00067378-0.00073671i,-0.00084134-0.00088143i,-0.00026742-0.00016575i,0.00015475+2.3385e-05i,-0.00034568+0.00011892i
-0.00047457-0.0014521i,-0.0013183-0.00068112i,-0.0017386-0.00053522i,-0.0013532-0.00042102i,-0.001884-6.8796e-05i,-0.00094337+0.00099004i,0.00034988+0.0019163i,0.00019781+0.0014834i,0.00020387+0.00064478i,-0.00041937-0.0001751i,-0.0010506-0.00057425i,-0.00087829-8.7718e-06i,-0.00083834-0.00027714i,-0.00038004-0.00013391i,-0.00042596-0.00019666i,-0.0001199-0.00015815i,0.00030293+0.00045079i,-0.00042853+0.00059087i,-0.0011372-0.00048378i,-0.0011848-0.0010422i,-0.00038702+0.00043501i,0.00031774+0.0012919i,-5.8187e-05+2.9055e-06i
0.00020525+0.0012817i,-0.00061043-0.0012252i,-0.00041366-0.0028044i,0.00044059-0.0025643i,-0.00046868-0.0016588i,-0.0021389-0.00056262i,-0.0021219+0.00065451i,-0.0010285+0.00099717i,-0.00017506+0.00022862i,1.9144e-05-0.0002845i,-0.00038322-0.00011129i,-0.00028781-0.00054996i,-3.2319e-05-0.0011864i,0.00020885-0.00061518i,0.00010633+0.00056837i,-7.8439e-05+0.00010758i,-1.6269e-05-0.0005046i,-0.00036545-0.00050275i,-0.00015563-0.00013108i,-0.00026542+0.00047703i,-0.0007215+4.3445e-05i,-0.0003201-0.00020212i,-0.00049492+0.00029831i
0.0026655-0.0014261i,0.0021814-0.0031645i,0.00076998-0.0039307i,-0.00029202-0.0045097i,-0.0022397-0.0032662i,-0.0038646-0.00016092i,-0.0028653+0.0023945i,-0.00073694+0.0026783i,0.00036586+0.0015475i,2.1346e-05-0.00028906i,-0.0004311-0.00080174i,-0.00010066-0.00016127i,-0.00021085+0.0005846i,-0.00015632+0.00081889i,-0.00056559-0.00022878i,-0.00091147-0.00098517i,-0.00052125-0.00028726i,-0.00043948+0.00030613i,-0.00050282+0.00039797i,-0.00046218+7.9564e-05i,-0.00015537-0.00016183i,0.00030431+0.00048368i,0.00011246+0.00096964i
-0.0005671-0.00016048i,-0.0014376-0.00089816i,-0.0011714-0.0015461i,-0.00050431-0.0005405i,-0.0010269+0.00024838i,-0.0016331+0.00021364i,-0.0013226+0.00059951i,-2.1894e-05+0.0012562i,0.0010255+0.0011404i,0.00015843+0.00089574i,-0.00031139+0.00066118i,0.00016694+0.00016476i,9.5204e-05+9.3229e-05i,-0.00013147+0.00017889i,-6.6387e-05-0.00022308i,0.00044188-0.00073112i,0.00022205-0.0010578i,0.00096963-0.0016136i,0.001979-0.0013012i,0.00075354-0.00026773i,-0.00051927+0.00037768i,-0.00067683+0.00052906i,-0.00090996+0.00011081i
-0.00010501+0.00044365i,0.00093904-0.00049384i,0.0015858-0.0014298i,0.00055092-0.0020025i,-0.00092294-0.001941i,-0.0012939-0.0018337i,-0.00095942-4.3648e-05i,-0.00025357+0.0013144i,0.0001208+0.0012856i,-0.00013423+0.0011918i,-0.00019359+0.00059174i,-5.657e-05-7.0923e-05i,-0.00036424+4.5488e-05i,-0.00069305+0.00012525i,-0.00012628-0.00041217i,0.00042728-0.00047553i,-0.00010686-0.00041624i,-0.00033238-0.00042705i,-0.00039801-0.0002557i,-0.00032926+5.4037e-05i,0.0002618+0.00023854i,0.000707+0.00054084i,0.00053234-0.0002865i
0.00045236-0.0007753i,0.00075794-0.0014996i,0.0011022-0.0020353i,0.00060982-0.002265i,-0.00103-0.0012619i,-0.0019804+0.00023831i,-0.001608+0.0010793i,-0.00022732+0.0014635i,5.0328e-05+0.0012519i,-0.0007317+0.00018728i,-0.00095935-0.00012692i,-0.0012428+0.0001092i,-0.00096265-0.00031119i,-0.00044935-0.0005952i,0.00015366-0.00037404i,0.00072659-0.00013139i,0.00043325+0.00039849i,-0.00050516+0.0005902i,-0.00039264+0.00033432i,0.00013076+0.00061612i,-0.00019497+0.00043537i,-0.00076063-0.00032248i,-0.00087293+0.00022635i
-0.0017337-0.001123i,-0.0015298-0.0010497i,-0.0017336-0.00068237i,-0.00088874-7.2883e-05i,-0.00037137+0.00031179i,-0.00099365-2.2006e-05i,-0.0017219+2.4756e-06i,-0.0015262+0.00052624i,-0.00062378+0.00037179i,-0.00010596+0.00064416i,-0.00022478+6.4793e-05i,-0.00032028-0.0006933i,0.00010676-0.00015765i,0.00012451-3.2564e-06i,7.3575e-05-0.00011228i,0.00026832-0.00030802i,0.00047504-0.00085214i,0.00010804-0.0011538i,-0.0002864-0.0010398i,-4.4604e-05-0.0010042i,0.00083636-0.00040752i,0.000593-1.818e-05i,-0.00039534-0.00034861i
0.00052601+0.00041044i,-0.00048516-0.00054012i,-0.00036055-0.0023422i,-0.00041853-0.0035724i,-0.00084242-0.0032374i,-0.0016614-0.0012626i,-0.0021888+0.00015935i,-0.0010236+0.00052769i,0.00013991+0.00023917i,-6.6382e-05-0.00026336i,-0.00067071+5.4675e-05i,-0.0002362+6.2468e-05i,-0.00014522-6.5054e-05i,-0.00062515+0.00065043i,-8.7182e-05+0.00038858i,5.1184e-05+0.00038008i,-0.00030512+0.00032634i,-0.00022058-0.00014425i,-0.00023554+0.00027605i,-0.00051709+0.00093814i,-0.00043184+0.0011897i,-0.00021749+0.0008247i,-0.00101+0.00048136i
